CMPO_FormID	CMPO_EDID	FULL	ScrapItem_FormID	ScrapItem_EDID	ScrapItem_FULL	ModScrapScalar_FormID	ModScrapScalar_EDID	CVPA	ReferencedByCount
0001FA9C	c_Copper	Copper	0006907C	c_Copper_scrap	Copper Scrap	002074A5	ModScrapScalar_Uncommon	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:525:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	549
0001FA9D	c_Cork	Cork	000AEC60	c_Cork_scrap	Cork Scrap	00340802	ModScrapScalar_Common	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:4:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:2500:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	122
0001FA9F	c_Crystal	Crystal	0006907D	c_Crystal_scrap	Crystal Shards	002074A6	ModScrapScalar_Rare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:4:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:300:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	300
0001FAA0	c_FiberOptics	Fiber Optics	00069087	c_FiberOptics_scrap	Fiber Optics Bundle	002074A6	ModScrapScalar_Rare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:4:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:300:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	437
0001FAA1	c_Fiberglass	Fiberglass	000AEC61	c_Fiberglass_scrap	Fiberglass Spool	002074A6	ModScrapScalar_Rare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:4:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:300:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	286
0001FAA4	c_Glass	Glass	00069085	c_Glass_scrap	Glass Shards	00340802	ModScrapScalar_Common	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:4:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:15:|ComponentQuantity_CustomerService_Bulk:2500:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	723
0001FAA5	c_Adhesive	Adhesive	001BF72E	c_Adhesive_scrap	Excess Adhesive	002074A5	ModScrapScalar_Uncommon	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:4:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:525:|ATX_ComponentQuantity_Scrapball_Level2:20:|ATX_ComponentQuantity_Scrapball_Level3:30:|ATX_ComponentQuantity_Scrapball_Level1_SP1:20:|PTS_ComponentQuantity:500:	3328
0001FAA6	c_Gold	Gold	000AEC62	c_Gold_scrap	Gold Scrap	002074A6	ModScrapScalar_Rare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:4:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:300:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	131
0001FAAD	c_Lead	Lead	000AEC63	c_Lead_scrap	Lead Scrap	0020F37D	ModScrapScalar_SuperCommon	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:10:|ComponentQuantityMedium:5:|ComponentQuantityLow:2:|ComponentQuantityHigh:7:|ComponentQuantityBulk:20:|ComponentQuantity_CustomerService_Bulk:2500:|ATX_ComponentQuantity_Scrapball_Level2:20:|ATX_ComponentQuantity_Scrapball_Level3:30:|ATX_ComponentQuantity_Scrapball_Level1_SP1:20:|PTS_ComponentQuantity:500:	324
0001FAAE	c_Leather	Leather	000AEC64	c_Leather_scrap	Raw Leather	00340802	ModScrapScalar_Common	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:3:|ComponentQuantityLow:2:|ComponentQuantityHigh:4:|ComponentQuantityBulk:15:|ComponentQuantity_CustomerService_Bulk:2500:|ATX_ComponentQuantity_Scrapball_Level2:20:|ATX_ComponentQuantity_Scrapball_Level3:30:|ATX_ComponentQuantity_Scrapball_Level1_SP1:20:|PTS_ComponentQuantity:500:	647
0001FAB0	c_Gears	Gear	0006907E	c_Gears_scrap	Loose Gears	002074A5	ModScrapScalar_Uncommon	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:525:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	778
0001FAB3	c_NuclearMaterial	Nuclear Material	00069086	c_NuclearMaterial_scrap	Nuclear Waste	00340803	ModScrapScalar_VeryRare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:150:|ATX_ComponentQuantity_Scrapball_Level2:15:|ATX_ComponentQuantity_Scrapball_Level3:15:|ATX_ComponentQuantity_Scrapball_Level1_SP1:15:|PTS_ComponentQuantity:500:	869
0001FAB4	c_Oil	Oil	001BF732	c_Oil_scrap	Waste Oil	002074A5	ModScrapScalar_Uncommon	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:4:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:525:|ATX_ComponentQuantity_Scrapball_Level2:20:|ATX_ComponentQuantity_Scrapball_Level3:30:|ATX_ComponentQuantity_Scrapball_Level1_SP1:20:|PTS_ComponentQuantity:500:	4533
0001FAB7	c_Plastic	Plastic	0006907F	c_Plastic_scrap	Molded Plastic	0020F37D	ModScrapScalar_SuperCommon	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:2500:|ATX_ComponentQuantity_Scrapball_Level2:20:|ATX_ComponentQuantity_Scrapball_Level3:20:|ATX_ComponentQuantity_Scrapball_Level1_SP1:20:|PTS_ComponentQuantity:500:	4283
0001FAB9	c_Rubber	Rubber	00106D98	c_Rubber_scrap	Raw Rubber	00340802	ModScrapScalar_Common	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:4:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:2500:|ATX_ComponentQuantity_Scrapball_Level2:20:|ATX_ComponentQuantity_Scrapball_Level3:20:|ATX_ComponentQuantity_Scrapball_Level1_SP1:20:|PTS_ComponentQuantity:500:	1218
0001FABB	c_Silver	Silver	000AEC66	c_Silver_scrap	Silver Scrap	002074A6	ModScrapScalar_Rare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:4:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:300:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	409
0001FABC	c_Springs	Spring	00069082	c_Springs_scrap	Loose Spring	002074A5	ModScrapScalar_Uncommon	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:525:|ATX_ComponentQuantity_Scrapball_Level2:20:|ATX_ComponentQuantity_Scrapball_Level3:20:|ATX_ComponentQuantity_Scrapball_Level1_SP1:20:|PTS_ComponentQuantity:500:	764
0001FABD	c_Steel	Steel	000731A4	c_Steel_scrap	Steel Scrap	0020F37D	ModScrapScalar_SuperCommon	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:30:|ComponentQuantity_CustomerService_Bulk:2500:|ATX_ComponentQuantity_Scrapball_Level2:20:|ATX_ComponentQuantity_Scrapball_Level3:30:|ATX_ComponentQuantity_Scrapball_Level1_SP1:20:|PTS_ComponentQuantity:500:	8243
0001FAC2	c_Wood	Wood	000731A3	c_Wood_scrap	Wood Scraps	0020F37D	ModScrapScalar_SuperCommon	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:30:|ComponentQuantity_CustomerService_Bulk:2500:|ATX_ComponentQuantity_Scrapball_Level2:20:|ATX_ComponentQuantity_Scrapball_Level3:30:|ATX_ComponentQuantity_Scrapball_Level1_SP1:20:|PTS_ComponentQuantity:500:	1711
0003D294	c_Screws	Screw	00069081	c_Screws_scrap	Loose Screws	002074A6	ModScrapScalar_Rare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:4:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:300:|ATX_ComponentQuantity_Scrapball_Level2:30:|ATX_ComponentQuantity_Scrapball_Level3:30:|ATX_ComponentQuantity_Scrapball_Level1_SP1:30:|PTS_ComponentQuantity:500:	2143
0005A0C4	c_Concrete	Concrete	00106D99	c_Concrete_scrap	Concrete Scrap	00340802	ModScrapScalar_Common	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:10:|ComponentQuantityMedium:5:|ComponentQuantityLow:3:|ComponentQuantityHigh:7:|ComponentQuantityBulk:15:|ComponentQuantity_CustomerService_Bulk:2500:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	306
0005A0C7	c_Fertilizer	Fertilizer	001BF730	c_Fertilizer_scrap	Raw Fertilizer	00340802	ModScrapScalar_Common	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:8:|ComponentQuantityMedium:4:|ComponentQuantityLow:2:|ComponentQuantityHigh:6:|ComponentQuantityBulk:20:|ComponentQuantity_CustomerService_Bulk:2500:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	74
001223C7	c_Cloth	Cloth	000AEC5F	c_Cloth_scrap	Raw Cloth	0020F37D	ModScrapScalar_SuperCommon	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:4:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:30:|ComponentQuantity_CustomerService_Bulk:2500:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	1872
002B9178	c_NukeFlora_Blue	Stable Cobalt Flux	002B9179	c_NukeFlora_Blue_scrap	Stable Cobalt Flux	00340803	ModScrapScalar_VeryRare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:1:|ComponentQuantityMedium:1:|ComponentQuantityLow:1:|ComponentQuantityHigh:1:|ComponentQuantityBulk:1:|ComponentQuantity_CustomerService_Bulk:75:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	380
002B917A	c_NukeFlora_Orange	Stable Fluorescent Flux	002B917B	c_NukeFlora_Orange_scrap	Stable Fluorescent Flux	00340803	ModScrapScalar_VeryRare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:1:|ComponentQuantityMedium:1:|ComponentQuantityLow:1:|ComponentQuantityHigh:1:|ComponentQuantityBulk:1:|ComponentQuantity_CustomerService_Bulk:75:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	71
002B917C	c_NukeFlora_Purple	Stable Violet Flux	002B917D	c_NukeFlora_Purple_scrap	Stable Violet Flux	00340803	ModScrapScalar_VeryRare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:1:|ComponentQuantityMedium:1:|ComponentQuantityLow:1:|ComponentQuantityHigh:1:|ComponentQuantityBulk:1:|ComponentQuantity_CustomerService_Bulk:75:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	432
002B917E	c_NukeFlora_Red	Stable Crimson Flux	002B917F	c_NukeFlora_Red_scrap	Stable Crimson Flux	00340803	ModScrapScalar_VeryRare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:1:|ComponentQuantityMedium:1:|ComponentQuantityLow:1:|ComponentQuantityHigh:1:|ComponentQuantityBulk:1:|ComponentQuantity_CustomerService_Bulk:75:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	94
002B9180	c_NukeFlora_Yellow	Stable Yellowcake Flux	002B9181	c_NukeFlora_Yellow_scrap	Stable Yellowcake Flux	00340803	ModScrapScalar_VeryRare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:1:|ComponentQuantityMedium:1:|ComponentQuantityLow:1:|ComponentQuantityHigh:1:|ComponentQuantityBulk:1:|ComponentQuantity_CustomerService_Bulk:75:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	50
0031C09A	c_Coal	Coal	00058AA8	c_Coal_scrap	Coal	00340803	ModScrapScalar_VeryRare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:1:|ComponentQuantityMedium:1:|ComponentQuantityLow:1:|ComponentQuantityHigh:1:|ComponentQuantityBulk:10:|ComponentQuantity_CustomerService_Bulk:150:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	15
0054E4FA	c_Steel_Vault94	Vault Steel	0041023D	c_Steel_Vault94_scrap	Vault Steel Scrap	00340803	ModScrapScalar_VeryRare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:30:|ComponentQuantity_CustomerService_Bulk:150:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	21
0055CE83	c_Steel_Vault96	Vault 96 Steel	0041023D	c_Steel_Vault94_scrap	Vault Steel Scrap	00340803	ModScrapScalar_VeryRare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:30:|ComponentQuantity_CustomerService_Bulk:1:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	2
00687BEF	c_Gunpowder	Gunpowder	000130A1	c_Gunpowder_scrap	Unrefined Gunpowder			ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:1:|ComponentQuantityMedium:1:|ComponentQuantityLow:1:|ComponentQuantityHigh:1:|ComponentQuantityBulk:1:|ComponentQuantity_CustomerService_Bulk:1:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	35
007803FF	zzzc_LegendaryScrap	Legendary Particles	0078040F	zzz_c_LegendaryScrap_scrap	Legendary Particles	00340802	ModScrapScalar_Common	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:5:|ComponentQuantityMedium:2:|ComponentQuantityLow:1:|ComponentQuantityHigh:3:|ComponentQuantityBulk:30:|ComponentQuantity_CustomerService_Bulk:150:	6
007A765E	c_LegendaryModule	Legendary Module	005652F9	LegendaryModule	Legendary Module	00340803	ModScrapScalar_VeryRare	ComponentQuantity_Scrap_Singular:1:|ComponentQuantityRare:24:|ComponentQuantityMedium:6:|ComponentQuantityLow:3:|ComponentQuantityHigh:12:|ComponentQuantityBulk:30:|ComponentQuantity_CustomerService_Bulk:150:|ATX_ComponentQuantity_Scrapball_Level2:1:|ATX_ComponentQuantity_Scrapball_Level3:1:|ATX_ComponentQuantity_Scrapball_Level1_SP1:1:|PTS_ComponentQuantity:500:	352
