BOOK_FormID	BOOK_EDID	LocationName	LocationSource	QuestName
00185CE2	PerkMagTattoo05			
00185CEE	PerkMagPicketFences05			
0018C8D4	FFZ10_Light_ResponderNote	LandviewLighthouseExt06	ExtCell	
001A10B7	recipe_DLC04_mod_melee_BaseballBat_Rocket			
001A10B8	recipe_DLC04_mod_melee_BaseballBat_Rocket_SpikesLarge_Heated			
001A1385	recipe_DLC04_mod_melee_BaseballBat_Heated			
001A1983	LC174_WatogaHigh_CBLore_Note01	Watoga High School	NameParse	
001A1AC2	LC178_WatogaPlaza_CBLore_Note01	WatogaShoppingPlazaExt	ExtCell	
001A1B24	LC178_WatogaPlaza_CBLore_Note02	WatogaShoppingPlazaExt	ExtCell	
001A1CD0	RSVP00_Book_LORE_Database_Intro	FlatwoodsExt	ExtCell	
001C1418	PerkMagRobcoFun05			
001C2E24	BACKUP_Magazine_LiveAndLove06Book			
001C2E26	BACKUP_Magazine_LiveAndLove07Book			
001C2E28	BACKUP_Magazine_LiveAndLove08Book			
001C63ED	PerkMagLaCoiffe05			
001D1CD6	BACKUP_Magazine_LiveAndLove09Book			
001D1F53	PerkMagMassSurgicalJournal08			
001D1F55	PerkMagMassSurgicalJournal09			
001E59F1	BoS02_SecurityNote	Fort Defiance	NameParse	Recruitment Blues
001EB2C3	LC117_CultLeaderManuscript01	PointPleasantExt	ExtCell	
001F398C	NukaColaPlant_FeedbackFormBlank	Kanawha Nuka-Cola Plant	NameParse	
0020C2B0	BoS01_BreadCrumbNote_Morgantown	Morgantown Airport Terminal	NameParse	
0020C2B1	BoS01_TrainingCamp_Note	SurvivalTrainingCenterExt02	ExtCell	Defiance Has Fallen
00228385	TW007_OtisPikeDiaryEnd			Cold Case
0023D33A	TW007_MediaLetter			Cold Case
002430DD	TW007_IncriminatingHRLetter	GraftonSteelExt	ExtCell	Cold Case
00256966	NukaColaPlant_FeedbackForm01	Kanawha Nuka-Cola Plant	NameParse	
0027563D	NukaColaPlant_FeedbackForm02	Kanawha Nuka-Cola Plant	NameParse	
0027E2CB	BoS02_ApplicationForm			Recruitment Blues
0027E2D6	BoS02_JunkMail			Recruitment Blues
0027E55A	BoS02_DMV_Number_01	Charleston Capitol Building	NameParse	Recruitment Blues
0027E586	BoS02_ApplicationFormV			Recruitment Blues
00283ECC	EN01_IntelNote	Quick Test Cell	NameParse	Bunker Buster
00283ED0	EN01_JudysGone			Bunker Buster
00290FDA	FS_CalebNote	Carson Family Bunker	NameParse	
0029D65C	SurvivalTrainingCenter_Pamphlet02	SurvivalTrainingCenterExt04	ExtCell	
002A14F2	BoSTrainingCamp_SecurityReprimandNote	SurvivalTrainingCenterExt02	ExtCell	
002A6DDC	BoS02_DMV_Number_02	Charleston Capitol Building	NameParse	Recruitment Blues
002A6DE1	BoS02_ApplicationFormStamped			Recruitment Blues
002A6DE4	BoS02GovernmentIDCard	[CELL:0000DD46]	ExtCell	Recruitment Blues
002A8FBD	FS_LydiaPart01	HarpersFerryExt	ExtCell	
002A8FBF	FS_LydiaPart02	HarpersFerryExt02	ExtCell	
002A8FC5	FS_LydiaPart03	HarpersFerryExt03	ExtCell	
002A8FC7	FS_LydiaPart04	HarpersFerryExt02	ExtCell	
002A8FC9	FS_LydiaPart05	HarpersFerryExt03	ExtCell	
002B4255	recipe_mod_melee_Ripper_BladesLarge			
002B42A1	recipe_mod_melee_Switchblade_Serrated			
002B42A2	recipe_mod_melee_WalkingCane_Spikes			
002B42A3	recipe_mod_melee_WalkingCane_SpikesSmall			
002B42A4	recipe_DLC04_mod_melee_DLC04_CommieWhacker_BladesLarge			
002B42A6	recipe_mod_melee_SkiSword_SkateBlade			
002B42A7	recipe_DLC04_mod_melee_Sledgehammer_ExtraHeavyHead_Rocket_Spikes			
002B42A8	recipe_DLC04_mod_melee_Sledgehammer_ExtraHeavyHead_Rocket_Blades			
002B42A9	recipe_DLC04_mod_melee_Sledgehammer_ExtraHeavyHead_Rocket_Blades_Heated			
002B42AC	recipe_mod_melee_Machete_Sacrificial			
002B42AD	recipe_mod_melee_Pitchfork_Flamer			
002B42AE	recipe_mod_melee_Powerfist_Heated			
002B42AF	recipe_mod_melee_Shishkebab_ExtraFlameJets			
002B42B9	recipe_DLC03_mod_melee_polehook_Multihook			
002B42BA	recipe_mod_melee_Hatchet_ElectroFusion			
002B42BB	recipe_DLC01_mod_melee_MrHandyBuzzBlade_Shock			
002B42C6	recipe_mod_melee_DeathclawGauntlet_Hook			
002B42C7	recipe_dlc01_mod_melee_assaultronblade_Shock			
002B8BBA	Recipe_Chems_BerryMentats	76 QA Smoke	NameParse	
002B8BBB	Recipe_Cooking_BrainBombsGourmet	76 QA Smoke	NameParse	
002B8BBC	Recipe_Chems_Bufftats	76 QA Smoke	NameParse	
002B8BBD	Recipe_Chems_Fury	76 QA Smoke	NameParse	
002B8BBE	Recipe_Chems_GrapeMentats	76 QA Smoke	NameParse	
002B8BBF	Recipe_Chems_HealingSalveAshHeap			
002B8BC0	Recipe_Chems_HealingSalveCranberryBog			
002B8BC1	Recipe_Chems_HealingSalveForest			
002B8BC2	Recipe_Chems_HealingSalveMire			
002B8BC3	Recipe_Chems_HealingSalveSavageDivide			
002B8BC4	Recipe_Chems_HealingSalveToxicValley	76 QA Smoke	NameParse	
002B8BC5	Recipe_Chems_Jet	76 QA Smoke	NameParse	
002B8BC6	Recipe_Chems_Mentats	76 QA Smoke	NameParse	
002B8BC7	Recipe_Chems_OrangeMentats	76 QA Smoke	NameParse	
002B8BC8	Recipe_Chems_Overdrive	76 QA Smoke	NameParse	
002B8BC9	Recipe_Chems_Psycho	76 QA Smoke	NameParse	
002B8BCA	Recipe_Chems_Psychobuff	76 QA Smoke	NameParse	
002B8BCB	Recipe_Chems_RadAway	76 QA Smoke	NameParse	
002B8BCC	CUT_Recipe_Chems_RefreshingBeverage			
002B8BCD	Recipe_Chems_SkeetoSpit	76 QA Smoke	NameParse	
002B8BCE	Recipe_Chems_Stimpak	76 QA Smoke	NameParse	
002B8BCF	Recipe_Chems_SuperStimpak	76 QA Smoke	NameParse	
002B8DCF	CharGen_Magazine_Holotape_NukatapperBook_NoName	Vault 76	NameParse	
002B9FD1	Recipe_Armor_Raider_Arms_Medium			
002B9FD3	Recipe_Armor_Raider_Legs_Medium			
002B9FD5	Recipe_Armor_Raider_Torso_Medium			
002BA293	SRMPOI_TrailerNote	[CELL:00261DE1]	ExtCell	
002BA565	BACKUP_Magazine_AstonishingTales01Book			
002BA567	BACKUP_Magazine_AstonishingTales02Book	[CELL:0010D89B]	ExtCell	
002BA569	BACKUP_Magazine_AstonishingTales03Book	[CELL:0010D89B]	ExtCell	
002BA56B	BACKUP_Magazine_AstonishingTales04Book			
002BA56D	BACKUP_Magazine_AstonishingTales05Book	[CELL:0010D89B]	ExtCell	
002C4622	TW007_TerminationPaperwork	GraftonExt16	ExtCell	
002C4624	TW007_CampPostcard	GraftonExt16	ExtCell	
002C543E	BoSz04MissionNote	DevCoryWorld05	ExtCell	Daily  Heart of the Enemy
002D658A	BoS01_EndNote	Fort Defiance	NameParse	Defiance Has Fallen
002DE659	BACKUP_Magazine_ScoutsLife03Book			
002DE677	BACKUP_Magazine_ScoutsLife04Book			
002E9C21	BMO_BunkerNote03_MarketingMemo	Kanawha Nuka-Cola Plant	NameParse	
002ECCF7	MTNL01_TrappersNote	TrappersCampExt	ExtCell	Key To the Past
002ECD0E	MTNL01_GourmandsNote	BoltonGreensCountryClubExt	ExtCell	Key To the Past
002FC47D	LC036_AccessCode			
00300F16	BACKUP_Magazine_ScoutsLife05Book			
00300F2E	BACKUP_Magazine_ScoutsLife06Book			
003072F8	LC149_Jesse_White_Set_List	TheRustyPickExt	ExtCell	
0030F57C	BACKUP_Magazine_Backwoodsman01Book	Vault 76	NameParse	
0030F580	BACKUP_Magazine_Backwoodsman02Book	Vault 76	NameParse	
0030F586	BACKUP_Magazine_Backwoodsman03Book			
0030F58B	BACKUP_Magazine_Backwoodsman04Book			
0030F58F	BACKUP_Magazine_Backwoodsman05Book			
0030F594	BACKUP_Magazine_Backwoodsman06Book			
0030F599	BACKUP_Magazine_Backwoodsman07Book			
0030F59E	BACKUP_Magazine_Backwoodsman08Book			
0030F5A4	BACKUP_Magazine_Backwoodsman09Book			
0030F5A7	BACKUP_Magazine_Backwoodsman10Book			
0030F5AB	BACKUP_Magazine_ScoutsLife01Book			
0030F5B0	BACKUP_Magazine_ScoutsLife02Book			
003113DF	EN01_RecordofDivorce	[CELL:00004B42]	ExtCell	Bunker Buster
003113E0	EN01_WelcomeToTheSenate	Quick Test Cell	NameParse	Bunker Buster
00311416	EN01_ArrestQuinnCarter	CharlestonHeraldExt	ExtCell	
0031141F	EN01_WeSupportQuinnCarter	CampMcClintockExt04	ExtCell	
00312B43	BACKUP_Magazine_ScoutsLife07Book			
00312B46	BACKUP_Magazine_ScoutsLife08Book			
00312B49	BACKUP_Magazine_ScoutsLife09Book			
00312B4C	BACKUP_Magazine_ScoutsLife10Book			
003132CB	recipe_Armor_Casual_Underarmor_FlannelJeans			
003132CC	recipe_Armor_Marine_Underarmor_Wetsuit			
003132F8	recipe_Armor_BoS_Soldier_Underarmor			
003132F9	recipe_Armor_Casual_Underarmor_ShirtJeans			
0031338F	recipe_Armor_VaultSuit96_Underarmor			
00313390	POST_recipe_Armor_VaultSuit63_Underarmor			
003133C2	PioneerScoutGuidePage01_Forward	PioneerScoutCampExt04	ExtCell	
003133CA	PioneerScoutGuidePage02_Fundraising	PioneerScoutCampExt05	ExtCell	
00313493	POST_recipe_Armor_VaultSuit94_Underarmor_Clean			
00313494	recipe_Armor_VaultSuitVT_Underarmor			
00313516	recipe_Armor_BoS_Officer_Underarmor			
00313517	recipe_Armor_BoS_Knight_Underarmor			
0031352A	recipe_Armor_VaultSuit76_Underarmor_Clean			
003196C9	LC150_TOTW_MatterhornChophouse_StaffMemo	Mezzanine Level	NameParse	
003196CA	LC150_TOTW_IceSculptureArtGallery_HenryNote	Mezzanine Level	NameParse	
003196CB	LC150_TOTW_IceSculptureArtGallery_LouisNote	Mezzanine Level	NameParse	
0031975A	LC150_TOTW_DreamboatYachts_MarketingNote	Mezzanine Level	NameParse	
0031975B	LC150_TOTW_DreamboatYachts_OwnersNote	Mezzanine Level	NameParse	
0031975C	LC150_TOTW_DreamboatYachts_AngryLetter	Mezzanine Level	NameParse	
00319B8F	LC182_WendigoCave_EdieNote	Wendigo Cave	NameParse	
00319B92	LC193_ConvertedMunitionsFactory_HoraceNote	MunitionsFactoryExt04	ExtCell	
00319B93	LC193_ConvertedMunitionsFactory_FloydNote	MunitionsFactoryExt03	ExtCell	
0031A0EB	LC144_SunnytopSkiLanes_MarketingMemo	SunnyTopSkiLanesExt04	ExtCell	
0031A0EC	LC144_SunnytopSkiLanes_DirectorMemo	SunnyTopSkiLanesBaseLodgeExt	ExtCell	
0031A0ED	LC144_SunnytopSkiLanes_MaintenanceMemo	SunnyTopSkiLanesExt03	ExtCell	
0031A35A	LC103_NACentralTrainyard_BankNote	NewAppalachianCentralTrainyardExt04	ExtCell	
0031A4F9	LC093_MonongahTownship_MarthaNote	MonongahExt08	ExtCell	
0031BA8A	CP_Booklist_Note	CamdenParkExt08	ExtCell	
0031BA8B	ABT_ShoppingList_Note	AbandonedBogTownExt	ExtCell	
0031BC1B	LC081_MiddleMountainCabins_BragNote	MiddleMountainCabinsExt	ExtCell	
