MGEF_FormID	EDID	FULL	DNAM_MagicItemDescription	DATA_Flags	DATA_Flags2	BaseCost	Unused	MagicSkillRaw	ResistValue	CounterEffectCount	CastingLight	TaperWeight	HitShader	EnchantShader	MinSkillLevel	Spellmaking_Area	CastingTime	TaperCurve	TaperDuration	SecondAVWeight	Archetype	ActorValue	Projectile	Explosion	CastingType	Delivery	CastingArt	HitEffectArt	ImpactData	SkillUsageMultiplier	DualCastingArt	DualCastingScale	EnchantArt	HitVisuals	EnchantVisuals	EquipAbility	ImageSpaceModifier	PerkToApply	CastingSoundLevel	ScriptAI_Score	ScriptAI_DelayTime	ScriptAI_Unknown	Refs_Flat	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30
0002866B	"AbWaterwalking"	"Waterwalking"	"Waterwalking"	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
000294F6	"abBloodbugRaceEffect"	"Bloodbug Abilities"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0002C947	"crBloodbugBloodSplatterFX"	"Bloodbug Blood Splatter"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"BloodSplatterHeavy [EFSH:0003059B]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0002C948	"crBloodbugIchorSplatterFX"	"Bloodbug Blood Splatter"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"RadResistExposure ""Radiation Resistance"" [AVIF:000002EA]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"BloodSplatterHeavy [EFSH:0003059B]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00021E80	"abDeathclawRaceEffect"	"Deathclaw Abilities"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00023735	"RestoreHealthGeneric"	"Restore Health"	"Restore <mag> HP / second"	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00023738	"RestoreRadsChem"	"Chem: Remove Radiation"	"Remove <mag> points of Radiation."	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00023F16	"WaterRadiationHazardEffect"	"Radiation Damage"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"RadResistExposure ""Radiation Resistance"" [AVIF:000002EA]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0000397E	"RestoreHealthFood"	"Restore Health"	"Restore <mag> HP / second"	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0001F8BE	"PowerArmorStrengthEffect"	"Power Armor Strength"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004A0AC	"AbPerkFortifyResistDamage"	"Fortify Damage Resist"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004A0C2	"AbFortifyResistRadiationIngest"	"Fortify Radiation Resist"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004A0D2	"AbFortifyHealth"	"Fortify Health"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004B24F	"AbFortifyCarryWeight"	"Fortify Carry Weight"	"<+MAG> <ITEM1.NAME>"	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004B268	"AbFortifyCharisma"	"Fortify Charisma"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004C7EB	"abDeathclawAoEEffect"	"Deathclaw Abilities"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004C938	"AbFortifyIntelligence"	"Fortify Intelligence"	"<+MAG> <ITEM1.ABBR>"	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004C939	"AbFortifyPerception"	"Fortify Perception"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D86B	"AbPerkFortifyResistPoison"	"Fortify Poison Resist"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D86D	"AbFortifyResistCryo"	"Fortify Cryo Resist"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D86E	"AbPerkFortifyResistFire"	"Fortify Fire Resist"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D86F	"AbFortifyResistElectricity"	"Fortify Electricity Resist"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D870	"AbFortifyActionPoints"	"Fortify Action Points"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D885	"AbFortifyStrength"	"Fortify Strength"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D899	"AbFortifyActionPointRateHidden"	"Fortify Action Point Regen"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D8A8	"AbFortifyHealRateHideUI"	"Fortify Heal Rate"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0005240C	"ParalyzeEffect25"	"Paralyze 25%"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00017036	"BloodbugDrainHealthEffect"	"Bloodbug Drain Health Effect"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00020754	"PerkPacifyEffect"	"Pacify"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00036662	"crBloatflyFrenzyEffect"	"Bloatfly Crippled Frenzy"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"1.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00036904	"destWetEffect"	"Soaked"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"destWetFXS [EFSH:00036902]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00036934	"FortifyStrength"	"Fortify Strength"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00036937	"FortifyEndurance"	"Fortify Endurance"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00036938	"FortifyPerception"	"Fortify Perception"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0003693A	"FortifyCharisma"	"Fortify Charisma"	""	""	"0000000000000000000000000000000000000000000000000000000000000000"	"0.000000"	"00 00"	"00 00 00 00"	"NULL - Null Reference [00000000]"	"0"	"NULL - Null Reference [00000000]"	"0.000000"	"NULL - Null Reference [00000000]"	"NULL - Null Reference [00000000]"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
