SPEL_FormID	SPEL_EDID	SPEL_FULL	EffectIndex	EFID_MGEF_FormID	EFID_MGEF_EDID	EFID_MGEF_FULL	CVTO_CURV_FormID	CVTO_CURV_EDID	MAGA_AVIF_FormID	MAGA_AVIF_EDID	EFIT_Magnitude	EFIT_Area	EFIT_Duration
0004D86C	AbPerkCyborg	Cyborg	2	0004A0AC	AbPerkFortifyResistDamage	Fortify Damage Resist					15.000000	0	0
0004D871	AbPerkActionBoyGirl	Action Boy/Girl	0	0017ED89	AbPerkFortifyActionPointRegen	Fortify Action Point Regen Mult					15.000000	0	0
0004D871	AbPerkActionBoyGirl	Action Boy/Girl	1	0017ED89	AbPerkFortifyActionPointRegen	Fortify Action Point Regen Mult					30.000000	0	0
0004D871	AbPerkActionBoyGirl	Action Boy/Girl	2	0017ED89	AbPerkFortifyActionPointRegen	Fortify Action Point Regen Mult					45.000000	0	0
0004D884	AbPerkNerdRage	Nerd Rage	0	0043BA22	AbPerkNerdRageActionPointRegen	Fortify Action Point Regen Mult			00000392	HealthPercent	0.000000	0	0
0004D884	AbPerkNerdRage	Nerd Rage	1	004F6AB0	abPerkFortifyDmgAll	Fortify All Damage			00000392	HealthPercent	0.000000	0	0
0004D8A9	AbPerkSolarPowered	Solar Powered	0	004351E3	AbPerkFortifyStrength	Fortify Strength					1.000000	0	0
0004D8A9	AbPerkSolarPowered	Solar Powered	1	004351E0	AbPerkFortifyEndurance	Fortify Endurance					1.000000	0	0
0004D8A9	AbPerkSolarPowered	Solar Powered	2	004351E3	AbPerkFortifyStrength	Fortify Strength					2.000000	0	0
0004D8A9	AbPerkSolarPowered	Solar Powered	3	004351E0	AbPerkFortifyEndurance	Fortify Endurance					2.000000	0	0
0004D8A9	AbPerkSolarPowered	Solar Powered	4	004351E3	AbPerkFortifyStrength	Fortify Strength					3.000000	0	0
0004D8A9	AbPerkSolarPowered	Solar Powered	5	004351E0	AbPerkFortifyEndurance	Fortify Endurance					3.000000	0	0
0004DDEF	AbPerkMovingTarget1	Moving Target	0	007ACAFD	AbPerkFortifyEvadeChance	Fortify Evade Chance					5.000000	0	0
0004DDEF	AbPerkMovingTarget1	Moving Target	1	007ACAFD	AbPerkFortifyEvadeChance	Fortify Evade Chance					10.000000	0	0
0004DDEF	AbPerkMovingTarget1	Moving Target	2	007ACAFD	AbPerkFortifyEvadeChance	Fortify Evade Chance					15.000000	0	0
0005240D	PerkParalyze	Paralyze	0	0018526E	ParalyzeEffect	Paralyze					0.000000	0	10
0005240D	PerkParalyze	Paralyze	1	0022B5F0	PerkParalyzeStatEffect	Paralyzed					0.000000	0	0
00052411	AbPerkUnstoppable	Unstoppable	0	0004D899	AbFortifyActionPointRateHidden	Fortify Action Point Regen					3.000000	0	0
00020755	PerkPacify	Perk Pacify	0	00020754	PerkPacifyEffect	Pacify					100.000000	0	60
00029478	AbRaceBloatfly		0	0002866B	AbWaterwalking	Waterwalking					0.000000	0	0
00029478	AbRaceBloatfly		1	000559A4	AbPerkFortifyResistEnergy	Fortify Energy Resist					10.000000	0	0
00029478	AbRaceBloatfly		2	0004D86B	AbPerkFortifyResistPoison	Fortify Poison Resist					20.000000	0	0
00029478	AbRaceBloatfly		3	0004A0AC	AbPerkFortifyResistDamage	Fortify Damage Resist					5.000000	0	0
00036663	crBloatflyFrenzySpell	Bloatfly Frenzy	0	00036662	crBloatflyFrenzyEffect	Bloatfly Crippled Frenzy					4.000000	0	0
0003E061	AbAddictionAlcohol	Alcohol Addiction	0	0010224F	abReduceAgilityAlcoholAddiction	Alcohol Addiction: Reduce Agility					1.000000	0	0
0003E061	AbAddictionAlcohol	Alcohol Addiction	1	00102251	abReduceCharismaAlcoholAddiction	Alcohol Addiction: Reduce Charisma					1.000000	0	0
0003E061	AbAddictionAlcohol	Alcohol Addiction	2	001EB997	abAddictionCount	abAddictionCount					1.000000	0	0
0004BAE0	AbAddictionBuffout	Buffout Addiction	0	0017E5CE	abReduceEnduranceAddiction	Addiction: Reduce Endurance					1.000000	0	0
0004BAE0	AbAddictionBuffout	Buffout Addiction	1	0017E5CC	abReduceStrengthAddiction	Addiction: Reduce Strength					1.000000	0	0
0004BAE0	AbAddictionBuffout	Buffout Addiction	2	0002A74C	CA_AddictionEffect	CA_AddictionEffect					1.000000	0	0
0004BAE0	AbAddictionBuffout	Buffout Addiction	3	001EB997	abAddictionCount	abAddictionCount					1.000000	0	0
0004BAE2	AbAddictionMentats	Mentats Addiction	0	0017E5DF	abReduceCharismaAddiction	Addiction: Reduce Charisma					1.000000	0	0
0004BAE2	AbAddictionMentats	Mentats Addiction	1	0002A74C	CA_AddictionEffect	CA_AddictionEffect					1.000000	0	0
0004BAE2	AbAddictionMentats	Mentats Addiction	2	001EB997	abAddictionCount	abAddictionCount					1.000000	0	0
0004BAE3	AbAddictionPsycho	Psycho Addiction	0	0017E5CC	abReduceStrengthAddiction	Addiction: Reduce Strength					1.000000	0	0
0004BAE3	AbAddictionPsycho	Psycho Addiction	1	0002A74C	CA_AddictionEffect	CA_AddictionEffect					1.000000	0	0
0004BAE3	AbAddictionPsycho	Psycho Addiction	2	0017E6C8	abReduceDamageResistAddiction	Addiction: Damage Damage Resist					10.000000	0	0
0004BAE3	AbAddictionPsycho	Psycho Addiction	3	001EB997	abAddictionCount	abAddictionCount					1.000000	0	0
0004BAE4	AbAddictionMedX	Med-X Addiction	0	0017E601	abReduceAgilityAddiction	Addiction: Reduce Agility					1.000000	0	0
0004BAE4	AbAddictionMedX	Med-X Addiction	1	0002A74C	CA_AddictionEffect	CA_AddictionEffect					1.000000	0	0
0004BAE4	AbAddictionMedX	Med-X Addiction	2	0017E6C8	abReduceDamageResistAddiction	Addiction: Damage Damage Resist					10.000000	0	0
0004BAE4	AbAddictionMedX	Med-X Addiction	3	001EB997	abAddictionCount	abAddictionCount					1.000000	0	0
0004C47C	AbRaceMirelurk	Mirelurk abilities	0	0004C47D	AbPerkFortifyResistRadiationExpose	Fortify Radiation Resist					100.000000	0	0
0004C47C	AbRaceMirelurk	Mirelurk abilities	1	0004A0AC	AbPerkFortifyResistDamage	Fortify Damage Resist					30.000000	0	0
0004C47C	AbRaceMirelurk	Mirelurk abilities	2	0004D86D	AbFortifyResistCryo	Fortify Cryo Resist					20.000000	0	0
0004C47C	AbRaceMirelurk	Mirelurk abilities	3	000559A4	AbPerkFortifyResistEnergy	Fortify Energy Resist					10.000000	0	0
0004C47E	AbPerkLeadBelly	Lead Belly	0	004F9A36	AbPerkFortifyResistRadiationIngest	Fortify Radiation Resist			000002C4	Endurance	0.000000	0	0
0004D6B9	AbPerkRadResistance	Rad Resistance	0	0004C47D	AbPerkFortifyResistRadiationExpose	Fortify Radiation Resist					10.000000	0	0
0004D6B9	AbPerkRadResistance	Rad Resistance	1	0004C47D	AbPerkFortifyResistRadiationExpose	Fortify Radiation Resist					20.000000	0	0
0004D6B9	AbPerkRadResistance	Rad Resistance	2	0004C47D	AbPerkFortifyResistRadiationExpose	Fortify Radiation Resist					30.000000	0	0
0005B2E0	PerkCannibalHeal	Cannibal Heal	0	00024056	DamageRadiationEating	Eating: Radiation Damage					0.000000	0	5
0005B2E0	PerkCannibalHeal	Cannibal Heal	1	00026874	SURV_Food_Effect	SURV_Food_Effect					216.000000	0	5
0005B2E0	PerkCannibalHeal	Cannibal Heal	2	0000397E	RestoreHealthFood	Restore Health					15.000000	0	5
0005B2E0	PerkCannibalHeal	Cannibal Heal	3	00026874	SURV_Food_Effect	SURV_Food_Effect					432.000000	0	5
0005B2E0	PerkCannibalHeal	Cannibal Heal	4	0000397E	RestoreHealthFood	Restore Health					30.000000	0	5
0005B2E0	PerkCannibalHeal	Cannibal Heal	5	00134836	SURV_Drink_Effect	SURV_Drink_Effect					0.000000	0	0
0005C528	SURV_WellRested	Rested	0	0005C527	SURV_WellRestedEffect	Rested					1.000000	0	3600
0005C52F	HealLimbs	Heal Limbs	0	0005C529	RestoreConditionHead	Heal Head					100.000000	0	0
0005C52F	HealLimbs	Heal Limbs	1	0005C52C	RestoreConditionLeftArm	Heal Left Arm					100.000000	0	0
0005C52F	HealLimbs	Heal Limbs	2	0005C52D	RestoreConditionLeftLeg	Heal Left Leg					100.000000	0	0
0005C52F	HealLimbs	Heal Limbs	3	0005C52A	RestoreConditionRightArm	Heal Right Arm					100.000000	0	0
0005C52F	HealLimbs	Heal Limbs	4	0005C52B	RestoreConditionRightLeg	Heal Right Leg					100.000000	0	0
0005C52F	HealLimbs	Heal Limbs	5	0005C52E	RestoreConditionTorso	Heal Torso					100.000000	0	0
0005C52F	HealLimbs	Heal Limbs	6	00023735	RestoreHealthGeneric	Restore Health					9999.000000	0	0
0005DD98	AbPerkAbsorbRadiation	Absorb Radiation	0	0005DD97	AbsorbRads	Absorb Radiation					0.100000	0	86313600
0005E1C9	abDeathClawClawsSpell		0	0005E1C8	abDeathclawClawsEffect	Deathclaw Claw Dismember					0.000000	0	2
000636DD	AbRaceRadScorpion	Mirelurk abilities	0	001090A7	abRadscorpionRaceEffect	Radscorpion VFX					0.000000	0	0
0006AB35	AbPerkVANS	Vault Assisted Navigation System	0	0006AB36	AbVANS	VANS Helper					1.000000	0	0
0006D2E2	PoisonStingwingBite	Stingwing Poison	0	000856FA	dtPoisonEffectChanceAlways	Damage Type Poison					6.000000	0	7
000731B2	CritLaser		0	000731B3	CritLaserEffect	Critical Laser Hit					10.000000	0	10
0008381F	HazardRadiationCarExplosion	Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
0009252C	RadiationHazardLight	Light Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
0009253D	RadiationHazardStrong	Strong Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
0009253E	RadiationHazardDeadly	Deadly Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
0003CC96	SpellVANS	VANS	0	0003CC95	VANSEffect	VANS					0.000000	0	5
00064C64	AbRaceMirkelurkHunter	Mirelurk abilities	0	0004C47D	AbPerkFortifyResistRadiationExpose	Fortify Radiation Resist					100.000000	0	0
000986CB	abGunButtKnockbackSpell		0	000986CC	abGunButtKnockbackEffect	Gun Butt Knockback					0.000000	0	0
000A564A	crGlowingOneBurst	Radiation Explosion	0	000A5649	GlowingOneRadiationBurst	Radiation Burst					0.000000	40	0
000A564A	crGlowingOneBurst	Radiation Explosion	1	000AB678	GlowingOneReanimate	Reanimate					25.000000	20	5
000A7D74	CigaretteLightSpell		0	000A7D76	CigaretteLightEffect	Cigarette Light					5.000000	0	1
000ADF5C	GenericBrawlConfidenceBoost	Brawl confidence	0	000ADF5B	AbConfidenceFoolhardy	Foolhardy					5.000000	0	0
000B1ECD	WaterFountainDrinkingDirty	Water	0	0000397E	RestoreHealthFood	Restore Health					2.000000	0	10
000B1ECD	WaterFountainDrinkingDirty	Water	1	003266D2	SURV_DiseaseVector_Drink_Effect_WaterWitchPerk	Disease Chance: Water Witch Version					15.000000	0	0
000B1ECD	WaterFountainDrinkingDirty	Water	2	00134836	SURV_Drink_Effect	SURV_Drink_Effect					900.000000	0	0
000B1ECD	WaterFountainDrinkingDirty	Water	3	003266D4	WaterFountainRadiationEffect	Water Fountain Radiation Damage					15.000000	0	2
000B268E	AbRaceRobots	Robot abilities	0	0004C47D	AbPerkFortifyResistRadiationExpose	Fortify Radiation Resist					100.000000	0	0
000B268E	AbRaceRobots	Robot abilities	1	0004A0AC	AbPerkFortifyResistDamage	Fortify Damage Resist					30.000000	0	0
000B268E	AbRaceRobots	Robot abilities	2	0004D86D	AbFortifyResistCryo	Fortify Cryo Resist					20.000000	0	0
000B268E	AbRaceRobots	Robot abilities	3	000559A4	AbPerkFortifyResistEnergy	Fortify Energy Resist					100.000000	0	0
000BA450	mod_Lining_FieldGen_Radiation_Spell_1	FieldGen Radiation Spell	0	000BA44F	mod_Lining_FieldGen_Radiation_MagicEffect	FieldGen Radiation Damage					1.000000	0	1
000BA457	mod_Lining_FieldGen_Radiation_Spell_2	FieldGen Radiation Spell	0	000BA44F	mod_Lining_FieldGen_Radiation_MagicEffect	FieldGen Radiation Damage					2.000000	0	1
000BA458	mod_Lining_FieldGen_Radiation_Spell_3	FieldGen Radiation Spell	0	000BA44F	mod_Lining_FieldGen_Radiation_MagicEffect	FieldGen Radiation Damage					3.000000	0	1
000BA459	mod_Lining_FieldGen_Radiation_Spell_4	FieldGen Radiation Spell	0	000BA44F	mod_Lining_FieldGen_Radiation_MagicEffect	FieldGen Radiation Damage					4.000000	0	1
000BA461	mod_Lining_FieldGen_EMP_Spell_2	FieldGen EMP Spell 2	0	000BA45E	mod_Lining_FieldGen_EMP_MagicEffect	FieldGen EMP Damage					2.000000	0	1
000BA462	mod_Lining_FieldGen_EMP_Spell_1	FieldGen EMP Spell	0	000BA45E	mod_Lining_FieldGen_EMP_MagicEffect	FieldGen EMP Damage					1.000000	0	1
000BA463	mod_Lining_FieldGen_EMP_Spell_3	FieldGen EMP Spell 3	0	000BA45E	mod_Lining_FieldGen_EMP_MagicEffect	FieldGen EMP Damage					3.000000	0	1
000BA464	mod_Lining_FieldGen_EMP_Spell_4	FieldGen EMP Spell 4	0	000BA45E	mod_Lining_FieldGen_EMP_MagicEffect	FieldGen EMP Damage					4.000000	0	1
000CA9A0	AbPerkRefractor	Refractor	0	000559A4	AbPerkFortifyResistEnergy	Fortify Energy Resist			000002C3	Perception	0.000000	0	0
000DF451	RadiationHazardToken	Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
000E36FB	AbPerkAquaboy	Aquaboy	0	000E36FA	AbWaterbreathing	Waterbreathing					1.000000	0	0
000E36FB	AbPerkAquaboy	Aquaboy	1	0004C47D	AbPerkFortifyResistRadiationExpose	Fortify Radiation Resist					100.000000	0	0
000ED6DD	AbGenericBrawlPreventLimbDamage		0	000ED6DE	GenericBrawlPreventLimbDamageEffect	Prevent Limb Damage					100.000000	0	0
000F248B	TrapOilFireHazard	Strong Fire Hazard	0	000F248C	TrapOilFireHazardEffect	Fire Damage					10.000000	0	0
000F3C1D	LoversEmbracePerkSpell	Lover's Embrace	0	000F3C1C	LoversEmbracePerkEffect	Lover's Embrace					1.000000	0	1440
000DB3AD	crGlowingOneCloak	Radiation Cloak	0	000DB3AE	RadiationCloak	Radiation Cloak					5.000000	40	0
00102797	AbRaceMirelurkQueen	Mirelurk abilities	0	00471F4D	abMirelurkQueenRaceEffect	Mirelurk Queen Abilities					0.000000	0	0
00106FBB	crYaoGuaiRoarFearSpell	Yao Guai Roar Fear Spell	0	00106FBA	YaoGuaiRoarFearEffect	Yao Guai Roar Fear					25.000000	40	10
00115A93	PoisonRadstagHorn	Radstag Infection	0	001FE6A2	crPoisonEffect	Damage Type Poison					1.000000	0	5
00115A93	PoisonRadstagHorn	Radstag Infection	1	000856FA	dtPoisonEffectChanceAlways	Damage Type Poison					3.000000	0	5
00115A93	PoisonRadstagHorn	Radstag Infection	2	000856FE	dtRadiationEffectChanceAlways	Damage Type Radiation					15.000000	0	0
00115EA3	RadstagCorruption	Radstag Corruption	0	000856FA	dtPoisonEffectChanceAlways	Damage Type Poison					1.000000	0	5
00115EA3	RadstagCorruption	Radstag Corruption	1	000856FE	dtRadiationEffectChanceAlways	Damage Type Radiation					15.000000	0	0
00115EA4	crGlowingRadstagCloak	Radiation Cloak	0	0017FCF0	crRadstagCloakEffect	Radiation Cloak					1.000000	40	0
00115EB0	PoisonRadscorpion	Radscorpion Poison	0	00130DBC	RadScorpion_dtPoisonEffectChanceAlways	Damage Type Poison					8.000000	0	5
00115EB0	PoisonRadscorpion	Radscorpion Poison	1	000856FE	dtRadiationEffectChanceAlways	Damage Type Radiation					6.000000	0	0
00115EB0	PoisonRadscorpion	Radscorpion Poison	2	00130DBE	RadscorpionPoisonEffectPlayer	Radscorpion Poison					0.000000	0	4
00116007	AbRaceTurretTripod		0	00116004	abTurretTripodRaceEffect	Turret Tripod Race FX					0.000000	0	0
0011669C	crGlowingRadscorpionCloak	Radiation Cloak	0	0017FD02	crRadscorpionCloakEffect	Radiation Cloak					2.000000	40	0
001166A4	crGlow02Burst	Radiation Explosion	0	000A5649	GlowingOneRadiationBurst	Radiation Burst					30.000000	40	0
001166A4	crGlow02Burst	Radiation Explosion	1	000AB678	GlowingOneReanimate	Reanimate					99.000000	20	5
0011680D	terminalhackerTurretSabotageSpell	Overclocking_Subroutine	0	0011680E	hackerTurretSabotageEffect	Overlock_subroutine					0.000000	0	0
00122E6B	AbRaceEyebot		0	00122624	abEyebotRaceEffect	Eyebot VFX					0.000000	0	0
0012772C	jetpackSpell	Jet Paaaaaaaaaaaaaaaaaaaaack!	0	0012772D	jetpackEFFECT	Power Armor Jetpack Effect					1000.000000	0	0
00135F0B	AbPerkMagWSGCarry	Backpacking	0	0004B24F	AbFortifyCarryWeight	Fortify Carry Weight					5.000000	0	0
00139F8C	CritPlasma		0	00139F8B	CritPlasmaEffect	Critical Plasma Hit					10.000000	0	10
00140F27	TrapElectricArcSpell		0	00140F28	TrapElectricArcMagicEffect	Energy Damage					20.000000	0	0
001423A3	crGlowingMirelurkCloak	Radiation Cloak	0	0017FCEE	crMirelurkCloakEffect	Radiation Cloak					2.000000	15	0
001423A4	crGlowingMirelurkHunterCloak	Radiation Cloak	0	0017FCF2	crMirelurkHunterCloakEffect	Radiation Cloak					2.000000	40	0
001423A5	crGlowingMirelurkKingCloak	Radiation Cloak	0	0017FCF3	crMirelurkKingCloakEffect	Radiation Cloak					2.000000	40	0
001423A6	crGlowingCarrionGhoulCloak	Radiation Cloak	0	000DB3AE	RadiationCloak	Radiation Cloak					3.000000	40	0
001423B9	crGlowingBloodbugCloak	Radiation Cloak	0	0017FCED	crBloatflyCloakEffect	Radiation Cloak					2.000000	40	0
001423BA	PoisonBloodbug	Bloodbug Infection	0	001FE6A2	crPoisonEffect	Damage Type Poison					5.000000	0	5
001423BA	PoisonBloodbug	Bloodbug Infection	1	000856FE	dtRadiationEffectChanceAlways	Damage Type Radiation					11.000000	0	0
001423C0	crGlowingStingwingCloak	Radiation Cloak	0	0017FCEF	crStingwingCloakEffect	Radiation Cloak					1.000000	40	0
00144AB2	crBehemothSlam	Behemoth Slam	0	00144AB1	crBehemothSlamAreaEffect	Behemoth Slam Area Effect					1.000000	21	1
001478EC	CritFire		0	001478EA	CritFireEffect	Immolation					10.000000	0	45
001478ED	CritCryo		0	001478EB	CritCryoEffect	Critical Cryo Hit					10.000000	0	10
0014AE57	PoisonMirelurkHunter	Hunter Poison	0	0006F12B	dtRadiationEffectChanceLow	Damage Type Radiation					5.000000	0	0
0014D17A	crBehemothStomp	Behemoth Stomp	0	0014D17B	crBehemothStompAreaEffect	Behemoth Slam Area Effect					1.000000	21	1
001504F3	BloodbugHeal	Drink Blood	0	00023735	RestoreHealthGeneric	Restore Health					5.000000	0	5
0015A197	AbRaceSuperMutant	Super Mutant abilities	0	003D131B	abSuperMutantRaceEffect	Super Mutant Abilities					0.000000	0	0
0015A197	AbRaceSuperMutant	Super Mutant abilities	1	0004C47D	AbPerkFortifyResistRadiationExpose	Fortify Radiation Resist					100.000000	0	0
001680CA	AbRaceAssaultron		0	001680CB	abAssaultronRaceEffect	Assaultron Abilities					0.000000	0	0
00169635	MirelurkSpawnQueenSpell		0	00169636	MirelurkSpawnMagicEffect	Create Mirelurk Spawn					0.000000	0	0
0016968F	AbPerkMagAP		0	0004D870	AbFortifyActionPoints	Fortify Action Points					5.000000	0	0
00169694	AbPerkMagPoisonResist		0	0004D86B	AbPerkFortifyResistPoison	Fortify Poison Resist					15.000000	0	0
00169697	AbPerkMagRadResist		0	0004C47D	AbPerkFortifyResistRadiationExpose	Fortify Radiation Resist					5.000000	0	0
00169697	AbPerkMagRadResist		1	0004A0C2	AbFortifyResistRadiationIngest	Fortify Radiation Resist					5.000000	0	0
00171782	PerkPainTrainHitSpell	Applied to target by cloak effect	0	003C9FDC	PerkPainTrainDamageEffectNew	Pain Train Damage Health					15.000000	0	1
00171782	PerkPainTrainHitSpell	Applied to target by cloak effect	1	003C9FDE	PerkPainTrainStaggerEffectNew	Pain Train Stagger					2.000000	0	1
00171782	PerkPainTrainHitSpell	Applied to target by cloak effect	2	003C9FDC	PerkPainTrainDamageEffectNew	Pain Train Damage Health					30.000000	0	1
00171782	PerkPainTrainHitSpell	Applied to target by cloak effect	3	003C9FDE	PerkPainTrainStaggerEffectNew	Pain Train Stagger					3.000000	0	1
00171782	PerkPainTrainHitSpell	Applied to target by cloak effect	4	003C9FDC	PerkPainTrainDamageEffectNew	Pain Train Damage Health					50.000000	0	1
00171782	PerkPainTrainHitSpell	Applied to target by cloak effect	5	003C9FDE	PerkPainTrainStaggerEffectNew	Pain Train Stagger					4.000000	0	1
00171784	abPerkPainTrain	Pain Train	0	008450EE	abPainTrainRank	Pain Train					1.000000	0	0
00171784	abPerkPainTrain	Pain Train	1	008450EE	abPainTrainRank	Pain Train					2.000000	0	0
00171784	abPerkPainTrain	Pain Train	2	008450EE	abPainTrainRank	Pain Train					3.000000	0	0
0017FCEA	crGlowingBloatflyCloak	Radiation Cloak	0	0017FCED	crBloatflyCloakEffect	Radiation Cloak					2.000000	20	0
0017FCEB	crBloatflyRadHazard	Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
0017FCF7	crMirelurkRadHazard	Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
0017FCF8	crMirelurkHunterRadHazard	Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
0017FCF9	crMirelurkKingRadHazard	Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
0017FCFA	crMirelurkQueenRadHazard	Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
0017FCFB	crBloodbugRadHazard	Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
0017FCFC	crStingwingRadHazard	Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
0017FCFD	crDogRadHazard	Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
0017FCFE	crRadstagRadHazard	Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
0017FCFF	crYaoGuaiRadHazard	Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
0017FD00	crMoleratRadHazard	Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
0017FD01	crGlowingYaoGuaiCloak	Radiation Cloak	0	0017FCF6	crYaoGuaiCloakEffect	Radiation Cloak					2.000000	40	0
0017FD03	crRadscorpionRadHazard	Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
0017FD04	crGlowingDogCloak	Radiation Cloak	0	0017FCF5	crDogCloakEffect	Radiation Cloak					2.000000	20	0
0017FD05	PoisonViciousDog	Canine Infection	0	001FE6A2	crPoisonEffect	Damage Type Poison					2.000000	0	5
001832F9	crGlowingMoleratCloak	Radiation Cloak	0	0017FCF1	crMoleratCloakEffect	Radiation Cloak					2.000000	20	0
001832FA	zzzPoisonMolerat	Molerat Infection	0	001FE6A2	crPoisonEffect	Damage Type Poison					0.000000	0	0
00183300	crGlowingDeathclawCloak	Radiation Cloak	0	00183301	crDeathclawCloakEffect	Radiation Cloak					4.000000	25	0
00183302	crDeathclawRadHazard	Radiation	0	0009252A	RadiationHazardEffect	Radiation Damage					0.000000	0	1
00184D85	ReconScopeSpell	Recon Scope Spell	0	000A07F5	ReconScopeEffect	Recon Scope Effect					1.000000	0	4320
00195599	terminalHackerTurretConfidenceSpell	turretConfidence	0	0019559A	AbTerminalHackerTurretCowardly	terminalCowardly					5.000000	0	0
001955B7	AbRaceRadstag		0	001955B8	abRadstagRaceEffect	Radstag Racial Abilities					0.000000	0	0
0019FFBA	abDeathMessage	Death Message	0	0019FFB8	abDeathMessageEffect	Death Message					0.000000	0	0
001A85CF	crGlowingMutantHoundCloak	Radiation Cloak	0	0017FCF5	crDogCloakEffect	Radiation Cloak					3.000000	20	0
0002B6D7	AbRaceProtectron		0	0002B6D8	abProtectronRaceEffect	Protectron Abilities					0.000000	0	0
00041EC8	TrapElectricArcSpellV111		0	00041EC7	TrapElectricArcMagicEffectV111	Electricity Damage					5.000000	0	0
0004AB42	crMirelurkKingBlurCloak	Blur Cloak	0	0004AB43	crMirelurkKingBlurCloakEffect	Mirelurk King Blur Cloak					0.000000	0	2
