set	ref_formid	map_number	map_region	map_marker
pint-sized-slasher-masks	0090D3A2	94	The Mire	Old Danielson Cabin
pint-sized-slasher-masks	0090D2C9	95	The Mire	Sunday Brothers' Cabin
pint-sized-slasher-masks	0090D2CC	96	The Mire	Sunday Brothers' Cabin
pint-sized-slasher-masks	0090D2CE	97	The Mire	Sunday Brothers' Cabin
pint-sized-slasher-masks	0090D4FF	98	Toxic Valley	Hemlock Holes
pint-sized-slasher-masks	0090D503	99	Toxic Valley	Hemlock Holes
pint-sized-slasher-masks	008F678D	100	Toxic Valley	Kiddie Corner Cabins
pint-sized-slasher-masks	0090D39D	101	Toxic Valley	Kiddie Corner Cabins
pint-sized-slasher-masks	008F6155	102	Toxic Valley	Pioneer Scout Camp
pint-sized-slasher-masks	008F6651	103	Toxic Valley	Pioneer Scout Camp
pint-sized-slasher-masks	008F6655	104	Toxic Valley	Pioneer Scout Camp
pint-sized-slasher-masks	008FBCF0	105	Toxic Valley	Pioneer Scout Lookout
pint-sized-slasher-masks	008F76AC	106	Toxic Valley	Wavy Willard's Water Park
pint-sized-slasher-masks	008F76AD	107	Toxic Valley	Wavy Willard's Water Park
pint-sized-slasher-masks	008F76B0	108	Toxic Valley	Wavy Willard's Water Park
