season	page	unlockRank	slot	name	qty	cost	isFirst	formId	wikiIcon	notes
16	3	14	1	Cryptid Tiki Statues		40		007479E8	score_s16_camp_floordecor_tikistatue_l.webp	
16	3	14	2	Rip and Friends Surfboard Shelf Set		30		007461F6	score_s16_camp_wallshelving_surfboard_l.webp	
16	3	14	3	Tiki Torches		30		007479E7	score_s16_camp_lights_floorlamps_tikitorch_l.webp	
16	3	14	4	Atoms	200	25			Score currency atoms l.webp	
16	3	14	5	Tiki Music Box		20		0074E3D3	score_s16_entm_camp_floordecor_tikimusicbox_l.webp	
16	3	14	6	SCORE Booster	3	5		0069F2C6	SCORE_Utility_ScoreBooster_L.webp	
16	3	14	7	Tropical Cryptid Shirt and Shorts Outfit		30	TRUE	007515AD	score_s16_apparel_outfit_tropicalcryptidprintoutfit_l.webp	
16	3	14	8	Glass Float Lights		25	TRUE	0074DC81	score_s16_camp_lights_ceiling_glassfloat_tikilights_l.webp	
16	3	14	9	Legendary Modules	10	5	TRUE	005EE7EF	Score game legendarymodule l.webp	
16	3	14	10	Gun Show Player Icon		0	TRUE	0074DC8B	atx_playericon_s16_ripdaringflex.webp	
16	4	22	1	Cremator		55		00729BD2	score_s16_weapons_cremator_l.webp	
16	4	22	2	Devilish Excavator Power Armor Paint		45		00748481	score_s16_skin_powerarmor_paint_excavator_devilish_l.webp	
16	4	22	3	Rip Daring Flag		15		0074847B	score_s16_camp_walldecor_ripdaringflag_l.webp	
16	4	22	4	Stamps	10	15		0066EFB4	SCORE Currency Stamps.webp	
16	4	22	5	"Rip Daring ""Duel with the Devil"" Poster"		10		0074621F	score_s16_camp_walldecor_poweredposter_ripdaring01_l.webp	
16	4	22	6	Jersey Devil Player Icon		5		0074DC8C	atx_playericon_s16_jerseydevil.webp	
16	4	22	7	Ultracite Supply Crate	3	0		0072864C	SCORE S15 Consumable UltraciteScrapSupply L.webp	
16	4	22	8	Peepers Paint (Lever Action Rifle)		35	TRUE	00746CF4	score_s16_skin_weaponskin_leveractionrifle_peepers_l.webp	
16	4	22	9	Atoms	200	15	TRUE		Score currency atoms l.webp	
16	4	22	10	Legendary Scrip	300	5	TRUE	005AD5B1	Score currency scrip l.webp	
16	5	30	1	Lite Ally: Adelaide		50		0073E941	Score s16 camp ally adelaide l.png	
16	5	30	2	Peepers Paint (Gauss Rifle)		40		00746CF2	score_s16_skin_weaponskin_gaussrifle_peepers_l.webp	
16	5	30	3	Chessboard Display		25		0074F556	score_s16_camp_displaycase_chessboard_l.webp	
16	5	30	4	Toy Robot Set		15		0074F2E5	score_s16_camp_floordecor_toyrobotset_l.webp	
16	5	30	5	Adelaide Player Icon		5		0074DC8D	atx_playericon_s16_adelaide.webp	
16	5	30	6	Re-Roller	5	0		0068D465	SCORE Utility Reroller L.webp	
16	5	30	7	Bullseye Trampoline		30	TRUE	007461F4	score_s16_camp_furniture_bullseyetrampoline_l.webp	
16	5	30	8	Ball Buddies		20	TRUE	0074DC71	score_s16_camp_floordecor_ballbuddies_l.webp	
16	5	30	9	Caps	5000	10	TRUE	005AD5B3	Score currency caps l.webp	
16	5	30	10	10% SCORE Boost		5	TRUE	0075BFBC	Score account scoreboost l.webp	
16	6	38	1	Devilish Union Power Armor Paint		45		00748480	score_s16_skin_powerarmor_paint_union_devilish_l.webp	
16	6	38	2	Construction Loader		30		0074F2E7	score_s16_camp_floordecor_constructionloader_l.webp	
16	6	38	3	Hanging Tire Baskets		20		007515AC	score_s16_camp_ceilingdecor_hangingtirebasket_l.webp	
16	6	38	4	Raider Cages		20		00750BAA	score_s16_camp_floordecor_raidercage_l.webp	
16	6	38	5	Atoms	200	20			Score currency atoms l.webp	
16	6	38	6	Carry Weight Booster	5	5		005FD9AC	Score utility carryweight l.webp	
16	6	38	7	Peepers Paint (Auto Axe)		40	TRUE	00746CF1	score_s16_skin_weaponskin_autoaxe_peepers_l.webp	
16	6	38	8	Construction Barrier		15	TRUE	0074F2F2	score_s16_camp_floordecor_constructionbarrier_l.webp	
16	6	38	9	SCORE Booster	3	5	TRUE	0069F2C6	SCORE_Utility_ScoreBooster_L.webp	
16	6	38	10	Cage Sign		0	TRUE	0074F2E6	score_s16_camp_walldecor_cagesign_l.webp	
16	7	46	1	Cryptid Skull Backpack		45		00746CA8	score_s16_skin_backpack_cryptidskull_l.webp	
16	7	46	2	Devilish Hellcat Power Armor Paint		45		00748479	score_s16_skin_powerarmor_paint_hellcat_devilish_l.webp	
16	7	46	3	Daring Binoculars		25		00752294	score_s16_weapons_daringbinoculars_l.webp	
16	7	46	4	Jersey Devil's Shoe Backpack Flair		25		0074621C	score_s16_skin_backpackflair_jerseydevilshoe_l.webp	
16	7	46	5	Legendary Scrip	300	10		005AD5B1	Score currency scrip l.webp	
16	7	46	6	Basic Repair Kit	5	5		0041ADED	Atx utility repairkit basic l.webp	
16	7	46	7	Peepers Paint (Cremator)		40	TRUE	00729BD1	score_s16_skin_weaponskin_cremator_peepers_l.webp	
16	7	46	8	Jersey Devil's Horseshoe Rug		25	TRUE	007479E9	score_s16_camp_floordecor_rug_horseshoe_l.webp	
16	7	46	9	Scrap Kit	5	5	TRUE	0054E322	Atx utility repairkit scraptostash l.webp	
16	7	46	10	Atoms	200	0	TRUE		Score currency atoms l.webp	
16	8	55	1	Devilish Ultracite Power Armor Paint		45		00748478	score_s16_skin_powerarmor_paint_ultracite_devilish_l.webp	
16	8	55	2	Rip Daring Paint (Cremator)		40		00729BD0	score_s16_skin_weaponskin_cremator_ripdaring_l.webp	
16	8	55	3	Slowburner Mod (Cremator)		25		0075154E	score_s16_weaponmod_plan_cremator_l.webp	
16	8	55	4	Atoms	200	25			Score currency atoms l.webp	
16	8	55	5	Lunchboxes	5	5		005AD5B0	Atx store lunchbox001 l.webp	
16	8	55	6	Legendary Modules	10	5		005EE7EF	Score game legendarymodule l.webp	
16	8	55	7	Scout's Banner	5	5		0067A855	SCORE COEN Utility Banner L.webp	
16	8	55	8	Water Boiler		45	TRUE	007461F9	score_s16_camp_collector_waterboiler_l.webp	
16	8	55	9	Legendary Scrip	300	5	TRUE	005AD5B1	Score currency scrip l.webp	
16	8	55	10	Stamps	10	0	TRUE	0066EFB4	SCORE Currency Stamps.webp	
16	9	63	1	Devilish T-65 Power Armor Paint		45		0074847D	score_s16_skin_powerarmor_paint_t65_devilish_l.webp	
16	9	63	2	World of Cryptids Trunk		40		007479E5	score_s16_camp_stashbox_worldofcryptidstrunk_l.webp	
16	9	63	3	Heavy Mod (Cremator)		35		00751550	score_s16_weaponmod_plan_cremator_l.webp	
16	9	63	4	Cryptid Hunt Wallpaper		15		00767779	score_s16_camp_wallpaper_cryptidhunt_l.webp	
16	9	63	5	"Rip Daring ""Surf's Up"" Poster"		10		00746220	score_s16_camp_walldecor_poweredposter_ripdaring02_l.webp	
16	9	63	6	Legendary Core	10	5		0060A0CD	Score game legendary core l.webp	
16	9	63	7	Large Vault-Tec Supply Package	3	5		005C3004	Atx utility scrapball level3 l.webp	
16	9	63	8	Peepers Paint (Pump Action Shotgun)		40	TRUE	0074723C	score_s16_skin_weaponskin_pumpactionshotgun_peepers_l.webp	
16	9	63	9	Devilish Player Icon		5	TRUE	0074DC8E	atx_playericon_s16_devilishskull.webp	
16	9	63	10	Gold Bullion	500	0	TRUE	005AD5B2	Score currency bullion l.webp	
16	10	71	1	Autopsy Table Chemistry Workstation		50		007461F5	score_s16_camp_workbench_chemistry_autopsy_l.webp	
16	10	71	2	Good Luck Emote		30		00747A06	score_s16_emotes_interaction_goodluck_l.webp	
16	10	71	3	Brahmin Corpse		25		0074E404	score_s16_camp_floordecor_brahmincorpse_l.webp	
16	10	71	4	Caps	5000	15		005AD5B3	Score currency caps l.webp	
16	10	71	5	Scrap Kit	5	5		0054E322	Atx utility repairkit scraptostash l.webp	
16	10	71	6	Mystery Magazine Package	3	5		0075887C	Score utility magazinebookbox l.webp	
16	10	71	7	Devilish X-01 Power Armor Paint		45	TRUE	0074847F	score_s16_skin_powerarmor_paint_x01_devilish_l.webp	
16	10	71	8	Wet Floor Sign		15	TRUE	0075334C	score_s16_camp_floordecor_wetfloorsign_l.webp	
16	10	71	9	Atoms	200	10	TRUE		Score currency atoms l.webp	
16	10	71	10	10% SCORE Boost		0	TRUE	0075BFBD	Score account scoreboost l.webp	cost 0 per in-game screenshot S16_Page_10.jpg (wiki said 5)
16	11	79	1	Peepers Paint (Plasma Caster)		40		00746CF3	score_s16_skin_weaponskin_plasmacaster_peepers_l.webp	
16	11	79	2	Grass Roof Kit		25		00747C69	score_s16_camp_kit_grassroofkit_l.webp	
16	11	79	3	Napalmer Mod (Cremator)		20		00761382	score_s16_weaponmod_plan_cremator_l.webp	
16	11	79	4	Pine Barrens Devil Hunt Photomode Frame		5		007515BD	score_s16_photomode_frame_pinebarrensdevilhunt_l.webp	
16	11	79	5	Legendary Scrip	300	5		005AD5B1	Score currency scrip l.webp	
16	11	79	6	Carry Weight Booster	5	5		005FD9AC	Score utility carryweight l.webp	
16	11	79	7	Pine Barrens Wallpaper		0		00746CA2	score_s16_camp_wallpaper_pinebarrens_l.webp	
16	11	79	8	Jersey Devil Shooting Gallery		40	TRUE	007461F8	score_s16_camp_furniture_shootinggallery_jerseydevil_l.webp	
16	11	79	9	Atoms	200	5	TRUE		Score currency atoms l.webp	
16	11	79	10	Basic Repair Kit	5	5	TRUE	0041ADED	Atx utility repairkit basic l.webp	
16	12	85	1	Devilish T-60 Power Armor Paint		40		0074847A	score_s16_skin_powerarmor_paint_t60_devilish_l.webp	
16	12	85	2	Double Shot and Multi Shot Barrel Mods (Cremator)		30		0075154F	score_s16_weaponmod_plan_cremator_l.webp	
16	12	85	3	Jersey Devil Stein		25		0074621B	score_s16_camp_floordecor_stein_jerseydevil_l.webp	
16	12	85	4	Atoms	200	20			Score currency atoms l.webp	
16	12	85	5	Beach Guinevere Player Icon		5		0074DC8F	atx_playericon_s16_guineverevacation.webp	
16	12	85	6	Scout's Banner	5	5		0067A855	SCORE COEN Utility Banner L.webp	
16	12	85	7	Gold Bullion	500	0		005AD5B2	Score currency bullion l.webp	
16	12	85	8	Homemade Xylophone		40	TRUE	0066F1EF	score_s16_camp_furniture_instrument_homemadexylophone_l.webp	
16	12	85	9	Lunchboxes	5	5	TRUE	005AD5B0	Atx store lunchbox001 l.webp	
16	12	85	10	Re-Roller	5	5	TRUE	0068D465	SCORE Utility Reroller L.webp	
16	13	92	1	Cryptid Hunter Power Armor Paint		75		00746C92	score_s16_skin_powerarmor_model_cryptidhunter_l.webp	
16	13	92	2	Framed Duel with the Devil Wall Art		15		00746221	score_s16_camp_walldecor_endofseasonart_l.webp	
16	13	92	3	Perk Coins	50	10		005EE7F0	Score currency perkcoin l.webp	
16	13	92	4	Basic Repair Kit	5	5		0041ADED	Atx utility repairkit basic l.webp	
16	13	92	5	Caps	5000	5		005AD5B3	Score currency caps l.webp	
16	13	92	6	Legendary Scrip	300	5		005AD5B1	Score currency scrip l.webp	
16	13	92	7	Duel with the Devil Player Icon		0		0074DC90	atx_playericon_s16_dfordevil.webp	
16	13	92	8	Devilish T-51 Power Armor Paint		40	TRUE	0074847C	score_s16_skin_powerarmor_paint_t51_devilish_l.webp	
16	13	92	9	Devil's Wings Jet Pack		40	TRUE	007479E6	score_s16_skin_powerarmor_jetpack_devilswings_l.webp	
16	13	92	10	Atoms	200	5	TRUE		Score currency atoms l.webp	
16	B1	100	1	Pine Barrens Cabin Kit		200		00747C68	score_s16_camp_kit_pinebarrencabin_l.webp	
16	B1	100	2	Cryptid Cyclops Power Armor Helmet		140		007461F7	score_s16_skin_powerarmor_helmet_cryptidcyclops_l.webp	
16	B1	100	3	Stairs (Pine Barrens Log Cabin)		130		007589BD	score_s16_camp_structure_stairs_pinebarrenslogcabin_l.webp	
16	B1	100	4	Peepers Paint (Combat Rifle + The Fixer)		130		00767E72	score_s16_skin_weaponskin_combatrifle_peepers_l.webp	
16	B1	100	5	Chemical Color Mods (Cremator)		120		00751551	score_s16_weaponmod_plan_cremator_l.webp	
16	B1	100	6	Road Signs		120		00749913	score_s16_camp_walldecor_roadsigns_l.webp	
16	B1	100	7	Gorilla Statue		110		0074E392	score_s16_camp_floordecor_gorillastatue_l.webp	
16	B1	100	8	Brand Favorites Surfboard Wall Decoration Set		100		0075FF9D	score_s16_camp_walldecor_surfboardset_02_l.webp	
16	B1	100	9	Brand Favorites Surfboard Shelf Set		100		0075FF9C	score_s16_camp_wallshelving_surfboardset_02_l.webp	
16	B1	100	10	Sports Balls		100		0074E3D5	score_s16_camp_floordecor_sportsballs_l.webp	
16	B2	150	1	Basic Repair Kit	5	75		0041ADED	Atx utility repairkit basic l.webp	
16	B2	150	2	Carry Weight Booster	5	75		005FD9AC	Score utility carryweight l.webp	
16	B2	150	3	Legendary Core	5	75		0060A0CD	Score game legendary core l.webp	
16	B2	150	4	Legendary Modules	10	75		005EE7EF	Score game legendarymodule l.webp	
16	B2	150	5	Lunchboxes	5	75		005AD5B0	Atx store lunchbox001 l.webp	
16	B2	150	6	Perk Coins	25	75		005EE7F0	Score currency perkcoin l.webp	
16	B2	150	7	Re-Roller	5	75		0068D465	SCORE Utility Reroller L.webp	
16	B2	150	8	SCORE Booster	3	75		0069F2C6	SCORE_Utility_ScoreBooster_L.webp	
16	B2	150	9	Scout's Banner	5	75		0067A855	SCORE COEN Utility Banner L.webp	
16	B2	150	10	Scrap Kit	5	75		0054E322	Atx utility repairkit scraptostash l.webp	
17	1	0	1	Pioneer Scouts T-45 Power Armor Paint		45		0076CFFF	score_s17_entm_skin_powerarmor_paint_t45_pioneerscouts_l.webp	
17	1	0	2	Crossed Paddles		25		0076DC61	score_s17_camp_walldecor_crossedpaddles_l.webp	
17	1	0	3	Re-Roller	5	5		0068D465	SCORE Utility Reroller L.webp	
17	1	0	4	Canoe		25	TRUE	0076DC57	score_s17_camp_floordecor_boat_canoe_l.webp	
17	1	0	5	5% S.C.O.R.E. Boost		0	TRUE	0076EFA7	score_account_scoreboost_l.webp	
17	2	5	1	Forest Service Armor Paint (Robot + Botsmith)		40		0076C7BF	score_s17_skin_armorskin_robot_forestservice_l.webp	
17	2	5	2	Atoms	200	25			Score currency atoms l.webp	
17	2	5	3	Lobster Trap		20		0076F4A8	score_s17_camp_floordecor_lobstercage_l.webp	
17	2	5	4	Purifying the Wilderness Poster		15		0076C76B	score_s17_camp_walldecor_scoutslifeposters_01_l.webp	
17	2	5	5	Gold Bullion	500	5		005AD5B2	Score currency bullion l.webp	
17	2	5	6	Marshal Mallow Player Icon		0		0077389D	atx_playericon_s17_marshalmallow.webp	
17	2	5	7	Camp Signs (Miscellaneous)		15	TRUE	0076F4AC	score_s17_camp_walldecor_campsigns_misc_l.webp	
17	2	5	8	Legendary Modules	10	5	TRUE	005EE7EF	Score game legendarymodule l.webp	
17	3	13	1	Pioneer Scouts Excavator Power Armor Paint		45		0076CFFD	score_s17_entm_skin_powerarmor_paint_excavator_pioneerscouts_l.webp	
17	3	13	2	Leather Quiver Backpack		30		0076BE6F	score_s17_skin_backpack_leatherquiver_l.webp	
17	3	13	3	Atoms	200	25			Score currency atoms l.webp	
17	3	13	4	Packing for the Trail Poster		15		0076C76C	score_s17_camp_walldecor_scoutslifeposters_02_l.webp	
17	3	13	5	Arrowhead Flair		5		007700F4	score_s17_skin_backpackflair_arrowheadflair_l.webp	
17	3	13	6	Thrasher Player Icon		5		0077389E	atx_playericon_s17_thrasher.webp	
17	3	13	7	Stack of Ammo (Ballistic)		0		0076B541	score_s17_camp_floordecor_stackofammo_ballistic_l.webp	
17	3	13	8	Forest Service Combat Armor Paint		40	TRUE	0076C76F	score_s17_skin_armorskin_combat_forestservice_l.webp	
17	3	13	9	Archery Shooting Target		20	TRUE	0076CD37	score_s17_camp_floordecor_shootingtarget_archery_l.webp	
17	3	13	10	Stabbed Weaponry - Arrows		15	TRUE	007700F9	score_s17_camp_stabbedweaponry_arrows_l.webp	
17	4	21	1	Tato Generator - Small		55		0076B547	score_s17_camp_machinery_generator_small_tato_l.webp	
17	4	21	2	Forest Service Scout Armor Paint		40		0076C7C0	score_s17_skin_armorskin_scout_forestservice_l.webp	
17	4	21	3	Dissection Kit		15		0076D896	score_s17_camp_floordecor_dissectionkit_l.webp	
17	4	21	4	Marshal Mallow Flair		10		00781BC8	score_s17_skin_backpackflair_marshalmallow_l.webp	
17	4	21	5	Lightning Photomode Frame		10		0077250F	score_s17_photomode_frame_lightning_l.webp	
17	4	21	6	Caps	5000	0		005AD5B3	Score currency caps l.webp	
17	4	21	7	Tato Lamp		25	TRUE	0076BE6C	score_s17_camp_lights_tatolamp_l.webp	
17	4	21	8	Blinky		20	TRUE	00784C10	score_s17_camp_floordecor_specimenjar_l.webp	
17	4	21	9	Healthy Hiking: Endurance Poster		15	TRUE	0076C769	score_s17_camp_walldecor_scoutslifeposters_03_l.webp	
17	4	21	10	Atoms	200	10	TRUE		Score currency atoms l.webp	
17	5	26	1	Pioneer Scouts T-51 Power Armor Paint		45		0076D089	score_s17_entm_skin_powerarmor_paint_t51_pioneerscouts_l.webp	
17	5	26	2	Rowboat		30		0076DC58	score_s17_camp_floordecor_boat_rowboat_l.webp	
17	5	26	3	Hang in There! Poster		20		0076C76D	score_s17_camp_walldecor_scoutslifeposters_04_l.webp	
17	5	26	4	Blue Lobster Trap Helmet		30	TRUE	0076F4AD	score_s17_apparel_headwear_lobstertrapper_helmet_blue_l.webp	
17	5	26	5	Lunchboxes	5	0	TRUE	005AD5B0	Atx store lunchbox001 l.webp	
17	6	32	1	Head Hunter Scythe		50		0075DF68	score_s17_weapons_headhunter_l.webp	
17	6	32	2	Camp Counselor Outfit		40		007703CB	score_s17_apparel_outfit_campcounselor_l.webp	
17	6	32	3	Stabbed Weaponry - Axes		30		007700F6	score_s17_camp_stabbedweaponry_axes_l.webp	
17	6	32	4	Icegang Mask		30	TRUE	0076D8D3	score_s17_apparel_headwear_hockeymask_icegang01_l.webp	
17	6	32	5	Reaper Player Icon		0	TRUE	007738A1	atx_playericon_s17_vaultboyreaper.webp	
17	7	39	1	Pioneer Scouts Hellcat Power Armor Paint		45		0076CFFE	score_s17_entm_skin_powerarmor_paint_hellcat_pioneerscouts_l.webp	
17	7	39	2	Forest Service Recon Armor Paint		40		0076C7BD	score_s17_skin_armorskin_recon_forestservice_l.webp	
17	7	39	3	Telegraph		30		0076B540	score_s17_entm_camp_floordecor_telegraph_l.webp	
17	7	39	4	Tower Viewer		15		007700F5	score_s17_camp_floordecor_towerviewer_l.webp	
17	7	39	5	Scout's Banner	5	5		0067A855	SCORE COEN Utility Banner L.webp	
17	7	39	6	Gold Bullion	500	5		005AD5B2	Score currency bullion l.webp	
17	7	39	7	Morse Code Poster		20	TRUE	0076C76E	score_s17_camp_walldecor_morsecode_poster_l.webp	
17	7	39	8	Atoms	200	10	TRUE		Score currency atoms l.webp	
17	7	39	9	10% SCORE Boost		5	TRUE	0076EFA8	Score account scoreboost l.webp	
17	7	39	10	Stack Of Ammo (Energy)		0	TRUE	0076B542	score_s17_camp_floordecor_stackofammo_energy_l.webp	
17	8	49	1	Pioneer Scouts Pip-Boy Paint		45		0076D898	score_s17_skin_pipboyskin_pioneerscout_l.webp	
17	8	49	2	Pioneer Scouts T-60 Power Armor Paint		45		0076D004	score_s17_entm_skin_powerarmor_paint_t60_pioneerscouts_l.webp	
17	8	49	3	Marshal Mallow Plushie		30		007738B9	score_s17_camp_floordecor_plushie_scoutmarshmallow_l.webp	
17	8	49	4	Pioneer Scouts Rug		20		007703CD	score_s17_camp_floordecor_rug_scouts_l.webp	
17	8	49	5	Stabbed Weaponry - Tomahawks		20		007700F3	score_s17_camp_stabbedweaponry_tomahawks_l.webp	
17	8	49	6	Camp Signs (Accommodations)		15		0076F4A9	score_s17_camp_walldecor_campsigns_accommodations_l.webp	
17	8	49	7	Forest Service Secret Service Armor Paint		40	TRUE	0076C7C1	score_s17_skin_armorskin_secretservice_forestservice_l.webp	
17	8	49	8	Pioneer Scouts Scrapbox		20	TRUE	0076D897	score_s17_camp_scrapbox_pioneerscouts_l.webp	
17	8	49	9	Identifying Rabies & Other Diseases Poster		15	TRUE	0076C76A	score_s17_camp_walldecor_scoutslifeposters_05_l.webp	
17	8	49	10	Scout Emblem Light		0	TRUE	0077B59C	score_s17_camp_lights_wall_scoutemblem_l.webp	
17	9	55	1	Pioneer Scouts Inner Tube Chair		45		0076BE6D	score_s17_camp_furniture_chair_scout_tube_l.webp	
17	9	55	2	Atoms	200	20			Score currency atoms l.webp	
17	9	55	3	Campfire: Special Edition Poster		15		0077B699	score_s17_camp_walldecor_scoutslifeposters_06_l.webp	
17	9	55	4	Pioneer Scout Photomode Frame		10		00772510	score_s17_photomode_frame_scoutmarshmallow_l.webp	
17	9	55	5	Lunchboxes	5	5		005AD5B0	Atx store lunchbox001 l.webp	
17	9	55	6	Caps	5000	5		005AD5B3	Score currency caps l.webp	
17	9	55	7	Pioneer Scouts X-01 Power Armor Paint		40	TRUE	0076D002	score_s17_entm_skin_powerarmor_paint_x01_pioneerscouts_l.webp	
17	9	55	8	Pioneer Scouts Player Icon		5	TRUE	007738A0	atx_playericon_s17_pioneerscoutslogo.webp	
17	9	55	9	Stamps	10	5	TRUE	0066EFB4	SCORE Currency Stamps.webp	
17	9	55	10	Pioneer Scouts Squirrel Mr. Fuzzy Plushie		0	TRUE	0076D889	score_s17_camp_floordecor_plushie_mrfuzzypioneerscoutsquirrel_l.webp	
17	10	65	1	Picnic Basket Stashbox		45		007700F7	score_s17_camp_stashbox_picnicbasket_l.webp	
17	10	65	2	Pioneer Scouts Ultracite Power Armor Paint		45		0076D000	score_s17_entm_skin_powerarmor_paint_ultracite_pioneerscouts_l.webp	
17	10	65	3	Joke Arrow Headwear		40		0077EE6A	score_s17_apparel_headwear_jokearrow_l.webp	
17	10	65	4	Bicycle		20		0076D887	score_s17_camp_floordecor_bicycle_l.webp	
17	10	65	5	Camp Signs (Activities)		20		0076F4AA	score_s17_camp_walldecor_campsigns_activities_l.webp	
17	10	65	6	Thrasher Egg		15		0078349B	score_s17_camp_floordecor_thrasheregg_l.webp	
17	10	65	7	The Animal Whisperer Poster		15		0077B69A	score_s17_camp_walldecor_scoutslifeposters_07_l.webp	
17	10	65	8	Outdoor Movie Projector		45	TRUE	0076C7BE	score_s17_camp_floordecor_outdoormovieprojector_l.webp	
17	10	65	9	10% SCORE Boost		5	TRUE	0076EFA9	Score account scoreboost l.webp	
17	10	65	10	Atoms	200	0	TRUE		Score currency atoms l.webp	
17	11	72	1	Thrasher Outfit and Mask		50		00779C9E	score_s17_apparel_outfit_radturkey_l.webp	
17	11	72	2	Pemmican Collector		40		0076D054	score_s17_camp_collector_pemmican_l.webp	
17	11	72	3	Atoms	200	20			Score currency atoms l.webp	
17	11	72	4	SCORE Booster	3	5		0069F2C6	SCORE_Utility_ScoreBooster_L.webp	
17	11	72	5	Antler Flair Display		30	TRUE	0076D055	score_s17_camp_walldeco_display_flairdisplay_antlers_l.webp	
17	11	72	6	Butchered Meats		25	TRUE	0076D8A4	score_s17_camp_floordecor_meat_clutter_l.webp	
17	11	72	7	Re-Roller	5	5	TRUE	0068D465	SCORE Utility Reroller L.webp	
17	11	72	8	Roast Thrasher		0	TRUE	0078349A	score_s17_camp_floordecor_roastthrasher_l.webp	
17	12	77	1	Scoutmaster Collectron Station		50		00771DC9	score_s17_camp_utility_collectron_scoutmaster_l.webp	
17	12	77	2	Natural Mosquito Repellants Poster		15		0077B69B	score_s17_camp_walldecor_scoutslifeposters_08_l.webp	
17	12	77	3	Legendary Scrip	300	5		005AD5B1	Score currency scrip l.webp	
17	12	77	4	Scoutmaster Player Icon		0		0077389F	atx_playericon_s17_pioneerscoutsprotectron.webp	
17	12	77	5	Forest Service Civil Engineer Armor Paint		35	TRUE	0076D0B5	score_s17_skin_armorskin_civilengineer_forestservice_l.webp	
17	12	77	6	Atoms	200	15	TRUE		Score currency atoms l.webp	
17	12	77	7	Gold Bullion	500	5	TRUE	005AD5B2	Score currency bullion l.webp	
17	13	85	1	Light Blue Vintage Camper		50		0077348A	score_s17_camp_structure_vintagecamper_l.webp	
17	13	85	2	Atoms	200	25			Score currency atoms l.webp	corrected from the in-game screenshot: isFirst TRUE -> -
17	13	85	3	Framed Skyline Valley Wall Art		15		0077B59D	score_s17_camp_walldecor_endofseasonart.webp	
17	13	85	4	Long Haul Sprinter Poster		15		0077B69C	score_s17_camp_walldecor_scoutslifeposters_09_l.webp	
17	13	85	5	Perk Coins	50	10		005EE7F0	Score currency perkcoin l.webp	
17	13	85	6	Rest N Wander Player Icon		5		007738A2	atx_playericon_s17_restnwander.webp	
17	13	85	7	Pioneer Scouts Union Power Armor Paint		45	TRUE	0076D001	score_s17_entm_skin_powerarmor_paint_union_pioneerscouts_l.webp	
17	13	85	8	Camping Cooler		20	TRUE	007703CC	score_s17_camp_utility_refrigerator_campingcooler_l.webp	
17	13	85	9	Totem Pole		15	TRUE	00781C13	score_s17_camp_floordecor_totempole_l.webp	
17	13	85	10	Garden Archway		0	TRUE	0076C768	score_s17_camp_floordecor_gardenarchway_l.webp	
17	14	95	1	Slocum's Joe Inner Tube Chair		45		0076BE6E	score_s17_camp_furniture_chair_slocumjoe_tube_l.webp	
17	14	95	2	Pioneer Scouts T-65 Power Armor Paint		45		0076D003	score_s17_entm_skin_powerarmor_paint_t65_pioneerscouts_l.webp	
17	14	95	3	S'more Hot Chocolate Stein		30		0076D886	score_s17_camp_floordecor_stein_smorestein_l.webp	
