seasonNumber	id	page	name	cost	isFirst	kind	value	tallyCategory	imageUrl	description	storefrontEntitlement	reappearances
24	S24_P02_alien_warning_signs	2	Alien Warning Signs	15	FALSE				/wp-content/uploads/season_images/score_s24_camp_walldecor_alienwarningsign.webp	Warn others of the intergalactic threat with the Alien Warning Signs!    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_WallDecor_AlienWarningSign	
24	S24_P02_repair_kit	2	Repair Kit	10	FALSE			repair_kit	/wp-content/uploads/season_images/utility/atx_utility_repairkit_basic.webp			
24	S24_P02_starlight_drive_in_marquee	2	Starlight Drive-In Marquee	50	FALSE				/wp-content/uploads/season_images/score_s24_camp_structure_driveinsign.webp	Get the popcorn and a frosty Nuka-Cola, because the Starlight Drive-In Marquee is close by!    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_Structure_DriveinSign	
24	S24_P02_200_atoms	2	200 Atoms	20	TRUE			atoms	/wp-content/uploads/season_images/utility/score_currency_atoms.webp			
24	S24_P02_alien_patch_icon	2	Player Icon: Alien Patch	25	FALSE	playerIcon	Alien Patch	player_icon	/wp-content/uploads/season_images/score_s24_playericon_alienpatch.webp	They're amongst us, in the stars and in Appalachia.    - UNLOCKS A PLAYER ICON. -	SCORE_S24_ENTM_PlayerIcon_AlienPatch	
24	S24_P03_alien_aid_box	3	Alien Aid Box	25	TRUE				/wp-content/uploads/season_images/score_s24_camp_aidbox_alienbox.webp	Even advanced cosmic civilizations need storage!    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_AidBox_AlienBox	
24	S24_P03_score_booster_x3	3	S.C.O.R.E. Booster x3	20	TRUE			score_booster	/wp-content/uploads/season_images/utility/score_utility_scorebooster.webp			
24	S24_P03_gold_bullion_x	3	Gold Bullion	0	FALSE			gold_bullion	/wp-content/uploads/season_images/utility/score_currency_bullion.webp			
24	S24_P03_flatwoods_monster_patch_icon	3	Player Icon: Flatwoods Monster Patch	25	FALSE	playerIcon	Flatwoods Monster Patch	player_icon	/wp-content/uploads/season_images/score_s24_playericon_flatwoodsmonsterpatch.webp	Time to play.    - UNLOCKS A PLAYER ICON. -	SCORE_S24_ENTM_PlayerIcon_FlatwoodsMonsterPatch	
24	S24_P03_abduction_icon	3	Player Icon: Abduction	25	TRUE	playerIcon	Abduction	player_icon	/wp-content/uploads/season_images/score_s24_playericon_ufoabduction.webp	They're taking them to the Mooon.    - UNLOCKS A PLAYER ICON. -	SCORE_S24_ENTM_PlayerIcon_UFOAbduction	
24	S24_P03_bigfoot_stein_display	3	Bigfoot Stein Display	40	FALSE				/wp-content/uploads/season_images/score_s24_displaycase_beersteins_bigfootsteindisplay.webp	You know what they say about guys with big feet? Big stein collection!    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_DisplayCase_BeerSteins_BigfootSteinDisplay	
24	S24_P03_prefix_suffix_alien	3	"Player Title Prefix/Suffix: ""Alien"""	20	FALSE	playerTitlePrefixSuffix	Alien	camp_player_title	/wp-content/uploads/season_images/score_s24_camptitles_prefix_alien.webp	"Unlocks the C.A.M.P. Title Prefix ""Alien"".    - C.A.M.P. TITLES ARE SELECTABLE IN THE C.A.M.P. MENU ON THE MAP -"	SCORE_S24_ENTM_CAMPTitles_Prefix_Alien	
24	S24_P03_200_atoms	3	200 Atoms	20	FALSE			atoms	/wp-content/uploads/season_images/utility/score_currency_atoms.webp			
24	S24_P04_healing_arch	4	Healing Arch	50	TRUE				/wp-content/uploads/season_images/score_s24_camp_utility_healingarch.webp	Revitalize yourself by stepping through this Healing Arch.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_Utility_HealingArch	
24	S24_P04_200_atoms	4	200 Atoms	20	TRUE			atoms	/wp-content/uploads/season_images/utility/score_currency_atoms.webp			
24	S24_P04_lunchbox_x3	4	Lunchbox x3	20	FALSE			lunchbox	/wp-content/uploads/season_images/utility/atx_store_lunchbox001.webp			
24	S24_P04_score_boost_10	4	10% S.C.O.R.E. Boost	0	TRUE			score_booster	/wp-content/uploads/season_images/score_s24_account_scoreboost_3.webp	Gain another 10% bonus S.C.O.R.E. when you complete challenges for the rest of Season 24!    - UNLOCKS BOOST FOR ALL CHARACTERS ON YOUR ACCOUNT. -    - BONUS IS APPLIED TO BASE CHALLENGE S.C.O.R.E.. -    - DOES NOT APPLY TO PREVIOUSLY COMPLETED CHALLENGES. -	SCORE_S24_ENTM_Account_ScoreBoost_3	
24	S24_P04_legendary_scrip_x100	4	Legendary Scrip x100	25	FALSE			legendary_scrip	/wp-content/uploads/season_images/utility/score_currency_scrip.webp			
24	S24_P04_suffix_retreat	4	"CAMP Title Suffix: ""Retreat"""	25	FALSE	campTitleSuffix	Retreat	camp_player_title	/wp-content/uploads/season_images/score_s24_camptitles_suffix_retreat.webp	"Unlocks the C.A.M.P. Title Suffix ""Retreat"".    - C.A.M.P. TITLES ARE SELECTABLE IN THE C.A.M.P. MENU ON THE MAP -"	SCORE_S24_ENTM_CAMPTitles_Suffix_Retreat	
24	S24_P04_alien_scrap_box	4	Alien Scrap Box	35	TRUE				/wp-content/uploads/season_images/score_s24_camp_scrapbox_alienbox.webp	Even advanced cosmic civilizations need storage!    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_scrapbox_AlienBox	
24	S24_P04_prefix_space	4	"Player Title Prefix: ""Space"""	25	FALSE	playerTitlePrefix	Space	camp_player_title	/wp-content/uploads/season_images/score_s24_playertitles_prefix_space.webp	"Unlocks the Player Title Prefix ""Space"".    - PLAYER TITLES ARE SELECTABLE IN THE PIP-BOY. -"	SCORE_S24_ENTM_PlayerTitles_Prefix_Space	
24	S24_P04_legendary_module_x3	4	Legendary Module x3	0	FALSE			legendary_module	/wp-content/uploads/season_images/utility/score_game_legendarymodule.webp			
24	S24_P04_stamps_x10	4	Stamps x10	25	FALSE			stamps	/wp-content/uploads/season_images/utility/score_currency_stamps.webp			
24	S24_P05_fur_carpet	5	Fur Carpet	50	FALSE				/wp-content/uploads/season_images/score_s24_camp_floor_furcarpet.webp	Sink your feet into luxury! This plush pre-war rug brings warmth, comfort, and just a hint of wilderness chic to any camp.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_Floor_FurCarpet	
24	S24_P05_survival_cache	5	Survival Cache	60	FALSE				/wp-content/uploads/season_images/score_s24_camp_collector_survivalcache.webp	A rugged supply stash inspired by Rip Daring's legendary expeditions.    This item cannot be built inside of a Shelter.    - CAMP ITEMS APPEAR WHILE IN CAMP MODE. -	SCORE_S24_ENTM_CAMP_Collector_SurvivalCache	
24	S24_P05_rip_daring_logo_neon_wall_sign	5	Rip Daring Logo Neon Wall Sign	35	TRUE				/wp-content/uploads/season_images/score_s24_camp_lights_wall_daringneonsign.webp	Light up your C.A.M.P. with this neon sign that's as bright as Rip Daring himself! Especially when it's off.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_Lights_Wall_DaringNeonSign	
24	S24_P05_nuclear_keycard_x5	5	Nuclear Keycard x5	15	FALSE			nuclear_keycard				
24	S24_P05_carry_weight_booster_x5	5	Carry Weight Booster x5	15	FALSE			carry_weight_booster	/wp-content/uploads/season_images/utility/score_utility_carryweight.webp			
24	S24_P05_prefix_suffix_bigfoot	5	"Player Title Prefix/Suffix: ""Bigfoot"""	25	FALSE	playerTitlePrefixSuffix	Bigfoot	camp_player_title	/wp-content/uploads/season_images/score_s24_playertitles_both_bigfoot.webp	"Unlocks the Player Title Prefix & Suffix ""Bigfoot"".    - PLAYER TITLES ARE SELECTABLE IN THE PIP-BOY. -"	SCORE_S24_ENTM_PlayerTitles_Both_Bigfoot	
24	S24_P05_re_roller_x5	5	Re-Roller x5	15	TRUE			re_roller	/wp-content/uploads/season_images/utility/score_utility_reroller.webp			
24	S24_P05_repair_kit	5	Repair Kit	15	FALSE			repair_kit	/wp-content/uploads/season_images/utility/atx_utility_repairkit_basic.webp			
24	S24_P05_legendary_scrip_x100	5	Legendary Scrip x100	0	TRUE			legendary_scrip	/wp-content/uploads/season_images/utility/score_currency_scrip.webp			
24	S24_P05_200_atoms	5	200 Atoms	20	FALSE			atoms	/wp-content/uploads/season_images/utility/score_currency_atoms.webp			
24	S24_P06_daring_devil_pip_boy_paint	6	Daring Devil Pip-Boy Paint	25	FALSE				/wp-content/uploads/season_images/score_s24_skin_pipboyskin_cremator.webp	This Daring Devil Pip-Boy Paint is too hot for most to handle.    - SKIN IS CRAFTABLE AT ARMOR WORKBENCHES. -	SCORE_S24_ENTM_Skin_PipBoySkin_Cremator	
24	S24_P06_smiling_man_patch_icon	6	Player Icon: Smiling Man Patch	20	FALSE	playerIcon	Smiling Man Patch	player_icon	/wp-content/uploads/season_images/score_s24_playericon_smilingmanpatch.webp	A big smile that somehow feels Cold.    - UNLOCKS A PLAYER ICON. -	SCORE_S24_ENTM_PlayerIcon_SmilingManPatch	
24	S24_P06_ranger_obsidian_paint	6	Ranger Obsidian Paint	40	TRUE				/wp-content/uploads/season_images/score_s24_skin_clothing_rangersuniform_paint_blackranger.webp	Command the shadows with the Obsidian Paint for the Ranger Armor Outfit.     Compatible with the standard Ranger Armor Outfit included with Fallout 1st!    Exclusive to Fallout 1st Members    - SKIN IS CRAFTABLE AT ARMOR WORKBENCHES. -	SCORE_S24_ENTM_Skin_Clothing_RangersUniform_Paint_BlackRanger	
24	S24_P06_suffix_extraterrestrial	6	"Player Title Suffix: ""Extraterrestrial"""	0	FALSE	playerTitleSuffix	Extraterrestrial	camp_player_title	/wp-content/uploads/season_images/score_s24_playertitles_suffix_extraterrestrial.webp	"Unlocks the Player Title Suffix ""Extraterrestrial"".    - PLAYER TITLES ARE SELECTABLE IN THE PIP-BOY. -"	SCORE_S24_ENTM_PlayerTitles_Suffix_Extraterrestrial	
24	S24_P06_alien_display	6	Alien Display	50	TRUE				/wp-content/uploads/season_images/score_s24_camp_displaycase_aliendisplay.webp	Show off your favorite stuff with an out of this world display!    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_Displaycase_AlienDisplay	
24	S24_P06_200_atoms	6	200 Atoms	20	TRUE			atoms	/wp-content/uploads/season_images/utility/score_currency_atoms.webp			
24	S24_P06_legendary_module_x10	6	Legendary Module x10	25	FALSE			legendary_module	/wp-content/uploads/season_images/utility/score_game_legendarymodule.webp			
24	S24_P06_mystery_bobblehead_x3	6	Mystery Bobblehead x3	15	FALSE			mystery_bobblehead	/wp-content/uploads/season_images/utility/score_utility_mysterybobblehead.webp			
24	S24_P06_mystery_magazine_package_x3	6	Mystery Magazine Package x3	15	TRUE			mystery_magazine	/wp-content/uploads/season_images/utility/score_utility_magazinebookbox.webp			
24	S24_P06_gold_bullion_x100	6	Gold Bullion x100	15	FALSE			gold_bullion	/wp-content/uploads/season_images/utility/score_currency_bullion.webp			
24	S24_P07_phoropter	7	Phoropter	60	FALSE				/wp-content/uploads/season_images/score_s24_camp_utility_phoropter.webp	Your eyes aren't playing tricks on you, it's a Phoropter!     - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_Utility_Phoropter	
24	S24_P07_re_roller_x5	7	Re-Roller x5	25	FALSE			re_roller	/wp-content/uploads/season_images/utility/score_utility_reroller.webp			
24	S24_P07_score_boost_10	7	10% S.C.O.R.E. Boost	0	TRUE			score_booster	/wp-content/uploads/season_images/score_s24_account_scoreboost_3.webp	Gain another 10% bonus S.C.O.R.E. when you complete challenges for the rest of Season 24!    - UNLOCKS BOOST FOR ALL CHARACTERS ON YOUR ACCOUNT. -    - BONUS IS APPLIED TO BASE CHALLENGE S.C.O.R.E.. -    - DOES NOT APPLY TO PREVIOUSLY COMPLETED CHALLENGES. -	SCORE_S24_ENTM_Account_ScoreBoost_3	
24	S24_P07_200_atoms	7	200 Atoms	20	FALSE			atoms	/wp-content/uploads/season_images/utility/score_currency_atoms.webp			
24	S24_P07_prefix_rip	7	"Player Title Prefix: ""Rip"""	0	FALSE	playerTitlePrefix	Rip	camp_player_title	/wp-content/uploads/season_images/score_s24_playertitles_prefix_rip.webp	"Unlocks the Player Title Prefix ""Rip"".    - PLAYER TITLES ARE SELECTABLE IN THE PIP-BOY. -"	SCORE_S24_ENTM_PlayerTitles_Prefix_Rip	
24	S24_P07_prefix_bigfoots	7	"CAMP Title Prefix: ""Bigfoot's"""	25	TRUE	campTitlePrefix	Bigfoot's	camp_player_title	/wp-content/uploads/season_images/score_s24_camptitles_prefix_bigfoots.webp	"Unlocks the C.A.M.P. Title Prefix ""Bigfoot's"".    - C.A.M.P. TITLES ARE SELECTABLE IN THE C.A.M.P. MENU ON THE MAP -"	SCORE_S24_ENTM_CAMPTitles_Prefix_Bigfoots	
24	S24_P07_unknown_origins_curio_cabinet	7	Unknown Origins Curio Cabinet	40	TRUE				/wp-content/uploads/season_images/score_s24_camp_collector_strangecuriocabinet.webp	Oddities from beyond human knowledge, directly in your C.A.M.P. for your viewing pleasure!    Generates Adhesive, Asbestos, and Ceramic.    This item cannot be built inside of a Shelter.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_Collector_StrangeCurioCabinet	
24	S24_P07_sugar_free_nukashine	7	Sugar-Free Nukashine	25	FALSE			nukashine	/wp-content/uploads/season_images/utility/score_item_nukashine_sugarfree.webp			
24	S24_P07_carry_weight_booster_x5	7	Carry Weight Booster x5	25	TRUE			carry_weight_booster	/wp-content/uploads/season_images/utility/score_utility_carryweight.webp			
24	S24_P07_jersey_devil_patch_icon	7	Player Icon: Jersey Devil Patch	30	FALSE	playerIcon	Jersey Devil Patch	player_icon	/wp-content/uploads/season_images/score_s24_playericon_jerseydevilpatch.webp	This patch appears Once in a Blue Moon.    - UNLOCKS A PLAYER ICON. -	SCORE_S24_ENTM_PlayerIcon_JerseyDevilPatch	
24	S24_P08_200_atoms	8	200 Atoms	20	TRUE			atoms	/wp-content/uploads/season_images/utility/score_currency_atoms.webp			
24	S24_P08_stamps_x10	8	Stamps x10	15	FALSE			stamps	/wp-content/uploads/season_images/utility/score_currency_stamps.webp			
24	S24_P08_perk_coin_x50	8	Perk Coin x50	15	FALSE			perk_coins	/wp-content/uploads/season_images/utility/score_currency_perkcoin.webp			
24	S24_P08_rip_daring_cosmos_photomode_logo	8	Rip Daring Cosmos Photomode Logo	25	FALSE				/wp-content/uploads/season_images/score_s24_ripdaringcosmos_photomode_logo_marquee.webp	Flex your photogenic, American self anywhere in the Universe with the Rip Daring and The Cryptids from Beyond the Cosmos Photomode Logo!    - UNLOCKS A PHOTOMODE LOGO. -	SCORE_S24_RipDaringCosmos_Photomode_Logo_Marquee	
24	S24_P08_taxidermy_beast_of_beckley	8	Taxidermy Beast of Beckley	75	TRUE				/wp-content/uploads/season_images/score_s24_camp_floordecor_taxidermybeast.webp	A gruesome trophy from Appalachian legend. Locals say it once stalked Beckly's ruins - now it guards your camp instead. Still smells a bit... fresh.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_FloorDecor_TaxidermyBeast	
24	S24_P08_framed_house_kit	8	Framed House Kit	50	FALSE				/wp-content/uploads/season_images/score_s24_camp_kit_framed.webp	It's a work in progress, with some tarps to try and keep things dry.    Includes new Wall and Roof items.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_Kit_Framed	
24	S24_P08_mothman_patch_icon	8	Player Icon: Mothman Patch	25	TRUE	playerIcon	Mothman Patch	player_icon	/wp-content/uploads/season_images/score_s24_playericon_mothmanpatch.webp	This patch will help you find His Light.    - UNLOCKS A PLAYER ICON. -	SCORE_S24_ENTM_PlayerIcon_MothmanPatch	
24	S24_P08_prefix_guineveres	8	"Player Title Prefix: ""Guinevere's"""	25	FALSE	playerTitlePrefix	Guinevere's	camp_player_title	/wp-content/uploads/season_images/score_s24_playertitles_prefix_guinevere.webp	"Unlocks the Player Title Prefix ""Guinevere's"".    - PLAYER TITLES ARE SELECTABLE IN THE PIP-BOY. -"	SCORE_S24_ENTM_PlayerTitles_Prefix_Guinevere	
24	S24_P08_scouts_banner_x5	8	Scout's Banner x5	0	FALSE			scouts_banner	/wp-content/uploads/season_images/utility/score_coen_utility_banner.webp			
24	S24_P08_repair_kit	8	Repair Kit	25	TRUE			repair_kit	/wp-content/uploads/season_images/utility/atx_utility_repairkit_basic.webp			
24	S24_P09_weather_station_alien_invasion	9	Weather Station (Alien Invasion)	75	TRUE				/wp-content/uploads/season_images/score_s24_camp_utility_weatherstation_invasion.webp	They're just floating there... menacingly.    Weather Control Station will change weather in the C.A.M.P. radius when connected to power.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_Utility_WeatherStation_Invasion	
24	S24_P09_prefix_suffix_cryptid_hunter	9	"Player Title Prefix/Suffix: ""Cryptid Hunter"""	30	FALSE	playerTitlePrefixSuffix	Cryptid Hunter	camp_player_title	/wp-content/uploads/season_images/score_s24_playertitles_both_cryptidhunter.webp	"Unlocks the Player Title Prefix & Suffix ""Cryptid Hunter"".    - PLAYER TITLES ARE SELECTABLE IN THE PIP-BOY. -"	SCORE_S24_ENTM_PlayerTitles_Both_CryptidHunter	
24	S24_P09_grafton_monster_patch_icon	9	Player Icon: Grafton Monster Patch	30	FALSE	playerIcon	Grafton Monster Patch	player_icon	/wp-content/uploads/season_images/score_s24_playericon_graftonmonsterpatch.webp	Don't forget to pick one up for Grafton Day!    - UNLOCKS A PLAYER ICON. -	SCORE_S24_ENTM_PlayerIcon_GraftonMonsterPatch	
24	S24_P09_re_roller_x5	9	Re-Roller x5	0	TRUE			re_roller	/wp-content/uploads/season_images/utility/score_utility_reroller.webp			
24	S24_P09_mystery_magazine_package_x3	9	Mystery Magazine Package x3	0	FALSE			mystery_magazine	/wp-content/uploads/season_images/utility/score_utility_magazinebookbox.webp			
24	S24_P09_abduction_stein	9	Abduction Stein	45	FALSE				/wp-content/uploads/season_images/score_s24_camp_floordecor_stein_abduction.webp	For those who want to believe.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_FloorDecor_Stein_Abduction	
24	S24_P09_caps_x5000	9	Caps x5000	25	FALSE			caps	/wp-content/uploads/season_images/utility/score_currency_caps.webp			
24	S24_P09_interstellar_daring_power_armor_paint	9	Interstellar Daring Power Armor Paint	75	FALSE				/wp-content/uploads/season_images/score_s24_skin_powerarmor_model_armed.webp	"A prop for the film, ""Rip Daring and the Cryptids From Beyond the Cosmos."" Despite being finished, it went unreleased due to the start of the Great War.    This is a unique skin that alters the appearance of your Power Armor. It can be equipped on all base Power Armors.    - SKIN IS CRAFTABLE AT POWER ARMOR STATIONS. -"	SCORE_S24_ENTM_Skin_PowerArmor_Model_Armed	
24	S24_P09_200_atoms	9	200 Atoms	20	FALSE			atoms	/wp-content/uploads/season_images/utility/score_currency_atoms.webp			
24	S24_P09_legendary_module_x10	9	Legendary Module x10	25	TRUE			legendary_module	/wp-content/uploads/season_images/utility/score_game_legendarymodule.webp			
24	S24_P10_space_glasses	10	Space Glasses	100	FALSE				/wp-content/uploads/season_images/score_s24_apparel_headwear_spaceageglasses.webp	This pre-war toy will let you see how space really looks! Which is apparently green.    2 craftable variants: Regular headwear and a headwear that changes the world to be green tinted    - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	SCORE_S24_ENTM_Apparel_Headwear_SpaceAgeGlasses	
24	S24_P10_200_atoms	10	200 Atoms	20	TRUE			atoms	/wp-content/uploads/season_images/utility/score_currency_atoms.webp			
24	S24_P10_prefix_interstellar	10	"Player Title Prefix: ""Interstellar"""	30	TRUE	playerTitlePrefix	Interstellar	camp_player_title	/wp-content/uploads/season_images/score_s24_playertitles_prefix_interstellar.webp	"Unlocks the Player Title Prefix ""Interstellar"".    - PLAYER TITLES ARE SELECTABLE IN THE PIP-BOY. -"	SCORE_S24_ENTM_PlayerTitles_Prefix_Interstellar	
24	S24_P10_carry_weight_booster_x5	10	Carry Weight Booster x5	30	FALSE			carry_weight_booster	/wp-content/uploads/season_images/utility/score_utility_carryweight.webp			
24	S24_P10_rip_daring_ammo_construction_appliance	10	Rip Daring Ammo Construction Appliance	75	FALSE				/wp-content/uploads/season_images/score_s24_ammoconstructionmachine_collector_riparmco.webp	There is nothing better than the smell of fresh, American ammo in your C.A.M.P. in the morning.    This item cannot be built inside of a Shelter.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_AmmoConstructionmachine_Collector_RipArmCo	
24	S24_P10_film_noir_light_style	10	Film Noir Light Style	100	FALSE							
24	S24_P10_drive_in_ufo_sculpture	10	Drive-In UFO Sculpture	40	TRUE				/wp-content/uploads/season_images/score_s24_camp_structure_driveinstatue.webp	Do you believe that this is more than just a statue?    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_Structure_DriveInStatue	
24	S24_P10_framed_cryptids_from_beyond_the_cosmos	10	Framed Cryptids From Beyond the Cosmos	25	FALSE				/wp-content/uploads/season_images/score_s24_camp_walldecor_endofseasonart.webp	Reminisce on another out of this world adventure with Rip Daring when you look at this framed art.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_WallDecor_EndOfSeasonArt	
24	S24_P10_cold_shoulder_pip_boy_paint	10	Cold Shoulder Pip-Boy Paint	30	TRUE				/wp-content/uploads/season_images/score_s24_skin_pipboyskin_coldshoulder.webp	Give your enemies the frosty feeling of the Cold Shoulder, now conveniently located on your wrist!    - SKIN IS CRAFTABLE AT ARMOR WORKBENCHES. -	SCORE_S24_ENTM_Skin_PipBoySkin_ColdShoulder	
24	S24_P10_suffix_terrestrial	10	"Player Title Suffix: ""Terrestrial"""	0	FALSE	playerTitleSuffix	Terrestrial	camp_player_title	/wp-content/uploads/season_images/score_s24_playertitles_suffix_terrestrial.webp	"Unlocks the Player Title Suffix ""Terrestrial"".    - PLAYER TITLES ARE SELECTABLE IN THE PIP-BOY. -"	SCORE_S24_ENTM_PlayerTitles_Suffix_Terrestrial	
24	S24_B01_prefix_rip_darings	B1	"CAMP Title Prefix: ""Rip Daring's"""	100	FALSE	campTitlePrefix	Rip Daring's	camp_player_title	/wp-content/uploads/season_images/score_s24_camptitles_prefix_ripdarings.webp	"Unlocks the C.A.M.P. Title Prefix ""Rip Daring's"".    - C.A.M.P. TITLES ARE SELECTABLE IN THE C.A.M.P. MENU ON THE MAP -"	SCORE_S24_ENTM_CAMPTitles_Prefix_RipDarings	
24	S24_B01_glowing_cat	B1	Glowing Cat	200	FALSE				/wp-content/uploads/season_images/score_s24_camp_camppets_cat_glowingcat.webp	A radiant feline friend to light your way through the wasteland! Equal parts adorable and radioactive. Comes with a cozy radiation bed!    - C.A.M.P. PETS  APPEAR ONCE THEIR FURNITURE IS PLACED IN C.A.M.P. MODE. -	SCORE_S24_ENTM_CAMP_CAMPPets_Cat_GlowingCat	
24	S24_B01_pip_boy_display_stand	B1	Pip-Boy Display Stand	225	FALSE				/wp-content/uploads/season_images/score_s24_pipboyreplica_displaystand.webp	Decorate with the finest RobCo technology when you bring home the Pip-Boy Display Stand!  Note: Only displays non-functioning Replica Pip-Boys.    - Replica Pip-Boys can be crafted at an Armor Workbench -	SCORE_S24_ENTM_PipBoyReplica_DisplayStand	
24	S24_B01_guinevere_in_space_icon	B1	Player Icon: Guinevere in Space	100	FALSE	playerIcon	Guinevere in Space	player_icon	/wp-content/uploads/season_images/score_s24_playericon_spaceguinevere.webp	In space, no one will hear Rip scream post-treatment!    - UNLOCKS A PLAYER ICON. -	SCORE_S24_ENTM_PlayerIcon_SpaceGuinevere	
24	S24_B01_prefix_armed	B1	"Player Title Prefix: ""Armed"""	100	FALSE	playerTitlePrefix	Armed	camp_player_title	/wp-content/uploads/season_images/score_s24_playertitles_prefix_armed.webp	"Unlocks the Player Title Prefix ""Armed"".    - PLAYER TITLES ARE SELECTABLE IN THE PIP-BOY. -"	SCORE_S24_ENTM_PlayerTitles_Prefix_Armed	
