PCRD_FormID	PCRD_EDID	MNAM_Name	DESC	DATA_UnknownBytes	DATA_SpeciesCode	DATA_SpeciesText	DATA_MinLevel	DATA_Special	PCDV_GLOB_FormID	PCDV_GLOB_EDID	PCDV_GLOB_FULL	RankCount	RankPERKs_Flat	RankPERK_1_FormID	RankPERK_1_EDID	RankPERK_1_FULL	RankPERK_2_FormID	RankPERK_2_EDID	RankPERK_2_FULL	RankPERK_3_FormID	RankPERK_3_EDID	RankPERK_3_FULL	RankPERK_4_FormID	RankPERK_4_EDID	RankPERK_4_FULL	RankPERK_5_FormID	RankPERK_5_EDID	RankPERK_5_FULL	RankPERK_6_FormID	RankPERK_6_EDID	RankPERK_6_FULL	RankPERK_7_FormID	RankPERK_7_EDID	RankPERK_7_FULL	RankPERK_8_FormID	RankPERK_8_EDID	RankPERK_8_FULL	RankPERK_9_FormID	RankPERK_9_EDID	RankPERK_9_FULL	RankPERK_10_FormID	RankPERK_10_EDID	RankPERK_10_FULL
000907C9	"RiflemanCard"	"Rifleman"	"Keep your distance long and your kill-count high."	""	""	""	"2"	"Perception"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	3	"Rank1=Rifleman01[0004A0B6] | Rank2=Rifleman02[0004A0B7] | Rank3=Rifleman03[0004A0B8]"	0004A0B6	"Rifleman01"	"Down Ranger"	0004A0B7	"Rifleman02"	"Down Ranger"	0004A0B8	"Rifleman03"	"Down Ranger"		""	""		""	""		""	""		""	""		""	""		""	""		""	""
000907CF	"StrongbackCard"	"StrongBack"	"What are you, part pack mule?"	""	""	""	"26"	"Strength"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	1	"Rank1=StrongBack01[0004B24E]"	0004B24E	"StrongBack01"	"Strong Back"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
000907D6	"IroncladCard"	"Ironclad"	"The knights had it right!"	""	""	""	"30"	"Endurance"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	3	"Rank1=Ironclad01[003440D0] | Rank2=Ironclad02[003440D2] | Rank3=Ironclad03[003440D3]"	003440D0	"Ironclad01"	"Ironclad"	003440D2	"Ironclad02"	"Ironclad"	003440D3	"Ironclad03"	"Ironclad"		""	""		""	""		""	""		""	""		""	""		""	""		""	""
000907DE	"TormentorCard"	"Tormentor"	"You like to play with your food."	""	""	""	"37"	"Perception"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	1	"Rank1=Tormentor01[0009535E]"	0009535E	"Tormentor01"	"Tormentor"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
000907E5	"GroundPounderCard"	"GroundPounder"	"The battlefield is your happy place!"	""	""	""	"18"	"Perception"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	3	"Rank1=GroundPounder01[00006F9B] | Rank2=GroundPounder02[00006FAB] | Rank3=GroundPounder03[00006FAC]"	00006F9B	"GroundPounder01"	"Ground Pounder"	00006FAB	"GroundPounder02"	"Ground Pounder"	00006FAC	"GroundPounder03"	"Ground Pounder"		""	""		""	""		""	""		""	""		""	""		""	""		""	""
000907E6	"ProfessionalDrinkerCard"	"ProfessionalDrinker"	"Your liver works hard for the money!"	""	""	""	"39"	"Endurance"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	1	"Rank1=ProfessionalDrinker01[0018E144]"	0018E144	"ProfessionalDrinker01"	"Professional Drinker"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
000907E9	"PharmacistCard"	"Pharmacist"	"Take 2 of these and never call me again."	""	""	""	"6"	"Intelligence"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	1	"Rank1=Pharmacist01[000814FB]"	000814FB	"Pharmacist01"	"Pharmacist"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
000907EB	"HappyGoLuckyCard"	"HappyGoLucky"	"Everything goes better after a drink."	""	""	""	"17"	"Charisma"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	2	"Rank1=HappyGoLucky01[0018E143] | Rank2=HappyGoLucky02[0018E147]"	0018E143	"HappyGoLucky01"	"Happy-Go-Lucky"	0018E147	"HappyGoLucky02"	"Happy-Go-Lucky"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
000907EE	"ModernRenegadeCard"	"ModernRenegade"	"Today's skill - yesterday's style!"	""	""	""	"18"	"Agility"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	3	"Rank1=ModernRenegade01[0000EE1C] | Rank2=ModernRenegade02[0000EE1E] | Rank3=ModernRenegade03[00054DF2]"	0000EE1C	"ModernRenegade01"	"Modern Renegade"	0000EE1E	"ModernRenegade02"	"Modern Renegade"	00054DF2	"ModernRenegade03"	"Modern Renegade"		""	""		""	""		""	""		""	""		""	""		""	""		""	""
000907EF	"FieldSurgeonCard"	"FieldSurgeon"	"The Wasteland is your operating room!"	""	""	""	"15"	"Intelligence"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	1	"Rank1=FieldSurgeon01[000814FE]"	000814FE	"FieldSurgeon01"	"Field Surgeon"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
00093E84	"ActionBoyGirlCard"	"ActionBoy"	"There's no time to waste!"	""	""	""	"2"	"Agility"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	3	"Rank1=ActionBoy01[0004D869] | Rank2=ActionBoy02[00065DF5] | Rank3=ActionBoy03[0017ED8A]"	0004D869	"ActionBoy01"	"Action Boy"	00065DF5	"ActionBoy02"	"Action Boy"	0017ED8A	"ActionBoy03"	"Action Boy"		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0010BCCE	"TravelingPharmacyCard"	"TravelingPharmacy"	"You're great at getting boosted... on the go!"	""	""	""	"3"	"Strength"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	2	"Rank1=TravelingPharmacy01[0010BCAC] | Rank2=TravelingPharmacy02[0010BCB0]"	0010BCAC	"TravelingPharmacy01"	"Traveling Pharmacy"	0010BCB0	"TravelingPharmacy02"	"Traveling Pharmacy"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
00123A5F	"GladiatorExpertCard"	"GladiatorExpert"	"Good form keeps you on your toes!"	""	""	""	"15"	"Strength"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	1	"Rank1=GladiatorExpert01[003440AB]"	003440AB	"GladiatorExpert01"	"Natural Stance"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
00123A60	"GladiatorMasterCard"	"GladiatorMaster"	"In another life you were a swordsman!"	""	""	""	"35"	"Strength"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	1	"Rank1=GladiatorMaster01[00123A5B]"	00123A5B	"GladiatorMaster01"	"Blood Luster"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
001287A0	"QuackSurgeonCard"	"QuackSurgeon"	"That'll wake you up in the mornin'!"	""	""	""	"22"	"Charisma"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	1	"Rank1=QuackSurgeon01[0012879F]"	0012879F	"QuackSurgeon01"	"Quack Surgeon"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0013130F	"DromedaryCard"	"Dromedary"	"Is that a hump on your back?"	""	""	""	"3"	"Endurance"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	2	"Rank1=Dromedary01[0003D966] | Rank2=Dromedary02[0009D1FD]"	0003D966	"Dromedary01"	"Dromedary"	0009D1FD	"Dromedary02"	"Dromedary"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0016AFE9	"BearArmsCard"	"BearArms"	"Your bear-like arms help you bear bigger arms."	""	""	""	"35"	"Strength"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	1	"Rank1=BearArms01[0016AF72]"	0016AF72	"BearArms01"	"Bear Arms"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
00185A2C	"WreckingBallCard"	"WreckingBall"	"You are a literal home wrecker."	""	""	""	"29"	"Strength"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	1	"Rank1=WreckingBall01[00185995]"	00185995	"WreckingBall01"	"Wrecking Ball"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
001870F2	"IronStomachCard"	"IronStomach"	"Is tonight's dinner Rotting Roadkill Goulash Surprise? No problem!"	""	""	""	"4"	"Endurance"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	1	"Rank1=IronStomach01[00185A2D]"	00185A2D	"IronStomach01"	"Iron Stomach"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0018731C	"EMTCard"	"EMT"	"No one dies on your watch!"	""	""	""	"9"	"Charisma"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	1	"Rank1=EMT01[00029285]"	00029285	"EMT01"	"E.M.T."		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
001873CE	"ButchersBountyCard"	"ButchersBounty"	"You aren't afraid to dig a little deeper to get what you want."	""	""	""	"3"	"Perception"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	3	"Rank1=ButchersBounty01[0018731F] | Rank2=ButchersBounty02[00187426] | Rank3=ButchersBounty03[00187429]"	0018731F	"ButchersBounty01"	"Butcher's Bounty"	00187426	"ButchersBounty02"	"Butcher's Bounty"	00187429	"ButchersBounty03"	"Butcher's Bounty"		""	""		""	""		""	""		""	""		""	""		""	""		""	""
00188F07	"NightPersonCard"	"NightPerson"	"You are a creature of the night!"	""	""	""	"24"	"Perception"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	3	"Rank1=NightPerson01[0004C93B] | Rank2=NightPerson02[001D2495] | Rank3=NightPerson03[00188EFF]"	0004C93B	"NightPerson01"	"Night Person"	001D2495	"NightPerson02"	"Night Person"	00188EFF	"NightPerson03"	"Night Person"		""	""		""	""		""	""		""	""		""	""		""	""		""	""
00188F1F	"BasherCard"	"Basher"	"Get up close and personal!"	""	""	""	"11"	"Strength"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	2	"Rank1=Basher01[00065DF9] | Rank2=Basher02[00065DFA]"	00065DF9	"Basher01"	"Basher"	00065DFA	"Basher02"	"Basher"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
001C9D2E	"HeavyGunnerMasterCard"	"HeavyGunnerMaster"	"You're a tank with legs."	""	""	""	"50"	"Strength"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	1	"Rank1=HeavyGunnerMaster01[0004A0D6]"	0004A0D6	"HeavyGunnerMaster01"	"Bringing the Big Guns"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
001D6251	"TankKillerCard"	"TankKiller"	"You are a human can opener."	""	""	""	"30"	"Perception"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	2	"Rank1=TankKiller01[0031D4BC] | Rank2=TankKiller02[001D61E3]"	0031D4BC	"TankKiller01"	"Tank Killer"	001D61E3	"TankKiller02"	"Tank Killer"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
00202047	"ShotgunnerMasterCard"	"ShotgunnerMaster"	"You're a trophy shooter - with the trophy to prove it!"	""	""	""	"40"	"Strength"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	1	"Rank1=ShotgunnerMaster01[001A2DE1]"	001A2DE1	"ShotgunnerMaster01"	"Shotgun Champ"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
00202049	"ShotgunnerCard"	"Shotgunner"	"Pump action is your kind of action."	""	""	""	"5"	"Strength"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	3	"Rank1=Shotgunner01[00090590] | Rank2=Shotgunner02[00090694] | Rank3=Shotgunner03[00127855]"	00090590	"Shotgunner01"	"Easy Target"	00090694	"Shotgunner02"	"Easy Target"	00127855	"Shotgunner03"	"Easy Target"		""	""		""	""		""	""		""	""		""	""		""	""		""	""
00223BAB	"ShotgunnerExpertCard"	"ShotgunnerExpert"	"You could hit your target with your eyes closed!"	""	""	""	"20"	"Strength"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	1	"Rank1=ShotgunnerExpert01[001447AC]"	001447AC	"ShotgunnerExpert01"	"Love the Spread"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
00242E66	"BarbarianCard"	"Barbarian"	"Channel your inner Grognak!"	""	""	""	"14"	"Strength"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	1	"Rank1=Barbarian01[00242E59]"	00242E59	"Barbarian01"	"Barbarian"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0025A22F	"NerdRageCard"	"NerdRage"	"Genius. Is. ANGRY!"	""	""	""	"46"	"Intelligence"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	1	"Rank1=NerdRage01[0004D886]"	0004D886	"NerdRage01"	"Nerd Rage!"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0025A233	"SluggerCard"	"Slugger"	"Swing for the fences!"	""	""	""	"2"	"Strength"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	3	"Rank1=Slugger01[0004A0B5] | Rank2=Slugger02[000E36FC] | Rank3=Slugger03[000E36FD]"	0004A0B5	"Slugger01"	"Slugger"	000E36FC	"Slugger02"	"Slugger"	000E36FD	"Slugger03"	"Slugger"		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0025A29B	"NocturnalFortitudeCard"	"NocturnalFortitude"	"Darkness is power!"	""	""	""	"29"	"Endurance"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	2	"Rank1=NocturnalFortitude01[00259C55] | Rank2=NocturnalFortitude02[00259DB6]"	00259C55	"NocturnalFortitude01"	"Nocturnal Fortitude"	00259DB6	"NocturnalFortitude02"	"Nocturnal Fortitude"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0025A6B0	"ChemFiendCard"	"ChemFiend"	"Far out!"	""	""	""	"23"	"Endurance"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	1	"Rank1=ChemFiend01[00259E62]"	00259E62	"ChemFiend01"	"Chem Fiend"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0025A792	"GunslingerMasterCard"	"GunslingerMaster"	"Quick on the draw, quick on the trigger."	""	""	""	"35"	"Agility"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	1	"Rank1=GunslingerMaster01[0004A09F]"	0004A09F	"GunslingerMaster01"	"Gunslinger Master"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0025A7A0	"LeadBellyCard"	"LeadBelly"	"Your digestive tract has adjusted to the weirdness of the Wasteland!"	""	""	""	"2"	"Endurance"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	1	"Rank1=LeadBelly01[0004A0B9]"	0004A0B9	"LeadBelly01"	"Lead Belly"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0025A7A1	"NightEyesCard"	"NightEyes"	"Nightshift in the Vault honed your eyesight!"	""	""	""	"50"	"Perception"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	1	"Rank1=NightEyes01[002598E6]"	002598E6	"NightEyes01"	"Night Eyes"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0025A7A2	"SniperCard"	"Sniper"	"It's all about focus."	""	""	""	"28"	"Perception"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	1	"Rank1=Sniper01[0004C92A]"	0004C92A	"Sniper01"	"Sniper"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0025A7A3	"MarathonerCard"	"Marathoner"	"You're going the distance!"	""	""	""	"13"	"Agility"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	3	"Rank1=Marathoner01[0025989A] | Rank2=Marathoner02[002598E0] | Rank3=Marathoner03[003701A8]"	0025989A	"Marathoner01"	"Marathoner"	002598E0	"Marathoner02"	"Marathoner"	003701A8	"Marathoner03"	"Marathoner"		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0025A7A4	"SturdyFrameCard"	"SturdyFrame"	"You are built like a brick house."	""	""	""	"13"	"Strength"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	2	"Rank1=SturdyFrame01[002597FD] | Rank2=SturdyFrame02[0025A7A6]"	002597FD	"SturdyFrame01"	"Sturdy Frame"	0025A7A6	"SturdyFrame02"	"Sturdy Frame"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0025A7E0	"ThruHikerCard"	"ThruHiker"	"You have learned the art of proper weight distribution."	""	""	""	"7"	"Endurance"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	2	"Rank1=ThruHiker01[0025A7AD] | Rank2=ThruHiker02[0025A7AE]"	0025A7AD	"ThruHiker01"	"Thru-hiker"	0025A7AE	"ThruHiker02"	"Thru-hiker"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0025A7F9	"NinjaCard"	"Ninja"	"You trained as a shadow warrior."	""	""	""	"15"	"Agility"	001179F3	"PerkCard_Caps_Rare"	"PerkCard_Caps_Rare"	2	"Rank1=Ninja01[0004D8A6] | Rank2=Ninja02[000E3704]"	0004D8A6	"Ninja01"	"Ninja"	000E3704	"Ninja02"	"Ninja"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0025A808	"GhoulishCard"	"Ghoulish"	"Sure, you're still human - on the outside!"	""	""	""	"36"	"Endurance"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	3	"Rank1=Ghoulish01[0004D89E] | Rank2=Ghoulish02[00065E22] | Rank3=Ghoulish03[00065E23]"	0004D89E	"Ghoulish01"	"Ghoulish"	00065E22	"Ghoulish02"	"Ghoulish"	00065E23	"Ghoulish03"	"Ghoulish"		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0027A870	"GrimReapersSprintCard"	"GrimReapersSprint"	"Death becomes you!"	""	""	""	"33"	"Luck"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	1	"Rank1=GrimReapersSprint01[0004D8A2]"	0004D8A2	"GrimReapersSprint01"	"Grim Reaper's Sprint"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0027A871	"PsychopathCard"	"Psychopath"	"Kill! Kill! Muahaha!"	""	""	""	"20"	"Luck"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	1	"Rank1=Psychopath01[0027A86F]"	0027A86F	"Psychopath01"	"Psychopath"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0027A876	"PowerUserCard"	"PowerUser"	"Dominate the Wasteland with impunity."	""	""	""	"50"	"Intelligence"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	3	"Rank1=PowerUser01[0027A873] | Rank2=PowerUser02[0027A874] | Rank3=PowerUser03[0027A875]"	0027A873	"PowerUser01"	"Power User"	0027A874	"PowerUser02"	"Power User"	0027A875	"PowerUser03"	"Power User"		""	""		""	""		""	""		""	""		""	""		""	""		""	""
0027A877	"GunRunnerCard"	"GunRunner"	"Carry light and run fast."	""	""	""	"4"	"Agility"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	2	"Rank1=GunRunner01[0025A7A9] | Rank2=GunRunner02[0025A7AA]"	0025A7A9	"GunRunner01"	"Gun Runner"	0025A7AA	"GunRunner02"	"Gun Runner"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
00287C5C	"HackerCard"	"Hacker"	"Penetrate terminal security with cutting-edge encryption knowledge."	""	""	""	"4"	"Intelligence"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	1	"Rank1=Hacker01[00356A11]"	00356A11	"Hacker01"	"Hacker"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
00287CD5	"BetterCriticalsCard"	"BetterCriticals"	"Advanced training for enhanced combat effectiveness!"	""	""	""	"47"	"Luck"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	3	"Rank1=BetterCriticals01[0004D87A] | Rank2=BetterCriticals02[00065E03] | Rank3=BetterCriticals03[00065E04]"	0004D87A	"BetterCriticals01"	"Better Criticals"	00065E03	"BetterCriticals02"	"Better Criticals"	00065E04	"BetterCriticals03"	"Better Criticals"		""	""		""	""		""	""		""	""		""	""		""	""		""	""
002AADA4	"HydroFixCard"	"HydroFix"	"Just a little at a time keeps the thirst away."	""	""	""	"11"	"Endurance"	001179ED	"PerkCard_Caps_Common"	"PerkCard_Caps_Common"	2	"Rank1=HydroFix01[00122C56] | Rank2=HydroFix02[001872F4]"	00122C56	"HydroFix01"	"Hydro Fix"	001872F4	"HydroFix02"	"Hydro Fix"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
002BA546	"NaturalResistanceCard"	"NaturalResistance"	"You're healthy as a horse! Or Deathclaw."	""	""	""	"10"	"Endurance"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	1	"Rank1=NaturalResistance01[0018712E]"	0018712E	"NaturalResistance01"	"Natural Resistance"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
002BA564	"ThirstQuencherCard"	"ThirstQuencher"	"Your system filters liquids to the EXTREME."	""	""	""	"6"	"Endurance"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	1	"Rank1=ThirstQuencher01[002BA547]"	002BA547	"ThirstQuencher01"	"Thirst Quencher"		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""		""	""
002DB86B	"SolarPoweredCard"	"SolarPowered"	"Catch some rays!"	""	""	""	"22"	"Endurance"	0024F8D6	"PerkCard_Caps_Uncommon"	"PerkCard_Caps_Uncommon"	3	"Rank1=SolarPowered01[0004D8A7] | Rank2=SolarPowered02[001D2484] | Rank3=SolarPowered03[001D2485]"	0004D8A7	"SolarPowered01"	"Solar Powered"	001D2484	"SolarPowered02"	"Solar Powered"	001D2485	"SolarPowered03"	"Solar Powered"		""	""		""	""		""	""		""	""		""	""		""	""		""	""
