SPEL_FormID	SPEL_EDID	SPEL_FULL	SPEL_DESC	Keywords_Flat	Keyword_1	Keyword_2	Keyword_3	Keyword_4	Keyword_5	Keyword_6	Keyword_7	Keyword_8	Keyword_9	Keyword_10	Keyword_11	Keyword_12	Keyword_13	Keyword_14	Keyword_15	Keyword_16	Keyword_17	Keyword_18	Keyword_19	Keyword_20	ETYP_FormID	ETYP_EDID	ETYP_FULL	SPIT_BaseCost	SPIT_Flags	SPIT_Type	SPIT_ChargeTime	SPIT_CastType	SPIT_TargetType	SPIT_CastDuration	SPIT_Range	SPIT_CastingPerk_FormID	SPIT_CastingPerk_EDID	SPIT_CastingPerk_FULL	EffectCount	MIID_MaxItemID	EffectIndex	EFID_MGEF_FormID	EFID_MGEF_EDID	EFID_MGEF_FULL	EFIT_EffectID	EFIT_Magnitude	EFIT_Area	EFIT_Duration	EFIT_Unknown	Conditions_Flat	Cond_1	Cond_2	Cond_3	Cond_4	Cond_5	Cond_6	Cond_7	Cond_8	Cond_9	Cond_10	Cond_11	Cond_12	Cond_13	Cond_14	Cond_15	Cond_16	Cond_17	Cond_18	Cond_19	Cond_20
00021E7F	"AbRaceDeathclaw"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	1	"1"	0	00021E80	"abDeathclawRaceEffect"	"Deathclaw Abilities"	"0"	"0.000000"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004A0D3	"AbPerkLifeGiver"	"Life Giver"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	1	"0"	0	00511AE4	"AbPerkFortifyHealth"	"Fortify Health"	"0"	"0.000000"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004B252	"AbPerkStrongBack"	"Strong Back"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	1	"0"	0	0006F7DB	"AbPerkFortifyCarryWeight"	"Fortify Carry Weight"	"0"	"0.000000"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004B260	"AbPerkRockSteady"	"Rock Steady"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	1	"0"	0	0004A0AC	"AbPerkFortifyResistDamage"	"Fortify Damage Resist"	"0"	"10.000000"	"0"	"0"	""	"IsMoving = 0.000000 10000000"	"IsMoving = 0.000000 10000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004B269	"AbPerkWellGroomed"	"Well Groomed"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	1	"0"	0	0004B268	"AbFortifyCharisma"	"Fortify Charisma"	"0"	"1.000000"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004C93A	"AbPerkNightPerson"	"Night Person"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	6	"0"	0	004351E1	"AbPerkFortifyIntelligence"	"Fortify Intelligence"	"0"	"1.000000"	"0"	"0"	""	"HasPerk = 1.000000 10000000 | HasPerk = 0.000000 10000000 | GetGlobalValue = 6.000000 10110000 | GetGlobalValue = 18.000000 11010000"	"HasPerk = 1.000000 10000000"	"HasPerk = 0.000000 10000000"	"GetGlobalValue = 6.000000 10110000"	"GetGlobalValue = 18.000000 11010000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004C93A	"AbPerkNightPerson"	"Night Person"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	6	"0"	1	004351E2	"AbPerkFortifyPerception"	"Fortify Perception"	"0"	"1.000000"	"0"	"0"	""	"HasPerk = 1.000000 10000000 | HasPerk = 0.000000 10000000 | GetGlobalValue = 6.000000 10110000 | GetGlobalValue = 18.000000 11010000"	"HasPerk = 1.000000 10000000"	"HasPerk = 0.000000 10000000"	"GetGlobalValue = 6.000000 10110000"	"GetGlobalValue = 18.000000 11010000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004C93A	"AbPerkNightPerson"	"Night Person"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	6	"0"	2	004351E1	"AbPerkFortifyIntelligence"	"Fortify Intelligence"	"0"	"2.000000"	"0"	"0"	""	"HasPerk = 1.000000 10000000 | HasPerk = 0.000000 10000000 | GetGlobalValue = 6.000000 10110000 | GetGlobalValue = 18.000000 11010000"	"HasPerk = 1.000000 10000000"	"HasPerk = 0.000000 10000000"	"GetGlobalValue = 6.000000 10110000"	"GetGlobalValue = 18.000000 11010000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004C93A	"AbPerkNightPerson"	"Night Person"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	6	"0"	3	004351E2	"AbPerkFortifyPerception"	"Fortify Perception"	"0"	"2.000000"	"0"	"0"	""	"HasPerk = 1.000000 10000000 | HasPerk = 0.000000 10000000 | GetGlobalValue = 6.000000 10110000 | GetGlobalValue = 18.000000 11010000"	"HasPerk = 1.000000 10000000"	"HasPerk = 0.000000 10000000"	"GetGlobalValue = 6.000000 10110000"	"GetGlobalValue = 18.000000 11010000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004C93A	"AbPerkNightPerson"	"Night Person"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	6	"0"	4	004351E1	"AbPerkFortifyIntelligence"	"Fortify Intelligence"	"0"	"3.000000"	"0"	"0"	""	"HasPerk = 1.000000 10000000 | GetGlobalValue = 6.000000 10110000 | GetGlobalValue = 18.000000 11010000"	"HasPerk = 1.000000 10000000"	"GetGlobalValue = 6.000000 10110000"	"GetGlobalValue = 18.000000 11010000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004C93A	"AbPerkNightPerson"	"Night Person"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	6	"0"	5	004351E2	"AbPerkFortifyPerception"	"Fortify Perception"	"0"	"3.000000"	"0"	"0"	""	"HasPerk = 1.000000 10000000 | GetGlobalValue = 6.000000 10110000 | GetGlobalValue = 18.000000 11010000"	"HasPerk = 1.000000 10000000"	"GetGlobalValue = 6.000000 10110000"	"GetGlobalValue = 18.000000 11010000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D86C	"AbPerkCyborg"	"Cyborg"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	3	"0"	0	0004C47D	"AbPerkFortifyResistRadiationExpose"	"Fortify Radiation Resist"	"0"	"15.000000"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D86C	"AbPerkCyborg"	"Cyborg"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	3	"0"	1	0004D86B	"AbPerkFortifyResistPoison"	"Fortify Poison Resist"	"0"	"15.000000"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D86C	"AbPerkCyborg"	"Cyborg"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	3	"0"	2	0004A0AC	"AbPerkFortifyResistDamage"	"Fortify Damage Resist"	"0"	"15.000000"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D871	"AbPerkActionBoyGirl"	"Action Boy/Girl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	3	"0"	0	0017ED89	"AbPerkFortifyActionPointRegen"	"Fortify Action Point Regen Mult"	"0"	"15.000000"	"0"	"0"	""	"HasPerk = 0.000000 10000000 | HasPerk = 0.000000 10000000 | HasPerk = 0.000000 10000000 | HasPerk = 0.000000 10000000"	"HasPerk = 0.000000 10000000"	"HasPerk = 0.000000 10000000"	"HasPerk = 0.000000 10000000"	"HasPerk = 0.000000 10000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D871	"AbPerkActionBoyGirl"	"Action Boy/Girl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	3	"0"	1	0017ED89	"AbPerkFortifyActionPointRegen"	"Fortify Action Point Regen Mult"	"0"	"30.000000"	"0"	"0"	""	"HasPerk = 1.000000 10010000 | HasPerk = 1.000000 10000000 | HasPerk = 0.000000 10000000 | HasPerk = 0.000000 10000000"	"HasPerk = 1.000000 10010000"	"HasPerk = 1.000000 10000000"	"HasPerk = 0.000000 10000000"	"HasPerk = 0.000000 10000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D871	"AbPerkActionBoyGirl"	"Action Boy/Girl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	3	"0"	2	0017ED89	"AbPerkFortifyActionPointRegen"	"Fortify Action Point Regen Mult"	"0"	"45.000000"	"0"	"0"	""	"HasPerk = 1.000000 10010000 | HasPerk = 1.000000 10010000"	"HasPerk = 1.000000 10010000"	"HasPerk = 1.000000 10010000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D884	"AbPerkNerdRage"	"Nerd Rage"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	2	"0"	0	0043BA22	"AbPerkNerdRageActionPointRegen"	"Fortify Action Point Regen Mult"	"0"	"0.000000"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D884	"AbPerkNerdRage"	"Nerd Rage"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	2	"0"	1	004F6AB0	"abPerkFortifyDmgAll"	"Fortify All Damage"	"0"	"0.000000"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D8A9	"AbPerkSolarPowered"	"Solar Powered"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	6	"0"	0	004351E3	"AbPerkFortifyStrength"	"Fortify Strength"	"0"	"1.000000"	"0"	"0"	""	"HasPerk = 0.000000 10000000 | HasPerk = 1.000000 10000000 | HasPerk = 0.000000 10000000 | GetGlobalValue = 6.000000 11000000 | GetGlobalValue = 18.000000 10100000"	"HasPerk = 0.000000 10000000"	"HasPerk = 1.000000 10000000"	"HasPerk = 0.000000 10000000"	"GetGlobalValue = 6.000000 11000000"	"GetGlobalValue = 18.000000 10100000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D8A9	"AbPerkSolarPowered"	"Solar Powered"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	6	"0"	1	004351E0	"AbPerkFortifyEndurance"	"Fortify Endurance"	"0"	"1.000000"	"0"	"0"	""	"HasPerk = 0.000000 10000000 | HasPerk = 1.000000 10000000 | HasPerk = 0.000000 10000000 | GetGlobalValue = 6.000000 11000000 | GetGlobalValue = 18.000000 10100000"	"HasPerk = 0.000000 10000000"	"HasPerk = 1.000000 10000000"	"HasPerk = 0.000000 10000000"	"GetGlobalValue = 6.000000 11000000"	"GetGlobalValue = 18.000000 10100000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D8A9	"AbPerkSolarPowered"	"Solar Powered"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	6	"0"	2	004351E3	"AbPerkFortifyStrength"	"Fortify Strength"	"0"	"2.000000"	"0"	"0"	""	"HasPerk = 1.000000 10000000 | HasPerk = 0.000000 10000000 | GetGlobalValue = 6.000000 11000000 | GetGlobalValue = 18.000000 10100000"	"HasPerk = 1.000000 10000000"	"HasPerk = 0.000000 10000000"	"GetGlobalValue = 6.000000 11000000"	"GetGlobalValue = 18.000000 10100000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D8A9	"AbPerkSolarPowered"	"Solar Powered"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	6	"0"	3	004351E0	"AbPerkFortifyEndurance"	"Fortify Endurance"	"0"	"2.000000"	"0"	"0"	""	"HasPerk = 1.000000 10000000 | HasPerk = 0.000000 10000000 | GetGlobalValue = 6.000000 11000000 | GetGlobalValue = 18.000000 10100000"	"HasPerk = 1.000000 10000000"	"HasPerk = 0.000000 10000000"	"GetGlobalValue = 6.000000 11000000"	"GetGlobalValue = 18.000000 10100000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D8A9	"AbPerkSolarPowered"	"Solar Powered"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	6	"0"	4	004351E3	"AbPerkFortifyStrength"	"Fortify Strength"	"0"	"3.000000"	"0"	"0"	""	"HasPerk = 1.000000 10000000 | GetGlobalValue = 6.000000 11000000 | GetGlobalValue = 18.000000 10100000"	"HasPerk = 1.000000 10000000"	"GetGlobalValue = 6.000000 11000000"	"GetGlobalValue = 18.000000 10100000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004D8A9	"AbPerkSolarPowered"	"Solar Powered"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	6	"0"	5	004351E0	"AbPerkFortifyEndurance"	"Fortify Endurance"	"0"	"3.000000"	"0"	"0"	""	"HasPerk = 1.000000 10000000 | GetGlobalValue = 6.000000 11000000 | GetGlobalValue = 18.000000 10100000"	"HasPerk = 1.000000 10000000"	"GetGlobalValue = 6.000000 11000000"	"GetGlobalValue = 18.000000 10100000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004DDEF	"AbPerkMovingTarget1"	"Moving Target"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	3	"3"	0	007ACAFD	"AbPerkFortifyEvadeChance"	"Fortify Evade Chance"	"0"	"5.000000"	"0"	"0"	""	"HasPerk = 1.000000 00000000 | IsSprinting = 1.000000 10000000 | WornHasKeyword = 0.000000 10000000"	"HasPerk = 1.000000 00000000"	"IsSprinting = 1.000000 10000000"	"WornHasKeyword = 0.000000 10000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0004DDEF	"AbPerkMovingTarget1"	"Moving Target"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	00013F44	"EitherHand"	"EitherHand"	"0"	"0000000000000000000000000000000000000000000000000000000000000000"	"Ability"	"0.000000"	"Constant Effect"	"Self"	"0.000000"	"0.000000"		""	""	3	"3"	1	007ACAFD	"AbPerkFortifyEvadeChance"	"Fortify Evade Chance"	"2"	"10.000000"	"0"	"0"	""	"HasPerk = 1.000000 10000000 | HasPerk = 1.000000 00000000 | IsSprinting = 1.000000 10000000 | WornHasKeyword = 0.000000 10000000"	"HasPerk = 1.000000 10000000"	"HasPerk = 1.000000 00000000"	"IsSprinting = 1.000000 10000000"	"WornHasKeyword = 0.000000 10000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
