NPC_FormID	NPC_EDID	PropIndex	ActorValue_FormID	ActorValue_EDID	ActorValue_Name	Value	CurveTable_FormID	CurveTable_EDID
00075341	LvlSupermutantBoss	6	000002EA	RadResistExposure	Radiation Resistance	0.000000	0076E9B5	CT_Creatures_Armor_Universal_Tier50
00075341	LvlSupermutantBoss	7	000002EB	EnergyResist	Energy Resistance	0.000000	0076E993	CT_Creatures_Armor_Universal_Tier16
00075343	LvlFeralGhoulBoss	0	000002C3	Perception	Perception	4.000000		
00075343	LvlFeralGhoulBoss	1	000002D4	Health	Health	0.000000	0076EA01	CT_Creatures_Health_Universal_Tier26
00075343	LvlFeralGhoulBoss	2	000002DA	SpeedMult	Move Speed	100.000000		
00075343	LvlFeralGhoulBoss	3	007ADDD9	EncounterSkullIndex		0.000000		
000758AD	encFeralGhoul00Template	0	000002C3	Perception	Perception	4.000000		
000758AD	encFeralGhoul00Template	1	000002D4	Health	Health	0.000000	0076E9F8	CT_Creatures_Health_Universal_Tier17
000758AD	encFeralGhoul00Template	2	000002DA	SpeedMult	Move Speed	100.000000		
000758AD	encFeralGhoul00Template	3	007ADDD9	EncounterSkullIndex		0.000000		
000758AF	EncRaider02	0	000002C2	Strength	Strength	3.000000		
000758AF	EncRaider02	1	000002C3	Perception	Perception	4.000000		
000758AF	EncRaider02	2	000002C4	Endurance	Endurance	0.000000		
000758AF	EncRaider02	3	000002C5	Charisma	Charisma	0.000000		
000758AF	EncRaider02	4	000002C6	Intelligence	Intelligence	0.000000		
000758AF	EncRaider02	5	000002C7	Agility	Agility	5.000000		
000758AF	EncRaider02	6	000002C8	Luck	Luck	0.000000		
000758AF	EncRaider02	7	000002D4	Health	Health	0.000000	0076E9F9	CT_Creatures_Health_Universal_Tier18
000758AF	EncRaider02	8	000002D5	ActionPoints	Action Points	50.000000		
000758AF	EncRaider02	9	000002DA	SpeedMult	Move Speed	100.000000		
000758AF	EncRaider02	10	000002E3	DamageResist	Damage Resistance	0.000000	0076E990	CT_Creatures_Armor_Universal_Tier13
000758AF	EncRaider02	11	000002E4	PoisonResist	Poison Resistance	0.000000	0076E98D	CT_Creatures_Armor_Universal_Tier10
000758AF	EncRaider02	12	000002E5	FireResist	Fire Resistance	0.000000	0076E990	CT_Creatures_Armor_Universal_Tier13
000758AF	EncRaider02	13	000002E7	FrostResist	Cryo Resistance	0.000000	0076E98D	CT_Creatures_Armor_Universal_Tier10
000758AF	EncRaider02	14	000002EA	RadResistExposure	Radiation Resistance	0.000000	0076E98D	CT_Creatures_Armor_Universal_Tier10
000758AF	EncRaider02	15	000002EB	EnergyResist	Energy Resistance	0.000000	0076E990	CT_Creatures_Armor_Universal_Tier13
000758B0	EncRaider04	0	000002C2	Strength	Strength	5.000000		
000758B0	EncRaider04	1	000002C3	Perception	Perception	4.000000		
000758B0	EncRaider04	2	000002C4	Endurance	Endurance	0.000000		
000758B0	EncRaider04	3	000002C5	Charisma	Charisma	0.000000		
000758B0	EncRaider04	4	000002C6	Intelligence	Intelligence	0.000000		
000758B0	EncRaider04	5	000002C7	Agility	Agility	5.000000		
000758B0	EncRaider04	6	000002C8	Luck	Luck	0.000000		
000758B0	EncRaider04	7	000002D4	Health	Health	0.000000	0076E9F9	CT_Creatures_Health_Universal_Tier18
000758B0	EncRaider04	8	000002D5	ActionPoints	Action Points	50.000000		
000758B0	EncRaider04	9	000002DA	SpeedMult	Move Speed	100.000000		
000758B0	EncRaider04	10	000002E3	DamageResist	Damage Resistance	0.000000	0076E990	CT_Creatures_Armor_Universal_Tier13
000758B0	EncRaider04	11	000002E4	PoisonResist	Poison Resistance	0.000000	0076E98D	CT_Creatures_Armor_Universal_Tier10
000758B0	EncRaider04	12	000002E5	FireResist	Fire Resistance	0.000000	0076E990	CT_Creatures_Armor_Universal_Tier13
000758B0	EncRaider04	13	000002E7	FrostResist	Cryo Resistance	0.000000	0076E98D	CT_Creatures_Armor_Universal_Tier10
000758B0	EncRaider04	14	000002EA	RadResistExposure	Radiation Resistance	0.000000	0076E98D	CT_Creatures_Armor_Universal_Tier10
000758B0	EncRaider04	15	000002EB	EnergyResist	Energy Resistance	0.000000	0076E990	CT_Creatures_Armor_Universal_Tier13
000758B1	EncRaider05	0	000002C2	Strength	Strength	6.000000		
000758B1	EncRaider05	1	000002C3	Perception	Perception	4.000000		
000758B1	EncRaider05	2	000002C4	Endurance	Endurance	0.000000		
000758B1	EncRaider05	3	000002C5	Charisma	Charisma	0.000000		
000758B1	EncRaider05	4	000002C6	Intelligence	Intelligence	0.000000		
000758B1	EncRaider05	5	000002C7	Agility	Agility	5.000000		
000758B1	EncRaider05	6	000002C8	Luck	Luck	0.000000		
000758B1	EncRaider05	7	000002D4	Health	Health	0.000000	0076E9F9	CT_Creatures_Health_Universal_Tier18
000758B1	EncRaider05	8	000002D5	ActionPoints	Action Points	50.000000		
000758B1	EncRaider05	9	000002DA	SpeedMult	Move Speed	100.000000		
000758B1	EncRaider05	10	000002E3	DamageResist	Damage Resistance	0.000000	0076E990	CT_Creatures_Armor_Universal_Tier13
000758B1	EncRaider05	11	000002E4	PoisonResist	Poison Resistance	0.000000	0076E98D	CT_Creatures_Armor_Universal_Tier10
000758B1	EncRaider05	12	000002E5	FireResist	Fire Resistance	0.000000	0076E990	CT_Creatures_Armor_Universal_Tier13
000758B1	EncRaider05	13	000002E7	FrostResist	Cryo Resistance	0.000000	0076E98D	CT_Creatures_Armor_Universal_Tier10
000758B1	EncRaider05	14	000002EA	RadResistExposure	Radiation Resistance	0.000000	0076E98D	CT_Creatures_Armor_Universal_Tier10
000758B1	EncRaider05	15	000002EB	EnergyResist	Energy Resistance	0.000000	0076E990	CT_Creatures_Armor_Universal_Tier13
000758B2	EncRaider06	0	000002C2	Strength	Strength	7.000000		
000758B2	EncRaider06	1	000002C3	Perception	Perception	4.000000		
000758B2	EncRaider06	2	000002C7	Agility	Agility	5.000000		
000758B2	EncRaider06	3	000002D4	Health	Health	0.000000	0076E9F9	CT_Creatures_Health_Universal_Tier18
000758B2	EncRaider06	4	000002D5	ActionPoints	Action Points	50.000000		
000758B2	EncRaider06	5	000002DA	SpeedMult	Move Speed	100.000000		
000758B2	EncRaider06	6	000002E3	DamageResist	Damage Resistance	0.000000	0076E990	CT_Creatures_Armor_Universal_Tier13
000758B2	EncRaider06	7	000002E4	PoisonResist	Poison Resistance	0.000000	0076E98D	CT_Creatures_Armor_Universal_Tier10
000758B2	EncRaider06	8	000002E5	FireResist	Fire Resistance	0.000000	0076E990	CT_Creatures_Armor_Universal_Tier13
000758B2	EncRaider06	9	000002E7	FrostResist	Cryo Resistance	0.000000	0076E98D	CT_Creatures_Armor_Universal_Tier10
000758B2	EncRaider06	10	000002EA	RadResistExposure	Radiation Resistance	0.000000	0076E98D	CT_Creatures_Armor_Universal_Tier10
000758B2	EncRaider06	11	000002EB	EnergyResist	Energy Resistance	0.000000	0076E990	CT_Creatures_Armor_Universal_Tier13
000769FA	EncBoSSoldier02	0	000002C2	Strength	Strength	0.000000		
000769FA	EncBoSSoldier02	1	000002C3	Perception	Perception	4.000000		
000769FA	EncBoSSoldier02	2	000002C4	Endurance	Endurance	0.000000		
000769FA	EncBoSSoldier02	3	000002C5	Charisma	Charisma	0.000000		
000769FA	EncBoSSoldier02	4	000002C6	Intelligence	Intelligence	0.000000		
000769FA	EncBoSSoldier02	5	000002C7	Agility	Agility	5.000000		
000769FA	EncBoSSoldier02	6	000002C8	Luck	Luck	0.000000		
000769FA	EncBoSSoldier02	7	000002D4	Health	Health	75.000000		
000769FA	EncBoSSoldier02	8	000002D5	ActionPoints	Action Points	50.000000		
000769FA	EncBoSSoldier02	9	000002DA	SpeedMult	Move Speed	100.000000		
000769FB	EncBoSSoldier03	0	000002C2	Strength	Strength	0.000000		
000769FB	EncBoSSoldier03	1	000002C3	Perception	Perception	5.000000		
000769FB	EncBoSSoldier03	2	000002C4	Endurance	Endurance	0.000000		
000769FB	EncBoSSoldier03	3	000002C5	Charisma	Charisma	0.000000		
000769FB	EncBoSSoldier03	4	000002C6	Intelligence	Intelligence	0.000000		
000769FB	EncBoSSoldier03	5	000002C7	Agility	Agility	5.000000		
000769FB	EncBoSSoldier03	6	000002C8	Luck	Luck	0.000000		
000769FB	EncBoSSoldier03	7	000002D4	Health	Health	160.000000		
000769FB	EncBoSSoldier03	8	000002D5	ActionPoints	Action Points	50.000000		
000769FB	EncBoSSoldier03	9	000002DA	SpeedMult	Move Speed	100.000000		
000769FC	EncBoSSoldier04	0	000002C2	Strength	Strength	0.000000		
000769FC	EncBoSSoldier04	1	000002C3	Perception	Perception	5.000000		
000769FC	EncBoSSoldier04	2	000002C4	Endurance	Endurance	0.000000		
000769FC	EncBoSSoldier04	3	000002C5	Charisma	Charisma	0.000000		
000769FC	EncBoSSoldier04	4	000002C6	Intelligence	Intelligence	0.000000		
000769FC	EncBoSSoldier04	5	000002C7	Agility	Agility	5.000000		
000769FC	EncBoSSoldier04	6	000002C8	Luck	Luck	0.000000		
000769FC	EncBoSSoldier04	7	000002D4	Health	Health	260.000000		
000769FC	EncBoSSoldier04	8	000002D5	ActionPoints	Action Points	50.000000		
000769FC	EncBoSSoldier04	9	000002DA	SpeedMult	Move Speed	100.000000		
000769FD	EncBoSSoldier05	0	000002C2	Strength	Strength	0.000000		
000769FD	EncBoSSoldier05	1	000002C3	Perception	Perception	6.000000		
000769FD	EncBoSSoldier05	2	000002C4	Endurance	Endurance	0.000000		
000769FD	EncBoSSoldier05	3	000002C5	Charisma	Charisma	0.000000		
000769FD	EncBoSSoldier05	4	000002C6	Intelligence	Intelligence	0.000000		
000769FD	EncBoSSoldier05	5	000002C7	Agility	Agility	5.000000		
000769FD	EncBoSSoldier05	6	000002C8	Luck	Luck	0.000000		
000769FD	EncBoSSoldier05	7	000002D4	Health	Health	335.000000		
000769FD	EncBoSSoldier05	8	000002D5	ActionPoints	Action Points	50.000000		
000769FD	EncBoSSoldier05	9	000002DA	SpeedMult	Move Speed	100.000000		
000769FE	EncBoSSoldier01	0	000002C2	Strength	Strength	0.000000		
000769FE	EncBoSSoldier01	1	000002C3	Perception	Perception	4.000000		
000769FE	EncBoSSoldier01	2	000002C4	Endurance	Endurance	0.000000		
000769FE	EncBoSSoldier01	3	000002C5	Charisma	Charisma	0.000000		
000769FE	EncBoSSoldier01	4	000002C6	Intelligence	Intelligence	0.000000		
000769FE	EncBoSSoldier01	5	000002C7	Agility	Agility	5.000000		
000769FE	EncBoSSoldier01	6	000002C8	Luck	Luck	0.000000		
000769FE	EncBoSSoldier01	7	000002D4	Health	Health	10.000000		
000769FE	EncBoSSoldier01	8	000002D5	ActionPoints	Action Points	50.000000		
000769FE	EncBoSSoldier01	9	000002DA	SpeedMult	Move Speed	100.000000		
000769FF	EncBoSScribe01	0	000002C2	Strength	Strength	0.000000		
000769FF	EncBoSScribe01	1	000002C3	Perception	Perception	4.000000		
000769FF	EncBoSScribe01	2	000002C4	Endurance	Endurance	0.000000		
000769FF	EncBoSScribe01	3	000002C5	Charisma	Charisma	0.000000		
000769FF	EncBoSScribe01	4	000002C6	Intelligence	Intelligence	0.000000		
000769FF	EncBoSScribe01	5	000002C7	Agility	Agility	5.000000		
000769FF	EncBoSScribe01	6	000002C8	Luck	Luck	0.000000		
000769FF	EncBoSScribe01	7	000002D4	Health	Health	0.000000		
000769FF	EncBoSScribe01	8	000002D5	ActionPoints	Action Points	50.000000		
000769FF	EncBoSScribe01	9	000002DA	SpeedMult	Move Speed	100.000000		
00076A00	EncBoSScribe02	0	000002C2	Strength	Strength	0.000000		
00076A00	EncBoSScribe02	1	000002C3	Perception	Perception	4.000000		
00076A00	EncBoSScribe02	2	000002C4	Endurance	Endurance	0.000000		
00076A00	EncBoSScribe02	3	000002C5	Charisma	Charisma	0.000000		
00076A00	EncBoSScribe02	4	000002C6	Intelligence	Intelligence	0.000000		
00076A00	EncBoSScribe02	5	000002C7	Agility	Agility	5.000000		
00076A00	EncBoSScribe02	6	000002C8	Luck	Luck	0.000000		
00076A00	EncBoSScribe02	7	000002D4	Health	Health	40.000000		
00076A00	EncBoSScribe02	8	000002D5	ActionPoints	Action Points	50.000000		
00076A00	EncBoSScribe02	9	000002DA	SpeedMult	Move Speed	100.000000		
00076A01	EncBoSScribe03	0	000002C2	Strength	Strength	0.000000		
00076A01	EncBoSScribe03	1	000002C3	Perception	Perception	5.000000		
00076A01	EncBoSScribe03	2	000002C4	Endurance	Endurance	0.000000		
00076A01	EncBoSScribe03	3	000002C5	Charisma	Charisma	0.000000		
00076A01	EncBoSScribe03	4	000002C6	Intelligence	Intelligence	0.000000		
00076A01	EncBoSScribe03	5	000002C7	Agility	Agility	5.000000		
00076A01	EncBoSScribe03	6	000002C8	Luck	Luck	0.000000		
00076A01	EncBoSScribe03	7	000002D4	Health	Health	80.000000		
00076A01	EncBoSScribe03	8	000002D5	ActionPoints	Action Points	50.000000		
00076A01	EncBoSScribe03	9	000002DA	SpeedMult	Move Speed	100.000000		
00076A05	LvlBoSScribe	0	000002C2	Strength	Strength	0.000000		
00076A05	LvlBoSScribe	1	000002C3	Perception	Perception	4.000000		
00076A05	LvlBoSScribe	2	000002C4	Endurance	Endurance	0.000000		
00076A05	LvlBoSScribe	3	000002C5	Charisma	Charisma	0.000000		
00076A05	LvlBoSScribe	4	000002C6	Intelligence	Intelligence	0.000000		
00076A05	LvlBoSScribe	5	000002C7	Agility	Agility	5.000000		
00076A05	LvlBoSScribe	6	000002C8	Luck	Luck	0.000000		
00076A05	LvlBoSScribe	7	000002D4	Health	Health	0.000000		
00076A05	LvlBoSScribe	8	000002D5	ActionPoints	Action Points	50.000000		
00076A05	LvlBoSScribe	9	000002DA	SpeedMult	Move Speed	100.000000		
00076A0A	EncBoSSoldierTemplate	0	000002C2	Strength	Strength	0.000000		
00076A0A	EncBoSSoldierTemplate	1	000002C3	Perception	Perception	4.000000		
00076A0A	EncBoSSoldierTemplate	2	000002C4	Endurance	Endurance	0.000000		
00076A0A	EncBoSSoldierTemplate	3	000002C5	Charisma	Charisma	0.000000		
00076A0A	EncBoSSoldierTemplate	4	000002C6	Intelligence	Intelligence	0.000000		
00076A0A	EncBoSSoldierTemplate	5	000002C7	Agility	Agility	5.000000		
00076A0A	EncBoSSoldierTemplate	6	000002C8	Luck	Luck	0.000000		
00076A0A	EncBoSSoldierTemplate	7	000002D4	Health	Health	10.000000		
00076A0A	EncBoSSoldierTemplate	8	000002D5	ActionPoints	Action Points	50.000000		
00076A0A	EncBoSSoldierTemplate	9	000002DA	SpeedMult	Move Speed	100.000000		
00076A0B	EncBoSScribeTemplate	0	000002C2	Strength	Strength	0.000000		
00076A0B	EncBoSScribeTemplate	1	000002C3	Perception	Perception	4.000000		
00076A0B	EncBoSScribeTemplate	2	000002C4	Endurance	Endurance	0.000000		
00076A0B	EncBoSScribeTemplate	3	000002C5	Charisma	Charisma	0.000000		
00076A0B	EncBoSScribeTemplate	4	000002C6	Intelligence	Intelligence	0.000000		
00076A0B	EncBoSScribeTemplate	5	000002C7	Agility	Agility	5.000000		
00076A0B	EncBoSScribeTemplate	6	000002C8	Luck	Luck	0.000000		
00076A0B	EncBoSScribeTemplate	7	000002D4	Health	Health	0.000000		
00076A0B	EncBoSScribeTemplate	8	000002D5	ActionPoints	Action Points	50.000000		
00076A0B	EncBoSScribeTemplate	9	000002DA	SpeedMult	Move Speed	100.000000		
00077D21	LvlBoSSoldier_PowerArmor_Semi	0	000002C2	Strength	Strength	0.000000		
00077D21	LvlBoSSoldier_PowerArmor_Semi	1	000002C3	Perception	Perception	5.000000		
00077D21	LvlBoSSoldier_PowerArmor_Semi	2	000002C4	Endurance	Endurance	0.000000		
00077D21	LvlBoSSoldier_PowerArmor_Semi	3	000002C5	Charisma	Charisma	0.000000		
00077D21	LvlBoSSoldier_PowerArmor_Semi	4	000002C6	Intelligence	Intelligence	0.000000		
00077D21	LvlBoSSoldier_PowerArmor_Semi	5	000002C7	Agility	Agility	5.000000		
00077D21	LvlBoSSoldier_PowerArmor_Semi	6	000002C8	Luck	Luck	0.000000		
00077D21	LvlBoSSoldier_PowerArmor_Semi	7	000002D4	Health	Health	160.000000		
00077D21	LvlBoSSoldier_PowerArmor_Semi	8	000002D5	ActionPoints	Action Points	50.000000		
00077D21	LvlBoSSoldier_PowerArmor_Semi	9	000002DA	SpeedMult	Move Speed	100.000000		
000789C6	encRaiderFaceM09	0	000002C2	Strength	Strength	0.000000		
000789C6	encRaiderFaceM09	1	000002C3	Perception	Perception	4.000000		
000789C6	encRaiderFaceM09	2	000002C4	Endurance	Endurance	0.000000		
000789C6	encRaiderFaceM09	3	000002C5	Charisma	Charisma	0.000000		
000789C6	encRaiderFaceM09	4	000002C6	Intelligence	Intelligence	0.000000		
000789C6	encRaiderFaceM09	5	000002C7	Agility	Agility	5.000000		
000789C6	encRaiderFaceM09	6	000002C8	Luck	Luck	0.000000		
000789C6	encRaiderFaceM09	7	000002CC	IdleChatterTimeMin		15.000000		
000789C6	encRaiderFaceM09	8	000002CD	IdleChatterTimeMax		30.000000		
000789C6	encRaiderFaceM09	9	000002D4	Health	Health	-10.000000		
000789C6	encRaiderFaceM09	10	000002D5	ActionPoints	Action Points	50.000000		
000789C6	encRaiderFaceM09	11	000002DA	SpeedMult	Move Speed	100.000000		
0007BB0D	LvlStingwing	0	000002C2	Strength	Strength	2.000000		
0007BB0D	LvlStingwing	1	000002C3	Perception	Perception	8.000000		
0007BB0D	LvlStingwing	2	000002C4	Endurance	Endurance	4.000000		
0007BB0D	LvlStingwing	3	000002C5	Charisma	Charisma	2.000000		
0007BB0D	LvlStingwing	4	000002C6	Intelligence	Intelligence	2.000000		
0007BB0D	LvlStingwing	5	000002C7	Agility	Agility	6.000000		
0007BB0D	LvlStingwing	6	000002C8	Luck	Luck	4.000000		
0007BB0D	LvlStingwing	7	000002D4	Health	Health	0.000000	0076E9F4	CT_Creatures_Health_Universal_Tier13
0007BB0D	LvlStingwing	8	000002D5	ActionPoints	Action Points	50.000000		
0007BB0D	LvlStingwing	9	000002DA	SpeedMult	Move Speed	100.000000		
0007BB24	AudioTemplateMolerat	0	000002C2	Strength	Strength	0.000000		
0007BB24	AudioTemplateMolerat	1	000002C3	Perception	Perception	0.000000		
0007BB24	AudioTemplateMolerat	2	000002C4	Endurance	Endurance	0.000000		
0007BB24	AudioTemplateMolerat	3	000002C5	Charisma	Charisma	0.000000		
0007BB24	AudioTemplateMolerat	4	000002C6	Intelligence	Intelligence	0.000000		
0007BB24	AudioTemplateMolerat	5	000002C7	Agility	Agility	0.000000		
0007BB24	AudioTemplateMolerat	6	000002C8	Luck	Luck	0.000000		
0007BB24	AudioTemplateMolerat	7	000002D4	Health	Health	0.000000		
0007BB24	AudioTemplateMolerat	8	000002D5	ActionPoints	Action Points	0.000000		
0007BB24	AudioTemplateMolerat	9	000002DA	SpeedMult	Move Speed	100.000000		
0007E60F	AudioTemplateStingwing	0	000002C2	Strength	Strength	0.000000		
0007E60F	AudioTemplateStingwing	1	000002C3	Perception	Perception	0.000000		
0007E60F	AudioTemplateStingwing	2	000002C4	Endurance	Endurance	0.000000		
0007E60F	AudioTemplateStingwing	3	000002C5	Charisma	Charisma	0.000000		
0007E60F	AudioTemplateStingwing	4	000002C6	Intelligence	Intelligence	0.000000		
0007E60F	AudioTemplateStingwing	5	000002C7	Agility	Agility	0.000000		
0007E60F	AudioTemplateStingwing	6	000002C8	Luck	Luck	0.000000		
0007E60F	AudioTemplateStingwing	7	000002D5	ActionPoints	Action Points	50.000000		
0007E60F	AudioTemplateStingwing	8	000002DA	SpeedMult	Move Speed	100.000000		
0007ED07	encFeralGhoul07	0	000002C3	Perception	Perception	4.000000		
0007ED07	encFeralGhoul07	1	000002D4	Health	Health	0.000000	0076E9F8	CT_Creatures_Health_Universal_Tier17
0007ED07	encFeralGhoul07	2	000002DA	SpeedMult	Move Speed	100.000000		
0007ED07	encFeralGhoul07	3	007ADDD9	EncounterSkullIndex		0.000000		
0007ED08	encFeralGhoul05	0	000002C3	Perception	Perception	4.000000		
0007ED08	encFeralGhoul05	1	000002D4	Health	Health	0.000000	0076E9F8	CT_Creatures_Health_Universal_Tier17
0007ED08	encFeralGhoul05	2	000002DA	SpeedMult	Move Speed	100.000000		
0007ED08	encFeralGhoul05	3	007ADDD9	EncounterSkullIndex		0.000000		
0007ED09	encFeralGhoul04	0	000002C3	Perception	Perception	4.000000		
