Section	Path	Index	Name	Value	ChildCount	Signature
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0200_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	4	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	300	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0300_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	5	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	310	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0310_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	6	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	320	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0320_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	7	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	330	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0330_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	8	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	340	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0340_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	9	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	350	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0350_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	10	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	400	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0400_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	11	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	460	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0460_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	12	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	500	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_0500_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	13	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	9000	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_9000_Item_00	0	
FRAGMENTS	Script Fragments/Fragments	14	Fragment		6	
FRAGMENTS	Script Fragments/Fragments/Fragment	0	Quest Stage	9990	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	1	Unknown	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	2	Quest Stage Index	0	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	3	Unknown	1	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	4	ScriptName	Fragments:Quests:QF_QDLBarbara_Lesson06_008A45D9	0	
FRAGMENTS	Script Fragments/Fragments/Fragment	5	FragmentName	Fragment_Stage_9990_Item_00	0	
STAGE	Stages[0]	0	INDX - Stage Index		3	INDX
STAGE	Stages[0]/INDX - Stage Index	0	Stage Index	10	0	
STAGE	Stages[0]/INDX - Stage Index	1	Flags	01	1	
STAGE	Stages[0]/INDX - Stage Index/Flags	0	Run On Start	1	0	
STAGE	Stages[0]/INDX - Stage Index	2	Unused	00	0	
STAGE	Stages[0]	1	Log Entries		1	
STAGE	Stages[0]/Log Entries	0	Log Entry		2	QSDT
STAGE	Stages[0]/Log Entries/Log Entry	0	QSDT - Stage Flags	0000000000000000000000000000000000000000000000000000000000000000	0	QSDT
STAGE	Stages[0]/Log Entries/Log Entry	1	NAM2 - Note	Event Started	0	NAM2
STAGE	Stages[1]	0	INDX - Stage Index		3	INDX
STAGE	Stages[1]/INDX - Stage Index	0	Stage Index	100	0	
STAGE	Stages[1]/INDX - Stage Index	1	Flags	0000000000000000000000000000000000000000000000000000000000000000	0	
STAGE	Stages[1]/INDX - Stage Index	2	Unused	00	0	
STAGE	Stages[1]	1	Log Entries		1	
STAGE	Stages[1]/Log Entries	0	Log Entry		2	QSDT
STAGE	Stages[1]/Log Entries/Log Entry	0	QSDT - Stage Flags	0000000000000000000000000000000000000000000000000000000000000000	0	QSDT
STAGE	Stages[1]/Log Entries/Log Entry	1	NAM2 - Note	Message was heard, Timer is Set	0	NAM2
OBJECTIVE	Objectives[0]	0	QOBJ - Objective Index	10	0	QOBJ
OBJECTIVE	Objectives[0]	1	FNAM - Flags	0001	1	FNAM
OBJECTIVE	Objectives[0]/FNAM - Flags	0	Uses Timer	1	0	
OBJECTIVE	Objectives[0]	2	QOTM - Quest Objective Timer	E02A_Meat_BBQ_PrepTime [GLOB:00553E07]	0	QOTM
OBJECTIVE	Objectives[0]	3	SNAM - Stage to set	9990	0	SNAM
OBJECTIVE	Objectives[0]	4	NNAM - Display Text	Talk to Eddie Nelson	0	NNAM
OBJECTIVE	Objectives[0]	5	Targets		1	
OBJECTIVE	Objectives[0]/Targets	0	Target		1	QSTA
OBJECTIVE	Objectives[0]/Targets/Target	0	QSTA - Target		4	QSTA
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	0	Alias	010 NPC_Eddie	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	1	Target Flags	0000000000000000000000000000000000000000000000000000000000000000	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	2	Keyword	NULL - Null Reference [00000000]	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	3	Radius	0.000000	0	
ALIAS	Aliases[0]	0	ALLS - Location Alias ID	1	0	ALLS
ALIAS	Aliases[0]	1	ALID - Alias Name	Loc_DebugBarbaraF	0	ALID
ALIAS	Aliases[0]	2	FNAM - Flags		1	FNAM
ALIAS	Aliases[0]/FNAM - Flags	0	Flags	0000000000000000000000000000000000000000000000000000000000000000	0	
ALIAS	Aliases[0]	3	ALFL - Specific Location	DebugBarbaraFLocation "Debug BarbaraF Location" [LCTN:008952F9]	0	ALFL
ALIAS	Aliases[0]	4	ALED - Alias End		0	ALED
ALIAS	Aliases[1]	0	ALCS - Collection Alias ID	2	0	ALCS
ALIAS	Aliases[1]	1	ALMI - Max Initial Fill Count	0	0	ALMI
ALIAS	Aliases[2]	0	ALST - Reference Alias ID	2	0	ALST
ALIAS	Aliases[2]	1	ALID - Alias Name	players	0	ALID
ALIAS	Aliases[2]	2	Event Score Data		4	ESAV
ALIAS	Aliases[2]/Event Score Data	0	ESAV - Activate	0.000000	0	ESAV
ALIAS	Aliases[2]/Event Score Data	1	ESDA - Damage	0.000000	0	ESDA
ALIAS	Aliases[2]/Event Score Data	2	ESRV - Revive	0.000000	0	ESRV
ALIAS	Aliases[2]/Event Score Data	3	ESRP - Repair	0.000000	0	ESRP
ALIAS	Aliases[2]	3	FNAM - Flags		1	FNAM
ALIAS	Aliases[2]/FNAM - Flags	0	Flags	01001	2	
ALIAS	Aliases[2]/FNAM - Flags/Flags	0	Optional	1	0	
ALIAS	Aliases[2]/FNAM - Flags/Flags	1	Allow Dead	1	0	
ALIAS	Aliases[2]	4	ALFR - Forced Reference	NULL - Null Reference [00000000]	0	ALFR
ALIAS	Aliases[2]	5	Keywords		2	KSIZ
ALIAS	Aliases[2]/Keywords	0	KSIZ - Keyword Count	1	0	KSIZ
ALIAS	Aliases[2]/Keywords	1	KWDA - Keywords		1	KWDA
ALIAS	Aliases[2]/Keywords/KWDA - Keywords	0	Keyword	QDLBarbara_Lesson06_Keyword_QuestActive [KYWD:008A4765]	0	
ALIAS	Aliases[2]	6	ALDN - Display Name	NULL - Null Reference [00000000]	0	ALDN
ALIAS	Aliases[2]	7	VTCK - Voice Types	NULL - Null Reference [00000000]	0	VTCK
ALIAS	Aliases[2]	8	ALED - Alias End		0	ALED
ALIAS	Aliases[3]	0	ALST - Reference Alias ID	4	0	ALST
ALIAS	Aliases[3]	1	ALID - Alias Name	spawncenter_event	0	ALID
ALIAS	Aliases[3]	2	Event Score Data		4	ESAV
ALIAS	Aliases[3]/Event Score Data	0	ESAV - Activate	0.000000	0	ESAV
ALIAS	Aliases[3]/Event Score Data	1	ESDA - Damage	0.000000	0	ESDA
ALIAS	Aliases[3]/Event Score Data	2	ESRV - Revive	0.000000	0	ESRV
ALIAS	Aliases[3]/Event Score Data	3	ESRP - Repair	0.000000	0	ESRP
ALIAS	Aliases[3]	3	FNAM - Flags		1	FNAM
ALIAS	Aliases[3]/FNAM - Flags	0	Flags	0000000000000000000000000000000000000000000000000000000000000000	0	
ALIAS	Aliases[3]	4	Location Alias Reference		2	ALFA
ALIAS	Aliases[3]/Location Alias Reference	0	ALFA - Alias	001 Loc_DebugBarbaraF	0	ALFA
ALIAS	Aliases[3]/Location Alias Reference	1	ALRT - Ref Type	QDLBarbara_Lesson06_SpawnCenterLocRef [LCRT:008A477A]	0	ALRT
ALIAS	Aliases[3]	5	ALDN - Display Name	NULL - Null Reference [00000000]	0	ALDN
ALIAS	Aliases[3]	6	VTCK - Voice Types	NULL - Null Reference [00000000]	0	VTCK
ALIAS	Aliases[3]	7	ALED - Alias End		0	ALED
