FormID	EDID	FULL	RENT	SNAM	CNAM	DNAM
00464839	ATX_Emote_Holiday2018Confused	Snow Confused	ATX_ENTM_Emotes_Confused_Holiday2018	Holiday2018Confused	EmoteCategory_Confused "Confused" [ECAT:00002BCB]	Emote_Holiday_Maybe1Anim [IDLE:003ECDBA]
00464838	ATX_Emote_Holiday2018Angry	Festively Angry	ATX_ENTM_Emotes_Angry_Holiday2018	Holiday2018Angry	EmoteCategory_Angry "Angry" [ECAT:000040A9]	Emote_Holiday_Frown1Anim [IDLE:003ECDB9]
00464837	ATX_Emote_Holiday2018AggressivePVP	Snowball Fight!	ATX_ENTM_Emotes_Taunt_Holiday2018	Holiday2018AggressivePVP	EmoteCategory_Taunt "Taunt" [ECAT:00004154]	Emote_Holiday_MiddleFinger1Anim [IDLE:003ECDB8]
00464841	ATX_Emote_Holiday2018TeamUp	Wreck the Halls!	ATX_ENTM_Emotes_TeamUp_Holiday2018	Holiday2018TeamUp	EmoteCategory_TeamUp "Social" [ECAT:00005740]	Emote_Holiday_JoinMyParty1Anim [IDLE:003ECDBE]
0046483D	ATX_Emote_Holiday2018Interaction	Holiday Party!	ATX_ENTM_Emotes_Interactions_Holiday2018	Holiday2018Interactions	EmoteCategory_TeamUp "Social" [ECAT:00005740]	Emote_Holiday_JoinMyParty1Anim [IDLE:003ECDBE]
00464842	ATX_Emote_Holiday2018Yes	Nice List	ATX_ENTM_Emotes_Yes_Holiday2018	Holiday2018Yes	EmoteCategory_Yes "Yes" [ECAT:000040A8]	Emote_Holiday_ThumbsUp1Anim [IDLE:003ECDC0]
00464840	ATX_Emote_Holiday2018No	Ho Ho No	ATX_ENTM_Emotes_No_Holiday2018	Holiday2018No	EmoteCategory_No "No" [ECAT:00002BE6]	Emote_Holiday_ThumbsDown1Anim [IDLE:003ECDC1]
0046483F	ATX_Emote_Holiday2018Misc	Take a Break	ATX_ENTM_Emotes_Misc_Holiday2018	Holiday2018Misc	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_Holiday_ThumbsUp1Anim [IDLE:003ECDC0]
0046483E	ATX_Emote_Holiday2018Love	Share the Holidays	ATX_ENTM_Emotes_Love_Holiday2018	Holiday2018Love	EmoteCategory_Love "Love" [ECAT:000040AA]	Emote_Holiday_Heart1Anim [IDLE:003ECDBF]
0047194B	ATX_Emote_GoAwayBye1	Bye Now	ATX_ENTM_Emotes_Bye_GoAway	GoAwayBye1	EmoteCategory_Hello "Hello" [ECAT:00005741]	Emote_Wave1Anim [IDLE:003AC5F1]
0047194F	ATX_Emote_Repair1	Repairs	ATX_ENTM_Emotes_Help_Repair	Repair1	EmoteCategory_Help "Help" [ECAT:00006862]	Emote_Startled1Anim [IDLE:003AC5EE]
0047193F	ATX_Emote_Follow2	This Way!	ATX_ENTM_Emotes_Follow_Point	Follow2	EmoteCategory_Help "Help" [ECAT:00006862]	Emote_Follow1Anim [IDLE:003AF918]
0047194C	ATX_Emote_Hungry1	So Hungry	ATX_ENTM_Emotes_Help_Hungry	Hungry1	EmoteCategory_Help "Help" [ECAT:00006862]	Emote_Hungry1Anim [IDLE:004783B7]
0047193E	ATX_Emote_Confused1	Confusion	SCORE_S7_ENTM_Emotes_Confused_Scorched	Confused1	EmoteCategory_Confused "Confused" [ECAT:00002BCB]	Emote_maybe1Anim [IDLE:003AF8F2]
00471950	ATX_Emote_Sleep1	Need Sleep	ATX_ENTM_Emotes_Help_Sleep	Sleep1	EmoteCategory_Help "Help" [ECAT:00006862]	Emote_Startled1Anim [IDLE:003AC5EE]
0047194D	ATX_Emote_Hunting1	Let's Hunt!	ATX_ENTM_Emotes_TeamUp_Hunting	Hunting1	EmoteCategory_TeamUp "Social" [ECAT:00005740]	Emote_JoinMyParty1Anim [IDLE:003AF8F1]
00471946	ATX_Emote_Misc1	Come Get Me!	SCORE_S7_ENTM_Emotes_Taunt_Wanted	Misc1	EmoteCategory_Taunt "Taunt" [ECAT:00004154]	Emote_MiddleFinger1Anim_PA [IDLE:0050E4B1]
00471944	ATX_Emote_Love1	Love You	ATX_ENTM_Emotes_Love_Milkshake	Love1	EmoteCategory_Love "Love" [ECAT:000040AA]	Emote_Heart1Anim [IDLE:003AF8EF]
00471945	ATX_Emote_No1	No Way	ATX_ENTM_Emotes_No_UniversalNo	No1	EmoteCategory_No "No" [ECAT:00002BE6]	Emote_ThumbDown1Anim [IDLE:003AC5EF]
00471939	TEMPLATE_Emote_Emote	TEMPLATE EMOTE				
00471941	ATX_Emote_Hello1	Happy to See You!	ATX_ENTM_Emotes_Hello_Dogmeat	Hello1	EmoteCategory_Hello "Hello" [ECAT:00005741]	Emote_Wave1Anim [IDLE:003AC5F1]
0047194A	ATX_Emote_Cooking1	Let's Cook!	ATX_ENTM_Emotes_TeamUp_Cooking	Cooking1	EmoteCategory_TeamUp "Social" [ECAT:00005740]	Emote_Cooking1Anim [IDLE:00478F69]
0047193C	ATX_Emote_Angry1	Super Angry	ATX_ENTM_Emotes_Angry_Supermutant	Angry1	EmoteCategory_Angry "Angry" [ECAT:000040A9]	Emote_Frown1Anim [IDLE:003AF919]
00471943	ATX_Emote_Interaction1	Let's Party!	ATX_ENTM_Emotes_TeamUp_NYEParty	Interaction1	EmoteCategory_TeamUp "Social" [ECAT:00005740]	Emote_JoinMyParty1Anim [IDLE:003AF8F1]
00471940	ATX_Emote_Follow3	Lost?	ATX_ENTM_Emotes_Follow_Compass	Follow3	EmoteCategory_Help "Help" [ECAT:00006862]	Emote_Follow1Anim [IDLE:003AF918]
0047193A	ATX_Emote_AggressivePVP1	Player vs. Player	ATX_ENTM_Emotes_Taunt_PVP1	AggressivePVP1	EmoteCategory_Taunt "Taunt" [ECAT:00004154]	Emote_MiddleFinger1Anim [IDLE:003AF8F3]
00471947	ATX_Emote_TeamUp1	Let's Nuke!	ATX_ENTM_Emotes_TeamUp_Nuke	TeamUp1	EmoteCategory_Help "Help" [ECAT:00006862]	Emote_JoinMyParty1Anim [IDLE:003AF8F1]
00471948	ATX_Emote_Yes1	Absolutely!	SCORE_S9_ENTM_Emotes_Yes_CheckSign_Absolutely	Yes1	EmoteCategory_Yes "Yes" [ECAT:000040A8]	Emote_ThumbUp1Anim [IDLE:003AC5F0]
00471951	ATX_Emote_Thirsty1	Dying of Thirst!	ATX_ENTM_Emotes_Help_Thirsty	Thirsty1	EmoteCategory_Help "Help" [ECAT:00006862]	Emote_Thirsty1Anim [IDLE:00478F67]
00471949	ATX_Emote_CAMP1	C.A.M.P.	ATX_ENTM_Emotes_TeamUp_CAMP	CAMP1	EmoteCategory_TeamUp "Social" [ECAT:00005740]	Emote_CAMP1Anim [IDLE:00478E92]
00471942	ATX_Emote_Help1	Medic!	ATX_ENTM_Emotes_Help_Bandaged	Help1	EmoteCategory_Help "Help" [ECAT:00006862]	Emote_Startled1Anim [IDLE:003AC5EE]
0047193B	ATX_Emote_AggressivePVP2	Player vs. Players	ATX_ENTM_Emotes_Taunt_PVP2	AggressivePVP2	EmoteCategory_Taunt "Taunt" [ECAT:00004154]	Emote_MiddleFinger1Anim [IDLE:003AF8F3]
0047193D	ATX_Emote_Angry2	Fuming Mad	ATX_ENTM_Emotes_Angry_VaultBoy2	Angry2	EmoteCategory_Angry "Angry" [ECAT:000040A9]	Emote_Frown1Anim [IDLE:003AF919]
0047194E	ATX_Emote_MusicInstrument1	Let's Jam!	ATX_ENTM_Emotes_TeamUp_MusicInstrument	MusicInstrument1	EmoteCategory_TeamUp "Social" [ECAT:00005740]	Emote_JoinMyParty1Anim [IDLE:003AF8F1]
004918B3	ATX_Emote_Special_Strength	Strength	ATX_ENTM_Emotes_Misc_Special_Strength	SPECIAL_S1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_Strength1Anim [IDLE:00489ECA]
004918B7	ATX_Emote_Special_Intelligence	Intelligence	ATX_ENTM_Emotes_Misc_Special_Intelligence	SPECIAL_I1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_Intelligence1Anim [IDLE:0048F8F8]
004918B9	ATX_Emote_Special_Luck	Luck	ATX_ENTM_Emotes_Misc_Special_Luck	SPECIAL_L1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_Luck1Anim [IDLE:0049423B]
004918B6	ATX_Emote_Special_Charisma	Charisma	ATX_ENTM_Emotes_Misc_Special_Charisma	SPECIAL_C1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_Charisma1Anim [IDLE:0048DE8C]
004918B4	ATX_Emote_Special_Perception	Perception	ATX_ENTM_Emotes_Misc_Special_Perception	SPECIAL_P1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_Perception1Anim [IDLE:0048FB28]
004918B8	ATX_Emote_Special_Agility	Agility	ATX_ENTM_Emotes_Misc_Special_Agility	SPECIAL_A1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_Agility1Anim [IDLE:004925CA]
004918B5	ATX_Emote_Special_Endurance	Endurance	ATX_ENTM_Emotes_Misc_Special_Endurance	SPECIAL_E1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_Endurance1Anim [IDLE:004918A9]
00490A51	Emote_Gather_Photomode	Taking a Picture!		PhotoMode1	EmoteCategory_Follow "Performance" [ECAT:00002BE5]	Emote_Photomode1Anim [IDLE:00453068]
00490A52	Emote_Gather_Lunchbox	Opening a Lunchbox!	SCORE_ENTM_Emotes_Interactions_Lunchbox	LunchBox1	EmoteCategory_Interactions "Trade" [ECAT:0000682A]	Emote_LunchBox1Anim [IDLE:0048782B]
004FDEB1	Emote_Hello_Salute_Tricen	Patriotic Salute	ATX_Upgrade2018_Tricen_ENTM_Emotes_Hello_Salute_Tricen	CentennialSalute1	EmoteCategory_Hello "Hello" [ECAT:00005741]	Emote_Salute1Anim [IDLE:004786D8]
0050E3CD	Emote_ImSelling1	Selling		ImSelling1		
003E9E13	DEBUG_ATX_Emote_TestWave01	Test Waving	UTILITY_ENTM_ItemDisableEntitlement	Wave1		
0016EF5C	Emote_Heart1	Heart		Heart1	EmoteCategory_Love "Love" [ECAT:000040AA]	Emote_Heart1Anim [IDLE:003AF8EF]
00110C32	Emote_Frown1	Frown		Frown1	EmoteCategory_Angry "Angry" [ECAT:000040A9]	Emote_Frown1Anim [IDLE:003AF919]
00111D1E	Emote_Startled1	Startled		Startled1	EmoteCategory_Help "Help" [ECAT:00006862]	Emote_Startled1Anim [IDLE:003AC5EE]
00110129	Emote_ThumbsUp1	Thumbs Up		ThumbsUp1	EmoteCategory_Yes "Yes" [ECAT:000040A8]	Emote_ThumbUp1Anim [IDLE:003AC5F0]
0011016C	Emote_Wave1	Wave		Wave1	EmoteCategory_Hello "Hello" [ECAT:00005741]	Emote_Wave1Anim [IDLE:003AC5F1]
0011012A	Emote_ThumbsDown1	Thumbs Down		ThumbsDown1	EmoteCategory_No "No" [ECAT:00002BE6]	Emote_ThumbDown1Anim [IDLE:003AC5EF]
0010FF53	Emote_Maybe1	Confused		Maybe1	EmoteCategory_Confused "Confused" [ECAT:00002BCB]	Emote_maybe1Anim [IDLE:003AF8F2]
00125B42	Emote_Radiated1	Radiated		Radiated1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_Radiated1Anim [IDLE:003AF8F4]
00111C5B	Emote_MiddleFinger1	Finger Guns		MiddleFinger1	EmoteCategory_Taunt "Taunt" [ECAT:00004154]	Emote_MiddleFinger1Anim [IDLE:003AF8F3]
001106FF	Emote_Follow1	Follow!		Follow1	EmoteCategory_Help "Help" [ECAT:00006862]	Emote_Follow1Anim [IDLE:003AF918]
000090A9	Emote_JoinMyParty1	Join My Team!		JoinMyParty1	EmoteCategory_TeamUp "Social" [ECAT:00005740]	Emote_JoinMyParty1Anim [IDLE:003AF8F1]
00006882	Emote_ImBuying1	Looking to Buy		ImBuying1	EmoteCategory_Interactions "Trade" [ECAT:0000682A]	Emote_ImBuying1Anim [IDLE:003AF8F0]
005A4E34	ATX_Emote_GrognakYell1	Grognak Battlecry	ATX_ENTM_Emotes_BattleCry_Grognak	Grognak1	EmoteCategory_Taunt "Taunt" [ECAT:00004154]	Emote_Grognak1Anim [IDLE:005A4E35]
005C28AD	ATX_Emote_Salute_Flyboy	Flyboy Salute	ATX_ENTM_Emotes_Hello_Salute_FlyBoy	Cocky1	EmoteCategory_Hello "Hello" [ECAT:00005741]	Emote_Salute_Flyboy1Anim [IDLE:005C28AE]
005C7183	ATX_Emote_SoSorry1	So Sorry	ATX_ENTM_Emotes_Misc_SoSorry	Imsorry1	EmoteCategory_No "No" [ECAT:00002BE6]	Emote_SoSorry1Anim [IDLE:005C7184]
005C879E	ATX_Emote_GrelokYell1	GrelokYell1	ATX_ENTM_Emotes_Taunt_Grelok	Grelok1	EmoteCategory_Taunt "Taunt" [ECAT:00004154]	Emote_GrelokYell1Anim [IDLE:005C879F]
005CEF91	ATX_Emote_MindBlown1	Mind Blown	SCORE_S2_ENTM_Emotes_Misc_MindBlown	MindBlown1	EmoteCategory_Confused "Confused" [ECAT:00002BCB]	Emote_MindBlown1Anim [IDLE:005CEF92]
005CFC76	ATX_Emote_WatchingYou1	Watching You	SCORE_S2_ENTM_Emotes_Taunt_WatchingYou	ImWatchingYou1	EmoteCategory_Taunt "Taunt" [ECAT:00004154]	Emote_WatchingYou1Anim [IDLE:005CFC77]
005CA061	ATX_Emote_NoMic1	No Mic	ATX_ENTM_Emotes_TeamUp_NoMic	NoMic1	EmoteCategory_TeamUp "Social" [ECAT:00005740]	Emote_NoMic1Anim [IDLE:005CA062]
005CB05E	ATX_Emote_AngryFistShake	Angry Fist Shake	ATX_ENTM_Emotes_Angry_Fistshake	AngryFist1	EmoteCategory_Angry "Angry" [ECAT:000040A9]	Emote_AngryFistShake1Anim [IDLE:005CB05F]
005CB9EA	ATX_Emote_MothmanWorship1	Worship	ATX_ENTM_Emotes_Misc_MothmanWorship	Mothman1	EmoteCategory_Follow "Performance" [ECAT:00002BE5]	Emote_MothmanWorship1Anim [IDLE:005CB9EC]
005D06D1	Emote_JoinMyPublicTeam1	Join My Public Team!	ATX_ENTM_Emotes_TeamUp_JoinMyPublicTeam	JoinMyPublicTeam1	EmoteCategory_TeamUp "Social" [ECAT:00005740]	Emote_JoinMyParty1Anim [IDLE:003AF8F1]
005E4224	ATX_Emote_NoThankYou1	No Thank You	ATX_ENTM_Emotes_No_NoThankYou	NoThankYou1	EmoteCategory_No "No" [ECAT:00002BE6]	Emote_NoThankYou1Anim [IDLE:005DD3D2]
005E48F3	ATX_Emote_Salute_BoS	Brotherhood Salute	ATX_Upgrade2020_BoS_ENTM_Emotes_BoSSalute	BoSSalute1	EmoteCategory_Hello "Hello" [ECAT:00005741]	Emote_Salute_BoS1Anim [IDLE:005E48F4]
005F0AC2	zzz_ATX_Emote_RifleDrillPA	RifleDrillPA	UTILITY_ENTM_ItemDisableEntitlement	RifleDrillPA1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_RifleDrill1Anim_PA [IDLE:005F0AC3]
005F0AC1	ATX_Emote_RifleDrill	Rifle Drill	ATX_ENTM_Emotes_Misc_RifleDrill	RifleDrill1	EmoteCategory_Follow "Performance" [ECAT:00002BE5]	Emote_RifleDrill1Anim [IDLE:005F0AC4]
005F3877	ATX_Emote_Laughing1	Laughing	ATX_ENTM_Emotes_Interactions_Laughing	Laughing1	EmoteCategory_Taunt "Taunt" [ECAT:00004154]	Emote_Laughing1Anim [IDLE:005F3878]
005FE4D4	ATX_Emote_NiceCamp	Nice Camp	ATX_ENTM_Emotes_Nice_Camp	NiceCamp1	EmoteCategory_Love "Love" [ECAT:000040AA]	Emote_NiceCamp1Anim [IDLE:005FE4D5]
00606044	ATX_Emote_RomanCandle1	RomanCandleCelebration	UTILITY_ENTM_ItemDisableEntitlement	RomanCandle1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_RomanCandle1Anim [IDLE:00606045]
0060EEBA	SCORE_S5_AlistairTriumphant1	Triumphant Alistair	SCORE_S5_ENTM_Emotes_Yes_Triumphant	Alistair1	EmoteCategory_Yes "Yes" [ECAT:000040A8]	Emote_AlistairTriumphant1Anim [IDLE:0060EEBB]
00633206	ATX_Emote_Hold	Hold!	ATX_ENTM_Emotes_Hold	MilitaryHalt1	EmoteCategory_Help "Help" [ECAT:00006862]	Emote_MilitaryHalt1Anim [IDLE:0062F4A9]
006394A1	ATX_Emote_AlienFlag	Alien Flag	ATX_ENTM_Emotes_AlienFlag	AlienFlag1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_AlienFlag1Anim [IDLE:00635858]
0066833B	ATX_Emote_TestYourMetal	Test Your Metal	ATX_ENTM_Emotes_TestYourMetal	TestYourMetal1	EmoteCategory_Angry "Angry" [ECAT:000040A9]	Emote_Rage [IDLE:0065FB2A]
00678D17	Emote_HillsAreAlive	The Hills Are Alive	SCORE_S11_ENTM_Emotes_HillsAreAlive	HillsAreAlive1	EmoteCategory_Follow "Performance" [ECAT:00002BE5]	Emote_HillsAreAliveAnim [IDLE:00678D12]
0067811E	ATX_Emote_WolfHowl	Wolf Howl	ATX_ENTM_Emotes_WolfHowl	WolfHowl1	EmoteCategory_Follow "Performance" [ECAT:00002BE5]	Emote_WolfHowl1Anim [IDLE:0067797E]
0067ADC9	ATX_Emote_CoinFlip	Coin Flip	ATX_Anniversary_ENTM_Emotes_CoinFlip	CoinFlip1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_CoinFlip25th1Anim [IDLE:0066CD0C]
006A044D	Emote_OnceAgain	One More Time	SCORE_S12_ENTM_Emotes_OnceAgain	OnceAgain1	EmoteCategory_Yes "Yes" [ECAT:000040A8]	Emote_OnceAgain1Anim [IDLE:00691A5B]
006ADF1D	ATX_Emote_IntotheShadows1	Into the Shadows	ATX_ENTM_Emotes_IntotheShadows	IntoTheShadows1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_IntotheShadowsEnter1Anim [IDLE:006A57CE]
006B461B	ATX_Emote_PopcornEating	Popcorn	SCORE_S13_ENTM_Emotes_EatingPopcorn	PopcornEating1	EmoteCategory_Taunt "Taunt" [ECAT:00004154]	Emote_PopcornEating1Anim [IDLE:006B3A58]
006B5539	ATX_Emote_WaitForMe	Wait For Me	SCORE_S13_ENTM_Emotes_WaitForMe	WaitForMe1	EmoteCategory_Help "Help" [ECAT:00006862]	Emote_WaitForMe1Anim [IDLE:006AA68C]
00747A05	SCORE_S16_Emote_GoodLuck	Good Luck	SCORE_S16_ENTM_Emotes_GoodLuck	GoodLuck1	EmoteCategory_Love "Love" [ECAT:000040AA]	Emote_Luck1Anim [IDLE:0049423B]
0076B50F	ATX_Emote_Juggling	Juggling	ATX_ENTM_Emotes_Juggling	Juggling	EmoteCategory_Follow "Performance" [ECAT:00002BE5]	Emote_Juggling1Anim [IDLE:00745B0D]
0076C388	ATX_Emote_ReveilleWakeUp	Reveille Wake Up	ATX_ENTM_Emotes_ReveilleWakeUp	ReveilleWakeUp1	EmoteCategory_Follow "Performance" [ECAT:00002BE5]	Emote_ReveilleWakeUp1Anim [IDLE:0076C389]
007990C5	ATX_Emote_Salute_TheVengefulMothman	The Vengeful Mothman	ATX_ENTM_Emotes_TheVengefulMothman	VengefulMothman	EmoteCategory_Follow "Performance" [ECAT:00002BE5]	Emote_VengefulMothman1Anim_Copy01 [IDLE:007999FF]
0078B509	ATX_Emote_CAMPPets_Cat_Speak	Speak		SpeakShared1		CatPet_Emote_Speak [IDLE:00786C5A]
0078B506	ATX_Emote_CAMPPets_Dog_Sit	Sit		SitShared1		DogPet_Emote_Sit [IDLE:007A8338]
0078B507	ATX_Emote_CAMPPets_Dog_Speak	Speak		SpeakShared1		DogPet_Emote_Speak [IDLE:007A8339]
0078B508	ATX_Emote_CAMPPets_Cat_Sit	Sit		SitShared1		CatPet_Emote_Sit [IDLE:00786C5B]
007AA2A5	ATX_Emote_CAMPPets_Cat_Pet	Pet		PetShared1		CatPet_Emote_Pet [IDLE:00786D51]
007AA2A4	ATX_Emote_CAMPPets_Dog_Pet	Pet		PetShared1		DogPet_Emote_Pet [IDLE:007A833A]
007AAD2D	ATX_Emote_CAMPPets_Pet_Payer_Pair_FirstPerson	Pet		GoAwayBye1		PettingAPet [IDLE:007A8365]
007B74F0	ATX_Emote_CAMPPets_Pet_Payer_Pair_ThirdPerson	Pet		GoAwayBye1		PettingAPet_3rdPerson [IDLE:00786D52]
007B773C	ATX_Emote_CAMPPets_Dog_Howl	Howl	ATX_ENTM_CAMP_CAMPPets_Emote_Dog_Howl	SpeakDog1		DogPet_Emote_Speak [IDLE:007A8339]
007CF22F	ATX_Emote_BatonTwirl	Baton Twirl	ATX_ENTM_Emotes_BatonTwirl	BatonTwirl1	EmoteCategory_Follow "Performance" [ECAT:00002BE5]	Emote_Misc_BatonTwirl1Anim [IDLE:007CF233]
007CF22E	ATX_Emote_MarchingBand	Marching Band	ATX_ENTM_Emotes_MarchingBand	ParadeMarch1	EmoteCategory_Follow "Performance" [ECAT:00002BE5]	Emote_Misc_MarchingBand1Anim [IDLE:007CF232]
007DC47A	ATX_Emote_CAMPPets_Cat_HighFive	Wave	ATX_ENTM_CAMP_CAMPPets_Emote_Cat_HighFive	CatHighFive1		CatPet_Emote_HighFive [IDLE:007FBA8C]
007F5583	ATX_Emote_DigIt	Dig It!	ATX_ENTM_Emotes_DigIt	DigIt1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_DigIt1Anim [IDLE:007F5CC3]
007F5582	ATX_Emote_GhoulDance	Ghoul Dance	ATX_ENTM_Emotes_GhoulDance	GhoulDance1	EmoteCategory_Follow "Performance" [ECAT:00002BE5]	Emote_GhoulDance1Anim [IDLE:007D0F12]
007F5584	ATX_Emote_FanTheHammer	Fan The Hammer	ATX_ENTM_Emotes_FanTheHammer	FanTheHammer1	EmoteCategory_Taunt "Taunt" [ECAT:00004154]	Emote_FanTheHammer1Anim [IDLE:007F2E9D]
0080056E	ATX_Emote_AShowOfForce	A Show Of Force	ATX_ENTM_Emotes_AShowOfForce	ShowOfForce1	EmoteCategory_Taunt "Taunt" [ECAT:00004154]	Emote_ShowOfForce1Anim [IDLE:007FBA8A]
0080056F	ATX_Emote_SpaceWalk	Space Walk	ATX_ENTM_Emotes_SpaceWalk	SpaceWalk1	EmoteCategory_Follow "Performance" [ECAT:00002BE5]	Emote_SpaceWalk1Anim [IDLE:007FF7EC]
0080F859	ATX_Emote_GoneFishing	Gone Fishing	ATX_ENTM_Emotes_GoneFishing	GoneFishing1	EmoteCategory_TeamUp "Social" [ECAT:00005740]	Emote_GoneFishing1Anim [IDLE:00806251]
00838A91	ATX_Emote_Shaken	Shaken	ATX_ENTM_Emotes_Shaken	Shaken1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_Shaken1Anim [IDLE:00836CA1]
0084DB5A	ATX_Emote_theMadison	The Madison	ATX_ENTM_Emotes_theMadison	TheMadison1	EmoteCategory_Follow "Performance" [ECAT:00002BE5]	Emote_TheMadisonDance1Anim [IDLE:00856859]
0085030D	ATX_Emote_LuckyDice	Lucky Dice	ATX_ENTM_Emotes_Misc_LuckyDice	LuckyDice1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_LuckyDice1Anim [IDLE:0085D831]
00851B76	ATX_Emote_CAMPPets_RadHogCP_Speak	Speak		RadHogSpeak1		RadHog_Pet_Emote_Speak [IDLE:00852E6C]
00851B74	ATX_Emote_CAMPPets_RadHogCP_Pet	Pet		RadHogPet1		RadHog_Pet_Emote_Petting [IDLE:00852E6A]
00851B75	ATX_Emote_CAMPPets_RadHogCP_Sit	Sit		RadHogSit1		RadHog_Pet_Emote_Sit [IDLE:00852E6B]
0086A890	ATX_Emote_WhataDrag	What a Drag	ATX_ENTM_Emotes_WhataDrag	WhatADrag1	EmoteCategory_Misc "Misc" [ECAT:00006860]	Emote_WhatADrag1Anim [IDLE:0085D82F]
0085721E	ATX_Emote_CupidsArrow	Cupid's Arrow	ATX_ENTM_Emotes_CupidsArrow	CupidsArrow1	EmoteCategory_Love "Love" [ECAT:000040AA]	Emote_CupidsArrow1Anim [IDLE:008A29DA]
008AA0F7	ATX_Emote_BigBow	Big Bow!	ATX_ENTM_Emotes_BigBow	BigBow1	EmoteCategory_Follow "Performance" [ECAT:00002BE5]	Emote_BigBow1Anim [IDLE:008AA958]
