FormID	EDID	FULL	SNAM	TNAM	CNAM	ENAM	CondCount	Cond1	Cond2	Cond3	Cond4	Cond5	Cond6	Cond7	Cond8	Cond9	Cond10	Cond11	Cond12	Cond13	Cond14	Cond15	Cond16	Cond17	Cond18	Cond19	Cond20	Cond21	Cond22	Cond23	Cond24	Cond25	Cond26	Cond27	Cond28	Cond29	Cond30	Cond31	Cond32	Cond33	Cond34	Cond35	Cond36	Cond37	Cond38	Cond39	Cond40	Cond41	Cond42	Cond43	Cond44	Cond45	Cond46	Cond47	Cond48	Cond49	Cond50	Cond51	Cond52	DNAM	JASF
004E1F39	POST_Challenge_Weekly_Kill_Enemies_while_wielding_BoxingGlovesGauntlets	Kill Enemies while using Boxing Gloves or Gauntlets	 NONE	0	Weekly	Sub Challenge (Unsorted)	1	Top:Subject.WornHasKeyword(WeaponTypeGloves [KYWD:0033AB1B]) = 1.000000																																																					Challenge_Weekly_Kill_Enemies_while_wielding_BoxingGlovesGauntlets.json
004E1F2D	Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Intro	Fully Rank Up an Intelligence Perk Card	Perks Max Ranked	0	Lifetime	Sub Challenge (Unsorted)	1	Top:Target.IsInList(Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist "All Intelligence Perk Cards" [FLST:004713BA]) = 1.000000																																																					Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Intro.json
003B8003	Challenge_Lifetime_Kill_Bosses_SUB_MegaSloth	Kill a Megasloth	Total Enemies Killed	1	Lifetime	Sub Challenge (Unsorted)	2	Top:Target.HasKeyword(ActorTypeBossType [KYWD:005F1196]) = 1.000000	Top:Target.GetIsRace(MegaSlothRace "Megasloth" [RACE:0013BA06]) = 1.000000																																																				Challenge_Lifetime_Kill_Bosses_SUB_MegaSloth.json
003B8013	CUT_Challenge_Daily_Kill_Molerats_Low	Kill Mole Rats	 NONE	0	Daily	Sub Challenge (Unsorted)	0																																																						Challenge_Daily_Kill_Molerats_Low.json
003B802C	Challenge_Lifetime_Kill_Robots_Tiers_Energy	Destroy Robots with an Energy Gun	Total Robots Killed	0	Lifetime	Combat	1	Top:Subject.WornHasKeyword(WeaponTypeEnergy "Energy" [KYWD:0033A7C9]) = 1.000000																																																					Challenge_Lifetime_Kill_Robots_Tiers_Energy.json
003B7FF3	CUT_Challenge_Daily_QuestsComplete_Quest_while_Diseased_Lowest	Complete a Quest while Diseased	 NONE	0	Daily	Sub Challenge (Unsorted)	23	Top:Subject.GetDisease() = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_Blight "SURV_Disease_Effect_Blight" [MGEF:004C6B3A]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_BloodWorms "SURV_DiseaseEffect_BloodWorms" [MGEF:003DF049]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_BoneWorms "SURV_DiseaseEffect_BoneWorms" [MGEF:00008811]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_BuzzBrain "SURV_Disease_Effect_MosquitoSkull" [MGEF:004C6B30]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_Dysentery "SURV_Disease_Dysentery_Effect" [MGEF:00284957]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_FeverClaw "SURV_Disease_Effect_FeverClaw" [MGEF:004C6B4A]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_FlapLimb "SURV_Disease_Effect_FlapLimb" [MGEF:004C6B1B]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_GlowingPustules "SURV_Disease_WeepingSores_Effect" [MGEF:004B0091]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_HeatFlashes "SURV_Disease_Effect_HeatFlashes" [MGEF:004C6B26]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_JellyFingers "SURV_Disease_Effect_JellyFingers" [MGEF:003C75C3]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_LockJoint "SURV_Disease_Effect_LockJoint" [MGEF:003C75BD]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_NeedleSpine "SURV_Disease_Effect_NeedleSpine" [MGEF:003C75B9]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_Parasites "SURV_Disease_Parasites_Effect" [MGEF:0028495E]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_RadWorms "SURV_DiseaseEffect_RadWorms" [MGEF:003DF047]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_RattleHands "SURV_Disease_Effect_RattleHands" [MGEF:004C6B4E]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_ShellShock "SURV_Disease_Effect_ShellShock" [MGEF:004B0098]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_SludgeLung "SURV_Disease_SludgeLung_Effect" [MGEF:0018EF88]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_SnotEar "SURV_Disease_Effect_SnotEar" [MGEF:004C6B21]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_SwampGas "SURV_Disease_Effect_SwampGas" [MGEF:004C6B2B]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_SwampItch "SURV_Disease_Effect_SwampItch" [MGEF:003CD03C]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_WeepingSores "SURV_Disease_WeepingSores_Effect" [MGEF:003DF04A]) = 1.000000	Top:Subject.HasActiveMagicEffect(SURV_Disease_Effect_Woopsies "SURV_Disease_Effect_Woopsies" [MGEF:004C6B35]) = 1.000000																															Challenge_Daily_QuestsComplete_Quest_while_Diseased_Lowest.json
003B7FAD	Challenge_Lifetime_Discover_ToxicValleyRegion_SUB_WavyWillards	Discover Wavy Willard's Waterpark	Locations Discovered	0	Lifetime	Sub Challenge (Unsorted)	1	Top:Target.GetInCurrentLocation(LocToxicWavyWillardsWaterparkLocation "Wavy Willard's Water Park" [LCTN:000B23D7]) = 1.000000																																																					Challenge_Lifetime_Discover_ToxicValleyRegion_SUB_WavyWillards.json
003B8006	Challenge_Lifetime_Kill_Bosses_SUB_Broodmother	Kill a Mole Rat Broodmother	Total Enemies Killed	1	Lifetime	Sub Challenge (Unsorted)	2	Top:Target.HasKeyword(ActorTypeBossType [KYWD:005F1196]) = 1.000000	Top:Target.HasKeyword(ActorTypeMoleratBroodMother [KYWD:003D6B8D]) = 1.000000																																																				Challenge_Lifetime_Kill_Bosses_SUB_Broodmother.json
003B800F	CUT_Challenge_Daily_Kill_Liberators_Low	Destroy Liberators	 NONE	0	Daily	Sub Challenge (Unsorted)	0																																																						Challenge_Daily_Kill_Liberators_Low.json
003B8002	Challenge_Lifetime_Kill_Bosses_SUB_ScorchbeastQueen	Kill the Scorchbeast Queen	Total Enemies Killed	1	Lifetime	Sub Challenge (Unsorted)	2	Top:Target.HasKeyword(ActorTypeBossType [KYWD:005F1196]) = 1.000000	Top:Target.HasKeyword(ActorTypeScorchbeastQueen [KYWD:00206A66]) = 1.000000																																																				Challenge_Lifetime_Kill_Bosses_SUB_ScorchbeastQueen.json
003B7FAC	CUT_Challenge_Daily_Craft_Weapons_Molotovs_Lowest	Craft a Molotov Cocktail	 NONE	0	Daily	Sub Challenge (Unsorted)	1	Top:Target.HasKeyword(WeaponTypeMolotov [KYWD:0021A29F]) = 1.000000																																																					Challenge_Daily_Craft_Weapons_Molotovs_Lowest.json
003B7FE6	CUT_Challenge_Daily_ScrapOrCraft_Armor_Lowest	Craft or Scrap a piece of Armor	 NONE	0	Daily	Sub Challenge (Unsorted)	2	Top:Target.HasKeyword(ObjectTypeArmor [KYWD:000F4AE9]) = 1.000000	Top:Target.HasKeyword(ArmorTypeHelmet "Helmet" [KYWD:0012EEE9]) = 1.000000																																																				Challenge_Daily_ScrapOrCraft_Armor_Lowest.json
003B7FA0	CUT_Challenge_Weekly_Mothman_META	Hunt the Mothman!		0	Weekly	Sub Challenge (Unsorted)	0																																																						Challenge_Weekly_Mothman_META.json
003B804A	CUT_Challenge_Lifetime_Kill_Creatures_Low	Kill Creatures	 NONE	0	Lifetime	Sub Challenge (Unsorted)	0																																																						CUT_Challenge_Lifetime_Kill_Creatures_Low.json
003B7FFC	CUT_Challenge_Daily_Kill_Robots_Lowest	Destroy a Robot	 NONE	0	Daily	Sub Challenge (Unsorted)	0																																																						Challenge_Daily_Kill_Robots_Lowest.json
003B804D	CUT_Challenge_Daily_GainScrap_Ceramic_High	Scrap junk to produce Ceramic	 NONE	0	Daily	Sub Challenge (Unsorted)	2	Top:Target.GetIsID(c_Ceramic "Ceramic" [CMPO:0001FA9A]) = 1.000000	Top:Target.GetIsID(c_Ceramic_scrap "Ceramic Scrap" [MISC:000AEC5E]) = 1.000000																																																				Challenge_Daily_GainScrap_Ceramic_High.json
003B7FB5	CUT_Challenge_Daily_Craft_Ammo_Energy_Lowest	Craft Energy Ammo	 NONE	0	Daily	Sub Challenge (Unsorted)	1	Top:Target.HasKeyword(AmmoTypeEnergy [KYWD:003896DD]) = 1.000000																																																					Challenge_Daily_Craft_Ammo_Energy_Lowest.json
003B8049	Challenge_Lifetime_Kill_Aquatic_Low	Kill Aquatic or Semi-Aquatic Creatures	Total Creatures Killed	0	Lifetime	Combat	1	Top:Target.HasKeyword(ActorTypeAquatic [KYWD:00331AB7]) = 1.000000																																																					Challenge_Lifetime_Kill_Aquatic_Low.json
003B7FDE	Challenge_Lifetime_Kill_Creatures_SUB_Critter	Kill a Critter	Total Enemies Killed	1	Lifetime	Sub Challenge (Unsorted)	2	Top:Target.HasKeyword(ActorTypeCreature [KYWD:00013795]) = 1.000000	Top:Target.HasKeyword(ActorTypeCritter [KYWD:005F1197]) = 1.000000																																																				Challenge_Lifetime_Kill_Creatures_SUB_Critter.json
003B7FB7	CUT_Challenge_Daily_Craft_Ammo_Low	Craft Ammo	 NONE	0	Daily	Sub Challenge (Unsorted)	4	Top:Target.HasKeyword(ObjectTypeAmmo [KYWD:000F4AE8]) = 1.000000	Top:Target.HasKeyword(AmmoTypeExplosive [KYWD:003896DF]) = 1.000000	Top:Target.HasKeyword(AmmoTypeBallistic [KYWD:003896DE]) = 1.000000	Top:Target.HasKeyword(AmmoTypeEnergy [KYWD:003896DD]) = 1.000000																																																		Challenge_Daily_Craft_Ammo_Low.json
003B8045	CUT_Challenge_Daily_GainScrap_Acid_Low	Scrap junk to produce Acid	 NONE	0	Daily	Sub Challenge (Unsorted)	2	Top:Target.GetIsID(c_Acid "Acid" [CMPO:0001FA8C]) = 1.000000	Top:Target.GetIsID(c_Acid_scrap "Waste Acid" [MISC:001BF72D]) = 1.000000																																																				Challenge_Daily_GainScrap_Acid_Low.json
003B7FDC	CUT_Challenge_Daily_CapsCollected_High	Collect Caps	 NONE	0	Daily	Sub Challenge (Unsorted)	0																																																						Challenge_Daily_CapsCollected_High.json
003B8041	CUT_Challenge_Daily_Photomode_at_Night	Use Photomode at Night	 NONE	0	Daily	Sub Challenge (Unsorted)	1	Top:Target.IsTimeSpanAnyNight() = 1.000000																																																					Challenge_Daily_Photomode_at_Night.json
003B7FDA	SCORE_Challenge_Daily_Collect_Caps	Collect Caps	Total Caps Collected	100	Daily	Sub Challenge (Unsorted)	0																																																					Reward0:00668A71:ChallengeReward_SCORE_Challenge_Daily_Collect:GMRW	SCORE_Challenge_Daily_Collect_Caps.json
003B803D	Challenge_Lifetime_Collect_PlantsFungi_Different_Vegetables_SUB_Siltbean	Harvest a Siltbean	Plants Harvested	0	Lifetime	Sub Challenge (Unsorted)	1	Top:Target.HasKeyword(PlantTypeSiltbean [KYWD:00494A21]) = 1.000000																																																					Challenge_Lifetime_Collect_PlantsFungi_Different_Vegetables_SUB_Siltbean.json
003B7FD8	CUT_Challenge_Daily_CapsCollected_while_wearing_a_Hat	Collect Caps while wearing a Hat	 NONE	0	Daily	Sub Challenge (Unsorted)	1	Top:Subject.WornHasKeyword(ClothingTypeHat "Hat" [KYWD:0012EEE8]) = 1.000000																																																					Challenge_Daily_CapsCollected_while_wearing_a_Hat.json
003B8001	Challenge_Lifetime_Kill_Scorched_Tiers_Basic_Melee	Kill Scorched with a Melee Weapon	Scorched Killed	76	Lifetime	Combat	2	Top:Subject.WornHasKeyword(WeaponTypeMeleeGeneral [KYWD:0033AB12]) = 1.000000	Top:Subject.WornHasKeyword(WeaponTypeUnarmed "Fist" [KYWD:0005240E]) = 1.000000																																																				Challenge_Lifetime_Kill_Scorched_Tiers_Basic_Melee.json
003B8010	CUT_Challenge_Daily_Kill_Mirelurks_Low	Kill Mirelurks	 NONE	0	Daily	Sub Challenge (Unsorted)	0																																																						Challenge_Daily_Kill_Mirelurks_Low.json
003B802B	Challenge_Lifetime_Mod_Weapon_Tiers_Ranged_Shotguns	Mod Shotguns	Items Modded	0	Lifetime	Combat	1	Top:Target.HasKeyword(WeaponTypeShotgun "Shotgun" [KYWD:00226454]) = 1.000000																																																					Challenge_Lifetime_Mod_Weapon_Tiers_Ranged_Shotguns.json
003B7FB3	Challenge_Lifetime_Discover_MireRegion_SUB_Berkeley	Discover Berkeley	Locations Discovered	0	Lifetime	Sub Challenge (Unsorted)	1	Top:Target.GetInCurrentLocation(LocSwampBerkeleySpringsLocation "Berkeley Springs" [LCTN:0000414B]) = 1.000000																																																					Challenge_Lifetime_Discover_MireRegion_SUB_Berkeley.json
003B8039	CUT_Challenge_Weekly_Kill_Scorched_at_MorgantownAirport	Kill Scorched at the Morgantown Airport	 NONE	0	Weekly	Sub Challenge (Unsorted)	1	Top:Subject.GetInCurrentLocation(LocForestMorgantownAirportLocation "Morgantown Airport" [LCTN:001157B8]) = 1.000000																																																					Challenge_Weekly_Kill_Scorched_at_MorgantownAirport.json
003B7FD6	Challenge_Lifetime_Collect_PurifiedWater_Med	Collect Purified Water	Items Acquired	0	Lifetime	Survival	1	Top:Target.GetIsID(WaterPurified "Purified Water" [ALCH:000366C0]) = 1.000000																																																					Challenge_Lifetime_Collect_PurifiedWater_Med.json
003B7FDF	CUT_Challenge_Daily_ScrapOrCraft_Helmet_Lowest	Craft or Scrap a Helmet	 NONE	0	Daily	Sub Challenge (Unsorted)	1	Top:Target.HasKeyword(ArmorBodyPartHead [KYWD:0010C418]) = 1.000000																																																					Challenge_Daily_ScrapOrCraft_Helmet_Lowest.json
003B8035	Challenge_Lifetime_Photomode_Forest_SUB_MorgantownAirport	Use Photomode at Morgantown Airport	Photos Taken	0	Lifetime	Sub Challenge (Unsorted)	1	Top:Subject.GetInCurrentLocation(LocForestMorgantownAirportLocation "Morgantown Airport" [LCTN:001157B8]) = 1.000000																																																					Challenge_Lifetime_Photomode_Forest_SUB_MorgantownAirport.json
003B7FD4	POST_Challenge_Weekly_Kill_Enemies_while_wielding_SwordsBlackPowderGuns	Kill Enemies with a Sword or Black Powder Weapon	 NONE	0	Weekly	Sub Challenge (Unsorted)	2	Top:Subject.WornHasKeyword(WeaponTypeBlackPowder [KYWD:0034EBD2]) = 1.000000	Top:Subject.WornHasKeyword(WeaponTypeSword [KYWD:0033AB17]) = 1.000000																																																				Challenge_Weekly_Kill_Enemies_while_wielding_SwordsBlackPowderGuns.json
003B7FE7	CUT_Challenge_Daily_ScrapOrCraft_Clothing_Lowest	Craft or Scrap a piece of Clothing	 NONE	0	Daily	Sub Challenge (Unsorted)	1	Top:Target.HasKeyword(ObjectTypeClothing [KYWD:0033C76A]) = 1.000000																																																					Challenge_Daily_ScrapOrCraft_Clothing_Lowest.json
003B802A	Challenge_Lifetime_Mod_Weapon_Tiers_Ranged_Rifles	Mod Rifles	Items Modded	0	Lifetime	Combat	1	Top:Target.HasKeyword(WeaponTypeRifle "Rifle" [KYWD:0004A0A1]) = 1.000000																																																					Challenge_Lifetime_Mod_Weapon_Tiers_Ranged_Rifles.json
003B8031	Challenge_Lifetime_Discover_SavageDivideRegion_SUB_UncannyCaverns	Discover Uncanny Caverns	Locations Discovered	1	Lifetime	Sub Challenge (Unsorted)	2	Top:Target.GetInCurrentLocation(LocMountainsUncannyCavernsLocation "Uncanny Caverns" [LCTN:005F112C]) = 1.000000	Top:Target.GetInCurrentLocation(LocMountainsUncannyCavernsInteriorLocation "Uncanny Caverns" [LCTN:00090579]) = 1.000000																																																				Challenge_Lifetime_Discover_SavageDivideRegion_SUB_UncannyCaverns.json
003B8028	Challenge_Lifetime_Mod_Weapon_Tiers_Ranged_Pistols	Mod Pistols	Items Modded	0	Lifetime	Combat	1	Top:Target.HasKeyword(WeaponTypePistol "Pistol" [KYWD:0004A0A0]) = 1.000000																																																					Challenge_Lifetime_Mod_Weapon_Tiers_Ranged_Pistols.json
003B7FA8	Challenge_Lifetime_QuestComplete_Forest	Complete Quests and Events in the Forest	Quests Completed	0	Lifetime	World	1	Top:Subject.GetInCurrentLocation(RegionForestFloodlandsLocation "The Forest" [LCTN:00095004]) = 1.000000																																																					Challenge_Lifetime_QuestComplete_Forest.json
003B8026	Challenge_Lifetime_Mod_Weapon_Tiers_Melee_2H_Blunt	Mod Blunt Melee Weapons	Items Modded	0	Lifetime	Combat	1	Top:Target.HasKeyword(WeaponTypeBlunt "Blunt" [KYWD:0033AB24]) = 1.000000																																																					Challenge_Lifetime_Mod_Weapon_Tiers_Melee_2H_Blunt.json
003B802D	CUT_Challenge_Daily_Photomode_near_Lighthouse	Use Photomode near the Landview Lighthouse	 NONE	0	Daily	Sub Challenge (Unsorted)	1	Top:Subject.GetInCurrentLocation(LocForestLandviewLighthouseLocation "Landview Lighthouse" [LCTN:0009A099]) = 1.000000																																																					Challenge_Daily_Photomode_near_Lighthouse.json
003B7FBF	CUT_Challenge_Daily_Craft_DrinksJuice_Low	Craft Juice Drinks	 NONE	0	Daily	Sub Challenge (Unsorted)	1	Top:Target.HasKeyword(DrinkTypeJuice [KYWD:0029452F]) = 1.000000																																																					Challenge_Daily_Craft_DrinksJuice_Low.json
003B8022	Challenge_Lifetime_Kill_Scorched_Tiers_Ranged_Pistols_BlackPowder	Kill Scorched with a Black Powder Weapon	Scorched Killed	0	Lifetime	Combat	1	Top:Subject.WornHasKeyword(WeaponTypeBlackPowder [KYWD:0034EBD2]) = 1.000000																																																					Challenge_Lifetime_Kill_Scorched_Tiers_Ranged_Pistols_BlackPowder.json
003B8029	Challenge_Lifetime_Kill_Robots_Tiers_Improvised	Destroy Robots with an Improvised Weapon	Total Robots Killed	0	Lifetime	Combat	2	Top:Subject.WornHasKeyword(WeaponTypeImprovised "Improvised" [KYWD:0033AB25]) = 1.000000	Top:Subject.WornHasKeyword(WeaponTypeWeird [KYWD:0033AB1A]) = 1.000000																																																				Challenge_Lifetime_Kill_Robots_Tiers_Improvised.json
003B8020	Challenge_Lifetime_Kill_Insects_Low	Kill Insects and Bugs	Total Insects Killed	0	Lifetime	Combat	0																																																						Challenge_Lifetime_Kill_Insects_Low.json
003B7FD7	CUT_Challenge_Daily_CapsCollected_while_Intoxicated_Medium	Collect Caps while Intoxicated	 NONE	0	Daily	Sub Challenge (Unsorted)	2	Top:Subject.HasMagicEffectKeyword(AlcoholEffect [KYWD:0005240A]) = 1.000000	Top:Subject.IsOnChems() = 1.000000																																																				Challenge_Daily_CapsCollected_while_Intoxicated_Medium.json
003B801E	CUT_Challenge_Daily_Kill_SuperMutants_Lowest	Kill a Super Mutant	 NONE	0	Daily	Sub Challenge (Unsorted)	0																																																						Challenge_Daily_Kill_SuperMutants_Lowest.json
003B8025	CUT_Challenge_Weekly_Combo_WorldBurn_SUB_Levelup_While_Wanted	Level up while Engaged in PvP	 NONE	0	Weekly	Sub Challenge (Unsorted)	1	Top:Subject.IsEngagedInPvP() = 1.000000																																																					Challenge_Weekly_Combo_WorldBurn_SUB_Levelup_While_Wanted.json
003B801C	Challenge_Lifetime_Kill_Humanlike_Low	Kill Human-like Creatures	Total Enemies Killed	76	Lifetime	Combat	15	Top:Target.GetIsRace(HumanRace "Human" [RACE:00013746]) = 1.000000	Top:Target.GetIsRace(FeralGhoulGlowingRace "Feral Ghoul" [RACE:000A96BF]) = 1.000000	Top:Target.GetIsRace(FeralGhoulRace "Feral Ghoul" [RACE:0006B4EC]) = 1.000000	Top:Target.GetIsRace(MoleMinerRace "Mole Miner" [RACE:00012E6B]) = 1.000000	Top:Target.GetIsRace(ScorchedRace "Scorched" [RACE:0010CA5F]) = 1.000000	Top:Target.GetIsRace(SuperMutantRace "Super Mutant" [RACE:0001A009]) = 1.000000	Top:Target.GetIsRace(SupermutantBehemothRace "Behemoth" [RACE:000BB7D9]) = 1.000000	Top:Target.GetIsRace(AlienRace "Alien" [RACE:00184C4D]) = 1.000000	Top:Target.GetIsRace(FlatwoodsMonsterRace "Flatwoods Monster" [RACE:00110E0A]) = 1.000000	Top:Target.GetIsRace(GraftonMonsterRace "Grafton Monster" [RACE:0000E889]) = 1.000000	Top:Target.GetIsRace(TrogRace "Trog" [RACE:0063CC25]) = 1.000000	Top:Target.GetIsRace(XPD_OvergrownElderRace "Overgrown Tank" [RACE:006BCA2B]) = 1.000000	Top:Target.GetIsRace(XPD_OvergrownThornRace "Overgrown Thorn" [RACE:006B3A3F]) = 1.000000	Top:Target.GetIsRace(LostRace "Lost" [RACE:00727CCF]) = 1.000000	Top:Target.GetIsRace(LostFeralSuiciderRace "Feral Lost" [RACE:0078BF08]) = 1.000000																																							Challenge_Lifetime_Kill_Humanlike_Low.json
003B804B	Challenge_Lifetime_Collect_PlantsFungi_Intro	Harvest Wild Plants and Fungi	Plants Harvested	1	Lifetime	Survival	1	Top:Target List.IsTrueForConditionForm(Challenge_Gather_PlantsFungi_Condition [CNDF:0078E3BE]) = 1.000000																																																				Reward0:00630F30:ChallengeReward_Challenge_Lifetime_Collect_PlantsFungi_Intro:GMRW	Challenge_Lifetime_Collect_PlantsFungi_Intro.json
003B801A	CUT_Challenge_Daily_Kill_ScorchedCreature_Lowest	Kill a Scorched Creature	 NONE	0	Daily	Sub Challenge (Unsorted)	1	Top:Target.HasKeyword(ActorTypeScorched [KYWD:0005CB01]) = 1.000000																																																					Challenge_Daily_Kill_ScorchedCreature_Lowest.json
003B8021	CUT_Challenge_Daily_Kill_Turrets_Lowest	Destroy a Turret	 NONE	0	Daily	Sub Challenge (Unsorted)	0																																																						Challenge_Daily_Kill_Turrets_Lowest.json
003B8018	CUT_Challenge_Daily_Kill_RadStags_Special	Kill Radstags	 NONE	0	Daily	Sub Challenge (Unsorted)	0																																																						Challenge_Daily_Kill_RadStags_Special.json
003B8016	CUT_Challenge_Daily_Kill_RadRoaches_Lowest	Kill a Radroach	 NONE	0	Daily	Sub Challenge (Unsorted)	0																																																						Challenge_Daily_Kill_RadRoaches_Lowest.json
003B801D	CUT_Challenge_Daily_Kill_Stingwings_Lowest	Kill a Stingwing	 NONE	0	Daily	Sub Challenge (Unsorted)	0																																																						Challenge_Daily_Kill_Stingwings_Lowest.json
