QuestFormID	QuestEDID	QuestName	ObjectiveIndex	ObjectiveFlags	ObjectiveText	TargetIndex	TargetAliasID	TargetAliasName	TargetFlags	TargetConditions	TargetLinks
0080BFD0	Burn_E02_Sinkhole	Event: Sinkhole Solutions	1		DEBUG - ALL NEST POSITIONS	0	085	RefCol_DEBUG_NESTS		10000000|0.000000|GetDestroyed|00 00 00|00 00|00 00 00 00|00 00 00 00|0|-1|Subject|	
0080BFD0	Burn_E02_Sinkhole	Event: Sinkhole Solutions	10	Uses Timer	Activate the Stomper	0	043 Ref_InteractionBox_Stomper	Ref_InteractionBox_Stomper			
0080BFD0	Burn_E02_Sinkhole	Event: Sinkhole Solutions	20	Uses Timer	Enter the Lake	0	084 Sinkhole_Center	Sinkhole_Center			
0080BFD0	Burn_E02_Sinkhole	Event: Sinkhole Solutions	20	Uses Timer	Enter the Lake	1	046	RefCol_Nests_01		10000000|0.000000|GetDestroyed|00 00 00|00 00|00 00 00 00|00 00 00 00|0|-1|Subject|	
0080BFD0	Burn_E02_Sinkhole	Event: Sinkhole Solutions	25	Uses Timer	Survive or Exterminate the first wave	0	084 Sinkhole_Center	Sinkhole_Center			
0080BFD0	Burn_E02_Sinkhole	Event: Sinkhole Solutions	30	Uses Timer	Destroy the nests (<Variable=nestsDestroyed>/<Variable=nestsDestroyedTarget>)	0	046	RefCol_Nests_01		10000000|0.000000|GetDestroyed|00 00 00|00 00|00 00 00 00|00 00 00 00|0|-1|Subject|	
0080BFD0	Burn_E02_Sinkhole	Event: Sinkhole Solutions	40	Uses Timer	Prepare for the next wave	0	084 Sinkhole_Center	Sinkhole_Center			
0080BFD0	Burn_E02_Sinkhole	Event: Sinkhole Solutions	45	Uses Timer	Survive or Exterminate the second wave	0	084 Sinkhole_Center	Sinkhole_Center			
0080BFD0	Burn_E02_Sinkhole	Event: Sinkhole Solutions	50	Uses Timer	Destroy the nests (<Variable=nestsDestroyed2>/<Variable=nestsDestroyedTarget2>)	0	046	RefCol_Nests_01		10000000|0.000000|GetDestroyed|00 00 00|00 00|00 00 00 00|00 00 00 00|0|-1|Subject|	
0080BFD0	Burn_E02_Sinkhole	Event: Sinkhole Solutions	60	Uses Timer	Prepare for the next wave	0	084 Sinkhole_Center	Sinkhole_Center			
0080BFD0	Burn_E02_Sinkhole	Event: Sinkhole Solutions	65	Uses Timer	Survive or Exterminate the third wave	0	084 Sinkhole_Center	Sinkhole_Center			
0080BFD0	Burn_E02_Sinkhole	Event: Sinkhole Solutions	70	Uses Timer	Destroy the nests (<Variable=nestsDestroyed3>/<Variable=nestsDestroyedTarget3>)	0	046	RefCol_Nests_01		10000000|0.000000|GetDestroyed|00 00 00|00 00|00 00 00 00|00 00 00 00|0|-1|Subject|	
0080BFD0	Burn_E02_Sinkhole	Event: Sinkhole Solutions	130	Uses Timer	Prepare for the final wave	0	084 Sinkhole_Center	Sinkhole_Center			
0080BFD0	Burn_E02_Sinkhole	Event: Sinkhole Solutions	140	Uses Timer	Exterminate the final wave	0	008	WaveEnemies_Boss			
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	10	Uses Timer	Speak to the Beastmaster	0	015 Alias_Tamer	Alias_Tamer			
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	20	Uses Timer	Total Scrap Metal Collected: (<Variable=iCurrentScrapMetalAmount>/40)						
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	25	Uses Timer	Gather and place Barrels of Scrap Metal in the forge machine (<Variable=iCurrentScrapMetalDeposit>/40)	0	020 Alias_ForgingMachine	Alias_ForgingMachine		11000000|1.000000|GetItemCount|00 00 00|00 00|Burn_E01_SturdyScrapMetal "Sturdy Scrap Metal" [MISC:00827992]|00 00 00 00|0|-1|Target|	
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	25	Uses Timer	Gather and place Barrels of Scrap Metal in the forge machine (<Variable=iCurrentScrapMetalDeposit>/40)	1	046	RefCol_ScrapRadii			
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	30		Wait for the Deathclaw to be armored up	0	045 Alias_TamedDeathclawCageFurniture	Alias_TamedDeathclawCageFurniture			
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	32		(OPTIONAL) Emote to cheer for the Deathclaw (<Variable=iAmountOfEmotes>/20)						
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	35	Uses Timer		0	045 Alias_TamedDeathclawCageFurniture	Alias_TamedDeathclawCageFurniture			
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	40		Escort the <Alias=Alias_TamedDeathclaw> into battle	0	001 Alias_TamedDeathclaw	Alias_TamedDeathclaw			
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	45		Protect the <Alias=Alias_TamedDeathclaw>	0	001 Alias_TamedDeathclaw	Alias_TamedDeathclaw			
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	57	Uses Timer	Fend off the Raiders						
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	58	Uses Timer							
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	59	Uses Timer	Prepare for the incoming threat						
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	60	Uses Timer	Fend off the Snallygasters						
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	64	Uses Timer							
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	65	Uses Timer	Something big is coming						
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	70	Uses Timer	Kill the Deathclaw Matriarch	0	017 Alias_DeathclawMatriarch	Alias_DeathclawMatriarch			
007B95E1	Fishing_BigFish	Daily: Big Fish in a Small Pond	10		Speak to Captain Raymond	0	003 Actor_Captain	Actor_Captain			
007B95E1	Fishing_BigFish	Daily: Big Fish in a Small Pond	20		---FISHING OBJECTIVES--						
007B95E1	Fishing_BigFish	Daily: Big Fish in a Small Pond	25		Fish caught in The Mire: (<Variable=Fish>/7)	0	009 LocationMarker_TheMire	LocationMarker_TheMire			
007B95E1	Fishing_BigFish	Daily: Big Fish in a Small Pond	26		Fish caught in the Savage Divide: (<Variable=Fish>/7)	0	016 LocationMarker_SavageDivide	LocationMarker_SavageDivide			
007B95E1	Fishing_BigFish	Daily: Big Fish in a Small Pond	27		Fish caught in Ash Heap: (<Variable=Fish>/7)	0	010 LocationMarker_AshHeap	LocationMarker_AshHeap			
007B95E1	Fishing_BigFish	Daily: Big Fish in a Small Pond	28		Fish caught in the Forest: (<Variable=Fish>/7)	0	007 LocationMarker_TheForest	LocationMarker_TheForest			
007B95E1	Fishing_BigFish	Daily: Big Fish in a Small Pond	29		Fish caught in Cranberry Bog: (<Variable=Fish>/7)	0	012 LocationMarker_CranberryBog	LocationMarker_CranberryBog			
007B95E1	Fishing_BigFish	Daily: Big Fish in a Small Pond	30		Fish caught in Toxic Valley: (<Variable=Fish>/7)	0	018 LocationMarker_ToxicValley	LocationMarker_ToxicValley			
007B95E1	Fishing_BigFish	Daily: Big Fish in a Small Pond	31		Fish caught in Skyline Valley: (<Variable=Fish>/7)	0	014 LocationMarker_SkylineValley	LocationMarker_SkylineValley			
007B95E1	Fishing_BigFish	Daily: Big Fish in a Small Pond	40		Fill out the Captain's ledger	0	006 Ledger	Ledger			
0079AA0F	SSE_BigBloom	Event: The Big Bloom	10	Uses Timer	Speak to Black-Eyed Susan	0	002 Actor_BlackEyedSusan	Actor_BlackEyedSusan			
0079AA0F	SSE_BigBloom	Event: The Big Bloom	15	Uses Timer	Prepare to frolic in a meadow						
0079AA0F	SSE_BigBloom	Event: The Big Bloom	20		Place Crystalcups in Susan's basket: (<Variable=Crystalcups> / 30)	0	003 ObjRef_EWSSpawnCenterMarker	ObjRef_EWSSpawnCenterMarker			
0079AA0F	SSE_BigBloom	Event: The Big Bloom	20		Place Crystalcups in Susan's basket: (<Variable=Crystalcups> / 30)	1	009	Tulips		10100000|1000.000000|GetDistance|00 00 00|00 00|TARGET - Target Reference [00000000]|00 00 00 00|0|-1|Subject|	
0079AA0F	SSE_BigBloom	Event: The Big Bloom	30		Place Radlilies in Susan's basket: (<Variable=Radlilies> / 30)	0	003 ObjRef_EWSSpawnCenterMarker	ObjRef_EWSSpawnCenterMarker			
0079AA0F	SSE_BigBloom	Event: The Big Bloom	30		Place Radlilies in Susan's basket: (<Variable=Radlilies> / 30)	1	008	Marigolds		10100000|1000.000000|GetDistance|00 00 00|00 00|TARGET - Target Reference [00000000]|00 00 00 00|0|-1|Subject|	
0079AA0F	SSE_BigBloom	Event: The Big Bloom	40		Place Carnal Weepers in Susan's basket: (<Variable=CarnalWeepers> / 30)	0	003 ObjRef_EWSSpawnCenterMarker	ObjRef_EWSSpawnCenterMarker			
0079AA0F	SSE_BigBloom	Event: The Big Bloom	40		Place Carnal Weepers in Susan's basket: (<Variable=CarnalWeepers> / 30)	1	010	Pansies		10100000|1000.000000|GetDistance|00 00 00|00 00|TARGET - Target Reference [00000000]|00 00 00 00|0|-1|Subject|	
0079AA0F	SSE_BigBloom	Event: The Big Bloom	50	Uses Timer	Deposit all flowers	0	011 FlowerBasket	FlowerBasket			
0079AA0F	SSE_BigBloom	Event: The Big Bloom	60		Set the Overgrown on fire: (<Variable=Overgrown> / 25)	0	003 ObjRef_EWSSpawnCenterMarker	ObjRef_EWSSpawnCenterMarker			
0079AA0F	SSE_BigBloom	Event: The Big Bloom	60		Set the Overgrown on fire: (<Variable=Overgrown> / 25)	1	004	CrispyOvergrown		10100000|1000.000000|GetDistance|00 00 00|00 00|TARGET - Target Reference [00000000]|00 00 00 00|0|-1|Subject|	
0079AA0F	SSE_BigBloom	Event: The Big Bloom	65		(Optional) Use explosives from Susan's "Boom" Box	0	026 BoomBox	BoomBox			
0079AA0F	SSE_BigBloom	Event: The Big Bloom	70		Eradicate the remaining Overgrown: (<Variable=Overgrown)						
0079AA0F	SSE_BigBloom	Event: The Big Bloom	80	Uses Timer	Investigate the disturbance	0	030 BeeExplosionSourceMarker	BeeExplosionSourceMarker			
0079AA0F	SSE_BigBloom	Event: The Big Bloom	90		Defeat Beezlebub	0	019 Beezlebub	Beezlebub			
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	5	Uses Timer	Light the Mischief Pyre	0	015 Activator_PyreStart	Activator_PyreStart			
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	10	Uses Timer	Light the Mischief Pyre	0	016 Activator_PyreForest	Activator_PyreForest		10000000|0.000000|GetStageDoneUniqueQuest|00 00 00|00 00|MN2_Quest_Mischief "Event: Mischief Night" [QUST:0077FA14]|300|0|-1|Subject| ; 10000000|1.000000|GetStageDoneUniqueQuest|00 00 00|00 00|MN2_Quest_Mischief "Event: Mischief Night" [QUST:0077FA14]|200|0|-1|Subject|	
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	10	Uses Timer	Light the Mischief Pyre	1	017 Activator_PyreGrounds	Activator_PyreGrounds		10000000|1.000000|GetStageDoneUniqueQuest|00 00 00|00 00|MN2_Quest_Mischief "Event: Mischief Night" [QUST:0077FA14]|300|0|-1|Subject| ; 10000000|0.000000|GetStageDoneUniqueQuest|00 00 00|00 00|MN2_Quest_Mischief "Event: Mischief Night" [QUST:0077FA14]|400|0|-1|Subject|	
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	10	Uses Timer	Light the Mischief Pyre	2	018 Activator_PyreHelipad	Activator_PyreHelipad		10000000|1.000000|GetStageDoneUniqueQuest|00 00 00|00 00|MN2_Quest_Mischief "Event: Mischief Night" [QUST:0077FA14]|400|0|-1|Subject| ; 10000000|0.000000|GetStageDoneUniqueQuest|00 00 00|00 00|MN2_Quest_Mischief "Event: Mischief Night" [QUST:0077FA14]|500|0|-1|Subject|	
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	20		Follow JES-2R	0	003 Actor_Eyebot	Actor_Eyebot			
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	30		Sow mayhem in the forest	0	027 SpawnCenter_Forest	SpawnCenter_Forest			
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	30		Sow mayhem in the forest	1	003 Actor_Eyebot	Actor_Eyebot			
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	32		Sow mayhem around the cabins	0	028 SpawnCenter_Grounds	SpawnCenter_Grounds			
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	32		Sow mayhem around the cabins	1	003 Actor_Eyebot	Actor_Eyebot			
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	34		Sow mayhem near the landing pad	0	029 SpawnCenter_Helipad	SpawnCenter_Helipad			
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	34		Sow mayhem near the landing pad	1	003 Actor_Eyebot	Actor_Eyebot			
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	40		Destroy the Rapidan Elite Security Force (<Variable=AssaultronKills>/3)	0	039	Actors_Boss		10000000|0.000000|GetDead|00 00 00|00 00|00 00 00 00|00 00 00 00|0|-1|Subject|	
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	50		Eliminate the enemies						
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	60		Blow things up						
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	70		Light the bonfires						
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	80		Raid the trick-or-treat bowls						
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	90		Graffiti the walls						
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	100		Fork the lawns						
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	110		Destroy the Vertibot						
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	120		(Optional) Wear a costume for bonus progress						
00733DB5	Storm_E01_Dangerous	Event: Dangerous Pastimes	10	Uses Timer	Speak into the Intercom	0	015 Activator_David_Intercom	Activator_David_Intercom			
00733DB5	Storm_E01_Dangerous	Event: Dangerous Pastimes	20	Uses Timer	Wait for the Harvester Parts scan to complete						
00733DB5	Storm_E01_Dangerous	Event: Dangerous Pastimes	30	Uses Timer	Find Harvester Parts & install them on the Lightning Harvester(<Variable=HarvesterPartsCollected>/40)	0	014	HarvesterInstallTriggers		10000000|1.000000|GetStageDoneUniqueQuest|00 00 00|00 00|Storm_E01_Dangerous "Event: Dangerous Pastimes" [QUST:00733DB5]|200 I must find & install Harvester Parts to get the Harvester operational. I should be careful; the parts scan also indicated Lost signatures in the area.|0|-1|Target| ; 10000000|0.000000|GetStageDoneUniqueQuest|00 00 00|00 00|Storm_E01_Dangerous "Event: Dangerous Pastimes" [QUST:00733DB5]|250 I have found and installed the parts the harvester required. I need to wait while David powers it up.|0|-1|Target|	
00733DB5	Storm_E01_Dangerous	Event: Dangerous Pastimes	30	Uses Timer	Find Harvester Parts & install them on the Lightning Harvester(<Variable=HarvesterPartsCollected>/40)	1	053 XMarkerForObjectiveMarkers	XMarkerForObjectiveMarkers		10000000|1.000000|GetStageDoneUniqueQuest|00 00 00|00 00|Storm_E01_Dangerous "Event: Dangerous Pastimes" [QUST:00733DB5]|200 I must find & install Harvester Parts to get the Harvester operational. I should be careful; the parts scan also indicated Lost signatures in the area.|0|-1|Target| ; 10000000|0.000000|GetStageDoneUniqueQuest|00 00 00|00 00|Storm_E01_Dangerous "Event: Dangerous Pastimes" [QUST:00733DB5]|250 I have found and installed the parts the harvester required. I need to wait while David powers it up.|0|-1|Target|	
00733DB5	Storm_E01_Dangerous	Event: Dangerous Pastimes	40	Uses Timer	Wait for the Lightning Harvester to come online						
00733DB5	Storm_E01_Dangerous	Event: Dangerous Pastimes	50	Uses Timer	Charge the Lightning Harvester by killing the Lost						
00733DB5	Storm_E01_Dangerous	Event: Dangerous Pastimes	60	Uses Timer	Destroy the Thunder Crab	0	037 Storm_E01_Boss	Storm_E01_Boss			
00733DB5	Storm_E01_Dangerous	Event: Dangerous Pastimes	70	Uses Timer							
006FD072	NPE_DQ01_BetterTomorrow	Daily: A Better Tomorrow	10		Speak to Lane	0	014 Actor_LanePlatte	Actor_LanePlatte			
006FD072	NPE_DQ01_BetterTomorrow	Daily: A Better Tomorrow	20		Gather care package materials (<Variable=CarePkgCount>/<Variable=CarePkgTotal>)	0	006 MiscItem_BandageToEnable	MiscItem_BandageToEnable		00100000|1.000000|GetItemCount|00 00 00|00 00|NPE_DQ01_Bandage "Bandages" [MISC:006FD083]|00 00 00 00|0|000 Player|Quest Alias|	
006FD072	NPE_DQ01_BetterTomorrow	Daily: A Better Tomorrow	20		Gather care package materials (<Variable=CarePkgCount>/<Variable=CarePkgTotal>)	1	004 MiscItem_FoodParcelToEnable	MiscItem_FoodParcelToEnable		00100000|1.000000|GetItemCount|00 00 00|00 00|NPE_DQ01_FoodParcel "Food Parcel" [MISC:006FD082]|00 00 00 00|0|000 Player|Quest Alias|	
006FD072	NPE_DQ01_BetterTomorrow	Daily: A Better Tomorrow	20		Gather care package materials (<Variable=CarePkgCount>/<Variable=CarePkgTotal>)	2	005 MiscItem_MissiveToEnable	MiscItem_MissiveToEnable		00100000|1.000000|GetItemCount|00 00 00|00 00|NPE_DQ01_Missive "Missive" [MISC:006FD084]|00 00 00 00|0|000 Player|Quest Alias|	
006FD072	NPE_DQ01_BetterTomorrow	Daily: A Better Tomorrow	30		Craft a Responders Care Package	0	015 Furniture_CraftingStation	Furniture_CraftingStation			
006FD072	NPE_DQ01_BetterTomorrow	Daily: A Better Tomorrow	40		Deliver the care package	0	012 Activator_DropBox	Activator_DropBox			
006FD072	NPE_DQ01_BetterTomorrow	Daily: A Better Tomorrow	50		Collect fresh meat from the first trap	0	024 Container_Meat01	Container_Meat01			
006FD072	NPE_DQ01_BetterTomorrow	Daily: A Better Tomorrow	51		Collect fresh meat from the next trap	0	025 Container_Meat02	Container_Meat02			
006FD072	NPE_DQ01_BetterTomorrow	Daily: A Better Tomorrow	52		Collect fresh meat from the final trap	0	026 Container_Meat03	Container_Meat03			
006FD072	NPE_DQ01_BetterTomorrow	Daily: A Better Tomorrow	60		Collect cultist artifacts (<Variable=ArtifactsCount>/<Variable=ArtifactsTotal>)	0	018	Containers_CultistArtifacts		11000000|1.000000|GetItemCount|00 00 00|00 00|NPE_DQ01_CultistArtifact "Mothman Cultist Artifact" [MISC:00713F9A]|00 00 00 00|0|-1|Subject| ; 10000000|1.000000|GetInCurrentLocationAlias|00 00 00|00 00|017 Loc_CultistCave|00 00 00 00|0|000 Player|Quest Alias|	
006FD072	NPE_DQ01_BetterTomorrow	Daily: A Better Tomorrow	60		Collect cultist artifacts (<Variable=ArtifactsCount>/<Variable=ArtifactsTotal>)	1	029 Marker_CultistCaveInstance	Marker_CultistCaveInstance		10000000|0.000000|GetInCurrentLocationAlias|00 00 00|00 00|017 Loc_CultistCave|00 00 00 00|0|000 Player|Quest Alias|	
006FD072	NPE_DQ01_BetterTomorrow	Daily: A Better Tomorrow	70		Return to Lane	0	014 Actor_LanePlatte	Actor_LanePlatte			
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	410		(Leader Only) Use the intercom to request landing	0	230 VertibirdInitiateLanding_Activator	VertibirdInitiateLanding_Activator			
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	500		Fight your way to City Hall	0	214 DungeonEntrance_01	DungeonEntrance_01			
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	600		Wipe out the Overgrown	0	243 SpawnCenter_IntroOvergrown	SpawnCenter_IntroOvergrown		01000000|2.000000|GetNumElementsInRefCollection|00 00 00|00 00|239|00 00 00 00|0|-1|Subject|	
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	600		Wipe out the Overgrown	1	239	IntroOvergrown		10100000|2.000000|GetNumElementsInRefCollection|00 00 00|00 00|239|00 00 00 00|0|-1|Subject|	
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	610		Speak to Mayor Tim	0	114 MayorTim	MayorTim			
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	700		(Optional) Save the Auditors from the onslaught						
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	1610		Report back to Mayor Tim	0	114 MayorTim	MayorTim			
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	4500		Fight through the flooded city	0	293 Marker_Sporemaster	Marker_Sporemaster		10000000|1.000000|GetInCell|00 00 00|00 00|XPDAC03FloodedCityCenter "Flooded City Center" [CELL:0069306F]|00 00 00 00|0|019 ExpeditionLeader|Quest Alias|	
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	4500		Fight through the flooded city	1	217 DungeonExit_02	DungeonExit_02		10000000|1.000000|GetInCell|00 00 00|00 00|XPDAC03CommunityCenter "Community Center" [CELL:0069506F]|00 00 00 00|0|019 ExpeditionLeader|Quest Alias|	
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	4510		Defeat the Sporemaster	0	115 Sporemaster_Boss	Sporemaster_Boss			
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	4710		Report back to Mayor Tim	0	280 MayorTimFinale	MayorTimFinale			
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	5210		Speak to Lennox to depart when ready	0	104 VertibirdPilot_01	VertibirdPilot_01			
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	5810		View the post-expedition report						
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	5850		(Optional) Speak to Buttercup	0	247 Buttercup	Buttercup			
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	5900		(Optional) Locate the lost dossiers in the Community Center (<Variable=Dossiers>/5)	0	272	LostDossiers		10100000|2000.000000|GetDistance|00 00 00|00 00|PlayerRef [PLYR:00000014]|00 00 00 00|0|-1|Subject|	
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	5910		(Optional) Recover the security cam footage in the Community Center	0	273 SecurityCamera_01	SecurityCamera_01			
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	5910		(Optional) Recover the security cam footage in the Community Center	1	274 SecurityCamera_02	SecurityCamera_02			
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	5910		(Optional) Recover the security cam footage in the Community Center	2	275 SecurityCamera_03	SecurityCamera_03			
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	5910		(Optional) Recover the security cam footage in the Community Center	3	276 SecurityCamera_04	SecurityCamera_04			
006DBABB	XPD_AC03_Mission_Human	Atlantic City: The Human Condition	5910		(Optional) Recover the security cam footage in the Community Center	4	277 SecurityCamera_05	SecurityCamera_05			
006BAA3D	XPD_AC01_Mission_Tax	Atlantic City: Tax Evasion	10		Save Billy from Buttercup's grasp	0	115 Taxman	Taxman		10000000|1.000000|GetStageDoneCurrentInstance|00 00 00|00 00|250|00 00 00 00|0|-1|Subject|	
006BAA3D	XPD_AC01_Mission_Tax	Atlantic City: Tax Evasion	10		Save Billy from Buttercup's grasp	1	297 PersistentMarker_NightClub	PersistentMarker_NightClub		00000000|1.000000|GetStageDoneCurrentInstance|00 00 00|00 00|250|00 00 00 00|0|-1|Subject|	
006BAA3D	XPD_AC01_Mission_Tax	Atlantic City: Tax Evasion	20		Free Billy	0	240 BillyNightClub	BillyNightClub			
006BAA3D	XPD_AC01_Mission_Tax	Atlantic City: Tax Evasion	30		Defeat Buttercup	0	115 Taxman	Taxman			
006BAA3D	XPD_AC01_Mission_Tax	Atlantic City: Tax Evasion	40		Tell Billy of your triumphs	0	240 BillyNightClub	BillyNightClub			
006BAA3D	XPD_AC01_Mission_Tax	Atlantic City: Tax Evasion	40		Tell Billy of your triumphs	1	214 NightclubEntrance	NightclubEntrance		10000000|1.000000|GetInCell|00 00 00|00 00|XPDAC01EntertainmentDistrict "Casino Quarter" [CELL:0053E8DF]|00 00 00 00|0|-1|Target|	
006BAA3D	XPD_AC01_Mission_Tax	Atlantic City: Tax Evasion	410		(Leader Only) Use the intercom to request landing	0	230 VertibirdInitiateLanding_Activator	VertibirdInitiateLanding_Activator			
006BAA3D	XPD_AC01_Mission_Tax	Atlantic City: Tax Evasion	610		Speak to Billy Beltbuckles	0	114 Billy	Billy		10000000|0.000000|GetNumTimesCompletedQuest|00 00 00|00 00|XPD_AC01_Mission_Tax "Atlantic City: Tax Evasion" [QUST:006BAA3D]|00 00 00 00|0|-1|Target|	
006BAA3D	XPD_AC01_Mission_Tax	Atlantic City: Tax Evasion	610		Speak to Billy Beltbuckles	1	214 NightclubEntrance	NightclubEntrance		10000000|1.000000|GetInCell|00 00 00|00 00|XPDAC01EntertainmentDistrict "Casino Quarter" [CELL:0053E8DF]|00 00 00 00|0|-1|Target| ; 11000000|1.000000|GetNumTimesCompletedQuest|00 00 00|00 00|XPD_AC01_Mission_Tax "Atlantic City: Tax Evasion" [QUST:006BAA3D]|00 00 00 00|0|-1|Target|	
