Activity / Event Name	Region	Location / LCTN
Event: Heart of the Swamp	The Mire	Abandoned Waste Dump
Event: Heart of the Swamp	The Mire	Crashed Plane
Event: Heart of the Swamp	The Mire	Ella Ames' Bunker
Event: Invaders From Beyond	Forest	Charleston Capitol Building
Event: Invaders From Beyond	The Mire	Dyer Chemical
Event: Invaders From Beyond	Ash Heap	Garrahan Mining HQ
Event: Invaders From Beyond	Savage Divide	Monongah
Event: Invaders From Beyond	Cranberry Bog	Sparse sundew grove
Event: Invaders From Beyond	Toxic Valley	Wavy Willard's Water Park
Event: Jail Break	Toxic Valley	Eastern Regional Penitentiary [LCTN:000158E5]
Event: Line in the Sand	Cranberry Bog	Fort Defiance
Event: Lode Baring	Ash Heap	Abandoned mine shaft Elaine
Event: Lode Baring	Ash Heap	Abandoned mine site Kittery
Event: Mischief Night	Skyline Valley	Rapidan Camp
Event: Moonshine Jamboree	The Mire	Sunday Brothers' Cabin
Event: Most Wanted	Ash Heap	Nuka-World On Tour [LCTN:00674C7E]
Event: Neurological Warfare	Skyline Valley	Hawksbill Weather Station
Event: One Violent Night	Savage Divide	
Event: Primal Cuts	Ash Heap	
Event: Primal Cuts	Forest	
Event: Primal Cuts	Toxic Valley	
Event: Primal Cuts	Savage Divide	
Event: Primal Cuts	The Mire	
Event: Primal Cuts	Cranberry Bog	
Event: Project Paradise	Forest	Arktos Pharma
Event: Radiation Rumble	Savage Divide	Emmett Mountain Disposal Site
Event: Safe and Sound	Savage Divide	Middle Mountain Pitstop [LCTN:002955D1]
Event: Scorched Earth	Cranberry Bog	Fissure Site Prime
Event: Seismic Activity	Ash Heap	Nuka-World On Tour [LCTN:00674C7E]
Event: Sinkhole Solutions	Burning Springs	Tycoon Lake [LCTN:0080BFF1]
Event: Spin The Wheel	Ash Heap	Nuka-World On Tour [LCTN:00674C7E]
Event: Swarm of Suitors	Toxic Valley	Pioneer Scout Camp
Event: Tea Time	Forest	The Giant Teapot
Event: Test Your Metal	Savage Divide	Metal Dome
Event: The Big Bloom	Skyline Valley	Susan's Cabin
Event: The Mothman Equinox	Forest	Point Pleasant
Event: The Path to Enlightenment	Savage Divide	Landview Lighthouse
Event: Tunnel Of Love	Ash Heap	Nuka-World On Tour [LCTN:00674C7E]
Event: Uranium Fever	Savage Divide	Blackwater Mine
