ARMO_FormID	ARMO_EDID	ARMO_FULL	BOD2_FirstPersonFlags	BOD2_FirstPersonFlagLabels	Keywords_EDID_Flat
000821B6	ATX_Headwear_VaultTecSecurityHelmet	Vault-Tec Security Helmet	30|31|46	Hair Top|Hair Long|Headband	
000824EE	SkinMoleratHairBasic		31	Hair Long	
0008925C	Armor_WeddingRing	Wedding Ring	51	Ring	
000897FC	PowerArmorCoreGlow		61	FX	
0008EC49	SkinFeralGhoulHead1		32	FaceGen Head	
0001A00B	SkinSuperMutant		33	BODY	
00020BCA	SkinFeralGhoulGlowing		33	BODY	
00046972	SuperMutantArmor1	Super Mutant Armor	36	[U] Torso	
000475D3	FX1stPersonGroggyWakeArmor		61	FX	
00064C5F	SkinMirelurkHunter	MirelurkHunter	33	BODY	
00090C35	SkinFEVHoundWhole		33	BODY	
000986CA	MirelurkShield		60	Pipboy	
0009C05B	Headwear_BandanaRed	Red Bandana	48|49|50	Beard|Mouth|Neck	
0009F252	ATX_Clothes_Piper_SP1	Piper's Trench Coat	57	Coverall	
000A0F31	SkinYaoGuaiWhole		33	BODY	
000A28D7	Clothes_Mayor	Patched Suit	57	Coverall	
000A28D8	Headwear_MayorHat	Crumpled Fedora	30|46	Hair Top|Headband	
000A36BE	Clothes_Resident4	Patched Three-Piece Suit	57	Coverall	
000A36C0	Headwear_Resident4Hat	Trilby Hat	30|46	Hair Top|Headband	
000A563C	SkinEyeBot		33|59	BODY|Shield	
000A740B	Clothes_Resident7	Padded Blue Jacket	57	Coverall	
000A740E	Headwear_Resident7Hat	Newsboy Cap	30|46	Hair Top|Headband	
000A7DA9	SkinEyeBotNoBack		33	BODY	
000A7DAA	SkinEyeBotBack		32	FaceGen Head	
000A81AF	ATX_Headwear_PiperCap_SP1	Piper's Press Cap	30|46	Hair Top|Headband	
000A81B0	ATX_Headwear_PiperGoggles_SP1	Piper's Road Goggles	47	Eyes	
000A8499	SkinEyeBotBackRadio		32|34	FaceGen Head|L Hand	
000ADA90	SkinNakedDirty		33|34|35	BODY|L Hand|R Hand	
000AF0E2	Armor_RaiderMod_Underarmor_RoadLeathers	Road Leathers	33|36|37|38|39|40	BODY|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
000B1F09	SkinTurretStanding		33|61	BODY|FX	
000B268D	SkinEyeBotHolotape		36	[U] Torso	
000B28D4	SkinTurretMounted		33	BODY	
000B2D8D	Clothes_Wastelander_Light	Drifter Outfit	57	Coverall	
000B2D8E	POST_Armor_Wastelander_Heavy	Cage Armor	57	Coverall	
000B2D8F	POST_Armor_Wastelander_Heavy_With_Helmet	Helmeted Cage Armor	30|31|32|33|34|35|41|42|43|44|45|46|47|48|49|50|57	Hair Top|Hair Long|FaceGen Head|BODY|L Hand|R Hand|[A] Torso|[A] L Arm|[A] R Arm|[A] L Leg|[A] R Leg|Headband|Eyes|Beard|Mouth|Neck|Coverall	
000B3F4C	Clothes_Resident5	Surveyor Outfit	57	Coverall	
000B3F4D	Headwear_Resident5Hat	Green Rag Hat	30|31|46	Hair Top|Hair Long|Headband	
000B3F4E	Clothes_Resident6	Wasteland Rags	57	Coverall	
000B7F92	SkinMirelurkKing		33	BODY	
000BB7DA	SkinSupermutantBehemoth		33|61	BODY|FX	
000C9AD0	SkinCat		33	BODY	
000CAB95	SkinTurretStandingMounted		33|61	BODY|FX	
000CAB9A	SkinTurretMountedDest		33	BODY	
000D77E5	SkinVertibird		33	BODY	
000D96DC	SkinAssaultron		33	BODY	
000D9805	CUT_SkinGorilla		33	BODY	
000DDB80	POST_Armor_Wastelander_Medium	Spike Armor	57	Coverall	
000DDB81	POST_Armor_Wastelander_Medium_With_Helmet	Helmeted Spike Armor	41|42|43|44|45|57	[A] Torso|[A] L Arm|[A] R Arm|[A] L Leg|[A] R Leg|Coverall	
000DEDE7	Clothes_BoS_Engineer_Scribe	Engineer's Uniform	57	Coverall	
000DEDE9	Headwear_BoS_Engineer_Scribe_Helmet	Welding Helmet	30|31|46	Hair Top|Hair Long|Headband	
000DEDEB	Armor_BoS_Knight_Underarmor_Shin	Brotherhood Knight Suit	33|34|35|36|37|38|39|40|51	BODY|L Hand|R Hand|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg|Ring	
000DF455	ATX_Clothes_TravelingSalesmanCoat	Traveling Salesman Outfit	57	Coverall	
000DF457	ATX_Headwear_TravelingSalesmanHat	Traveling Salesman Fedora	30|46	Hair Top|Headband	
000DFFC5	ATX_Clothes_PrewarSweaterVest_Clean	Sweater Vest and Slacks	57	Coverall	
000E1A39	Headwear_BoS_Knight_Helmet	BOS Hood	30|31|46	Hair Top|Hair Long|Headband	
000E1AF6	Clothes_BoS_Knight_Lancer	Bomber Jacket	57	Coverall	
000E1AF8	Headwear_BoS_Knight_Lancer_Helmet	Flight Helmet	30|31|46|47	Hair Top|Hair Long|Headband|Eyes	
000E370E	Clothes_BoS_Field_Scribe	Field Scribe's Uniform	57	Coverall	
000E3710	Headwear_BoS_Field_Scribe_Helmet	Field Scribe's Hat	30|31|46	Hair Top|Hair Long|Headband	
000E44FD	SkinSentryBot		33	BODY	
000E44FF	Clothes_BoS_Science_Scribe	Science Scribe's Uniform	57	Coverall	
000E4501	Headwear_BoS_Science_Scribe_Helmet	Medical Goggles	30|31|46	Hair Top|Hair Long|Headband	
000E5084	Clothes_Resident3	Farmhand Clothes	57	Coverall	
000E5086	Headwear_Resident3Hat	Battered Fedora	30|46	Hair Top|Headband	
000E6288	ATX_Clothes_PrewarShortSleeves_Clean	Laundered Loungewear	57	Coverall	
000E628A	Headwear_SunGlasses	Sunglasses	47	Eyes	
000EAFB8	SkinGhoulNaked		33|34|35	BODY|L Hand|R Hand	
000ECDB9	SkinMirelurkUnderwater		33	BODY	
000EECF5	ATX_Clothes_PreWarDress_Clean	Laundered Green Dress	57	Coverall	
000FC100	ATX_Clothes_Mobster01	Black Vest and Slacks	57	Coverall	
000FC102	Clothes_Mobster02	Suspenders and Slacks	57	Coverall	
000FC104	Headwear_BowlerHat	Bowler Hat	30|46	Hair Top|Headband	
000FC395	ATX_Clothes_Tuxedo	Tuxedo	57	Coverall	
000FC396	ATX_Headwear_TuxedoHat	Tuxedo Hat	30|46	Hair Top|Headband	
000FD9A8	Clothes_SlinkyDress	Red Dress	57	Coverall	
000FD9AA	Headwear_FancyGlasses	Fashionable Glasses	47	Eyes	
000CEAC4	Armor_HazmatSuit	Hazmat Suit	30|31|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|57	Hair Top|Hair Long|BODY|L Hand|R Hand|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg|[A] Torso|[A] L Arm|[A] R Arm|[A] L Leg|[A] R Leg|Headband|Eyes|Beard|Mouth|Coverall	
000E12A7	SkinMirelurkQueen		33	BODY	
000E857D	SkinProtectron		33	BODY	
000F6D83	Headwear_WinterHat	Ushanka Hat	30|31|46	Hair Top|Hair Long|Headband	
000F6D84	Headwear_GrayKnitCap	Gray Knit Cap	30|31|46	Hair Top|Hair Long|Headband	
000F6D86	Headwear_HardHat_Default	Hard Hat	30|46	Hair Top|Headband	
000F6D87	ATX_Headwear_CoastguardHat	Coast Guard Hat	30|46	Hair Top|Headband	
000F6D88	Headwear_ChefsHat	Chef Hat	30|46	Hair Top|Headband	
000F6D89	Headwear_CaptainsHat	Sea Captain's Hat	30|46	Hair Top|Headband	
000F6D8C	Headwear_Batting_HelmetBlue	Blue Batting Helmet	30|31|46	Hair Top|Hair Long|Headband	
000FFC21	Armor_Casual_Underarmor_ShirtJeans	Undershirt & Jeans	33|36|37|38|39|40	BODY|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
00100303	SkinMoleratBombVest		61	FX	
00116001	SkinTurretStandingCart		33|61	BODY|FX	
0011609B	Clothes_Tattered	Tattered Rags	57	Coverall	
00117EB7	Clothes_Rustic_WinterJacketAndJeans	Winter Jacket and Jeans	57	Coverall	
00117EB9	Armor_Casual_Underarmor_FlannelJeans	Flannel Shirt and Jeans	33|36|37|38|39|40	BODY|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
001184C1	Headwear_Gasmask	Gas Mask with Goggles	47|48|49	Eyes|Beard|Mouth	
0011A27B	ATX_Clothes_SequinDress	Sequin Dress	57	Coverall	
0011D3C3	Armor_Combat_Torso	Combat Armor Chest Piece	41	[A] Torso	
0011D3C4	Armor_Combat_LegRight	Combat Armor Right Leg	45	[A] R Leg	
0011D3C5	Armor_Combat_LegLeft	Combat Armor Left Leg	44	[A] L Leg	
0011D3C6	Armor_Combat_ArmRight	Combat Armor Right Arm	43	[A] R Arm	
0011D3C7	Armor_Combat_ArmLeft	Combat Armor Left Arm	42	[A] L Arm	
0011E2C8	Headwear_Clothes_Combat_Helmet	Combat Armor Helmet	30|31|46	Hair Top|Hair Long|Headband	
001212A2	SkinChildGhoulNaked		33|34|35	BODY|L Hand|R Hand	
001223CB	Clothes_VaultTecSalesmanCoatPW_NotPlayable		57	Coverall	
001223CD	Headwear_VaultTecSalesmanHatPW	Dirty Fedora	30|46	Hair Top|Headband	
00123D8D	CreatureClothes_FeralGhoulFootwraps		39|40	[U] L Leg|[U] R Leg	
00123D8F	CreatureClothes_FeralGhoulArmwraps		37|38	[U] L Arm|[U] R Arm	
00123D90	CreatureClothes_FeralGhoulShorts		36	[U] Torso	
00123D91	CreatureClothes_FeralGhoulPants		36	[U] Torso	
001240F1	Headwear_MiningHelmet	Mining Helmet	30|46	Hair Top|Headband	
0012571C	Headwear_Visor	Faded Visor	46	Headband	
00125891	Headwear_BlackRimGlasses	Black-Rim Glasses	47	Eyes	
00128C5C	SkinOldNaked		33|34|35	BODY|L Hand|R Hand	
00134294	Armor_BoS_Officer_Underarmor	Brotherhood Officer Suit	33|34|35|36|37|38|39|40	BODY|L Hand|R Hand|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
0013B3E5	SkinVirgil		33	BODY	
00140C3D	Armor_PowerArmor_T60_ArmLeft	T-60 Left Arm	42	[A] L Arm	
00140C3F	Armor_PowerArmor_T60_LegRight	T-60 Right Leg	45	[A] R Leg	
00140C42	Armor_PowerArmor_T60_Torso	T-60 Chest Piece	41	[A] Torso	
00140C45	Armor_PowerArmor_T60_ArmRight	T-60 Right Arm	43	[A] R Arm	
00140C49	Armor_PowerArmor_T60_LegLeft	T-60 Left Leg	44	[A] L Leg	
00140C4A	Armor_PowerArmor_T60_Helmet	T-60 Helm	30|31|32|46|47|48|49|50|52	Hair Top|Hair Long|FaceGen Head|Headband|Eyes|Beard|Mouth|Neck|Scalp	
00140C4C	Armor_PowerArmor_T51_ArmLeft	T-51b Left Arm	42	[A] L Arm	
00140C4D	Armor_PowerArmor_T51_ArmRight	T-51b Right Arm	43	[A] R Arm	
00140C4E	Armor_PowerArmor_T51_Helmet	T-51b Helm	30|31|32|46|47|48|49|50|52	Hair Top|Hair Long|FaceGen Head|Headband|Eyes|Beard|Mouth|Neck|Scalp	
00140C4F	Armor_PowerArmor_T51_LegLeft	T-51b Left Leg	44	[A] L Leg	
00140C50	Armor_PowerArmor_T51_LegRight	T-51b Right Leg	45	[A] R Leg	
00140C51	Armor_PowerArmor_T51_Torso	T-51b Chest Piece	41	[A] Torso	
00140C52	Armor_PowerArmor_Raider_ArmLeft	Raider Power Left Arm	42	[A] L Arm	
00140C53	Armor_PowerArmor_Raider_ArmRight	Raider Power Right Arm	43	[A] R Arm	
00140C54	Armor_PowerArmor_Raider_Helmet	Raider Power Helm	30|31|32|46|47|48|49|52	Hair Top|Hair Long|FaceGen Head|Headband|Eyes|Beard|Mouth|Scalp	
00140C55	Armor_PowerArmor_Raider_LegLeft	Raider Power Left Leg	44	[A] L Leg	
00140C56	Armor_PowerArmor_Raider_LegRight	Raider Power Right Leg	45	[A] R Leg	
00140C57	Armor_PowerArmor_Raider_Torso	Raider Power Chest Piece	41	[A] Torso	
001410EC	Clothes_PrewarWomensCasual_Clean	Casual Outfit	57	Coverall	
00144A6A	SkinSupermutantBehemothSwan		33	BODY	
00144F03	Clothes_BaseballUniform	Baseball Uniform	57	Coverall	
00144F04	Headwear_BaseballHat	Baseball Cap	30|46	Hair Top|Headband	
001467A4	Clothes_Pastor	Pastor's Vestments	57	Coverall	
0014B019	Clothes_PrewarTshirtSlacks_Clean	T-Shirt and Slacks	57	Coverall	
0014BF50	Clothes_GreaserJacket	Greaser Jacket and Jeans	57	Coverall	
0014D08F	ATX_Clothes_PrewarHouseDress_Blue_Clean	Laundered Blue Dress	57	Coverall	
0014E58B	ATX_Clothes_Unstoppables_SilverShroud	Silver Shroud Costume	57	Coverall	
0014F6D4	SkinBloodbugSwampAdult		32|33|60|61	FaceGen Head|BODY|Pipboy|FX	
0014F6DB	SkinBloodbugSwampTeen		32|33|60|61	FaceGen Head|BODY|Pipboy|FX	
0014F6E0	SkinBloodbugSwampJuvi		32|33|60|61	FaceGen Head|BODY|Pipboy|FX	
00151E30	Clothes_SuitDirty_Tan	Dirty Tan Suit	57	Coverall	
00151E34	ATX_Clothes_SuitClean_Tan	Clean Tan Suit	57	Coverall	
00154ABD	Armor_PowerArmor_T45_ArmLeft	T-45 Left Arm	42	[A] L Arm	
00154ABE	Armor_PowerArmor_T45_ArmRight	T-45 Right Arm	43	[A] R Arm	
00154ABF	Armor_PowerArmor_T45_Helmet	T-45 Helm	30|31|32|46|47|48|49|50|52	Hair Top|Hair Long|FaceGen Head|Headband|Eyes|Beard|Mouth|Neck|Scalp	
00154AC0	Armor_PowerArmor_T45_LegLeft	T-45 Left Leg	44	[A] L Leg	
00154AC1	Armor_PowerArmor_T45_LegRight	T-45 Right Leg	45	[A] R Leg	
00154AC2	Armor_PowerArmor_T45_Torso	T-45 Chest Piece	41	[A] Torso	
00154AC3	Armor_PowerArmor_X01_ArmLeft	X-01 Left Arm	42	[A] L Arm	
00154AC4	Armor_PowerArmor_X01_ArmRight	X-01 Right Arm	43	[A] R Arm	
00154AC5	Armor_PowerArmor_X01_Helmet	X-01 Helm	30|31|32|46|47|48|49|50|52	Hair Top|Hair Long|FaceGen Head|Headband|Eyes|Beard|Mouth|Neck|Scalp	
00154AC6	Armor_PowerArmor_X01_LegLeft	X-01 Left Leg	44	[A] L Leg	
00154AC7	Armor_PowerArmor_X01_LegRight	X-01 Right Leg	45	[A] R Leg	
00154AC8	Armor_PowerArmor_X01_Torso	X-01 Torso	41	[A] Torso	
00165602	Headwear_Wig	Pompadour Wig	30|31|46	Hair Top|Hair Long|Headband	
00165792	SMBehemothShield		59	Shield	
0016892C	Armor_Casual_Underarmor_MilitaryFatigues	Military Fatigues	33|36|37|38|39|40	BODY|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
0016892E	Headwear_MilitaryCap	Military Cap	30|46	Hair Top|Headband	
001738AA	Headwear_PoliceGlasses	Patrolman Sunglasses	47	Eyes	
00174D2F	zzzClothes_CasualOutfit	Casual Outfit	57	Coverall	
00178B68	Clothes_Scientist_VariantWasteland	Lab Coat	57	Coverall	
00179F7A	SupermutantBlindfold	Watcher's Bandage	47	Eyes	
001828CC	ATX_Clothes_Unstoppables_GrognakCostume	Grognak Costume	57	Coverall	
00184C4E	SkinAlien		33	BODY	
001852A7	SkinBrahminPackFootsteps		32	FaceGen Head	
0018BB55	SkinTurretMountedClean		33	BODY	
0018E3F7	Armor_RaiderMod_Underarmor_RaiderLeathers	Raider Leathers	33|36|37|38|39|40	BODY|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
0018E40D	Armor_RaiderMod_LegRight	Raider Right Leg	45	[A] R Leg	
0018E40F	Armor_RaiderMod_LegLeft	Raider Left Leg	44	[A] L Leg	
0018E411	Armor_RaiderMod_ArmLeft	Raider Left Arm	42	[A] L Arm	
0018E413	Armor_RaiderMod_ArmRight	Raider Right Arm	43	[A] R Arm	
0018E415	Armor_RaiderMod_Torso	Raider Chest Piece	41	[A] Torso	
0018E417	Headwear_RaiderMod_Hood1	Sack Hood	30|31|46|47|48|49|50	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth|Neck	
0018E419	Headwear_RaiderMod_Hood2	Sack Hood with Hoses	30|31|46|47|48|49|50	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth|Neck	
0018E41B	Headwear_RaiderMod_Hood3	Sack Hood with Straps	30|31|46|47|48|49	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth	
001909D1	ArmorPoweredFrameAtomCat_DONOTDELETE	Powered Armor Frame AtomCat	33|34|35|57|60	BODY|L Hand|R Hand|Coverall|Pipboy	
001909D5	ArmorPoweredFrameWastelander_DONOTDELETE	Powered Armor Frame AtomCat	33|34|35|57|60	BODY|L Hand|R Hand|Coverall|Pipboy	
001909D6	ArmorPoweredFrameRaider_DONOTDELETE	Powered Armor Frame AtomCat	33|34|35|57|60	BODY|L Hand|R Hand|Coverall|Pipboy	
001921D6	ATX_Clothes_CaitOutfit	Cait's Outfit	57	Coverall	
001955A7	SkinDeathclawAlbino		33	BODY	
001955AB	SkinDeathclawAlpha		33	BODY	
001955AE	SkinDeathclawMatriarch		33	BODY	
001955B1	SkinDeathclawSavage		33	BODY	
001955B4	SkinDeathclawGlowing		33	BODY	
00198B13	ArmorPoweredFrameBOS_DONOTDELETE	Powered Armor Frame AtomCat	33|34|35|57|60	BODY|L Hand|R Hand|Coverall|Pipboy	
001999FB	SkinMirelurkRazorClaw		33	BODY	
001999FF	SkinMirelurkGlowing		33	BODY	
0019EFE0	SkinTurretWorkshop		33	BODY	
001A4B24	SkinMirelurkDeepKing	Deep King	33	BODY	
001A4B26	SkinMirelurkGlowingKing	Deep King	33	BODY	
0002B4D7	HandyArtObjectsFX		58|59|60|61	Unnamed|Shield|Pipboy|FX	
0003D414	SkinRadStagAlbino		33	BODY	
0003D417	SkinRadStagCorrupted		33	BODY	
0003D41A	SkinRadStagFawn		33	BODY	
0003D41D	SkinRadStagGlowing		33	BODY	
00042565	ATX_Headwear_FlightHelmet	Yellow Flight Helmet	30|31|46|47|48|49	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth	
0004322C	ATX_Headwear_FlightHelmetRed	Red Flight Helmet	30|31|46|47|48|49	Hair Top|Hair Long|Headband|Eyes|Beard|Mouth	
000498E0	SkinMoleratBroodmother		33	BODY	
0005E148	CreatureClothes_FeralGhoulDressColor		41	[A] Torso	
0005E173	CreatureClothes_FeralGhoulPantsColor		36	[U] Torso	
0005E17B	CreatureClothes_FeralGhoulShortsColor		36	[U] Torso	
0005E186	CreatureClothes_FeralGhoulDressPink		41	[A] Torso	
0006388E	CreatureClothes_FeralGhoulReaverArmor		41	[A] Torso	
00063891	CreatureClothes_FeralGhoulReaverArmor2		41	[A] Torso	
00063895	CreatureClothes_FeralGhoulReaverArmor3		41	[A] Torso	
0007154C	SkinMirelurkSpawn		33	BODY	
00082901	SkinYaoGuaiRabid		33	BODY	
00082902	SkinYaoGuaiGlowing		33	BODY	
00082904	SkinYaoGuaiShaggy		33	BODY	
00082907	SkinYaoGuaiLumbering		33	BODY	
0008290A	SkinYaoGuaiDusky		33	BODY	
000976B7	ATX_Armor_Vault111Clean_Underwear	Vault 111 Jumpsuit - New	33|36|37|38|39|40	BODY|[U] Torso|[U] L Arm|[U] R Arm|[U] L Leg|[U] R Leg	
0009AC97	CUT_Clothes_PrewarSweaterVest_01_Clean	Covert Sweater Vest	57	Coverall	
000A074B	SkinFeralGhoulWitheredHead4		32	FaceGen Head	
000A074C	CreatureClothes_FeralGhoulShortsRndColor		36	[U] Torso	
000A074D	SkinFeralGhoulWithered		33	BODY	
000A0751	CreatureClothes_FeralGhoulArmwrapsRndColor		37|38	[U] L Arm|[U] R Arm	
000A0754	CreatureClothes_FeralGhoulShirtShreddedRndColor		41	[A] Torso	
000A0755	CreatureClothes_FeralGhoulShortsShreddedRndColor		36	[U] Torso	
000A0757	CreatureClothes_FeralGhoulDressRndColor		41	[A] Torso	
000A0758	CreatureClothes_FeralGhoulPantsRndColor		36	[U] Torso	
000A075F	CreatureClothes_FeralGhoulShirtSmallRndColor		41	[A] Torso	
000A0760	CreatureClothes_FeralGhoulShirtRndColor		41	[A] Torso	
000A0761	SkinFeralGhoulWitheredHead3		32	FaceGen Head	
000A0762	SkinFeralGhoulGengrenous		33	BODY	
000A0763	SkinFeralGhoulShadow		33	BODY	
000A0764	CreatureClothes_FeralGhoulShirtSmallBloody		41	[A] Torso	
000A0765	CreatureClothes_FeralGhoulShirtBloody		41	[A] Torso	
000A0766	CreatureClothes_FeralGhoulBloodyHands		51	Ring	
000A0767	SkinFeralGhoulBloodyHead2		32	FaceGen Head	
000A0768	CreatureClothes_FeralGhoulBloodyPants		36	[U] Torso	
000A0769	SkinFeralGhoulWitheredHead2		32	FaceGen Head	
000A076A	SkinFeralGhoulWitheredHead1		32	FaceGen Head	
000A96BA	SkinFeralGhoulGlowingPutridB		33	BODY	
000A96BB	SkinFeralGhoulGlowingPutrid		33	BODY	
000A96BC	SkinFeralGhoulGlowingBloated		33	BODY	
000B03B2	SkinFeralGhoulBubble1c		33	BODY	
000B03B3	SkinFeralGhoulBubble1b		33	BODY	
000B03B4	SkinFeralGhoulHeadBubble1		32	FaceGen Head	
000B03B5	SkinFeralGhoulBubble1a		33	BODY	
000B03B6	SkinBloatflyDark		32|34|37|59|61	FaceGen Head|L Hand|[U] L Arm|Shield|FX	
000B03B7	SkinBloatflyColor		32|34|37|59|61	FaceGen Head|L Hand|[U] L Arm|Shield|FX	
000B03BC	SkinFeralGhoulHeadBubble2		32	FaceGen Head	
000B03BD	SkinFeralGhoulHeadBubble3		32	FaceGen Head	
000B03BE	SkinBloatflyGlow		32|34|37|59|61	FaceGen Head|L Hand|[U] L Arm|Shield|FX	
000B03BF	SkinFeralGhoulHeadBubble4		32	FaceGen Head	
000B03C0	SkinFeralGhoulBubble2b		33	BODY	
000B03C1	SkinFeralGhoulBubble2a		33	BODY	
000B2BF1	SkinRaiderDog		33	BODY	
000BEDF2	SkinBloodbugVampJuvi		32|33|59|60|61	FaceGen Head|BODY|Shield|Pipboy|FX	
000BEDF3	SkinBloodbugVampTeen		32|33|59|60|61	FaceGen Head|BODY|Shield|Pipboy|FX	
