ENCH_FormID	ENCH_EDID	ENCH_FULL	ENIT_Flags	ENIT_CastType	ENIT_TargetType	ENIT_EnchantType	ENIT_ChargeTime	ENIT_EnchantCost	ENIT_EnchantAmount	Effects_Flat	Effect_1	Effect_2	Effect_3	Effect_4	Effect_5	Effect_6	Effect_7	Effect_8	Effect_9	Effect_10	Effect_11	Effect_12	Effect_13	Effect_14	Effect_15	Effect_16	Effect_17	Effect_18	Effect_19	Effect_20	Globals_Flat	Glob_1	Glob_2	Glob_3	Glob_4	Glob_5	Glob_6	Glob_7	Glob_8	Glob_9	Glob_10	ReferencedBy_Flat	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30	Ref_31	Ref_32	Ref_33	Ref_34	Ref_35	Ref_36	Ref_37	Ref_38	Ref_39	Ref_40
0006F12D	"dtElectricalEnchEffectChanceLow"	"Electrical Damage"	"1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=dtElectricalEffectChanceLow[0006F129];FULL=Damage Type Electrical;EffID=0;Mag=5.000000;Dur=3;Area=0;MAGG=[];CVTO=[]"	"MGEF=dtElectricalEffectChanceLow[0006F129];FULL=Damage Type Electrical;EffID=0;Mag=5.000000;Dur=3;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00083ADC	"dtFireEnchFlameChanceLow"	"Fire Damage"	"1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=dtFireFlameEffectChanceLow[0006E51A];FULL=Damage Type Fire;EffID=0;Mag=5.000000;Dur=3;Area=0;MAGG=[];CVTO=[]"	"MGEF=dtFireFlameEffectChanceLow[0006E51A];FULL=Damage Type Fire;EffID=0;Mag=5.000000;Dur=3;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00084A50	"zzz_dtCryoEnchColdChanceAlways"	"Cryo Damage"	"1 | 1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
000856FF	"dtElectricalEnchEffectChanceAlways"	"Electrical Damage"	"1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=dtElectricalEffectChanceAlways[000856FC];FULL=Damage Type Electrical;EffID=0;Mag=5.000000;Dur=3;Area=0;MAGG=[];CVTO=[]"	"MGEF=dtElectricalEffectChanceAlways[000856FC];FULL=Damage Type Electrical;EffID=0;Mag=5.000000;Dur=3;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
00085700	"ench_LegendaryWeapon_DamagePoison"	"Poison Damage"	"1 | 1"	"Fire and Forget"	"Contact"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=dtPoisonEffectChanceAlways[000856FA];FULL=Damage Type Poison;EffID=0;Mag=5.000000;Dur=10;Area=0;MAGG=[];CVTO=[]"	"MGEF=dtPoisonEffectChanceAlways[000856FA];FULL=Damage Type Poison;EffID=0;Mag=5.000000;Dur=10;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OMOD:Poisoner's[004F5778]"	"OMOD:Poisoner's[004F5778]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
0008EFB5	"EnchPowerArmor_CheapSprint"	"Cheap Sprint"	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=PowerArmorCheapSprintEffect[0008EFB6];FULL=Power Armor Cheap Sprint;EffID=0;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=PowerArmorCheapSprintEffect[0008EFB6];FULL=Power Armor Cheap Sprint;EffID=0;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
000BA431	"mod_Lining_ReinforcedLimbs_Enchantment"	""	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=mod_Lining_ReinforcedLimbs_MagicEffect[000BA430];FULL=Reinforced Limbs;EffID=;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=mod_Lining_ReinforcedLimbs_MagicEffect[000BA430];FULL=Reinforced Limbs;EffID=;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
000BA438	"mod_Lining_Cushioned_Enchantment"	""	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=mod_Lining_Cushioned_MagicEffect[000BA437];FULL=Cushioned Lining;EffID=;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=mod_Lining_Cushioned_MagicEffect[000BA437];FULL=Cushioned Lining;EffID=;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
000BA442	"mod_Lining_LightBuild_Enchantment"	""	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=mod_Lining_LighterBuild_MagicEffect[000BA441];FULL=Lighter Build;EffID=;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=mod_Lining_LighterBuild_MagicEffect[000BA441];FULL=Lighter Build;EffID=;Mag=0.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
000BA452	"mod_Lining_FieldGen_Radiation_CloakEnchantment_1"	"Field Gen Radiation 1"	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=mod_Lining_FieldGen_Radiation_CloakEffect_1[000BA451];FULL=FieldGen Radiation Cloak 1;EffID=0;Mag=10.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=mod_Lining_FieldGen_Radiation_CloakEffect_1[000BA451];FULL=FieldGen Radiation Cloak 1;EffID=0;Mag=10.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
000BA45A	"mod_Lining_FieldGen_Radiation_CloakEnchantment_2"	"Field Gen Radiation 2"	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=mod_Lining_FieldGen_Radiation_CloakEffect_2[000BA45D];FULL=FieldGen Radiation Cloak 2;EffID=0;Mag=10.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=mod_Lining_FieldGen_Radiation_CloakEffect_2[000BA45D];FULL=FieldGen Radiation Cloak 2;EffID=0;Mag=10.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
000BA45B	"mod_Lining_FieldGen_Radiation_CloakEnchantment_3"	"Field Gen Radiation 3"	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=mod_Lining_FieldGen_Radiation_CloakEffect_3[000BA45F];FULL=FieldGen Radiation Cloak 3;EffID=0;Mag=10.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=mod_Lining_FieldGen_Radiation_CloakEffect_3[000BA45F];FULL=FieldGen Radiation Cloak 3;EffID=0;Mag=10.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
000BA45C	"mod_Lining_FieldGen_Radiation_CloakEnchantment_4"	"Field Gen Radiation 4"	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=mod_Lining_FieldGen_Radiation_CloakEffect_4[000BA460];FULL=FieldGen Radiation Cloak 4;EffID=0;Mag=10.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=mod_Lining_FieldGen_Radiation_CloakEffect_4[000BA460];FULL=FieldGen Radiation Cloak 4;EffID=0;Mag=10.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
000BA469	"mod_Lining_FieldGen_EMP_CloakEnchantment_1"	"Field Gen EMP 1"	""	"Constant Effect"	"Self"	"Enchantment"	"0.000000"	"0"	"0"	"Effect1:MGEF=mod_Lining_FieldGen_EMP_CloakEffect_1[000BA465];FULL=FieldGen EMP Cloak 1;EffID=0;Mag=10.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	"MGEF=mod_Lining_FieldGen_EMP_CloakEffect_1[000BA465];FULL=FieldGen EMP Cloak 1;EffID=0;Mag=10.000000;Dur=0;Area=0;MAGG=[];CVTO=[]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
