LVLI_FormID	LVLI_EDID	LVLF_Flags	EntryCount	EntryIndex	LVLO_Reference	RefSig	SubLVLI_FormID	ListChanceNoneValue	ListChanceNoneGlobal	ListChanceNoneCurve	ListChanceNoneResolved	EntryChanceNoneValue	EntryChanceNoneGlobal	EntryChanceNoneCurve	EntryChanceNoneResolved	EntryCondChance_RandomPercent	EntryPresenceChance	EntryAprioriChance_NoSublist
00006802	RNG_MtnRemRocksMixedDark	0000000000000000000000000000000000000000000000000000000000000000	7	0	0001414D:MtnRemoval_RockCrushed01:STAT	STAT										1	1	1
00006802	RNG_MtnRemRocksMixedDark	0000000000000000000000000000000000000000000000000000000000000000	7	1	0001414E:MtnRemoval_RockCrushed02:STAT	STAT										1	1	1
00006802	RNG_MtnRemRocksMixedDark	0000000000000000000000000000000000000000000000000000000000000000	7	2	0001414F:MtnRemoval_RockCrushed03:STAT	STAT										1	1	1
00006802	RNG_MtnRemRocksMixedDark	0000000000000000000000000000000000000000000000000000000000000000	7	3	00014150:MtnRemoval_RockCrushed04:STAT	STAT										1	1	1
00006802	RNG_MtnRemRocksMixedDark	0000000000000000000000000000000000000000000000000000000000000000	7	4	0012D60C:MtnRemoval_RockBoulder01Dark:STAT	STAT										1	1	1
00006802	RNG_MtnRemRocksMixedDark	0000000000000000000000000000000000000000000000000000000000000000	7	5	0012D60D:MtnRemoval_RockBoulder02Dark:STAT	STAT										1	1	1
00006802	RNG_MtnRemRocksMixedDark	0000000000000000000000000000000000000000000000000000000000000000	7	6	0012D60E:MtnRemoval_RockBoulder03Dark:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	0	0013384D:Bramble01:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	1	00004218:MtnTopCreosote01:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	2	0011058D:Bramble01_DLC03_01:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	3	00004219:MtnTopCreosote02:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	4	0013384E:Bramble02:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	5	0012D60C:MtnRemoval_RockBoulder01Dark:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	6	0012D60D:MtnRemoval_RockBoulder02Dark:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	7	0012D60E:MtnRemoval_RockBoulder03Dark:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	8	00133859:Forsythia01:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	9	00004218:MtnTopCreosote01:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	10	00004219:MtnTopCreosote02:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	11	0013384D:Bramble01:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	12	0013384E:Bramble02:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	13	0012D60C:MtnRemoval_RockBoulder01Dark:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	14	0012D60D:MtnRemoval_RockBoulder02Dark:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	15	0012D60E:MtnRemoval_RockBoulder03Dark:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	16	000D9CAA:TreeElmUndergrowth01Static:STAT	STAT										1	1	1
00006803	RNG_MtnRemRocksBoulderDark&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	17	000D9CAB:TreeElmUndergrowth02Static:STAT	STAT										1	1	1
00006809	RNG_MtnRemRocksBoulderDarkSC&Single	0000000000000000000000000000000000000000000000000000000000000000	7	0	0012D60C:MtnRemoval_RockBoulder01Dark:STAT	STAT										1	1	1
00006809	RNG_MtnRemRocksBoulderDarkSC&Single	0000000000000000000000000000000000000000000000000000000000000000	7	1	0012D60D:MtnRemoval_RockBoulder02Dark:STAT	STAT										1	1	1
00006809	RNG_MtnRemRocksBoulderDarkSC&Single	0000000000000000000000000000000000000000000000000000000000000000	7	2	0012D60E:MtnRemoval_RockBoulder03Dark:STAT	STAT										1	1	1
00006809	RNG_MtnRemRocksBoulderDarkSC&Single	0000000000000000000000000000000000000000000000000000000000000000	7	3	0008E010:MtnRemoval_RockBoulderSC01Dark:SCOL	SCOL										1	1	1
00006809	RNG_MtnRemRocksBoulderDarkSC&Single	0000000000000000000000000000000000000000000000000000000000000000	7	4	0008E011:MtnRemoval_RockBoulderSC02Dark:SCOL	SCOL										1	1	1
00006809	RNG_MtnRemRocksBoulderDarkSC&Single	0000000000000000000000000000000000000000000000000000000000000000	7	5	0008E012:MtnRemoval_RockBoulderSC03Dark:SCOL	SCOL										1	1	1
00006809	RNG_MtnRemRocksBoulderDarkSC&Single	0000000000000000000000000000000000000000000000000000000000000000	7	6	001C79CB:MtnRemoval_RockBoulderSC04Dark:SCOL	SCOL										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	0	0013384D:Bramble01:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	1	00004218:MtnTopCreosote01:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	2	0011058D:Bramble01_DLC03_01:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	3	00004219:MtnTopCreosote02:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	4	0013384E:Bramble02:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	5	0012D617:MtnRemoval_RockBoulder01Light:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	6	0012D618:MtnRemoval_RockBoulder02Light:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	7	0012D615:MtnRemoval_RockBoulder03Light:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	8	00133859:Forsythia01:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	9	00004218:MtnTopCreosote01:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	10	00004219:MtnTopCreosote02:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	11	0013384D:Bramble01:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	12	0013384E:Bramble02:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	13	0012D617:MtnRemoval_RockBoulder01Light:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	14	0012D618:MtnRemoval_RockBoulder02Light:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	15	0012D615:MtnRemoval_RockBoulder03Light:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	16	000D9CAA:TreeElmUndergrowth01Static:STAT	STAT										1	1	1
0000683A	RNG_MtnRemRocksBoulderLight&ShrubsSmall	0000000000000000000000000000000000000000000000000000000000000000	18	17	000D9CAB:TreeElmUndergrowth02Static:STAT	STAT										1	1	1
0000683B	RNG_MtnRemRocksBoulderLightSC&Single	0000000000000000000000000000000000000000000000000000000000000000	6	0	0012D617:MtnRemoval_RockBoulder01Light:STAT	STAT										1	1	1
0000683B	RNG_MtnRemRocksBoulderLightSC&Single	0000000000000000000000000000000000000000000000000000000000000000	6	1	0012D618:MtnRemoval_RockBoulder02Light:STAT	STAT										1	1	1
0000683B	RNG_MtnRemRocksBoulderLightSC&Single	0000000000000000000000000000000000000000000000000000000000000000	6	2	0012D615:MtnRemoval_RockBoulder03Light:STAT	STAT										1	1	1
0000683B	RNG_MtnRemRocksBoulderLightSC&Single	0000000000000000000000000000000000000000000000000000000000000000	6	3	001C79CD:MtnRemoval_RockBoulderSC02Light:SCOL	SCOL										1	1	1
0000683B	RNG_MtnRemRocksBoulderLightSC&Single	0000000000000000000000000000000000000000000000000000000000000000	6	4	001C79CE:MtnRemoval_RockBoulderSC03Light:SCOL	SCOL										1	1	1
0000683B	RNG_MtnRemRocksBoulderLightSC&Single	0000000000000000000000000000000000000000000000000000000000000000	6	5	001C79CF:MtnRemoval_RockBoulderSC04Light:SCOL	SCOL										1	1	1
00006FB6	LL_76Chargen_Crate_Vault76_Start	001	11	0	00023736:Stimpak:ALCH	ALCH										1	1	1
00006FB6	LL_76Chargen_Crate_Vault76_Start	001	11	1	00024057:RadX:ALCH	ALCH										1	1	1
00006FB6	LL_76Chargen_Crate_Vault76_Start	001	11	2	0001F276:Ammo10mm:AMMO	AMMO										1	1	1
00006FB6	LL_76Chargen_Crate_Vault76_Start	001	11	3	000366C0:WaterPurified:ALCH	ALCH										1	1	1
00006FB6	LL_76Chargen_Crate_Vault76_Start	001	11	4	003577A5:LPI_76CharGenONLY_Kiosk_Weapon_Melee_Hatchet:LVLI	LVLI	003577A5									1	1	1
00006FB6	LL_76Chargen_Crate_Vault76_Start	001	11	5	00023742:RadAway:ALCH	ALCH										1	1	1
00006FB6	LL_76Chargen_Crate_Vault76_Start	001	11	6	001BF72E:c_Adhesive_scrap:MISC	MISC										1	1	1
00006FB6	LL_76Chargen_Crate_Vault76_Start	001	11	7	000AEC5F:c_Cloth_scrap:MISC	MISC										1	1	1
00006FB6	LL_76Chargen_Crate_Vault76_Start	001	11	8	000731A4:c_Steel_scrap:MISC	MISC										1	1	1
00006FB6	LL_76Chargen_Crate_Vault76_Start	001	11	9	000731A3:c_Wood_scrap:MISC	MISC										1	1	1
00006FB6	LL_76Chargen_Crate_Vault76_Start	001	11	10	003577A4:LPI_76CharGenONLY_Kiosk_Weapon_Ranged_10mm_SemiAuto:LVLI	LVLI	003577A4									1	1	1
00006FB7	LLS_Loot_Corpse_Weapon_Settler	11	6	0	00032B0B:LL_Weapon_Ranged_PipeGun_Pistol_SemiAuto:LVLI	LVLI	00032B0B	0.000000			0.000000	0.000000	0039E1C1:MinLvl_PipeGun_Pistol_SemiAuto_ECON:GLOB		1.000000	1	0.99	0.99
00006FB7	LLS_Loot_Corpse_Weapon_Settler	11	6	1	00165003:LL_Weapon_Ranged_PipeRevolver_Pistol:LVLI	LVLI	00165003	0.000000			0.000000	0.000000	0039DDF0:MinLvl_PipeRevolver_Pistol_SemiAuto_ECON:GLOB		1.000000	1	0.99	0.99
00006FB7	LLS_Loot_Corpse_Weapon_Settler	11	6	2	001ACFBB:LL_Weapon_Ranged_44:LVLI	LVLI	001ACFBB	0.000000			0.000000	0.000000	00535D2D:MinLvl_44_Scoped_ECON:GLOB		5.000000	1	0.95	0.95
00006FB7	LLS_Loot_Corpse_Weapon_Settler	11	6	3	0033AB5A:LL_Weapon_Ranged_10mm_Auto:LVLI	LVLI	0033AB5A	0.000000			0.000000	0.000000	00535D2A:MinLvl_10mm_Auto_ECON:GLOB		10.000000	1	0.9	0.9
00006FB7	LLS_Loot_Corpse_Weapon_Settler	11	6	4	0033AB77:LL_Weapon_Ranged_HuntingRifle:LVLI	LVLI	0033AB77	0.000000			0.000000	0.000000	00535D2A:MinLvl_10mm_Auto_ECON:GLOB		10.000000	1	0.9	0.9
00006FB7	LLS_Loot_Corpse_Weapon_Settler	11	6	5	00188A71:LL_Weapon_Ranged_DoubleBarrelShotgun:LVLI	LVLI	00188A71	0.000000			0.000000	0.000000	00535D43:MinLvl_DoubleBarrelShotgun_ECON:GLOB		15.000000	1	0.85	0.85
00007363	LL_Armor_PowerArmor_T60_Set_President	001	6	0	0050FEA6:zzzLL_Armor_PowerArmor_T60_Presidential_ArmLeft:LVLI	LVLI	0050FEA6									1	1	1
00007363	LL_Armor_PowerArmor_T60_Set_President	001	6	1	0050FEA7:zzzLL_Armor_PowerArmor_T60_Presidential_ArmRight:LVLI	LVLI	0050FEA7									1	1	1
00007363	LL_Armor_PowerArmor_T60_Set_President	001	6	2	0050FEA8:zzzLL_Armor_PowerArmor_T60_Presidential_Helmet:LVLI	LVLI	0050FEA8									1	1	1
00007363	LL_Armor_PowerArmor_T60_Set_President	001	6	3	0050FEA9:zzzLL_Armor_PowerArmor_T60_Presidential_LegLeft:LVLI	LVLI	0050FEA9									1	1	1
00007363	LL_Armor_PowerArmor_T60_Set_President	001	6	4	0050FEAA:zzzLL_Armor_PowerArmor_T60_Presidential_LegRight:LVLI	LVLI	0050FEAA									1	1	1
00007363	LL_Armor_PowerArmor_T60_Set_President	001	6	5	0050FEAD:zzzLL_Armor_PowerArmor_T60_Presidential_Torso:LVLI	LVLI	0050FEAD									1	1	1
00007973	LL_Ammo_50CaliberBall	11	3	0	0000796E:Ammo50CaliberBall:AMMO	AMMO		0.000000			0.000000	0.000000			0.000000	1	1	1
00007973	LL_Ammo_50CaliberBall	11	3	1	0000796E:Ammo50CaliberBall:AMMO	AMMO		0.000000			0.000000	0.000000			0.000000	1	1	1
00007973	LL_Ammo_50CaliberBall	11	3	2	0000796E:Ammo50CaliberBall:AMMO	AMMO		0.000000			0.000000	0.000000			0.000000	1	1	1
00008999	RNG_ToxicSteamPlumes	0000000000000000000000000000000000000000000000000000000000000000	4	0	00014000:ToxicLakeSteamPlume01:MSTT	MSTT		0.000000			0.000000	0.000000			0.000000	1	1	1
00008999	RNG_ToxicSteamPlumes	0000000000000000000000000000000000000000000000000000000000000000	4	1	00014001:ToxicLakeSteamPlume01Large:MSTT	MSTT		0.000000			0.000000	0.000000			0.000000	1	1	1
00008999	RNG_ToxicSteamPlumes	0000000000000000000000000000000000000000000000000000000000000000	4	2	00014002:ToxicLakeSteamPlume02:MSTT	MSTT		0.000000			0.000000	0.000000			0.000000	1	1	1
00008999	RNG_ToxicSteamPlumes	0000000000000000000000000000000000000000000000000000000000000000	4	3	00014003:ToxicLakeSteamPlume03:MSTT	MSTT		0.000000			0.000000	0.000000			0.000000	1	1	1
0000CF15	LL_Ammo_PlasmaCore	11	5	0	0001EC49:AmmoPlasmaCore:AMMO	AMMO		0.000000			0.000000	0.000000			0.000000	1	1	1
0000CF15	LL_Ammo_PlasmaCore	11	5	1	0001EC49:AmmoPlasmaCore:AMMO	AMMO		0.000000			0.000000	0.000000			0.000000	1	1	1
0000CF15	LL_Ammo_PlasmaCore	11	5	2	0001EC49:AmmoPlasmaCore:AMMO	AMMO		0.000000			0.000000	0.000000			0.000000	1	1	1
0000CF15	LL_Ammo_PlasmaCore	11	5	3	0001EC49:AmmoPlasmaCore:AMMO	AMMO		0.000000			0.000000	0.000000			0.000000	1	1	1
0000CF15	LL_Ammo_PlasmaCore	11	5	4	0001EC49:AmmoPlasmaCore:AMMO	AMMO		0.000000			0.000000	0.000000			0.000000	1	1	1
0000E0E0	RNG_MtnTopRockBoulders	0000000000000000000000000000000000000000000000000000000000000000	3	0	00093DAC:MtnTopRockBoulder01:STAT	STAT										1	1	1
0000E0E0	RNG_MtnTopRockBoulders	0000000000000000000000000000000000000000000000000000000000000000	3	1	00093DAD:MtnTopRockBoulder02:STAT	STAT										1	1	1
0000E0E0	RNG_MtnTopRockBoulders	0000000000000000000000000000000000000000000000000000000000000000	3	2	0000E0B9:MtnTopRockBoulder03:STAT	STAT										1	1	1
0000E0E2	RNG_MtnTopTreeRedPineLarge	0000000000000000000000000000000000000000000000000000000000000000	4	0	000041FE:MtnTopRedPineLG01:STAT	STAT										1	1	1
0000E0E2	RNG_MtnTopTreeRedPineLarge	0000000000000000000000000000000000000000000000000000000000000000	4	1	000041FF:MtnTopRedPineLG02:STAT	STAT										1	1	1
0000E0E2	RNG_MtnTopTreeRedPineLarge	0000000000000000000000000000000000000000000000000000000000000000	4	2	00004201:MtnTopRedPineLG03:STAT	STAT										1	1	1
0000E0E2	RNG_MtnTopTreeRedPineLarge	0000000000000000000000000000000000000000000000000000000000000000	4	3	00004202:MtnTopRedPineLG04:STAT	STAT										1	1	1
0000E0E3	RNG_MtnTopTreeRedPineMedSmall	0000000000000000000000000000000000000000000000000000000000000000	4	0	00004204:MtnTopRedPineMed01:STAT	STAT										1	1	1
0000E0E3	RNG_MtnTopTreeRedPineMedSmall	0000000000000000000000000000000000000000000000000000000000000000	4	1	00004205:MtnTopRedPineMed02:STAT	STAT										1	1	1
0000E0E3	RNG_MtnTopTreeRedPineMedSmall	0000000000000000000000000000000000000000000000000000000000000000	4	2	00004206:MtnTopRedPineSM01:STAT	STAT										1	1	1
0000E0E3	RNG_MtnTopTreeRedPineMedSmall	0000000000000000000000000000000000000000000000000000000000000000	4	3	00004207:MtnTopRedPineSM02:STAT	STAT										1	1	1
0000E0E4	RNG_MtnTopTreePineStumps	0000000000000000000000000000000000000000000000000000000000000000	2	0	00004208:MtnTopRedPineStump01:STAT	STAT										1	1	1
0000E0E4	RNG_MtnTopTreePineStumps	0000000000000000000000000000000000000000000000000000000000000000	2	1	00004209:MtnTopRedPineStump02:STAT	STAT										1	1	1
0000E0E7	RNG_MtnTopShrubsBrambleSmall	0000000000000000000000000000000000000000000000000000000000000000	4	0	0013384D:Bramble01:STAT	STAT										1	1	1
0000E0E7	RNG_MtnTopShrubsBrambleSmall	0000000000000000000000000000000000000000000000000000000000000000	4	1	0011058D:Bramble01_DLC03_01:STAT	STAT										1	1	1
0000E0E7	RNG_MtnTopShrubsBrambleSmall	0000000000000000000000000000000000000000000000000000000000000000	4	2	0013384E:Bramble02:STAT	STAT										1	1	1
0000E0E7	RNG_MtnTopShrubsBrambleSmall	0000000000000000000000000000000000000000000000000000000000000000	4	3	0011058E:Bramble02_DLC03_01:STAT	STAT										1	1	1
0000E0E9	RNG_MtnTopShrubsCreosoteSM	0000000000000000000000000000000000000000000000000000000000000000	3	0	00004218:MtnTopCreosote01:STAT	STAT										1	1	1
0000E0E9	RNG_MtnTopShrubsCreosoteSM	0000000000000000000000000000000000000000000000000000000000000000	3	1	00004219:MtnTopCreosote02:STAT	STAT										1	1	1
0000E0E9	RNG_MtnTopShrubsCreosoteSM	0000000000000000000000000000000000000000000000000000000000000000	3	2	0000421A:MtnTopCreosote03:STAT	STAT										1	1	1
0000E0EA	RNG_MtnTopShrubsCreosoteLG	0000000000000000000000000000000000000000000000000000000000000000	2	0	00004215:MtnTopCreosote04:STAT	STAT										1	1	1
0000E0EA	RNG_MtnTopShrubsCreosoteLG	0000000000000000000000000000000000000000000000000000000000000000	2	1	00004216:MtnTopCreosote05:STAT	STAT										1	1	1
0000E108	RNG_DeadShrubLG	0000000000000000000000000000000000000000000000000000000000000000	8	0	00133858:DeadShrub06:STAT	STAT										1	1	1
0000E108	RNG_DeadShrubLG	0000000000000000000000000000000000000000000000000000000000000000	8	1	00133857:DeadShrub05:STAT	STAT										1	1	1
0000E108	RNG_DeadShrubLG	0000000000000000000000000000000000000000000000000000000000000000	8	2	00133856:DeadShrub04:STAT	STAT										1	1	1
0000E108	RNG_DeadShrubLG	0000000000000000000000000000000000000000000000000000000000000000	8	3	00133858:DeadShrub06:STAT	STAT										1	1	1
0000E108	RNG_DeadShrubLG	0000000000000000000000000000000000000000000000000000000000000000	8	4	00133857:DeadShrub05:STAT	STAT										1	1	1
0000E108	RNG_DeadShrubLG	0000000000000000000000000000000000000000000000000000000000000000	8	5	00133858:DeadShrub06:STAT	STAT										1	1	1
0000E108	RNG_DeadShrubLG	0000000000000000000000000000000000000000000000000000000000000000	8	6	00133857:DeadShrub05:STAT	STAT										1	1	1
0000E108	RNG_DeadShrubLG	0000000000000000000000000000000000000000000000000000000000000000	8	7	00133853:DeadShrub01:STAT	STAT										1	1	1
0000E109	RNG_DeadShrubSmall	0000000000000000000000000000000000000000000000000000000000000000	5	0	00133853:DeadShrub01:STAT	STAT										1	1	1
0000E109	RNG_DeadShrubSmall	0000000000000000000000000000000000000000000000000000000000000000	5	1	00133853:DeadShrub01:STAT	STAT										1	1	1
0000E109	RNG_DeadShrubSmall	0000000000000000000000000000000000000000000000000000000000000000	5	2	00133854:DeadShrub02:STAT	STAT										1	1	1
0000E109	RNG_DeadShrubSmall	0000000000000000000000000000000000000000000000000000000000000000	5	3	00133854:DeadShrub02:STAT	STAT										1	1	1
0000E109	RNG_DeadShrubSmall	0000000000000000000000000000000000000000000000000000000000000000	5	4	00133855:DeadShrub03:STAT	STAT										1	1	1
0000E121	test_RNG_Test	0000000000000000000000000000000000000000000000000000000000000000	6	0	0000BAF9:CranberryShrub01:STAT	STAT		0.000000			0.000000	0.000000			0.000000	1	1	1
0000E121	test_RNG_Test	0000000000000000000000000000000000000000000000000000000000000000	6	1	0000BAF9:CranberryShrub01:STAT	STAT		0.000000			0.000000	0.000000			0.000000	1	1	1
0000E121	test_RNG_Test	0000000000000000000000000000000000000000000000000000000000000000	6	2	0000BAF9:CranberryShrub01:STAT	STAT		0.000000			0.000000	0.000000			0.000000	1	1	1
0000E121	test_RNG_Test	0000000000000000000000000000000000000000000000000000000000000000	6	3	0000BAF9:CranberryShrub01:STAT	STAT		0.000000			0.000000	0.000000			0.000000	1	1	1
0000E121	test_RNG_Test	0000000000000000000000000000000000000000000000000000000000000000	6	4	0000BAF9:CranberryShrub01:STAT	STAT		0.000000			0.000000	0.000000			0.000000	1	1	1
