FormID	EDID	ParentQuestDisplay	ParentQuestLink	RewardsCount	RewardIndex	RewardedItemIndex	RewardedItem	RewardedItemCount	NAM7_XPGlobal	NAM8_CapsGlobal	XPCT_XPCurveTable	QRCO_CurrencyObject	QRLI_LegendaryItemRewardList	QRLR_LegendaryItemRewardRank	QRRI_LegendaryRankRandom	Conditions	ConditionGlobs	ReferencedByCount	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6	Ref7	Ref8	Ref9	Ref10	Ref11	Ref12	Ref13	Ref14	Ref15	Ref16	Ref17	Ref18	Ref19	Ref20	Ref21	Ref22	Ref23	Ref24	Ref25	Ref26	Ref27	Ref28	Ref29	Ref30	Ref31	Ref32	Ref33	Ref34	Ref35	Ref36	Ref37	Ref38	Ref39	Ref40	Ref41	Ref42	Ref43	Ref44	Ref45	Ref46	Ref47	Ref48	Ref49	Ref50	Ref51	Ref52	Ref53	Ref54	Ref55	Ref56	Ref57	Ref58	Ref59	Ref60	Ref61	Ref62	Ref63	Ref64	Ref65	Ref66	Ref67	Ref68	Ref69	Ref70	Ref71	Ref72	Ref73	Ref74	Ref75	Ref76	Ref77	Ref78	Ref79	Ref80	Ref81	Ref82	Ref83	Ref84	Ref85	Ref86	Ref87	Ref88	Ref89	Ref90	Ref91	Ref92	Ref93	Ref94	Ref95	Ref96	Ref97	Ref98	Ref99	Ref100	Ref101	Ref102	Ref103	Ref104	Ref105	Ref106	Ref107	Ref108	Ref109	Ref110	Ref111	Ref112	Ref113	Ref114	Ref115	Ref116	Ref117	Ref118	Ref119	Ref120	Ref121	Ref122	Ref123	Ref124	Ref125	Ref126	Ref127	Ref128	Ref129	Ref130	Ref131	Ref132
00631053	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_DailyOps_Elder			1	0	-1						0000000F:Caps001:CNCY		1				1	005EBE8E:CUT_SCORE_Challenge_Weekly_QuestComplete_DailyOps_Elder:CHAL																																																																																																																																			
00630FC4	ChallengeReward_SCORE_Challenge_Daily_Collect_Holotape			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F34	ChallengeReward_Challenge_Lifetime_Craft_Drink_Intro			1	0	0	000366C0:WaterPurified:ALCH	5				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1				1	00437FED:Challenge_Lifetime_Craft_Drink_Intro:CHAL																																																																																																																																			
00631029	ChallengeReward_SCORE_Challenge_Weekly_BuildSupplies_META			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00631028	ChallengeReward_SCORE_Challenge_Daily_XP			1	0	-1						0000000F:Caps001:CNCY		1				1	005E4B4E:SCORE_Challenge_Daily_XP:CHAL																																																																																																																																			
00630FFD	ChallengeReward_SCORE_Challenge_Daily_Kill_Wendigo			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
0063106F	ChallengeReward_SCORE_Challenge_Weekly_Shelters_Visit_Self			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FC0	ChallengeReward_SCORE_Challenge_Daily_CAMPS_Build_Structures			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FC8	ChallengeReward_SCORE_Challenge_Daily_Collect_Wood			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00631000	ChallengeReward_SCORE_Challenge_Daily_Mod_Armor			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
0063100E	ChallengeReward_SCORE_Challenge_Daily_QuestComplete_Event_Encryptid			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F54	ChallengeReward_Challenge_Lifetime_Mod_Armor_Intro			1	0	0	003CF08B:Bulk_Adhesive_scrap:MISC	1				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1				1	0050DC32:Challenge_Lifetime_Mod_Armor_Intro:CHAL																																																																																																																																			
00631036	ChallengeReward_SCORE_Challenge_Weekly_Collect_PurifiedWater			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FA5	ChallengeReward_CUT_Challenge_Weekly_Craft_Alcohol_Meta_Low_Brewing_Spotlight			1	0	0	003F4749:Recipe_Workshop_Crafting_Brewing_BeerKeg:BOOK	1				0000000F:Caps001:CNCY		1				1	004124B1:CUT_Challenge_Weekly_Craft_Alcohol_Meta_Low_Brewing_Spotlight:CHAL																																																																																																																																			
00630FE5	ChallengeReward_SCORE_Challenge_Daily_JoinGroup			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00631016	ChallengeReward_SCORE_Challenge_Daily_RankGated_XP_Post100			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
0063104A	ChallengeReward_SCORE_Challenge_Weekly_Kill_Cultists			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FDD	ChallengeReward_SCORE_Challenge_Daily_GainScrap_Rubber			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00631059	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Event_Encryptid			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00631069	ChallengeReward_SCORE_Challenge_Weekly_RankGated_XP_Under75			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FFC	ChallengeReward_SCORE_Challenge_Daily_Kill_SuperMutants			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FF8	ChallengeReward_SCORE_Challenge_Daily_Kill_Scorched			1	0	-1						0000000F:Caps001:CNCY		1				1	0079729B:SCORE_Challenge_Daily_Kill_Lost:CHAL																																																																																																																																			
0063104F	ChallengeReward_SCORE_Challenge_Weekly_Kill_Robots_META			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FDC	ChallengeReward_SCORE_Challenge_Daily_GainScrap_Plastic			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FBC	ChallengeReward_DONOTUSE_Challenge_Weekly_QuestComplete_Events_Survival			1	0	0	00403023:Survival_LeverGun_SoleSurvivor:WEAP	1				0000000F:Caps001:CNCY		1				1	003FC08A:CUT_Challenge_Weekly_QuestComplete_Events_Survival:CHAL																																																																																																																																			
00630F6F	ChallengeReward_Challenge_Lifetime_RecipesLearned_ArmorWeapon_Intro			1	0	0	0041ADEC:Utility_RepairKit_Improved:UTIL	1				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1				1	0050DBAB:Challenge_Lifetime_RecipesLearned_ArmorWeapon_Intro:CHAL																																																																																																																																			
0063106A	ChallengeReward_SCORE_Challenge_Weekly_Repair			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
0063104C	ChallengeReward_SCORE_Challenge_Weekly_Kill_HugeCreatures_META			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FBD	ChallengeReward_SCORE_Challenge_Daily_CAMPS_Build_Decor			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FEB	ChallengeReward_SCORE_Challenge_Daily_Kill_Creatures_while_Group			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00631013	ChallengeReward_SCORE_Challenge_Daily_QuestComplete_Event_Seasonal_Meat_Hunt			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FC6	ChallengeReward_SCORE_Challenge_Daily_Collect_PurifiedWater			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
0063105A	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Event_Habitat			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
0063103D	ChallengeReward_SCORE_Challenge_Weekly_Consume_NukaCola			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
0063103A	ChallengeReward_SCORE_Challenge_Weekly_Consume_Food_Cooked			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F36	ChallengeReward_Challenge_Lifetime_CraftScrap_Weapon_Tiers_Melee_Intro			1	0	0	003CF08B:Bulk_Adhesive_scrap:MISC	1				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1				3	0050DBAF:Challenge_Lifetime_CraftScrap_Weapon_Tiers_Melee_Intro:CHAL	008411D2:zzzBurn_Challenge_Lifetime_Craft_Equipment_SUB_IncubatorBackpack:CHAL	008411D5:zzzBurn_Challenge_Lifetime_Craft_Equipment_SUB_DeathclawTamerOutfit:CHAL																																																																																																																																	
00630FBB	ChallengeReward_DONOTUSE_Challenge_Weekly_Kill_Legendary_Enemies_Survival			1	0	0	00403021:Survival_M79_CrushingBlow:WEAP	1				0000000F:Caps001:CNCY		1				1	003FC088:CUT_Challenge_Weekly_Kill_Legendary_Enemies_Survival:CHAL																																																																																																																																			
00630F2E	ChallengeReward_Challenge_Lifetime_CampsPlaced_Lowest_Intro			1	0	-1				0054E3CF:Caps_Challenge_Reward_CampsPlaced:GLOB		0000000F:Caps001:CNCY		1				1	0050D5AB:Challenge_Lifetime_CampsPlaced_Lowest_Intro:CHAL																																																																																																																																			
0063105B	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Event_Radiation			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F3C	ChallengeReward_Challenge_Lifetime_LevelUp_Level_004			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1				1	0050C623:Challenge_Lifetime_LevelUp_Level_004:CHAL																																																																																																																																			
0063103B	ChallengeReward_SCORE_Challenge_Weekly_Consume_Food_MeatBased			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FC9	ChallengeReward_SCORE_Challenge_Daily_Consume_Alcohol_Med_Brewing			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FF0	ChallengeReward_SCORE_Challenge_Daily_Kill_FeralGhouls			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
0063104E	ChallengeReward_SCORE_Challenge_Weekly_Kill_LegendaryCreatures			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F3B	ChallengeReward_Challenge_Lifetime_Kill_Robots_Intro			1	0	0	00023736:Stimpak:ALCH	3				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1				1	0050C618:Challenge_Lifetime_Kill_Robots_Intro:CHAL																																																																																																																																			
00630F6E	ChallengeReward_Challenge_Lifetime_RecipeLearned_Intro			1	0	-1				0054E3CE:Caps_Challenge_Reward_RecipeLearned:GLOB		0000000F:Caps001:CNCY		1				1	004869E9:Challenge_Lifetime_RecipeLearned_Intro:CHAL																																																																																																																																			
00631070	ChallengeReward_SCORE_Challenge_Weekly_Trade			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FE7	ChallengeReward_SCORE_Challenge_Daily_Kill_Creatures			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
0063106B	ChallengeReward_SCORE_Challenge_Weekly_Scrap_PrewarMoney			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FF4	ChallengeReward_SCORE_Challenge_Daily_Kill_Mirelurks			1	0	-1						0000000F:Caps001:CNCY		1				1	007AE554:ATX_DE2024_ScienceOfLove_Week2_Challenge_Deal_Damage_Energy:CHAL																																																																																																																																			
00630F3F	ChallengeReward_Challenge_Lifetime_LevelUp_Level_010			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1				1	0050C626:Challenge_Lifetime_LevelUp_Level_010:CHAL																																																																																																																																			
0063105E	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Event_Seasonal_Meat_BBQ			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630F3E	ChallengeReward_Challenge_Lifetime_LevelUp_Level_008			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1				1	0050C625:Challenge_Lifetime_LevelUp_Level_008:CHAL																																																																																																																																			
00630F3D	ChallengeReward_Challenge_Lifetime_LevelUp_Level_006			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1				1	0050C624:Challenge_Lifetime_LevelUp_Level_006:CHAL																																																																																																																																			
00630FD2	ChallengeReward_SCORE_Challenge_Daily_Craft_Alcohol_Med_Brewing			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
0063102D	ChallengeReward_SCORE_Challenge_Weekly_CAMPS_Build_Structures			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FB0	ChallengeReward_CUT_Challenge_Weekly_Survive_Survival			1	0	0	00403026:Survival_Switchblade_TheQuickFix:WEAP	1				0000000F:Caps001:CNCY		1				1	003FC09C:CUT_Challenge_Weekly_Survive_Survival:CHAL																																																																																																																																			
00630F32	ChallengeReward_Challenge_Lifetime_Craft_Ammo_Intro			1	0	0	000130A1:c_Gunpowder_scrap:MISC	30				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1				1	0050DBB5:Challenge_Lifetime_Craft_Ammo_Intro:CHAL																																																																																																																																			
0063103C	ChallengeReward_SCORE_Challenge_Weekly_Consume_Food_Prewar			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
0063101D	ChallengeReward_SCORE_Challenge_Daily_Scrap_PrewarMoney			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FDE	ChallengeReward_SCORE_Challenge_Daily_GainScrap_Screws			1	0	-1						0000000F:Caps001:CNCY		1				0																																																																																																																																				
00630FAC	ChallengeReward_CUT_Challenge_Weekly_ImplementsOfDestruction_Survival			1	0	0	00403025:Survival_50CalMachineGun_TheActionHero:WEAP	1				0000000F:Caps001:CNCY		1				1	003FC096:CUT_Challenge_Weekly_ImplementsOfDestruction_Survival:CHAL																																																																																																																																			
