FLOR_FormID	FLOR_EDID	FLOR_FULL	Produce	ProduceCount
001C0FCC	UseLPI_FloraFungusGlowing05	Glowing Fungus	002AB0F3:LL_Flora_FungusGlowing:LVLI	1
001C0FCD	UseLPI_FloraFungusGlowing06	Glowing Fungus	002AB0F3:LL_Flora_FungusGlowing:LVLI	1
001C0FCE	UseLPI_FloraFungusBrain01	Brain Fungus	002AB0F2:LL_Flora_FungusBrain:LVLI	1
001C0FCF	UseLPI_FloraFungusBrain02	Brain Fungus	002AB0F2:LL_Flora_FungusBrain:LVLI	1
001C4008	UseLPI_FloraWildTatoPlant01	Wild Tato Blossom	002AB104:LL_Flora_WildTatoFlower:LVLI	1
001C4009	UseLPI_FloraWildMelonVine01	Wild Melon Blossom	002AB0F7:LL_Flora_WildMelonFlower:LVLI	1
001C400A	UseLPI_FloraWildGourdVine01	Wild Gourd Blossom	002AB100:LL_Flora_WildGourdFlower:LVLI	1
001C400B	UseLPI_FloraWildRazorgrain01	Wild Razorgrain	002AB0F9:LL_Flora_Razorgrain:LVLI	1
001C400C	UseLPI_FloraWildCarrotFlower	Wild Carrot Flower	002AB0FE:LL_Flora_WildCarrotFlower:LVLI	1
001C4014	UseLPI_FloraWildCornStalk01	Wild Corn	0000129C:LL_Flora_Corn:LVLI	1
001C4BEF	UseLPI_FloraWildTatoPlant02	Wild Tato Blossom	002AB104:LL_Flora_WildTatoFlower:LVLI	1
001F24B5	UseLPI_FloraGSWildMelonVine01	Ash Blossom	002AB0F7:LL_Flora_WildMelonFlower:LVLI	1
0010D8FB	UseLPI_FloraCranberry01	Cranberry	002AB0EE:LL_Flora_Cranberry:LVLI	1
0010D8FC	UseLPI_FloraCranberry02	Cranberry	002AB0EE:LL_Flora_Cranberry:LVLI	1
0010D8FD	UseLPI_FloraCranberry03	Cranberry	002AB0EE:LL_Flora_Cranberry:LVLI	1
001107B4	UseLPI_FloraBlight01	Blight	00786E04:LL_Flora_Blight:LVLI	1
00110A11	UseLPI_FloraAster01	Aster	002AB0F0:LL_Flora_Aster:LVLI	1
00111343	DEBUGFloraAnglerPlant01	Lure Weed	002AB107:LL_Flora_AnglerPlant:LVLI	1
00113105	UseLPI_FloraFeverBlossom01	Fever Blossom	002AB105:LL_Flora_FeverBlossom:LVLI	1
00113107	UseLPI_FloraFeverBlossom02	Fever Blossom	002AB105:LL_Flora_FeverBlossom:LVLI	1
0000BAED	UseLPI_FloraBlackberry01	Blackberry	002AB0EB:LL_Flora_Blackberry:LVLI	1
0000BAEE	UseLPI_FloraBlackberry02	Blackberry	002AB0EB:LL_Flora_Blackberry:LVLI	1
0001891A	TestStranglerBloom	Strangler Bloom	00081FDB:StranglerBloomHerb:ALCH	1
0011C0C0	UseLPI_FloraAshRose01	Ash Rose	002AB0EF:LL_Flora_AshRose:LVLI	1
0011C0C1	UseLPI_FloraAshRose02	Ash Rose	002AB0EF:LL_Flora_AshRose:LVLI	1
0004AB3F	TestStranglerPod	Strangler Pod	00050DC9:StranglerPodHerb:ALCH	1
001217C3	VeinTitanium	Black Titanium Vein	00017F81:Chem_Smelting_Ore_BlackTitanium:MISC	1
0012C492	UseLPI_FloraFirecracker01	Firecracker Berry	002AB106:LL_Flora_Firecracker:LVLI	1
0012CC40	UseLPI_FloraFirecracker02	Firecracker Berry	002AB106:LL_Flora_Firecracker:LVLI	1
000933C9	UseLPI_FloraSap01	Glowing Resin	00786E05:LL_Flora_Sap:LVLI	1
000933E5	UseLPI_FloraSap02	Glowing Resin	00786E05:LL_Flora_Sap:LVLI	1
00112E85	SFS01_Brew_Mutfruit	Mutfruit Plant	002AB0F8:LL_Flora_Mutfruit:LVLI	1
0011316A	SFS01_Brew_Razorgrain	Razorgrain	002AB0F9:LL_Flora_Razorgrain:LVLI	1
0011316B	SFS01_Brew_Tato	Tato Plant	002AB0FD:LL_Flora_Tato:LVLI	1
0005F981	MTR_Vein_Titanium	Rich Black Titanium Vein	000179BB:LL_VeinTitanium:LVLI	1
00142927	FloraFungusMegaSloth01	Mega Sloth Mushrooms	002AB0F4:LL_Flora_FungusMegaSloth:LVLI	1
00142951	FloraFungusMegaSloth02	Mega Sloth Mushrooms	002AB0F4:LL_Flora_FungusMegaSloth:LVLI	1
0014296C	FloraFungusMegaSloth03	Mega Sloth Mushrooms	002AB0F4:LL_Flora_FungusMegaSloth:LVLI	1
0008E923	UseLPI_FloraMothmanEggs01	Mothman Egg	0008E922:MothmanEgg:ALCH	1
0008E930	UseLPI_FloraMothmanEggs02	Mothman Egg	0008E922:MothmanEgg:ALCH	1
0008E931	UseLPI_FloraMothmanEggs03	Mothman Egg	0008E922:MothmanEgg:ALCH	1
0018D409	VeinUltracite	Ultracite Vein	00139013:Chem_Smelting_Ore_Ultracite:MISC	1
0018E841	VeinAluminum	Aluminum Vein	00019D29:Chem_Smelting_Ore_Aluminum:MISC	1
0018E851	VeinGold	Gold Vein	00019E36:Chem_Smelting_Ore_Gold:MISC	1
0018E85A	VeinSilver	Silver Vein	00065328:Chem_Smelting_Ore_Silver:MISC	1
0018E862	VeinCopper	Copper Vein	00019E51:Chem_Smelting_Ore_Copper:MISC	1
0018E96A	VeinUranium	Uranium Vein	00065338:Chem_Smelting_Ore_Uranium:MISC	1
0018ED7B	VeinLead	Lead Vein	00065324:Chem_Smelting_Ore_Lead:MISC	1
0029432E	FloraCornStalkVault94_01	Corn	0000129C:LL_Flora_Corn:LVLI	1
0029432F	FloraCornStalkVault94_02	Corn	0000129C:LL_Flora_Corn:LVLI	1
00226024	FloraRadMutshoot01	Glowing Mutshoot Fungus	002DDD4B:FloraSpecimenJarOrange:ALCH	1
0022602F	FloraRadMutshoot02	Glowing Mutshoot Fungus	002DDD4B:FloraSpecimenJarOrange:ALCH	1
00227234	FloraRadMutshoot03	Glowing Mutshoot Fungus	002DDD4B:FloraSpecimenJarOrange:ALCH	1
00227236	FloraRadMutshoot04	Glowing Mutshoot Fungus	002DDD4B:FloraSpecimenJarOrange:ALCH	1
00227238	FloraRadMutshoot05	Glowing Mutshoot Fungus	002DDD4B:FloraSpecimenJarOrange:ALCH	1
00227239	FloraRadMutshoot06	Glowing Mutshoot Fungus	002DDD4B:FloraSpecimenJarOrange:ALCH	1
002A08BF	FloraRadQuantumLeaf02	Quantum Leaf	002DDD46:FloraSpecimenJarBlue:ALCH	1
002A08C3	FloraRadQuantumLeaf01	Quantum Leaf	002DDD46:FloraSpecimenJarBlue:ALCH	1
0000401B	UseLPI_FloraBleachDogwoodBark01	Bleach Dogwood	003D202D:BleachDogwoodNew:MISC	1
0000401C	UseLPI_FloraBleachDogwoodBark02	Bleach Dogwood	003D202D:BleachDogwoodNew:MISC	1
002D6594	UseLPI_FloraBleachDogwoodBark03	Bleach Dogwood	003D202D:BleachDogwoodNew:MISC	1
00155D76	FloraRadGeigerBlossom01	Geiger Blossom	002DDD49:FloraSpecimenJarYellow:ALCH	1
0023C223	FloraRadGeigerBlossom02	Geiger Blossom	002DDD49:FloraSpecimenJarYellow:ALCH	1
0023D5C2	FloraRadWildFissionFruit	Wild Fission Fruit	002DDD46:FloraSpecimenJarBlue:ALCH	1
0023D5D8	FloraRadFissionFruit01	Fission Fruit	002DDD45:FloraSpecimenJarRed:ALCH	1
0023D737	FloraRadIrradiroot	Irradiroot	002DDD49:FloraSpecimenJarYellow:ALCH	1
0023D73C	FloraRadGlowPod01	Neutron Pod	002DDD46:FloraSpecimenJarBlue:ALCH	1
0023D746	FloraRadGlowPod02	Neutron Pod	002DDD46:FloraSpecimenJarBlue:ALCH	1
0023D751	FloraRadAfterwindVine	Afterwind Vine	002DDD4D:FloraSpecimenJarPurple:ALCH	1
0023D800	FloraRadDecayVine01	Decay Vine	002DDD4D:FloraSpecimenJarPurple:ALCH	1
0000483A	FloraPumpkinVine04	Pumpkin	0052FDF0:LL_Flora_PumpkinVine01:LVLI	1
001C7CE0	VeinIron	Iron Vein	00065304:Chem_Smelting_Ore_Steel:MISC	1
0007E3C3	FloraRadFlashFern01	Flash Fern	002DDD4D:FloraSpecimenJarPurple:ALCH	1
0008021B	FloraRadFlashFern02	Flash Fern	002DDD4D:FloraSpecimenJarPurple:ALCH	1
002DDD55	FloraRadBlastberry01	Blast Berry	002DDD45:FloraSpecimenJarRed:ALCH	1
002DDD59	FloraRadBlastBerry02	Blast Berry	002DDD45:FloraSpecimenJarRed:ALCH	1
002DDD5A	FloraRadBlastberry03	Blast Berry	002DDD45:FloraSpecimenJarRed:ALCH	1
002D292D	FloraRadCorruptedSap01	Gloam Sap	002DDD46:FloraSpecimenJarBlue:ALCH	1
002D2931	FloraRadCorruptedSap02	Gloam Sap	002DDD46:FloraSpecimenJarBlue:ALCH	1
002D2935	FloraRadAster01	Red Hot Bloom	002DDD45:FloraSpecimenJarRed:ALCH	1
00187784	UseLPI_FloraToxicSootFlower01	Toxic Soot Flower	003C51E1:LL_Flora_ToxicSootFlower:LVLI	1
00187785	UseLPI_FloraToxicSootFlower02	Toxic Soot Flower	003C51E1:LL_Flora_ToxicSootFlower:LVLI	1
0028273E	UseLPI_FloraStarlightCreeper01	Starlight Creeper	006E228C:LL_Flora_StarlightCreeper:LVLI	1
002E66BD	UseLPI_FloraSnapTail01	Snaptail	003C51E2:LL_Flora_SnapTail:LVLI	1
00050C28	VeinCoal	Coal Vein	0016FAD8:Chem_Smelting_Ore_Coal:MISC	1
002EBF1F	UseLPI_FloraFern01_Charred01	Mutated Fern	002AB0F1:LL_Flora_Fern:LVLI	1
002EBF20	UseLPI_FloraFern01_Charred02	Mutated Fern	002AB0F1:LL_Flora_Fern:LVLI	1
002EBF21	UseLPI_FloraFern01_Charred03	Mutated Fern	002AB0F1:LL_Flora_Fern:LVLI	1
002EBF22	UseLPI_FloraFern01_Charred04	Mutated Fern	002AB0F1:LL_Flora_Fern:LVLI	1
002EBF23	UseLPI_FloraFern02_Charred01	Mutated Fern	002AB0F1:LL_Flora_Fern:LVLI	1
002EBF24	UseLPI_FloraFern02_Charred02	Mutated Fern	002AB0F1:LL_Flora_Fern:LVLI	1
002EBF25	UseLPI_FloraFern02_Charred03	Mutated Fern	002AB0F1:LL_Flora_Fern:LVLI	1
002EBF26	UseLPI_FloraFern02_Charred04	Mutated Fern	002AB0F1:LL_Flora_Fern:LVLI	1
002F7252	UseLPI_FloraCranberry01Diseased	Diseased Cranberry	0050AFD6:LL_Flora_CranberryDiseased:LVLI	1
002F7253	UseLPI_FloraCranberry02Diseased	Diseased Cranberry	0050AFD6:LL_Flora_CranberryDiseased:LVLI	1
002F7254	UseLPI_FloraCranberry03Diseased	Diseased Cranberry	0050AFD6:LL_Flora_CranberryDiseased:LVLI	1
000017F8	UseLPI_FloraFireCap01	Firecap	0005FCFF:LL_Flora_Firecap:LVLI	1
0030596A	UseLPI_FloraSnapTail02	Snaptail	003C51E2:LL_Flora_SnapTail:LVLI	1
00305978	FloraRadSnapTail	Crackletail	002DDD4D:FloraSpecimenJarPurple:ALCH	1
0030597C	FloraRadSnapTail02	Crackletail	002DDD4D:FloraSpecimenJarPurple:ALCH	1
00305980	FloraRadFireCap01	Blast Cap	002DDD45:FloraSpecimenJarRed:ALCH	1
00305984	FloraRadAshRose01	Rad Rose	002DDD49:FloraSpecimenJarYellow:ALCH	1
00305988	FloraRadAshRose02	Rad Rose	002DDD49:FloraSpecimenJarYellow:ALCH	1
0030598C	FloraRadFirecracker01	Bomb Berry	002DDD46:FloraSpecimenJarBlue:ALCH	1
00305990	FloraRadFirecracker02	Bomb Berry	002DDD46:FloraSpecimenJarBlue:ALCH	1
00305994	FloraRadBlackberry01	Radberry	002DDD49:FloraSpecimenJarYellow:ALCH	1
00305998	FloraRadBlackberry02	Radberry	002DDD49:FloraSpecimenJarYellow:ALCH	1
0030599C	FloraRadBleachDogwoodBark02	Gamma Dogwood	002DDD49:FloraSpecimenJarYellow:ALCH	1
003059A0	FloraRadBleachDogwoodBark01	Gamma Dogwood	002DDD49:FloraSpecimenJarYellow:ALCH	1
003059A4	FloraRadBleachDogwoodBark03	Gamma Dogwood	002DDD49:FloraSpecimenJarYellow:ALCH	1
0030A9B0	FloraRadWildGourdVine01	Boom Bloom	002DDD45:FloraSpecimenJarRed:ALCH	1
0030A9B4	FloraRadWildCornStalk01	Aftershock Stalk	002DDD46:FloraSpecimenJarBlue:ALCH	1
0030A9BA	FloraRadWildMelonVine01	Megaton Melon Blossom	002DDD49:FloraSpecimenJarYellow:ALCH	1
0002D6AC	FloraRadWildRazorgrain01	Gigagrain	002DDD4D:FloraSpecimenJarPurple:ALCH	1
001AFB99	FloraRadFungusBrain01	Enlightened Fungus	002DDD45:FloraSpecimenJarRed:ALCH	1
001AFBA5	FloraRadFungusBrain02	Enlightened Fungus	002DDD45:FloraSpecimenJarRed:ALCH	1
001AFBCB	FloraRadFungusBrain03	Enlightened Fungus	002DDD45:FloraSpecimenJarRed:ALCH	1
001AFBF0	FloraRadWildTarberryFloat01	Half-Life Hips	002DDD4D:FloraSpecimenJarPurple:ALCH	1
001AFBF4	FloraRadWildTarberryFloat02	Half-Life Hips	002DDD4D:FloraSpecimenJarPurple:ALCH	1
0030C46E	FloraRadBlight01	Bright Blight	002DDD45:FloraSpecimenJarRed:ALCH	1
0030C475	FloraRadFeverBlossom01	Volatile Fever Blossom	002DDD45:FloraSpecimenJarRed:ALCH	1
0030C479	FloraRadFeverBlossom02	Volatile Fever Blossom	002DDD45:FloraSpecimenJarRed:ALCH	1
0030C482	FloraRadMothmanEggs01	Ionized Cackleberry	002DDD45:FloraSpecimenJarRed:ALCH	1
0030C487	FloraRadMothmanEggs02	Ionized Cackleberry	002DDD45:FloraSpecimenJarRed:ALCH	1
0030C489	FloraRadMothmanEggs03	Ionized Cackleberry	002DDD45:FloraSpecimenJarRed:ALCH	1
0005501E	FloraRadSwampPod01	Glow Pod	002DDD4D:FloraSpecimenJarPurple:ALCH	1
0018DC7B	HardPointAcid01	Acid	001BF72D:c_Acid_scrap:MISC	1
0018F4AF	HardPointOil01	Oil Seep	001BF732:c_Oil_scrap:MISC	1
0018F506	HardPointConcrete01	Gravel Pit	00106D99:c_Concrete_scrap:MISC	1
0018F55E	DoNotUseHardPointWoodPile01	Wood Pile	000731A3:c_Wood_scrap:MISC	1
0012DC82	UseLPI_FloraSwampPod01	Strangler Pod	004FD295:LL_Flora_SwampPod01:LVLI	1
00148BDE	FloraSwampPodFlower01	Strangler Bloom	004FD294:LL_Flora_SwampPodFlower01:LVLI	1
000183C6	HardPointJunkPile01	Junk Pile	000366C6:LL_Junk_Large:LVLI	1
003223EA	UseLPI_FloraStarlightCreeper02	Starlight Creeper	006E228C:LL_Flora_StarlightCreeper:LVLI	1
00322CFD	VeinCrystal	Crystal Vein	00015C61:Chem_Smelting_Ore_Crystal:MISC	1
0032642B	HardPointCrystal	Crystal Outcropping	00015C61:Chem_Smelting_Ore_Crystal:MISC	1
003264C8	FloraRadStarlightCreeper	Kiloton Creeper	002DDD46:FloraSpecimenJarBlue:ALCH	1
003264C9	FloraRadStarlightCreeper02	Kiloton Creeper	002DDD46:FloraSpecimenJarBlue:ALCH	1
0035ADAD	HardpointTitanium	Black Titanium Deposit	00017F81:Chem_Smelting_Ore_BlackTitanium:MISC	1
0035ADB0	HardpointCoal	Coal Deposit	0016FAD8:Chem_Smelting_Ore_Coal:MISC	1
0035ADB5	HardpointGold	Gold Deposit	00019E36:Chem_Smelting_Ore_Gold:MISC	1
0035ADC0	HardpointUranium	Uranium Deposit	00065338:Chem_Smelting_Ore_Uranium:MISC	1
0035ADB2	HardpointCopper	Copper Deposit	00019E51:Chem_Smelting_Ore_Copper:MISC	1
0035ADBA	HardpointLead	Lead Deposit	00065324:Chem_Smelting_Ore_Lead:MISC	1
0035ADBD	HardpointSilver	Silver Deposit	00065328:Chem_Smelting_Ore_Silver:MISC	1
0035ADB7	HardpointIron	Iron Deposit	00065304:Chem_Smelting_Ore_Steel:MISC	1
0035ADA9	HardpointAluminum	Aluminum Deposit	00019D29:Chem_Smelting_Ore_Aluminum:MISC	1
0036F409	FloraRadAfterwindVine02	Afterwind Vine	002DDD4D:FloraSpecimenJarPurple:ALCH	1
00370253	HardpointUltracite01	Ultracite Outcropping	00015C60:LL_VeinUranium:LVLI	1
003900A4	UseLPI_FloraPitcherPlant	Giant Pitcher Plant	003B90A3:LL_Flora_PitcherPlant:LVLI	1
003916E8	CranBogLogPile06_LN	Logs	002C5DEF:LL_Wood_Log_Large:LVLI	1
00391727	CarCoupe_Postwar_Cheap04_LN	CarCoupe_Postwar_Cheap04_LN		1
003916FC	CranBogPineStump04_LN	CranBogPineStump04_LN		1
00391725	SportsCar02_Static_LN	SportsCar02_Static_LN		1
003916E0	DONOTUSETreeCutLogLong01_LN	TreeCutLogLong01_LN		1
00391729	CarFrame05Static_LN	CarFrame05Static_LN		1
00391715	CarCoupe_Postwar_Cheap02_LN	CarCoupe_Postwar_Cheap02_LN		1
003916D0	TreeForestLog03_LN	Log	002C5DEF:LL_Wood_Log_Large:LVLI	1
003916EB	CranBogLogPile05_LN	Logs	002C5DEF:LL_Wood_Log_Large:LVLI	1
003916DC	DONOTUSEDLC03GenLogStraight02a_LN	DLC03GenLogStraight02a_LN		1
003916DE	DONOTUSETreeCutLogShort01_LN	TreeCutLogShort01_LN		1
003916EC	CranBogLogWall01_LN	Logs	002C5DEF:LL_Wood_Log_Large:LVLI	1
0039172F	DLC04_Vehicle_SportsCar_Dirt02_LN	DLC04_Vehicle_SportsCar_Dirt02_LN		1
0039172D	DLC04_Vehicle_CarCoupe_Dirt01_LN	DLC04_Vehicle_CarCoupe_Dirt01_LN		1
003916DA	CranBogPineLog03_LN	Log	002C5DF1:LL_Wood_Log_Small:LVLI	1
003916E1	DONOTUSETreeCutLogStump01_LN	TreeCutLogStump01_LN		1
00391701	TreeBlastedForestBurntStump03_LN	TreeBlastedForestBurntStump03_LN		1
003916D9	CranBogPineLog04_LN	Log	002C5DF1:LL_Wood_Log_Small:LVLI	1
00391712	CarCoupe01_Static_LN	CarCoupe01_Static_LN		1
003916E2	CranBogLogPile01_LN	Logs	002C5DEF:LL_Wood_Log_Large:LVLI	1
00391713	CarFrame04Static_LN	CarFrame04Static_LN		1
00391714	CarCoupe05_Static_LN	CarCoupe05_Static_LN		1
00391716	CarCoupe03_Static_LN	CarCoupe03_Static_LN		1
003916E4	CranBogLogPile03_LN	Logs	002C5DEF:LL_Wood_Log_Large:LVLI	1
00391718	CarMini01Static_LN	CarMini01Static_LN		1
0039171A	CarCoupe_Postwar_Cheap01_LN	CarCoupe_Postwar_Cheap01_LN		1
003916E5	DONOTUSETreeLog01_LN	TreeLog01_LN		1
0039171B	SportsCar01_Static_LN	SportsCar01_Static_LN		1
0039171C	CarFrame03Static_LN	CarFrame03Static_LN		1
0039171E	CarFrameCheap01_LN	CarFrameCheap01_LN		1
003916D2	MtnTopRedPineLogSM01_LN	Log	002C5DF1:LL_Wood_Log_Small:LVLI	1
003916CE	TreeForestLog04_LN	Log	002C5DF0:LL_Wood_Log_Medium:LVLI	1
00391720	EngineCarStatic01_LN	EngineCarStatic01_LN		1
00391719	Vehicle_Cop_Car_Rusted_LN	Vehicle_Cop_Car_Rusted_LN		1
003916F7	CranBogPineStump02_LN	CranBogPineStump02_LN		1
003916E7	DONOTUSETreeDriftwoodLog03_LN	TreeDriftwoodLog03_LN		1
00391711	VaultTecVan01BlueHulkStatic_LN	VaultTecVan01BlueHulkStatic_LN		1
00391722	CarCoupe_Postwar_Cheap05_LN	CarCoupe_Postwar_Cheap05_LN		1
003916EF	DONOTUSEDLC03GenLogStraight01a_LN	DLC03GenLogStraight01a_LN		1
00391723	SportsCar03_Static_LN	SportsCar03_Static_LN		1
00391724	SportsCar04_Static_LN	SportsCar04_Static_LN		1
003916E9	DONOTUSETreeCutLogSplit01_LN	TreeCutLogSplit01_LN		1
00391706	TreeStumpBurnt02_LN	TreeStumpBurnt02_LN		1
00391707	TreeStumpBurnt01_LN	TreeStumpBurnt01_LN		1
00391708	TreeStumpSMarsh02_LN	TreeStumpSMarsh02_LN		1
003916D8	DONOTUSEDLC03GenLogStraight02b_LN	DLC03GenLogStraight02b_LN		1
003916CD	TreeForestLog01_LN	Log	002C5DF1:LL_Wood_Log_Small:LVLI	1
00391726	SportsCar_Postwar_Cheap01_LN	SportsCar_Postwar_Cheap01_LN		1
003916D3	MtnTopRedPineLogSM02_LN	Log	002C5DF1:LL_Wood_Log_Small:LVLI	1
00391728	SportsCar_Postwar_Cheap02_LN	SportsCar_Postwar_Cheap02_LN		1
003916DB	CranBogPineLog05_LN	Log	002C5DF1:LL_Wood_Log_Small:LVLI	1
003916F4	DONOTUSETreePineToxicStump02_LN	TreePineToxicStump02_LN		1
00391703	TreeBlastedForestDestroyedStump02_LN	TreeBlastedForestDestroyedStump02_LN		1
00391717	CarCoupe02_Static_LN	CarCoupe02_Static_LN		1
0039172A	SportsCar_Postwar_Cheap04_LN	SportsCar_Postwar_Cheap04_LN		1
003916EA	DONOTUSETreeCutLogSplit02_LN	TreeCutLogSplit02_LN		1
0039172B	SportsCar_Postwar_Cheap03_LN	SportsCar_Postwar_Cheap03_LN		1
0039172C	DLC04_Vehicle_CarCoupe_Dirt02_LN	DLC04_Vehicle_CarCoupe_Dirt02_LN		1
003916F1	MtnTopRedPineStump02_LN	MtnTopRedPineStump02_LN		1
0039172E	DLC04_Vehicle_CarFrame_Dirt01_LN	DLC04_Vehicle_CarFrame_Dirt01_LN		1
003916D4	MtnTopRedPineLogSM03_LN	Log	002C5DF1:LL_Wood_Log_Small:LVLI	1
00391730	DLC04_Vehicle_SportsCar_Dirt01_LN	DLC04_Vehicle_SportsCar_Dirt01_LN		1
003916D5	DONOTUSETreeCutLogLong02_LN	TreeCutLogLong02_LN		1
003916E6	CranBogLogPile02_LN	Logs	002C5DEF:LL_Wood_Log_Large:LVLI	1
003916E3	TreeForestLog01_Burnt_LN	Log	0039F04F:LL_Wood:LVLI	1
003916ED	CranBogLogPile04_LN	Logs	002C5DEF:LL_Wood_Log_Large:LVLI	1
003916EE	DONOTUSEDLC03GenLogStraight01b_LN	DLC03GenLogStraight01b_LN		1
003916F0	MtnTopRedPineStump01_LN	MtnTopRedPineStump01_LN		1
003916D6	CranBogPineLog02_LN	Log	002C5DF0:LL_Wood_Log_Medium:LVLI	1
003916F2	SwampStump01_LN	SwampStump01_LN		1
003916D7	CranBogPineLog01_LN	Log	002C5DF0:LL_Wood_Log_Medium:LVLI	1
00391705	TreeStump02_LN	TreeStump02_LN		1
003916F9	CranBogPineStump05_LN	CranBogPineStump05_LN		1
003916FE	CranBogPineStumpHero02_LN	CranBogPineStumpHero02_LN		1
00391700	TreeStump01_LN	TreeStump01_LN		1
003916DF	DONOTUSETreeCutLogShort02_LN	TreeCutLogShort02_LN		1
00391710	VaultTecVan01HulkStatic_LN	VaultTecVan01HulkStatic_LN		1
0039170E	TreeBeachPineStump01_LN	TreeBeachPineStump01_LN		1
003916F5	DONOTUSETreePineToxicStump04_LN	TreePineToxicStump04_LN		1
0039170C	TreeStumpSMarsh01_LN	TreeStumpSMarsh01_LN		1
0039170B	TreeStumpSMarsh03_LN	TreeStumpSMarsh03_LN		1
0039170A	TreeBlastedForestDestroyedStump01_LN	TreeBlastedForestDestroyedStump01_LN		1
003916CF	TreeForestLog02_LN	Log	002C5DF0:LL_Wood_Log_Medium:LVLI	1
003916F6	DONOTUSETreePineToxicStump03_LN	TreePineToxicStump03_LN		1
003916FA	DONOTUSETreeForestStump01_LN	TreeForestStump01_LN		1
003916FF	TreeBlastedForestBurntStump01_LN	TreeBlastedForestBurntStump01_LN		1
0039170F	TruckHulkStatic_LN	TruckHulkStatic_LN		1
003916D1	MtnTopRedPinelog01_LN	Log	002C5DF0:LL_Wood_Log_Medium:LVLI	1
003916F3	DONOTUSETreePineToxicStump01_LN	TreePineToxicStump01_LN		1
