FormID	EDID	FULL	SNAM	TNAM	CNAM	ENAM	CondCount	Cond1	Cond2	Cond3	Cond4	Cond5	Cond6	Cond7	Cond8	Cond9	Cond10	Cond11	Cond12	Cond13	Cond14	Cond15	Cond16	Cond17	Cond18	Cond19	Cond20	Cond21	Cond22	Cond23	Cond24	Cond25	Cond26	Cond27	Cond28	Cond29	Cond30	Cond31	Cond32	Cond33	Cond34	Cond35	Cond36	Cond37	Cond38	Cond39	Cond40	Cond41	Cond42	Cond43	Cond44	Cond45	Cond46	Cond47	Cond48	Cond49	Cond50	Cond51	Cond52
003B7FAB	Challenge_Lifetime_QuestComplete_AshHeap	Complete Quests and Events in Ash Heap	Quests Completed				1	10000000|1.000000|GetInCurrentLocation|00 00 00|5F 43|RegionMTRLocation "Ash Heap" [LCTN:000045D0]|00 00 00 00|0|-1|Subject|																																																			
003B7FAC	CUT_Challenge_Daily_Craft_Weapons_Molotovs_Lowest	Craft a Molotov Cocktail	NONE	0			1	10000000|1.000000|HasKeyword|00 00 00|9C 43|WeaponTypeMolotov [KYWD:0021A29F]|00 00 00 00|0|-1|Target|																																																			
003B7FAD	Challenge_Lifetime_Discover_ToxicValleyRegion_SUB_WavyWillards	Discover Wavy Willard's Waterpark	Locations Discovered	0			1	10000000|1.000000|GetInCurrentLocation|00 00 00|94 43|LocToxicWavyWillardsWaterparkLocation "Wavy Willard's Water Park" [LCTN:000B23D7]|00 00 00 00|0|-1|Target|																																																			
003B7FAE	Challenge_Lifetime_Collect_Wood_Tier3	Collect Wood	Plants Harvested				3	10010000|1.000000|HasKeyword|00 00 00|5F 43|ScrapTypeWood [KYWD:004713D7]|00 00 00 00|0|-1|Target|	10010000|1.000000|GetIsID|00 00 00|5F 43|c_Wood "Wood" [CMPO:0001FAC2]|00 00 00 00|0|-1|Target|	10000000|1.000000|GetIsID|00 00 00|5F 43|c_Wood_scrap "Wood Scraps" [MISC:000731A3]|00 00 00 00|0|-1|Target|																																																	
003B7FAF	Challenge_Lifetime_Discover_ToxicValleyRegion_SUB_Clarksburg	Discover Clarksburg	Locations Discovered	0			1	10000000|1.000000|GetInCurrentLocation|00 00 00|94 43|LocToxicClarksburgLocation "Clarksburg" [LCTN:0005CC3C]|00 00 00 00|0|-1|Target|																																																			
003B7FB0	Challenge_Lifetime_Discover_ToxicValleyRegion_SUB_GraftonDam	Discover Grafton Dam	Locations Discovered	0			1	10000000|1.000000|GetInCurrentLocation|00 00 00|94 43|LocToxicGraftonDamLocation "Grafton Dam" [LCTN:0000729E]|00 00 00 00|0|-1|Target|																																																			
003B7FB1	Challenge_Lifetime_Discover_ToxicValleyRegion_SUB_Grafton	Discover Grafton	Locations Discovered	0			1	10000000|1.000000|GetInCurrentLocation|00 00 00|94 43|LocToxicGraftonLocation "Grafton" [LCTN:0006DE2D]|00 00 00 00|0|-1|Target|																																																			
003B7FB2	Challenge_Lifetime_Discover_MireRegion_Intro	Discover the Mire Region	Locations Discovered	0			1	10000000|1.000000|GetInCurrentLocation|00 00 00|94 43|RegionSwampForestLocation "The Mire" [LCTN:000045E1]|00 00 00 00|0|-1|Target|																																																			
003B7FB3	Challenge_Lifetime_Discover_MireRegion_SUB_Berkeley	Discover Berkeley	Locations Discovered	0			1	10000000|1.000000|GetInCurrentLocation|00 00 00|94 43|LocSwampBerkeleySpringsLocation "Berkeley Springs" [LCTN:0000414B]|00 00 00 00|0|-1|Target|																																																			
003B7FB4	SCORE_Challenge_Daily_Craft_Ammo	Craft Ammo at a Workbench	Item Crafted	50			4	10010000|1.000000|HasKeyword|00 00 00|00 00|ObjectTypeAmmo [KYWD:000F4AE8]|00 00 00 00|0|-1|Target|	10010000|1.000000|HasKeyword|00 00 00|00 00|AmmoTypeExplosive [KYWD:003896DF]|00 00 00 00|0|-1|Target|	10010000|1.000000|HasKeyword|00 00 00|00 00|AmmoTypeBallistic [KYWD:003896DE]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|00 00|AmmoTypeEnergy [KYWD:003896DD]|00 00 00 00|0|-1|Target|																																																
003B7FB5	CUT_Challenge_Daily_Craft_Ammo_Energy_Lowest	Craft Energy Ammo	NONE	0			1	10000000|1.000000|HasKeyword|00 00 00|9C 43|AmmoTypeEnergy [KYWD:003896DD]|00 00 00 00|0|-1|Target|																																																			
003B7FB6	CUT_Challenge_Daily_Craft_Ammo_Explosive_Lowest	Craft Explosive Ammo	NONE	0			1	10000000|1.000000|HasKeyword|00 00 00|9C 43|AmmoTypeExplosive [KYWD:003896DF]|00 00 00 00|0|-1|Target|																																																			
003B7FB7	CUT_Challenge_Daily_Craft_Ammo_Low	Craft Ammo	NONE	0			4	10010000|1.000000|HasKeyword|00 00 00|9C 43|ObjectTypeAmmo [KYWD:000F4AE8]|00 00 00 00|0|-1|Target|	10010000|1.000000|HasKeyword|00 00 00|9C 43|AmmoTypeExplosive [KYWD:003896DF]|00 00 00 00|0|-1|Target|	10010000|1.000000|HasKeyword|00 00 00|9C 43|AmmoTypeBallistic [KYWD:003896DE]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|9C 43|AmmoTypeEnergy [KYWD:003896DD]|00 00 00 00|0|-1|Target|																																																
003B7FB8	Challenge_Lifetime_Mod_Armor_Tiers_Limbs	Mod Armor for Arms and Legs	Items Modded				2	10010000|1.000000|HasKeyword|00 00 00|5F 43|ArmorBodyPartFeet [KYWD:0006C0ED]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|5F 43|ArmorBodyPartHands [KYWD:0010C417]|00 00 00 00|0|-1|Target|																																																		
003B7FB9	CUT_Challenge_Daily_Craft_Chems_Low	Craft Chems	NONE	0			1	10000000|1.000000|HasKeyword|00 00 00|9C 43|ObjectTypeChem [KYWD:000F4AE7]|00 00 00 00|0|-1|Target|																																																			
003B7FBA	CUT_Challenge_Daily_Craft_Drinks_Low	Brew Drinks	NONE	0			1	10000000|1.000000|HasKeyword|00 00 00|9C 43|ObjectTypeDrink [KYWD:000F4AEC]|00 00 00 00|0|-1|Target|																																																			
003B7FBB	CUT_Challenge_Daily_Craft_Soups_Low	Cook Soup	NONE	0			1	10000000|1.000000|HasKeyword|00 00 00|9C 43|MealTypeSoup [KYWD:0044D4A9]|00 00 00 00|0|-1|Target|																																																			
003B7FBC	CUT_Challenge_Daily_Craft_StimpackDiluted_Lowest	Craft a Diluted Stimpak	NONE	0			2	10000000|1.000000|HasKeyword|00 00 00|9C 43|ObjectTypeStimpak [KYWD:000F4AEB]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|9C 43|ChallengeMedsDiluted [KYWD:0044D491]|00 00 00 00|0|-1|Target|																																																		
003B7FBD	CUT_Challenge_Weekly_Collect_Nukes_SiloCodes_Lowest	Find a Silo Code Piece	NONE	0			1	10000000|1.000000|HasKeyword|00 00 00|9C 43|BookType_NukeTransceiver [KYWD:00524C66]|00 00 00 00|0|-1|Target|																																																			
003B7FBE	CUT_Challenge_Daily_Craft_BoilWater_Low	Boil Water	NONE	0			1	10000000|1.000000|HasKeyword|00 00 00|9C 43|DrinkTypeWaterBoiled [KYWD:0000CF93]|00 00 00 00|0|-1|Target|																																																			
003B7FBF	CUT_Challenge_Daily_Craft_DrinksJuice_Low	Craft Juice Drinks	NONE	0			1	10000000|1.000000|HasKeyword|00 00 00|9C 43|DrinkTypeJuice [KYWD:0029452F]|00 00 00 00|0|-1|Target|																																																			
003B7FC0	CUT_Challenge_Daily_Craft_Teas_Low	Brew Tea	NONE	0			1	10000000|1.000000|HasKeyword|00 00 00|9C 43|DrinkTypeTea [KYWD:00284969]|00 00 00 00|0|-1|Target|																																																			
003B7FC1	SCORE_Challenge_Daily_Craft_PlantMeals	Cook a Meal with Plants or Fungi	Item Crafted	5			5	10000000|1.000000|HasKeyword|00 00 00|00 00|ObjectTypeFood [KYWD:00055ECC]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|00 00|MealTypeCooked [KYWD:0013486C]|00 00 00 00|0|-1|Target|	10010000|1.000000|HasKeyword|00 00 00|00 00|IngredientTypeVegetable [KYWD:002944CE]|00 00 00 00|0|-1|Target|	10010000|1.000000|HasKeyword|00 00 00|00 00|IngredientTypeFruit [KYWD:002944D1]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|00 00|IngredientTypeHerb [KYWD:002944CF]|00 00 00 00|0|-1|Target|																																															
003B7FC2	SCORE_Challenge_Daily_Craft_MeatMeals	Cook a Meat-Based Meal	Item Crafted	5			4	10010000|1.000000|HasKeyword|00 00 00|00 00|MealTypeGourmet [KYWD:0011090C]|00 00 00 00|0|-1|Target|	10010000|1.000000|HasKeyword|00 00 00|00 00|MealTypeTasty [KYWD:00110725]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|00 00|MealTypeCooked [KYWD:0013486C]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|00 00|IngredientTypeMeat [KYWD:0013486B]|00 00 00 00|0|-1|Target|																																																
003B7FC3	Challenge_Lifetime_Discover_MireRegion_SUB_DollySods	Discover Dolly Sods	Locations Discovered	0			2	10010000|1.000000|GetInCurrentLocation|00 00 00|94 43|LocSwampDollySodsWildernessLocation "Dolly Sods Wilderness" [LCTN:0005AD70]|00 00 00 00|0|-1|Target|	10000000|1.000000|GetInCurrentLocation|00 00 00|94 43|LocSwampDollySodsCampgroundLocation "Dolly Sods Campground" [LCTN:002DE581]|00 00 00 00|0|-1|Target|																																																		
003B7FC4	CUT_Challenge_Daily_Craft_RadAway_Lowest	Craft RadAway	NONE	0			1	10000000|1.000000|HasKeyword|00 00 00|9C 43|ChemTypeRadaway [KYWD:0006FA1B]|00 00 00 00|0|-1|Target|																																																			
003B7FC5	Challenge_Lifetime_Mod_Armor_Tiers_Base	Mod Armor	Items Modded				2	10010000|1.000000|HasKeyword|00 00 00|5F 43|ObjectTypeArmor [KYWD:000F4AE9]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|5F 43|ObjectTypeUnderarmor [KYWD:0016E84B]|00 00 00 00|0|-1|Target|																																																		
003B7FC6	Challenge_Lifetime_Discover_MireRegion_SUB_HarpersFerry	Discover Harpers Ferry	Locations Discovered	0			1	10000000|1.000000|GetInCurrentLocation|00 00 00|94 43|LocSwampHarpersFerryLocation "Harpers Ferry" [LCTN:00070368]|00 00 00 00|0|-1|Target|																																																			
003B7FC7	Challenge_Lifetime_Discover_ToxicValleyRegion_Intro	Discover the Toxic Valley Region	Locations Discovered	1			1	10000000|1.000000|GetInCurrentLocation|00 00 00|00 00|RegionToxicValleyLocation "Toxic Valley" [LCTN:00088ABA]|00 00 00 00|0|-1|Target|																																																			
003B7FC9	CUT_Challenge_Daily_Craft_Buffout_Lowest	Craft Bufftats or Psychobuff	NONE	0			2	10000000|1.000000|HasKeyword|00 00 00|9C 43|ObjectTypeChem [KYWD:000F4AE7]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|9C 43|ChemTypeBuffout [KYWD:004869B3]|00 00 00 00|0|-1|Target|																																																		
003B7FCA	CUT_REUSE_027	Discover the Toxic Valley	NONE	0			2	10000000|0.000000|GetGlobalValue|00 00 00|9C 43|TrueGlobal [GLOB:00036E00]|00 00 00 00|0|-1|Subject|	10000000|1.000000|GetInCurrentLocation|00 00 00|9C 43|RegionToxicValleyLocation "Toxic Valley" [LCTN:00088ABA]|00 00 00 00|0|-1|Subject|																																																		
003B7FCB	CUT_REUSE_024	Discover the Cranberry Bog	NONE	0			2	10000000|0.000000|GetGlobalValue|00 00 00|9C 43|TrueGlobal [GLOB:00036E00]|00 00 00 00|0|-1|Subject|	10000000|1.000000|GetInCurrentLocation|00 00 00|9C 43|RegionCranberryBogLocation "Cranberry Bog" [LCTN:000012A2]|00 00 00 00|0|-1|Subject|																																																		
003B7FCD	CUT_REUSE_025	Discover the Savage Divide	NONE	0			2	10000000|0.000000|GetGlobalValue|00 00 00|9C 43|TrueGlobal [GLOB:00036E00]|00 00 00 00|0|-1|Subject|	10000000|1.000000|GetInCurrentLocation|00 00 00|9C 43|RegionMountainLocation "Savage Divide" [LCTN:001789F8]|00 00 00 00|0|-1|Subject|																																																		
003B7FCE	CUT_REUSE_023	Discover the Forest region	NONE	0			2	10000000|0.000000|GetGlobalValue|00 00 00|9C 43|TrueGlobal [GLOB:00036E00]|00 00 00 00|0|-1|Subject|	10000000|1.000000|GetInCurrentLocation|00 00 00|9C 43|RegionForestFloodlandsLocation "The Forest" [LCTN:00095004]|00 00 00 00|0|-1|Subject|																																																		
003B7FCF	CUT_REUSE_026	Discover the Mire	NONE	0			2	10000000|0.000000|GetGlobalValue|00 00 00|9C 43|TrueGlobal [GLOB:00036E00]|00 00 00 00|0|-1|Subject|	10000000|1.000000|GetInCurrentLocation|00 00 00|9C 43|RegionSwampForestLocation "The Mire" [LCTN:000045E1]|00 00 00 00|0|-1|Subject|																																																		
003B7FD0	CUT_REUSE_028	Discover the Ash Heap	NONE	0			2	10000000|0.000000|GetGlobalValue|00 00 00|9C 43|TrueGlobal [GLOB:00036E00]|00 00 00 00|0|-1|Subject|	10000000|1.000000|GetInCurrentLocation|00 00 00|9C 43|RegionMTRLocation "Ash Heap" [LCTN:000045D0]|00 00 00 00|0|-1|Subject|																																																		
003B7FD1	CUT_Challenge_Daily_QuestsComplete_while_wearing_Hat_Lowest	Complete a Quest while wearing a Hat	NONE	0			1	10000000|1.000000|WornHasKeyword|00 00 00|9C 43|ClothingTypeHat "Hat" [KYWD:0012EEE8]|00 00 00 00|0|-1|Subject|																																																			
003B7FD2	Challenge_Lifetime_Photomode_Forest_SUB_Lighthouse	Use Photomode at Landview Lighthouse	Photos Taken	0			1	10000000|1.000000|GetInCurrentLocation|00 00 00|94 43|LocForestLandviewLighthouseLocation "Landview Lighthouse" [LCTN:0009A099]|00 00 00 00|0|-1|Subject|																																																			
003B7FD3	CUT_Challenge_Daily_QuestsComplete_while_wearing_Tinfoil_Hat_Lowest	Complete a Quest while wearing a Tinfoil Hat	NONE	0			1	10000000|1.000000|WornHasKeyword|00 00 00|9C 43|HatTypeTinfoil [KYWD:004924AA]|00 00 00 00|0|-1|Subject|																																																			
003B7FD4	POST_Challenge_Weekly_Kill_Enemies_while_wielding_SwordsBlackPowderGuns	Kill Enemies with a Sword or Black Powder Weapon	NONE	0			2	10010000|1.000000|WornHasKeyword|00 00 00|9C 43|WeaponTypeBlackPowder [KYWD:0034EBD2]|00 00 00 00|0|-1|Subject|	10000000|1.000000|WornHasKeyword|00 00 00|9C 43|WeaponTypeSword [KYWD:0033AB17]|00 00 00 00|0|-1|Subject|																																																		
003B7FD5	Challenge_Lifetime_Collect_PlantsFungi_Different_Flux_SUB_FluxYellow	Collect Raw Yellowcake Flux	Plants Harvested				1	10000000|1.000000|HasKeyword|00 00 00|64 43|PlantTypeFluxYellow [KYWD:004713D0]|00 00 00 00|0|-1|Target|																																																			
003B7FD6	Challenge_Lifetime_Collect_PurifiedWater_Med	Collect Purified Water	Items Acquired				1	10000000|1.000000|GetIsID|00 00 00|5F 43|WaterPurified "Purified Water" [ALCH:000366C0]|00 00 00 00|0|-1|Target|																																																			
003B7FD7	CUT_Challenge_Daily_CapsCollected_while_Intoxicated_Medium	Collect Caps while Intoxicated	NONE	0			2	10010000|1.000000|HasMagicEffectKeyword|00 00 00|9C 43|AlcoholEffect [KYWD:0005240A]|00 00 00 00|0|-1|Subject|	10000000|1.000000|IsOnChems|00 00 00|9C 43|00 00 00 00|00 00 00 00|0|-1|Subject|																																																		
003B7FD8	CUT_Challenge_Daily_CapsCollected_while_wearing_a_Hat	Collect Caps while wearing a Hat	NONE	0			1	10000000|1.000000|WornHasKeyword|00 00 00|9C 43|ClothingTypeHat "Hat" [KYWD:0012EEE8]|00 00 00 00|0|-1|Subject|																																																			
003B7FD9	CUT_Challenge_Weekly_Kill_Mothman_SUB_Collect_MothmanEggs	Collect Mothman Eggs	NONE	0			1	10000000|1.000000|HasKeyword|00 00 00|9C 43|FoodTypeMothmanEgg [KYWD:0048681E]|00 00 00 00|0|-1|Target|																																																			
003B7FDA	SCORE_Challenge_Daily_Collect_Caps	Collect Caps	Total Caps Collected	100			0																																																				
003B7FDB	Challenge_Lifetime_CapsCollected_Intro	Collect Caps	Total Caps Collected				0																																																				
003B7FDC	CUT_Challenge_Daily_CapsCollected_High	Collect Caps	NONE	0			0																																																				
003B7FDD	CUT_Challenge_Daily_CapsCollected_while_Intoxicated_Lower	Collect Caps while Intoxicated	NONE	0			2	10010000|1.000000|HasMagicEffectKeyword|00 00 00|9C 43|AlcoholEffect [KYWD:0005240A]|00 00 00 00|0|-1|Subject|	10000000|1.000000|IsOnChems|00 00 00|9C 43|00 00 00 00|00 00 00 00|0|-1|Subject|																																																		
003B7FDE	Challenge_Lifetime_Kill_Creatures_SUB_Critter	Kill a Critter	Total Enemies Killed	1			2	10000000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeCreature [KYWD:00013795]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeCritter [KYWD:005F1197]|00 00 00 00|0|-1|Target|																																																		
003B7FDF	CUT_Challenge_Daily_ScrapOrCraft_Helmet_Lowest	Craft or Scrap a Helmet	NONE	0			1	10000000|1.000000|HasKeyword|00 00 00|9C 43|ArmorBodyPartHead [KYWD:0010C418]|00 00 00 00|0|-1|Target|																																																			
003B7FE0	SCORE_Challenge_Daily_ScrapOrCraft_Armor	Craft or Scrap Armor	Items Crafted or Scrapped	5			3	10010000|1.000000|HasKeyword|00 00 00|00 00|ArmorTypeHelmet "Helmet" [KYWD:0012EEE9]|00 00 00 00|0|-1|Target|	10010000|1.000000|HasKeyword|00 00 00|00 00|ObjectTypeArmor [KYWD:000F4AE9]|00 00 00 00|0|-1|Target|	10010000|1.000000|HasKeyword|00 00 00|00 00|ArmorTypePower [KYWD:0004D8A1]|00 00 00 00|0|-1|Target|																																																	
003B7FE2	CUT_Challenge_Daily_ScrapOrCraft_ArmorChest_Lowest	Craft or Scrap a piece of Chest Armor	NONE	0			2	10010000|1.000000|HasKeyword|00 00 00|9C 43|ArmorBodyPartChest [KYWD:0006C0EC]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|9C 43|CHAL_ArmorType_Chest [KYWD:00494A04]|00 00 00 00|0|-1|Target|																																																		
003B7FE3	CUT_Challenge_Daily_ScrapOrCraft_ArmorLeather_Lowest	Craft or Scrap a piece of Leather Armor	NONE	0			2	10000000|1.000000|HasKeyword|00 00 00|9C 43|dn_armor_Leather [KYWD:00237E57]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|9C 43|ObjectTypeArmor [KYWD:000F4AE9]|00 00 00 00|0|-1|Target|																																																		
003B7FE4	CUT_Challenge_Daily_ScrapOrCraft_ArmorMetal_Lowest	Craft or Scrap a piece of Metal Armor	NONE	0			2	10000000|1.000000|HasKeyword|00 00 00|9C 43|dn_armor_Metal [KYWD:00237E58]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|9C 43|ObjectTypeArmor [KYWD:000F4AE9]|00 00 00 00|0|-1|Target|																																																		
003B7FE5	SCORE_Challenge_Daily_ScrapOrCraft_ArmorPower	Craft or Scrap a piece of Power Armor	Items Crafted or Scrapped	1			1	10000000|1.000000|HasKeyword|00 00 00|00 00|ArmorTypePower [KYWD:0004D8A1]|00 00 00 00|0|-1|Target|																																																			
003B7FE6	CUT_Challenge_Daily_ScrapOrCraft_Armor_Lowest	Craft or Scrap a piece of Armor	NONE	0			2	10010000|1.000000|HasKeyword|00 00 00|9C 43|ObjectTypeArmor [KYWD:000F4AE9]|00 00 00 00|0|-1|Target|	10000000|1.000000|HasKeyword|00 00 00|9C 43|ArmorTypeHelmet "Helmet" [KYWD:0012EEE9]|00 00 00 00|0|-1|Target|																																																		
003B7FE7	CUT_Challenge_Daily_ScrapOrCraft_Clothing_Lowest	Craft or Scrap a piece of Clothing	NONE	0			1	10000000|1.000000|HasKeyword|00 00 00|9C 43|ObjectTypeClothing [KYWD:0033C76A]|00 00 00 00|0|-1|Target|																																																			
003B7FF2	CUT_Challenge_Weekly_Workshop_Claim_GorgeJunkyard	Claim the Workshop: Gorge Junkyard	NONE	0			1	10000000|1.000000|GetInCurrentLocation|00 00 00|9C 43|LocForestGorgeJunkyardLocation "Gorge Junkyard" [LCTN:00063DC7]|00 00 00 00|0|-1|Subject|																																																			
