FormID	EDID	CondCount	Cond1	Cond2	Cond3	Cond4	Cond5	Cond6	Cond7	Cond8	Cond9	Cond10	Cond11	Cond12	Cond13	Cond14	Cond15	Cond16	Cond17	Cond18	Cond19	Cond20	Cond21	Cond22	Cond23	Cond24	Cond25	Cond26	Cond27	Cond28	Cond29	Cond30	Cond31	Cond32	Cond33	Cond34	Cond35	Cond36	Cond37	Cond38	Cond39	Cond40	Cond41	Cond42	Cond43	Cond44	Cond45	Cond46	Cond47	Cond48	Cond49	Cond50	Cond51	Cond52	Cond53	Cond54	Cond55	Cond56	Cond57	Cond58	Cond59	Cond60	Cond61	Cond62	Cond63	Cond64	Cond65	Cond66	Cond67	Cond68	Cond69	Cond70	Cond71	Cond72	Cond73	Cond74	Cond75	Cond76	ReferencedByCount	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6	Ref7	Ref8	Ref9	Ref10	Ref11	Ref12	Ref13	Ref14	Ref15	Ref16	Ref17	Ref18	Ref19	Ref20	Ref21	Ref22	Ref23	Ref24	Ref25	Ref26	Ref27	Ref28	Ref29	Ref30	Ref31	Ref32	Ref33	Ref34	Ref35	Ref36	Ref37	Ref38	Ref39	Ref40	Ref41	Ref42	Ref43	Ref44	Ref45	Ref46	Ref47	Ref48	Ref49	Ref50	Ref51	Ref52	Ref53	Ref54	Ref55	Ref56	Ref57	Ref58	Ref59	Ref60	Ref61	Ref62	Ref63	Ref64	Ref65	Ref66	Ref67	Ref68	Ref69	Ref70	Ref71	Ref72	Ref73	Ref74	Ref75	Ref76	Ref77	Ref78	Ref79	Ref80	Ref81	Ref82	Ref83	Ref84	Ref85	Ref86	Ref87	Ref88	Ref89	Ref90	Ref91	Ref92	Ref93	Ref94	Ref95	Ref96	Ref97	Ref98	Ref99	Ref100	Ref101	Ref102	Ref103	Ref104	Ref105	Ref106	Ref107	Ref108	Ref109	Ref110	Ref111	Ref112	Ref113	Ref114	Ref115	Ref116	Ref117	Ref118	Ref119	Ref120	Ref121	Ref122	Ref123	Ref124	Ref125	Ref126	Ref127	Ref128	Ref129	Ref130	Ref131	Ref132	Ref133	Ref134	Ref135	Ref136	Ref137	Ref138	Ref139	Ref140	Ref141	Ref142	Ref143	Ref144	Ref145	Ref146	Ref147	Ref148	Ref149	Ref150	Ref151	Ref152	Ref153	Ref154	Ref155	Ref156	Ref157	Ref158	Ref159	Ref160	Ref161	Ref162	Ref163	Ref164	Ref165	Ref166	Ref167	Ref168	Ref169	Ref170	Ref171	Ref172	Ref173	Ref174	Ref175	Ref176	Ref177	Ref178	Ref179	Ref180	Ref181	Ref182	Ref183	Ref184	Ref185	Ref186	Ref187	Ref188	Ref189	Ref190	Ref191	Ref192	Ref193	Ref194	Ref195	Ref196	Ref197	Ref198	Ref199	Ref200	Ref201	Ref202	Ref203	Ref204	Ref205	Ref206	Ref207	Ref208	Ref209	Ref210	Ref211	Ref212	Ref213	Ref214	Ref215	Ref216	Ref217	Ref218	Ref219	Ref220	Ref221	Ref222	Ref223	Ref224	Ref225	Ref226	Ref227	Ref228	Ref229	Ref230	Ref231	Ref232	Ref233	Ref234	Ref235	Ref236	Ref237	Ref238	Ref239	Ref240	Ref241	Ref242	Ref243	Ref244	Ref245	Ref246	Ref247	Ref248	Ref249	Ref250	Ref251	Ref252	Ref253	Ref254	Ref255	Ref256	Ref257	Ref258	Ref259	Ref260	Ref261	Ref262	Ref263
004960C1	LegendaryCreatureChance_Check	7	10000000|1.000000|IsTrueForConditionForm|00 00 00|14 00|LegendaryCreatureChance_Check_IsLegendaryAllowed [CNDF:004960B8]|00 00 00 00|0|-1|Subject|	10000000|1.000000|IsTrueForConditionForm|00 00 00|14 00|LegendaryCreatureChance_Check_DieRollForLocation_OR_Is_NukeRegion [CNDF:004960C0]|00 00 00 00|0|-1|Subject|	10010000|1.000000|IsTrueForConditionForm|00 00 00|14 00|LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_0plus [CNDF:004960BA]|00 00 00 00|0|-1|Subject|	10010000|1.000000|IsTrueForConditionForm|00 00 00|14 00|LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_11plus [CNDF:004960BB]|00 00 00 00|0|-1|Subject|	10010000|1.000000|IsTrueForConditionForm|00 00 00|14 00|LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_21plus [CNDF:004960BC]|00 00 00 00|0|-1|Subject|	10010000|1.000000|IsTrueForConditionForm|00 00 00|14 00|LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_31plus [CNDF:004960BE]|00 00 00 00|0|-1|Subject|	10010000|1.000000|IsTrueForConditionForm|00 00 00|14 00|LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_41plus [CNDF:004960BD]|00 00 00 00|0|-1|Subject|																																																																						1	001CCDA3:LegendaryCreatureChance_AbConvertLegendaryCreature:SPEL																																																																																																																																																																																																																																																																						
004960D1	DiseasedCreatureChance_Check_DieRollForChanceStandard	2	10100100|SURV_DiseasedCreatureChance_Standard [GLOB:003E7F70]|GetValue|00 00 00|14 00|DiseasedCreatureChance_FixedDieRollAV [AVIF:004960CA]|00 00 00 00|0|-1|Subject|	10000000|1.000000|IsTrueForConditionForm|00 00 00|14 00|DiseasedCreatureChance_Check_HasChanceStandardKeyword [CNDF:004960CF]|00 00 00 00|0|-1|Subject|																																																																											1	004960CC:DiseasedCreatureChance_Check:CNDF																																																																																																																																																																																																																																																																						
004960D0	DiseasedCreatureChance_Check_HasChanceHighKeyword	3	10010000|1.000000|HasKeyword|00 00 00|14 00|ActorTypeBloodbug [KYWD:0013BDCB]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|14 00|ActorTypeRadRoach [KYWD:0013D00D]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|14 00|ActorTypeTick [KYWD:0013D058]|00 00 00 00|0|-1|Subject|																																																																										1	004960D2:DiseasedCreatureChance_Check_DieRollForChanceHigh:CNDF																																																																																																																																																																																																																																																																						
004960CF	DiseasedCreatureChance_Check_HasChanceStandardKeyword	29	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeAngler [KYWD:00331ABB]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeBeaver [KYWD:00115EDB]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeBloatfly [KYWD:0013BDAD]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeDeathclaw [KYWD:000317AA]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeFeralGhoul [KYWD:0006B4F2]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeFeralGhoulGlowingOne [KYWD:00179C60]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeGraftonMonster [KYWD:0013BDD1]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeGulper [KYWD:00110D75]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeHoneyBeast [KYWD:0013BDD9]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeMegaSloth [KYWD:0013BE86]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeMirelurkHunter [KYWD:00064C63]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeMirelurkKing [KYWD:000E58C7]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeMirelurkQueen [KYWD:00108178]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeMirelurkSpawn [KYWD:0013BE9B]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeMirelurk [KYWD:0002CB71]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeMolerat [KYWD:0002CB70]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeMutantHound [KYWD:0013CF62]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeMutatedWolf [KYWD:0013CF65]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeRadAnt [KYWD:0013CF70]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeRadHog [KYWD:008279FF]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeRadRat [KYWD:0013CF8A]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeRadScorpion [KYWD:000636DE]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeRadStag [KYWD:00090E55]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeDog [KYWD:00021AD0]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeSnallygaster [KYWD:0013D01B]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeStingwing [KYWD:0013D03C]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeScorchbeast [KYWD:0013D05A]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeWendigo [KYWD:00126EA9]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|00 00|ActorTypeYaoGuai [KYWD:000B3D83]|00 00 00 00|0|-1|Subject|																																																1	004960D1:DiseasedCreatureChance_Check_DieRollForChanceStandard:CNDF																																																																																																																																																																																																																																																																						
004960CE	DiseasedCreatureChance_Check_HasIgnoreMinCreatureLevelKeyword	3	10010000|1.000000|HasKeyword|00 00 00|14 00|ActorTypeRadRoach [KYWD:0013D00D]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|14 00|ActorTypeMirelurkSpawn [KYWD:0013BE9B]|00 00 00 00|0|-1|Subject|	10010000|1.000000|HasKeyword|00 00 00|14 00|ActorTypeMutantHound [KYWD:0013CF62]|00 00 00 00|0|-1|Subject|																																																																										1	004960CD:DiseasedCreatureChance_Check_IsDiseasedAllowed:CNDF																																																																																																																																																																																																																																																																						
004960CD	DiseasedCreatureChance_Check_IsDiseasedAllowed	3	10000000|0.000000|HasKeyword|00 00 00|14 00|NoDiseaseCarrier [KYWD:0059FFD1]|00 00 00 00|0|-1|Subject|	11010100|DiseasedCreatureChance_MinLevel [GLOB:004960CB]|GetLevel|00 00 00|14 00|00 00 00 00|00 00 00 00|0|-1|Subject|	10010000|1.000000|IsTrueForConditionForm|00 00 00|14 00|DiseasedCreatureChance_Check_HasIgnoreMinCreatureLevelKeyword [CNDF:004960CE]|00 00 00 00|0|-1|Subject|																																																																										2	003E7F6D:SURV_DiseasedCreatureChance_abDiseasedCreature_Effect:MGEF	004960CC:DiseasedCreatureChance_Check:CNDF																																																																																																																																																																																																																																																																					
004960BB	LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_11plus	2	11000000|11.000000|GetLevel|00 00 00|14 00|00 00 00 00|00 00 00 00|0|-1|Subject|	10100100|LegendaryCreatureChance_Level_11plus [GLOB:004960C5]|GetValue|00 00 00|14 00|LegendaryCreatureChance_FixedDieRollAV_ForLevel [AVIF:004960B9]|00 00 00 00|0|-1|Subject|																																																																											1	004960C1:LegendaryCreatureChance_Check:CNDF																																																																																																																																																																																																																																																																						
004960BC	LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_21plus	2	11000000|21.000000|GetLevel|00 00 00|14 00|00 00 00 00|00 00 00 00|0|-1|Subject|	10100100|LegendaryCreatureChance_Level_21plus [GLOB:004960C6]|GetValue|00 00 00|14 00|LegendaryCreatureChance_FixedDieRollAV_ForLevel [AVIF:004960B9]|00 00 00 00|0|-1|Subject|																																																																											1	004960C1:LegendaryCreatureChance_Check:CNDF																																																																																																																																																																																																																																																																						
004960BE	LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_31plus	2	11000000|31.000000|GetLevel|00 00 00|14 00|00 00 00 00|00 00 00 00|0|-1|Subject|	10100100|LegendaryCreatureChance_Level_31plus [GLOB:004960C7]|GetValue|00 00 00|14 00|LegendaryCreatureChance_FixedDieRollAV_ForLevel [AVIF:004960B9]|00 00 00 00|0|-1|Subject|																																																																											1	004960C1:LegendaryCreatureChance_Check:CNDF																																																																																																																																																																																																																																																																						
004960CC	DiseasedCreatureChance_Check	4	10000000|1.000000|IsTrueForConditionForm|00 00 00|00 00|DiseasedCreatureChance_Check_IsDiseasedAllowed [CNDF:004960CD]|00 00 00 00|0|-1|Subject|	10010000|1.000000|IsTrueForConditionForm|00 00 00|00 00|DiseasedCreatureChance_Check_DieRollForChanceHigh [CNDF:004960D2]|00 00 00 00|0|-1|Subject|	10010000|1.000000|IsTrueForConditionForm|00 00 00|00 00|DiseasedCreatureChance_Check_DieRollForChanceStandard [CNDF:004960D1]|00 00 00 00|0|-1|Subject|	10010000|1.000000|IsTrueForConditionForm|00 00 00|00 00|DiseasedCreatureChance_Check_HasForcedDiseasedKeyword [CNDF:0075468E]|00 00 00 00|0|-1|Subject|																																																																									1	003E7F6C:SURV_DiseasedCreatureChance_abDiseasedCreature:SPEL																																																																																																																																																																																																																																																																						
004960BD	LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_41plus	2	11000000|41.000000|GetLevel|00 00 00|14 00|00 00 00 00|00 00 00 00|0|-1|Subject|	10100100|LegendaryCreatureChance_Level_41plus [GLOB:004960C8]|GetValue|00 00 00|14 00|LegendaryCreatureChance_FixedDieRollAV_ForLevel [AVIF:004960B9]|00 00 00 00|0|-1|Subject|																																																																											1	004960C1:LegendaryCreatureChance_Check:CNDF																																																																																																																																																																																																																																																																						
004960BA	LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_0plus	2	11000000|0.000000|GetLevel|00 00 00|14 00|00 00 00 00|00 00 00 00|0|-1|Subject|	10100100|LegendaryCreatureChance_Level_0plus [GLOB:004960C4]|GetValue|00 00 00|14 00|LegendaryCreatureChance_FixedDieRollAV_ForLevel [AVIF:004960B9]|00 00 00 00|0|-1|Subject|																																																																											1	004960C1:LegendaryCreatureChance_Check:CNDF																																																																																																																																																																																																																																																																						
004960B8	LegendaryCreatureChance_Check_IsLegendaryAllowed	5	01000000|0.000000|GetValue|00 00 00|00 00|LegendaryCreatureChance_FixedDieRollAV_ForLevel [AVIF:004960B9]|00 00 00 00|0|-1|Subject|	10000000|0.000000|GetDead|00 00 00|00 00|00 00 00 00|00 00 00 00|0|-1|Subject|	11000100|LegendaryCreatureChance_MinLevel [GLOB:004960B7]|GetLevel|00 00 00|00 00|00 00 00 00|00 00 00 00|0|-1|Subject|	10000000|0.000000|HasKeyword|00 00 00|00 00|EpicCreatureDisallowed [KYWD:004FC5B6]|00 00 00 00|0|-1|Subject|	10000000|0.000000|GetIsPlayer|00 00 00|00 00|00 00 00 00|00 00 00 00|0|-1|Subject|																																																																								2	002129BC:LegendaryCreatureChance_abEpicCreatureCreateEffect:MGEF	004960C1:LegendaryCreatureChance_Check:CNDF																																																																																																																																																																																																																																																																					
004960C0	LegendaryCreatureChance_Check_DieRollForLocation_OR_Is_NukeRegion	4	10110100|LegendaryCreatureChance_Location [GLOB:004960C9]|GetValue|00 00 00|14 00|LegendaryCreatureChance_FixedDieRollAV_ForRegion [AVIF:004960BF]|00 00 00 00|0|-1|Subject|	10010000|1.000000|GetIsInRegion|00 00 00|14 00|NukeRegionA [REGN:000219E2]|00 00 00 00|0|-1|Subject|	10010000|1.000000|GetIsInRegion|00 00 00|14 00|NukeRegionB [REGN:000219DD]|00 00 00 00|0|-1|Subject|	10010000|1.000000|GetIsInRegion|00 00 00|14 00|NukeRegionC [REGN:000219E3]|00 00 00 00|0|-1|Subject|																																																																									1	004960C1:LegendaryCreatureChance_Check:CNDF																																																																																																																																																																																																																																																																						
0047F164	IsEpisode_EverUpwards	2	10010000|1.000000|GetGlobalValue|00 00 00|14 00|E01C_Campfire_CanStart [GLOB:0047F163]|00 00 00 00|0|-1|Subject|	10010000|1.000000|GetGlobalValue|00 00 00|14 00|P01C_Tadpole_CanStart [GLOB:0047F162]|00 00 00 00|0|-1|Subject|																																																																											0																																																																																																																																																																																																																																																																							
