WTHR_FormID	WTHR_EDID	KeywordCount	KW_1	KW_2	KW_3	KW_4	KW_5	KW_6	KW_7
006A0F8D	zzzStorm_NewWeather_BaseStorm_Nuke	3	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD	00525F63:s_wt_StormNuke:KYWD				
0072C7C6	Storm_NewWeather_CorruptedZone	2	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD					
0072C7C7	Storm_NewWeather_Overcast	2	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD					
0072DC86	zzzStorm_NewWeather_Nuke	3	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD	00525F63:s_wt_StormNuke:KYWD				
00745692	Storm_NewWeather_Nuke_Rain_TEMP	7	00151838:WeatherTypeHUDRain:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	00176989:s_wt_StormRainOcclusion:KYWD	0017698D:s_wt_StormMistyRainy:KYWD	0017698E:s_wt_StormRad:KYWD	004510DB:s_wt_StormRain:KYWD	00525F63:s_wt_StormNuke:KYWD
00757618	zzzATX_Weather_Storm_CorruptedZone	4	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD	00757616:ATX_Weather_WeatherTypeKW_StormDeadZone:KYWD			
0075F0A7	Storm_NewWeather_CorruptedZone_Rain	3	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	004510DB:s_wt_StormRain:KYWD				
0075F0A8	zzzStorm_NewWeather_DeadZone_Rain	3	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD	004510DB:s_wt_StormRain:KYWD				
00761063	Storm_NewWeather_Nuke_New	3	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD	00525F63:s_wt_StormNuke:KYWD				
00761062	Storm_NewWeather_Overcast_Rain	3	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	004510DB:s_wt_StormRain:KYWD				
007613D3	Storm_NewWeather_Nuke_New_Rain	4	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD	004510DB:s_wt_StormRain:KYWD	00525F63:s_wt_StormNuke:KYWD			
0077E755	zzzATX_Weather_Storm_DeadZone	2	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD					
0077FECA	Shelters_Weather_SummerCamp_Clear	2	00176988:s_wt_Clear:KYWD	00527221:MTR_Weather_Clear:KYWD					
00782D98	Storm_NewWeather_Overcast_Rain_New	3	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	004510DB:s_wt_StormRain:KYWD				
00782D99	Storm_NewWeather_DeadZone_Rain_New	4	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD	004510DB:s_wt_StormRain:KYWD			
00782D9A	ATX_Weather_Storm_DeadZone_New	4	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD	00757616:ATX_Weather_WeatherTypeKW_StormDeadZone:KYWD			
0078DE53	Storm_NewWeather_Overcast_Clear	2	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD					
0078DE52	Storm_NewWeather_Overcast_Misty	2	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD					
0077D52A	Shelters_Weather_HousingDevelopment_Clear	2	00176988:s_wt_Clear:KYWD	00527221:MTR_Weather_Clear:KYWD					
007962BE	ATX_Weather_HalloweenOvercast01	2	0002F28B:s_wt_Cloudy:KYWD	0079C8E1:ATX_Weather_WeatherTypeKW_Halloween01:KYWD					
00798D5D	Shelters_Weather_HousingDevelopment_Clear_Copy01	2	00176988:s_wt_Clear:KYWD	00527221:MTR_Weather_Clear:KYWD					
00798D60	ATX_Weather_MothmanEquinox	4	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD	00798D5F:ATX_Weather_WeatherTypeKW_Mothman:KYWD			
007990A3	zzz_SCORE_S19_NewWeather_Nuke_New	3	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD	00525F63:s_wt_StormNuke:KYWD				
0079A1EE	zzzATX_Weather_P56	3	0002F28B:s_wt_Cloudy:KYWD	00176989:s_wt_StormRainOcclusion:KYWD	007263BA:ATX_Weather_WeatherTypeKW_Snow01:KYWD				
0079B16A	ATX_Weather_RadstormNukeVariation	4	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD	006F0680:ATX_Weather_WeatherTypeKW_Radstorm:KYWD	007990A5:ATX_Weather_NukeZone:KYWD			
007ACD5C	ATX_Weather_FallFoliage	2	00176988:s_wt_Clear:KYWD	007ACD58:ATX_Weather_WeatherTypeKW_FallFoliage:KYWD					
007B24CF	ATX_Weather_SnowAurora01	4	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	00176989:s_wt_StormRainOcclusion:KYWD	007B24D0:ATX_Weather_WeatherTypeKW_SnowAurora01:KYWD			
007D0F07	Weather_SSEBigBloomEvent	1	00176988:s_wt_Clear:KYWD						
007F1829	ATX_Weather_VerdantPollen	2	0002F28B:s_wt_Cloudy:KYWD	007F182C:ATX_Weather_WeatherTypeKW_VerdantPollen:KYWD					
007ABE87	Fishing_Weather_FishermansRest_Fog	1	0002F28B:s_wt_Cloudy:KYWD						
00811398	ATX_Weather_Fireworks	4	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	0076EA1B:WeatherTypeIntenseLightEffects:KYWD	0081139F:ATX_Weather_WeatherTypeKW_Fireworks:KYWD			
00832AD7	ATX_Weather_LightRain	4	00151838:WeatherTypeHUDRain:KYWD	00176989:s_wt_StormRainOcclusion:KYWD	0017698D:s_wt_StormMistyRainy:KYWD	00832935:ATX_Weather_WeatherTypeKW_LightRain:KYWD			
007EBA4B	Burn_DesertBaseWeather	1	00176988:s_wt_Clear:KYWD						
007EE02B	Burn_DesertSandStormWeather	3	00017C6F:s_wt_StormAsh:KYWD	00176988:s_wt_Clear:KYWD	0084A7BD:s_wt_Sandstorm:KYWD				
00805B97	Burn_DesertSandStormWeather_Lite	2	00017C6F:s_wt_StormAsh:KYWD	00176988:s_wt_Clear:KYWD					
008524EA	Burn_DesertSandStormWeather_Event	3	00017C6F:s_wt_StormAsh:KYWD	00176988:s_wt_Clear:KYWD	0084A7BD:s_wt_Sandstorm:KYWD				
0085354E	ATX_Weather_BurningSandStorm	4	00017C6F:s_wt_StormAsh:KYWD	00176988:s_wt_Clear:KYWD	0084A7BD:s_wt_Sandstorm:KYWD	0084CCE3:ATX_Weather_WeatherTypeKW_BurningSandstorm:KYWD			
008535D3	Burn_DesertSandStormNukeWeather	5	0015A069:WeatherTypePermanentAurora:KYWD	00176988:s_wt_Clear:KYWD	0017698E:s_wt_StormRad:KYWD	00525F63:s_wt_StormNuke:KYWD	0084A7BD:s_wt_Sandstorm:KYWD		
00853D48	zzzATX_Burn_DesertSandStormWeather	2	00017C6F:s_wt_StormAsh:KYWD	00176988:s_wt_Clear:KYWD					
0086C996	ATX_Weather_BurningNight	2	00176988:s_wt_Clear:KYWD	0084CCE2:ATX_Weather_WeatherTypeKW_BurningNight:KYWD					
008AACC1	ATX_Weather_Invasion	4	0015A069:WeatherTypePermanentAurora:KYWD	00176988:s_wt_Clear:KYWD	0017698E:s_wt_StormRad:KYWD	008AACC0:ATX_Weather_WeatherTypeKW_Invasion:KYWD			
008ABBCE	ATX_Weather_Outwaste	4	0002F28B:s_wt_Cloudy:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	0017698E:s_wt_StormRad:KYWD	008ABBCB:ATX_Weather_WeatherTypeKW_Outwaste:KYWD			
008A45C3	DEL_HTO_NewWeather_Clear	1	00176988:s_wt_Clear:KYWD						
008A45C2	DEL_HTO_NewWeather_Active	5	00151838:WeatherTypeHUDRain:KYWD	0015A069:WeatherTypePermanentAurora:KYWD	00176989:s_wt_StormRainOcclusion:KYWD	0017698D:s_wt_StormMistyRainy:KYWD	0076EA1B:WeatherTypeIntenseLightEffects:KYWD		
008B0D79	ATX_Weather_Rainbow	4	0015A069:WeatherTypePermanentAurora:KYWD	00176988:s_wt_Clear:KYWD	0017698E:s_wt_StormRad:KYWD	008B0D77:ATX_Weather_WeatherTypeKW_Rainbow:KYWD			
008B4FD6	Shelters_Weather_MoonlightCamp_Clear	1	00176988:s_wt_Clear:KYWD						
008B544A	ATX_Weather_RainbowLightRain	3	0015A069:WeatherTypePermanentAurora:KYWD	00176988:s_wt_Clear:KYWD	008B5449:ATX_Weather_WeatherTypeKW_RainbowLightRain:KYWD				
