FormID	EDID	FULL	DESC	Weight	Value	DNAM	Keywords_Flat	KeywordCount	ENIT_Value	ENIT_Flags	ENIT_Addiction_FormID	ENIT_Addiction_EDID	ENIT_Addiction_FULL	ENIT_AddictionChance	ENIT_ConsumeSound_FormID	ENIT_ConsumeSound_EDID	ENIT_ConsumeSound_FULL	ENIT_HealthCurve_FormID	ENIT_HealthCurve_EDID	ENIT_HealthCurve_FULL
00111967	ChickenMeat	Chicken Thigh			8			0	8	11				0.000000						
001119D8	RabbitMeatCooked	Seasoned Rabbit Skewers			15			0	15	11011				0.000000						
001119DB	ChickenMeatCookedSoup	Chicken Noodle Soup			19			0	19	11011				0.000000						
00112EE6	CaveCricketMeat	Cave Cricket Meat			13			0	13	11				0.000000						
00112EE7	SwarmMeat	Flying Ant Meat			8			0	8	11				0.000000						
00112EFA	RadAntMeat	Ant Meat			3			0	3	11				0.000000						
00112F04	RadRatMeat	Radrat Meat			5			0	5	11				0.000000						
00113106	FeverBlossomHerb	Fever Blossom			4			0	4	11				0.000000						
00113292	DLC04_NukaCola_Grape	Nuka-Grape			15			0	15	11011				0.000000						
00113294	Brew_DLC04_NukaCola_Dark	Nuka-Cola Dark			30	Alcohol		0	30	11011	0003E061	AbAddictionAlcohol	Alcohol Addiction	0.050000						
00113298	DLC04_NukaCola_Orange	Nuka-Orange			15			0	15	11011				0.000000						
0011329B	DLC04_NukaCola_Wild	Nuka-Cola Wild			15			0	15	11011				0.000000						
0011335E	CaveCricketMeatGland	Cave Cricket Gland			3			0	3	11				0.000000						
00113377	DLC04_CottonCandyBites	Cotton Candy Bites			7			0	7	10011				0.000000						
00113378	DLC04_FunnelCake	Funnel Cake			12			0	12	11011				0.000000						
00113DAC	DLC04_Calmex	Calmex Silk	+3 Perception, +3 Agility, +3 Luck and 2x Multiplier To Sneak Attacks for 5 minutes.		80			0	80	11011	00156D0C	AbAddictionCalmex	Calmex Addiction	0.150000						
001142D7	RadratMeatCooked	Radrat Steak			8			0	8	11011				0.000000						
001142F9	RadantMeatCooked	Roasted Ant			7			0	7	11011				0.000000						
001142FA	CaveCricketMeatCooked	Crispy Cave Cricket			25			0	25	11011				0.000000						
00117B43	MoM_PhantomDevice	Phantom Device	Frenzies nearby creatures and renders you almost completely invisible.		100			0	100	10011000000000001				0.000000						
00117DF9	SuperStimpak	Stimpak: Super	Restores health with an initial burst followed by a slower rate of healing.		60			0	60	10011000000000001				0.000000						
00118613	CookingFlavor_Salt	Salt			6			0	6	11				0.000000						
00118614	CookingFlavor_Sugar	Sugar			6			0	6	11011				0.000000						
00118617	CookingFlavor_Pepper	Pepper			6			0	6	11				0.000000						
0011863E	CookingFlavor_Spices	Spices			6			0	6	11				0.000000						
0011C0C2	AshRoseHerb	Ash Rose			8			0	8	11				0.000000						
0011C5B0	BrainBombsGourmet	Brain Bombs			31			0	31	11011				0.000000						
0011EA93	Brew_BeerBottleStandard01	Beer			5	Alcohol		0	5	11011	0003E061	AbAddictionAlcohol	Alcohol Addiction	0.050000						
00120C9B	CompanyTea_RSVP02	Company Tea			10			0	10	11011				0.000000						
0012C48E	FirecrackerBerryFruit	Firecracker Berry			8			0	8	11				0.000000						
0012D3EF	RadAwayDiluted	RadAway: Diluted	Removes 150 Rads. Increases chance for disease. Chance to cure mutations.		15			0	15	10011000000000001				0.000000						
0012D3F1	RadXDiluted	Rad-X: Diluted	+125 Rad Resist for 10 minutes.		15			0	15	10011				0.000000						
0012D42C	CranberryMeatballGrinderGourmet	Cranberry Meatball Grinder			47			0	47	11011				0.000000						
0012DB3D	Cream	Cream			5			0	5	11011				0.000000						
00142950	MegaSlothMushroomVegetable	Megasloth Mushroom			6			0	6	11				0.000000						
00145857	Brew_Rum	Rum			8	Alcohol		0	8	11011	0003E061	AbAddictionAlcohol	Alcohol Addiction	0.050000						
00146156	MutanthoundMeat	Mutant Hound Meat			8			0	8	11				0.000000						
001506F4	XCell	X-Cell	+2 to all SPECIALs for 2 minutes.		35			0	35	11011	00156D0D	AbAddictionXCell	X-Cell Addiction	0.350000						
00150729	DayTripper	Day Tripper	+3 Charisma, +3 Luck and -2 Strength for 10 minutes.		30			0	30	11011	00156D0F	AbAddictionDaytripper	Daytripper Addiction	0.150000						
00156D0B	DaddyO	Daddy-O	+3 Intelligence, +3 Perception and -2 Charisma for 10 minutes.		40			0	40	11011	00156D0E	AbAddictionDaddyO	Daddy-O Addiction	0.150000						
0016A13C	Brew_CranberryMoonshine	Cranberry Moonshine			20	Alcohol		0	20	11011	0003E061	AbAddictionAlcohol	Alcohol Addiction	0.150000						
0019797D	RadroachMeatCooked	Grilled Radroach			7			0	7	11011				0.000000						
0019C225	ScorchBeastMeatCooked	Scorchbeast Steak			40			0	40	11011				0.000000						
001A6396	PreservedPie01	Perfectly Preserved Pie			9			0	9	10011				0.000000						
001A6397	MoldyFood01	Moldy Food			1			0	1	11				0.000000						
001A71E7	DeathclawMeatTastySouffle	Deathclaw Wellington			58			0	58	11011				0.000000						
001BE2AB	SiltBeanVegetable	Silt Bean			6			0	6	11				0.000000						
001C0FC2	BrainFungusVegetable	Brain Fungus			6			0	6	11				0.000000						
001C0FC3	GlowingFungusVegetable	Glowing Fungus			6			0	6	11				0.000000						
001C25EE	BloodLeafHerb	Bloodleaf			5			0	5	11				0.000000						
001C3FDC	SootFlowerHerb	Soot Flower			5			0	5	11				0.000000						
001C400D	TatoFlowerHerb	Tato Flower			7			0	7	11				0.000000						
001C4010	MelonBloomHerb	Melon Bloom			6			0	6	11				0.000000						
001C4011	GourdFlowerHerb	Gourd Blossom			6			0	6	11				0.000000						
001C4013	CarrotFlowerHerb	Carrot Flower			6			0	6	11				0.000000						
001C719E	ScorchBeastMeatBrainCooked	Broiled Scorchbeast Brain			40			0	40	11011				0.000000						
001C71A0	ScorchBeastMeatHeartCooked	Roasted Scorchbeast Heart			40			0	40	11011				0.000000						
001C71A4	ScorchBeastMeatLiverCooked	Charred Scorchbeast Liver			40			0	40	11011				0.000000						
001C71A5	ScorchBeastMeatLungCooked	Smoked Scorchbeast Lung			40			0	40	11011				0.000000						
001C71A8	MegaslothMeatCooked	Roast Megasloth			39			0	39	11011				0.000000						
001C71AA	PumpkinVegetableCookedSoup	Pumpkin Soup			6			0	6	11011				0.000000						
001F1208	RadscorpionEggTasty	Tasty Radscorpion Egg Omelette	Cures all addictions.		40			0	40	11011				0.000000						
001F24B6	MelonFlowerHerb	Melon Blossom			6			0	6	11				0.000000						
001FABC2	CranberryFruitDiseased	Diseased Cranberries			3			0	3	11				0.000000						
0020D3DE	MirelurkQueenMeat	Queen Mirelurk Meat			19			0	19	11				0.000000						
0021188E	MutantHoundMeatCooked	Mutant Hound Chops			12			0	12	11011				0.000000						
0021C00C	MirelurkQueenMeatCooked	Mirelurk Queen Steak			39			0	39	11011				0.000000						
0023E9D4	MirelurkEgg	Mirelurk Egg			7			0	7	11				0.000000						
0027C8BA	MTNS05_VoxDart	Vox Interpreter Dart	Runs a script on the target, checking to see if it's valid for the MTNS05_Voices quest, and makes the target "speak"		0			0	0	00011				0.000000						
00281E8B	test_SURV_TestDiseaseChanceFood_Base	_Disease Chance Food 0 - Base			0			0	0	0000000000000000000000000000000000000000000000000000000000000000				0.000000						
0028D189	EN07_HighRadiationFluids	High-Radiation Fluids			50			0	50	10011000000000001				0.000000						
0028D18A	EN07_GlowingMass	Glowing Mass			65			0	65	11				0.000000						
0028D18D	EN07_IonizedMeat	Ionized Meat			30			0	30	11				0.000000						
002944CA	AnglerLureWeedVegetableCooked	Chew Stick			5			0	5	11011				0.000000						
002944CD	AshRoseHerbTastyTea	Steeped Ash Rose Tea			14			0	14	11011				0.000000						
002944D2	AsterHerbTastyTea	Steeped Aster Tea			12			0	12	11011				0.000000						
002944D3	BloodbloomHerbTastyTea	Steeped Black Bloodleaf Tea			12			0	12	11011				0.000000						
002944D8	CarrotFlowerHerbTastyTea	Steeped Carrot Flower Tea			12			0	12	11011				0.000000						
002944D9	FernFlowerHerbTastyTea	Steeped Fern Flower Tea			11			0	11	11011				0.000000						
002944DA	FeverBlossomHerbTastyTea	Steeped Fever Blossom Tea			11			0	11	11011				0.000000						
002944DB	GourdFlowerHerbTastyTea	Steeped Gourd Blossom Tea			12			0	12	11011				0.000000						
002944DD	MelonBloomHerbTastyTea	Steeped Melon Bloom Tea			12			0	12	11011				0.000000						
002944DE	MelonFlowerHerbTastyTea	Steeped Melon Blossom Chai			12			0	12	11011				0.000000						
002944E0	StranglerBloomHerbTastyTea	Steeped Strangler Bloom Tea			11			0	11	11011				0.000000						
002944E3	StranglerPodHerbTastyTea	Steeped Strangler Pod Tea			11			0	11	11011				0.000000						
002944E4	TatoFlowerHerbTastyTea	Steeped Tato Flower Tea			13			0	13	11011				0.000000						
002944E7	ThistleHerbTastyTea	Steeped Thistle Tea			12			0	12	11011				0.000000						
002944EB	BlightVegetableCookedSoup	Blight Soup			5			0	5	11011				0.000000						
002944F1	BrainFungusVegetableCookedSoup	Brain Fungus Soup			6			0	6	11011				0.000000						
002944FD	CarrotVegetableCookedSoup	Carrot Soup			5			0	5	11011				0.000000						
0029450E	CaveFungusVegetableCookedSoup	Cave Fungus Soup			8			0	8	11011				0.000000						
00294510	CornVegetableCookedSoup	Corn Soup			6			0	6	11011				0.000000						
00294517	GlowingFungusVegetableCookedSoup	Glowing Fungus Soup			6			0	6	11011				0.000000						
00294518	GourdVegetableCookedSoup	Gourd Soup			6			0	6	11011				0.000000						
00294519	MegaSlothMushroomVegetableCookedSoup	Megasloth Mushroom Soup			6			0	6	11011				0.000000						
0029451A	MothmanEggCooked	Mothman Egg Omelette			38			0	38	11011				0.000000						
0029451B	RazorgrainVegetableCookedSoup	Razorgrain Soup			5			0	5	11011				0.000000						
0029451E	SapVegetableCooked	Syrup			12			0	12	11011				0.000000						
0029451F	SiltBeanVegetableCookedSoup	Silt Bean Soup			6			0	6	11011				0.000000						
00294520	TatoVegetableCookedSoup	Tato Soup			7			0	7	11011				0.000000						
00294521	BlackberryFruitCookedJuice	Blackberry Juice			8			0	8	11011				0.000000						
00294522	CorpseFlowerSeedsFruitCookedJuice	Corpse Seed Juice			8			0	8	11011				0.000000						
00294523	CranberryCookedJuice	Cranberry Juice			5			0	5	11011				0.000000						
00294524	FirecrackerBerryFruitCookedJuice	Firecracker Berry Juice			8			0	8	11011				0.000000						
00294525	MelonFruitCookedJuice	Melon Juice			6			0	6	11011				0.000000						
00294526	MutfruitFruitCookedJuice	Mutfruit Juice			8			0	8	11011				0.000000						
00294529	TarberryFruitCookedJuice	Tarberry Juice			5			0	5	11011				0.000000						
0029452C	TatoFruitCookedJuice	Tato Juice			7			0	7	11011				0.000000						
0029452D	CatMeatCooked	Cat Meat Steak			8			0	8	11011				0.000000						
00294538	RadToadLeg	Radtoad Leg			60			0	60	11				0.000000						
00294539	SwarmMeatCooked	Crispy Flying Ant Bits			8			0	8	11011				0.000000						
00295BE5	RadToadEgg	Radtoad Egg			9			0	9	11				0.000000						
002A8E1F	FFZ13_BrewSweetwaterTastyTea	Sweetwater Special Blend			15			0	15	11011	0003E061	AbAddictionAlcohol	Alcohol Addiction	0.050000						
002D1585	BlackberryFruitTastyTea	Sweet Blackberry Tea			14			0	14	11011				0.000000						
002DB87A	ScorchBeastMeat	Scorchbeast Meat			22			0	22	11				0.000000						
002DB87B	ScorchBeastMeatBrain	Scorchbeast Brain			27			0	27	11				0.000000						
002DB87C	ScorchBeastMeatHeart	Scorchbeast Heart			28			0	28	11				0.000000						
002DB87D	ScorchBeastMeatLiver	Scorchbeast Liver			23			0	23	11				0.000000						
002DB87E	ScorchBeastMeatLung	Scorchbeast Lung			25			0	25	11				0.000000						
002DBFC2	AAA_SURV_TEMPLATE_Food_Drink_Effect_Cooked_Small				0			0	0	0000000000000000000000000000000000000000000000000000000000000000				0.000000						
002DBFCB	AAA_SURV_TEMPLATE_Food_Drink_Effect_Cooked_Large				0			0	0	0000000000000000000000000000000000000000000000000000000000000000				0.000000						
002DBFCC	AAA_SURV_TEMPLATE_Food_Drink_Effect_Tasty_Small				0			0	0	0000000000000000000000000000000000000000000000000000000000000000				0.000000						
002DBFCD	AAA_SURV_TEMPLATE_Food_Drink_Effect_Tasty_Large				0			0	0	0000000000000000000000000000000000000000000000000000000000000000				0.000000						
002DBFCE	AAA_SURV_TEMPLATE_Food_Drink_Effect_Packaged_Small&Large				0			0	0	0000000000000000000000000000000000000000000000000000000000000000				0.000000						
002DBFCF	AAA_SURV_TEMPLATE_Food_Drink_Effect_Gourmet_Small&Large				0			0	0	0000000000000000000000000000000000000000000000000000000000000000				0.000000						
002DDD45	FloraSpecimenJarRed	Raw Crimson Flux			10			0	10	11011				0.000000						
002DDD46	FloraSpecimenJarBlue	Raw Cobalt Flux			10			0	10	11011				0.000000						
002DDD49	FloraSpecimenJarYellow	Raw Yellowcake Flux			10			0	10	11011				0.000000						
002DDD4B	FloraSpecimenJarOrange	Raw Fluorescent Flux			10			0	10	11011				0.000000						
002DDD4D	FloraSpecimenJarPurple	Raw Violet Flux			10			0	10	11011				0.000000						
002E3190	MTR01_Precursor01a	Precursor 114a			8			0	8	100000000000000001				0.000000						
002E3193	MTR01_Precursor01b	Precursor 114b			8			0	8	100000000000000001				0.000000						
002E3195	MTR01_Precursor02a	Precursor 7516a			8			0	8	100000000000000001				0.000000						
002E3196	MTR01_Precursor02b	Precursor 7516b			8			0	8	100000000000000001				0.000000						
003078C2	StimpakDiluted	Stimpak: Diluted	Restores health with an initial burst followed by a slower rate of healing.		11			0	11	10011000000000001				0.000000						
00329C9E	HoneyBeastRoyalJelly	Royal Jelly			48			0	48	10011000000000001				0.000000						
