LVLI_FormID	LVLI_EDID	LVLI_FULL	LVLF_Flags	LLCT_Count	EntryCount	LVLG_ChanceNoneGlobal	LVCT_ChanceNoneCurve	LLKC_FilterKeywordChances	LVSG_EpicLootChance	DIQO_Quest	LIMC_MarkerColor
000673A4	LLC_DuffelBag_Guns		001	4	4						
000673A7	LLS_Loot_Armor_Mods_Recipes_AllRegions		001	2	2						
000673A8	LLC_Medkit_Uncommon		001	6	6						
000673A9	LLC_Medkit_Raider		001	1	1						
000673AA	LL_PrewarMoney_25		0000000000000000000000000000000000000000000000000000000000000000	1	1	00389279:LL_ChanceNone_75_ECON:GLOB					
000673AB	LLC_Safe_Prewar		001	4	4						
000673AC	LL_PrewarMoney_75		0000000000000000000000000000000000000000000000000000000000000000	1	1	00389277:LL_ChanceNone_25_ECON:GLOB					
000673AF	LL_Weapon_Boss_Ranged_Any		0000000000000000000000000000000000000000000000000000000000000000	10	10				LL_EpicChance_Boss_ECON [GLOB:0005F430]		
000673B1	LLE_Toolcase_Guns		001	2	2						
000673B2	LL_Weapons_Ranged_Short		11	5	5						
000673B3	LL_Weapons_Ranged_Short_25		11	1	1	00389279:LL_ChanceNone_75_ECON:GLOB					
000673B5	Container_Loot_Trashcan_ChanceEmpty		001	3	3	00361350:LL_Container_ChanceNone_Medium_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
000673B6	LL_PrewarMoney_Change_50		11	1	1	00389278:LL_ChanceNone_50_ECON:GLOB					
000673B7	LL_PrewarMoney_Change_25		11	1	1	00389279:LL_ChanceNone_75_ECON:GLOB					
000673B8	Container_Loot_Locker_ChanceEmpty		001	2	2	00361350:LL_Container_ChanceNone_Medium_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4A3	Container_Loot_Priority_AmmoBox		001	2	2	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4A5	Container_Loot_Priority_Cooler_Chems_Raider		001	2	2	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4A6	Container_Loot_Priority_Cooler		001	2	2	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4A7	Container_Loot_Priority_Cooler_Raider		001	2	2	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4A8	Container_Loot_Priority_DuffleBag_Guns		001	1	1	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4A9	Container_Loot_Priority_DuffleBag_Guns_Raider		001	1	1	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4AA	Container_Loot_Priority_ExplosivesBox_Raider		001	4	4	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4AB	Container_Loot_Priority_Medkit_Chems_Raider		001	2	2	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4AC	Container_Loot_Priority_Medkit		001	2	2	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4AD	Container_Loot_Priority_Medkit_Wall		001	2	2	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4AF	Container_Loot_Priority_Safe_Prewar		001	6	6	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4B0	Container_Loot_Priority_Trunk_Raider_Boss		001	9	9	0010D6AF:LL_Container_MaxCount_VeryHigh_ECON:GLOB			LL_EpicChance_Boss_ECON [GLOB:0005F430]		
0006D4B1	Container_Loot_Priority_Suitcase_Armor		001	3	3	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4B2	Container_Loot_Priority_Suitcase_Clothes		001	3	3	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4B3	Container_Loot_Priority_ToolBox		001	2	2	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4B4	Container_Loot_Priority_Toolbox_Raider		001	3	3	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4B6	Container_Loot_Priority_ToolCase_Guns_Raider		001	3	3	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4B8	Container_Loot_Priority_Footlocker_FoodSupplies		001	5	5	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Boss_ECON [GLOB:0005F430]		
0006D4B9	Container_Loot_Cabinet_Garage_ChanceEmpty		001	5	5	0006D4CA:LL_Container_ChanceNone_High_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4BB	Container_Loot_Dresser_ChanceEmpty		001	3	3	00361350:LL_Container_ChanceNone_Medium_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4C0	Container_Loot_NewsStand_ChanceEmpty		001	1	1	00361350:LL_Container_ChanceNone_Medium_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
0006D4C2	Container_Loot_Refrigerator_Broken		001	4	4	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB					
0006D4C7	LLC_Cooler_Chems_and_Drinks		001	3	3						
0006D4C9	LLE_Raider_Misc		001	2	2						
0006D4CE	LLE_ChemsOrAmmo_15		0000000000000000000000000000000000000000000000000000000000000000	2	2	0038927A:LL_ChanceNone_85_ECON:GLOB					
0007129D	LL_Weapon_Ranged_PipeGun_Rifle_Auto		01	1	1						
0007236F	CUT_LLC_Footlocker_Prewar		001	4	4						
000731A5	WorkshopContainerRandom		11	14	14						
00073250	LL_Weapons_Guns_10mmPistol_25		0000000000000000000000000000000000000000000000000000000000000000	1	1	00389279:LL_ChanceNone_75_ECON:GLOB					
00074D11	LLD_Creature_Radscorpion		001	5	5						
00074D12	LLD_Creature_Stingwing		001	4	4						
00076A1A	LLI_BoSSoldier_Weapons		11	2	2						
00076A1B	LLS_Clothes_BoSScribe_Engineer_Helmet50_NotPlayable		0000000000000000000000000000000000000000000000000000000000000000	1	1						
00076A1C	LLS_Armor_BoSScribe_Science_Helmet50		0000000000000000000000000000000000000000000000000000000000000000	1	1						
00076A1F	LLI_BoSScribe_Weapons		11	1	1						
00076A28	LLI_Armor_BoSCombatArmor_Outfit		001	7	7						
00077D1F	LLD_Creature_BoSSoldier		001	3	3						
000787E8	LLS_Armor_Metal_Helmets		11	2	2						
000787E9	LLS_Armor_Piecemeal_Headgear		11	1	1						
0007BB0F	LLS_Armor_Piecemeal_Torso		11	8	8						
0007BB10	LLS_Armor_Piecemeal_ArmLeft		11	8	8						
0007BB11	LLS_Armor_Piecemeal_ArmRight		11	9	9						
0007BB12	LLS_Armor_Piecemeal_LegLeft		11	8	8						
0007BB13	LLS_Armor_Piecemeal_LegRight		11	8	8						
0007BB14	LL_Armor_Leather_Torso		11	3	3						
0007BB15	LL_Armor_Leather_ArmLeft		11	3	3						
0007BB16	LL_Armor_Leather_ArmRight		11	3	3						
0007BB17	LL_Armor_Leather_LegLeft		11	3	3						
0007BB18	LL_Armor_Leather_LegRight		11	3	3						
0007BB19	LL_Armor_Leather_Any		11	5	5						
0007BB1A	LLS_Armor_Piecemeal_ArmLeft_25		11	1	1	00389279:LL_ChanceNone_75_ECON:GLOB					
0007BB1B	LLS_Armor_Piecemeal_ArmRight_25		11	1	1	00389279:LL_ChanceNone_75_ECON:GLOB					
0007BB1F	LLS_Armor_Piecemeal_Any		11	5	5						
0007BB20	LLS_Armor_Piecemeal_Any_25		11	1	1	00389279:LL_ChanceNone_75_ECON:GLOB					
000810F9	LLS_Armor_Piecemeal_Headpart_EyeAndMouthwear		001	2	2						
000810FA	LLS_Armor_Piecemeal_Headpart_Eyewear		01	2	2						
000810FB	LLS_Armor_Piecemeal_Headpart_Facewear		01	4	4						
000810FC	LLS_Armor_Piecemeal_Headpart_FullHeadwear		0000000000000000000000000000000000000000000000000000000000000000	1	1						
000810FD	LLS_Armor_Piecemeal_Headpart_HeadAndFacewear		001	2	2						
000810FE	LLS_Armor_Piecemeal_Headpart_Headwear		0000000000000000000000000000000000000000000000000000000000000000	5	5						
000810FF	LLS_Armor_Piecemeal_Headpart_Mouthwear		0000000000000000000000000000000000000000000000000000000000000000	2	2						
0008212C	MTNL01_LL_Armor_Raider_Underwear		01	4	4						
000824EB	CreatureParts_Molerat_Variants		01	5	5						
000824EC	CreatureParts_Molerat_HairVariants		01	3	3						
00087926	LPI_Ammo_Any_Same		1	1	1	0043A96F:LPI_Chance_Ammo_Common_ECON:GLOB					
00087927	LLD_Creature_FeralGhoul		001	3	3						
00088899	LL_Weapon_Ranged_PipeBoltAction_SniperRifle		01	1	1						
0008B131	LL_BobbyPin_15		11	1	1						
0008B132	LL_BobbyPin_75		11	1	1						
0008B134	LLE_Creature_Bloatfly		11	2	2						
0008E3A8	LLS_Creature_Bloatfly		11	4	4						
0008E3A9	LLE_Creature_Bloodbug		11	2	2	0008E3A7:ExtraMeatChance:GLOB					
0008E3AA	LLE_Creature_Deathclaw		11	4	4						
0008E3AB	LLD_Creature_Brahmin		001	3	3						
0008E3AC	LLE_Creature_Brahmin		11	3	3						
0008E3AD	LLE_Creature_Dog		11	2	2						
0008E3AE	LLS_Creature_Deathclaw		0000000000000000000000000000000000000000000000000000000000000000	8	8						
0008E3AF	LLE_Creature_MirelurkMeatExtra		001	1	1						
0008E3B0	LLE_Creature_Molerat		11	3	3						
0008E3B3	LLE_Creature_Radroach		11	1	1						
0008E3B4	LLE_Creature_Radscorpion		11	1	1						
0008E3B5	LLD_Creature_Radstag		001	4	4						
0008E3B6	LLE_Creature_Radstag		11	1	1						
0008E3B7	LLE_Creature_Stingwing		11	1	1						
0008E3B8	LLD_Creature_YaoGuai		001	8	8						
0008E3B9	LLE_Creature_YaoGuai		11	2	2						
0008E474	LL_Ammo_PipeGun_Auto		11	1	1						
0008E475	LL_Ammo_PipeBoltAction		11	1	1						
0008EC44	CreatureParts_FeralGhoul_Head		0000000000000000000000000000000000000000000000000000000000000000	4	4						
0008EC46	CreatureOutfit_FeralGhoul		0000001	2	2						
0008EFB7	LLD_Creature_Brahmin_Corpse		001	6	6						
000928DD	LPI_Weapon_All_Ranged_Short		0000000000000000000000000000000000000000000000000000000000000000	1	1				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
000928E4	LPI_Weapon_All_Ranged_Long		0000000000000000000000000000000000000000000000000000000000000000	1	1				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
000928E5	LPI_Weapon_All_Ranged_Big		0000000000000000000000000000000000000000000000000000000000000000	1	1				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
0001A02B	crLL_WeaponMrHandyLeft		0000000000000000000000000000000000000000000000000000000000000000	3	3						
0001A02C	crLL_WeaponMrHandyRight		0000000000000000000000000000000000000000000000000000000000000000	2	2						
0001A02D	crLL_WeaponMrHandyMiddle		0000000000000000000000000000000000000000000000000000000000000000	1	1						
00023220	LL_BobbyPinBox		01	8	8						
0002BE9A	LL_Chems_Large_Mix		001	8	8						
0002BEF8	LLC_Scrap_Reward		001	2	2						
000346AA	Container_Loot_MilkVendingMachine_ChanceEmpty		001	3	3	00361350:LL_Container_ChanceNone_Medium_ECON:GLOB					
00043225	LPI_Weapon_Ranged_10mm		01	2	2				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
000A0F5A	Container_Loot_Priority_Cooler_PreWar		001	3	3	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
000A0F5B	LLC_Cooler		001	5	5						
000A0F5C	Container_Loot_CigaretteMachine_ChanceEmpty		001	5	5	00361350:LL_Container_ChanceNone_Medium_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
000A0F8D	LLS_Tools_Single		001	3	3						
000A158C	Container_Loot_PriorityPrewar_WoodCrate		001	4	4	00369793:LL_Container_ChanceNone_ZERO_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
000A158E	LLC_WoodCrate		001	2	2						
000A158F	LPI_Chems_RadMeds		11	1	1	0043A970:LPI_Chance_Chems_Common_ECON:GLOB					
000A7DA1	LLD_Creature_Eyebot		001	4	4						
000AC7BA	LL_WeaponsGuns_Long25_Short75		11	4	4						
000ADCB7	LL_Household_Small		11	85	85						
000AE869	Container_Loot_Office_Prewar_ChanceEmpty		001	3	3	00361350:LL_Container_ChanceNone_Medium_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
000AE86C	LL_Junk_Small_Prewar		11	44	44						
000AE86D	LL_Valuable_Small_Prewar		11	9	9						
000AEBB5	LL_Valuable_Small		11	8	8						
000B342C	Container_Loot_Office_Vault_ChanceEmpty		001	3	3	00361350:LL_Container_ChanceNone_Medium_ECON:GLOB			LL_EpicChance_Standard_ECON [GLOB:0003F1E4]		
000B342D	LLC_Office_Vault		001	3	3						
000B342E	LL_Junk_Small_Vault		11	16	16						
000B342F	LL_Valuable_Small_Vault		11	4	4						
000B3658	LL_Component_Any_Copper		11	2	2						
000B3659	LL_Component_Any_Gears		11	2	2						
000B365A	LL_Component_Any_Oil		11	1	1						
000B365B	LL_Component_Any_Rubber		11	2	2						
000B365C	LL_Component_Any_Screws		11	2	2						
000BA403	LLS_Radaway_RadX		11	2	2						
000BAFFC	CUT_LL_Weapon_Ranged_LaserMusket		11	4	4						
000BC280	LLS_Raider_Boss_Gun		11	1	1				LL_EpicChance_Boss_ECON [GLOB:0005F430]		
000BC281	LLS_Armor_Piecemeal_Heavy_Headgear		11	2	2						
000BC282	zzzMTNL01_LL_Armor_Raider_Heavy		000001		0						
000BC283	zzzMTNL01_LL_Armor_Raider_Heavy_HeadgearPossible		001		0						
000C1898	LL_Ammo_FusionCell		11	4	4						
000C3071	LLD_Creature_BoSHolotag		001		0						
000C5362	LLD_Creature_TurretBubble		111	2	2						
000C5363	LLD_Creature_TurretTripod		001	2	2						
000C9B66	LPI_Weapon_Ranged_LaserGun		01	7	7				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
000CF798	LL_Weapon_Simple_Ranged_PipeRevolver_All		11	2	2						
000CF799	LL_Weapon_Ranged_PipeGun_SubmachineGun		01	1	1						
000CF79A	LL_Weapon_Ranged_PipeRevolver_Rifle_SemiAuto		11	1	1						
000D1922	LL_Weapon_Ranged_LaserGun_Pistols		11	2	2						
000D1923	LL_Weapon_Ranged_LaserGun_Rifle_SemiAuto		11	1	1						
000D1924	LPI_Weapon_Ranged_LaserGun_Shotgun_Rifle_SemiAuto		01	1	1				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
000D1925	LL_Weapon_Ranged_LaserGun_Auto		11	3	3						
000D1926	LL_Weapon_Ranged_LaserGun_SniperRifle		11	1	1						
000D34F1	LLS_Clothes_Resident		0000000000000000000000000000000000000000000000000000000000000000	8	8						
000D9C99	LPI_Weapon_Ranged_HuntingRifle_ShortRifle		01	1	1				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
000D9C9A	LL_Weapon_Ranged_HuntingRifle_Rifle		01	1	1						
000D9C9B	LPI_Weapon_Ranged_HuntingRifle_Sniper		01	2	2				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
000E02FF	LPI_Weapon_Ranged_CombatShotgun		01	2	2				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
000E0300	LPI_Weapon_Ranged_CombatRifle_Rifle_SemiAuto		01	2	2				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
000E0301	LPI_Weapon_Ranged_CombatRifle_Sniper		01	2	2				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
000E0303	LPI_Ammo_CombatRifle		11	1	1	0043A96F:LPI_Chance_Ammo_Common_ECON:GLOB					
000E0304	LPI_Ammo_CombatShotgun		11	1	1	0043A96F:LPI_Chance_Ammo_Common_ECON:GLOB					
000E7511	LL_Weapon_Ranged_CombatRifle		11	5	5						
000E7C3D	LL_Weapon_Melee_Knuckles		11	1	1						
000E7C54	LL_Weapon_Melee_Board		11	1	1						
000EB30E	LLI_Raider_Melee		11	2	2						
000ECE76	CUT_LL_Weapon_Ranged_LaserMusket_Short		01	1	1						
000ECE77	CUT_LL_Weapon_Ranged_LaserMusket_Long		01	1	1						
000ECE78	CUT_LL_Weapon_Ranged_LaserMusket_Blunderbuss		01	1	1						
000ECE79	CUT_LL_Weapon_Ranged_LaserMusket_Marksman		01	1	1						
000EDCCC	crLLI_Supermutant_BoltAction_Rifle		11	4	4						
000EDCCD	crLLI_Supermutant_Autorifle		11	4	4						
000EDCDF	crLLI_Supermutant_Melee		11	3	3						
000F2459	TrapIEDCigarCartonReward		001	3	3						
000F2E1E	crLLI_Creatures_Grenade_frag_15		01	2	2	0038927A:LL_ChanceNone_85_ECON:GLOB					
000F5C50	LPI_Weapon_Ranged_AssaultRifle		01	2	2				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
000DB29E	LPI_Ammo_44		11	1	1	0043A96F:LPI_Chance_Ammo_Common_ECON:GLOB					
000E2C8F	zzzMTNL01_LL_Armor_Raider_OnePiece_variants		0000000000000000000000000000000000000000000000000000000000000000		0						
000FF27F	TrapGrenadeBouquetRewardFrag3		001	3	3						
000FF424	LPI_Ammo_HuntingRifle		11	1	1	0043A96F:LPI_Chance_Ammo_Common_ECON:GLOB					
00100E30	LPI_Weapon_Ranged_10mm_SemiAuto		01	1	1				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
00100E34	LPI_Weapon_Ranged_10mm_Auto		01	3	3				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
0010845B	TrapGrenadeBouquetRewardFrag1		001	1	1						
00109248	crLLI_Supermutant_Minigun		11	1	1						
0010C40D	crLLI_Supermutant_Missile		0000000000000000000000000000000000000000000000000000000000000000	1	1						
0010C891	WorkshopVendorWeapons01_LL		001	6	6						
0010D568	WorkshopVendorArmor01_LL		11	4	4				LL_EpicChance_Boss_ECON [GLOB:0005F430]		
0011002A	LPI_Weapon_Grenades_All		11	1	1				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
0011002B	LLS_Grenades_Frag		001	3	3						
0011002D	LLS_Grenades_Plasma		001	3	3						
0011002F	LLS_Grenades_Cryo		001	3	3						
00110030	LLS_Grenades_Pulse		001	3	3						
00110031	LLS_Grenades_Molotov		001	3	3						
00110032	LL_Grenades_Raiders		11	4	4						
00110034	LLS_Mine_frag		001	3	3						
00110035	LLS_Mine_cryo		11	3	3						
00110038	LLS_Mine_plasma		11	3	3						
00110039	LLS_Mine_pulse		001	3	3						
0011003A	LPI_Weapon_Mine_All		11	4	4				LL_EpicChance_LPI_ECON [GLOB:0014EBCD]		
0011003B	LL_Mines_Raider_50		11	3	3	00389278:LL_ChanceNone_50_ECON:GLOB					
0011003C	LL_Grenades_15		01	2	2						
0011003D	LL_Mine		11	4	4						
