FURN_FormID	FURN_EDID	FURN_FULL	XALG_Flags	KeywordCount	KW_1	KW_2	KW_3	KW_4	KW_5	KW_6	KW_7	KW_8	KW_9	KW_10	PropCount	Prop_1_AV	Prop_1_Val	Prop_1_Curve	Prop_2_AV	Prop_2_Val	Prop_2_Curve	Prop_3_AV	Prop_3_Val	Prop_3_Curve
0006F9DE	NpcChairPlayerHouseRuinKitchenSit03	Chair		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
0006FA2E	NpcStoolPlayerHouseRuinSit01	Stool		4	00074EC7:AnimFurnBarStool:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD							0									
000711B3	NpcStoolPlayerHouseRuinSit02	Stool		4	00074EC7:AnimFurnBarStool:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD							0									
000711B4	NpcStoolPlayerHouseRuinSit03	Stool		4	00074EC7:AnimFurnBarStool:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD							0									
00074538	AmbushRadScorpion			3	00074539:AnimFurnRadScorpionAmbush:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD								0									
00074BB0	NpcChairPlayerHouseRuinSit01	Chair		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
00074BB1	NpcCouchPlayerHouseRuinSit01	Couch		2	0010013D:AnimFurnCouch:KYWD	0018F692:FurnitureClassRelaxation:KYWD									0									
00078821	StingwingWallInvAmbush01			3	00078822:AnimFurnStingwingAmbushWall:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD								0									
0007D5D8	NpcStoolDinerIntSit01	Stool		4	00074EC7:AnimFurnBarStool:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD							0									
0007D5E6	NpcStoolDinerIntSit02	Stool		4	00074EC7:AnimFurnBarStool:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD							0									
0007D61B	NpcBenchDinerIntBoothSingleSit01	Bench		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
0007D623	NpcBenchDinerIntBoothSingleSit02	Bench		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
0007D625	NpcBenchDinerIntBoothSit01WithTable	Bench		3	00139F9E:AnimFurnChairWithTable:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
00083907	NpcChairPatioSit01	Patio Chair		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								1	WorkshopBudgetObjectMultiplier	0.330000	NULL - Null Reference [00000000]						
00083F2B	AmbushFeralGhoulMantel			5	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	00083F2A:AnimFurnFeralGhoulAmbush:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD						0									
00089505	NpcBenchChurchSit01	Pew		2	00140F74:AnimFurnPraying:KYWD	0018F692:FurnitureClassRelaxation:KYWD									0									
0008C178	NpcChairVaultSit01	Chair		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
00050377	NPCVaultConsoleActivate	Vault Door Controls		5	00050376:AnimFurnVaultConsoleActivate:KYWD	0006D5BB:PlayerPathToFurniture:KYWD	000A56D7:FurnitureForce1stPerson:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	0018F691:FurnitureClassWork:KYWD						0									
00098160	NpcChairFederalistOfficeSit01Dogmeat01	Chair		4	00030BB2:AnimFurnChairSitAnims:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	0018F692:FurnitureClassRelaxation:KYWD	002469C2:FurnitureDogSleep:KYWD							0									
00099508	NpcBedGroundSleepDogmeat01	Mattress		5	00021B18:IsSleepFurniture:KYWD	0003ADA2:AnimFurnFloorBedAnims:KYWD	000A56D8:FurnitureForce3rdPerson:KYWD	002469C2:FurnitureDogSleep:KYWD	003CD037:BedTypeMattress:KYWD						0									
000998EF	NpcStoolDinerIntSit01Dogmeat01	Stool		4	00074EC7:AnimFurnBarStool:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	0018F692:FurnitureClassRelaxation:KYWD	002469C2:FurnitureDogSleep:KYWD							0									
0009A157	BoatflyWallInvAmbush01			4	00036666:AnimFurnBloatflyAmbushWall:KYWD	000549F0:AnimFurnBloodBugAmbushWall:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD							0									
0009C05F	POST_MinigunMounted	Mounted Minigun		4	0009C06A:AnimsMinigunTurrentFurniture:KYWD	0009C06B:CanUseFurnitureForCombat:KYWD	000A56D8:FurnitureForce3rdPerson:KYWD	000BA2F6:FurnitureCantWait:KYWD							1	Safety	10.000000	NULL - Null Reference [00000000]						
0009C689	Tpose			2	0009C688:AnimFurnTpose:KYWD	00237E31:AnimSynthCanUse:KYWD									0									
0009F974	AmbushFeralGhoulGetUpA			5	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	0009F973:AnimFurnFeralGhoulAmbushGetUpA:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD						0									
0009F975	AmbushFeralGhoulGetUpB			5	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	0009F971:AnimFurnFeralGhoulAmbushGetUpB:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD						0									
0009F976	AmbushFeralGhoulGetUpC			5	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	0009F972:AnimFurnFeralGhoulAmbushGetUpC:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD						0									
0009F977	AmbushFeralGhoulGetUpD			5	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	0009F970:AnimFurnFeralGhoulAmbushGetUpD:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD						0									
0009FE6A	AmbushFeralGhoulFromUnder			5	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	0009FE69:AnimFurnFeralGhoulAmbushFromUnder:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD						0									
000A0F53	AmbushFeralGhoulUnderTable			5	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	000A0F52:AnimFurnFeralGhoulAmbushUnderTable:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD						0									
000A78DE	POST_MinigunMountedEmpty	Mounted Minigun		4	0009C06A:AnimsMinigunTurrentFurniture:KYWD	0009C06B:CanUseFurnitureForCombat:KYWD	000A56D8:FurnitureForce3rdPerson:KYWD	000BA2F6:FurnitureCantWait:KYWD							0									
000AB567	NpcBedVaultLay01	Simple Bed		4	00021B18:IsSleepFurniture:KYWD	000A56D8:FurnitureForce3rdPerson:KYWD	000BC262:AnimFurnBedAnims:KYWD	003CD036:BedTypeComfy:KYWD							0									
000AB568	NpcBedVaultBunkLay01	Bed		4	00021B18:IsSleepFurniture:KYWD	000A56D8:FurnitureForce3rdPerson:KYWD	000BC262:AnimFurnBedAnims:KYWD	003CD036:BedTypeComfy:KYWD							1	WorkshopCanBeDeleted_OLD	1.000000	NULL - Null Reference [00000000]						
000AE440	NpcChairVaultSit03	Chair		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
000B1754	AmbushNonSpawn_SpecialSentryBot			5	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	000B1753:AnimFurnSentryBotActivate:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD						0									
000B287D	EyebotScan01			1	000B2D46:AnimFurnEyebotScan01:KYWD										0									
000B30BA	NpcBenchShortVaultSit01	Bench		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
000B30BC	NpcBenchVaultSit01	Bench		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
000B32BB	SentryBotBlockDoor			1	000B32BA:AnimFurnSentryBotDoorBlock:KYWD										0									
000B6F05	SandboxRadRoachWall			1	000B3D85:AnimFurnRadroachWalkonWall:KYWD										0									
000B8185	AmbushMirelurkHunter			5	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	000B8186:AnimFurnMirelurkHunterAmbush:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD	00210469:AnimFurnMirelurkAmbushDefault:KYWD						0									
000C189C	NPCHandRailA			3	0006E9C7:FurnitureSpecial:KYWD	000C18A0:AnimFurnHandrailA:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
000C189D	NPCHandRailB			3	0006E9C7:FurnitureSpecial:KYWD	000C18A1:AnimFurnHandrailB:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
000C189E	NPCHandRailC			3	0006E9C7:FurnitureSpecial:KYWD	000C18A2:AnimFurnHandrailC:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
000C189F	NPCHandRailD			3	0006E9C7:FurnitureSpecial:KYWD	000C18A3:AnimFurnHandrailD:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
000CA064	NPCWeedInvA			3	0006E9C7:FurnitureSpecial:KYWD	000CA063:AnimFurnWeedA:KYWD	0018F691:FurnitureClassWork:KYWD								0									
000CA066	NPCWeedInvB			3	0006E9C7:FurnitureSpecial:KYWD	000CA065:AnimFurnWeedB:KYWD	0018F691:FurnitureClassWork:KYWD								0									
000D75BC	NpcBedSleepingBagSleep01	Sleeping Bag		4	00021B18:IsSleepFurniture:KYWD	0003ADA2:AnimFurnFloorBedAnims:KYWD	000A56D8:FurnitureForce3rdPerson:KYWD	003CD038:BedTypeSleepingBag:KYWD							1	WorkshopCanBeDeleted_OLD	1.000000	NULL - Null Reference [00000000]						
000D96BF	NPCKneelHammerHorizontal			5	0006E9C7:FurnitureSpecial:KYWD	000D96BE:AnimFurnKneelHammerHorizontal:KYWD	0018F691:FurnitureClassWork:KYWD	001A7B69:UseLoopingFlavorIdles:KYWD	00237E31:AnimSynthCanUse:KYWD						0									
000D96C1	NPCKneelHammerVertical			5	0006E9C7:FurnitureSpecial:KYWD	000D96C0:AnimFurnKneelHammerVertical:KYWD	0018F691:FurnitureClassWork:KYWD	001A7B69:UseLoopingFlavorIdles:KYWD	00237E31:AnimSynthCanUse:KYWD						0									
000D96C3	NPCKneelWrenchVertical			5	0006E9C7:FurnitureSpecial:KYWD	000D96C2:AnimFurnKneelWrenchVertical:KYWD	0018F691:FurnitureClassWork:KYWD	001A7B69:UseLoopingFlavorIdles:KYWD	00237E31:AnimSynthCanUse:KYWD						0									
000D96C5	NPCKneelWrenchHorizontal			5	0006E9C7:FurnitureSpecial:KYWD	000D96C4:AnimFurnKneelWrenchHorizontal:KYWD	0018F691:FurnitureClassWork:KYWD	001A7B69:UseLoopingFlavorIdles:KYWD	00237E31:AnimSynthCanUse:KYWD						0									
000D96C7	NPCStandHammerHorizontal			6	0006E9C7:FurnitureSpecial:KYWD	000D96C6:AnimFurnStandHammerHorizontal:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	0018F691:FurnitureClassWork:KYWD	001A7B69:UseLoopingFlavorIdles:KYWD	00237E31:AnimSynthCanUse:KYWD					0									
000D96C9	NPCStandHammerVertical			5	0006E9C7:FurnitureSpecial:KYWD	000D96C8:AnimFurnStandHammerVertical:KYWD	0018F691:FurnitureClassWork:KYWD	001A7B69:UseLoopingFlavorIdles:KYWD	00237E31:AnimSynthCanUse:KYWD						0									
000D96CB	NPCStandWrenchHorizontal			5	000D96CA:AnimFurnStandWrenchHorizontal:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	0018F691:FurnitureClassWork:KYWD	001A7B69:UseLoopingFlavorIdles:KYWD	00237E31:AnimSynthCanUse:KYWD						0									
000D96CD	NPCStandWrenchVertical			4	000D96CC:AnimFurnStandWrenchVertical:KYWD	0018F691:FurnitureClassWork:KYWD	001A7B69:UseLoopingFlavorIdles:KYWD	00237E31:AnimSynthCanUse:KYWD							0									
000D9C37	NPCPrisonerFloorSit			1	000D9C36:AnimFurnPrisonerFloorSit:KYWD										0									
000DB85C	NpcBenchStoneSit01	Bench		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
000DD4A6	AmbushRadRoachWall			5	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	000EF247:AnimFurnRadroachAmbushWallIND:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD						0									
000DEDD4	NPCWoundedSit			2	000DEDD3:AnimFurnWoundedSitting:KYWD	0012F848:FurnitureScaleActorToOne:KYWD									0									
000DEDD6	NPCInspectWounded			4	0006E9C7:FurnitureSpecial:KYWD	000DEDD5:AnimFurnInspectWounded:KYWD	0018F691:FurnitureClassWork:KYWD	00237E31:AnimSynthCanUse:KYWD							0									
000DF459	NPCCouchMemoryLoungeSit01	Couch		2	00030BB2:AnimFurnChairSitAnims:KYWD	0018F692:FurnitureClassRelaxation:KYWD									0									
000DF45A	NPCBenchParkSit01	Bench		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
000DF45B	NPCChaiseMemoryLoungeSit01	Chaise		1	00030BB2:AnimFurnChairSitAnims:KYWD										0									
000DF45C	NPCChairMemoryLoungeSit01	Chair		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
000E1CF6	PowerArmorDown			1	000E1CF5:AnimFurnPowerArmorDown:KYWD										0									
000E1D01	NPCKickSafe			2	0006E9C7:FurnitureSpecial:KYWD	000E1D00:AnimFurnKickSafe:KYWD									0									
000E36F5	BloatFlyWallInvAmbush01			3	00036666:AnimFurnBloatflyAmbushWall:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD								0									
000E36F6	BloatFlyGroundInvAmbush01			4	00036665:AnimFurnBloatflyAmbushGround:KYWD	000549EF:AnimFurnBloodBugAmbushGround:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD							0									
000E36F7	BloatFlyCeilingInvAmbush01			4	00036664:AnimFurnBloatflyAmbushCeiling:KYWD	000549EE:AnimFurnBloodBugAmbushCeiling:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD							0									
000E37D3	NpcChairIndustrialMetalDiningSit01	Chair		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								1	WorkshopCanBeDeleted_OLD	1.000000	NULL - Null Reference [00000000]						
000E6940	NpcChairIndustrialMetalDiningSit01Clean	Chair		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
000EA1B9	NpcChairModernDomesticSit01	Chair		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
000EA1BA	NpcChairModernDomesticSit02	Chair		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
000EA1BB	NpcChairModernDomesticSit03	Chair		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
000EA1BC	NpcCouchModernDomesticSit01	Couch		2	0010013D:AnimFurnCouch:KYWD	0018F692:FurnitureClassRelaxation:KYWD									0									
000EA1BD	NpcStoolModernDomesticSit01	Stool		4	00074EC7:AnimFurnBarStool:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD							0									
000EB2B4	NPCHoe	Hoe		3	00043219:AnimFurnHoeMarker:KYWD	0006E9C7:FurnitureSpecial:KYWD	0018F691:FurnitureClassWork:KYWD								0									
000EC7B0	SandboxFeralGhoulSquatEating			1	000EC7AF:AnimFurnFeralGhoulSquatEating:KYWD										0									
000ED134	SandboxFeralGhoulSquatEatingDay			2	000EC7AF:AnimFurnFeralGhoulSquatEating:KYWD	000ED136:AnimFurnFeralGhoulDay:KYWD									0									
000ED135	SandboxFeralGhoulSquatEatingNight			2	000EC7AF:AnimFurnFeralGhoulSquatEating:KYWD	000ED137:AnimFurnFeralGhoulNight:KYWD									0									
000ED405	AmbushMirelurkKingWater			5	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	000ED404:AnimFurnMirelurkKingAmbushWater:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD						0									
000ED407	MirelurkKingMudFurniture			1	000F65EF:AnimFurnMKinginMud:KYWD										0									
000EECF3	AmbushFeralGhoulFromHoleAbove			5	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	000EECF2:AnimFurnFeralGhoulAmbushFromHoleAbove:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD						0									
000EF227	SandboxFeralGhoulSquatEatingOnTable			1	000EF228:AnimFurnFeralGhoulSquatEatingOnTable:KYWD										0									
000F0103	SandboxFeralGhoulSitOnFloorEating			1	000F0102:AnimFurnFeralGhoulSitOnFloorEating:KYWD										0									
000F15D5	LayDownInUtilityBoxMarker			1	000F15D4:AnimFurnLayDownInUtilityBox:KYWD										0									
000F169D	NpcChairVaultSit01NoWait	Chair		4	00030BB2:AnimFurnChairSitAnims:KYWD	000BA2F6:FurnitureCantWait:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD							0									
000F169E	NpcChairVaultSit02NoWait	Chair		4	00030BB2:AnimFurnChairSitAnims:KYWD	000BA2F6:FurnitureCantWait:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD							0									
000F169F	NpcChairVaultSit03NoWait	Chair		4	00030BB2:AnimFurnChairSitAnims:KYWD	000BA2F6:FurnitureCantWait:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD							0									
000F16A0	NpcBenchShortVaultSit01NoWait	Bench		4	00030BB2:AnimFurnChairSitAnims:KYWD	000BA2F6:FurnitureCantWait:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD							0									
000F16A1	NpcBenchVaultSit01NoWait	Bench		4	00030BB2:AnimFurnChairSitAnims:KYWD	000BA2F6:FurnitureCantWait:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD							0									
000F2547	AmbushFeralGhoulFromHoleAboveQuicker			5	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	000F2546:AnimFurnFeralGhoulAmbushFromHoleAboveQuicker:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD						0									
000F370B	SMChairInvSit01	Chair		1	000F370D:AnimFurnSuperMutantSit:KYWD										0									
000F370C	SMLiftInvJump01	Chair		1	000F370E:AnimFurnSuperMutantJumpDown:KYWD										0									
000F3EAB	AmbushMirelurkKingIND			4	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	000FBF98:AnimFurnMirelurkKingAmbushIND:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD							0									
000F3EB6	AmbushFeralGhoulCrawlUpWall			5	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	000F3EB5:AnimFurnFeralGhoulAmbushCrawlUpWall:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD						0									
000F65F0	AmbushMirelurkKingMud			6	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	000ED406:AnimFurnMirelurkKingAmbushMud:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD	0021046B:AnimFurnMirelurkAmbushCaveMud:KYWD					0									
000F65F1	MirelurkKingWaterFurniture			1	000F65EE:AnimFurnMKinginWater:KYWD										0									
000FCDCB	CatDrinking			1	000FCDCC:AnimFurnCatDrinking:KYWD										0									
000FDC8B	NpcCouchModernDomesticCleanSit01	Couch		2	0010013D:AnimFurnCouch:KYWD	0018F692:FurnitureClassRelaxation:KYWD									0									
000D83C4	NpcStoolIndustrialMetalSit01	Stool		4	00074EC7:AnimFurnBarStool:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD							0									
000D83CC	NpcChairIndustrialMetalOfficeSit01	Chair		3	00030BB2:AnimFurnChairSitAnims:KYWD	00144A65:AnimFurnAllowEating:KYWD	0018F692:FurnitureClassRelaxation:KYWD								0									
000D83D4	MirelurkInFurniture			1	000D83CF:AnimFurnMirelurkInFurniture:KYWD										0									
000E2800	SandboxFeralGhoulSquatEatingOnTableDay			1	000EF228:AnimFurnFeralGhoulSquatEatingOnTable:KYWD										0									
000E2801	SandboxFeralGhoulSquatEatingOnTableNight			1	000EF228:AnimFurnFeralGhoulSquatEatingOnTable:KYWD										0									
000E2802	SandboxFeralGhoulSitOnFloorEatingDay			1	000F0102:AnimFurnFeralGhoulSitOnFloorEating:KYWD										0									
000E2803	SandboxFeralGhoulSitOnFloorEatingNight			1	000F0102:AnimFurnFeralGhoulSitOnFloorEating:KYWD										0									
000FE795	NPCUseMicroscope			5	0006D5BB:PlayerPathToFurniture:KYWD	0006E9C7:FurnitureSpecial:KYWD	000FE797:AnimFurnMicroscope:KYWD	0012F848:FurnitureScaleActorToOne:KYWD	0018F691:FurnitureClassWork:KYWD						0									
000FFC0D	CatSunning			1	000FFC0C:AnimFurnCatSunning:KYWD										0									
000FFC1D	NPCWallDigging			3	0006E9C7:FurnitureSpecial:KYWD	000FFC1C:AnimFurnWallDigging:KYWD	0018F691:FurnitureClassWork:KYWD								0									
00100CD5	ProtectronPod01			5	00021B18:IsSleepFurniture:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	000F9E1B:LinkTerminalRobot:KYWD	00101610:AnimFurnProtectronPod:KYWD	0052B545:AllowNonActorToAnimateOnServer:KYWD						0									
0010222F	ProtectronNoodlePot			1	0010222E:AnimFurnProtectronNoodles:KYWD										0									
001027A7	NpcBedPlayerHouseLay01_NoActivate			2	00021B18:IsSleepFurniture:KYWD	000BC262:AnimFurnBedAnims:KYWD									0									
001089D2	AmbushMirelurkHidden_RiverbedRocksWet02			6	00021B18:IsSleepFurniture:KYWD	000344F7:AnimFurnMirelurkAmbushHidden:KYWD	0007320B:DetectWhileSleepingKeyword:KYWD	0012FD88:FurnitureAllowExitThroughGeometry:KYWD	001CC206:FurnitureAllowEnterThroughGeometry:KYWD	0021046E:AnimFurnMirelurkAmbushRiverbedRocksWet02:KYWD					0									
