PCRD_FormID	PCRD_EDID	MNAM_Name	DESC	DATA_UnknownBytes	DATA_SpeciesCode	DATA_SpeciesText	DATA_MinLevel	DATA_Special	PCDV_GLOB_FormID	PCDV_GLOB_EDID	PCDV_GLOB_FULL	RankCount	RankPERKs_Flat
0025A7E0	ThruHikerCard	ThruHiker	You have learned the art of proper weight distribution.						001179ED	PerkCard_Caps_Common		0	
0025A7A4	SturdyFrameCard	SturdyFrame	You are built like a brick house.						0024F8D6	PerkCard_Caps_Uncommon		0	
0025A22F	NerdRageCard	NerdRage	Genius. Is. ANGRY!						001179F3	PerkCard_Caps_Rare		0	
0025A233	SluggerCard	Slugger	Swing for the fences!						001179F3	PerkCard_Caps_Rare		0	
0025A808	GhoulishCard	Ghoulish	Sure, you're still human - on the outside!						001179ED	PerkCard_Caps_Common		0	
0025A29B	NocturnalFortitudeCard	NocturnalFortitude	Darkness is power!						001179F3	PerkCard_Caps_Rare		0	
0025A6B0	ChemFiendCard	ChemFiend	Far out!						0024F8D6	PerkCard_Caps_Uncommon		0	
0025A792	GunslingerMasterCard	GunslingerMaster	Quick on the draw, quick on the trigger.						001179F3	PerkCard_Caps_Rare		0	
0025A7F9	NinjaCard	Ninja	You trained as a shadow warrior.						001179F3	PerkCard_Caps_Rare		0	
0025A7A0	LeadBellyCard	LeadBelly	Your digestive tract has adjusted to the weirdness of the Wasteland!						001179ED	PerkCard_Caps_Common		0	
0025A7A1	NightEyesCard	NightEyes	Nightshift in the Vault honed your eyesight!						001179F3	PerkCard_Caps_Rare		0	
0025A7A2	SniperCard	Sniper	It's all about focus.						001179F3	PerkCard_Caps_Rare		0	
0016AFE9	BearArmsCard	BearArms	Your bear-like arms help you bear bigger arms.						0024F8D6	PerkCard_Caps_Uncommon		0	
0027A870	GrimReapersSprintCard	GrimReapersSprint	Death becomes you!						0024F8D6	PerkCard_Caps_Uncommon		0	
0027A877	GunRunnerCard	GunRunner	Carry light and run fast.						0024F8D6	PerkCard_Caps_Uncommon		0	
0027A876	PowerUserCard	PowerUser	Dominate the Wasteland with impunity.						0024F8D6	PerkCard_Caps_Uncommon		0	
0027A871	PsychopathCard	Psychopath	Kill! Kill! Muahaha!						0024F8D6	PerkCard_Caps_Uncommon		0	
002DB86B	SolarPoweredCard	SolarPowered	Catch some rays!						0024F8D6	PerkCard_Caps_Uncommon		0	
002DB86E	PhotosyntheticCard	Photosynthetic	Mmmm, that sunlight is delicious.						001179F3	PerkCard_Caps_Rare		0	
00242E66	BarbarianCard	Barbarian	Channel your inner Grognak!						001179F3	PerkCard_Caps_Rare		0	
001287A0	QuackSurgeonCard	QuackSurgeon	That'll wake you up in the mornin'!						0024F8D6	PerkCard_Caps_Uncommon		0	
0003D963	SlowMetabolizerCard	SlowMetabolizer	Your body does more with less!						001179ED	PerkCard_Caps_Common		0	
0013130F	DromedaryCard	Dromedary	Is that a hump on your back?						001179ED	PerkCard_Caps_Common		0	
00006DC3	OverlyGenerousCard	OverlyGenerous	Radiation, the gift that keeps on giving!						001179F3	PerkCard_Caps_Rare		0	
002AADA4	HydroFixCard	HydroFix	Just a little at a time keeps the thirst away.						001179ED	PerkCard_Caps_Common		0	
002EBD31	RiflemanMasterCard	RiflemanMaster	You'd give Daniel Boone a run for his money!						001179F3	PerkCard_Caps_Rare		0	
002EBD2B	RiflemanExpertCard	RiflemanExpert	You can drop a radstag at a thousand yards.						001179F3	PerkCard_Caps_Rare		0	
002EBD26	CovertOperativeCard	CovertOperative	You've read every Covert Operations Manual ever written, twice.						001179F3	PerkCard_Caps_Rare		0	
002FBF31	zzz_Vault94Mission01PerkCardTBD	Toughness							001179F2	PerkCard_Caps_Unique		0	
002FC0E4	zzz_Vault94Mission02PerkCardTBD	Toughness							001179F2	PerkCard_Caps_Unique		0	
002FC10E	zzz_Vault94Mission03PerkCardTBD	Toughness							001179F2	PerkCard_Caps_Unique		0	
00188F07	NightPersonCard	NightPerson	You are a creature of the night!						0024F8D6	PerkCard_Caps_Uncommon		0	
0018731C	EMTCard	EMT	No one dies on your watch!						001179ED	PerkCard_Caps_Common		0	
001873CE	ButchersBountyCard	ButchersBounty	You aren't afraid to dig a little deeper to get what you want.						001179ED	PerkCard_Caps_Common		0	
00188F1F	BasherCard	Basher	Get up close and personal!						001179F3	PerkCard_Caps_Rare		0	
0010BCCE	TravelingPharmacyCard	TravelingPharmacy	You're great at getting boosted... on the go!						001179ED	PerkCard_Caps_Common		0	
00185A2C	WreckingBallCard	WreckingBall	You are a literal home wrecker.						001179ED	PerkCard_Caps_Common		0	
001870F2	IronStomachCard	IronStomach	Is tonight's dinner Rotting Roadkill Goulash Surprise? No problem!						0024F8D6	PerkCard_Caps_Uncommon		0	
002BA546	NaturalResistanceCard	NaturalResistance	You're healthy as a horse! Or Deathclaw.						0024F8D6	PerkCard_Caps_Uncommon		0	
002BA564	ThirstQuencherCard	ThirstQuencher	Your system filters liquids to the EXTREME.						0024F8D6	PerkCard_Caps_Uncommon		0	
0031AEF6	CommandoCard	Commando							001179F3	PerkCard_Caps_Rare		0	
0031AEF7	CommandoExpertCard	CommandoExpert							001179F3	PerkCard_Caps_Rare		0	
0031AEF8	GunslingerCard	Gunslinger	Channel the spirit of the Old West!						001179F3	PerkCard_Caps_Rare		0	
0031AEF9	GunslingerExpertCard	GunslingerExpert	Fan that hammer!						001179F3	PerkCard_Caps_Rare		0	
0031AF0D	GuerrillaCard	Guerrilla	You're trained for close-quarters shooting.						001179F3	PerkCard_Caps_Rare		0	
0031AF0E	GuerrillaExpertCard	GuerrillaExpert	It's all about the close-range spray-and-pray!						001179F3	PerkCard_Caps_Rare		0	
0031AF0F	GuerrillaMasterCard	GuerrillaMaster	You're a close-quarters gun warrior!						001179F3	PerkCard_Caps_Rare		0	
0031AF17	HeavyGunnerCard	HeavyGunner	Big guns, big damage!						001179F3	PerkCard_Caps_Rare		0	
0031AF18	HeavyGunnerExpertCard	HeavyGunnerExpert	Practice and conditioning.						001179F3	PerkCard_Caps_Rare		0	
00202047	ShotgunnerMasterCard	ShotgunnerMaster	You're a trophy shooter - with the trophy to prove it!						001179F3	PerkCard_Caps_Rare		0	
00202049	ShotgunnerCard	Shotgunner	Pump action is your kind of action.						001179F3	PerkCard_Caps_Rare		0	
00223BAB	ShotgunnerExpertCard	ShotgunnerExpert	You could hit your target with your eyes closed!						001179F3	PerkCard_Caps_Rare		0	
00310D5A	ScroungerCard	Scrounger	Keep the fight going!						0024F8D6	PerkCard_Caps_Uncommon		0	
00310BF8	BodyguardsCard	Bodyguards	Friends are nice - bodyguards are better!						0024F8D6	PerkCard_Caps_Uncommon		0	
00310D59	PortablePowerCard	PortablePower	Introducing the Power Armor Carrying Kit.						001179ED	PerkCard_Caps_Common		0	
001D6251	TankKillerCard	TankKiller	You are a human can opener.						001179F3	PerkCard_Caps_Rare		0	
0031D4B3	CrackshotCard	CrackShot	You don't have to shoot first, just hit first.						001179F3	PerkCard_Caps_Rare		0	
0031D4B9	LongshotCard	LongShot	Keep your distance long and your kill-count high.						001179F3	PerkCard_Caps_Rare		0	
0031E527	PackinLightCard	PackinLight	Packing light doesn't mean packing little!						001179ED	PerkCard_Caps_Common		0	
0032015B	OneGunArmyCard	OneGunArmy	You don't need an army. You ARE the army!						001179F3	PerkCard_Caps_Rare		0	
00320162	BulletShieldCard	BulletShield	The best protection is a hail of bullets!						001179F3	PerkCard_Caps_Rare		0	
00320167	StabilizedCard	Stabilized	Good thing you installed shock absorbers.						001179F3	PerkCard_Caps_Rare		0	
0032016B	LockAndLoadCard	LockAndLoad	Maximize the pain on your target!						0024F8D6	PerkCard_Caps_Uncommon		0	
00322353	SkeetShooterCard	SkeetShooter	Pull!						001179F3	PerkCard_Caps_Rare		0	
00322358	EnforcerCard	Enforcer	No one escapes from you.						001179F3	PerkCard_Caps_Rare		0	
0032235E	ScattershotCard	Scattershot	You were born to shoot buckshot!						0024F8D6	PerkCard_Caps_Uncommon		0	
00323F89	EvasiveCard	Evasive	Reflexes are better than armor anyway.						0024F8D6	PerkCard_Caps_Uncommon		0	
00323F90	MovingTargetCard	MovingTarget	They can't hurt what they can't hit!						0024F8D6	PerkCard_Caps_Uncommon		0	
00323F96	MagneticPersonalityCard	MagneticPersonality	You are the original social butterfly.						001179ED	PerkCard_Caps_Common		0	
0032418B	zzz_Vault96Mission01PerkCardTBD	Toughness							001179F2	PerkCard_Caps_Unique		0	
0032418C	zzz_Vault96Mission02PerkCardTBD	Toughness							001179F2	PerkCard_Caps_Unique		0	
0032418D	zzz_Vault96Mission03PerkCardTBD	Toughness							001179F2	PerkCard_Caps_Unique		0	
00324217	zzz_Vault63Mission03PerkCardTBD	Toughness							001179F2	PerkCard_Caps_Unique		0	
00324218	zzz_Vault63Mission02PerkCardTBD	Toughness							001179F2	PerkCard_Caps_Unique		0	
00324219	zzz_Vault63Mission01PerkCardTBD	Toughness							001179F2	PerkCard_Caps_Unique		0	
0032992F	MisterSandmanCard	MisterSandman	Murder in the dark!						001179F3	PerkCard_Caps_Rare		0	
0032CB33	PicklockExpertCard	Picklock	Practiced fingers open locks.						001179ED	PerkCard_Caps_Common		0	
0032CB34	PicklockMasterCard	Picklock	No lock can keep you out!						001179ED	PerkCard_Caps_Common		0	
0032DA6B	VaccinatedCard	Vaccinated	Good thing you are up to date on all 2316 vaccines!						0024F8D6	PerkCard_Caps_Uncommon		0	
0032DA6E	ExterminatorCard	Exterminator	Someone call an exterminator?						001179ED	PerkCard_Caps_Common		0	
0032DA72	MakeshiftWarriorCard	MakeshiftWarrior	All you need is some ingenuity and duct tape.						0024F8D6	PerkCard_Caps_Uncommon		0	
00330B9E	SerendipityCard	Serendipity	Fortune favors the bold.						0024F8D6	PerkCard_Caps_Uncommon		0	
00330BA5	BornSurvivorCard	BornSurvivor	You're a born survivor!						0024F8D6	PerkCard_Caps_Uncommon		0	
00330BA9	RicochetCard	Ricochet	What goes around comes around!						001179F3	PerkCard_Caps_Rare		0	
0033843C	LicensedPlumberCard	LicensedPlumber	Your Vault job has finally paid off!						001179ED	PerkCard_Caps_Common		0	
003408AD	MysteriousStrangerCard	MysteriousStranger	Who is he? Why does he help? Who cares!						001179F3	PerkCard_Caps_Rare		0	
0034409F	SneakCard	Sneak	Become whisper, become shadow.						0024F8D6	PerkCard_Caps_Uncommon		0	
003440AD	GladiatorCard	Gladiator	Spartacus, shmartacus!						001179F3	PerkCard_Caps_Rare		0	
003440B9	DemolitionExpertCard	DemolitionExpert	The bigger the boom, the better!						001179F3	PerkCard_Caps_Rare		0	
003440C4	ScienceCard	Science	Focused mind, focused light.						001179ED	PerkCard_Caps_Common		0	
003440C5	ScienceExpertCard	ScienceExpert	Take full advantage of advanced technology.						001179ED	PerkCard_Caps_Common		0	
003440C6	ScienceMasterCard	ScienceMaster	Death rays are your forte.						001179ED	PerkCard_Caps_Common		0	
003440CC	CUT_ExoticWeaponsCard	ExoticWeapons	Unconventional warfare calls for unconventional weapons.						001179ED	PerkCard_Caps_Common		0	
003440CD	CUT_ExoticWeaponsExpertCard	ExoticWeaponsExpert	You're an eccentric improviser!						001179ED	PerkCard_Caps_Common		0	
003440CE	CUT_ExoticWeaponsMasterCard	ExoticWeaponsMaster	Master the outlandish!						001179ED	PerkCard_Caps_Common		0	
003440D9	ArmorerCard	Armorer	You only wear custom-fit armor.						001179ED	PerkCard_Caps_Common		0	
003440DB	PowerSmithCard	PowerSmith	Achieve world class defense with Power Armor prototypes.						001179ED	PerkCard_Caps_Common		0	
0034527C	CapCollectorCard	CapCollector	You've tapped the Wasteland's hidden wealth.						001179F3	PerkCard_Caps_Rare		0	
00346E0D	CanDoCard	CanDo	Your "can do" attitude keeps you alive.						001179ED	PerkCard_Caps_Common		0	
003472CE	MysteryMeatCard	MysteryMeat	The side effects are harmless! Mostly...						0024F8D6	PerkCard_Caps_Uncommon		0	
0034EBCE	PharmaFarmaCard	PharmaFarma	Chems don't grow on trees. Or do they?						0024F8D6	PerkCard_Caps_Uncommon		0	
00350FD8	GreenThumbCard	GreenThumb	More for the picking.						001179ED	PerkCard_Caps_Common		0	
0035206D	IronFistCard	IronFist	Channel your chi to unleash devastating fury!						001179ED	PerkCard_Caps_Common		0	
0035206C	ConcentratedFireCard	ConcentratedFire	Stay Focused!						001179ED	PerkCard_Caps_Common		0	
00356A05	LuckOfTheDrawCard	LuckOfTheDraw	Make or break, you keep fighting.						0024F8D6	PerkCard_Caps_Uncommon		0	
00356A1D	HackerMasterCard	HackerMaster	You're a ghost in the system.						001179ED	PerkCard_Caps_Common		0	
00356A1C	HackerExpertCard	HackerExpert	Exploit security vulnerabilities to hack more advanced terminal security.						001179ED	PerkCard_Caps_Common		0	
00356A0A	LuckyBreakCard	LuckyBreak	If it ain't broke, don't fix it!						0024F8D6	PerkCard_Caps_Uncommon		0	
0035B80E	AdamantiumSkeletonCard	AdamantiumSkeleton	Your skeleton has been infused with indestructible metal!						001179F3	PerkCard_Caps_Rare		0	
003701B3	EscapeArtistCard	EscapeArtist	Hide in plain sight.						001179F3	PerkCard_Caps_Rare		0	
003701C6	RadResistantCard	RadResistant	Exposure to the Wasteland has made you more resilient.						001179ED	PerkCard_Caps_Common		0	
003701A9	AquaBoyGirlCard	Aquaboy	Water is your ally.						001179ED	PerkCard_Caps_Common		0	
003701C5	RefractorCard	Refractor	You must be part mirror!						0024F8D6	PerkCard_Caps_Uncommon		0	
003701B7	CannibalCard	Cannibal	Feast on mortal flesh to heal your wounds!						0024F8D6	PerkCard_Caps_Uncommon		0	
003701C4	POST_PenetratorCard	Penetrator	There's no place to hide!						001179F3	PerkCard_Caps_Rare		0	
003701BF	GunFuCard	GunFu	You've learned to apply ancient martial arts to gunplay!						001179ED	PerkCard_Caps_Common		0	
003701BE	FourLeafCloverCard	FourLeafClover	Feeling Lucky? You should!						0024F8D6	PerkCard_Caps_Uncommon		0	
003701BD	FireInTheHoleCard	FireInTheHole	Put it there!						001179F3	PerkCard_Caps_Rare		0	
003701BB	CUT_LocksmithCard	Locksmith	Keep out unwanted fingers.						001179ED	PerkCard_Caps_Common		0	
003777F8	ChemResistantCard	ChemResistant	All the rush without the hassle!						001179ED	PerkCard_Caps_Common		0	
003777F9	AwarenessCard	Awareness	To defeat your enemies, know their weaknesses!						001179F3	PerkCard_Caps_Rare		0	
003808C5	HappyCamperCard	HappyCamper	There's no place like home.						001179ED	PerkCard_Caps_Common		0	
003808AF	RadSpongeCard	RadSponge	Oh, the benefits of lead poisoning.						0024F8D6	PerkCard_Caps_Uncommon		0	
003808C0	PhilanthropistCard	Philanthropist	Share and share alike!						0024F8D6	PerkCard_Caps_Uncommon		0	
003860B7	StrangeInNumbersCard	StrangeInNumbers	Mutants unite!						0024F8D6	PerkCard_Caps_Uncommon		0	
003872E1	TeamMedicCard	TeamMedic	Don't you die on me!						0024F8D6	PerkCard_Caps_Uncommon		0	
003879A6	BloodsuckerCard	Bloodsucker	At least you're an efficient bloodsucker!						0024F8D6	PerkCard_Caps_Uncommon		0	
003896EC	SpiritualHealerCard	SpiritualHealer	Your spirit thrives when helping others.						0024F8D6	PerkCard_Caps_Uncommon		0	
003896FB	LightFootedCard	Lightfooted	Don't step there!						001179ED	PerkCard_Caps_Common		0	
003896E2	BatteriesIncludedCard	BatteriesIncluded	You're a power saver!						001179ED	PerkCard_Caps_Common		0	
003896FA	DeadManSprintingCard	DeadManRunning	Burst into the afterlife at a full sprint!						0024F8D6	PerkCard_Caps_Uncommon		0	
003896F9	HomeDefenseCard	HomeDefense	Get off my lawn!						001179ED	PerkCard_Caps_Common		0	
003896E6	BandolierCard	Bandolier	Need. More. Bullets.						001179ED	PerkCard_Caps_Common		0	
0038AB93	SecretAgentCard	SecretAgent	You're trained for reconnaissance and subterfuge.						0024F8D6	PerkCard_Caps_Uncommon		0	
0038AB97	SquadManeuversCard	SquadManeuvers	Squad! Move out! Go go go!						0024F8D6	PerkCard_Caps_Uncommon		0	
0038AB87	WhiteKnightCard	WhiteKnight	Keep it clean and it lasts longer!						0024F8D6	PerkCard_Caps_Uncommon		0	
0038AB8C	HealingHandsCard	HealingHands	It's alive! ALIVE!						001179ED	PerkCard_Caps_Common		0	
0038AB8D	InjectorCard	Injector	Up and at 'em!						001179ED	PerkCard_Caps_Common		0	
0038AB9B	PackRatCard	PackRat	You see beauty in the rubbish.						001179ED	PerkCard_Caps_Common		0	
00391F0D	OrdnanceExpressCard	OrdnanceExpress	You are an explosive freight train, literally.						0024F8D6	PerkCard_Caps_Uncommon		0	
00391F13	ClassFreakCard	ClassFreak	You were always the odd kid.						001179ED	PerkCard_Caps_Common		0	
00391F1D	StormChaserCard	StormChaser	A little rain is good for the soul.						001179ED	PerkCard_Caps_Common		0	
00391F19	CuratorCard	Curator	You're a keeper!						001179ED	PerkCard_Caps_Common		0	
00391F25	PowerPatcherCard	PowerPatcher	You're a certified Power Armor repair technician.						0024F8D6	PerkCard_Caps_Uncommon		0	
00391F26	PainTrainCard	PainTrain	Choo choo! All aboard!						0024F8D6	PerkCard_Caps_Uncommon		0	
00393F79	MunchyResistanceCard	MunchyResistance	All the hanker without the hunger!						0024F8D6	PerkCard_Caps_Uncommon		0	
00393F7D	RadicoolCard	Radicool	What does not kill you makes you stronger!						001179F3	PerkCard_Caps_Rare		0	
00393F83	CUT_FrayedGenesCard	FrayedGenes	Frayed genes are in!						0024F8D6	PerkCard_Caps_Uncommon		0	
00393F71	HomebodyCard	Homebody	Home is where the heart is.						001179ED	PerkCard_Caps_Common		0	
00393F6A	GrenadierCard	Grenadier	Cool people don't look at explosions.						001179F3	PerkCard_Caps_Rare		0	
00393F65	GlowSightCard	GlowSight	The weak spots glow brighter.						0024F8D6	PerkCard_Caps_Uncommon		0	
00393F58	FireproofCard	Fireproof	The Wasteland is tough but you're tougher!						0024F8D6	PerkCard_Caps_Uncommon		0	
00393F4D	ColaNutCard	ColaNut	Zap that thirst!						0024F8D6	PerkCard_Caps_Uncommon		0	
00393F54	AllNightLongCard	AllNightLong	One more mile!						001179ED	PerkCard_Caps_Common		0	
00393F5C	GoodDoggyCard	GoodDoggy	Who's a good dog? You're a good dog. Yes you are!						001179ED	PerkCard_Caps_Common		0	
00393F6D	POST_GreaseMonkeyCard	GreaseMonkey	You were born with a wrench in your hand.						001179ED	PerkCard_Caps_Common		0	
00393F75	SunKissedCard	SunKissed	Fight rays with rays.						001179ED	PerkCard_Caps_Common		0	
00397CB2	StarchedGenesCard	StarchedGenes	Your genes are stiff stuff!						001179ED	PerkCard_Caps_Common		0	
00397CC5	AdrenalineCard	Adrenaline	Living on the edge!						001179ED	PerkCard_Caps_Common		0	
00397CB8	RevenantCard	Revenant	Arise, black vengeance!						0024F8D6	PerkCard_Caps_Uncommon		0	
0039CF9B	HardBargainCard	HardBargain	You've mastered the art of the deal!						001179ED	PerkCard_Caps_Common		0	
0039CFA2	ScrapperCard	Scrapper	Waste not, want not!						0024F8D6	PerkCard_Caps_Uncommon		0	
0039CFA1	MysteriousSaviorCard	MysteriousSavior	Victus fortuna iuvat.						0024F8D6	PerkCard_Caps_Uncommon		0	
0039D06B	GunsmithCard	Gunsmith	The best gun is a reliable gun.						0024F8D6	PerkCard_Caps_Uncommon		0	
003A4A59	WastelandWhispererCard	WastelandWhisperer	Master the post-apocalypse!						0024F8D6	PerkCard_Caps_Uncommon		0	
003A4A4D	AnimalFriendCard	AnimalFriend	Commune with beasts!						0024F8D6	PerkCard_Caps_Uncommon		0	
003BB50F	AmmosmithCard	Ammosmith	You're an assembly line.						001179ED	PerkCard_Caps_Common		0	
003BD59B	SuperDuperCard	SuperDuper	You don't play by the rules.						0024F8D6	PerkCard_Caps_Uncommon		0	
003BD592	DryNurseCard	DryNurse	You've mastered the placebo effect!						001179ED	PerkCard_Caps_Common		0	
003BD59C	ChemistCard	Chemist	A little goes a long way.						001179ED	PerkCard_Caps_Common		0	
003BD596	FullChargeCard	FullCharge	Lift your feet!						001179ED	PerkCard_Caps_Common		0	
003BE313	POST_OutlawCard	Outlaw	Rules should have died with the war!						001179F3	PerkCard_Caps_Rare		0	
003BE30F	TravelAgentCard	TravelAgent	You've got friends where it counts.						001179ED	PerkCard_Caps_Common		0	
003D2954	BlockerCard	Blocker	Brace for impact!						001179F3	PerkCard_Caps_Rare		0	
003D2962	WeaponArtisanCard	WeaponArtisan	Weapon repair is an art.						001179ED	PerkCard_Caps_Common		0	
003D295E	AntibioticCard	Antiobiotic	THIS PERK IS DEPRECATED!									0	
003D2951	DodgyCard	Dodgy	Dodge bullets and roll with the punches.						001179F3	PerkCard_Caps_Rare		0	
003D2957	GoatLegsCard	GoatLegs	Your legs must be double-jointed.						001179ED	PerkCard_Caps_Common		0	
003DE58A	CUT_FixerUpperCard	FixerUpper	You can roll with the punches.						0024F8D6	PerkCard_Caps_Uncommon		0	
003DE58E	IncisorCard	Incisor	Aim for the joints!						001179F3	PerkCard_Caps_Rare		0	
003DE593	RejuvenatedCard	Rejuvenated	Food for the body and soul.						001179ED	PerkCard_Caps_Common		0	
003E21E5	CriticalSavvyCard	CriticalSavvy	You're a battlefield tactician.						0024F8D6	PerkCard_Caps_Uncommon		0	
003E2202	TenderizerCard	Tenderizer	Make them look like Swiss Cheese!						0024F8D6	PerkCard_Caps_Uncommon		0	
003E2201	SuppressorCard	Suppressor	Put the fear of you into them!						0024F8D6	PerkCard_Caps_Uncommon		0	
003E21E4	ContractorCard	Contractor	Quality over quantity!						001179ED	PerkCard_Caps_Common		0	
003E21EC	JunkShieldCard	JunkShield	Who needs armor when you've got so much junk?						001179F3	PerkCard_Caps_Rare		0	
003E35C1	FixItGoodCard	FixItGood	It's better than new!						001179ED	PerkCard_Caps_Common		0	
003E8630	QuickHandsCard	QuickHands	In combat, there's no time to hesitate.						0024F8D6	PerkCard_Caps_Uncommon		0	
003E996E	FriendlyFireCard	FriendlyFire	You majored in aggressive cauterization.						0024F8D6	PerkCard_Caps_Uncommon		0	
003E996D	MartialArtistCard	MartialArtist	Light as paper, hard as steel.						001179F3	PerkCard_Caps_Rare		0	
004E84E8	RoboticsExpertCard	RoboticsExpert	Machines will always serve humans, if you have anything to say about it.						0024F8D6	PerkCard_Caps_Uncommon		0	
00505BD1	AntiEpidemicCard	AntiEpidemic	You're a happy doc. Your cures are contagious.						0024F8D6	PerkCard_Caps_Uncommon		0	
0051ABC6	LastLaughCard	LastLaugh	You find humor in death, your own specifically.						0024F8D6	PerkCard_Caps_Uncommon		0	
0051ABCB	PerceptiBobbleCard	Perceptibobble	Gettin' warm!						001179ED	PerkCard_Caps_Common		0	
0051ABCA	PannapictagraphistCard	Pannapictagraphist	You can just hear those sweet, sweet zines!						001179ED	PerkCard_Caps_Common		0	
0051ABC9	FortuneFinderCard	FortuneFinder	You're a human metal detector.						001179ED	PerkCard_Caps_Common		0	
0052415D	GoodWithSaltCard	GoodWithSalt	You're so salty, it rubs off on your food!						0024F8D6	PerkCard_Caps_Uncommon		0	
00123A5F	GladiatorExpertCard	GladiatorExpert	Good form keeps you on your toes!						001179F3	PerkCard_Caps_Rare		0	
00123A60	GladiatorMasterCard	GladiatorMaster	In another life you were a swordsman!						001179F3	PerkCard_Caps_Rare		0	
00520BD8	SluggerExpertCard	SluggerExpert	Knock 'em out of the park!						001179F3	PerkCard_Caps_Rare		0	
00520BD9	SluggerMasterCard	SluggerMaster	Home run with each hit!						001179F3	PerkCard_Caps_Rare		0	
004F9FD3	WoodchuckerCard	WoodChucker	You can chuck more wood than a woodchuck chucks.						001179ED	PerkCard_Caps_Common		0	
0047142F	zzz_Babylon_ScroungerCard	Scrounger	Keep the fight going!						0024F8D6	PerkCard_Caps_Uncommon		0	
0047140F	zzz_Babylon_ClassFreakCard	ClassFreak	You were always the odd kid.						001179ED	PerkCard_Caps_Common		0	
004713FF	zzz_Babylon_TenderizerCard	Tenderizer	Make them look like Swiss Cheese!						0024F8D6	PerkCard_Caps_Uncommon		0	
004713F7	zzz_Babylon_GoatLegsCard	GoatLegs	Your legs must be double-jointed.						001179ED	PerkCard_Caps_Common		0	
004713F3	zzz_Babylon_ActionBoyGirlCard	ActionBoy	There's no time to waste!						001179ED	PerkCard_Caps_Common		0	
00471430	zzz_Babylon_ShotgunnerMasterCard	ShotgunnerMaster	You're a trophy shooter - with the trophy to prove it!						001179F3	PerkCard_Caps_Rare		0	
004713F8	zzz_Babylon_IronFistCard	IronFist	Channel your chi to unleash devastating fury!						001179ED	PerkCard_Caps_Common		0	
00471436	zzz_Babylon_TravelingPharmacyCard	TravelingPharmacy	You're great at getting boosted... on the go!						001179ED	PerkCard_Caps_Common		0	
00471412	zzz_Babylon_CrackshotCard	CrackShot	You don't have to shoot first, just hit first.						001179F3	PerkCard_Caps_Rare		0	
00471434	zzz_Babylon_TankKillerCard	TankKiller	You are a human can opener.						001179F3	PerkCard_Caps_Rare		0	
