WEAP_FormID	WEAP_EDID	WEAP_FULL	WEAP_Model	XALG_Flags	EILV_Level	ETYP_EquipType	PTRN_PreviewTransform	IBSD_BreakSound	KeywordCount	Keywords	APPR_SlotCount	APPR_Slots
000042F2	Tomahawk	Tomahawk				GrenadeSlot [EQUP:00046AAC]	xTranMelee [TRNS:00020D51]		0		0	
0000463F	AssaultRifle	Assault Rifle			30	BothHands [EQUP:00013F45]	xTranAssaultRifle [TRNS:00248AB5]	UIBreakWeapon [SNDR:004ED233]	0		9	ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_gun_Appearance "No Appearance" [KYWD:00114364]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_customName [KYWD:0047A264]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
00004822	10mm	10mm			1	BothHandsLeftOptional [EQUP:0004334D]	xTran10mm [TRNS:00248AB9]	UIBreakWeapon [SNDR:004ED233]	0		8	ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_gun_Appearance "No Appearance" [KYWD:00114364]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
000073F8	PulseGrenadeOrbital	Orbital Strike Beacon				GrenadeSlot [EQUP:00046AAC]	xTrangrenade [TRNS:0012EF94]		0		0	
0000740A	crTickSpit	Tick Blood Spray				MiddleHand [EQUP:0001A02F]	xTranRifle [TRNS:00031C14]		0		0	
00008991	zzz_SF08_SuicideRun_BottlecapMine					GrenadeSlot [EQUP:00046AAC]	xTranminebottlecap [TRNS:0012EF96]		0		0	
0000DC55	DeathTambo	Death Tambo			15	BothHandsLeftOptional [EQUP:0004334D]	xTranKnuckles2 [TRNS:0046FFCF]	UIBreakWeapon [SNDR:004ED233]	0		8	ap_melee_MeleeMod "Upgrade" [KYWD:0005524C]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Weapon_Model_Replacement "Customization" [KYWD:0032CD06]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
0000DC56	GuitarSword	Guitar Sword			15	RightHand [EQUP:00013F42]	xTranMeleeLarge2 [TRNS:004FCF22]	UIBreakWeapon [SNDR:004ED233]	0		8	ap_melee_MeleeMod "Upgrade" [KYWD:0005524C]|ap_melee_Appearance "No Appearance" [KYWD:001A001E]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
0000DC57	WarDrum	War Drum			15	RightHand [EQUP:00013F42]	xTranMeleeLarge2 [TRNS:004FCF22]	UIBreakWeapon [SNDR:004ED233]	0		7	ap_melee_MeleeMod "Upgrade" [KYWD:0005524C]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
0000EC88	crUnarmedMothman	Unarmed Mothman				EitherHand [EQUP:00013F44]			0		0	
0000ED91	zzz_TestAssaultRifle	Assault Rifle				BothHands [EQUP:00013F45]	xTranAssaultRifle [TRNS:00248AB5]		0		6	ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]
0000F266	crMothmanAttack1	MothmanAttack				BothHands [EQUP:00013F45]	xTranMelee [TRNS:00020D51]		0		0	
0000F268	crMothmanStalk	MothmanStalk				RightHand [EQUP:00013F42]	xTranMelee [TRNS:00020D51]		0		2	ap_melee_MeleeMod "Upgrade" [KYWD:0005524C]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]
0000F39C	crMothmanRangedAttackSingleShotVer1	Single Shot Ver 1				MiddleHand [EQUP:0001A02F]	xTranPistol [TRNS:00031C13]		0		0	
0000FFEF	crUnarmedHoneyBeast	Unarmed Honey Beast			1	RightHand [EQUP:00013F42]			0		0	
00011A59	crUnarmedGrafton	Unarmed Grafton				BothHandsOptional [EQUP:0004334C]			0		0	
00011A7C	crMothmanAttack2	MothmanAttack				BothHands [EQUP:00013F45]	xTranMelee [TRNS:00020D51]		0		0	
00011BF6	GatlingGun	Gatling Gun			20	BothHands [EQUP:00013F45]	xTranMiniGun [TRNS:000390B1]	UIBreakWeapon [SNDR:004ED233]	0		14	ap_gun_Scope [KYWD:00022499]|ap_gun_Barrel [KYWD:0002249D]|ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_gun_Appearance "No Appearance" [KYWD:00114364]|ap_gun_Casing [KYWD:00149CA8]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_gun_FlashFar [KYWD:001E9904]|ap_gun_FlashMid [KYWD:001E9905]|ap_gun_FlashShort [KYWD:001E9906]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
00012E73	MoleMinerGauntlet	Mole Miner Gauntlet			20	BothHandsLeftOptional [EQUP:0004334D]	xTranMoleMinerGauntlet [TRNS:004FCF20]	UIBreakWeapon [SNDR:004ED233]	0		8	ap_melee_MeleeMod "Upgrade" [KYWD:0005524C]|ap_melee_Appearance "No Appearance" [KYWD:001A001E]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
00013CE9	CompoundBow	Compound Bow			10	BothHands [EQUP:00013F45]	xTranBow [TRNS:00592430]		0		11	ap_gun_Scope [KYWD:00022499]|ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_gun_Bolt "Bolt" [KYWD:0011103B]|ap_gun_Appearance "No Appearance" [KYWD:00114364]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_customName [KYWD:0047A264]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
00013CED	zzz_CompoundBowRight	Compound Bow Right Handed				RightHand [EQUP:00013F42]	xTranRifle [TRNS:00031C14]		0		6	ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]
00014015	zzz_CompoundBowLeft	Compound Bow Left Handed				LeftHandOther [EQUP:0023E486]	xTranRifle [TRNS:00031C14]		0		6	ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]
00015CC0	zzz_TestAssaultRifleChinese	Assault Rifle				BothHands [EQUP:00013F45]	xTranAssaultRifle [TRNS:00248AB5]		0		6	ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]
00017B99	zzz_TestAudioGrenadeLauncher	Missile Launcher				BothHands [EQUP:00013F45]	xTranLauncher [TRNS:0010A2C5]		0		14	ap_gun_Scope [KYWD:00022499]|ap_gun_Barrel [KYWD:0002249D]|ap_gun_Grip [KYWD:0002249F]|ap_gun_BarrelHandle [KYWD:00170370]|ap_gun_BarrelPivot [KYWD:00170371]|ap_gun_Missile "Magazine" [KYWD:0017037C]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_gun_MagPivot [KYWD:001EE90C]|ap_gun_HandleMove [KYWD:001EE90D]|ap_gun_TriMagMove [KYWD:001EE92C]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]
00018D4F	crUnarmedMoleMiner	Unarmed Mole Miner			1	BothHandsOtherOptional [EQUP:00043350]			0		0	
000193B7	crUnarmedTick	Unarmed Tick				LeftHand [EQUP:00013F43]			0		0	
00019951	crGraftonOilBombWeapon	Grafton Oil Bomb				RightHandAlt [EQUP:0010FFFB]			0		0	
00019B47	crTurretMountedLaserGun02	Turret Laser Gun				RightHand [EQUP:00013F42]	xTranRifle [TRNS:00031C14]		0		0	
00019B4E	crTurretMountedLaserGun03	Turret Laser Gun				RightHand [EQUP:00013F42]	xTranRifle [TRNS:00031C14]		0		0	
00019B52	crTurretBubbleLaserGun04	Turret Laser Gun				RightHand [EQUP:00013F42]	xTranRifle [TRNS:00031C14]		0		0	
0001DACF	zzz_LaserMusket	Laser Musket			15	BothHands [EQUP:00013F45]	INVLaserMusket [TRNS:00246B56]	UIBreakWeapon [SNDR:004ED233]	0		6	ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]
0001EC47	GatlingPlasma	Gatling Plasma			30	BothHands [EQUP:00013F45]	xTranGatlingLaser [TRNS:00248AB1]	UIBreakWeapon [SNDR:004ED233]	0		8	ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_gun_Appearance "No Appearance" [KYWD:00114364]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
0001F669	Minigun	Minigun			35	BothHands [EQUP:00013F45]	xTranMiniGun [TRNS:000390B1]	UIBreakWeapon [SNDR:004ED233]	0		13	ap_gun_Scope [KYWD:00022499]|ap_gun_Barrel [KYWD:0002249D]|ap_gun_Appearance "No Appearance" [KYWD:00114364]|ap_gun_Casing [KYWD:00149CA8]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_gun_FlashFar [KYWD:001E9904]|ap_gun_FlashMid [KYWD:001E9905]|ap_gun_FlashShort [KYWD:001E9906]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
00024F55	PipeGun	Pipe			1	BothHands [EQUP:00013F45]	xTranPipeGuns [TRNS:00248AB3]	UIBreakWeapon [SNDR:004ED233]	0		7	ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
00027DE6	zzz_TESTMissileLauncher	Missile LauncherTEST				BothHands [EQUP:00013F45]	xTranLauncher [TRNS:0010A2C5]		0		14	ap_gun_Scope [KYWD:00022499]|ap_gun_Barrel [KYWD:0002249D]|ap_gun_Grip [KYWD:0002249F]|ap_gun_BarrelHandle [KYWD:00170370]|ap_gun_BarrelPivot [KYWD:00170371]|ap_gun_Missile "Magazine" [KYWD:0017037C]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_gun_MagPivot [KYWD:001EE90C]|ap_gun_HandleMove [KYWD:001EE90D]|ap_gun_TriMagMove [KYWD:001EE92C]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]
000311DE	BowieKnife	Bowie Knife			5	RightHand [EQUP:00013F42]	xTranMeleeSmall [TRNS:0010A2C4]	UIBreakWeapon [SNDR:004ED233]	0		8	ap_melee_MeleeMod "Upgrade" [KYWD:0005524C]|ap_melee_Appearance "No Appearance" [KYWD:001A001E]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
0003175B	crWeapBloatfly	Larva Spit				BothHands [EQUP:00013F45]	xTranPistol [TRNS:00031C13]		0		0	
00031FB8	crBloodbugSpitWeapon	Bloodbug Blood Spray				MiddleHand [EQUP:0001A02F]	xTranRifle [TRNS:00031C14]		0		0	
0003226A	crMegaslothDirtThrow				1	RightHand [EQUP:00013F42]	xTranPistol [TRNS:00031C13]		0		0	
00033FE0	Machete	Machete			1	RightHand [EQUP:00013F42]	xTranMelee [TRNS:00020D51]	UIBreakWeapon [SNDR:004ED233]	0		9	ap_melee_MeleeMod "Upgrade" [KYWD:0005524C]|ap_melee_Appearance "No Appearance" [KYWD:001A001E]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Weapon_Model_Replacement "Customization" [KYWD:0032CD06]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
000360CF	SkiSword	Ski Sword			15	RightHand [EQUP:00013F42]	xTranMelee [TRNS:00020D51]	UIBreakWeapon [SNDR:004ED233]	0		9	ap_melee_MeleeMod "Upgrade" [KYWD:0005524C]|ap_melee_Appearance "No Appearance" [KYWD:001A001E]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_customName [KYWD:0047A264]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
00037CA3	crUnarmedLiberator	Unarmed Liberator				RightHand [EQUP:00013F42]			0		0	
0003A0D4	50CalMachineGun	.50 Cal Machine Gun			25	BothHands [EQUP:00013F45]	xTranAutoGrenadeLauncher [TRNS:005A5E45]	UIBreakWeapon [SNDR:004ED233]	0		22	ap_Bot_Grip [KYWD:0000140F]|ap_Bot_Sight [KYWD:00001413]|ap_Bot_Barrel [KYWD:00001414]|ap_gun_Scope [KYWD:00022499]|ap_gun_Barrel [KYWD:0002249D]|ap_gun_Grip [KYWD:0002249F]|ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_gun_Mag "Magazine" [KYWD:0005D4D7]|ap_gun_FeedThroat [KYWD:0005F7C7]|ap_Bot_Mag [KYWD:00091A50]|ap_gun_Appearance "No Appearance" [KYWD:00114364]|ap_gun_Casing [KYWD:00149CA8]|ap_gun_Sight "Sights" [KYWD:0014CDA5]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_gun_FlashFar [KYWD:001E9904]|ap_gun_FlashMid [KYWD:001E9905]|ap_gun_FlashShort [KYWD:001E9906]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
0003A1D1	Pitchfork	Pitchfork			1	RightHand [EQUP:00013F42]	xTranMeleeLarge [TRNS:0010A2C2]	UIBreakWeapon [SNDR:004ED233]	0		9	ap_gun_MeleeMod [KYWD:0000283C]|ap_melee_MeleeMod "Upgrade" [KYWD:0005524C]|ap_melee_Appearance "No Appearance" [KYWD:001A001E]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
0003F6F8	MissileLauncher	Missile Launcher			20	BothHands [EQUP:00013F45]	xTranLauncher [TRNS:0010A2C5]	UIBreakWeapon [SNDR:004ED233]	0		17	ap_gun_Scope [KYWD:00022499]|ap_gun_Barrel [KYWD:0002249D]|ap_gun_Grip [KYWD:0002249F]|ap_gun_Appearance "No Appearance" [KYWD:00114364]|ap_gun_BarrelHandle [KYWD:00170370]|ap_gun_BarrelPivot [KYWD:00170371]|ap_gun_Missile "Magazine" [KYWD:0017037C]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_gun_MagPivot [KYWD:001EE90C]|ap_gun_HandleMove [KYWD:001EE90D]|ap_gun_TriMagMove [KYWD:001EE92C]|ap_customName [KYWD:0047A264]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
00041EF1	PharmaBot_Left_Spray	PharmaBot_Left_Spray			1	HandyLeftHandRMOptional [EQUP:00047321]			0		0	
00044101	PharmaBot_Middle_Spray	PharmaBot_Middle_Spray			1	HandyMiddleHandRLOptional [EQUP:00047323]			0		0	
00044102	PharmaBot_Right_Spray	PharmaBot_Right_Spray			1	HandyRightHandLMOptional [EQUP:000471A2]			0		0	
00045884	Grenade_Pumpkin	Pumpkin Grenade				GrenadeSlot [EQUP:00046AAC]	xTrangrenade [TRNS:0012EF94]		0		1	ap_Item_Description [KYWD:00521926]
00046946	BlackPowder_Rifle_Dragon	The Dragon			35	BothHands [EQUP:00013F45]	xTranRifleBlPowder [TRNS:0046FFD2]	UIBreakWeapon [SNDR:004ED233]	0		13	ap_gun_Muzzle "No Muzzle" [KYWD:0002249C]|ap_gun_Barrel [KYWD:0002249D]|ap_gun_Receiver "Receiver" [KYWD:00024004]|ap_Gun_UniversalOffset_Range [KYWD:000498A0]|ap_gun_ProjectileNode [KYWD:0004B6E1]|ap_gun_Appearance "No Appearance" [KYWD:00114364]|ap_Legendary1 "Legendary Mod ¬" [KYWD:001E32C8]|ap_Legendary2 "Legendary Mod ¬¬" [KYWD:004E89A8]|ap_Legendary3 "Legendary Mod ¬¬¬" [KYWD:004E89A9]|ap_Legendary4 "Legendary Mod ¬¬¬¬" [KYWD:004E89AA]|ap_Legendary5 "Legendary Mod ¬¬¬¬¬" [KYWD:004E89AB]|ap_gun_model "Style" [KYWD:005867A7]|ap_Legendary_Crafting "Extract Legendary Mods" [KYWD:006214D8]
