SPEL_FormID	SPEL_EDID	SPEL_FULL	SPEL_DESC
0017FCF7	crMirelurkRadHazard	Radiation	
0017FCF8	crMirelurkHunterRadHazard	Radiation	
0017FCF9	crMirelurkKingRadHazard	Radiation	
0017FCFA	crMirelurkQueenRadHazard	Radiation	
0017FCFB	crBloodbugRadHazard	Radiation	
0017FCFC	crStingwingRadHazard	Radiation	
0017FCFD	crDogRadHazard	Radiation	
0017FCFE	crRadstagRadHazard	Radiation	
0017FCFF	crYaoGuaiRadHazard	Radiation	
0017FD00	crMoleratRadHazard	Radiation	
0017FD01	crGlowingYaoGuaiCloak	Radiation Cloak	
0017FD03	crRadscorpionRadHazard	Radiation	
0017FD04	crGlowingDogCloak	Radiation Cloak	
0017FD05	PoisonViciousDog	Canine Infection	
001832F9	crGlowingMoleratCloak	Radiation Cloak	
001832FA	zzzPoisonMolerat	Molerat Infection	
00183300	crGlowingDeathclawCloak	Radiation Cloak	
00183302	crDeathclawRadHazard	Radiation	
00184D85	ReconScopeSpell	Recon Scope Spell	
00195599	terminalHackerTurretConfidenceSpell	turretConfidence	
001955B7	AbRaceRadstag		
0019FFBA	abDeathMessage	Death Message	
001A85CF	crGlowingMutantHoundCloak	Radiation Cloak	
0002B6D7	AbRaceProtectron		
00041EC8	TrapElectricArcSpellV111		
0004AB42	crMirelurkKingBlurCloak	Blur Cloak	
0007C719	SpellPowerArmor_TeslaBracers		
00085332	AbBoSPaladin	Paladin	
00097344	AbPerkRootedDisarm	Disarm on attack	
000976E5	SpellPowerArmor_Stealth	Stealth Field	
000A599A	AnRRInTheBloodSpell		
000B73A6	AbRaceGlowingOne	Glowing One abilities	
000C9798	AbRaceStingwing		
000CF5F0	DisarmSpell	Disarm	
000D3FC6	BossAbility01		
00156D0A	AbAddictionFury	Fury Addiction	
00156D0C	AbAddictionCalmex	Calmex Addiction	
00156D0D	AbAddictionXCell	X-Cell Addiction	
00156D0E	AbAddictionDaddyO	Daddy-O Addiction	
00156D0F	AbAddictionDaytripper	Daytripper Addiction	
00156D10	AbAddictionOverdrive	Overdrive Addiction	
0016CA43	crGlowingRadroachCloak	Radiation Cloak	
0017E79B	RESceneLC01HealthBuff	Fortify Health	
0017E8FA	BlindnessSpell	Blindness Spell	
0018C35A	CryoFreezeSpell	Freezing	
0019401C	crCoreMeltdownCloak01	Radiation Cloak	
00195904	FireHazard	Fire Hazard	
001B1FF4	RadiationImmunity	Immune to Radiation	
001B34CD	PowerArmor_TargetingHUD_Spell	Targeting HUD	
001C4026	QuietReflection	Quiet Reflection	
001C501F	AbPerkMagHealthRegen	Regenerate Health	
001C5E7B	RadStormSpell	Radiation Storm	
001C63EA	AbPerkMagSwimSpeed		
001C6BCA	CritMirelurkQueen		
001C9A6A	CureAddictions	Cure Addictions	
001CCDA3	LegendaryCreatureChance_AbConvertLegendaryCreature	LegendaryChance_AbConvertLegendaryCreature	
001CFB14	assaultronStealthSpell	Stealth Spell	
001D246C	abPerkLoneWanderer	Lone Wanderer	
001D2481	AbPerkRooted	Fortify Damage Resistance	
001D33D6	PerkStagger	Stagger	
001D4AB4	SlowTime	Slow Time	
001D4AB8	PerkDogmeatBleedingDmg	Bleeding Damage	
001E325A	PerkSneakInvisibility	Invisibility	
001E4502	AbMirelurkKingCloakSpell		
001E4506	CritLaserLtBlue		
001FA241	abPerkRadResistant	Rad Resistant	
001FA245	Legendary_2xDmg	Double Damage	
001FE6A3	WaterRadiationHighHazard	High Water Radiation	
001FE6A4	WaterRadiationHighDrinkingToxic	Toxic Water	
001FE6AE	zzzLegendary_Radioactive	Radioactive	
001FE6B4	Legendary_Poison	Poison	
001FE6B7	Legendary_PoisonAttack	Poison Attack	
001FE6BA	Legendary_Accuracy	Accuracy	
00204143	WorkshopTrapFlamethrowerSpell		
00209471	AbPainTrainImpactLanding	Impact Landing	
00215CD3	abDogmeatHealthBonus		
00215CD6	PerkFortuneFinderSpell	Shower of Caps	
00215E07	HazardRadiationNukaGrenadeSpell	Radiation	
0021C007	GlowingLootDrop	Glowing Loot Drop	
00225179	DetectLifeSpell	Detect Life	
0022517A	DetectLifePACloakSpell	Detect Life	
0022517F	DetectLifeCloakHostileSpell	Detect Life Hostile Cloak	
00225181	DetectLifeHostileSpell	Detect Life	
00225F7D	AbStrongStats	Strong's Stats	
0022B6EA	AbRaceSentryBot		
0022B6F0	AbRaceMrHandy		
0022FC60	CUT_DogmeatInvisibility	Dogmeat's Invisibility	
0022FED3	AbWorkshopPopulation	Add population resource value	
00231BEA	RECheckpoint_LessDamage90Spell		
00237E4F	CourserSpeedUp	Courser Speed Up	
00237E50	AbCourserSpeed	Courser Speed	
0023C9C2	FlameThrowerFireHazardSpell	Strong Fire Hazard	
0023C9C3	ExplosionFireHazardSpell	Strong Fire Hazard	
0023EC91	GlowingSeaPlayerRadiationRadStorm	Glowing Sea Radiation	
002404A6	AbRaceBehemoth		
00240C1E	FireHazardLight01	Light Fire Hazard	
0024615A	AbAddictionBuzzBites	BuzzBites Addiction	
00247A41	DetectLifePATargetCloakSpell	Detect Life	
0024848D	SpellPowerArmor_CommonArm	PA Common Arm	
0024865C	SpellPowerArmor_ImpactLandingAggro	SpellPA_ImpactLandingAggro	
002486F8	DetectLifeOnTargetSpell	Detect Life	
00248978	PowerArmor_ImpactLandingAggroDamageSpell	PA_ImpactLandingAggroDamageSpell	
002495D9	RoboticsExpertFrenzySpell	RoboticsExpertFrenzy	
00249BF1	PerkPainTrainBlockSpell	Pain Train Block Spell	
00249C4C	PerkPainTrainBlockStaggerSpell	Pain Train Block Spell	
00249D6A	PowerArmor_mod_Lining_FieldGen_EMP_Spell	FieldGen EMP Spell 4	
00008CC5	MTR_AshFireSpell	Ash Fire Damage	
00004381	AbNemesisRank00		
00004384	AbNemesisRank01		
00004385	AbNemesisRank02		
0010EA9C	DLC01AbRaceTurretSpotlight		
0010EAB2	DLC01LightningHazardSpell	Lightning Hazard	
0010EAF5	AssaultronHeadSelfRadsSpell	AssaultronHeadSelfRadsSpell	
0010EB03	DLC01EnchBot_Cloak_ReconSpell	DLC01EnchBot_Cloak_ReconSpell	
0010EB18	DLC01Bot_CommonArmorSpell	DLC01Bot_CommonArmorSpell	
0010EB2A	DLC01Bot_KnockdownSpell	DLC01Bot_KnockdownSpell	
0010EC9A	V96_2_EncEyebotScanner_4_Overcharged_Cloak	Overcharged Energy Field	
0010EC9D	V96_2_EncEyebotScanner_4_Overcharged_CloakHazard	Overcharged Energy Field	
0010ECA1	DLC01_EyebotSelfDestructAb		
0010ECAE	DLC01RobotShield	Robot sheild	
0010EE0E	DLC01Bot_CommonArmorSpell_Unstable	DLC01Bot_CommonArmorSpell_Unstable	
0010EFB7	DLC01SmokeBombHazardSpell	DLC01SmokeBombHazardSpell	
0010F26F	DLC01EnchBot_Cloak_DetectionSpell	DLC01EnchBot_Cloak_DetectionSpell	
0010F271	DLC01EnchBot_Cloak_EMPSpell	DLC01EnchBot_Cloak_EMPSpell	
0010F274	DLC01EnchBot_Cloak_HealSpell	DLC01EnchBot_Cloak_HealSpell	
0010F280	POST_DLC01EnchBot_Cloak_RadiationSpell	DLC01EnchBot_Cloak_RadiationSpell	
0010F282	DLC01EnchBot_Cloak_ShieldSpell	DLC01EnchBot_Cloak_ShieldSpell	
0010F284	DLC01EnchBot_Cloak_StealthSpell	DLC01EnchBot_Cloak_StealthSpell	
0010F3D6	DeconArchSpell	Decontamination Mist	
0010F561	DLC01AssaultronHeadTrapSpell	Assaultron Head Trap	
0010F565	DLC01AbRaceRobobrain		
0010F7AD	DLC01crCoreMeltdownCloak01	DLC01crCoreMeltdownCloak01	
0010FB71	DLC01AbRaceMrHandy		
0011019F	DLC02WorkshopDetectLifeAbility	Workshop Detect Life	
0011083B	dlc03_FireHazard	Strong Fire Hazard	
0011083C	dlc03_ElectricArcSpell		
0011083D	dlc03_SlowTimeBriefly	Slow Time Briefly	
00110910	dlc03_RestoreHealthLikeStimpak	Restore Health Like Stimpak	
0011094F	dlc03_Invisibility	Invisibility	
00110E3A	DLC03_ArcadiaProtector	Protector of Arcadia	
00110E3B	DLC03_AbProtectorArcadia	Protector of Arcadia	
00110E3C	DLC03_AbDestroyerArcadia	Destroyer of Arcadia	
00110E3E	DLC03_ArcadiaDestroyer	Destroyer of Arcadia	
00110E41	DLC03_FarHarborSurvivalist	Far Harbor Survivalist	
00111146	DLC03_PoisonFogCrawlerBite	Fog Crawler Poison	
00111245	DLC03FogRadiationHazardLight	Light Radiation	
001112B3	DLC03AtomSpringImodSpell		
00111544	DLC03HermitCrabSpawnSpell	DLC03HermitCrabSpawnSpell	
0011168B	DLC03AbRaceFogCrawler		
001116B8	DLC03AbRaceHermitCrab	Hermit Crab FX Ability	
00111704	DLC03AbAnglerAmbush		
00111722	DLC03_WaterRadiationAtomsSpringDrinking	Awful, putrid water	
001117BF	DLC03MQ04PlayerAbility		
001121D3	zzzDLC05RadStormFastTransitionSpell	Radiation Storm	
001121DD	DLC06BuffStrength	Strength Boost	
001121DF	DLC06BuffPerception	Perception Boost	
001121E0	DLC06BuffEndurance	Endurance Boost	
001121E1	DLC06BuffCharisma	Charisma Boost	
001121E2	DLC06BuffIntelligence	Intelligence Boost	
001121E3	DLC06BuffAgility	Agility Boost	
001121E4	DLC06BuffLuck	Luck Boost	
00113026	DLC04WaterQuantumRadiationDrinking	Questionable Quantum Water	
001131AC	DLC04AbRaceAnimatronicAlien		
001135A2	DLC04_AbPerkGhoulish04	Ghoulish	
00113612	DLC04_MagScav05Spell	Villainous Virtuosity	
0011362C	DLC04MS02_AHS1_Bonus	Hubology AHS-1	
0011362D	DLC04MS02_AHS2_Bonus	Hubology AHS-2	
0011362E	DLC04MS02_AHS3_Bonus	Hubology AHS-3	
0011362F	DLC04MS02_AHS4_Bonus	Hubology AHS-4	
00113630	DLC04MS02_AHS5_Bonus	Hubology AHS-5	
00113631	DLC04MS02_AHS6_Bonus	Hubology AHS-6	
00113632	DLC04MS02_AHS7_Bonus	Hubology AHS-7	
00113633	DLC04MS02_AHS8_Bonus	Hubology AHS-8	
001136B6	DLC04Gauntlet_GasHazard	Gas	
00113961	DLC04_AbRaceSwarm		
001139B9	DLC04_AbPerkVans02	VANS	
0011408F	DLC04CompGageAbility	Lessons In Blood	
001140F9	zzz_DLC04_AbLuckyRabbitsFoot	Lucky Rabbit's Foot	
0011415C	DLC04_OswaldGlowingOneBurst	Radiation Explosion	
00114206	DLC04RadiationHazardMedium	Medium Radiation	
00114339	DLC04abSinnerHealthBonus		
00114650	DLC04NukaKillTrackerSpell	DLC04NukaKillTracker	
0011490F	DLC04_AbOswaldTeleportInvisibility		
00114945	DLC04_AbImmuneToKnockdown	Immune To Knockdown	
0011497F	DLC04_crGlowingCaveCricketCloak	Radiation Cloak	
00114980	DLC04_crGlowingRadantCloak	Radiation Cloak	
00114981	DLC04_crGlowingRadratCloak	Radiation Cloak	
002129BD	AbEpicDamage	AbEpicDamage	
002129BE	AbEpicAccuracy	AbEpicAccuracy	
002129BF	AbEpicExplodeAndAccuracy	AbEpicExplodeAndAccuracy	
002129C0	AbEpicPoison	AbEpicPoison	
002129C1	AbEpicRadioactive	AbEpicRadioactive	
00088AAD	AbTWZ04QueenHealthRegen	Regenerate Health	
00127505	ENz04_ChangeAssistanceLevelSpell	Change NPC Assistance Level	
00026841	SURV_Hunger_Ability	Hunger	
00054DF3	SURV_Thirst_Ability	Thirst	
00112E6D	SURV_Disease_Parasites	Parasites	
00284956	SURV_Disease_Dysentery	Dysentery	
0028495A	SURV_Disease_Dysentery_PeriodicWaterLoss		
00008881	SURV_Disease_BoneWorms	Bone Worms	
0028D3BC	Mutation_Talons	Talons	
0003BDD2	MtnM01_Debuff_Karma	Karma Syringe	
0005C0B3	RS02_Beat_ChangeAssistanceLevelSpell	Change NPC Assistance Level	
00228395	ToxicRadiationHazardLight	Light Radiation	
002283C3	ToxicRadiationHazardStrong	Strong Radiation	
002599EC	AbPerkNightEyes	Night Eyes	
00259CBB	AbPerkNocturnalFortitude	Nocturnal Fortitude	
002BDB3C	MoM_PhantomDeviceSpell	Phantom Device	
002D0839	SFZ03_Queen_FlatwoodsBuff	Flatwoods Knowledge	
002D083A	SFZ03_Queen_GraftonBuff	Grafton Knowledge	
002D083B	SFZ03_Queen_MothmanBuff	Mothman Knowledge	
002D083E	SFZ03_Queen_SnallygasterBuff	Snallygaster Knowledge	
002D083F	SFZ03_Queen_WendigoBuff	Wendigo Knowledge	
001C7A50	CBZ09_Robot_HealthBoostAndRegen		
00201F94	TESTIModSpell	Test Imod Spell	
002C0882	FFZ16_Swatter_VertibirdHealthRegen	Regenerate Health	
000762B5	SURV_OverEncumbered_Ability	Overencumbered	
00093D8F	crFlatwoodsMonsterHealSpell	Flatwoods Heal Friend	
002DB870	AbPerkPowerUser	Power User	
002DB86A	AbPerkPhotosynthetic	Photosynthetic	
0017A053	DefaultChangeAssistanceLevelTo1Spell	Change NPC Assistance Level	
00242E5A	AbPerkBarbarian	Barbarian	
00019287	CameraShakeSpell	Camera Shake Spell	
00006DC4	PerkOverlyGenerousRadDamage	Overly Generous Damage	
0005F9AA	HoneyBeastSpawnBeesSpell		
0009FA29	EN07_ApplyBlastVisualEffectSpell_NukeA	Apply Blast Visual Effect	
000A004B	EN07_ApplyVaporizeVisualEffectSpell	Apply Vaporize Visual Effect	
002F051B	AbRaceScorchbeast	Scorchbeast Abilities	
0004A455	BobbleHead_STRSpell	Strength Bobblehead	
002C961D	BobbleHead_PERSpell	Perception Bobblehead	
002C961F	BobbleHead_ENDSpell	Endurance Bobblehead	
002C9620	BobbleHead_CHASpell	Bobblehead: Charisma	
002C9621	BobbleHead_INTSpell	Bobblehead: Intelligence	
002C9622	BobbleHead_AGISpell	Agility Bobblehead	
002C9623	BobbleHead_LCKSpell	Luck Bobblehead	
002C962A	BobbleHead_BigGunsSpell	Big Guns Bobblehead	
002FADC9	stealthTurretStealthSpell	Stealth Spell	
002FADD2	abWindingPathCreatureEffects		
002FAE8A	abWindingPathPlayerEffects		
0001C38F	BobbleHead_EnergyWeaponsSpell	Energy Gun Bobblehead	
00026D6E	BobbleHead_ExplosivesSpell	Explosives Bobblehead	
00026DF3	BobbleHead_LockpickingSpell	Lockpick Bobblehead	
00026E66	BobbleHead_MedicineSpell	Medicine Bobblehead	
000280F4	BobbleHead_MeleeSpell	Melee Bobblehead	
00028189	BobbleHead_RepairSpell	Repair Bobblehead	
0002819A	BobbleHead_ScienceSpell	Science Bobblehead	
000281AD	BobbleHead_SmallGunsSpell	Small Guns Bobblehead	
000281CC	BobbleHead_SneakSpell	Sneak Bobblehead	
00028279	BobbleHead_LeaderSpell	Leader Bobblehead	
00028282	BobbleHead_UnarmedSpell	Unarmed Bobblehead	
0002829B	BobbleHead_CapsSpell	Caps Bobblehead	
002C1D7D	crScorchbeastCloakSpell	Scorchbeast Cloak	
0004282A	CUT_PerkQuackSurgeonRevivee	Revived with Liquor	
0012EF27	crScorchbeastDamageFieldSpell	Scorchbeast Damage Field	
00006F95	Magazine_GrognakTheBarbarian02Spell	Grognak 2	
000074B6	Magazine_GrognakTheBarbarian03Spell	Grognak 3	
00007A98	Magazine_GrognakTheBarbarian04Spell	Grognak 4	
00007A9C	Magazine_GrognakTheBarbarian05Spell	Grognak 5	
00008D12	Magazine_GrognakTheBarbarian06Spell	Grognak 6	
000090C6	Magazine_GrognakTheBarbarian07Spell	Grognak 7	
000090EF	Magazine_GrognakTheBarbarian08Spell	Grognak 8	
000092D5	Magazine_GrognakTheBarbarian09Spell	Grognak 9	
000092DC	Magazine_GrognakTheBarbarian10Spell	Grognak 10	
00009B8C	Magazine_GunsAndBullets01Spell	Guns & Bullets 1	
00009CAA	Magazine_AwesomeTales01Spell	Awesome Tales 1	
00009CF7	Magazine_AwesomeTales02Spell	Awesome Tales 2	
0000A1FA	Magazine_AwesomeTales03Spell	Awesome Tales 3	
0000A228	Magazine_AwesomeTales04Spell	Awesome Tales 4	
0000A44B	Magazine_AwesomeTales05Spell	Awesome Tales 5	
0000A6C1	Magazine_AwesomeTales06Spell	Awesome Tales 6	
0000B1DA	Magazine_AwesomeTales07Spell	Awesome Tales 7	
0000B20E	Magazine_AwesomeTales08Spell	Awesome Tales 8	
0000B210	Magazine_AwesomeTales09Spell	Awesome Tales 9	
0000BA14	Magazine_AwesomeTales10Spell	Awesome Tales 10	
0000BA17	Magazine_AwesomeTales11Spell	Awesome Tales 11	
0000BB1F	Magazine_AwesomeTales12Spell	Awesome Tales 12	
0000BBC0	Magazine_AwesomeTales13Spell	Awesome Tales 13	
00012E60	Magazine_GrognakTheBarbarian01Spell	Grognak 1	
001ED98E	Magazine_GunsAndBullets02Spell	Guns & Bullets 2	
001EDAFE	Magazine_GunsAndBullets03Spell	Guns & Bullets 3	
001EFA78	Magazine_GunsAndBullets04Spell	Guns & Bullets 4	
001EFAAE	Magazine_GunsAndBullets05Spell	Guns & Bullets 5	
001EFC20	Magazine_GunsAndBullets06Spell	Guns & Bullets 6	
001EFC23	Magazine_GunsAndBullets07Spell	Guns & Bullets 7	
001EFC9F	Magazine_GunsAndBullets08Spell	Guns & Bullets 8	
001EFCFE	Magazine_GunsAndBullets09Spell	Guns & Bullets 9	
001EFD65	Magazine_GunsAndBullets10Spell	Guns & Bullets 10	
001EFDC9	Magazine_LiveAndLove01Spell	Live & Love 1	
001EFDD9	Magazine_LiveAndLove02Spell	Live & Love 2	
001EFE4C	Magazine_LiveAndLove03Spell	Live & Love 3	
001EFE7D	Magazine_LiveAndLove04Spell	Live & Love 4	Gain +10 Action Point Regen while on a team.
001EFE7E	Magazine_LiveAndLove05Spell	Live & Love 5	
001EFE80	Magazine_LiveAndLove06Spell	Live & Love 6	Gain 5% action point regen when on a team.
001EFE83	Magazine_LiveAndLove07Spell	Live & Love 7	
001EFE9F	Magazine_LiveAndLove08Spell	Live & Love 8	
001EFF5A	Magazine_LiveAndLove09Spell	Live & Love 9	Gain 5% action point regen when on a team.
001F1A3D	Magazine_TeslaScience01Spell	Tesla Science 1	
001F1B08	Magazine_TeslaScience02Spell	Tesla Science 2	
001F1B0B	Magazine_TeslaScience03Spell	Tesla Science 3	
001F1B58	Magazine_TeslaScience04Spell	Tesla Science 4	
001F1B7A	Magazine_TeslaScience04Ability	Magazine	
001F1B7B	Magazine_TeslaScience05Spell	Tesla Science 5	
001F1C75	Magazine_TeslaScience06Spell	Tesla Science 6	
001F1C85	Magazine_TeslaScience07Spell	Tesla Science 7	
001F1D4F	Magazine_TeslaScience08Spell	Tesla Science 8	
001F398D	Magazine_TeslaScience09Spell	Tesla Science 9	
0003A0BC	Wendigo_Spell	Wendigo	
00164C69	WaterFountainDrinkingSulphur	Sulphur Water	
0013D073	SURV_PlayerInWater		
00302FEF	SURV_Disease_ToxicSmokeHazardSpell	Poisonous Smoke	
0018EF92	SURV_Disease_SludgeLung	Sludge Lung	
001872B8	AbPerkEMTHealthRegen01	E.M.T. Heal	
0018731E	AbPerkEMTHealthRegen03	E.M.T. Heal	
0018731D	AbPerkEMTHealthRegen02	E.M.T. Heal	
0030B3F0	WindingPathAddEnergySpell		
0030B3F1	WindingPathCollectionSpell		
0030B3F2	WindingPathCollectionPillarSpell		
0030C9DC	V94_ZapzPestControlElectricArcSpell		
0030C9ED	V94_ReactorArcsElectricArcSpell		
0030CA95	V94_2_RadiationTriggerSpell	Intense Radiation	
0013D2DD	V94_RadiationHazardModerate	Moderate Radiation	
0030F57E	Magazine_Backwoodsman01Spell	Backwoodsman 1	
0030F57F	Magazine_Backwoodsman02Spell	Backwoodsman 2	
0030F589	Magazine_Backwoodsman03Spell	Backwoodsman 3	
0030F58A	Magazine_Backwoodsman04Spell	Backwoodsman 4	
0030F592	Magazine_Backwoodsman05Spell	Backwoodsman 5	
0030F593	Magazine_Backwoodsman06Spell	Backwoodsman 6	
0030F59C	Magazine_Backwoodsman07Spell	Backwoodsman 7	
0030F59D	Magazine_Backwoodsman08Spell	Backwoodsman 8	
0030F5A3	Magazine_Backwoodsman09Spell	Backwoodsman 9	
0030F5AA	Magazine_Backwoodsman10Spell	Backwoodsman 10	
0030F5AE	Magazine_ScoutsLife01Spell	Scout's Life 1	
0030F5AF	Magazine_ScoutsLife02Spell	Scout's Life 2	
002DE658	Magazine_ScoutsLife03Spell	Scout's Life 3	
00300F15	Magazine_ScoutsLife04Spell	Scout's Life 4	
00312B4F	Magazine_ScoutsLife05Spell	Scout's Life 5	
00312B50	Magazine_ScoutsLife06Spell	Scout's Life 6	
00312B51	Magazine_ScoutsLife07Spell	Scout's Life 7	
00312B52	Magazine_ScoutsLife08Spell	Scout's Life 8	
00312B53	Magazine_ScoutsLife09Spell	Scout's Life 9	
00312B54	Magazine_ScoutsLife10Spell	Scout's Life 10	
00312B5C	Magazine_USCovertOps01Spell	U.S. Covert Ops. 1	
00312B5D	Magazine_USCovertOps02Spell	U.S. Covert Ops. 2	
00312B5E	Magazine_USCovertOps03Spell	U.S. Covert Ops. 3	
00312B5F	Magazine_USCovertOps04Spell	U.S. Covert Ops. 4	
00312B60	Magazine_USCovertOps05Spell	U.S. Covert Ops. 5	
00312B61	Magazine_USCovertOps06Spell	U.S. Covert Ops. 6	
00312B62	Magazine_USCovertOps07Spell	U.S. Covert Ops. 7	
00312B63	Magazine_USCovertOps08Spell	U.S. Covert Ops. 8	
00312B64	Magazine_USCovertOps09Spell	U.S. Covert Ops. 9	
00312B65	Magazine_USCovertOps10Spell	U.S. Covert Ops. 10	
002ED816	Magazine_TumblersToday01Spell	Tumblers Today 1	
002ED817	Magazine_TumblersToday02Spell	Tumblers Today 2	
002ED819	Magazine_TumblersToday03Spell	Tumblers Today 3	
002ED81A	Magazine_TumblersToday04Spell	Tumblers Today 4	
002ED81B	Magazine_TumblersToday05Spell	Tumblers Today 5	
002ED823	Magazine_Unstoppables01Spell	Unstoppables 1	
002ED824	Magazine_Unstoppables02Spell	Unstoppables 2	
002ED825	Magazine_Unstoppables03Spell	Unstoppables 3	
002ED826	Magazine_Unstoppables04Spell	Unstoppables 4	
002ED828	Magazine_Unstoppables05Spell	Unstoppables 5	
00185A3C	AbPerkIronStomach	Iron Stomach	
00187158	AbPerkNaturalResistance	Natural Resistance	
002BA548	AbPerkThirstQuencher	Thirst Quencher	
