FormID	EDID	FULL	DESC	NNAM	XALG	KEYWORDS	SWFI	BEVA	ETIP	ETUI	ETDI	ETLG	ECIL_Count	ECIL_1	ECIL_2	ECIL_3	ECIL_4	ECIL_5	ECIL_6	ECIL_7	ECIL_8	ECIL_9	ECIL_10	ECIL_11	ECIL_12	ECIL_13	ECIL_14
00586A1C	ATX_ENTM_CAMP_Utility_FogMachine_Halloween	Fog Machine	Add some spooky fog to your C.A.M.P. with this Fog Machine.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Fog Machine	000000001				Textures/ATX/Storefront/Camp/Utility/		ATX_Camp_Utility_FogMachine_Halloween.dds		2	ATX_Camp_Utility_FogMachine_Halloween_C1.dds	ATX_Camp_Utility_FogMachine_Halloween_C2.dds												
00586A28	ATX_ENTM_CAMP_WallDeco_Poster_DeadMansHand	Dead Man's Hand Posters	You may be gambling with your life, but spruce up your walls with the Dead Man's Hand Posters.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Dead Man's Hand Posters					Textures/ATX/Storefront/Camp/WallDecoration/		ATX_CAMP_WallDeco_Poster_DeadMansHand.dds		4	ATX_CAMP_WallDeco_Poster_DeadMansHand_C1.dds	ATX_CAMP_WallDeco_Poster_DeadMansHand_C2.dds	ATX_CAMP_WallDeco_Poster_DeadMansHand_C3.dds	ATX_CAMP_WallDeco_Poster_DeadMansHand_C4.dds										
00586A23	ATX_ENTM_CAMP_FloorDecor_Plushie_Cat_Halloween	Mr. Fuzzy Halloween Plushie	Mr. Fuzzy is all dressed up for Halloween, just make sure not to cross his path.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Mr. Fuzzy Halloween Plushie					Textures/ATX/Storefront/Camp/FloorDecoration/		ATX_CAMP_FloorDecor_Plushie_Cat_Halloween.dds		2	ATX_CAMP_FloorDecor_Plushie_Cat_Halloween_C1.dds	ATX_CAMP_FloorDecor_Plushie_Cat_Halloween_C2.dds												
00586A20	ATX_ENTM_Apparel_Headwear_Gladiator_Hat	Gladiator Helmet	Adorn your head with a stylish and dangerous helmet.    - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Gladiator Helmet					Textures/ATX/Storefront/Player/Headwear/		ATX_Apparel_Headwear_Gladiator_Hat.dds		2	ATX_Apparel_Headwear_Gladiator_Hat_C1.dds	ATX_Apparel_Headwear_Gladiator_Hat_C2.dds												
00586A26	ATX_ENTM_CAMP_Utility_CandyBowl	Trick Candy Bowl	Share your candy haul or just get rid of those extra toothbrushes with the Trick Candy Bowl.     The Trick Candy Bowl is a container which can dispense candy and other food in your C.A.M.P.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Trick Candy Bowl	000000001				Textures/ATX/Storefront/Camp/Utility/		ATX_CAMP_Utility_CandyBowl.dds		2	ATX_CAMP_Utility_CandyBowl_C1.dds	ATX_CAMP_Utility_CandyBowl_C2.dds												
00586A24	ATX_ENTM_Apparel_Headwear_Eyepatch	Eye Patch	The classic Black Eye Patch.    - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Eye Patch					Textures/ATX/Storefront/Player/Headwear/		ATX_Apparel_Headwear_Eyepatch.dds		1	ATX_Apparel_Headwear_Eyepatch_C1.dds													
00586A22	ATX_ENTM_CAMP_FloorDecor_Cutout_VaultBoy_Vampire	Vault Boy Vampire Cutout	Make your C.A.M.P. a bit more haunting with the Vault Boy Vampire Cutout.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Vault Boy Vampire Cutout	000000001				Textures/ATX/Storefront/Camp/FloorDecoration/		ATX_CAMP_FloorDecor_Cutout_VaultBoy_Vampire.dds		1	ATX_CAMP_FloorDecor_Cutout_VaultBoy_Vampire_C1.dds													
00586A21	ATX_ENTM_CAMP_WallDeco_VintageHalloweenDecor	Vintage Halloween Décor	Spook up your C.A.M.P. with this collection of classic Halloween decorations.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -  	Vintage Halloween Décor					Textures/ATX/Storefront/Camp/WallDecoration/		ATX_CAMP_WallDeco_VintageHalloweenDecor.dds		3	ATX_CAMP_WallDeco_VintageHalloweenDecor_C1.dds	ATX_CAMP_WallDeco_VintageHalloweenDecor_C2.dds	ATX_CAMP_WallDeco_VintageHalloweenDecor_C3.dds											
00586A2A	ATX_ENTM_Apparel_Outfit_CommunistOutfit_Advanced	Communist Militant Outfit	Demonstrate your true loyalties with the Communist Militant Outfit.    - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Communist Militant Outfit					Textures/ATX/Storefront/Player/Outfit/		ATX_Apparel_Outfit_CommunistOutfit_Advanced.dds		2	ATX_Apparel_Outfit_CommunistOutfit_Advanced_C1.dds	ATX_Apparel_Outfit_CommunistOutfit_Advanced_C2.dds												
00586A25	ATX_ENTM_Skin_Backpack_Coffin	Coffin Backpack	Whether it is a corpse or a loose screw, the Coffin Backpack works for all your storage needs.    This skin can be applied to both the Small and Standard Backpack as a mod.    - SKIN IS CRAFTABLE AT ARMOR WORKBENCHES. -	Coffin Backpack					Textures/ATX/Storefront/Player/Backpack/		ATX_Skin_Backpack_Coffin.dds		2	ATX_Skin_Backpack_Coffin_C1.dds	ATX_Skin_Backpack_Coffin_C2.dds												
00586A2B	ATX_ENTM_Apparel_Headwear_CommunistOutfit_Advanced_Hat	Communist Militant Hat	Demonstrate your true loyalties with the Communist Militant Hat.    - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Communist Militant Hat					Textures/ATX/Storefront/Player/Headwear/		ATX_Apparel_Headwear_CommunistOutfit_Advanced_Hat.dds		1	ATX_Apparel_Headwear_CommunistOutfit_Advanced_Hat_C1.dds													
00586A1B	ATX_ENTM_CAMP_StashBox_Communist	Red Menace Stash Box	Keep your secrets safe from prying capitalist eyes with the Red Menace Stash Box.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Red Menace Stash					Textures/ATX/Storefront/Camp/Stash/		ATX_CAMP_StashBox_Communist.dds		2	ATX_CAMP_StashBox_Communist_C1.dds	ATX_CAMP_StashBox_Communist_C2.dds												
00586A1E	ATX_ENTM_Apparel_Headwear_Samurai_Hat	Samurai Helmet	Keep every hair in place while on your travels.    - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Samurai Helmet					Textures/ATX/Storefront/Player/Headwear/		ATX_Apparel_Headwear_Samurai_Hat.dds		2	ATX_Apparel_Headwear_Samurai_Hat_C1.dds	ATX_Apparel_Headwear_Samurai_Hat_C2.dds												
00586A27	ATX_ENTM_CAMP_Statue_Scarecrow	Wraith Scarecrow	Scare away crows and unwanted guests with the Wraith Scarecrow.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Wraith Scarecrow	000000001				Textures/ATX/Storefront/Camp/Statues/		ATX_CAMP_Statue_Scarecrow.dds		2	ATX_CAMP_Statue_Scarecrow_C1.dds	ATX_CAMP_Statue_Scarecrow_C2.dds												
00586A29	ATX_ENTM_CAMP_WallDeco_Poster_AK47Hand	Communist Playing Card Posters	Show your true colors for all to see.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Communist Playing Card Posters					Textures/ATX/Storefront/Camp/WallDecoration/		ATX_CAMP_WallDeco_Poster_AK47Hand.dds		4	ATX_CAMP_WallDeco_Poster_AK47Hand_C1.dds	ATX_CAMP_WallDeco_Poster_AK47Hand_C2.dds	ATX_CAMP_WallDeco_Poster_AK47Hand_C3.dds	ATX_CAMP_WallDeco_Poster_AK47Hand_C4.dds										
00586A1D	ATX_ENTM_Apparel_Outfit_Samurai	Samurai Outfit	Flaunt your swordsmanship and honor with the Samurai Outfit.    - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Samurai Outfit					Textures/ATX/Storefront/Player/Outfit/		ATX_Apparel_Outfit_Samurai.dds		2	ATX_Apparel_Outfit_Samurai_C1.dds	ATX_Apparel_Outfit_Samurai_C2.dds												
00586A1F	ATX_ENTM_Apparel_Outfit_Gladiator	Gladiator Outfit	Suit up for battle in the arena and watch out for any rogue lions.    - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Gladiator Outfit					Textures/ATX/Storefront/Player/Outfit/		ATX_Apparel_Outfit_Gladiator.dds		2	ATX_Apparel_Outfit_Gladiator_C1.dds	ATX_Apparel_Outfit_Gladiator_C2.dds												
0058679C	ATX_ENTM_CAMP_Defense_Turret_Halloween_Black	Spooky Halloween Turret Pack	Celebrate Halloween with the Spooky Halloween Turret Pack!  Turret requirements must be met to build these items.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Spooky Halloween Turret Pack					Textures/ATX/Storefront/Camp/Defenses/		ATX_CAMP_Defense_Turret_Halloween_Black.dds		2	ATX_CAMP_Defense_Turret_Halloween_Black_C1.dds	ATX_CAMP_Defense_Turret_Halloween_Black_C2.dds												
005867A9	ATX_ENTM_Skin_WeaponSkin_SuperSledge_Blackbird	Blackbird Paint (Super Sledge)	Give your Super Sledge a Blackbird makeover with this Blackbird Paint.    - SKIN IS CRAFTABLE AT WEAPON WORKBENCHES. -	Blackbird Paint	000000001				Textures/ATX/Storefront/Player/WeaponSkin/		ATX_Skin_WeaponSkin_SuperSledge_Blackbird.dds		2	ATX_Skin_WeaponSkin_SuperSledge_Blackbird_C1.dds	ATX_Skin_WeaponSkin_SuperSledge_Blackbird_C2.dds												
005867A2	ATX_ENTM_Skin_WeaponModel_HandmadeGun_Communist	Communist Skin (Handmade Rifle)	Take this land from its capitalist oppressors with the Communist Skin for the Handmade Rifle.    - SKIN IS CRAFTABLE AT WEAPON WORKBENCHES. -	Communist Skin	000000001				Textures/ATX/Storefront/Player/WeaponModel/		ATX_Skin_WeaponModel_HandmadeGun_Communist.dds		2	ATX_Skin_WeaponModel_HandmadeGun_Communist_C1.dds	ATX_Skin_WeaponModel_HandmadeGun_Communist_C2.dds												
005867A1	ATX_ENTM_CAMP_Decoration_FlagWaving_CommunistFlag_Basic_02	Red Shift Flag 2	Let your comrades know that you put the Party first with this impressive flag for your C.A.M.P.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -  	Red Shift Flag 2					Textures/ATX/Storefront/Camp/Flags/		ATX_CAMP_Decoration_FlagWaving_CommunistFlag_Basic_02.dds		1	ATX_CAMP_Decoration_FlagWaving_CommunistFlag_Basic_02_C1.dds													
005867A0	ATX_ENTM_CAMP_Decoration_FlagWaving_CommunistFlag_Basic_01	Red Shift Flag 1	Let your comrades know that you put the Party first with this impressive flag for your C.A.M.P.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -  	Red Shift Flag 1					Textures/ATX/Storefront/Camp/Flags/		ATX_CAMP_Decoration_FlagWaving_CommunistFlag_Basic_01.dds		1	ATX_CAMP_Decoration_FlagWaving_CommunistFlag_Basic_01_C1.dds													
0058679F	ATX_ENTM_CAMP_Decoration_FlagWaving_CommunistFlag_Advanced_02	Red Menace Flag 2	Plant a flag that will strike fear into the hearts of the American filth. This land will soon be ours.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -  	Red Menace Flag 2					Textures/ATX/Storefront/Camp/Flags/		ATX_CAMP_Decoration_FlagWaving_CommunistFlag_Advanced_02.dds		1	ATX_CAMP_Decoration_FlagWaving_CommunistFlag_Advanced_02_C1.dds													
0058679E	ATX_ENTM_CAMP_Decoration_FlagWaving_CommunistFlag_Advanced_01	Red Menace Flag 1	Plant a flag that will strike fear into the hearts of the American filth. This land will soon be ours.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -  	Red Menace Flag 1					Textures/ATX/Storefront/Camp/Flags/		ATX_CAMP_Decoration_FlagWaving_CommunistFlag_Advanced_01.dds		1	ATX_CAMP_Decoration_FlagWaving_CommunistFlag_Advanced_01_C1.dds													
005867BE	ATX_ENTM_Skin_WeaponModel_DeathTambo_BoneTambo	Boney Tambo Skin (Death Tambo)	This grisly Boney Tambo Skin is a real sight for sore eyes!    This Skin will give your weapon a unique look, unique sounds, and maintain all mod effects.    - SKIN IS CRAFTABLE AT WEAPON WORKBENCHES. -	Boney Tambo Skin					Textures/ATX/Storefront/Player/WeaponModel/		ATX_Skin_WeaponModel_DeathTambo_BoneTambo.dds		1	ATX_Skin_WeaponModel_DeathTambo_BoneTambo_C1.dds													
0058679D	ATX_ENTM_CAMP_Defense_Turret_Halloween_Orange	Jack-o'-lantern Turret Skin Pack	Celebrate Halloween with the Jack-o'-lantern Turret Skin Pack!  Turret requirements must be met to build these items.    - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. - 	Jack-o'-lantern Turret Skins					Textures/ATX/Storefront/Camp/Defenses/		ATX_CAMP_Defense_Turret_Halloween_Orange.dds		2	ATX_CAMP_Defense_Turret_Halloween_Orange_C1.dds	ATX_CAMP_Defense_Turret_Halloween_Orange_C2.dds												
00586558	ATX_F1_ENTM_Skin_ArmorSkin_Combat_AtomicCamo	Atomic Camo Combat Armor Paint	Stand out while blending in with the Atomic Camo Paint for your Combat Armor.     This offer is exclusive to Fallout 1st Members.    - SKIN IS CRAFTABLE AT ARMOR WORKBENCHES. -	Atomic Camo Paint	000000000001				Textures/ATX/Storefront/Player/ArmorSkin/		ATX_F1_Skin_ArmorSkin_Combat_AtomicCamo.dds		0														
0058655B	ATX_F1_ENTM_Skin_ArmorSkin_Robot_AtomicCamo	Atomic Camo Robot Armor Paint	Stand out while blending in with the Atomic Camo Paint for your Robot Armor.     This offer is exclusive to Fallout 1st Members.    - SKIN IS CRAFTABLE AT ARMOR WORKBENCHES. -	Atomic Camo Paint	000000000001				Textures/ATX/Storefront/Player/ArmorSkin/		ATX_F1_Skin_ArmorSkin_Robot_AtomicCamo.dds		0														
0058655C	ATX_F1_ENTM_Skin_ArmorSkin_Scout_AtomicCamo	Atomic Camo Scout Armor Paint	Stand out while blending in with the Atomic Camo Paint for your Scout Armor.     This offer is exclusive to Fallout 1st Members. Available June 2020.    - SKIN IS CRAFTABLE AT ARMOR WORKBENCHES. -	Atomic Camo Paint	000000000001				Textures/ATX/Storefront/Player/ArmorSkin/		ATX_F1_Skin_ArmorSkin_Scout_AtomicCamo.dds		0														
00586557	ATX_F1_ENTM_Skin_ArmorSkin_Leather_AtomicCamo	Atomic Camo Leather Armor Paint	Stand out while blending in with the Atomic Camo Paint for your Leather Armor.     This offer is exclusive to Fallout 1st Members. Available January 2020.    - SKIN IS CRAFTABLE AT ARMOR WORKBENCHES. -	Atomic Camo Paint	000000000001				Textures/ATX/Storefront/Player/ArmorSkin/		ATX_F1_Skin_ArmorSkin_Leather_AtomicCamo.dds		0														
00586559	ATX_F1_ENTM_Skin_ArmorSkin_Marine_AtomicCamo	Atomic Camo Marine Armor Paint	Stand out while blending in with the Atomic Camo Paint for your Marine Armor.     This offer is exclusive to Fallout 1st Members.    - SKIN IS CRAFTABLE AT ARMOR WORKBENCHES. -	Atomic Camo Paint	000000000001				Textures/ATX/Storefront/Player/ArmorSkin/		ATX_F1_Skin_ArmorSkin_Marine_AtomicCamo.dds		0														
0058655A	ATX_F1_ENTM_Skin_ArmorSkin_Metal_AtomicCamo	Atomic Camo Metal Armor Paint	Stand out while blending in with the Atomic Camo Paint for your Metal Armor.     This offer is exclusive to Fallout 1st Members. Available January 2020.    - SKIN IS CRAFTABLE AT ARMOR WORKBENCHES. -	Atomic Camo Paint	000000000001				Textures/ATX/Storefront/Player/ArmorSkin/		ATX_F1_Skin_ArmorSkin_Metal_AtomicCamo.dds		0														
0058655D	ATX_F1_ENTM_Skin_ArmorSkin_Wood_AtomicCamo	Atomic Camo Wood Armor Paint	Stand out while blending in with the Atomic Camo Paint for your Wood Armor.     This offer is exclusive to Fallout 1st Members. Available June 2020.    - SKIN IS CRAFTABLE AT ARMOR WORKBENCHES. -	Atomic Camo Paint	000000000001				Textures/ATX/Storefront/Player/ArmorSkin/		ATX_F1_Skin_ArmorSkin_Wood_AtomicCamo.dds		0														
0058645F	ATX_ENTM_Emotes_Hello_Salute_Communist	Communist Salute	A salute to show you understand dialectical materialism. All those who do not salute in return should be noted and reported.    - UNLOCKS AN EMOTE OPTION. -      	Communist Salute			CommunistSalute1						0														
00581F39	ATX_ENTM_Skin_LootBag_Guts	Guts Loot Bag	Let everyone know where you have been and where you like to leave goodies with the Guts Loot Bag.     This item replaces the appearance of your dropped Paper Bag.    - UNLOCKS A PLAYER LOOT BAG SKIN FOR ALL CHARACTERS. -	Guts					Textures/ATX/Storefront/Player/LootBags/		ATX_Skin_LootBag_Guts.dds	ATX_Lootbag_Guts "Guts Loot Bag" [CONT:00584A32]	1	ATX_Skin_LootBag_Guts_C1.dds													
00581F3B	zzzATX_ENTM_Skin_LootBag_Guts_DONOTUSE	Meat Pile Death Bag	Meat Pile Death Bag test    - UNLOCKS A PLAYER LOOT BAG SKIN FOR ALL CHARACTERS. -	Meat Pile					Textures/ATX/Storefront/LootBag/		ATX_Skin_LootBag_MeatPile.dds		0														
00581F1E	TEMPLATE_ENTM_Skin_LootBag_LootBag	Template Loot Bag	    - UNLOCKS A PLAYER LOOT BAG SKIN FOR ALL CHARACTERS. -						Textures/ATX/Storefront/Player/LootBags/		ATX_Skin_Lootbag_		0														
00581F1F	ATX_ENTM_Skin_LootBag_Jackolantern	Jack O'Lantern Loot Bag	Get into the Halloween spirit with the Jack O'Lantern Loot Bag.    This item replaces the appearance of your dropped Paper Bag.    - UNLOCKS A PLAYER LOOT BAG SKIN FOR ALL CHARACTERS. -	Jack O'Lantern					Textures/ATX/Storefront/Player/LootBags/		ATX_Skin_LootBag_Jackolantern.dds	ATX_Lootbag_Jackolantern "Jack O'Lantern Loot Bag" [CONT:00581F20]	1	ATX_Skin_LootBag_Jackolantern_C1.dds													
00581F21	zzzATX_ENTM_Skin_LootBag_Jackolantern_DONOTUSE	Jack O'Lantern Death Bag	    - UNLOCKS A PLAYER LOOT BAG SKIN FOR ALL CHARACTERS. -	Jack O'Lantern					Textures/ATX/Storefront/LootBag/		ATX_Skin_LootBag_Jackolantern.dds		0														
0057E360	ATX_F1_ENTM_Apparel_Clothes_RangersUniform_Advanced	Advanced Ranger Armor Outfit	Roam the Wasteland as a living legend.    Included with membership in Fallout 1st. Available December 2019.    - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Advanced Ranger Armor Outfit	000000000001				Textures/ATX/Storefront/Player/Outfit/		atx_apparel_outfit_rangersuniform_advanced_l.dds		2	ATX_F1_Apparel_Clothes_RangersUniform_Advanced_C1.dds	ATX_F1_Apparel_Clothes_RangersUniform_Advanced_C2.dds												
0057E361	ATX_F1_ENTM_Apparel_Clothes_RangersUniform_Elite	Elite Ranger Armor Outfit	Roam the Wasteland as a living legend.    This offer is exclusive to Fallout 1st Members. Available March 2020.    - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Elite Ranger Armor Outfit	000000000001				Textures/ATX/Storefront/Player/Outfit/		ATX_Apparel_Outfit_RangersUniform_Elite.dds		0														
0057E1F6	ATX_ENTM_Skin_PipBoySkin_Communist_01	Red Shift Paint	Wear your crimson-red heart on your sleeve with this intimidating Pip-Boy skin.    - SKIN IS CRAFTABLE AT ARMOR WORKBENCHES. -	Red Shift Paint					Textures/ATX/Storefront/Player/PipBoy/		ATX_PipBoy_Communist_01.dds		2	ATX_PipBoy_Communist_01_C1.dds	ATX_PipBoy_Communist_01_C2.dds												
