name	category	build	price_xbox	price_ps	price_pc	limit_new	limit_existing
Sunset Sarsaparilla	Chem		45	55	55	30	30
Sunshine Oil	Chem	Herbivore,Carnivore,Hybrid	35	45	45	50	50
Talons Serum	Chem		100	110	110	50	100
Tick Blood Tequila	Chem		25	35	35	50	100
Tick Blood Tequila Margarita	Chem		35	45	45	50	100
Tick Blood Tequila Sunrise	Chem		35	45	45	50	100
Toxic Goo	Chem		10	20	20	50	100
Twisted Muscles Serum	Chem		100	110	110	50	100
Unstable Isotope Serum	Chem		100	110	110	50	100
Vintage Mire Magic Moonshine	Chem		25	35	35	50	100
Vodka	Chem		10	20	20	50	100
Whiskey	Chem		10	20	20	50	100
White Russian	Chem		35	45	45	50	100
Wine	Chem		10	20	20	50	100
X Cell	Chem		45	55	55	30	30
Aged Mirelurk Queen Steak	Food		25	35	35	30	30
Aged Mirelurk Queen Steak Canned	Food		35	45	45	30	30
Appalachili	Food		30	40	40	30	30
Awesome Opossum Bacon	Food		15	25	25	30	30
Awesome Opossum Bacon Canned	Food		25	35	35	30	30
Baked Bloatfly	Food		15	25	25	30	30
Blackberry Honey Crisp	Food		35	45	45	30	30
Blackberry Juice	Food		10	20	20	30	30
Blamco Brand Mac & Cheese	Food		10	20	20	30	30
Blight Soup	Food		10	20	20	30	30
Bloatfly Loaf	Food		25	35	35	30	30
Bloodbug Pepper Steak	Food	Carnivore	35	45	45	30	30
Bloodbug Steak	Food		15	25	25	30	30
Brahmin Burgers	Food		35	45	45	30	30
Brain Bombs	Food	XP,Herbivore,Hybrid	100	110	110	30	30
Brain Fungus Soup	Food		10	20	20	30	30
Broiled Scorchbeast Brain	Food	XP,Carnivore	30	40	40	30	30
Bubblegum	Food		5	15	15	30	30
Cajun Rice and Beans	Food		10	20	20	30	30
Canned Dog Food	Food		5	15	15	30	30
Caramel Mutfruit	Food		25	35	35	30	30
Carnival Pie	Food		25	35	35	30	30
Carrot Flower Nectar	Food		10	20	20	30	30
Carrot Soup	Food		10	20	20	30	30
Challys Feed	Food	Herbivore	30	40	40	30	30
Charred Scorchbeast Liver	Food		15	25	25	30	30
Chicken Noodle Soup	Food		15	25	25	30	30
Chitlins Con Carne	Food		20	30	30	30	30
Company Tea	Food	Herbivore,Hybrid	100	110	110	30	30
Cooked Softshell Meat	Food		15	25	25	30	30
Corn Pone	Food		25	35	35	30	30
Corn Soup	Food		10	20	20	30	30
Corn Soup Canned	Food		20	30	30	30	30
Corpse Seed Juice	Food		0	10	10	30	30
Cotton Candy Bites	Food		10	20	20	30	30
Cram	Food		10	20	20	30	30
Cramburger	Food		30	40	40	30	30
Cranberry Cobbler	Food		10	20	20	30	30
Cranberry Jam	Food		35	45	45	30	30
Cranberry Juice	Food		10	20	20	30	30
Cranberry Meatball Grinder	Food	Carnivore	100	110	110	10	10
Cranberry Relish	Food	XP,Herbivore,Hybrid	25	35	35	30	30
Crispy Cave Cricket	Food		15	25	25	30	30
Crispy Squirrel Bits	Food		15	25	25	30	30
Dandy Boy Apples	Food		10	20	20	30	30
Deathclaw Egg Omelette	Food		25	35	35	30	30
Deathclaw Steak	Food		20	30	30	30	30
Deathclaw Wellington	Food	Carnivore	100	110	110	10	10
Dog Meat Steak	Food	Carnivore	25	35	35	30	30
Fancy Lad Snack Cakes	Food		10	20	20	30	30
Fasnacht Donut	Food		45	55	55	30	30
Fasnacht Sausage	Food		30	40	40	30	30
Firecap Soup	Food		20	30	30	30	30
Firecap Tasty Souffle	Food		35	45	45	30	30
Firecracker Berry Juice	Food		10	20	20	30	30
Fish and Tatos	Food		35	45	45	30	30
Fish Chowder	Food		25	35	35	30	30
Fish Chowder Canned	Food		35	45	45	30	30
Fox Jerky	Food		15	25	25	30	30
Fried Deerskins	Food		30	40	40	30	30
Fried Fog Crawler	Food		15	25	25	30	30
Fried Radroach on a Stick	Food		35	45	45	30	30
Fried Radtoad Legs	Food		25	35	35	30	30
Fried Scorpion on a Stick	Food		35	45	45	30	30
Funnel Cake	Food		10	20	20	30	30
Gamma Green Tea	Food		25	35	35	30	30
Glowing Fungus Puree	Food	Herbivore,Hybrid	25	35	35	30	30
Glowing Fungus Puree Canned	Food	Herbivore,Hybrid	35	45	45	30	30
Glowing Fungus Soup	Food		10	20	20	30	30
Glowing Fungus Soup Canned	Food		20	30	30	30	30
Glowing Meat Steak	Food		30	40	40	30	30
Gourd Soup	Food		10	20	20	30	30
Gourd Soup Canned	Food		20	30	30	30	30
Grannys Tea	Food		35	45	45	30	30
Grilled Fish	Food		25	35	35	30	30
Grilled Fish Canned	Food		35	45	45	30	30
Grilled Hermit Crab	Food		15	25	25	30	30
Grilled Radhog Chops	Food		25	35	35	30	30
Grilled Radroach	Food		15	25	25	30	30
Grilled Radstag	Food		15	25	25	30	30
Grilled Radtoad	Food		15	25	25	30	30
Ground Mole Rat	Food		25	35	35	30	30
Gulper Slurry	Food		15	25	25	30	30
Gulper Stuffed Foot	Food		35	45	45	30	30
Gum Drops	Food		0	10	10	30	30
Gut Shroom Soup	Food		25	35	35	30	30
Gut Shroom Soup Canned	Food		35	45	45	30	30
Headhunters Headcheese	Food		15	25	25	30	30
Honey	Food		2	12	12	30	30
Hotdog	Food		15	25	25	30	30
Imitation Seafood	Food		10	20	20	30	30
Infused Bloodleaf Tea	Food		30	40	40	30	30
Infused Soot Flower Tea	Food	Herbivore,Hybrid	25	35	35	30	30
Instamash	Food		10	20	20	30	30
Light Mutant Hound Chops	Food		25	35	35	30	30
Light Mutton Chops	Food		25	35	35	30	30
Light Yao Guai Ribs	Food		25	35	35	30	30
Megasloth Mushroom Soup	Food		25	35	35	30	30
Megasloth Mushroom Soup Canned	Food		35	45	45	30	30
Megasloth Tenderloin	Food		45	55	55	30	30
Melon Juice	Food		10	20	20	30	30
Mirelurk Boil	Food		25	35	35	30	30
Mirelurk Cake	Food		25	35	35	30	30
Mirelurk Cake with Bloodleaf Aioli	Food	Carnivore,Hybrid	25	35	35	30	30
Mirelurk Egg Omelette	Food		15	25	25	30	30
Mirelurk Jerky	Food	Carnivore	25	35	35	30	30
Mirelurk Queen Steak	Food		15	25	25	30	30
Mirelurk Queen Steak Canned	Food		25	35	35	30	30
Mirelurk Softshell Cake	Food		25	35	35	30	30
Mole Rat Chunks	Food		15	25	25	30	30
Mole Rat Jerky	Food		35	45	45	30	30
Mothman Egg Omelette	Food	XP,Carnivore	25	35	35	30	30
Mountain Hocks	Food		25	35	35	30	30
Mountain Honey	Food		25	35	35	30	30
Mud Cookie	Food		30	40	40	30	30
Mutant Hound Chops	Food		30	40	40	30	30
Mutfruit Juice	Food		10	20	20	30	30
Mutt Chops	Food		15	25	25	30	30
Mystery Meat Pie	Food		25	35	35	30	30
Nuka Bottle Dog	Food		25	35	35	30	30
Nuka Dog	Food		25	35	35	30	30
Pemmican	Food	Carnivore	25	35	35	30	30
Pepperoni Roll	Food		35	45	45	30	30
Perfectly Preserved Pie	Food		100	110	110	30	30
Pickled Prickeye	Food		35	45	45	30	30
Poached Angler	Food	Carnivore	15	25	25	30	30
Poached Angler Canned	Food	Carnivore	25	35	35	30	30
Pork n Beans	Food		10	20	20	30	30
Potato Crisps	Food		10	20	20	30	30
Pothole Potpie	Food		20	30	30	30	30
Prickeye Salad	Food		25	35	35	30	30
Pumpkin Pie	Food	Herbivore,Hybrid	25	35	35	30	30
Pumpkin Soup	Food		10	20	20	30	30
Radhog Burnt Ends	Food	Carnivore	100	110	110	30	30
Radrat Steak	Food		15	25	25	30	30
Radscorpion Egg Omelette	Food		10	20	20	30	30
Radscorpion Fillet	Food		25	35	35	30	30
Radscorpion Kebab	Food	Carnivore	35	45	45	30	30
Radscorpion Steak	Food		15	25	25	30	30
Radscorpion Steak Canned	Food		25	35	35	30	30
Radstag Redemption	Food		30	40	40	30	30
Radstag Stew	Food		25	35	35	30	30
Radtoad Omelette	Food		15	25	25	30	30
Razorgrain Flour	Food		10	20	20	30	30
Razorgrain Soup	Food		10	20	20	30	30
Ribeye Steak	Food		15	25	25	30	30
Ribeye Steak Canned	Food		25	35	35	30	30
Roast Megasloth	Food		25	35	35	30	30
Roasted Ant	Food		25	35	35	30	30
Roasted Mirelurk Meat	Food		15	25	25	30	30
Roasted Scorchbeast Heart	Food		15	25	25	30	30
Royal Jelly Taffy	Food		20	30	30	30	30
Salisbury Steak	Food		10	20	20	30	30
Scorchbeast Mixed Meat Stew	Food		55	65	65	30	30
Scorchbeast Steak	Food		55	65	65	30	30
Seared Venison with Berries	Food	Carnivore,Hybrid	25	35	35	30	30
Seasoned Rabbit Skewers	Food		15	25	25	30	30
Silt Bean Puree	Food	Herbivore,Hybrid	25	35	35	30	30
Silt Bean Soup	Food		15	25	25	30	30
Simple Ash Rose Tea	Food		10	20	20	30	30
Simple Aster Tea	Food		25	35	35	30	30
Simple Bloodleaf Tea	Food		10	20	20	30	30
Simple Fern Flower Tea	Food		10	20	20	30	30
Simple Gut Shroom Tea	Food		15	25	25	30	30
Simple Soot Flower Tea	Food		10	20	20	30	30
Smoked Mirelurk Fillets	Food	Carnivore,Hybrid	25	35	35	30	30
Smoked Scorchbeast Lung	Food		15	25	25	30	30
Smores	Food		45	55	55	30	30
Soot Flower Herb Paste	Food		10	20	20	30	30
Spoiled Brahmin Milk	Food		5	15	15	30	30
Squirrel on a Stick	Food	Carnivore	25	35	35	30	30
Starlight Berry Cobbler	Food		10	20	20	30	30
Steeped Ash Rose Tea	Food	XP,Herbivore,Hybrid	25	35	35	30	30
Steeped Aster Tea	Food		30	40	40	30	30
Steeped Fern Flower Tea	Food	Herbivore,Hybrid	25	35	35	30	30
Steeped Fever Blossom Tea	Food		25	35	35	30	30
Steeped Gourd Blossom Tea	Food	Herbivore,Hybrid	25	35	35	30	30
Steeped Melon Blossom Chai	Food	Herbivore,Hybrid	25	35	35	30	30
Steeped Strangler Pod Tea	Food	Herbivore	35	45	45	30	30
Steeped Tato Flower Tea	Food		30	40	40	30	30
Steeped Thistle Tea	Food		25	35	35	30	30
Stingwing Filet	Food		15	25	25	30	30
Stingwing Stew	Food	Carnivore	25	35	35	30	30
Stingwing Stew Canned	Food	Carnivore	35	45	45	30	30
Sugar Bombs (no rads)	Food		10	20	20	30	30
Swamp Tofu Soup	Food		45	55	55	30	30
Swamp Tofu Soup Canned	Food		55	65	65	30	30
Sweet Blackberry Tea	Food		25	35	35	30	30
Sweet Labrador Tea	Food		100	110	110	30	30
Sweet Mutfruit Tea	Food	Herbivore,Hybrid	25	35	35	30	30
Sweet Roll	Food		45	55	55	30	30
Sweet Tato Stew	Food	Herbivore,Hybrid	25	35	35	30	30
Sweet Tato Stew Canned	Food	Herbivore,Hybrid	35	45	45	30	30
Sweetwater Special Blend	Food	Herbivore,Hybrid	25	35	35	30	30
Syrup	Food		25	35	35	30	30
Tarberry Juice	Food		10	20	20	30	30
Tasty Mutant Hound Stew	Food	Carnivore,Hybrid	100	110	110	10	10
Tasty Mutton Meat Pie	Food		100	110	110	10	10
Tasty Radscorpion Egg Omelette	Food		25	35	35	30	30
Tasty Squirrel Stew	Food	XP,Carnivore	35	45	45	30	30
Tasty Squirrel Stew Canned	Food	XP,Carnivore	45	55	55	30	30
Tasty Yao Guai Roast	Food		100	110	110	10	10
Tato Juice	Food		10	20	20	30	30
Tato Salad	Food		25	35	35	30	30
Tato Salad Surprise	Food		25	35	35	30	30
Tato Soup	Food	Herbivore,Hybrid	55	65	65	30	30
Vegetable Medley Soup	Food	Carnivore	25	35	35	30	30
Vegetable Medley Soup Canned	Food	Carnivore	35	45	45	30	30
Vegetarian Ham	Food		10	20	20	30	30
Wolf Ribs	Food		15	25	25	30	30
Yao Guai Pastry	Food		35	45	45	30	30
Yao Guai Ribs	Food		30	40	40	30	30
Yum Yum Deviled Eggs	Food		10	20	20	30	30
