FormID	EDID	FULL	DESC	KeywordCount	KW1	KW2	KW3	KW4	KW5	PTRN	Model	VCRY	DATA_Value	DATA_Weight	ReferencedByCount	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6	Ref7	Ref8	Ref9	Ref10	Ref11	Ref12	Ref13	Ref14	Ref15	Ref16	Ref17	Ref18	Ref19	Ref20	Ref21	Ref22	Ref23	Ref24	Ref25	Ref26	Ref27	Ref28	Ref29	Ref30	Ref31	Ref32	Ref33	Ref34	Ref35	Ref36	Ref37	Ref38	Ref39	Ref40	Ref41	Ref42	Ref43	Ref44	Ref45	Ref46	Ref47	Ref48	Ref49	Ref50	Ref51	Ref52	Ref53	Ref54	Ref55	Ref56	Ref57	Ref58	Ref59	Ref60	Ref61	Ref62	Ref63	Ref64	Ref65	Ref66	Ref67	Ref68	Ref69	Ref70	Ref71	Ref72	Ref73	Ref74	Ref75	Ref76	Ref77	Ref78	Ref79	Ref80	Ref81	Ref82
00081501	ENz09_Room202Keycard	Whitespring Room 202 Card		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	2	00002AA8:ENz09_Room:QUST	000F1F6B::REFR																																																																																
00081503	ENz09_Room203Keycard	Whitespring Room 203 Card		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	2	00002AA8:ENz09_Room:QUST	000F1561::REFR																																																																																
0009ADA2	ENz09_Room204Keycard	Whitespring Room 204 Card		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	2	00002AA8:ENz09_Room:QUST	000F169C::REFR																																																																																
0009ADA4	ENz09_Room205Keycard	Whitespring Room 205 Card		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	2	00002AA8:ENz09_Room:QUST	000F15D0::REFR																																																																																
0009ADBC	ENz09_Room206Keycard	Whitespring Room 206 Card		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	1	00002AA8:ENz09_Room:QUST																																																																																	
0012B934	LC043_SecurityKey	Penitentiary Key		0						Keys [TRNS:001AB213]	Props\Key02.nif	Caps001 "Cap" [CNCY:0000000F]	1	0.000000	18	00005862::REFR	000158A9::REFR	00073B22::REFR	0012B933::REFR	001810C5::REFR	00183701::REFR	00183720::REFR	0018374A::REFR	001850AA::REFR	001D65A8::REFR	001D663E::REFR	0027ACE9::REFR	0027ACEA::REFR	0027ACEB::REFR	0027ACEC::REFR	0027ACED::REFR	0027ACEE::REFR	00525407:BabylonExcludeList:FLST																																																																
0005A2D0	V94_2_ResidentIDCard	Vault 94 ID Card		0						KeyChains [TRNS:00248893]	Props/GenericKeycard01_Flat02.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	5	0005A2CC:CUT_V94_2_VotingStationAye:ACTI	0005A2CD:V94_2_VotingStationNay:ACTI	003F4720:V94_2:QUST	003F7009:V94_2_Vote_IDCardReaderAye:ACTI	003F700B:V94_2_Vote_IDCardReaderNay:ACTI																																																																													
0017EF38	MTR09_BrittleKey	Brittle Key		0						Keys [TRNS:001AB213]	Props\Key_Chain01.nif	Caps001 "Cap" [CNCY:0000000F]	1	0.000000	0																																																																																		
00291AF3	LC112_AtlasUtilityKey	ATLAS Utility Key		0						Keys [TRNS:001AB213]	Props\Key02.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	1	00525407:BabylonExcludeList:FLST																																																																																	
00091DC7	LC012_BigBendTunnelKey	Big Bend Tunnel Door Key		0						Keys [TRNS:001AB213]	Props\Key_Chain02.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	2	002A6829::REFR	003B53AA:LC012_Loot_CorpseBase:NPC_																																																																																
0019BDC6	FF09_DailyCode	Reaperbot Daily Code		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	1	0000FFED:FF09_Reaper:QUST																																																																																	
00295C55	BMO_BunkerKey02_MountBlairTrainyard_final	TNT Dome Key 2		0						Keys [TRNS:001AB213]	Props\Key_Chain01.nif	Caps001 "Cap" [CNCY:0000000F]	1	0.000000	3	00295C56:TNTDomeDoorMtBlairTrainyard:REFR	00450504:BMO_BunkerKey02_MountBlairTrainyard_final_LootPriorityPrewar_Safe_Wall:CONT	00525407:BabylonExcludeList:FLST																																																																															
00295C58	BMO_BunkerKey03_NukaCola_final	TNT Dome Key 3		0						Keys [TRNS:001AB213]	Props\Key_Chain01.nif	Caps001 "Cap" [CNCY:0000000F]	1	0.000000	3	00295D0B:TNTDoorNukaCola:REFR	004504FC:BMO_Key03_NukaCola_Final_Vault_Locker_01:CONT	006779B8::INFO																																																																															
0029AE6B	LC082_GregsMineSupplyKeys	Gregs Mine Supply Keys		0						Keys [TRNS:001AB213]	Props\Key01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	4	0015C3D1::REFR	0015C418::REFR	0037D268::REFR	00525407:BabylonExcludeList:FLST																																																																														
0029AE7A	LC197_GraftonDamKeys	Grafton Dam Keys		0						KeyChains [TRNS:00248893]	Props\Key01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	0																																																																																		
0013B753	SugarGroveGuardKey	Blacksite Guard Key		0						KeyChains [TRNS:00248893]	props/key03.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	5	00001B45::REFR	002B6AC9::REFR	002B6C1C::REFR	00432FD5::REFR	00525407:BabylonExcludeList:FLST																																																																													
000074A1	RadioResearchCenterKey	Research Center Key		0						Keys [TRNS:001AB213]	Props\Key_Chain01.nif	Caps001 "Cap" [CNCY:0000000F]	1	0.000000	3	00007FB4::REFR	00118C76::REFR	00525407:BabylonExcludeList:FLST																																																																															
002C3D9E	MorgantownHSSafeKey	Principal's Safe Key		0						KeyChains [TRNS:00248893]	Props\Key01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	4	002C3D9D::REFR	002C3D9F::REFR	00525407:BabylonExcludeList:FLST	00677098::REFR																																																																														
002C3EAE	MTR05_SeniorExecID	Hornwright Senior Executive ID		0						KeyChains [TRNS:00248893]	SetDressing\CardReader\HornwrightID.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	82	00002BAD::REFR	0006A378:MTR05_Mother_Breach:QUST	0006A379:MTR05_Mother:QUST	0022AB56::REFR	00309280::REFR	00309289::REFR	00309291::REFR	00309292::REFR	00309293::REFR	0030929C::REFR	0030929D::REFR	0030929E::REFR	003298DB::INFO	00331C2B::REFR	003F28C3:W05_MQS_201P:QUST	004E0E7D:Gutsy_StrikebreakerExec_LostToCombat:INFO	004E0E83:Protectron_StrikebreakerExec_AlertToCombat:INFO	004E0E89:Sentry_StrikebreakerExec_LostToCombat:INFO	004E0E92:Assaultron_StrikebreakerExec_NormalToCombat:INFO	004E0E98:Sentry_StrikebreakerExec_AlertToCombat:INFO	004E0E9E:Protectron_StrikebreakerExec_LostToCombat:INFO	004E0EA9:Gutsy_StrikebreakerExec_NormalToCombat:INFO	004E7382:Assaultron_StrikebreakerExec_AlertToCombat:INFO	004EAB79::REFR	004EAB7A::REFR	004EAB7B::REFR	004EAB7C::REFR	004EAB7D::REFR	004EAB7E::REFR	0052685D:MTR05_IDCardReader01:ACTI	00526860:MTR05_IDCardReader02:ACTI	00526862:MTR05_IDCardReader03:ACTI	00526864:MTR05_IDCardReader04:ACTI	0052F219:Sentry_StrikebreakerExec_NormalToCombat:INFO	0052F229:Protectron_StrikebreakerExec_NormalToCombat:INFO	0052F22F:Gutsy_StrikebreakerExec_AlertToCombat:INFO	0052F235:Assaultron_StrikebreakerExec_LostToCombat:INFO	00576883::REFR	00576887::REFR	00576888::REFR	00576889::REFR	0057688F::REFR	00576890::REFR	00576891::REFR	00576894::REFR	00576895::REFR	0057689A::REFR	0057689B::REFR	0057689C::REFR	0057689D::REFR	0057689E::REFR	0057689F::REFR	005768A5::REFR	005768A9::REFR	005768AA::REFR	005768AB::REFR	005768B1::REFR	005768B2::REFR	005768B3::REFR	005768B6::REFR	005768B7::REFR	005768BC::REFR	005768BD::REFR	005768BE::REFR	005768BF::REFR	005768C0::REFR	005768C1::REFR	005768C7::REFR	005768CB::REFR	005768CC::REFR	005768CD::REFR	005768D3::REFR	005768D4::REFR	005768D5::REFR	005768D8::REFR	005768D9::REFR	005768DE::REFR	005768DF::REFR	005768E0::REFR	005768E1::REFR	005768E2::REFR	005768E3::REFR
00053EE6	MTRZ01_Key	Miner's Key		0						KeyChains [TRNS:00248893]	Props\Key01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	39	00053E56:MTRZ01_Lost:QUST	0012A2E6::REFR	0012A2E7::REFR	0012A2EB::REFR	00161F92:MTRZ01_Trigger:QUST	002DE1A0::REFR	002DE1A1::REFR	002DE1A3::REFR	002DE1A5::REFR	002E1D12::REFR	003D25CC::REFR	003D25E8::REFR	003D25EB::REFR	003D25EC::REFR	003D25F3::REFR	003D2613::REFR	003D2629::REFR	003D264B::REFR	003D264C::REFR	003D264D::REFR	003D2655::REFR	003D265C::REFR	003D265E:MTRZ01Lost_Key_Locker:REFR	003D268C::REFR	003D26FE::REFR	003D270B::REFR	003D270D::REFR	003D2711::REFR	004E1E44::REFR	004E1E45::REFR	0050AF37::REFR	0050AF38::REFR	0050AF39::REFR	0050AF3A::REFR	0050AF3B::REFR	0050AF3F::REFR	0050AF40::REFR	0053D994::REFR	007AC0BD:MILE_LL_MysteryCrate_AshHeap_RareItems:LVLI																																											
000682ED	MTR05_HRPassword	Hornwright HR Password		0						KeyChains [TRNS:00248893]	Props\Note_LowPoly.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	9	00067F58::INFO	00067F60::INFO	00067F78::INFO	00068633:MTR05_HornwrightArchiveTerminal:TERM	0006894A:MTR05_ExamTerminalBROKEN:TERM	000693EB:MTR05_ExamTerminal:TERM	0006A379:MTR05_Mother:QUST	0015E989:MTR_Hornwright_Industrial_Master:QUST	0052684C:MTR05_NPCWallmountKeypad:FURN																																																																									
000683EB	MTR05_RDClearance	Hornwright R&D Clearance		0						KeyChains [TRNS:00248893]	SetDressing\CardReader\HornwrightID.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	0																																																																																		
002D112C	TEMP_EN07_SiloAlphaAccessCode	TEMP Silo Alpha Access Code		0						KeyChains [TRNS:00248893]	SetDressing\CardReader\GovernmentID03.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	0																																																																																		
002D112D	TEMP_EN07_SiloBetaAccessCode	Silo Beta Access Code		0						KeyChains [TRNS:00248893]	SetDressing\CardReader\GovernmentID03.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	0																																																																																		
002D112E	TEMP_EN07_SiloGammaAccessCode	Silo Gamma Access Code		0						KeyChains [TRNS:00248893]	SetDressing\CardReader\GovernmentID03.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	0																																																																																		
002D112F	TEMP_EN07_LaunchAlphaAccessCode	Silo Alpha Launch Code		0						KeyChains [TRNS:00248893]	SetDressing\CardReader\GovernmentID03.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	0																																																																																		
002D1130	TEMP_EN07_LaunchBetaAccessCode	Silo Beta Launch Code		0						KeyChains [TRNS:00248893]	SetDressing\CardReader\GovernmentID03.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	0																																																																																		
002D1131	TEMP_EN07_LaunchGammaAccessCode	Silo Gamma Launch Code		0						KeyChains [TRNS:00248893]	SetDressing\CardReader\GovernmentID03.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	0																																																																																		
0003EA52	BurningMineEntranceKey	Safety Inspector's Key		0						Keys [TRNS:001AB213]	Props\Key_Chain01.nif	Caps001 "Cap" [CNCY:0000000F]	1	0.000000	1	0001A7C4::REFR																																																																																	
00223B9C	LC112_DirectorsPassword	ATLAS Director's Password		0						KeyChains [TRNS:00248893]	Props\Holotape_Prop.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	1	00525407:BabylonExcludeList:FLST																																																																																	
0013F07F	LC006_GeneralManagersPassword	Poseidon Plant Manager's Password		0						KeyChains [TRNS:00248893]	Props\Holotape_Prop.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	3	0013F07C::REFR	0013F081::REFR	00525407:BabylonExcludeList:FLST																																																																															
002D8F47	LC006_StorageRoomKey	Poseidon Hazmat Storage Key		0						KeyChains [TRNS:00248893]	Props\Key01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	4	0013DD6D::REFR	0022D2ED::REFR	002C5E66::REFR	00525407:BabylonExcludeList:FLST																																																																														
002D8FB3	LC006_PoseidonAccessCodes	Poseidon Plant Access Codes		0						KeyChains [TRNS:00248893]	Props\Holotape_Prop.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	11	0013DC9E::REFR	0013DD78:LC006_SecurityRoomMainTerminal:TERM	002D8F0D::REFR	002D8FAA::REFR	002D8FB5::REFR	002D8FB7::REFR	002D8FB9::REFR	002D9464::REFR	002D9467::REFR	002D9469::REFR	003C2DFB::REFR																																																																							
0023D330	TW007_POBoxKey	Clarksburg P.O. Box 12		0						KeyChains [TRNS:00248893]	Props\Key01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	4	000632E4:TW007_RecordTerminalClarksburg:TERM	002C460C:TW007_ColdCase:QUST	002C4620:TW007_ClarksburgRecordsTerminal:TERM	0036C902:TW007_POBox:REFR																																																																														
002B5505	EN01_SafePassword	Sam's Safe Password - 561159		0						MiscNoteKey [TRNS:00248896]	Props\Note_LowPoly.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	2	000714FE:EN01_MQ_Bunker:QUST	002AB776::REFR																																																																																
0009EE62	FS01_MQ_Warn_RaleighPassword	Raleigh's Password		0						MiscNote01 [TRNS:001B5EF2]	Props\NoteRipped_LowPoly.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	2	00002315:FS01_MQ_Warn:QUST	002A7B23:FS01_Warn_RaleighBunkerTerminalRef:REFR																																																																																
002E14F9	LC184_ResearchWingPassword	West Tek Research Wing Access Code		0						KeyChains [TRNS:00248893]	Props\Holotape_Prop.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	6	002E13FC::REFR	002E13FF::REFR	002E3C51:BS02_MQ05_Catalyst_ResearchWingPW:REFR	0050E622:LC184_WestTekMisc:QUST	00525407:BabylonExcludeList:FLST	005FA459:BS02_MQ05_Catalyst:QUST																																																																												
00240B78	FS03_MQ_Fruition_NirajPassword	Niraj's Password		0							Props\NoteRipped_LowPoly.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	1	00012566:FS03_MQ_Fruition:QUST																																																																																	
00298AA4	FS03_MQ_Fruition_SamPassword	Sam's Password		0							Props\Holotape_Prop.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	0																																																																																		
0027DB2F	ENB_CongressionalID	Congressional Access Card		0						MiscIDCard [TRNS:00248895]	SetDressing\CardReader\CongressionalID.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	6	00007FB3::REFR	000714FE:EN01_MQ_Bunker:QUST	000977BC:ENB_DialogueEnclaveBunker:QUST	001B3F8C:DEBUG_QuestMaster_LVC:QUST	0020C621:ENB_BunkerIDCardReader01:ACTI	00525407:BabylonExcludeList:FLST																																																																												
002ECA00	DebugIDCard	Debug ID Card		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	10	0004FAEE:DebugSteveQuest:QUST	002EC9FF::REFR	002ECA04::REFR	002ECB17::REFR	002ECB18::REFR	002ECB19::REFR	002ECB27::REFR	002ED142::REFR	002ED143::REFR	00525407:BabylonExcludeList:FLST																																																																								
0003AE14	SugarGroveAgentAccessKeycard	Sugar Grove Agent Access Keycard		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	0																																																																																		
00094FC1	BMO_BunkerKey03_NukaCola_01	Nuka-Cola Locker Key		0						Keys [TRNS:001AB213]	Props\Key_Chain01.nif	Caps001 "Cap" [CNCY:0000000F]	1	0.000000	3	00295C57:BMO_BunkerKeyLocker:REFR	004504FF:BMO_BunkerKey03_NukaCola_01_LootPriorityPrewar_WoodCrate:CONT	0062A5B5:BMO_BunkerKey03_NukaCola_01_LootPriorityPrewar_WoodCrateCOPY0000:CONT																																																																															
00041C3E	BMO_BunkerKey03_NukaCola_02	Key to Clara's Box		0						Keys [TRNS:001AB213]	Props\Key_Chain01.nif	Caps001 "Cap" [CNCY:0000000F]	1	0.000000	2	0020AD64:BMOCrate:REFR	00450503:BMO_BunkerKey03_NukaCola_02_LootPriority_Toolbox:CONT																																																																																
00181BF9	BMO_BunkerKey03_NukaCola_03	Toolbox Key		0						Keys [TRNS:001AB213]	Props\Key_Chain01.nif	Caps001 "Cap" [CNCY:0000000F]	1	0.000000	2	00041C98::REFR	00450502:BMO_BunkerKey03_Nukacola_03_LootPriority_Raider_DuffleBag_Guns:CONT																																																																																
0026B2E0	BoS03TaggerdyID	Lieutenant Elizabeth Taggerdy's ID		0						MiscNote01 [TRNS:001B5EF2]	SetDressing\CardReader\GovernmentID03.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	2	000183CA:BoS03:QUST	00525407:BabylonExcludeList:FLST																																																																																
0027E58A	MTNL01_RaiderCacheKeycard	Raider Cache Keycard		1	001B3FAC:FeaturedItem:KYWD					KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	3	00045A40:MTNL01_Raiders:QUST	003BFCA2::REFR	00437ADB::REFR																																																																															
00222790	CB04_Keycard	RobCo Research Facility Keycard		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	3	00222796:CB04_IDCardReaderRef:REFR	002A93F5:CB04_Mayor:QUST	00410239::REFR																																																																															
00029058	SFL02_Track_DyerChemIDCard	Dyer Chemical ID Card		0						MiscIDCard [TRNS:00248895]	props/idcard.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	2	00131033:SFL02_Track:QUST	005A248F:SFL02_Track_IDCardReader:ACTI																																																																																
0030C9F0	CUT_V94_1_MaintainenceAccessCode	Vault 94 Maintainence Access Code		0						MiscHolotape [TRNS:000995A5]	Props\Holotape_Prop.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	1	0030C9FB:V94PumpControlTerminal001:REFR																																																																																	
0030C9F1	CUT_V94_AdministratorPassword	Vault 94 Administrator Password		1	003F78D1:CUT_VaultSystemFixupObject_Holotape:KYWD					MiscHolotape [TRNS:000995A5]	Props\Holotape_Prop.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	3	0005A2DF::REFR	0008640D::REFR	0008ED81::REFR																																																																															
0013D399	CUT_V94_3_MaintainenceIDCard	Vault 94 Maintenance ID Card		0						KeyChains [TRNS:00248893]	props/GenericKeycard01_Flat.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	1	0005A2DE:CUT_V94_IDCardReader:ACTI																																																																																	
00164259	SurvivalTrainingCenter_Lootcloset_Key	Camp Venture Storage Room Key		0						Keys [TRNS:001AB213]	Props\Key_Chain01.nif	Caps001 "Cap" [CNCY:0000000F]	1	0.000000	3	0016425A::REFR	00203CA7::REFR	00525407:BabylonExcludeList:FLST																																																																															
00312281	TW002SecurityStationPassword	Penitentiary Security Password		0								Caps001 "Cap" [CNCY:0000000F]	0	0.000000	5	000158AC::REFR	00073BDD::REFR	0010E201:TW002:QUST	0018245A::REFR	0027AC51::REFR																																																																													
002963B1	MTR04_BadgeKey	Camden Park Badge		0						KeyChains [TRNS:00248893]	PROPS/CamdenParkNametag/Nametag.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	1	001ED40A:MTR04_Employee:QUST																																																																																	
00313363	TestSmokeKey	Test Key		0						KeyChains [TRNS:00248893]	Props\Key01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	4	00000D80::REFR	00000D86::REFR	00313365::REFR	00525407:BabylonExcludeList:FLST																																																																														
002C478B	LC089_PRCFacilityIDCard	Mama Dolce's Manager ID Card		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	5	002C4775::REFR	002C478C::REFR	002D0F6B:EN07_MQ_Death:QUST	00315A50::REFR	00525407:BabylonExcludeList:FLST																																																																													
0031FAE5	LC144_SunnytopRoomKey	Sunnytop Ski Lanes Room 6 Key		0						KeyChains [TRNS:00248893]	Props\Key01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	4	00282954::REFR	0031FAE6::REFR	0031FAE7::REFR	00525407:BabylonExcludeList:FLST																																																																														
0032D632	TestElevatorKeycard	Test Elevator Keycard		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	1	00525407:BabylonExcludeList:FLST																																																																																	
00335501	V63_Access_IDCard	ID Card		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	1	00335503::REFR																																																																																	
0033553C	V63_3_ResidentIDCard	Vault 63 Resident ID Card		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	2	00335396:V63_3_CUT_FlaggedToNotExportInScript:QUST	0033553E:V63_3_IDCardReader01:ACTI																																																																																
003355B2	V63_2_MaintenanceIDCard	Vault 63 Maintainence ID Card		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	2	00335399:V63_2_CUT_FlaggedToNotExportInScript:QUST	00335567:V63_2_MaintenanceIDCardReader01:ACTI																																																																																
0033C77D	BoS02MilitaryIDCard	Military ID Card		0						KeyChains [TRNS:00248893]	SetDressing\CardReader\GovernmentID03.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	5	0004E89C:BoS02:QUST	00313080:BoSZ03_ArtilleryBatteryTerminal:TERM	003B5884:BoSZ03ArtilleryTerminal:REFR	004E458A:BoS02RegistrationTerminalSubTerminal01:TERM	004E49D9:MQ_Overseer:QUST																																																																													
0033FBD1	GarrahanEstateAccessKeycard	Garrahan Estate Access Keycard		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	8	0001B0E3::REFR	0001BC79::REFR	0033FBD8::REFR	0033FBE1::REFR	0033FBF8::REFR	003DE53F:GarrahanEstateCardReader:REFR	003FBF2E:P01B_Wolf:QUST	00525407:BabylonExcludeList:FLST																																																																										
0033FBD4	HornwrightEstateAccessKeycard	Hornwright Estate Access Keycard		0						KeyChains [TRNS:00248893]	Props\GenericKeycard01.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	6	003DE571::REFR	003F28C3:W05_MQS_201P:QUST	003FEA6C::REFR	0043807E::REFR	00438080::REFR	00525407:BabylonExcludeList:FLST																																																																												
00357FF6	MoM03_BrodysRoomKey	Brody's Room Key		0						Keys [TRNS:001AB213]	Props\Key_Chain01.nif	Caps001 "Cap" [CNCY:0000000F]	1	0.000000	3	00357E7E:MoM03:QUST	00357FE8::REFR	003AB0C1::REFR																																																																															
00358018	MoM00_PlayersLogin	Order of Mysteries Login		0						MiscHolotape [TRNS:000995A5]	Props\Holotape_Prop.nif	Caps001 "Cap" [CNCY:0000000F]	0	0.000000	8	000471C5:MoM_CryptosTerminal:TERM	00345D52:MoM01:QUST	003472F4:MoM02:QUST	003472F5:MoM02A:QUST	00357E7A:MoM04:QUST	00357E7B:MoM02B:QUST	00357E7D:MoM02C:QUST	00357E7E:MoM03:QUST																																																																										
