patch_number	version	name	type	release_date	notes_url
62	1.7.21.25	C.A.M.P. Revamp	Update	2025-09-02	https://bethesda.net/en/article/4xj9qqfxl7bKHnRVkXKPKm/fallout-76-c-a-m-p-revamp-release-notes
61	1.7.21.8	Gone Fission	Update	2025-07-22	https://bethesda.net/en/article/62vJMBNEtl3MqlCoX505QB/fallout-76-update-notes-july-22-2025
60	1.7.20.12	Gone Fission	Update	2025-06-03	https://bethesda.net/en/article/2fsxzAz2icHeeJYGR37kQs/fallout-76-gone-fission-release-notes
	1.7.19.29	Ghoul Within	Hotfix	2025-05-06	https://bethesda.net/en/article/75r6QvFg5pymHwFhiqWNs9/fallout-76-update-notes-april-22-2025
59	1.7.19.19	Ghoul Within	Update	2025-04-22	https://bethesda.net/en/article/75r6QvFg5pymHwFhiqWNs9/fallout-76-update-notes-april-22-2025
	1.7.18.29	Ghoul Within	Hotfix	2025-04-07	https://fallout.wiki/wiki/Fallout_76_Patch_1.7.18.29
58	1.7.18.22	Ghoul Within	Update	2025-03-18	https://bethesda.net/en/article/24uIqswESsK1aunG5a2oyS/fallout-76-ghoul-within-release-notes
57	1.7.17.9	Gleaming Depths	Update	2025-01-21	https://bethesda.net/en/article/2LLKj3SgJIQg5LrhNMnCYa/fallout-76-update-notes-january-21-2025
56	1.7.16.13	Gleaming Depths	Update	2024-12-03	https://bethesda.net/en/article/5jYSbvocrji7E0eDJRJl9z/fallout-76-the-gleaming-depths-release-notes
55	1.7.15.12	Milepost Zero	Update	2024-10-22	https://bethesda.net/en/article/ctCMgSVtdJ6TIbgoPDFYh/fallout-76-update-notes-october-22-2024
	1.7.14.19	Milepost Zero	Hotfix	2024-09-17	https://fallout.bethesda.net/en/article/6IdraLUoM4jNO15MU6t7Ep/fallout-76-milepost-zero-release-notes
54	1.7.14.15	Milepost Zero	Update	2024-09-03	https://fallout.bethesda.net/en/article/6IdraLUoM4jNO15MU6t7Ep/fallout-76-milepost-zero-release-notes
	1.7.13.18	Skyline Valley	Hotfix	2024-07-30	https://fallout.bethesda.net/en/article/6F08vZZ3NqiU063P2VpSmk/fallout-76-update-notes-july-23-2024
53	1.7.13.12	Skyline Valley	Update	2024-07-23	https://fallout.bethesda.net/en/article/6F08vZZ3NqiU063P2VpSmk/fallout-76-update-notes-july-23-2024
	1.7.12.13	Skyline Valley	Hotfix	2024-06-27	https://fallout.wiki/wiki/Fallout_76_Patch_1.7.12.13
52	1.7.12.10	Skyline Valley	Update	2024-06-12	https://fallout.bethesda.net/en/article/0ukAR03S0v9pBgnFtGLAr/fallout-76-skyline-valley-release-notes
	1.7.11.15	Atlantic City – America's Playground	Hotfix	2024-05-09	https://fallout.bethesda.net/en/article/1U54gxTvUP6noQjcgFfaeA/fallout-76-update-notes-april-30-2024
51	1.7.11.12	Atlantic City – America's Playground	Update	2024-04-30	https://fallout.bethesda.net/en/article/1U54gxTvUP6noQjcgFfaeA/fallout-76-update-notes-april-30-2024
50	1.7.10.12	Atlantic City – America's Playground	Update	2024-03-26	https://fallout.bethesda.net/en/article/2pZCNtH1iIAr7YYmVoV6Rv/fallout-76-atlantic-city-americas-playground-update-notes
49	1.7.9.7	Atlantic City – Boardwalk Paradise	Update	2024-01-30	https://fallout.bethesda.net/en/article/3rOO1O6YR5uTofFeSKaEQA/fallout-76-update-notes-january-30-2024
	1.7.8.10	Atlantic City – Boardwalk Paradise	Hotfix	2023-12-15	https://fallout.wiki/wiki/Fallout_76_Patch_1.7.8.10
48	1.7.8.8	Atlantic City – Boardwalk Paradise	Update	2023-12-05	https://fallout.bethesda.net/en/article/324cSXFmXRtRfreAJMDn0J/fallout-76-atlantic-city-boardwalk-paradise-update-notes
47	1.7.7.2	Once in a Blue Moon	Update	2023-10-10	https://fallout.bethesda.net/en/article/7uZ5caUi4lqZxmhKDXqEAV/fallout-76-update-notes-october-10-2023
46	1.7.6.7	Once in a Blue Moon	Update	2023-08-22	https://fallout.bethesda.net/en/article/366JpFTGKTkHlQEXVM1wRx/fallout-76-update-notes-august-22-2023
45	1.7.5.4	Once in a Blue Moon	Update	2023-07-18	https://fallout.bethesda.net/en/article/5lZs7XLXI9ZM32gxp9ncpN/fallout-76-update-notes-july-18-2023
44	1.7.4.21	Once in a Blue Moon	Update	2023-06-20	https://fallout.bethesda.net/en/article/24FfRdpYzz2NUSkhItkcxw/fallout-76-once-in-a-blue-moon-update-notes-june-20-2023
43	1.7.4.6	Mutation Invasion	Update	2023-04-18	https://fallout.bethesda.net/en/article/5XK124H6m9Cd4chySkPzOz/fallout-76-update-notes-april-18-2023
42	1.7.3.15	Mutation Invasion	Update	2023-02-28	https://fallout.bethesda.net/en/article/3V4wAgOSZY42nGWxkg8W6i/fallout-76-update-notes-mutation-invasion
	1.7.2.22	Nuka-World on Tour	Hotfix	2023-01-30	
	1.7.2.19	Nuka-World on Tour	Hotfix	2023-01-27	
41	1.7.2.18	Nuka-World on Tour	Update	2023-01-24	https://fallout.bethesda.net/en/article/4LWLfhHt0imV3pj1zunTNU/fallout-76-update-notes-january-24-2023
40	1.7.2.9	Nuka-World on Tour	Update	2022-12-06	https://fallout.bethesda.net/en/article/3mPnuNoilkdXossUtGXPVH/fallout-76-nuka-world-on-tour-update-notes-december-6-2022
39	1.7.1.19	Expeditions: The Pitt	Update	2022-10-25	https://fallout.bethesda.net/en/article/21F88a8fiLVsslITrOAIyb/fallout-76-update-notes-october-25-2022
38	1.7.0.23	Expeditions: The Pitt	Update	2022-09-13	https://fallout.bethesda.net/en/article/2NghS9QLcLTGqMtD5FGDQo/fallout-76-the-pitt-update-notes-september-13-2022
37	1.6.4.78	Test Your Metal	Update	2022-07-26	https://fallout.bethesda.net/en/article/2guEiFF0eEWtFQ5gfW28h2/fallout-76-update-notes-july-26-2022
36	1.6.4.60	Test Your Metal	Update	2022-06-14	https://fallout.bethesda.net/en/article/7bKshvhYtAtHExCPqE8P3c/fallout-76-test-your-metal-update-notes-june-14-2022
35	1.6.4.31	Invaders from Beyond	Update	2022-04-12	https://fallout.bethesda.net/en/article/6Xry209o4ysZAsuVW19b9d/fallout-76-update-notes-april-12-2022
34	1.6.4.13	Invaders from Beyond	Update	2022-03-01	https://fallout.bethesda.net/en/article/BRIF0qHDKw962fp0WPmvO/fallout-76-update-notes-march-1-2022
32	1.6.2.16	Night of the Moth	Update	2021-12-08	https://bethesda.net/en/article/7xktBrYTw6WeFSHHrPl53z/fallout-76-night-of-the-moth-update-notes-december-8-2021
31	1.6.1.18	Fallout Worlds	Update	2021-10-19	https://fallout.bethesda.net/en/article/4cB0S5XJS7kFqq7zYr3zAk/fallout-76-update-notes-october-19-2021
30	1.6.0.17	Fallout Worlds	Update	2021-09-08	https://fallout.bethesda.net/en/article/4fPuRwYLvKLptY6afUHYro/fallout-76-fallout-worlds-update-notes-september-8-2021
29	1.5.5.8	Steel Reign	Update	2021-08-03	https://bethesda.net/en/article/33grmpp4ZZw6Za2sDgtMfN/fallout-76-update-notes-august-3-2021
28	1.5.4.15	Steel Reign	Update	2021-07-07	https://fallout.bethesda.net/en/article/64ch36shf2Q9rpGsosrDN8/fallout-76-update-notes-july-7-2021
27	1.5.3.10	Locked & Loaded	Update	2021-05-25	https://fallout.bethesda.net/en/article/2GiflqO27btsm0fkKAuVio/fallout-76-update-notes-may-25-2021
26	1.5.2.32	Locked & Loaded	Update	2021-04-27	https://fallout.bethesda.net/en/article/5RiAu8JrYvPtdow8jeunls/fallout-76-locked-and-loaded-update-notes-april-27-2021
25	1.5.1.26	Steel Dawn	Update	2021-01-26	https://fallout.bethesda.net/en/article/4nMJ3QEIKoK16nZ0A8P7Ec/fallout-76-inventory-update-notes-january-26-2021
24.5	1.5.1.3	Steel Dawn	Update	2020-12-15	https://fallout.bethesda.net/en/article/5taGWKjR5NZkJTNgEGYwzj/fallout-76-scribe-of-avalon-update-notes-december-15-2020
24	1.5.0.19	Steel Dawn	Update	2020-11-24	https://fallout.bethesda.net/en/article/7sARlh1E2yHEwVnKrsyqIv/fallout-76-steel-dawn-update-notes-november-24-2020
	1.4.1.6	One Wasteland For All	Hotfix	2020-10-15	https://bethesda.net/community/topic/433111/complete-pc-only-upcoming-hotfix-october-15-2020
23	1.4.1.4	One Wasteland For All	Update	2020-10-13	https://fallout.bethesda.net/en/article/2xDD9PAmU2FNhsyanugddk/fallout-76-update-23-patch-notes-october-13-2020
	1.4.0.23	One Wasteland For All	Hotfix	2020-09-29	https://fallout.bethesda.net/en/article/60z7gSBKKSlj9UvbtITx0I/fallout-76-hotfixnotes-29-september-2020
22	1.4.0.20	One Wasteland For All	Update	2020-09-15	https://fallout.bethesda.net/en/article/5cRE8qhGB6BrOuJBnPhNGO/fallout-76-update-22-patch-notes-september-15-2020
	1.3.3.31	The Legendary Run	Hotfix	2020-08-18	https://fallout.bethesda.net/en/article/2uZWTGKr44jRhx8wuCaGU8/fallout-76-hotfix-notes-august-18-2020
21	1.3.3.24	The Legendary Run	Update	2020-08-04	https://fallout.bethesda.net/en/article/2Z8aZWK1CISDkxWAcwQhw8/fallout-76-update-21-patch-notes-august-4-2020
20	1.3.2.10	The Legendary Run	Update	2020-06-30	https://fallout.bethesda.net/en/article/47XE9Dbh3weAd5kusOIA8p/fallout-76-update-20-patch-notes-june-30-2020
19	1.3.1.26	Wastelanders	Update	2020-05-19	https://fallout.bethesda.net/en/article/41anUUoQsqOgdWzOFxg3St/fallout-76-update-19-patch-notes-may-19-2020
18	1.3.0.23	Wastelanders	Update	2020-04-14	https://fallout.bethesda.net/en/article/2asdca6YRz43ctgyo0o2d3/fallout-76-wastelanders-update-notes-april-14-2020
17.5	1.2.7.26	Nuclear Winter	Patch	2020-02-25	https://fallout.bethesda.net/en/article/77DFEUrDpIWI9F4TStqqhs/fallout-76-update-notes-february-25-2020
17	1.2.7.2	Nuclear Winter	Patch	2020-01-14	https://fallout.bethesda.net/en/article/7JSq4wTkPSdiI9gPZT45lU/fallout-76-update-notes-january-14-2020
	1.2.6.4	Nuclear Winter	Hotfix	2019-12-13	https://bethesda.net/community/topic/376149/complete-fallout-76-maintenance-december-13-2019
16	1.2.6.2	Nuclear Winter	Patch	2019-12-10	https://fallout.bethesda.net/en/article/2QXaaomaaBSTRSOS2AoTk/fallout-76-update-16-patch-notes-december-10-2019
	1.2.5.11	Nuclear Winter	Hotfix	2019-11-22	
15	1.2.5.8	Nuclear Winter	Patch	2019-11-19	https://fallout.bethesda.net/en/article/3oFJrUfj6iNPVEWch2L1qI/fallout-76-update-15-patch-notes-november-19-2019
	1.2.4.10	Nuclear Winter	Hotfix	2019-11-12	https://fallout.bethesda.net/en/article/3aDmdi6Rk91U832uk2o7BW/fallout-76-hotfix-notes-november-12-2019
14	1.2.4.6	Nuclear Winter	Patch	2019-10-23	https://fallout.bethesda.net/en/article/5OZH9xTsc8DNuEN539nN6y/fallout-76-14-2019-10-23
	1.2.3.13	Nuclear Winter	Hotfix	2019-09-17	https://fallout.bethesda.net/en/article/5WeaOUZbpPYcQCnByXCcEJ/fallout-76-hotfix-notes-september-17-2019
13	1.2.3.9	Nuclear Winter	Patch	2019-09-10	https://fallout.bethesda.net/en/article/4bGHdIFQ27EzLbZp1EoWoW/fallout-76-patch-13-notes-september-10-2019
12	1.2.2.9	Nuclear Winter	Patch	2019-08-20	https://fallout.bethesda.net/en/article/6uccERg8HYxx78P07jhS9j/fallout-76-patch-12-notes-august-20-2019
11.5	1.2.1.32	Nuclear Winter	Patch	2019-08-01	https://fallout.bethesda.net/en/article/2KNOC09rmYSXpkBUPAUUvv/fallout-76-patch-11-5-notes-august-1-2019
	1.2.1.26	Nuclear Winter	Hotfix	2019-07-25	https://fallout.bethesda.net/en/article/6kxcGxeZ63Uxx8LqEYFIc3/fallout-76-hotfix-notes-july-25-2019
11	1.2.1.18	Nuclear Winter	Patch	2019-07-16	https://fallout.bethesda.net/en/article/6XdkW9ENbXzmFb0qDadc4D/fallout-76-patch-11-notes-july-16-2019
10.5	1.2.0.24	Nuclear Winter	Patch	2019-06-25	https://fallout.bethesda.net/en/article/64WJTKyU1TfEuddQzg4D4Z/fallout-76-patch-10-5-notes-june-25-2019
10	1.2.0.15	Nuclear Winter	Update	2019-06-10	https://fallout.bethesda.net/en/article/55pboVqiIBImKOzWBDrUBp/fallout-76-nuclear-winter-patch-notes-june-10-2019
9.5	1.1.5.7	Wild Appalachia	Patch	2019-05-29	https://fallout.bethesda.net/en/article/QZSsPQ9Mus9sRWZwcsdcH/fallout-76-wild-appalachia-patch-9-5-notes-may-21-2019
9.5	1.1.5.4	Wild Appalachia	Patch	2019-05-21	https://fallout.bethesda.net/en/article/QZSsPQ9Mus9sRWZwcsdcH/fallout-76-wild-appalachia-patch-9-5-notes-may-21-2019
9	1.1.4.3	Wild Appalachia	Patch	2019-05-07	https://fallout.bethesda.net/en/article/1GzFRJ3M5wmdnunkTDcbHZ/fallout-76-wild-appalachia-patch-9-notes-may-7-2019
8.5	1.1.3.11	Wild Appalachia	Patch	2019-04-23	https://fallout.bethesda.net/en/article/64xBDO2aEDqzWOsXuWPtle/fallout-76-wild-appalachia-patch-8-5-notes-april-23-2019
8	1.1.2.7	Wild Appalachia	Patch	2019-04-09	https://fallout.bethesda.net/en/article/5hrHjCk5RTycypyr3ub4aQ/fallout-76-wild-appalachia-patch-notes-april-9-2019
7.5	1.1.1.2	Wild Appalachia	Patch	2019-03-26	https://fallout.bethesda.net/en/article/62MOIbuwGb2pCFNuRKwYJo/fallout-76-wild-appalachia-patch-notes-march-26-2019
7	1.1.0.8	Wild Appalachia	Update	2019-03-13	https://fallout.bethesda.net/en/article/4rzMQ3PdnK5hOjt1fc9VAV/fallout-76-wild-appalachia-patch-notes-march-13-2019
6	1.0.6.0		Patch	2019-02-19	https://fallout.bethesda.net/en/article/21zDUJWJbcIyv2vKmvSSjB/fallout-76-patch-notes-february-19-2019
	1.0.5.14	Launch	Hotfix	2019-01-31	https://fallout.bethesda.net/article/44hSMCa7BGSxsftNvbMUQT/fallout-76-hotfix-notes-january-31-2019
5	1.0.5.10		Patch	2019-01-29	https://fallout.bethesda.net/article/2J2ong0O2B6GAI1AeIdGcp/fallout-76-patch-notes-january-29-2019
4	1.0.4.13		Patch	2019-01-10	https://fallout.bethesda.net/article/7hpeHkKxyM6aMWUCCIkeW6/fallout-76-patch-notes-january-10-2019
	1.0.3.17	Launch	Hotfix	2018-12-19	https://fallout.bethesda.net/article/3AEV0uXGGkyW0OAUOAisMW/fallout-76-hotfix-notes-december-19-2018
3	1.0.3.10		Patch	2018-12-11	https://fallout.bethesda.net/article/1EDxoSmqFye0QYa2GyQw2u/fallout-76-patch-notes-december-11-2018
2	1.0.2.0		Patch	2018-12-04	https://fallout.bethesda.net/en/article/yzCWHFufFm0iUEyc4UWgA/upcoming-fallout-76-patch-notes-december-4-2018
1	1.0.1.14		Patch	2018-11-19	https://fallout.bethesda.net/article/6AZhnwmqwE8SkOeoeuiamw/fallout-76-patch-notes-november-19-2018
	1.0.1.2	Launch	Release	2018-11-14	
	1.0.0.6	B.E.T.A	BETA	2018-11-08	https://fallout.bethesda.net/en/article/3zijn9WlHG8O4YYKY8CsEM/fallout-76-b-e-t-a-patch-notes-november-5-2018
	0.9.0.15	B.E.T.A	BETA	2018-10-30	https://fallout.bethesda.net/en/article/11H0zwfhTGegsGeI20IuMq/fallout-76-b-e-t-a-patch-notes-october-30-2018
		B.E.T.A	BETA	2018-10-23	https://bethesda.net/en/article/XUtJrgiCgU6WqMASW8w0I/fallout-76-our-future-begins-together-in-beta
