WTHR_FormID	WTHR_EDID	ReferencedByCount	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30	Ref_31	Ref_32	Ref_33	Ref_34	Ref_35
002DB88F	NewWeatherMistyRainy	26	0001746B:ForestObjectRegion:REGN	001113E0:FogCrawlerMeatCooked:ALCH	0012DFF1:MountainObjectRegion:REGN	001E7B77:ToxicObjectRegion:REGN	0037E1DF:WhitespringWeatherRegion:REGN	00391F1B:AbPerkStormChaser:SPEL	004299DF::INFO	004299E3::INFO	0042A0CF::INFO	0042C6D7:ToxicObjectRegionCrater:REGN	0042D4E8:MountainObjectRegionFoundation:REGN	0042ED9F::INFO	00545D99::INFO	00545D9B::INFO	005862E8::INFO	005862E9::INFO	00586305::INFO	00586306::INFO	0058631D::INFO	00586321::INFO	00586322::INFO	00586323::INFO	00586326::INFO	00606B56:FOW_Weather:FLST	00618B77:PointPlesantWeather:REGN	0075C19B::INFO									
002DB890	NewWeatherOvercast	10	0001746B:ForestObjectRegion:REGN	0012DFF1:MountainObjectRegion:REGN	0037E1DF:WhitespringWeatherRegion:REGN	003D0073:MountainRemovalSubRegion08:REGN	004299DF::INFO	004299E3::INFO	0042D4E8:MountainObjectRegionFoundation:REGN	0042ED9E::INFO	00606B56:FOW_Weather:FLST	00618B77:PointPlesantWeather:REGN																									
002DB891	NewWeatherRadstorm	35	0001746B:ForestObjectRegion:REGN	000724E6:MtnRemovalObjectRegion:REGN	0012DFF1:MountainObjectRegion:REGN	001C5E7B:RadStormSpell:SPEL	001C943F:CranberryObjectRegion:REGN	001E7B77:ToxicObjectRegion:REGN	0020CFF8:SwampObjectRegion:REGN	0022728C:SFM01_Glow_CUT_FlaggedToNotExplort:QUST	00391F1B:AbPerkStormChaser:SPEL	003D028F:LLE_NukeResources_Glowing:LVLI	003D0290:LLS_NukeResources_Glowing:LVLI	003F5340:zzz_Babylon_RadStormSpell:SPEL	00412183:LLS_NukeResources_Glowing_Mass:LVLI	00412184:LLS_NukeResources_Hardened_Mass:LVLI	0041A676:E01C_Tales_Mary_New:QUST	00429A01::INFO	0042A0D0::INFO	0042C6D7:ToxicObjectRegionCrater:REGN	0042D4E8:MountainObjectRegionFoundation:REGN	0042ED9C::INFO	00545D9A::INFO	0056DCB7::INFO	00582368::INFO	00582369::INFO	0058236A::INFO	005856AA::INFO	00586325::INFO	00586327::INFO	00618B77:PointPlesantWeather:REGN	0068AFAB:zzzStormArenaTest:CELL	0072F7F7::INFO	0074E732::INFO	0075DF73:zzz_EnchArmor_tempest:ENCH	008464EE:Radstorm_NukaFlora_Spawn_Condition:CNDF	008464F0:Radstorm_GlowingCreature_Spawn_Condition:CNDF
002DB892	NewWeatherRain	28	0001746B:ForestObjectRegion:REGN	001113E0:FogCrawlerMeatCooked:ALCH	0012DFF1:MountainObjectRegion:REGN	001C943F:CranberryObjectRegion:REGN	001E7B77:ToxicObjectRegion:REGN	0037E1DF:WhitespringWeatherRegion:REGN	00391F1B:AbPerkStormChaser:SPEL	0042A0CF::INFO	0042C6D7:ToxicObjectRegionCrater:REGN	0042D4E8:MountainObjectRegionFoundation:REGN	0042ED9D::INFO	00545D99::INFO	0056DCB7::INFO	005856AA::INFO	005862E8::INFO	005862E9::INFO	00586305::INFO	00586306::INFO	0058631D::INFO	00586321::INFO	00586322::INFO	00586323::INFO	00586326::INFO	00606B56:FOW_Weather:FLST	00618B77:PointPlesantWeather:REGN	0072F7F8::INFO	0074E733::INFO	0075C19B::INFO							
002BDCA8	NewWeatherPostNukeBlast	9	002D0F69:EN07_MQ_FleeBlast:QUST	003C3E3E:QP_Babylon_Master:QUST	003F73B2:BabylonNukeZoneWeather_DO:DFOB	004299FB::INFO	00429A01::INFO	0056B88E:Idles_Nuked:INFO	0056BE35:E03A_Mischief_Misc:QUST	0063461B:E09A_Launcher:QUST	0077FA15:MN2_Quest_MischiefMisc:QUST																										
003AA66A	NewWeatherMisty_Toxic	3	001E7B77:ToxicObjectRegion:REGN	0042A0CE::INFO	0042C6D7:ToxicObjectRegionCrater:REGN																																
003AA667	NewWeatherMistyRainy_MTR	1	0075C19B::INFO																																		
003AA666	NewWeatherMisty_MTR	1	000724E6:MtnRemovalObjectRegion:REGN																																		
003AA62C	NewWeatherFoggy_MTR	4	0058631E::INFO	0058631F::INFO	00586324::INFO	00586328::INFO																															
003AA668	NewWeatherOvercast_MTR	2	000724E6:MtnRemovalObjectRegion:REGN	006B8756:SheltersToxicWasteland:CELL																																	
003AA623	NewWeatherClear_Toxic	3	001E7B77:ToxicObjectRegion:REGN	0042A0CD::INFO	0042C6D7:ToxicObjectRegionCrater:REGN																																
003AA635	_CUT_NewWeatherClear_MTR	0																																			
003AA669	NewWeatherRain_MTR	5	000724E6:MtnRemovalObjectRegion:REGN	0056DCB7::INFO	005856AA::INFO	0063461B:E09A_Launcher:QUST	0075C19B::INFO																														
00509F0B	_CUT_NewWeatherRadstorm_Toxic	0																																			
00509F0C	NewWeatherAshstorm_MTR	4	00008C90:MountBlairCoalFireRegion:REGN	000724E6:MtnRemovalObjectRegion:REGN	00606B56:FOW_Weather:FLST	007C48A0:zzzDebugRK:CELL																															
001ACEBF	FXWthrSunlightOffAtNightBlackChargen	1	001ACEC4:FXLightRegionSunlightOffAtNightBlackChargen01:REGN																																		
002BA027	NewWeatherClear_Swamp	1	0020CFF8:SwampObjectRegion:REGN																																		
003A1A9F	NewWeatherFoggy_Swamp	7	0020CFF8:SwampObjectRegion:REGN	0058631E::INFO	0058631F::INFO	00586324::INFO	00586328::INFO	005B59C8:MiresEye01:CELL	00606B56:FOW_Weather:FLST																												
003A1AA1	NewWeatherMistyRainy_Swamp	11	0020CFF8:SwampObjectRegion:REGN	005862E8::INFO	005862E9::INFO	00586305::INFO	00586306::INFO	0058631D::INFO	00586321::INFO	00586322::INFO	00586323::INFO	00586326::INFO	0075C19B::INFO																								
003A1AA2	_CUT_NewWeatherOvercast_Swamp	0																																			
003A1AA3	_CUT_NewWeatherRain_Swamp	0																																			
003A1AA0	NewWeatherMisty_Swamp	1	0020CFF8:SwampObjectRegion:REGN																																		
004398AE	NewWeatherClear_i	29	0000015F:DefaultClimate:CLMT	0000727D:76Climate:CLMT	0000F16A:76Climate_PBR:CLMT	0001746B:ForestObjectRegion:REGN	0012DFF1:MountainObjectRegion:REGN	001C943F:CranberryObjectRegion:REGN	0037E1DF:WhitespringWeatherRegion:REGN	003B8AC9:Vault76Region:REGN	003C3E3E:QP_Babylon_Master:QUST	0041A676:E01C_Tales_Mary_New:QUST	004299EF::INFO	004299F6::INFO	0042D4E8:MountainObjectRegionFoundation:REGN	0042EDA2::INFO	005895D5::INFO	005A0CB7:76Climate_Backup:CLMT	00606B56:FOW_Weather:FLST	00618B77:PointPlesantWeather:REGN	0063461B:E09A_Launcher:QUST	0068083D:SheltersVaultStorageFacility:CELL	006867AE:zzzCUTStormVault63Atrium:CELL	0068C01F:DebugBadenG:CELL	00693DA8:zzz76StormRDVault63Hub:CELL	006A535A:zzzDebugStormLuna:CELL	006DCD33:StormVault63AtriumUpper:CELL	006E908B:DebugBadenGInstanced:CELL	00756ACE:StormVault63AtriumUpperOLD:CELL	007B3FC6:zzzTestCellCDB2:CELL	007B3FC7:zzzTestCellCDB:CELL						
004398AF	NewWeatherClear_HarpersFerry	1	0033CA8C:HarpersFerryWeather:REGN																																		
0043E30B	NewWeatherMisty_Bog	1	001C943F:CranberryObjectRegion:REGN																																		
0043E30C	NewWeatherMistyRainy_Bog	12	001C943F:CranberryObjectRegion:REGN	005862E8::INFO	005862E9::INFO	00586305::INFO	00586306::INFO	0058631D::INFO	00586321::INFO	00586322::INFO	00586323::INFO	00586326::INFO	006BB412:ZZZStormWeatherLab:CELL	0075C19B::INFO																							
0043E30D	NewWeatherOvercast_Bog	1	001C943F:CranberryObjectRegion:REGN																																		
003F8795	Babylon_WeatherSear2	1	0050F968:BabylonClientData:MSTT																																		
003F8794	Babylon_WeatherSear	2	0050F968:BabylonClientData:MSTT	00606B56:FOW_Weather:FLST																																	
003F8793	Babylon_WeatherClear	4	0050F968:BabylonClientData:MSTT	00623C66:DebugABlack:CELL	007B11C9:76BurnAssetZoo:CELL	00824E3D:zzzDebugArchieF:CELL																															
0054ED86	NewWeatherClear_i_TEMP	0																																			
00612B91	Worlds_WeatherFoggyDark	1	00606B56:FOW_Weather:FLST																																		
00616197	Worlds_WeatherNukaQuantumStorm	5	00311433:BoSr01:QUST	004648C3:E01C_Tales_Dark:QUST	00498662:E01B_Herd:QUST	00606B56:FOW_Weather:FLST	00620F7B:E07B_Invaders:QUST																														
00616198	Worlds_WeatherNukaQuantumStormRain	1	00606B56:FOW_Weather:FLST																																		
00620B1D	FOWWeatherPostNukeBlast	1	00606B56:FOW_Weather:FLST																																		
00620B1C	FOWWeatherRadstorm	2	00606B56:FOW_Weather:FLST	0075DF73:zzz_EnchArmor_tempest:ENCH																																	
00623CA7	NewWeatherMothmanEvent	0																																			
0062E7CE	WeatherMothmanEquinoxEventE07A	2	00606B56:FOW_Weather:FLST	006173A1:E07A_Mothman:QUST																																	
0065CE06	XPD_Weather_CUT_ThePitt_Smoky01	0																																			
00661551	XPD_Weather_ThePitt_Smoky01_Exterior	6	00616199:XPDPitt01Industrial:CELL	006378CE:XPDPitt02Trench:CELL	006378CF:XPDPitt02Sanctum:CELL	00648280:XPD_Pitt02_Mission:QUST	00664055:SheltersPittTrench01:CELL	007F55F5:zzzXPDPitt02TrenchCopy01:CELL																													
00661CD5	XPD_Weather_ThePitt_RadStorm01	2	00648280:XPD_Pitt02_Mission:QUST	0075DF73:zzz_EnchArmor_tempest:ENCH																																	
006A4337	Shelters_Weather_NuclearTestBunker_Smoky01	1	006960B3:SheltersNuclearTestBunker:CELL																																		
006DA64C	XPD_Weather_Boardwalk_Fog	2	0068CC70:XPDAC02Pier:CELL	0068CC71:XPDAC02Boardwalk:CELL																																	
006DC976	XPD_Weather_BoardwalkFog_NEW	3	0066C85E:DebugJosephS:CELL	0077FA14:MN2_Quest_Mischief:QUST	007EBC85:DebugGamejam2025:CELL																																
006EE8F9	ATX_Weather_Clear	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
006F0681	ATX_Weather_Radstorm	2	006EE8EF:ATX_Weather_FormList_Weathers:FLST	0075DF73:zzz_EnchArmor_tempest:ENCH																																	
006FA237	XPD_Weather_EntertainmentDistrict_Misty	0																																			
007263BD	ATX_Weather_Snow01	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
0072DB94	XPD_Weather_EntertainmentDistrict_Misty02	1	0053E8DF:XPDAC01EntertainmentDistrict:CELL																																		
0073ABA8	ATX_Weather_XPD_AC_Boardwalk_Fog	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
00743E70	zzzzATX_Weather_Thunderstorm_OLD	0																																			
0074E0EB	Shelters_Weather_Flatlands_Clear	1	0074DC96:SheltersFlatlands:CELL																																		
00752D01	XPD_Weather_FloodedCity_Exterior	1	0069306F:XPDAC03FloodedCityCenter:CELL																																		
0075F767	ATX_Weather_Snow01_bak_original	0																																			
0076B55A	ATX_Weather_Thunderstorm	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
006A0F8F	Storm_NewWeather_DeadZone	5	00633E99:zzzStormBossTestCell:CELL	006AB206:zzzStormTradingPostTest:CELL	006AE490:zzzStormPilkerFarmTEST:CELL	006BC702:zzzDebugStormHKFT:CELL	006FCB10:StormWeatherRegion_DeadZone:REGN																														
006A0F8D	zzzStorm_NewWeather_BaseStorm_Nuke	11	006B5D4C:LightningTestNuke:REFR	006B9674:LightningRocketTop:REFR	006E575D:LightningNukaCola:REFR	006F4D0F:lightningspawn:REFR	0072A658:Storm_BuslightningMarker:REFR	007469C6:StrikeTarget00:REFR	007469C7:StrikeTarget01:REFR	007469C8:StrikeTarget02:REFR	007469C9:StrikeTarget03:REFR	007469CA:StrikeTarget04:REFR	0076DA35:Storm_SummerCamp_LightningMarker_02:REFR																								
0072C7C6	Storm_NewWeather_CorruptedZone	3	00726986:StormWeatherRegion_Corrupted:REGN	007729A5:Storm_E01_Region:REGN	0079A66B:MN2_WeatherRegion:REGN																																
0072C7C7	Storm_NewWeather_Overcast	1	006923E9:StormRegion:REGN																																		
0072DC86	zzzStorm_NewWeather_Nuke	15	006B9673:StormEncounterSpawn:REFR	006D9C06::REFR	006DC766::REFR	0072B6ED:Storm_MirelurkKingSpawn:REFR	0074939E:Storm_Vtec_MirelurkKingAmbush001:REFR	0074939F:Storm_Vtec_MirelurkKingAmbush002:REFR	007493A3:Storm_Vtec_MirelurkKingAmbush:REFR	007493A4:Storm_Vtec_MirelurkKingAmbush003:REFR	0075590D:Storm_LightningStrikeMarker01:REFR	0076ACC0:Storm_SE01_SpawnEffect:REFR	0076ACC1:Storm_SE01_SpawnEffect001:REFR	0076ACC2:Storm_SE01_SpawnEffect002:REFR	0076C98E:Storm_SE02_SpawnMarker_02:REFR	0076DA34:Storm_SummerCamp_LightningMarker_01:REFR	0076DA3B:Storm_SummerCamp_LightningMarker_03:REFR																				
00745692	Storm_NewWeather_Nuke_Rain_TEMP	0																																			
00757618	zzzATX_Weather_Storm_CorruptedZone	0																																			
0075F0A7	Storm_NewWeather_CorruptedZone_Rain	2	00726986:StormWeatherRegion_Corrupted:REGN	0079A66B:MN2_WeatherRegion:REGN																																	
0075F0A8	zzzStorm_NewWeather_DeadZone_Rain	0																																			
00761063	Storm_NewWeather_Nuke_New	3	002D0F69:EN07_MQ_FleeBlast:QUST	003DF3F4:LLS_Creature_Large:LVLI	006D65BD:LightningTestNuke003:REFR																																
00761062	Storm_NewWeather_Overcast_Rain	0																																			
007613D3	Storm_NewWeather_Nuke_New_Rain	0																																			
0077E755	zzzATX_Weather_Storm_DeadZone	0																																			
0077FECA	Shelters_Weather_SummerCamp_Clear	1	0077154D:SheltersSummerCamp:CELL																																		
00782D98	Storm_NewWeather_Overcast_Rain_New	1	006923E9:StormRegion:REGN																																		
00782D99	Storm_NewWeather_DeadZone_Rain_New	1	006FCB10:StormWeatherRegion_DeadZone:REGN																																		
00782D9A	ATX_Weather_Storm_DeadZone_New	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
0078DE53	Storm_NewWeather_Overcast_Clear	1	006923E9:StormRegion:REGN																																		
0078DE52	Storm_NewWeather_Overcast_Misty	1	006923E9:StormRegion:REGN																																		
0077D52A	Shelters_Weather_HousingDevelopment_Clear	1	0077D002:zzzSheltersHousingDevelopment:CELL																																		
007962BE	ATX_Weather_HalloweenOvercast01	2	006EE8EF:ATX_Weather_FormList_Weathers:FLST	0077FA14:MN2_Quest_Mischief:QUST																																	
00798D5D	Shelters_Weather_HousingDevelopment_Clear_Copy01	1	00798944:SheltersHousingDevelopment:CELL																																		
00798D60	ATX_Weather_MothmanEquinox	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
007990A3	zzz_SCORE_S19_NewWeather_Nuke_New	0																																			
0079A1EE	zzzATX_Weather_P56	0																																			
0079B16A	ATX_Weather_RadstormNukeVariation	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
007ACD5C	ATX_Weather_FallFoliage	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
007B24CF	ATX_Weather_SnowAurora01	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
007D0F07	Weather_SSEBigBloomEvent	1	0079AA0F:SSE_BigBloom:QUST																																		
007F1829	ATX_Weather_VerdantPollen	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
007ABE87	Fishing_Weather_FishermansRest_Fog	1	007ABE86:SwampSubRegion12:REGN																																		
00811398	ATX_Weather_Fireworks	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
00832AD7	ATX_Weather_LightRain	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
007EBA4B	Burn_DesertBaseWeather	3	007BE488:zzzDebugLunaPlayground:CELL	007EE057:BurnObjectRegion20_RustKingdom:REGN	00842D5C:BurningSpringsWeatherRegion:REGN																																
007EE02B	Burn_DesertSandStormWeather	3	007EE057:BurnObjectRegion20_RustKingdom:REGN	0080BFDB:zzzBURNE02SinkholeTestCell:CELL	00842D5C:BurningSpringsWeatherRegion:REGN																																
00805B97	Burn_DesertSandStormWeather_Lite	0																																			
008524EA	Burn_DesertSandStormWeather_Event	1	0080BFD0:Burn_E02_Sinkhole:QUST																																		
0085354E	ATX_Weather_BurningSandStorm	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
008535D3	Burn_DesertSandStormNukeWeather	1	002D0F69:EN07_MQ_FleeBlast:QUST																																		
00853D48	zzzATX_Burn_DesertSandStormWeather	0																																			
0086C996	ATX_Weather_BurningNight	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
008AACC1	ATX_Weather_Invasion	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
008ABBCE	ATX_Weather_Outwaste	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
008A45C3	DEL_HTO_NewWeather_Clear	0																																			
008A45C2	DEL_HTO_NewWeather_Active	0																																			
008B0D79	ATX_Weather_Rainbow	0																																			
008B4FD6	Shelters_Weather_MoonlightCamp_Clear	1	008B4C48:SheltersMoonlightCamp:CELL																																		
008B544A	ATX_Weather_RainbowLightRain	1	006EE8EF:ATX_Weather_FormList_Weathers:FLST																																		
