ACTI_FormID	ACTI_EDID	ACTI_FULL	XALG_Flags	CanBeInstanced	KeywordCount	PropCount	VMAD_ScriptCount	VMAD_Scripts
0003000C	CUT_loot_capsStash_tin_DONOTPLACE	Caps Stash		False	0	0	0	
00031E0B	test_FXtest01				0	0	0	
0003C62C	RadioTransmitMarker	Radio Station		False	0	0	0	
0003C630	RelayTowerTestRadio	Radio		False	0	0	0	
000450F1	RelayTowerPublic				0	0	0	
000539CB	platformhelperfree01				0	0	0	
00055ED8	RotateHelperFree				0	0	0	
000560E1	LightbulbPowered01	Light		False	0	0	0	
0006D133	PfbBarredDoorChains01	Chain		False	0	0	0	
0006D13B	ConButtonStand01	Button		False	0	0	0	
0008BAE2	FixupTrigger				0	0	0	
00090BAC	tpSmelterButton	Smelt Contents		False	0	0	0	
00098163	PackageLocationPrimitive				0	0	0	
000998F4	IDCardReader01	ID Card Reader		False	0	0	0	
000998F8	Panel_Intercom	Intercom		False	0	0	0	
0009A696	ConcordMuseumLightDisplayTrigger				0	0	0	
0009BFFE	LoadElevatorAttachHelper				0	0	0	
0009C014	TransitionCellBound				0	0	0	
0009C01C	LoadElevatorMaster	Default Dummy		False	0	0	0	
0009CB97	LedDisplay01				0	0	0	
0009DC99	LoadElevatorCallButtonUtility	Call Button		False	0	0	0	
0009F946	DoNotUseLPI_TrapFloraThistle	Irradiated Thistle		False	0	0	0	
0009F981	loadlightloop01				0	0	0	
000A1404	DummyTriggerBoxCone01				0	0	0	
000A2C52	IndCatCircle256Collapse01				0	0	0	
000A3A59	IndCat1WayExtendable01				0	0	0	
000A78F5	ElevatorCallButton01	Call Button		False	0	0	0	
000B11EA	ElevatorLiftButton01	Elevator Panel		False	0	0	0	
000B11EC	ElevatorMeter01				0	0	0	
000B9807	RadioBoxStatic_On	Radio		False	0	0	0	
000BB48A	SecurityGateSm01A				0	0	0	
000BB48B	SecurityGateSm02A				0	0	0	
000BB7C6	TorpedoBlip01				0	0	0	
000BB7F7	nauticalswitch01				0	0	0	
000BBCCE	TorpedoBlip				0	0	0	
000C3676	Vault_Sink_01Activator	Sink		False	0	0	0	
000CAB98	TurretMountedAshPile	Turret		False	0	0	0	
000E5F93	HitSwitchDoorExLg01				0	0	0	
000E6F69	SubwayAnnouncementsRadio				0	0	0	
000E7E6F	FuseBox_Box	Fuse Box		False	0	0	0	
000E7E70	ChipBoard_Base	Relay System		False	0	0	0	
000E7E80	FuseBox_Trigger	Fuse Box		False	0	0	0	
000E7E83	DefaultActivator	Default Activator		False	0	0	0	
000E8DC9	LoadElevatorCallButtonPublic	Call Button		False	0	0	0	
000EB1D0	TrapExplOilPool01	Oil	Server Authoritative	False	0	0	0	
000EB22A	TrapExplGas01		Server Authoritative		0	0	0	
000EB4D4	TrapTrigPlate01	Bathroom Scale		False	0	0	0	
000EBDA2	TrapIEDCigarCarton	Makeshift Bomb	Server Authoritative	False	0	0	0	
000ED13A	PackageSandboxPrimitive				0	0	0	
000EEFB5	PowerLiftCart01				0	0	0	
000EEFBB	PowerLiftRamp01				0	0	0	
000EEFBD	PowerLiftButton01	Button		False	0	0	0	
000F255C	PowerLiftBox01				0	0	0	
000F5D8D	PlayerHouse_KitchenSink01Activator	Sink		False	0	0	0	
000F6265	SecurityBarBase01	Latch Bar		False	0	0	0	
000F6525	DefaultEnableDisableChainTrigger				0	0	0	
000F7C5C	LoadElevatorCallButtonHiTech	Call Button		False	0	0	0	
000F9E11	CaptiveAreaVolume				0	0	0	
000FA2E2	HitSwitchDoorExSm01				0	0	0	
000FA441	FarmRelaxArea				0	0	0	
000E27BE	BabyActivator	Shaun		False	0	0	0	
000EAF41	TrapGrenadeBouquetFrag3Short	Grenade Bouquet		False	0	0	0	
00100206	TrapGrenadeBouquetFrag3Medium	Grenade Bouquet		False	0	0	0	
00100207	TrapGrenadeBouquetFrag3Long	Grenade Bouquet		False	0	0	0	
00100208	TrapGrenadeBouquetFrag1Short	Grenade Bouquet		False	0	0	0	
00100209	TrapGrenadeBouquetFrag1Medium	Grenade Bouquet		False	0	0	0	
0010020A	TrapGrenadeBouquetFrag1Long	Grenade Bouquet		False	0	0	0	
00100CC2	BH_onplayerenterunlock				0	0	0	
00107468	Water1024ExtCranBogDefault				0	0	0	
001081D0	DefaultDummyON				0	0	0	
001081D2	DefaultDummyOFF				0	0	0	
00108650	CircuitBreaker	Circuit Breaker		False	0	0	0	
0010BE7F	TrapTripWire_Handmade	Handmade Tripwire		False	0	0	0	
0010BE8C	TrapTripWire_Laser	Laser Tripwire		False	0	0	0	
0010C3E3	SecurityBarBase02	Latch Bar		False	0	0	0	
0010C3E4	SecurityBarBaseJail01				0	0	0	
0010C3E5	SecurityBarBaseJail02				0	0	0	
0010C3E7	TrapCanChimes01	Can Chimes		False	0	0	0	
0010C41B	TrapGrenadeBouquetFrag3ExtraLong	Grenade Bouquet		False	0	0	0	
0010C41C	TrapGrenadeBouquetFrag1ExtraLong	Grenade Bouquet		False	0	0	0	
0010EDA1	HotelBell	Bell		False	0	0	0	
00110023	CZ_Spotlight01				0	0	0	
001125CF	TrapGunPistolGrip			False	0	0	0	
001125D0	TrapGunRifleGrip			False	0	0	0	
00112877	TrapTripWire_Laser_Wall	Laser Tripwire		False	0	0	0	
001157D8	Vault63Valve	Ventilation Valve		False	0	0	0	
00115991	QryElevatorMachineWheel01				0	0	0	
00115BA7	TrapTrigTension	Tension Trigger		False	0	0	0	
00116857	EventCameraUnique				0	0	0	
0011709A	TrapBreakableWalkwayTrigger			False	0	0	0	
00117D87	SpotLightCombatZone01				0	0	0	
00118314	FloatingPlatformHelper01				0	0	0	
001184C6	TrapBreakableBoard01		Server Authoritative		0	0	0	
001184CF	TrapBreakableBoard02		Server Authoritative		0	0	0	
001184D0	TrapBreakableBoard03		Server Authoritative		0	0	0	
001184D2	TrapBreakableBoard04		Server Authoritative		0	0	0	
001184D4	TrapBreakableBoard05		Server Authoritative		0	0	0	
0011B024	BoatTug01Activator				0	0	0	
0011E2C5	WorkshopGeneratorLarge	Generator - Large	Camera Weapon Detectable	False	0	0	0	
0011E397	FloatingPlatformHelperSwingOnly01				0	0	0	
00121A66	CG_Nuke				0	0	0	
001244BA	Bell_Free	Bell		False	0	0	0	
001256FE	CGNukeShockwave				0	0	0	
00136456	WorkstationChemistryA01	Chemistry Workstation		False	0	0	0	
00136457	WorkstationChemistryB01	Chemistry Workstation		False	0	0	0	
00138BF4	WorkshopPowerSwitchbox01	Switch		False	0	0	0	
00138BF6	WorkshopPowerPylon02	Power Pylon - Large		False	0	0	0	
00138BF8	WorkshopPowerPylonSwitch02	Switched Power Pylon - Large		False	0	0	0	
00139F8D	GooPile01	Goo Pile		False	0	0	0	
0013C37F	VltElevatorCallButtonExt				0	0	0	
0013C380	VltElevatorCallButtonCar	Elevator Panel		False	0	0	0	
0013C491	PursuitAreaVolume				0	0	0	
00140E84	TrapElectricalArc	Tesla Arc		False	0	0	0	
00141734	TrapGunMissileGrip			False	0	0	0	
00142F88	TrapCymbalMonkey				0	0	0	
001437E6	DiamondCityWantedBoardTrigger	Wanted Poster		False	0	0	0	
00143AED	WorkstationArmorB01	Armor Workstation		False	0	0	0	
0014583D	WorkshopPowerPylonSwitch01	Switched Power Pylon		False	0	0	0	
00146EB7	WorkshopPressurePlate01	Pressure Plate		False	0	0	0	
001471CD	CameraAttachDustBig				0	0	0	
001471CE	CameraAttachDustSmall				0	0	0	
0014A33B	MassFusionReactor01				0	0	0	
0014BED3	TrapCymbalMonkey02				0	0	0	
0014E503	Water1024IntClearDefault				0	0	0	
00157CB7	FlareGunExplosionMarker				0	0	0	
0015D76F	WorkshopPowerPylon01	Power Pylon		False	0	0	0	
00163EB3	TrapTrigTensionExtended	Tension Trigger		False	0	0	0	
00163EB5	TrapTrigTensionExtended02	Tension Trigger		False	0	0	0	
00163EB6	TrapTrigTensionHooked	Tension Trigger		False	0	0	0	
001651E4	DeconArch01				0	0	0	
0016579B	MirelurkEgg_Hatching	Mirelurk Egg		False	0	0	0	
001715CD	MirelurkEgg_Harvestable	Mirelurk Egg		False	0	0	0	
00171653	MirelurkHatchingTrigger				0	0	0	
00173B16	TellMeMoreButtonStand01	Tell Me More Button		False	0	0	0	
001796A6	MonkeyTrapTrigger			False	0	0	0	
001797CF	PrydwenDestruction	pd		False	0	0	0	
001797F7	CameraAttachFog01				0	0	0	
0017A62B	WorkshopCastleRadioTransmitter	Radio Transmitter		False	0	0	0	
0017A76C	FoodPasteNozzle				0	0	0	
0017B5D8	MonkeyTriggerTrigger				0	0	0	
0017E1E8	VltRmResSecretDoor01				0	0	0	
0017E1EC	VltSecurityGate				0	0	0	
00183353	ElevatorCallButtonVault	Call Button		False	0	0	0	
001849DF	CitHole01				0	0	0	
00187990	AshPileBlue	Ash Pile		False	0	0	0	
0018E8FC	HamRadio	Ham Radio		False	0	0	0	
0018EDB6	CameraAttachGlowingSea				0	0	0	
0018F951	WorkshopRelaxationArea				0	0	0	
00191EB7	RelayTowerReceiver01	Ham Radio		False	0	0	0	
00191EB8	RelayTowerReceiver02	Ham Radio		False	0	0	0	
00191EB9	RelayTowerReceiver03	Ham Radio		False	0	0	0	
00193F90	PlayerHouse_Stereo01_Activator	Holotape Player		False	0	0	0	
00194FB3	ToggleButton	Button		False	0	0	0	
00197C59	Water1024IntClearPuddle				0	0	0	
00198849	TrapTripWire_Laser_Wall_Child	Laser Tripwire		False	0	0	0	
0019C656	RedR_ButtonBox	Button		False	0	0	0	
0019C899	VaultDoorConsole01NoActivate				0	0	0	
0019C936	EatOTronic01	Eat-o-Tronic		False	0	0	0	
0019C937	EatOTronic01Dirty	Eat-o-Tronic		False	0	0	0	
0019F4C5	PortADiner01	Port-A-Diner		False	0	0	0	
0019F4C6	PortADiner01Dirty	Port-A-Diner		False	0	0	0	
001A4AA4	PlayerHouse_Ruin_KitchenSink01Activator	Sink		False	0	0	0	
001A7C48	MoltenMetalPlane03				0	0	0	
001A7C70	MoltenMetalPlane02				0	0	0	
001A7C71	MoltenMetalPlane01				0	0	0	
001A855E	FireWeaponMarker				0	0	0	
0001D99A	TrapCyclicElectricalArc				0	0	0	
0003A2A1	WorkshopCeilingFanLight01	Ceiling Fan		False	0	0	0	
00041EBF	TrapCyclicElectricalArcVault				0	0	0	
000422C6	CryoPod01Interior				0	0	0	
000498BA	YangtzeReactor001				0	0	0	
000519B3	CastleArmoryTrigger				0	0	0	
00052609	PowerBox_Activator	Power Box		False	0	0	0	
00062B4B	WorkshopArtilleryFakeProjectile				0	0	0	
00063B6C	WorkshopArtilleryStrikeProjectileShooterClose				0	0	0	
00063B6D	WorkshopArtilleryStrikeProjectileShooterFar				0	0	0	
000664E8	TurfSystemTurf				0	0	0	
00072559	ConstitutionLifeboatPlatform01				0	0	0	
0007265E	Mirelurk_NestPile01_ACT				0	0	0	
0007265F	Mirelurk_NestPile02_ACT				0	0	0	
00072660	Mirelurk_NestPile03_ACT				0	0	0	
00072661	Mirelurk_NestPile_Corner01_ACT				0	0	0	
0009AC40	EmergencyLightAnim01				0	0	0	
000A3ABE	LightOilLampOnOffSwitch				0	0	0	
000AC9D0	DefaultSetPlayerOnElevatorTrig				0	0	0	
000B1032	POST_WorkshopSwitchInterval01	Interval Switch		False	0	0	0	
000C01C6	WorkshopPowerConnectorWall01	Wall Power Conduit		False	0	0	0	
000C01D0	WorkshopBell01	Bell		False	0	0	0	
000C4387	Bell_Wall	Bell		False	0	0	0	
000C4444	WorkshopSiren01	Siren		False	0	0	0	
000CFF77	WorkshopPowerInteriorFuseboxNoEdit	Fusebox		False	0	0	0	
000D38D4	WorkshopConstructionLight01	Construction Light		False	0	0	0	
0014293B	WaterCircle1024ExtCranBogDefault				0	0	0	
00145D93	VaultDoorConsole01				0	0	0	
0014EAEA	PrydwynStorageAreaPrimitive				0	0	0	
0014EAEE	PrydwenPowerArmorAreaPrimitive				0	0	0	
0014EAFB	PrydwenBarracksPrimitive				0	0	0	
001643CB	TroughBathWater				0	0	0	
0016B6EB	HitSmHallEndCapSecretDoor01				0	0	0	
00181B39	AshPileRobot01	Ash Pile		False	0	0	0	
00184A4C	SettlementPlayerFallTrigger				0	0	0	
0019D22F	vltelevatorExterior				0	0	0	
001ADC69	WorkshopMirrorBall01	Mirror Ball		False	0	0	0	
001ADC6C	WorkshopJukebox01	Jukebox		False	0	0	0	
001AE23F	PowerLiftMiniCart				0	0	0	
001B2370	RadioBoxAppalachia_On_Clean	Radio		False	0	0	0	
001B44FF	BriefcaseDetonatorAnim01	Detonator		False	0	0	0	
001B5A3B	NatDoorSmSwitch01				0	0	0	
001B6516	MirelurkQueenInteriorSpawnTrigger				0	0	0	
001BA3A0	HamRadioOFF	Ham Radio		False	0	0	0	
001BDDB5	Water1024ExtMurkyDefault				0	0	0	
001BDDBB	WorkshopFastTravelTarget	Fast Travel Target		False	0	0	0	
001C0145	PowerLiftMiniCartMaster				0	0	0	
001C0BE7	Jukebox01Clean	Jukebox		False	0	0	0	
001C2FBC	TheaterHub360RadioSpeaker				0	0	0	
001C3589	Water1024ExtMurkyFlow				0	0	0	
001C3595	Water1024ExtClearPuddle				0	0	0	
001C5A57	WaterCircle1024IntMurkyPuddle				0	0	0	
001C5E6F	Jukebox01	Jukebox		False	0	0	0	
001C642E	DefaultStartSceneTrigger				0	0	0	
001C6BD1	MirelurkQueenGooPile01	Mirelurk Queen Goo Pile		False	0	0	0	
001C6EE1	Water1024ExtMurkyPuddle				0	0	0	
001D03FA	WorkshopDisplay_MagazineRack01	Magazine Rack		False	0	0	0	
001D03FC	WorkshopDisplay_MagazineRack02_DONT_USE	Magazine Rack		False	0	0	0	
001D604E	FallingDustRocksRoom				0	0	0	
001E2173	NumberPuzzleDummy				0	0	0	
001E2EAA	Detonator01	Detonator		False	0	0	0	
001E5FA9	RelayTowerReceiver14	Ham Radio		False	0	0	0	
001E5FAA	RelayTowerReceiver09	Ham Radio		False	0	0	0	
001E5FAB	RelayTowerReceiver04	Ham Radio		False	0	0	0	
001E5FAC	RelayTowerReceiver05	Ham Radio		False	0	0	0	
001E5FAD	RelayTowerReceiver06	Ham Radio		False	0	0	0	
001E5FAE	RelayTowerReceiver08	Ham Radio		False	0	0	0	
001E5FAF	RelayTowerReceiver10	Ham Radio		False	0	0	0	
001E5FB0	RelayTowerReceiver12	Ham Radio		False	0	0	0	
001E5FB1	RelayTowerReceiver13	Ham Radio		False	0	0	0	
001E5FB2	RelayTowerReceiver15	Ham Radio		False	0	0	0	
001E5FB3	RelayTowerReceiver16	Ham Radio		False	0	0	0	
001E5FB4	RelayTowerReceiver17	Ham Radio		False	0	0	0	
001E5FB5	RelayTowerReceiver18	Ham Radio		False	0	0	0	
001E5FB6	RelayTowerReceiver19	Ham Radio		False	0	0	0	
001E61E9	WaterCircle1024IntMurkyDefault				0	0	0	
001E9926	WorkshopTripwireLaser01	Laser Tripwire		False	0	0	0	
001E992A	WorkshopTripwireLaser02	Laser Tripwire		False	0	0	0	
001EB3EE	FXCameraAttachChargenMirror0001				0	0	0	
001ED354	Water1024Bloody				0	0	0	
001F10A3	DefaultMusicTrigger				0	0	0	
001F1E40	KendallHospitalCorpseTrigger				0	0	0	
001F2D32	ModelKit_SentryBot	SentryBot Model Kit		False	0	0	0	
001F3F1F	PaintMixer01				0	0	0	
001F59AC	WorkshopLightbox01	Lightbox		False	0	0	0	
001F6114	UFOCrashStartCombatOnTriggerEnter				0	0	0	
00204142	TrapFlamethrowerDummyCaster		Server Authoritative		0	0	0	
002062D9	POISC20_Trigger				0	0	0	
0020637C	DefaultMusicActivator	Default Activator		False	0	0	0	
00209795	POIHighLevelEncounterEnableTrigger				0	0	0	
002098DC	StrobeLight01Flash				0	0	0	
0020ABE3	MoneyShotPlacedCaps	Caps		False	0	0	0	
0020C28A	WorkshopPowerCounter01	Power Counter		False	0	0	0	
0020CE28	stringHitActivator	stringHitActivator		False	0	0	0	
0020DE62	Vault_WaterFountain01_Rads	Water Fountain		False	0	0	0	
0020E212	DefaultClearLocationOnTrigger				0	0	0	
002105E0	WorkshopPoweredSpeaker01	Powered Speaker		False	0	0	0	
002106B6	FollowerSASTrigger_Warehouse				0	0	0	
00210B68	ModelKit_Eyebot	Eyebot Model Kit		False	0	0	0	
00210B71	POST_WorkshopSwitchDelay01	Delayed On Switch		False	0	0	0	
00212BD2	SandboxLocation_Shaun				0	0	0	
00217820	CastleArtilleryScrap01	Artillery Supplies		False	0	0	0	
00218C3C	RadioFreeStatesReceiver	Radio		False	0	0	0	
0021D474	FloatingPlatformHelperSwingOnly02				0	0	0	
0021E04B	NumberBox01				0	0	0	
0021E04C	NumberBox02				0	0	0	
0021E04D	NumberBox03				0	0	0	
0021E04E	NumberBox04				0	0	0	
0021E04F	NumberBox05				0	0	0	
0021E050	NumberBox06				0	0	0	
0021E051	NumberBox07				0	0	0	
0021E052	NumberBox08				0	0	0	
0021E053	NumberBox09				0	0	0	
0021E054	NumberBox10				0	0	0	
0021E069	NumberPuzzleMaster				0	0	0	
00222F14	POST_WorkshopSwitchDelay02	Delayed Off Switch		False	0	0	0	
002252DE	RotateHelperDefaults01				0	0	0	
002252DF	RotateHelperDefaults010000				0	0	0	
0022BABC	SetdressingGeneratorMedium				0	0	0	
0022BF62	DELETED_PreventPowerArmorExitTrigger	Test No Power Armor Exit Trigger		False	0	0	0	
0022C66B	WorkshopTelevision01	Television		False	0	0	0	
0022C66F	WorkshopTelevision01Table	Television		False	0	0	0	
0022CB4D	ModelKit_MrGutsy	Mr. Gutsy Model Kit		False	0	0	0	
0022CB4E	ModelKit_Parts01	Robot Model Kit Parts		False	0	0	0	
0022CB4F	ModelKit_Parts02	Robot Model Kit Parts		False	0	0	0	
0022CB50	ModelKit_Parts03	Robot Model Kit Parts		False	0	0	0	
0022CB51	ModelKit_Protectron	Protectron Model Kit		False	0	0	0	
0022CB52	ModelKit_MrHandy	Mr. Handy Model Kit		False	0	0	0	
0022D2C3	Workshop_HighTechLightFloor03_Dirty_Orange_On	Lamp		False	0	0	0	
0022D2C4	Workshop_HighTechLightFloor02_Dirty_Cream_On	Lamp		False	0	0	0	
0022D2C5	Workshop_HighTechLightFloor01_Dirty_Cream_On	Lamp		False	0	0	0	
0022D2C8	Workshop_HighTechLightFloor01_Dirty_Orange_On	Lamp		False	0	0	0	
0022D2C9	Workshop_HighTechLightFloor02_Dirty_Orange_On	Lamp		False	0	0	0	
0022D2CD	Workshop_HighTechLightFloor07_On	Lamp		False	0	0	0	
0022D2CF	Workshop_HighTechLightFloor05_On	Lamp		False	0	0	0	
0022D2D1	Workshop_HighTechLightCeiling04_Dirty_Cream_On	Lamp		False	0	0	0	
0022D2D2	Workshop_HighTechLightCeiling06_Dirty_Cream_On	Lamp		False	0	0	0	
0022D2D5	Workshop_HighTechLightCeiling04_Dirty_Orange_On	Lamp		False	0	0	0	
0022D2D6	Workshop_HighTechLightCeiling06_Dirty_Orange_On	Lamp		False	0	0	0	
0022D2D7	Workshop_HighTechLightFloor03_Dirty_Cream_On	Lamp		False	0	0	0	
0022D9D8	WorkshopStrobeLight01	Strobe Light		False	0	0	0	
0022F2D3	DoorGarageDecoActivator01			False	0	0	0	
002377BC	TrapFlamethrower	Flamethrower Trap		False	0	0	0	
002377BD	TrapRadiation	Radiation Emitter		False	0	0	0	
00238599	TurretTripodAshpileCart	Ash Pile		False	0	0	0	
0023859A	TurretTripodAshpile	Ash Pile		False	0	0	0	
0023859B	TurretTripodAshpileMounted	Ash Pile		False	0	0	0	
00239530	WorkshopGeneratorWindmill	Generator - Windmill	Camera Weapon Detectable	False	0	0	0	
0023AD18	FlightAvoidArea				0	0	0	
0023D8FF	vltelevatorExteriorPrewar				0	0	0	
0023E580	POIRocketEngine				0	0	0	
002404BB	WorkshopPowerSource	Circuit Breaker		False	0	0	0	
002408BC	SpectacleIslandPowerSourcePrimitive	Generator		False	0	0	0	
00240A70	WorkshopPowerConnectorFloor01	Floor Power Conduit		False	0	0	0	
00245974	WorkshopHighTechTelevision01	Television		False	0	0	0	
0024626E	WorkshopEatOTronic01Dirty	Eat-o-Tronic		False	0	0	0	
00248526	TrapGunShotgunGrip			False	0	0	0	
00248527	TrapGunAutoGrip			False	0	0	0	
00249198	DefaultUnlockDoorOnTriggerEnter				0	0	0	
0000B8BC	SlabMarkerMedium			False	0	0	0	
0000B8F8	SlabMarkerLarge			False	0	0	0	
0000C30A	SlabMarkerSmall			False	0	0	0	
0000E420	DebugKurtButton01	Detonator		False	0	0	0	
0000F35A	RaidHackMaster	Default Dummy		False	0	0	0	
0000F362	RaidHackJoinAttackerNotification	Stand here to join Attackers.		False	0	0	0	
0000F365	RaidHackJoinDefenderNotification	Stand here to join Defenders.		False	0	0	0	
0000F369	RaidHackLoadoutCQCNotification	Stand here for CQC Loadout		False	0	0	0	
0000F36D	RaidHackLoadoutMediumNotification	Stand here for Medium Range Loadout		False	0	0	0	
0000F371	RaidHackLoadoutLongNotification	Stand here for Long Range Loadout		False	0	0	0	
0000F7CD	TestJayQuestTrigger	Detonator		False	0	0	0	
000125AD	AgCenterQuestSwitch	Switch		False	0	0	0	
000134DD	VSTempResourceCollectorActivator	Resource Collector		False	0	0	0	
00013DAA	test_workshop_ShackWallOuter01A_TestDestruction	Test Destruction Shack Wall		False	0	0	0	
00013FF9	CameraAttachDustToxicLake				0	0	0	
0001596B	workshop_ShackWallFlat_DestructA	Test Destruction Wall		False	0	0	0	
00011A41	CameraAttachCoalFXSmokeWisps				0	0	0	
00011A44	CameraAttachCoalFXSparksWindy				0	0	0	
00017F68	SQ_AirDropMarker				0	0	0	
000361DF	FF_Small01_Trigger				0	0	0	
0008AACB	RelayTowerButton01	Button		False	0	0	0	
0008C5B1	RelayTowerLootCacheActivator	Loot Cache		False	0	0	0	
00004034	SwampGasBubble01				0	0	0	
00004C44	CB_Mine_DropSite01	Drop Site 01		False	0	0	0	
00098953	Mine_Controller				0	0	0	
00098963	CB_Mine_EntranceClosed	Collapsed Tunnel		False	0	0	0	
0009896B	CB_Mine_DropSite02	Drop Site 02		False	0	0	0	
0009896C	CB_Mine_DropSite03	Drop Site 03		False	0	0	0	
0010A3A4	CB_Mine_DefenderSpawner				0	0	0	
0010961A	ResponderRadio				0	0	0	
0010D461	DefaultShowMessageOnTriggerEnter				0	0	0	
0010D462	test_MPScriptTestClientEventKeywordButton	Client Event Keyword: Only this Client should see the reference appear.		False	0	0	0	
0010D467	test_MPScriptTestServertEventKeywordButton	Server Event Keyword: All Clients should see the reference appear.		False	0	0	0	
0010D46B	test_MPScriptTestClientFunctionKeywordButton	Client Function Keyword: Only this Client should see the reference appear.		False	0	0	0	
0010D46F	test_MPScriptTestServerFunctionKeywordButton	Server Function Keyword: All Clients should see the reference appear.		False	0	0	0	
0010D473	test_MPScriptTestClientBroadcastKeywordButton	ClientBroadcast Keyword: All Clients should see the reference appear.		False	0	0	0	
0010D477	test_MPScriptTestSyncPropertyKeywordButton	Sync Property Keyword: All Clients should see both references appear.		False	0	0	0	
0010F2E9	DLC01MechSecretDoor01				0	0	0	
0010F30D	MacMechTrackArmD01				0	0	0	
0010F430	MacRoboBrainInterface01				0	0	0	
0010F432	RoboBrainActivator01				0	0	0	
0010F547	MechBlastDoors01				0	0	0	
0010F548	MechRampDoors01				0	0	0	
0010FF2E	WorkshopCyclingLightbulb01	Cycling Light		False	0	0	0	
0010FFB3	DLC02WorkshopNeonLightSign-AnimatedOpen	Neon Sign - Open		False	0	0	0	
0010FFB8	DLC02WorkshopNeonLightLetter01-Blue-A	Neon Letter - A		False	0	0	0	
0010FFB9	DLC02WorkshopNeonLightLetter01-Blue-B	Neon Letter - B		False	0	0	0	
0010FFBA	DLC02WorkshopNeonLightLetter01-Blue-C	Neon Letter - C		False	0	0	0	
0010FFBB	DLC02WorkshopNeonLightLetter01-Red-A	Neon Letter - A		False	0	0	0	
0010FFBC	DLC02WorkshopNeonLightLetter01-White-A	Neon Letter - A		False	0	0	0	
0010FFBD	DLC02WorkshopNeonLightLetter01-Blue-E	Neon Letter - E		False	0	0	0	
0010FFBE	DLC02WorkshopNeonLightLetter01-Blue-H	Neon Letter - H		False	0	0	0	
