FormID	EDID	NAM1_ActorValue	NAM2_Produce	NAM4_Interval	ReferencedByCount	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6	Ref7	Ref8	Ref9	Ref10	Ref11	Ref12	Ref13	Ref14	Ref15	Ref16	Ref17	Ref18	Ref19	Ref20	Ref21	Ref22	Ref23	Ref24	Ref25	Ref26	Ref27	Ref28	Ref29	Ref30
0008ECF4	ScavengeResource	ResourceAV_Scavenge "Scavenge" [AVIF:000897C2]	WorkshopProduceScavenge [LVLI:00026839]	ResourceProductionIntervalHoursScavenge [GLOB:0037A23C]	30	000089B9:SunshineMeadowsWorkshopRef:REFR	0000DC5B:TestWorkshopRef:REFR	0001FCAD:LakesideCabinsWorkshopRef:REFR	0003056F:BerkeleySpringsWorkshopRef:REFR	00088ACF:TylerCountyTrackWorkshopRef:REFR	0009A911:GorgeJunkyardWorkshopRef:REFR	0013B821::REFR	0014778B:GraftonSteelWorkshopRef:REFR	001477BB:ThunderMountainWorkshopRef:REFR	001477D9:MunitionsFactoryWorkshopRef:REFR	001843FC:MountBlairWorkshopRef:REFR	00188B82::REFR	0020106D:BeckleyWorkshopRef:REFR	00289B25:CharlestonLandfillWorkshopRef:REFR	00289B2C::REFR	00289B41:DabneyHomesteadWorkshopRef:REFR	0029C4C9:FederalDisposalFieldWorkshopRef:REFR	0029E785::REFR	002B5D44:MonongahWorkshopRef:REFR	002D13E0:DollySodsWorkshopRef:REFR	0030AC78:WadeAirportWorkshopRef:REFR	00319B7D:HemlockHolesWorkshopRef:REFR	0031BAA5:AbandonedBogTownWorkshopRef:REFR	00342749:RedRocketMegaStopWorkshopRef:REFR	003BD137:PoseidonEnergyWorkshopRef:REFR	0044D2E1::REFR	0059ABC5::REFR	0059ABC6::REFR	005C2871::REFR	007F67E3:StarlightDriveinWorkshopRef:REFR
0008ECF6	SteelResource	ResourceAV_Steel "Steel" [AVIF:000897B0]	WorkshopProduceSteel [LVLI:000897E8]	ResourceProductionIntervalHoursCommon [GLOB:0044AF5B]	8	0000DC5B:TestWorkshopRef:REFR	00088ACF:TylerCountyTrackWorkshopRef:REFR	0013B821::REFR	0014778B:GraftonSteelWorkshopRef:REFR	001477BB:ThunderMountainWorkshopRef:REFR	00289B25:CharlestonLandfillWorkshopRef:REFR	00342749:RedRocketMegaStopWorkshopRef:REFR	0044D2E1::REFR																						
002FD8DE	SilverResource	ResourceAV_Silver "Silver" [AVIF:002FD8DD]	WorkshopProduceSilver_Ore [LVLI:0054B436]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	10	0000DC5B:TestWorkshopRef:REFR	0001FCAD:LakesideCabinsWorkshopRef:REFR	00088ACF:TylerCountyTrackWorkshopRef:REFR	0013B821::REFR	001477D9:MunitionsFactoryWorkshopRef:REFR	002B5D44:MonongahWorkshopRef:REFR	0030AC78:WadeAirportWorkshopRef:REFR	0031BAA5:AbandonedBogTownWorkshopRef:REFR	0044D2E1::REFR	007F67E3:StarlightDriveinWorkshopRef:REFR																				
0033E202	AshResource	ResourceAV_Ash "Ash" [AVIF:0033E201]	WorkshopProduceAsh [LVLI:0033E207]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	6	0000DC5B:TestWorkshopRef:REFR	0013B821::REFR	001843FC:MountBlairWorkshopRef:REFR	0020106D:BeckleyWorkshopRef:REFR	00289B25:CharlestonLandfillWorkshopRef:REFR	0044D2E1::REFR																								
003B2535	AmmoResource45caliber	ResourceAV_Ammo45caliber "Ammo" [AVIF:003B2523]	WorkshopProduceAmmo45Caliber [LVLI:003B252C]	ResourceProductionIntervalHoursAmmo [GLOB:003E8F48]	1	001477D9:MunitionsFactoryWorkshopRef:REFR																													
003B253C	AmmoResourcePlasmaCartridge	ResourceAV_AmmoPlasmaCartridge "Ammo" [AVIF:003B252A]	WorkshopProduceAmmoPlasmaCartridge [LVLI:003B2532]	ResourceProductionIntervalHoursAmmo [GLOB:003E8F48]	1	001477D9:MunitionsFactoryWorkshopRef:REFR																													
003B253B	AmmoResourceShotgunShell	ResourceAV_AmmoShotgunShell "Ammo" [AVIF:003B2529]	WorkshopProduceAmmoShotgunShell [LVLI:003B2533]	ResourceProductionIntervalHoursAmmo [GLOB:003E8F48]	1	001477D9:MunitionsFactoryWorkshopRef:REFR																													
003B2536	AmmoResource50caliber	ResourceAV_Ammo50caliber "Ammo" [AVIF:003B2524]	WorkshopProduceAmmo50Caliber [LVLI:003B252D]	ResourceProductionIntervalHoursAmmo [GLOB:003E8F48]	1	001477D9:MunitionsFactoryWorkshopRef:REFR																													
003B2534	AmmoResource44caliber	ResourceAV_Ammo44caliber "Ammo" [AVIF:003B2522]	WorkshopProduceAmmo44Caliber [LVLI:003B252B]	ResourceProductionIntervalHoursAmmo [GLOB:003E8F48]	1	001477D9:MunitionsFactoryWorkshopRef:REFR																													
003B2539	AmmoResourceFusionCell	ResourceAV_AmmoFusionCell "Ammo" [AVIF:003B2527]	WorkshopProduceAmmoFusionCell [LVLI:003B2530]	ResourceProductionIntervalHoursAmmo [GLOB:003E8F48]	1	001477D9:MunitionsFactoryWorkshopRef:REFR																													
003B2538	AmmoResource5mm	ResourceAV_Ammo5mm "Ammo" [AVIF:003B2526]	WorkshopProduceAmmo5mm [LVLI:003B252F]	ResourceProductionIntervalHoursAmmo [GLOB:003E8F48]	1	001477D9:MunitionsFactoryWorkshopRef:REFR																													
003B2537	AmmoResource556	ResourceAV_Ammo556 "Ammo" [AVIF:003B2525]	WorkshopProduceAmmo556 [LVLI:003B252E]	ResourceProductionIntervalHoursAmmo [GLOB:003E8F48]	1	001477D9:MunitionsFactoryWorkshopRef:REFR																													
003B253A	AmmoResourceGammaCell	ResourceAV_AmmoGammaCell "Ammo" [AVIF:003B2528]	WorkshopProduceAmmoGammaCell [LVLI:003B2531]	ResourceProductionIntervalHoursAmmo [GLOB:003E8F48]	1	001477D9:MunitionsFactoryWorkshopRef:REFR																													
003B2546	AmmoResource10mm	ResourceAV_Ammo10mm "Ammo" [AVIF:003B254B]	WorkshopProduceAmmo10mm [LVLI:003B253D]	ResourceProductionIntervalHoursAmmo [GLOB:003E8F48]	4	0000DC5B:TestWorkshopRef:REFR	0013B821::REFR	001477D9:MunitionsFactoryWorkshopRef:REFR	0044D2E1::REFR																										
003B2544	AmmoResource38caliber	ResourceAV_Ammo38caliber "Ammo" [AVIF:003B254C]	WorkshopProduceAmmo38Caliber [LVLI:003B253F]	ResourceProductionIntervalHoursAmmo [GLOB:003E8F48]	4	0000DC5B:TestWorkshopRef:REFR	0013B821::REFR	001477D9:MunitionsFactoryWorkshopRef:REFR	0044D2E1::REFR																										
003B2545	AmmoResource308caliber	ResourceAV_Ammo308caliber "Ammo" [AVIF:003B254A]	WorkshopProduceAmmo308Caliber [LVLI:003B253E]	ResourceProductionIntervalHoursAmmo [GLOB:003E8F48]	4	0000DC5B:TestWorkshopRef:REFR	0013B821::REFR	001477D9:MunitionsFactoryWorkshopRef:REFR	0044D2E1::REFR																										
003C4E11	JunkResource	ATX_ResourceAV_Collectron_Junk "Junk" [AVIF:003C3FA4]	WorkshopProduceScavenge [LVLI:00026839]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	8	000089B9:SunshineMeadowsWorkshopRef:REFR	0000DC5B:TestWorkshopRef:REFR	00088ACF:TylerCountyTrackWorkshopRef:REFR	0009A911:GorgeJunkyardWorkshopRef:REFR	001477D9:MunitionsFactoryWorkshopRef:REFR	00289B25:CharlestonLandfillWorkshopRef:REFR	00289B41:DabneyHomesteadWorkshopRef:REFR	00342749:RedRocketMegaStopWorkshopRef:REFR																						
003C4E10	FertilizerBrahminResource	ResourceAV_FertilizerBrahmin "Fertilizer" [AVIF:000897B2]	WorkshopProduceFertilizer [LVLI:00249BEB]	ResourceProductionIntervalHoursBrahmin [GLOB:003C4E0F]	29	000089B9:SunshineMeadowsWorkshopRef:REFR	0000DC5B:TestWorkshopRef:REFR	0001FCAD:LakesideCabinsWorkshopRef:REFR	0003056F:BerkeleySpringsWorkshopRef:REFR	00088ACF:TylerCountyTrackWorkshopRef:REFR	0009A911:GorgeJunkyardWorkshopRef:REFR	0013B821::REFR	0014778B:GraftonSteelWorkshopRef:REFR	001477BB:ThunderMountainWorkshopRef:REFR	001477D9:MunitionsFactoryWorkshopRef:REFR	001843FC:MountBlairWorkshopRef:REFR	00188B82::REFR	0020106D:BeckleyWorkshopRef:REFR	00289B25:CharlestonLandfillWorkshopRef:REFR	00289B2C::REFR	00289B41:DabneyHomesteadWorkshopRef:REFR	0029C4C9:FederalDisposalFieldWorkshopRef:REFR	0029E785::REFR	002B5D44:MonongahWorkshopRef:REFR	002D13E0:DollySodsWorkshopRef:REFR	0030AC78:WadeAirportWorkshopRef:REFR	00319B7D:HemlockHolesWorkshopRef:REFR	0031BAA5:AbandonedBogTownWorkshopRef:REFR	00342749:RedRocketMegaStopWorkshopRef:REFR	003BD137:PoseidonEnergyWorkshopRef:REFR	0044D2E1::REFR	0059ABC5::REFR	0059ABC6::REFR	005C2871::REFR	
003CA907	OreMountBlairResource	ResourceAV_Ore_MountBlair "Ore" [AVIF:003CA906]	WorkshopProduceOre_MountBlair [LVLI:003CA908]	ResourceProductionIntervalHoursOreMountBlair [GLOB:003CA909]	4	0000DC5B:TestWorkshopRef:REFR	0013B821::REFR	001843FC:MountBlairWorkshopRef:REFR	0044D2E1::REFR																										
003EB3D1	FusionCoreResource	ResourceAV_FusionCore "Fusion Core" [AVIF:003EB3CE]	WorkshopProduceFusionCore [LVLI:003EB3D2]	ResourceProductionIntervalHoursFusionCore [GLOB:003EB3D0]	3	001477BB:ThunderMountainWorkshopRef:REFR	002B5D44:MonongahWorkshopRef:REFR	003BD137:PoseidonEnergyWorkshopRef:REFR																											
004DE22D	CoalResource	ResourceAV_Coal "Coal" [AVIF:00322D4B]	WorkshopProduceCoal [LVLI:004DE22C]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	3	0000DC5B:TestWorkshopRef:REFR	0013B821::REFR	0044D2E1::REFR																											
004DE230	WoodResource	ResourceAV_Wood "Wood" [AVIF:00018781]	WorkshopProduceWood [LVLI:00294337]	ResourceProductionIntervalHoursCommon [GLOB:0044AF5B]	9	0000DC5B:TestWorkshopRef:REFR	0001FCAD:LakesideCabinsWorkshopRef:REFR	0009A911:GorgeJunkyardWorkshopRef:REFR	0013B821::REFR	001477BB:ThunderMountainWorkshopRef:REFR	00289B41:DabneyHomesteadWorkshopRef:REFR	002B5D44:MonongahWorkshopRef:REFR	002D13E0:DollySodsWorkshopRef:REFR	0044D2E1::REFR																					
004DE22F	TitaniumResource	ResourceAV_Titanium "Titanium" [AVIF:00322D4C]	WorkshopProduceTitanium [LVLI:004DE22E]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	4	0000DC5B:TestWorkshopRef:REFR	0009A911:GorgeJunkyardWorkshopRef:REFR	0013B821::REFR	0044D2E1::REFR																										
003D1021	FoodPackagedResource03	ResourceAV_FoodPackaged03 "Food" [AVIF:003D1018]	WorkshopProduceFood03 [LVLI:003D101B]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	1	000089B9:SunshineMeadowsWorkshopRef:REFR																													
003D101F	FoodPackagedResource01	ResourceAV_FoodPackaged01 "Food" [AVIF:003D1015]	WorkshopProduceFood01 [LVLI:003D101D]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	1	000089B9:SunshineMeadowsWorkshopRef:REFR																													
003D101A	FoodPackagedResource00	ResourceAV_FoodPackaged00 "Packaged Food" [AVIF:003D1012]	WorkshopProduceFood00 [LVLI:003D101E]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	1	000089B9:SunshineMeadowsWorkshopRef:REFR																													
003D1022	FoodPackagedResource04	ResourceAV_FoodPackaged04 "Food" [AVIF:003D1019]	WorkshopProduceFood04 [LVLI:003D1016]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	1	000089B9:SunshineMeadowsWorkshopRef:REFR																													
003D1020	FoodPackagedResource02	ResourceAV_FoodPackaged02 "Food" [AVIF:003D1017]	WorkshopProduceFood02 [LVLI:003D101C]	ResourceProductionIntervalHoursDefault [GLOB:0037A23A]	1	000089B9:SunshineMeadowsWorkshopRef:REFR																													
0054B41D	ScrapResourceCeramic	ResourceAV_Ceramic_Scrap "Ceramic Scrap" [AVIF:0054B410]	WorkshopProduceCeramic_Scrap [LVLI:0054B42A]	ResourceProductionIntervalHoursCeramic_Scrap [GLOB:0054B439]	0																														
0054B41F	ScrapResourceCloth	ResourceAV_Cloth_Scrap "Raw Cloth" [AVIF:0054B412]	WorkshopProduceCloth_Scrap [LVLI:0054B42C]	ResourceProductionIntervalHoursCloth_Scrap [GLOB:0054B43B]	0																														
0054B420	ScrapResourceCrystal	ResourceAV_Crystal_Scrap "Crystal Shards" [AVIF:0054B413]	WorkshopProduceCrystal_Scrap [LVLI:0054B42D]	ResourceProductionIntervalHoursCrystal_Scrap [GLOB:0054B43D]	0																														
0054B41E	ScrapResourceAluminum	ResourceAV_Aluminum_Scrap "Aluminum Scrap" [AVIF:0054B411]	WorkshopProduceAluminum_Scrap [LVLI:0054B42B]	ResourceProductionIntervalHoursAluminum_Scrap [GLOB:0054B438]	0																														
0054B418	ScrapResourceGears	ResourceAV_Gears_Scrap "Loose Gears" [AVIF:0054B40B]	WorkshopProduceGears_Scrap [LVLI:0054B425]	ResourceProductionIntervalHoursGears_Scrap [GLOB:0054B43F]	0																														
0054B423	ScrapResourceOil	ResourceAV_Oil_Scrap "Waste Oil" [AVIF:0054B416]	WorkshopProduceOil_Scrap [LVLI:0054B430]	ResourceProductionIntervalHoursOil_Scrap [GLOB:0054B441]	0																														
0054B434	ScrapResourceCopper	ResourceAV_Copper_Scrap "Copper" [AVIF:0054B437]	WorkshopProduceCopper [LVLI:00089807]	ResourceProductionIntervalHoursCopper_Scrap [GLOB:0054B43C]	0																														
0054B41C	ScrapResourceRubber	ResourceAV_Rubber_Scrap "Raw Rubber" [AVIF:0054B40F]	WorkshopProduceRubber_Scrap [LVLI:0054B429]	ResourceProductionIntervalHoursRubber_Scrap [GLOB:0054B447]	0																														
0054B41B	ScrapResourcePlastic	ResourceAV_Plastic_Scrap "Molded Plastic" [AVIF:0054B40E]	WorkshopProducePlastic_Scrap [LVLI:0054B428]	ResourceProductionIntervalHoursPlastic_Scrap [GLOB:0054B442]	0																														
0054B41A	ScrapResourceSprings	ResourceAV_Springs_Scrap "Loose Spring" [AVIF:0054B40D]	WorkshopProduceSprings_Scrap [LVLI:0054B427]	ResourceProductionIntervalHoursSprings_Scrap [GLOB:0054B445]	0																														
0054B421	ScrapResourceFiberglass	ResourceAV_Fiberglass_Scrap "Fiberglass Spool" [AVIF:0054B414]	WorkshopProduceFiberglass_Scrap [LVLI:0054B42E]	ResourceProductionIntervalHoursFiberglass_Scrap [GLOB:0054B43E]	0																														
0054B433	ScrapResourceSilver	ResourceAV_Silver_Scrap "Silver" [AVIF:0054B435]	WorkshopProduceSilver_Scrap [LVLI:002932BC]	ResourceProductionIntervalHoursSilver_Scrap [GLOB:0054B444]	0																														
0054B432	ScrapResourceGold	ATX_ResourceAV_Collectron_Gold_Scrap "Gold" [AVIF:0054B431]	WorkshopProduceGold [LVLI:000897E2]	ResourceProductionIntervalHoursGold_Scrap [GLOB:0054B440]	0																														
0054B417	ScrapResourceScrews	ResourceAV_Screws_Scrap "Loose Screws" [AVIF:0054B40A]	ATX_CNone_Collectron_Screws_Scrap [LVLI:0054B424]	ResourceProductionIntervalHoursScrews_Scrap [GLOB:0054B443]	0																														
0054B422	ScrapResourceFiberOptics	ResourceAV_FiberOptics_Scrap "Fiber Optics Bundle" [AVIF:0054B415]	WorkshopProduceFiberOptics_Scrap [LVLI:0054B42F]	ResourceProductionIntervalHoursFiberOptics_Scrap [GLOB:0054B446]	1	007F67E3:StarlightDriveinWorkshopRef:REFR																													
0054B419	ScrapResourceCircuitry	ResourceAV_Circuitry_Scrap "Crystal Shards" [AVIF:0054B40C]	WorkshopProduceCircuitry_Scrap [LVLI:0054B426]	ResourceProductionIntervalHoursCircuitry_Scrap [GLOB:0054B43A]	1	007F67E3:StarlightDriveinWorkshopRef:REFR																													
00412205	PETS_Cat_PlayerGifts_Resource	PETS_Cat_PlayerGifts_ResourceCollectorAV [AVIF:00412206]	PETS_Cat_PlayerGifts_LL_Tier1 [LVLI:00411B77]	PETS_PlayerGifts_ResourceProductionInterval_Default [GLOB:00412207]	5	00188B82::REFR	0029E785::REFR	0059ABC5::REFR	0059ABC6::REFR	005C2871::REFR																									
00424571	PETS_Dog_PlayerGifts_Resource	PETS_Dog_PlayerGifts_ResourceCollectorAV [AVIF:00424566]	PETS_Dog_PlayerGifts_LL_Tier1 [LVLI:0042456E]	PETS_PlayerGifts_ResourceProductionInterval_Default [GLOB:00412207]	5	00188B82::REFR	0029E785::REFR	0059ABC5::REFR	0059ABC6::REFR	005C2871::REFR																									
0055417E	ATX_Resource_FreeStates_Collectron	ATX_ResourceAV_Collectron_Raider "Scavenged Items" [AVIF:005698B7]	ATX_Resources_Collectron_Raider [LVLI:005698B8]	ATX_ResourceProductionIntervalHours_Collectron_FreeStates [GLOB:00555DB0]	0																														
0055417B	JunkResource_Collector	ATX_ResourceAV_Collectron_Junk_Collector "Junk" [AVIF:0055417A]	ATX_Resources_Collectron_Junk [LVLI:00555D8E]	ATX_ResourceProductionIntervalHours_Collectron_Junk [GLOB:00555DAF]	0																														
00554176	ATX_Resource_Scrap_CollectronAll	ATX_ResourceAV_Collectron_Scrap_All "Scavenged Items" [AVIF:00554177]	ATX_Resources_Collectron_Scrap [LVLI:00554178]	ATX_ResourceProductionIntervalHours_Collectron_Scrap [GLOB:00555DAE]	0																														
005698C8	ATX_Resource_Raider_Collectron_MeleeAndAmmo	ATX_ResourceAV_Collectron_Raider_MeleeAndAmmo "Scavenged Items" [AVIF:005698C9]	ATX_Resources_Collectron_Raider_WeaponsAndAmmo [LVLI:005698C7]	ATX_ResourceProductionIntervalHours_Collectron_Raider_MeleeAndAmmo [GLOB:005698CA]	0																														
005698C3	ATX_Resource_Raider_Collectron_AlcoholAndChems	ATX_ResourceAV_Collectron_Raider_AlcoholAndChems "Scavenged Items" [AVIF:005698C4]	ATX_Resources_Collectron_Raider_AlcoholAndChems [LVLI:005698C6]	ATX_ResourceProductionIntervalHours_Collectron_Raider_AlcoholAndChems [GLOB:005698C5]	0																														
005698B9	ATX_Resource_Raider_Collectron	ATX_ResourceAV_Collectron_Raider "Scavenged Items" [AVIF:005698B7]	ATX_Resources_Collectron_Raider [LVLI:005698B8]	ATX_ResourceProductionIntervalHours_Collectron_Raider [GLOB:005698BA]	0																														
