OMOD_FormID	OMOD_EDID	PropIndex	ValueType	FunctionType	PropertyName	Value1	Value2	CurveTable
00002709	76Bot_Hand_MrHandy_Weap_Watersprayer_Left	1	FormID,Int	ADD	Forced Inventory	crDLC01BotWeapMrHandy_Flamethrower_Left ""Flamethrower"" [WEAP:0010EB6A]	1	NULL - Null Reference [00000000]
0000270A	76Bot_Hand_MrHandy_Weap_Watersprayer_Right	0	FormID,Int	ADD	Keywords	bot_HasHandRight """" [KYWD:00231EA4]	2	NULL - Null Reference [00000000]
0000270A	76Bot_Hand_MrHandy_Weap_Watersprayer_Right	1	FormID,Int	ADD	Forced Inventory	crDLC01BotWeapMrHandy_Flamethrower_Right ""Flamethrower"" [WEAP:0010EB6C]	1	NULL - Null Reference [00000000]
0000283E	mod_melee_PickAxe_Sharp	0	FormID,Int	ADD	Keywords	dn_HasMeleeMod_Blades """" [KYWD:0006908B]	2	NULL - Null Reference [00000000]
0000283E	mod_melee_PickAxe_Sharp	1	FormID,Int	ADD	Enchantments	EnchWeapModBleed_PickAxe ""Bleed"" [ENCH:00822A6C]	1	NULL - Null Reference [00000000]
0000469C	mod_10mm_Barrel_Long_Base	0	FormID,Int	ADD	Keywords	remapNode """" [KYWD:0004F62C]	2	NULL - Null Reference [00000000]
0000469C	mod_10mm_Barrel_Long_Base	1	FormID,Int	ADD	Keywords	dn_HasBarrel_Long """" [KYWD:00025014]	2	NULL - Null Reference [00000000]
000046AE	mod_10mm_Barrel_Long_HipAccuracy	0	FormID,Int	ADD	Keywords	remapNode """" [KYWD:0004F62C]	2	NULL - Null Reference [00000000]
000046AE	mod_10mm_Barrel_Long_HipAccuracy	1	FormID,Int	ADD	Keywords	dn_HasBarrel_Long """" [KYWD:00025014]	2	NULL - Null Reference [00000000]
00004759	mod_10mm_Barrel_Long_Recoil	0	FormID,Int	ADD	Keywords	remapNode """" [KYWD:0004F62C]	2	NULL - Null Reference [00000000]
00004759	mod_10mm_Barrel_Long_Recoil	1	FormID,Int	ADD	Keywords	dn_HasBarrel_Long """" [KYWD:00025014]	2	NULL - Null Reference [00000000]
0000475A	mod_10mm_Barrel_Long_Recoil-HipAccuracy	0	FormID,Int	ADD	Keywords	remapNode """" [KYWD:0004F62C]	2	NULL - Null Reference [00000000]
0000475A	mod_10mm_Barrel_Long_Recoil-HipAccuracy	1	FormID,Int	ADD	Keywords	dn_HasBarrel_Long """" [KYWD:00025014]	2	NULL - Null Reference [00000000]
0000703F	CUT_mod_melee_CultistDagger	0	Float	MUL+ADD	AttackDamage	0.750000	0.000000	NULL - Null Reference [00000000]
0000703F	CUT_mod_melee_CultistDagger	1	Float	MUL+ADD	Value	0.750000	0.000000	NULL - Null Reference [00000000]
0000703F	CUT_mod_melee_CultistDagger	2	FormID,Int	ADD	Keywords	dn_HasMeleeMod_SerratedStealth """" [KYWD:0013AD45]	2	NULL - Null Reference [00000000]
0000703F	CUT_mod_melee_CultistDagger	3	FormID,Float	ADD	ActorValues	STAT_SneakAttackBonus ""Sneak Attack Damage"" [AVIF:006E1052]	50.000000	NULL - Null Reference [00000000]
000070B7	POST-mod_PowerArmor_T60_Material_Paint_President	0	FormID,Int	ADD	Keywords	dn_HasMaterial_President """" [KYWD:00007365]	2	NULL - Null Reference [00000000]
000070B7	POST-mod_PowerArmor_T60_Material_Paint_President	1	Float	MUL+ADD	Weight	0.050000	0.000000	NULL - Null Reference [00000000]
000070B7	POST-mod_PowerArmor_T60_Material_Paint_President	2	Float	MUL+ADD	Value	0.100000	0.000000	NULL - Null Reference [00000000]
000070B7	POST-mod_PowerArmor_T60_Material_Paint_President	3	FormID,Int	SET	Material Swaps	mat_PA_T60_President """" [MSWP:00003AAA]	3	NULL - Null Reference [00000000]
000073C3	mod_PowerArmor_Ultracite_RightArm_Material_Paint_Default	0	FormID,Int	ADD	Keywords	dn_HasMaterial_PA_Standard """" [KYWD:0047AA65]	2	NULL - Null Reference [00000000]
000073C3	mod_PowerArmor_Ultracite_RightArm_Material_Paint_Default	1	Enum	SET	Body Part	8	00 00 00 00	NULL - Null Reference [00000000]
0000E972	mod_MoleMinerGauntlet_3Blades	0	FormID,Int	ADD	Keywords	dn_HasMeleeMod_BladesLarge """" [KYWD:0006908C]	2	NULL - Null Reference [00000000]
0000E972	mod_MoleMinerGauntlet_3Blades	1	FormID,Int	ADD	Enchantments	EnchWeapModBleed_MoleMinerGaunlet ""Bleed"" [ENCH:00822A86]	1	NULL - Null Reference [00000000]
0000F0FD	mod_PowerArmor_Ultracite_LeftArm_Material_Paint_Default	0	FormID,Int	ADD	Keywords	dn_HasMaterial_PA_Standard """" [KYWD:0047AA65]	2	NULL - Null Reference [00000000]
0000F0FD	mod_PowerArmor_Ultracite_LeftArm_Material_Paint_Default	1	Enum	SET	Body Part	6	00 00 00 00	NULL - Null Reference [00000000]
00011BF7	mod_GatlingGun_Receiver_Standard	0	FormID,Int	ADD	Keywords	dn_HasReceiver_Standard """" [KYWD:00163038]	2	NULL - Null Reference [00000000]
00011BF8	mod_GatlingGun_Receiver_Speed	0	Float	SET	Speed	1.250000	0.000000	NULL - Null Reference [00000000]
00011BF8	mod_GatlingGun_Receiver_Speed	1	Float	MUL+ADD	Value	0.200000	0.000000	NULL - Null Reference [00000000]
00011BF8	mod_GatlingGun_Receiver_Speed	2	Float	MUL+ADD	Weight	0.100000	0.000000	NULL - Null Reference [00000000]
00011BF8	mod_GatlingGun_Receiver_Speed	3	FormID,Int	ADD	Keywords	dn_HasReceiver_Standard """" [KYWD:00163038]	2	NULL - Null Reference [00000000]
00011BF8	mod_GatlingGun_Receiver_Speed	4	Int	ADD	Durability	-5	0	NULL - Null Reference [00000000]
00011BFC	mod_GatlingGun_Barrel_short	0	FormID,Int	ADD	Keywords	remapNode """" [KYWD:0004F62C]	2	NULL - Null Reference [00000000]
00011BFC	mod_GatlingGun_Barrel_short	1	FormID,Int	ADD	Keywords	dn_HasBarrel_Short """" [KYWD:00025017]	2	NULL - Null Reference [00000000]
00011BFE	mod_GatlingGun_Barrel_Long	0	FormID,Int	ADD	Keywords	dn_HasBarrel_Long """" [KYWD:00025014]	2	NULL - Null Reference [00000000]
00011BFF	mod_GatlingGun_Magazine_Standard	0	FormID,Int	ADD	Keywords	dn_HasMag_Medium """" [KYWD:00163048]	2	NULL - Null Reference [00000000]
00011C01	mod_GatlingGun_Magazine_ExtraLarge	0	FormID,Int	ADD	Keywords	dn_HasMag_Large """" [KYWD:00094637]	2	NULL - Null Reference [00000000]
00011C01	mod_GatlingGun_Magazine_ExtraLarge	1	FormID,Int	ADD	Keywords	AnimsLargeMag """" [KYWD:0003F89B]	2	NULL - Null Reference [00000000]
00011C03	mod_GatlingGun_Scope_SightsIron	0	FormID,Int	ADD	Keywords	dn_HasScope_IronSights """" [KYWD:0016304F]	2	NULL - Null Reference [00000000]
00011C0C	mod_GatlingGun_Scope_SightsImprovedIron	0	FormID,Int	ADD	Keywords	dn_HasScope_IronSights """" [KYWD:0016304F]	2	NULL - Null Reference [00000000]
00011C0C	mod_GatlingGun_Scope_SightsImprovedIron	1	FormID,Int	ADD	Keywords	dn_HasScope_IronSightsImproved """" [KYWD:00238451]	2	NULL - Null Reference [00000000]
00011C0C	mod_GatlingGun_Scope_SightsImprovedIron	2	Float	ADD	ZoomDataCameraOffsetX	-5.600000	0.000000	NULL - Null Reference [00000000]
00011C0C	mod_GatlingGun_Scope_SightsImprovedIron	3	Float	ADD	ZoomDataCameraOffsetY	3.000000	0.000000	NULL - Null Reference [00000000]
00011C0C	mod_GatlingGun_Scope_SightsImprovedIron	4	Float	ADD	ZoomDataCameraOffsetZ	-5.180000	0.000000	NULL - Null Reference [00000000]
00011F4A	mod_GatlingGun_Grip_Better1	0	FormID,Int	ADD	Keywords	dn_HasGrip_Better1 """" [KYWD:00100E39]	2	NULL - Null Reference [00000000]
00017DF9	mod_PowerArmor_Ultracite_RightLeg_Material_Paint_Default	0	FormID,Int	ADD	Keywords	dn_HasMaterial_PA_Standard """" [KYWD:0047AA65]	2	NULL - Null Reference [00000000]
00017DF9	mod_PowerArmor_Ultracite_RightLeg_Material_Paint_Default	1	Enum	SET	Body Part	13	00 00 00 00	NULL - Null Reference [00000000]
00017EE1	mod_PowerArmor_Ultracite_LeftLeg_Material_Paint_Default	0	FormID,Int	ADD	Keywords	dn_HasMaterial_PA_Standard """" [KYWD:0047AA65]	2	NULL - Null Reference [00000000]
00017EE1	mod_PowerArmor_Ultracite_LeftLeg_Material_Paint_Default	1	Enum	SET	Body Part	10	00 00 00 00	NULL - Null Reference [00000000]
0001EC4E	mod_GatlingPlasma_Receiver_Standard	0	FormID,Int	ADD	Keywords	dn_HasReceiver_Standard """" [KYWD:00163038]	2	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	0	Float	MUL+ADD	MinRange	0.150000	0.000000	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	1	Float	MUL+ADD	MaxRange	0.150000	0.000000	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	2	Float	MUL+ADD	Value	0.200000	0.000000	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	3	Float	MUL+ADD	Weight	0.200000	0.000000	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	4	FormID,Int	ADD	Keywords	dn_HasMuzzleFocuser """" [KYWD:000D70BC]	2	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	5	FormID,Int	ADD	Keywords	remapNode_FLAPMOVE1_P-FLAPMOVE1 """" [KYWD:00085B01]	2	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	6	FormID,Int	ADD	Keywords	remapNode_FLAPMOVE2_P-FLAPMOVE2 """" [KYWD:00085B03]	2	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	7	FormID,Int	ADD	Keywords	remapNode_FLAPMOVE3_P-FLAPMOVE3 """" [KYWD:00085B04]	2	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	8	FormID,Int	ADD	Keywords	remapNode_FLAPMOVE4_P-FLAPMOVE4 """" [KYWD:00085B05]	2	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	9	FormID,Int	ADD	Keywords	remapNode_FLAPMOVE5_P-FLAPMOVE5 """" [KYWD:00085B55]	2	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	10	FormID,Int	ADD	Keywords	remapNode_FLAPMOVE6_P-FLAPMOVE6 """" [KYWD:00085B5E]	2	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	11	FormID,Int	ADD	Keywords	remapNode_FLAPMOVE7_P-FLAPMOVE7 """" [KYWD:00085B69]	2	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	12	FormID,Int	ADD	Keywords	remapNode_FLAPMOVE8_P-FLAPMOVE8 """" [KYWD:00085B6B]	2	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	13	Float	MUL+ADD	AimModelMinConeDegrees	-0.200000	0.000000	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	14	Float	MUL+ADD	AimModelMaxConeDegrees	-0.200000	0.000000	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	15	Float	MUL+ADD	AimModelRecoilMaxDegPerShot	-0.150000	0.000000	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	16	Float	MUL+ADD	AimModelRecoilMinDegPerShot	-0.150000	0.000000	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	17	FormID,Int	SET	OverrideProjectile	ProjectilePlasmaSmallFast """" [PROJ:00127793]	1	NULL - Null Reference [00000000]
0001EC4F	mod_GatlingPlasma_Muzzle_Focuser_A	18	Float	MUL+ADD	Durability	-0.050000	0.000000	NULL - Null Reference [00000000]
0001EC52	mod_GatlingPlasma_Muzzle_Splitter_A	0	FormID,Int	ADD	Keywords	dn_HasMuzzleBeamSplitter """" [KYWD:000D70BB]	2	NULL - Null Reference [00000000]
0001EC53	mod_GatlingPlasma_Muzzle_Standard	0	FormID,Int	ADD	Keywords	remapNode_FLAPMOVE1_P-FLAPMOVE1 """" [KYWD:00085B01]	2	NULL - Null Reference [00000000]
0001EC53	mod_GatlingPlasma_Muzzle_Standard	1	FormID,Int	ADD	Keywords	remapNode_FLAPMOVE2_P-FLAPMOVE2 """" [KYWD:00085B03]	2	NULL - Null Reference [00000000]
0001EC53	mod_GatlingPlasma_Muzzle_Standard	2	FormID,Int	ADD	Keywords	remapNode_FLAPMOVE3_P-FLAPMOVE3 """" [KYWD:00085B04]	2	NULL - Null Reference [00000000]
0001EC53	mod_GatlingPlasma_Muzzle_Standard	3	FormID,Int	ADD	Keywords	remapNode_FLAPMOVE4_P-FLAPMOVE4 """" [KYWD:00085B05]	2	NULL - Null Reference [00000000]
0001EC53	mod_GatlingPlasma_Muzzle_Standard	4	FormID,Int	ADD	Keywords	remapNode_FLAPMOVE5_P-FLAPMOVE5 """" [KYWD:00085B55]	2	NULL - Null Reference [00000000]
0001EC53	mod_GatlingPlasma_Muzzle_Standard	5	FormID,Int	ADD	Keywords	remapNode_FLAPMOVE6_P-FLAPMOVE6 """" [KYWD:00085B5E]	2	NULL - Null Reference [00000000]
0001EC53	mod_GatlingPlasma_Muzzle_Standard	6	FormID,Int	ADD	Keywords	remapNode_FLAPMOVE7_P-FLAPMOVE7 """" [KYWD:00085B69]	2	NULL - Null Reference [00000000]
0001EC53	mod_GatlingPlasma_Muzzle_Standard	7	FormID,Int	ADD	Keywords	remapNode_FLAPMOVE8_P-FLAPMOVE8 """" [KYWD:00085B6B]	2	NULL - Null Reference [00000000]
0001EC60	mod_GatlingPlasma_Barrel_Standard	0	FormID,Int	ADD	Keywords	remapNode_RINGMOVE_P-RINGMOVE """" [KYWD:00085ADB]	2	NULL - Null Reference [00000000]
0001EC61	mod_GatlingPlasma_Barrel_Rifled	0	FormID,Int	ADD	Keywords	remapNode_RINGMOVE_P-RINGMOVE """" [KYWD:00085ADB]	2	NULL - Null Reference [00000000]
0001EC61	mod_GatlingPlasma_Barrel_Rifled	1	FormID,Int	ADD	Keywords	dn_HasBarrel_Long """" [KYWD:00025014]	2	NULL - Null Reference [00000000]
0001EC61	mod_GatlingPlasma_Barrel_Rifled	2	FormID,Int	ADD	Keywords	dn_HasBarrel_Ported """" [KYWD:0002D9A6]	2	NULL - Null Reference [00000000]
0001EC62	mod_GatlingPlasma_Scope_SightReflex	0	FormID,Int	ADD	Keywords	dn_HasScope_ReflexSight """" [KYWD:0009430E]	2	NULL - Null Reference [00000000]
0001EC62	mod_GatlingPlasma_Scope_SightReflex	1	Float	SET	ZoomDataFOVMult	1.500000	0.000000	NULL - Null Reference [00000000]
0001EC62	mod_GatlingPlasma_Scope_SightReflex	2	Float	ADD	ZoomDataCameraOffsetX	-0.100000	0.000000	NULL - Null Reference [00000000]
0001EC62	mod_GatlingPlasma_Scope_SightReflex	3	Float	ADD	ZoomDataCameraOffsetZ	0.000000	-0.100000	NULL - Null Reference [00000000]
0001EC63	mod_GatlingPlasma_Magazine_Standard	0	FormID,Int	ADD	Keywords	dn_HasMag_Medium """" [KYWD:00163048]	2	NULL - Null Reference [00000000]
0002219E	DLC03_mod_LeverGun_Barrel_Long_Base	0	FormID,Int	ADD	Keywords	remapNode """" [KYWD:0004F62C]	2	NULL - Null Reference [00000000]
0002219E	DLC03_mod_LeverGun_Barrel_Long_Base	1	FormID,Int	ADD	Keywords	dn_HasBarrel_Long """" [KYWD:00025014]	2	NULL - Null Reference [00000000]
000221A2	DLC03_mod_LeverGun_Barrel_Long_HipAccuracy	0	FormID,Int	ADD	Keywords	remapNode """" [KYWD:0004F62C]	2	NULL - Null Reference [00000000]
000221A2	DLC03_mod_LeverGun_Barrel_Long_HipAccuracy	1	FormID,Int	ADD	Keywords	dn_HasBarrel_Long """" [KYWD:00025014]	2	NULL - Null Reference [00000000]
00024199	DLC03_mod_LeverGun_Barrel_Long_Recoil	0	FormID,Int	ADD	Keywords	remapNode """" [KYWD:0004F62C]	2	NULL - Null Reference [00000000]
00024199	DLC03_mod_LeverGun_Barrel_Long_Recoil	1	FormID,Int	ADD	Keywords	dn_HasBarrel_Long """" [KYWD:00025014]	2	NULL - Null Reference [00000000]
00024893	DLC03_mod_LeverGun_Barrel_Long_Recoil-HipAccuracy	0	FormID,Int	ADD	Keywords	remapNode """" [KYWD:0004F62C]	2	NULL - Null Reference [00000000]
00024893	DLC03_mod_LeverGun_Barrel_Long_Recoil-HipAccuracy	1	FormID,Int	ADD	Keywords	dn_HasBarrel_Long """" [KYWD:00025014]	2	NULL - Null Reference [00000000]
000268E3	mod_melee_Pitchfork_Barbed	0	FormID,Int	ADD	Enchantments	EnchWeapModBleed_Pitchfork ""Bleed"" [ENCH:00822A70]	1	NULL - Null Reference [00000000]
0002BEFE	CUT_mod_LaserMusket_BarrelLaser_Long_ExtensionNoBracket	0	FormID,Int	ADD	Keywords	remapNode_CScopeMove_P-ScopeMove """" [KYWD:00179B55]	2	NULL - Null Reference [00000000]
0002BEFE	CUT_mod_LaserMusket_BarrelLaser_Long_ExtensionNoBracket	1	FormID,Int	ADD	Keywords	dn_HasBarrel_Long """" [KYWD:00025014]	2	NULL - Null Reference [00000000]
0002BEFE	CUT_mod_LaserMusket_BarrelLaser_Long_ExtensionNoBracket	2	FormID,Int	ADD	Keywords	dn_HasBarrel_Extended """" [KYWD:0002D9A8]	2	NULL - Null Reference [00000000]
0002BEFF	CUT_mod_LaserMusket_Grip_StockFull	0	FormID,Int	ADD	Keywords	s_35_GripRifle """" [KYWD:0008530A]	2	NULL - Null Reference [00000000]
0002BEFF	CUT_mod_LaserMusket_Grip_StockFull	1	FormID,Int	ADD	Keywords	WeaponTypeRifle ""Rifle"" [KYWD:0004A0A1]	2	NULL - Null Reference [00000000]
0002BEFF	CUT_mod_LaserMusket_Grip_StockFull	2	FormID,Int	ADD	Keywords	dn_HasGrip_Rifle """" [KYWD:00025019]	2	NULL - Null Reference [00000000]
0002BEFF	CUT_mod_LaserMusket_Grip_StockFull	3	Float	MUL+ADD	AimModelBaseStability	0.070000	0.000000	NULL - Null Reference [00000000]
0002BEFF	CUT_mod_LaserMusket_Grip_StockFull	4	FormID,Int	SET	EquipSlot	BothHands """" [EQUP:00013F45]	3	NULL - Null Reference [00000000]
0002BEFF	CUT_mod_LaserMusket_Grip_StockFull	5	Float	MUL+ADD	AttackActionPointCost	0.200000	0.000000	NULL - Null Reference [00000000]
0002BEFF	CUT_mod_LaserMusket_Grip_StockFull	6	Float	MUL+ADD	SightedTransitionSeconds	0.100000	0.000000	NULL - Null Reference [00000000]
0002BF01	CUT_mod_LaserMusket_Grip_StockShort	0	Float	MUL+ADD	Value	0.200000	0.000000	NULL - Null Reference [00000000]
0002BF01	CUT_mod_LaserMusket_Grip_StockShort	1	Float	MUL+ADD	Weight	0.200000	0.000000	NULL - Null Reference [00000000]
0002BF01	CUT_mod_LaserMusket_Grip_StockShort	2	FormID,Int	ADD	Keywords	dn_HasGrip_Rifle """" [KYWD:00025019]	2	NULL - Null Reference [00000000]
0002BF01	CUT_mod_LaserMusket_Grip_StockShort	3	FormID,Int	ADD	Keywords	WeaponTypeRifle ""Rifle"" [KYWD:0004A0A1]	2	NULL - Null Reference [00000000]
0002BF01	CUT_mod_LaserMusket_Grip_StockShort	4	FormID,Int	ADD	Keywords	dn_HasGrip_StockShort """" [KYWD:000ECE7D]	2	NULL - Null Reference [00000000]
0002BF01	CUT_mod_LaserMusket_Grip_StockShort	5	FormID,Int	ADD	Keywords	s_35_GripRifle """" [KYWD:0008530A]	2	NULL - Null Reference [00000000]
0002BF01	CUT_mod_LaserMusket_Grip_StockShort	6	FormID,Int	SET	EquipSlot	BothHands """" [EQUP:00013F45]	3	NULL - Null Reference [00000000]
0002BF04	CUT_mod_LaserMusket_Scope_SightsIron	0	FormID,Int	ADD	Keywords	dn_HasScope_IronSights """" [KYWD:0016304F]	2	NULL - Null Reference [00000000]
0002C0D3	CUT_mod_LaserMusket_Receiver_1	0	FormID,Int	ADD	Keywords	dn_HasReceiver_Crank1 """" [KYWD:002377D3]	2	NULL - Null Reference [00000000]
0002C0D3	CUT_mod_LaserMusket_Receiver_1	1	FormID,Int	SET	OverrideProjectile	ProjectileLaserMusketBeam01 """" [PROJ:0001DBB8]	1	NULL - Null Reference [00000000]
0002D29D	mod_10mmSMG_Receiver_Damage	0	FormID,Int	ADD	Keywords	dn_HasReceiver_MoreDamage1 """" [KYWD:0016303D]	2	NULL - Null Reference [00000000]
0002D2A5	mod_10mmSMG_Receiver_CritDMG	0	FormID,Int	ADD	Keywords	dn_HasReceiver_Calibrated """" [KYWD:00431843]	2	NULL - Null Reference [00000000]
0002D2AD	mod_10mmSMG_Receiver_HipAccuracy	0	FormID,Int	ADD	Keywords	dn_HasReceiver_True """" [KYWD:0043183E]	2	NULL - Null Reference [00000000]
0002D344	mod_10mmSMG_Receiver_CritDMG-HipAccuracy	0	FormID,Int	ADD	Keywords	dn_HasReceiver_Vicious """" [KYWD:00431841]	2	NULL - Null Reference [00000000]
0002D345	mod_10mmSMG_Receiver_Damage-CritDMG	0	FormID,Int	ADD	Keywords	dn_HasReceiver_Severe """" [KYWD:0043183A]	2	NULL - Null Reference [00000000]
0002D346	mod_10mmSMG_Receiver_Damage-HipAccuracy	0	FormID,Int	ADD	Keywords	dn_HasReceiver_Refined """" [KYWD:00431839]	2	NULL - Null Reference [00000000]
000324C0	DLC03_mod_LeverGun_Barrel_Short_Base	0	FormID,Int	ADD	Keywords	remapNode """" [KYWD:0004F62C]	2	NULL - Null Reference [00000000]
000324C0	DLC03_mod_LeverGun_Barrel_Short_Base	1	FormID,Int	ADD	Keywords	dn_HasBarrel_Short """" [KYWD:00025017]	2	NULL - Null Reference [00000000]
000324C0	DLC03_mod_LeverGun_Barrel_Short_Base	2	FormID,Int	ADD	Keywords	remapNode_CFrontSight_P-FrontSight """" [KYWD:00044455]	2	NULL - Null Reference [00000000]
000324C0	DLC03_mod_LeverGun_Barrel_Short_Base	3	FormID,Int	ADD	Keywords	remapNode_CMuzzle_P-MuzzleMove """" [KYWD:00181B33]	2	NULL - Null Reference [00000000]
000324D5	DLC03_mod_LeverGun_Barrel_Short_HipAccuracy	0	FormID,Int	ADD	Keywords	remapNode """" [KYWD:0004F62C]	2	NULL - Null Reference [00000000]
000324D5	DLC03_mod_LeverGun_Barrel_Short_HipAccuracy	1	FormID,Int	ADD	Keywords	dn_HasBarrel_Long """" [KYWD:00025014]	2	NULL - Null Reference [00000000]
000324D5	DLC03_mod_LeverGun_Barrel_Short_HipAccuracy	2	FormID,Int	ADD	Keywords	dn_HasBarrel_Ported """" [KYWD:0002D9A6]	2	NULL - Null Reference [00000000]
000324D5	DLC03_mod_LeverGun_Barrel_Short_HipAccuracy	3	FormID,Int	ADD	Keywords	remapNode_CFrontSight_P-FrontSight """" [KYWD:00044455]	2	NULL - Null Reference [00000000]
000324D5	DLC03_mod_LeverGun_Barrel_Short_HipAccuracy	4	FormID,Int	ADD	Keywords	remapNode_CMuzzle_P-MuzzleMove """" [KYWD:00181B33]	2	NULL - Null Reference [00000000]
000324E5	DLC03_mod_LeverGun_Barrel_Short_Recoil	0	FormID,Int	ADD	Keywords	remapNode """" [KYWD:0004F62C]	2	NULL - Null Reference [00000000]
000324E5	DLC03_mod_LeverGun_Barrel_Short_Recoil	1	FormID,Int	ADD	Keywords	dn_HasBarrel_Long """" [KYWD:00025014]	2	NULL - Null Reference [00000000]
000324E5	DLC03_mod_LeverGun_Barrel_Short_Recoil	2	FormID,Int	ADD	Keywords	remapNode_CFrontSight_P-FrontSight """" [KYWD:00044455]	2	NULL - Null Reference [00000000]
000324E5	DLC03_mod_LeverGun_Barrel_Short_Recoil	3	FormID,Int	ADD	Keywords	remapNode_CMuzzle_P-MuzzleMove """" [KYWD:00181B33]	2	NULL - Null Reference [00000000]
000324FB	DLC03_mod_LeverGun_Barrel_Short_Recoil-HipAccuracy	0	FormID,Int	ADD	Keywords	remapNode """" [KYWD:0004F62C]	2	NULL - Null Reference [00000000]
000324FB	DLC03_mod_LeverGun_Barrel_Short_Recoil-HipAccuracy	1	FormID,Int	ADD	Keywords	dn_HasBarrel_Long """" [KYWD:00025014]	2	NULL - Null Reference [00000000]
000324FB	DLC03_mod_LeverGun_Barrel_Short_Recoil-HipAccuracy	2	FormID,Int	ADD	Keywords	dn_HasBarrel_Ported """" [KYWD:0002D9A6]	2	NULL - Null Reference [00000000]
000324FB	DLC03_mod_LeverGun_Barrel_Short_Recoil-HipAccuracy	3	FormID,Int	ADD	Keywords	remapNode_CFrontSight_P-FrontSight """" [KYWD:00044455]	2	NULL - Null Reference [00000000]
000324FB	DLC03_mod_LeverGun_Barrel_Short_Recoil-HipAccuracy	4	FormID,Int	ADD	Keywords	remapNode_CMuzzle_P-MuzzleMove """" [KYWD:00181B33]	2	NULL - Null Reference [00000000]
00032511	DLC03_mod_LeverGun_Grip_Base	0	FormID,Int	ADD	Keywords	dn_HasGrip_Rifle """" [KYWD:00025019]	2	NULL - Null Reference [00000000]
