FormID	EDID	CNAM_FormID	CNAM_EDID	CNAM_FULL	GNAM_FormID	GNAM_EDID	GNAM_FULL	FNAM_Keywords	FVPA	ReferencedBy_Flat	ReferencedByCount	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30	Ref_31	Ref_32	Ref_33	Ref_34	Ref_35	Ref_36	Ref_37
0005E681	workshop_co_CondProxy_Container_SafeFloor									00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST|0084E924:workshop_LL_Container_WorkshopSafes:LVLI	3	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST	0084E924:workshop_LL_Container_WorkshopSafes:LVLI																																		
00076AB9	workshop_co_TurretTripod	00556263	ATX_workshop_LChar_TurretTripod							00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	2	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																			
0005BB6B	co_PowerArmor_FusionCore01	0005671F	mod_PowerArmor_FusionCore01	Fusion Core							0																																					
0009DF9F	workshop_co_FoodMutfruitPlant01	0017A547	Workshop_FloraMutfruit01_packin	Mutfruit Plant						0042E50E:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopMutfruitPlant:CHAL|00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	3	0042E50E:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopMutfruitPlant:CHAL	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																		
000BBF74	co_Terminal_Addon										0																																					
000D34D2	workshop_co_TurretLaser	00556267	ATX_workshop_LChar_TurretLaser							00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	2	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																			
000E0B7E	workshop_co_FoodRazorgrain	000E0B7D	workshopRecipe_RazorGrain	Razorgrain						0042E50F:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopRazorgrain:CHAL|00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	3	0042E50F:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopRazorgrain:CHAL	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																		
000E7FAF	co_mod_melee_Board_Spikes	0005C252	mod_melee_Board_Spikes	Spiked							0																																					
000E7FB5	co_Null_MeleeMod	000E7C3E	mod_melee_Null_MeleeMod	No Upgrade							0																																					
000ED1CE	CUT_co_mod_LaserMusket_BarrelLaser_Long_ExtensionNoBracket										0																																					
000ED1CF	CUT_co_mod_LaserMusket_BarrelLaser_Long_ExtensionWithBracket										0																																					
000ED1D0	CUT_co_mod_LaserMusket_BarrelLaser_Long_NoExtension										0																																					
000ED1D1	CUT_co_mod_LaserMusket_BarrelLaser_Short_ExtensionNoBracket_Base										0																																					
000ED1D2	CUT_co_mod_LaserMusket_BarrelLaser_Short_ExtensionWithBracket										0																																					
000ED1D3	CUT_co_mod_LaserMusket_BarrelLaser_Short_NoExtension										0																																					
000ED1D4	CUT_co_mod_LaserMusket_Grip_StockFull										0																																					
000ED1D5	CUT_co_mod_LaserMusket_Grip_StockShort_Base										0																																					
000ED1D6	CUT_co_mod_LaserMusket_Receiver_1_Base										0																																					
000ED1D7	CUT_co_mod_LaserMusket_Scope_SightsIron_Base										0																																					
0010128C	co_chem_Mentats	0003377B	Mentats	Mentats						003E84CA:EN01_HeadFuzzy:BOOK	1	003E84CA:EN01_HeadFuzzy:BOOK																																				
0010128D	co_chem_Psycho	0003377D	Psycho	Psycho							0																																					
00101290	co_chem_GrapeMentats	0010129A	GrapeMentats	Grape Mentats							0																																					
00101291	co_chem_Stimpak	00023736	Stimpak	Stimpak							0																																					
0010C04D	POST_workshop_co_StoreWeapon03	00391176	WorkshopStoreWeapon03NEW	Weapons Store							0																																					
0010FCBD	POST_workshop_co_StoreArmor03	00391173	WorkshopStoreArmor03NEW	Armor Store							0																																					
0011824F	POST_workshop_co_CeilingLamp01	0008B945	CeilingLamp01	Ceiling Lamp							0																																					
00119B17	workshop_co_FoodCorn	00119B16	workshopRecipe_Corn	Corn						0042E50B:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopCorn:CHAL|00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	3	0042E50B:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopCorn:CHAL	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																		
00119B18	workshop_co_FoodGourd	0017E899	Workshop_FloraGourdVine01_packin	Gourd						0042E50C:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopGourd:CHAL|00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	3	0042E50C:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopGourd:CHAL	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																		
00119BBB	workshop_co_WaterPurifierLarge	00464835	workshop_LL_Water_WaterPurifiersLarge							003D7F4E:Container_Loot_MQ_OverseersCacheContainer_10_CampMcClintock:LVLI|00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	3	003D7F4E:Container_Loot_MQ_OverseersCacheContainer_10_CampMcClintock:LVLI	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																		
0011E2C6	workshop_co_GeneratorSmall	004958D2	workshop_LL_Power_Generators_Small							004869E8:Challenge_All_Recipes_Workshop:FLST|00492890:Babylon_WorkshopWhitelist:FLST	2	004869E8:Challenge_All_Recipes_Workshop:FLST	00492890:Babylon_WorkshopWhitelist:FLST																																			
00125C86	co_mod_PowerArmor_T60_Torso_Misc_Jetpack	00125C82	mod_PowerArmor_T60_Torso_Misc_Jetpack	Jet Pack						005562BB:zzz_ATX_co_mod_PowerArmor_Torso_Misc_JetPack_FreeStates_01:COBJ|005562BD:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_FreeStates_01:COBJ|005562CB:zzz_ATX_co_mod_PowerArmor_Torso_Misc_JetPack_FreeStates_02:COBJ|005562CD:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_FreeStates_02:COBJ|005AD10E:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_MothMan:COBJ|005AF38E:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_RRRanger:COBJ|005AF390:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_CaptainCosmo:COBJ|005B72A7:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_CaptainCosmos_Black:COBJ|005C539D:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_Vertibird:COBJ|005CFB09:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_Communist_Red:COBJ|005CFB0A:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_Communist:COBJ|005DC29F:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_Enclave:COBJ|005DC2CB:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_ArmorAce:COBJ|005F86E1:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_HARE:COBJ|00655D08:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_Blackbird_Elite:COBJ|00663DD1:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_Fanatic:COBJ|0067A909:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_AlienInvader:COBJ|0067ADD8:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_Hanukkah:COBJ|0068D472:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_MidnightWatch:COBJ|0068DEE8:zzz_ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_BloodEagle:COBJ|00692A8E:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_VertiguardBloodEagle:COBJ|0069625A:co_mod_PowerArmor_T60_Torso_Misc_JetPack_AlienInvaderV2:COBJ|006E7A0E:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_DarkStar:COBJ|006F58E6:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_Heartbreaker:COBJ|0073505F:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_TheBrotherhood:COBJ|007455D0:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_V63:COBJ|007479DD:SCORE_S16_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_DevilsWings:COBJ|0076F4C8:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_FlatwoodsMonster:COBJ|00799C71:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_Vertiguard_Enclave:COBJ|007B289B:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_FillerUp:COBJ|007DC4AC:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_Switchback:COBJ|0084295A:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_Specialist:COBJ|0085723C:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_LadyLibertyPrime:COBJ	33	005562BB:zzz_ATX_co_mod_PowerArmor_Torso_Misc_JetPack_FreeStates_01:COBJ	005562BD:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_FreeStates_01:COBJ	005562CB:zzz_ATX_co_mod_PowerArmor_Torso_Misc_JetPack_FreeStates_02:COBJ	005562CD:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_FreeStates_02:COBJ	005AD10E:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_MothMan:COBJ	005AF38E:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_RRRanger:COBJ	005AF390:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_CaptainCosmo:COBJ	005B72A7:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_CaptainCosmos_Black:COBJ	005C539D:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_Vertibird:COBJ	005CFB09:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_Communist_Red:COBJ	005CFB0A:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_Communist:COBJ	005DC29F:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_Enclave:COBJ	005DC2CB:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_ArmorAce:COBJ	005F86E1:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_HARE:COBJ	00655D08:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_Blackbird_Elite:COBJ	00663DD1:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_Fanatic:COBJ	0067A909:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_AlienInvader:COBJ	0067ADD8:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_Hanukkah:COBJ	0068D472:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_MidnightWatch:COBJ	0068DEE8:zzz_ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_BloodEagle:COBJ	00692A8E:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_VertiguardBloodEagle:COBJ	0069625A:co_mod_PowerArmor_T60_Torso_Misc_JetPack_AlienInvaderV2:COBJ	006E7A0E:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_DarkStar:COBJ	006F58E6:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_Heartbreaker:COBJ	0073505F:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_TheBrotherhood:COBJ	007455D0:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_V63:COBJ	007479DD:SCORE_S16_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_DevilsWings:COBJ	0076F4C8:ATX_co_mod_PowerArmor_T60_Torso_Misc_JetPack_FlatwoodsMonster:COBJ	00799C71:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_Vertiguard_Enclave:COBJ	007B289B:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_FillerUp:COBJ	007DC4AC:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_Switchback:COBJ	0084295A:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_Specialist:COBJ	0085723C:ATX_co_mod_PowerArmor_T60_Torso_Misc_Jetpack_LadyLibertyPrime:COBJ				
0012E2C9	workshop_co_CraftingCooking	003368A4	workshop_LL_CraftingCooking							00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	2	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																			
00134436	workshop_co_CraftingWeapon	003368A5	workshop_LL_CraftingWeapon							00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	2	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																			
00134437	workshop_co_CraftingArmor	003368A7	workshop_LL_CraftingArmor							00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST|00536320:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Leatherworker_Sub_BuildWorkshopArmorBench:CHAL	3	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST	00536320:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Leatherworker_Sub_BuildWorkshopArmorBench:CHAL																																		
00134438	workshop_co_CraftingChems	003368A3	workshop_LL_CraftingChems							002C5DEB:LLV_Faction_Responders:LVLI|003D2BBC:LLV_Vendor_Crafting_Recipes:LVLI|00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST|004FE473:LL_Vendor_Trainstations_Responders:LVLI	5	002C5DEB:LLV_Faction_Responders:LVLI	003D2BBC:LLV_Vendor_Crafting_Recipes:LVLI	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST	004FE473:LL_Vendor_Trainstations_Responders:LVLI																																
0013A3E2	workshop_co_PowerPylon02	00138BF6	WorkshopPowerPylon02	Power Pylon - Large						004869E8:Challenge_All_Recipes_Workshop:FLST|00492890:Babylon_WorkshopWhitelist:FLST	2	004869E8:Challenge_All_Recipes_Workshop:FLST	00492890:Babylon_WorkshopWhitelist:FLST																																			
0013A3E4	workshop_co_CondProxy_PowerPylonSwitch01									004869E8:Challenge_All_Recipes_Workshop:FLST|00492890:Babylon_WorkshopWhitelist:FLST|00850325:workshop_LL_PowerConnectors_PowerPylonsSwitch:LVLI	3	004869E8:Challenge_All_Recipes_Workshop:FLST	00492890:Babylon_WorkshopWhitelist:FLST	00850325:workshop_LL_PowerConnectors_PowerPylonsSwitch:LVLI																																		
00147594	workshop_co_TrapElectricalArc	00140E84	TrapElectricalArc	Tesla Arc						00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	2	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																			
00147595	workshop_co_PowerPylonSwitch02	00138BF8	WorkshopPowerPylonSwitch02	Switched Power Pylon - Large						004869E8:Challenge_All_Recipes_Workshop:FLST|00492890:Babylon_WorkshopWhitelist:FLST	2	004869E8:Challenge_All_Recipes_Workshop:FLST	00492890:Babylon_WorkshopWhitelist:FLST																																			
00147596	workshop_co_PressurePlate01	00146EB7	WorkshopPressurePlate01	Pressure Plate						004869E8:Challenge_All_Recipes_Workshop:FLST|00492890:Babylon_WorkshopWhitelist:FLST	2	004869E8:Challenge_All_Recipes_Workshop:FLST	00492890:Babylon_WorkshopWhitelist:FLST																																			
0014DBD7	zzz_co_mod_Pipe_Receiver_FastTrigger										0																																					
0014DBF8	co_mod_PipeBoltAction_Receiver_FastTrigger	00148352	mod_PipeBoltAction_Receiver_FastTrigger	Hair Trigger Receiver							0																																					
0014DC25	co_mod_PipeSyringer_Barrel_Base	0014D096	mod_PipeSyringer_Barrel_Base	Standard Barrel							0																																					
0014FC8C	co_mod_10mm_Receiver_FastTrigger	00148333	mod_10mm_Receiver_FastTrigger	Hair Trigger Receiver							0																																					
0015502A	zzz_co_mod_HuntingRifle_Scope_ScopeShort_NV										0																																					
0015502B	zzz_co_mod_HuntingRifle_Scope_ScopeLong_Recon										0																																					
0015F0DA	workshop_co_PowerPylon01	005B01AA	workshop_LL_PowerPylons_PowerPylon							004869E8:Challenge_All_Recipes_Workshop:FLST|00492890:Babylon_WorkshopWhitelist:FLST	2	004869E8:Challenge_All_Recipes_Workshop:FLST	00492890:Babylon_WorkshopWhitelist:FLST																																			
001649A7	workshop_co_CraftingPowerArmor	003368A6	workshop_LL_CraftingPowerArmor							00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	2	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																			
0016A387	workshop_co_Terminal	000CEA77	WorkshopTerminal	Terminal						00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	2	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																			
0017A5A8	co_mod_PowerArmor_T51_Arm_Misc_Optimized	0017A5A6	mod_PowerArmor_T51_Arm_Misc_Optimized	Optimized Bracers							0																																					
0017A5AF	zzz_co_mod_PowerArmor_T51_Helmet_Misc_VATSChance										0																																					
0017A5B4	co_mod_PowerArmor_T51_Leg_Misc_Carry	0017A5B2	mod_PowerArmor_T51_Leg_Misc_Carry	Calibrated Shocks							0																																					
0017A5BA	co_mod_PowerArmor_T51_Leg_Misc_OptimizedServos	0017A5B8	mod_PowerArmor_T51_Leg_Misc_OptimizedServos	Optimized Servos							0																																					
0017A5C4	co_mod_PowerArmor_T51_Torso_Misc_BatRegen	0017A5C3	mod_PowerArmor_T51_Torso_Misc_BatRegen	Core Assembly							0																																					
0017A5DE	co_mod_PowerArmor_T51_Torso_Misc_Emergency	0017A5DD	mod_PowerArmor_T51_Torso_Misc_Emergency	Emergency Protocols							0																																					
00180FC3	co_mod_PowerArmor_T60_Torso_Misc_BatRegen	00180FD7	mod_PowerArmor_T60_Torso_Misc_BatRegen	Core Assembly							0																																					
00181030	co_mod_PowerArmor_T60_Torso_Misc_Reactive	0018102E	mod_PowerArmor_T60_Torso_Misc_Reactive	Reactive Plates							0																																					
00181034	co_mod_PowerArmor_T60_Helmet_Misc_Sensor	00181033	mod_PowerArmor_T60_Helmet_Misc_Sensor	Sensor Array							0																																					
00181039	co_mod_PowerArmor_T60_Leg_Misc_ExplVent	00181037	mod_PowerArmor_T60_Leg_Misc_ExplVent	Cooling Vent							0																																					
00181040	co_mod_PowerArmor_T60_Torso_Misc_MedicPump	0018103F	mod_PowerArmor_T60_Torso_Misc_MedicPump	Medic Pump							0																																					
00182D7B	co_mod_PowerArmor_T45_Arm_Misc_Unarmed	00182D79	mod_PowerArmor_T45_Arm_Misc_Unarmed	Hydraulic Bracers							0																																					
0018350F	co_mod_PowerArmor_X01_Arm_Misc_ShockDmg	0018350D	mod_PowerArmor_X01_Arm_Misc_ShockDmg	Tesla Bracers							0																																					
00183516	co_mod_PowerArmor_X01_Helmet_Misc_Int	00183515	mod_PowerArmor_X01_Helmet_Misc_Int	Internal Database							0																																					
00183519	co_mod_PowerArmor_X01_Helmet_Misc_DetectLife	00183518	mod_PowerArmor_X01_Helmet_Misc_DetectLife	Targeting HUD							0																																					
00183522	co_mod_PowerArmor_X01_Torso_Misc_Str	00183521	mod_PowerArmor_X01_Torso_Misc_Str	Motion-Assist Servos							0																																					
00183525	co_mod_PowerArmor_X01_Torso_Misc_Tesla	00183524	mod_PowerArmor_X01_Torso_Misc_Tesla	Tesla Coils							0																																					
