FormID	EDID	ConditionCount	Cond01	Cond02	Cond03	Cond04	Cond05	Cond06	Cond07	Cond08	Cond09	Cond10	Cond11	Cond12	Cond13	Cond14	Cond15	Cond16	Cond17	Cond18	Cond19	Cond20	Cond21	Cond22	Cond23	Cond24	Cond25	ReferencedByCount	Ref01	Ref02	Ref03	Ref04	Ref05	Ref06	Ref07	Ref08	Ref09	Ref10	Ref11	Ref12	Ref13	Ref14	Ref15	Ref16	Ref17	Ref18	Ref19	Ref20	Ref21	Ref22	Ref23	Ref24	Ref25	FileName
004960C1	LegendaryCreatureChance_Check	7	Subject.IsTrueForConditionForm(LegendaryCreatureChance_Check_IsLegendaryAllowed [CNDF:004960B8], 00 00 00 00) = 1.000000	Subject.IsTrueForConditionForm(LegendaryCreatureChance_Check_DieRollForLocation_OR_Is_NukeRegion [CNDF:004960C0], 00 00 00 00) = 1.000000	Subject.IsTrueForConditionForm(LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_0plus [CNDF:004960BA], 00 00 00 00) = 1.000000	Subject.IsTrueForConditionForm(LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_11plus [CNDF:004960BB], 00 00 00 00) = 1.000000	Subject.IsTrueForConditionForm(LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_21plus [CNDF:004960BC], 00 00 00 00) = 1.000000	Subject.IsTrueForConditionForm(LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_31plus [CNDF:004960BE], 00 00 00 00) = 1.000000	Subject.IsTrueForConditionForm(LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_41plus [CNDF:004960BD], 00 00 00 00) = 1.000000																			1	001CCDA3:LegendaryCreatureChance_AbConvertLegendaryCreature:"LegendaryChance_AbConvertLegendaryCreature":SPEL																									SeventySix.esm
004960D1	DiseasedCreatureChance_Check_DieRollForChanceStandard	2	Subject.GetValue(DiseasedCreatureChance_FixedDieRollAV [AVIF:004960CA], 00 00 00 00) = SURV_DiseasedCreatureChance_Standard [GLOB:003E7F70]	Subject.IsTrueForConditionForm(DiseasedCreatureChance_Check_HasChanceStandardKeyword [CNDF:004960CF], 00 00 00 00) = 1.000000																								1	004960CC:DiseasedCreatureChance_Check:"":CNDF																									SeventySix.esm
004960D0	DiseasedCreatureChance_Check_HasChanceHighKeyword	3	Subject.HasKeyword(ActorTypeBloodbug [KYWD:0013BDCB], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeRadRoach [KYWD:0013D00D], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeTick [KYWD:0013D058], 00 00 00 00) = 1.000000																							1	004960D2:DiseasedCreatureChance_Check_DieRollForChanceHigh:"":CNDF																									SeventySix.esm
004960CF	DiseasedCreatureChance_Check_HasChanceStandardKeyword	25	Subject.HasKeyword(ActorTypeAngler [KYWD:00331ABB], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeBeaver [KYWD:00115EDB], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeBloatfly [KYWD:0013BDAD], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeDeathclaw [KYWD:000317AA], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeFeralGhoul [KYWD:0006B4F2], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeFeralGhoulGlowingOne [KYWD:00179C60], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeGraftonMonster [KYWD:0013BDD1], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeGulper [KYWD:00110D75], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeHoneyBeast [KYWD:0013BDD9], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeMegaSloth [KYWD:0013BE86], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeMirelurkHunter [KYWD:00064C63], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeMirelurkKing [KYWD:000E58C7], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeMirelurkQueen [KYWD:00108178], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeMirelurkSpawn [KYWD:0013BE9B], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeMirelurk [KYWD:0002CB71], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeMolerat [KYWD:0002CB70], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeMutantHound [KYWD:0013CF62], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeMutatedWolf [KYWD:0013CF65], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeRadAnt [KYWD:0013CF70], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeRadHog [KYWD:008279FF], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeRadRat [KYWD:0013CF8A], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeRadScorpion [KYWD:000636DE], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeRadStag [KYWD:00090E55], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeDog [KYWD:00021AD0], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeSnallygaster [KYWD:0013D01B], 00 00 00 00) = 1.000000	1	004960D1:DiseasedCreatureChance_Check_DieRollForChanceStandard:"":CNDF																									SeventySix.esm
004960CE	DiseasedCreatureChance_Check_HasIgnoreMinCreatureLevelKeyword	3	Subject.HasKeyword(ActorTypeRadRoach [KYWD:0013D00D], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeMirelurkSpawn [KYWD:0013BE9B], 00 00 00 00) = 1.000000	Subject.HasKeyword(ActorTypeMutantHound [KYWD:0013CF62], 00 00 00 00) = 1.000000																							1	004960CD:DiseasedCreatureChance_Check_IsDiseasedAllowed:"":CNDF																									SeventySix.esm
004960CD	DiseasedCreatureChance_Check_IsDiseasedAllowed	3	Subject.HasKeyword(NoDiseaseCarrier [KYWD:0059FFD1], 00 00 00 00) = 0.000000	Subject.GetLevel(00 00 00 00, 00 00 00 00) = DiseasedCreatureChance_MinLevel [GLOB:004960CB]	Subject.IsTrueForConditionForm(DiseasedCreatureChance_Check_HasIgnoreMinCreatureLevelKeyword [CNDF:004960CE], 00 00 00 00) = 1.000000																							2	003E7F6D:SURV_DiseasedCreatureChance_abDiseasedCreature_Effect:"SURV_DiseasedCreatureChance_abDiseasedCreature_Effect":MGEF	004960CC:DiseasedCreatureChance_Check:"":CNDF																								SeventySix.esm
004960BB	LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_11plus	2	Subject.GetLevel(00 00 00 00, 00 00 00 00) = 11.000000	Subject.GetValue(LegendaryCreatureChance_FixedDieRollAV_ForLevel [AVIF:004960B9], 00 00 00 00) = LegendaryCreatureChance_Level_11plus [GLOB:004960C5]																								1	004960C1:LegendaryCreatureChance_Check:"":CNDF																									SeventySix.esm
004960BC	LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_21plus	2	Subject.GetLevel(00 00 00 00, 00 00 00 00) = 21.000000	Subject.GetValue(LegendaryCreatureChance_FixedDieRollAV_ForLevel [AVIF:004960B9], 00 00 00 00) = LegendaryCreatureChance_Level_21plus [GLOB:004960C6]																								1	004960C1:LegendaryCreatureChance_Check:"":CNDF																									SeventySix.esm
004960BE	LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_31plus	2	Subject.GetLevel(00 00 00 00, 00 00 00 00) = 31.000000	Subject.GetValue(LegendaryCreatureChance_FixedDieRollAV_ForLevel [AVIF:004960B9], 00 00 00 00) = LegendaryCreatureChance_Level_31plus [GLOB:004960C7]																								1	004960C1:LegendaryCreatureChance_Check:"":CNDF																									SeventySix.esm
004960CC	DiseasedCreatureChance_Check	4	Subject.IsTrueForConditionForm(DiseasedCreatureChance_Check_IsDiseasedAllowed [CNDF:004960CD], 00 00 00 00) = 1.000000	Subject.IsTrueForConditionForm(DiseasedCreatureChance_Check_DieRollForChanceHigh [CNDF:004960D2], 00 00 00 00) = 1.000000	Subject.IsTrueForConditionForm(DiseasedCreatureChance_Check_DieRollForChanceStandard [CNDF:004960D1], 00 00 00 00) = 1.000000	Subject.IsTrueForConditionForm(DiseasedCreatureChance_Check_HasForcedDiseasedKeyword [CNDF:0075468E], 00 00 00 00) = 1.000000																						1	003E7F6C:SURV_DiseasedCreatureChance_abDiseasedCreature:"":SPEL																									SeventySix.esm
004960BD	LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_41plus	2	Subject.GetLevel(00 00 00 00, 00 00 00 00) = 41.000000	Subject.GetValue(LegendaryCreatureChance_FixedDieRollAV_ForLevel [AVIF:004960B9], 00 00 00 00) = LegendaryCreatureChance_Level_41plus [GLOB:004960C8]																								1	004960C1:LegendaryCreatureChance_Check:"":CNDF																									SeventySix.esm
004960BA	LegendaryCreatureChance_Check_DieRollForLevel_AND_IsLevel_0plus	2	Subject.GetLevel(00 00 00 00, 00 00 00 00) = 0.000000	Subject.GetValue(LegendaryCreatureChance_FixedDieRollAV_ForLevel [AVIF:004960B9], 00 00 00 00) = LegendaryCreatureChance_Level_0plus [GLOB:004960C4]																								1	004960C1:LegendaryCreatureChance_Check:"":CNDF																									SeventySix.esm
004960B8	LegendaryCreatureChance_Check_IsLegendaryAllowed	5	Subject.GetValue(LegendaryCreatureChance_FixedDieRollAV_ForLevel [AVIF:004960B9], 00 00 00 00) = 0.000000	Subject.GetDead(00 00 00 00, 00 00 00 00) = 0.000000	Subject.GetLevel(00 00 00 00, 00 00 00 00) = LegendaryCreatureChance_MinLevel [GLOB:004960B7]	Subject.HasKeyword(EpicCreatureDisallowed [KYWD:004FC5B6], 00 00 00 00) = 0.000000	Subject.GetIsPlayer(00 00 00 00, 00 00 00 00) = 0.000000																					2	002129BC:LegendaryCreatureChance_abEpicCreatureCreateEffect:"Create Epic Creature Effect":MGEF	004960C1:LegendaryCreatureChance_Check:"":CNDF																								SeventySix.esm
004960C0	LegendaryCreatureChance_Check_DieRollForLocation_OR_Is_NukeRegion	4	Subject.GetValue(LegendaryCreatureChance_FixedDieRollAV_ForRegion [AVIF:004960BF], 00 00 00 00) = LegendaryCreatureChance_Location [GLOB:004960C9]	Subject.GetIsInRegion(NukeRegionA [REGN:000219E2], 00 00 00 00) = 1.000000	Subject.GetIsInRegion(NukeRegionB [REGN:000219DD], 00 00 00 00) = 1.000000	Subject.GetIsInRegion(NukeRegionC [REGN:000219E3], 00 00 00 00) = 1.000000																						1	004960C1:LegendaryCreatureChance_Check:"":CNDF																									SeventySix.esm
0047F164	IsEpisode_EverUpwards	2	Subject.GetGlobalValue(E01C_Campfire_CanStart [GLOB:0047F163], 00 00 00 00) = 1.000000	Subject.GetGlobalValue(P01C_Tadpole_CanStart [GLOB:0047F162], 00 00 00 00) = 1.000000																								0																										SeventySix.esm
0046793B	Mutation_Check_UseSuperVersion	4	Subject.IsSpellTarget(RadX "Rad-X" [ALCH:00024057], 00 00 00 00) = 0.000000	Subject.IsMemberOfAPlayerTeam(00 00 00 00, 00 00 00 00) = 1.000000	Subject.HasPerk(StrangeInNumbers01 "Strange In Numbers" [PERK:003808D0], 00 00 00 00) = 1.000000	Subject.HasAnyMutatedTeammates(00 00 00 00, 00 00 00 00) = 1.000000																						23	0028D3BC:Mutation_Talons:"Talons":SPEL	0034D238:Mutation_ReduceFallDamage_Perk:"Reduce Fall Damage":PERK	00386ACE:Mutation_TwistedMuscles_Perk:"Twisted Muscles":PERK	003C402F:Mutation_TwistedMuscles:"Twisted Muscles":SPEL	003C4037:Mutation_EagleEyes:"Eagle Eyes":SPEL	003C403D:Mutation_BirdBones:"Bird Bones":SPEL	003C4045:Mutation_EggHead:"Egg Head":SPEL	003C4049:Mutation_Carnivore:"Carnivore":SPEL	003C404E:Mutation_Herbivore:"Herbivore":SPEL	003C4051:Mutation_EatAllTheMeat_Perk:"Double Meat Benefits":PERK	003C4057:Mutation_EatAllTheVeggies_Perk:"Double Vegetable Benefits":PERK	004DF1CE:Mutation_Marsupial:"Marsupial":SPEL	004DF1CF:Mutation_ScalySkin:"Scaly Skin":SPEL	004DF1DB:Mutation_HealingFactor:"Healing Factor":SPEL	004DF1E0:Mutation_SpeedDemon:"Speed Demon":SPEL	004E1F14:Mutation_AdrenalReaction:"Adrenal Reaction":SPEL	004E1F16:Mutation_Empath:"Empath":SPEL	004E1F1E:Mutation_HerdMentality:"Herd Mentality":SPEL	004E4002:Mutation_Grounded:"Grounded":SPEL	004E4006:Mutation_Chameleon:"Chameleon":SPEL	004E400D:Mutation_ElectricallyCharged:"Electrically Charged":SPEL	004E4017:Mutation_UnstableIsotope:"Unstable Isotope":SPEL	004E4021:Mutation_PlagueWalker:"Plague Walker":SPEL			SeventySix.esm
00467939	Mutation_Check_UseNormalVersion	4	Subject.IsSpellTarget(RadX "Rad-X" [ALCH:00024057], 00 00 00 00) = 0.000000	Subject.HasPerk(StrangeInNumbers01 "Strange In Numbers" [PERK:003808D0], 00 00 00 00) = 0.000000	Subject.IsMemberOfAPlayerTeam(00 00 00 00, 00 00 00 00) = 0.000000	Subject.HasAnyMutatedTeammates(00 00 00 00, 00 00 00 00) = 0.000000																						23	0028D3BC:Mutation_Talons:"Talons":SPEL	0034D238:Mutation_ReduceFallDamage_Perk:"Reduce Fall Damage":PERK	00386ACE:Mutation_TwistedMuscles_Perk:"Twisted Muscles":PERK	003C402F:Mutation_TwistedMuscles:"Twisted Muscles":SPEL	003C4037:Mutation_EagleEyes:"Eagle Eyes":SPEL	003C403D:Mutation_BirdBones:"Bird Bones":SPEL	003C4045:Mutation_EggHead:"Egg Head":SPEL	003C4049:Mutation_Carnivore:"Carnivore":SPEL	003C404E:Mutation_Herbivore:"Herbivore":SPEL	003C4051:Mutation_EatAllTheMeat_Perk:"Double Meat Benefits":PERK	003C4057:Mutation_EatAllTheVeggies_Perk:"Double Vegetable Benefits":PERK	0046793A:Mutation_Check_UseNormalVersion_HerdMentality:"":CNDF	004DF1CE:Mutation_Marsupial:"Marsupial":SPEL	004DF1CF:Mutation_ScalySkin:"Scaly Skin":SPEL	004DF1DB:Mutation_HealingFactor:"Healing Factor":SPEL	004DF1E0:Mutation_SpeedDemon:"Speed Demon":SPEL	004E1F14:Mutation_AdrenalReaction:"Adrenal Reaction":SPEL	004E1F16:Mutation_Empath:"Empath":SPEL	004E4002:Mutation_Grounded:"Grounded":SPEL	004E4006:Mutation_Chameleon:"Chameleon":SPEL	004E400D:Mutation_ElectricallyCharged:"Electrically Charged":SPEL	004E4017:Mutation_UnstableIsotope:"Unstable Isotope":SPEL	004E4021:Mutation_PlagueWalker:"Plague Walker":SPEL			SeventySix.esm
0046793A	Mutation_Check_UseNormalVersion_HerdMentality	2	Subject.IsTrueForConditionForm(Mutation_Check_UseNormalVersion [CNDF:00467939], 00 00 00 00) = 1.000000	Subject.IsMemberOfAPlayerTeam(00 00 00 00, 00 00 00 00) = 1.000000																								1	004E1F1E:Mutation_HerdMentality:"Herd Mentality":SPEL																									SeventySix.esm
003F073C	P01B_Lying_02_LaundryCondition	2	Target.GetValue(P01B_Lying02_Temperature [AVIF:003F0735], 00 00 00 00) = 3.000000	Target.GetValue(P01B_Lying02_SpinCycle [AVIF:003F0734], 00 00 00 00) = 2.000000																								1	003F0733:P01B_Lying02_Thumbtack_Correct:"Laundry Day":ACTI																									SeventySix.esm
0042B0AA	LocationChurchCharleston	1	Subject.GetWithinDistance(Challenge_Church_Charleston [REFR:00451E70] (Places XMarker [STAT:0000003B] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at -26,-12), 1000.000000) = 1.000000																									2	0042B091:CUT_Challenge_Weekly_Anarchy_SUB_PhotoNakedChurch_Survival:"Take a Photo in a Church or Shrine while Naked":CHAL	00451E71:CUT_Challenge_Weekly_Photomode_ChurchShrines_SUB_ChurchCharleston:"Use Photomode at the Charleston Church":CHAL																								SeventySix.esm
0042B0AB	LocationChurchClarksburg	1	Subject.GetWithinDistance(Challenges_Church_Clarksburg [REFR:00451E6A] (Places XMarker [STAT:0000003B] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at -6,41), 1000.000000) = 1.000000																									2	0042B091:CUT_Challenge_Weekly_Anarchy_SUB_PhotoNakedChurch_Survival:"Take a Photo in a Church or Shrine while Naked":CHAL	00451E6B:CUT_Challenge_Weekly_Photomode_ChurchShrines_SUB_ChurchClarksburg:"Use Photomode at the Clarksburg Church":CHAL																								SeventySix.esm
0042B0AC	LocationChurchBeckley	1	Subject.GetWithinDistance([REFR:00299809] (Places TrashPileWallThin02 [STAT:0000FFC1] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at -46,-32), 1000.000000) = 1.000000																									2	0042B091:CUT_Challenge_Weekly_Anarchy_SUB_PhotoNakedChurch_Survival:"Take a Photo in a Church or Shrine while Naked":CHAL	004856B2:CUT_Challenge_Weekly_Photomode_ChurchShrines_SUB_ChurchBeckley:"Use Photomode at the Church in Beckley":CHAL																								SeventySix.esm
0042B0AD	LocationChurchFlatwoods	1	Subject.GetWithinDistance(Challenges_Church_Flatwoods [REFR:00451E69] (Places XMarker [STAT:0000003B] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at -27,5), 1000.000000) = 1.000000																									2	0042B091:CUT_Challenge_Weekly_Anarchy_SUB_PhotoNakedChurch_Survival:"Take a Photo in a Church or Shrine while Naked":CHAL	00451E68:CUT_Challenge_Weekly_Photomode_ChurchShrines_SUB_ChurchFlatwoods:"Use Photomode at the Flatwoods Church":CHAL																								SeventySix.esm
0042B0AE	LocationChurchHarpersFerry	2	Subject.GetWithinDistance([REFR:0033C101] (Places AirScrubber01 [MSTT:00328FD1] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at 39,-1), 1000.000000) = 1.000000	Subject.GetWithinDistance([REFR:00040322] (Places Vault_Crate_01_Steel "Crate" [STAT:000BA58F] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at 38,-1), 1000.000000) = 1.000000																								2	0042B091:CUT_Challenge_Weekly_Anarchy_SUB_PhotoNakedChurch_Survival:"Take a Photo in a Church or Shrine while Naked":CHAL	004856B4:CUT_Challenge_Weekly_Photomode_ChurchShrines_SUB_ChurchHarpersFerry:"Use Photomode at the Church in Harpers Ferry":CHAL																								SeventySix.esm
0042B0AF	LocationChurchEasternRegionalPen	1	Subject.GetWithinDistance(Challenges_Church_EasternPen [REFR:00451E6C] (Places XMarker [STAT:0000003B] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at -8,31), 1000.000000) = 1.000000																									2	0042B091:CUT_Challenge_Weekly_Anarchy_SUB_PhotoNakedChurch_Survival:"Take a Photo in a Church or Shrine while Naked":CHAL	00451E6D:CUT_Challenge_Weekly_Photomode_ChurchShrines_SUB_ChurchEastern:"Use Photomode at the Eastern Regional Penitentiary Church":CHAL																								SeventySix.esm
0042B0B0	LocationChurchHaven	1	Subject.GetWithinDistance(Challenges_Church_Haven [REFR:00451E6E] (Places XMarker [STAT:0000003B] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at 43,10), 1000.000000) = 1.000000																									2	0042B091:CUT_Challenge_Weekly_Anarchy_SUB_PhotoNakedChurch_Survival:"Take a Photo in a Church or Shrine while Naked":CHAL	00451E6F:CUT_Challenge_Weekly_Photomode_ChurchShrines_SUB_ChurchHaven:"Use Photomode at the Haven Church":CHAL																								SeventySix.esm
0042B0B4	LocationChurchWilderness	3	Subject.GetWithinDistance(Challenge_Church_SwampChurch1 [REFR:00451E79] (Places XMarker [STAT:0000003B] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at 46,13), 1000.000000) = 1.000000	Subject.GetWithinDistance(Challenge_Church_SwampChurch2 [REFR:00451E7B] (Places XMarker [STAT:0000003B] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at 46,13), 1000.000000) = 1.000000	Subject.GetWithinDistance(Challenge_Church_SwampChurch3 [REFR:00451E7C] (Places XMarker [STAT:0000003B] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at 46,13), 1000.000000) = 1.000000																							2	0042B091:CUT_Challenge_Weekly_Anarchy_SUB_PhotoNakedChurch_Survival:"Take a Photo in a Church or Shrine while Naked":CHAL	00451E7A:CUT_Challenge_Weekly_Photomode_ChurchShrines_SUB_ChurchWilderness:"Use Photomode at Churches in the Wilderness":CHAL																								SeventySix.esm
0042B0B1	LocationChurchHelvetia	1	Subject.GetWithinDistance(Challenge_Shrine_Helvetia [REFR:00451E72] (Places XMarker [STAT:0000003B] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at -11,9), 1000.000000) = 1.000000																									2	0042B091:CUT_Challenge_Weekly_Anarchy_SUB_PhotoNakedChurch_Survival:"Take a Photo in a Church or Shrine while Naked":CHAL	00451E73:CUT_Challenge_Weekly_Photomode_ChurchShrines_SUB_ChurchHelvetia:"Use Photomode at the Helvetia Church":CHAL																								SeventySix.esm
0042B0B2	LocationChurchKanawha	1	Subject.GetWithinDistance(Challenges_Shrine_Kanawha [REFR:00451E67] (Places XMarker [STAT:0000003B] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at -43,-8), 1000.000000) = 1.000000																									2	0042B091:CUT_Challenge_Weekly_Anarchy_SUB_PhotoNakedChurch_Survival:"Take a Photo in a Church or Shrine while Naked":CHAL	00451E65:CUT_Challenge_Weekly_Photomode_ChurchShrines_SUB_ChurchKanawha:"Use Photomode at the Kanawha Church":CHAL																								SeventySix.esm
