menu category	name	edid	form_id	build	price_xbox	price_ps	price_pc	limit_new	limit_existing	mutation	buff	availability	order category	notes
Alcohol	New River Red Ale	Brew_NewRiverRedAle	003B5FCA		25	35	35	50	100		Luck | Strength | Charisma		chems	
Alcohol	Nukashine	Brew_NukashineFresh	0047BC14		25	35	35	50	100				chems	
Alcohol	Oak Holler Lager	Brew_OakHollerLager	003B5FCB		25	35	35	50	100		Luck | Strength | Charisma		chems	
Alcohol	Old Possum	Brew_OldPossum	003B5FCC		25	35	35	50	100		Luck | Strength | Charisma		chems	
Alcohol	Pickaxe Pilsner	Brew_PickAxePilsner	003B5FCD		25	35	35	50	100		Luck | Strength | Charisma		chems	
Alcohol	Rad Ant Lager	Brew_RadAntLager	003EC3DF		50	60	60	50	100				chems	
Alcohol	Rodgers' Reserve Beer	MTN04_BeerBottleReserve	0050B5AA		N/A	N/A	N/A				Strength | Charisma | Luck	Not Available	alcohol	
Alcohol	Rum	Brew_Rum	00145857		10	20	20	50	100		Luck | Strength | Agility		chems	
Alcohol	Star Size Sunset Sarsaparilla	SCORE_S22_Consumable_SunsetSarsaparilla_StarSize	00837E08		45	55	55				Restore HP		alcohol	
Alcohol	Sugar-Free Nukashine	SCORE_Brew_NukashineVintage_SugarFree	005FD9A7		N/A	N/A	N/A	N/A	N/A			Not Available	alcohol	
Alcohol	Sunset Sarsaparilla	SCORE_S22_Consumable_SunsetSarsaparilla	00832CA7		35	45	45				Restore HP		alcohol	
Alcohol	Tick Blood Tequila	Brew_TickBloodTequilaFresh	0046985D		35	45	45	15	30				chems	
Alcohol	Tick Blood Tequila Margarita	Brew_TickBloodTequilaMargarita	003EC2C7		35	45	45	15	30				chems	
Alcohol	Tick Blood Tequila Sunrise	Brew_TickBloodTequilaSunrise	003EC2C8		35	45	45	15	30				chems	
Alcohol	Vintage Firecracker Whiskey	Brew_FirecrackerWhiskeyVintage	00469854		N/A	N/A	N/A					Not Available	alcohol	
Alcohol	Vintage Lead Champagne	Brew_LeadChampagneVintage	0045411B		35	45	45	15	30				alcohol	
Alcohol	Vintage Mire Magic Moonshine	E08A_Brew_GulpershineVintage	00655D13		25	35	35	50	100		Strength		chems	
Alcohol	Vintage Nukashine	Brew_NukashineVintage	0047BC08		25	35	35	50	100				alcohol	
Alcohol	Vintage Tick Blood Tequila	Brew_TickBloodTequilaVintage	0046985E		35	45	45	15	30				alcohol	
Alcohol	Vodka	Brew_Vodka	000366C3		10	20	20	50	100		Luck | Strength | Max HP		chems	
Alcohol	Whiskey	Brew_Whiskey	000366C1		10	20	20	50	100		Luck | Strength		chems	
Alcohol	White Russian	Brew_WhiteRussian	003F5C4D		35	45	45	50	100				chems	
Alcohol	Wine	Brew_Wine	000366C2		10	20	20	50	100		Luck | Strength | Max AP		chems	
Canned	Canned Aged Mirelurk Queen Steak	MirelurkQueenMeatTasty_Cannery	007FDA58		20	30	30	30	30	Carnivore	Restore HP | Endurance		food	
Canned	Canned Awesome Opossum Bacon	OpossumMeatCooked_Cannery	007FDA5C		20	30	30	30	30	Carnivore	Restore HP | Luck		food	
Canned	Canned Blight Soup	SCORE_S25_BlightVegetableCookedSoup_Cannery_G2	008D385B		30	40	40	30	30	Herbivore	Restore HP | Crit Damage		canned	
Canned	Canned Brain Bombs	SCORE_25_BrainBombsGourmet_Cannery_G1	008D3855		40	50	50	30	30	Herbivore	Restore HP | Restore AP | Intelligence		canned	
Canned	Canned Broiled Scorchbeast Brain	SCORE_25_ScorchBeastMeatBrainCooked_Cannery_G1	008D385A		25	35	35	30	30	Carnivore	Restore HP | Intelligence		canned	
Canned	Canned Corn Soup	CornVegetableCookedSoup_Cannery	007FDA65		20	30	30	30	30	Herbivore	Restore HP | AP Regen		food	
Canned	Canned Deathclaw Wellington	SCORE_S25_DeathclawMeatTastySouffle_Cannery_G2	008D385F		40	50	50	30	30	Carnivore	Restore HP | Strength		canned	
Canned	Canned Fish Chowder	Fishing_FishChowder_Cannery	00804717		20	30	30	30	30	Carnivore	Restore HP		food	
Canned	Canned Glowing Fungus Puree	GlowingFungusVegetableTastySoup_Cannery	007FDA5E	Herbivore,Hybrid	20	30	30	30	30	Herbivore	Restore HP | Energy Resist		food	
Canned	Canned Glowing Fungus Soup	GlowingFungusVegetableCookedSoup_Cannery	007FDA63		20	30	30	30	30	Herbivore	Restore HP | Rad Resist		food	
Canned	Canned Gourd Soup	GourdVegetableCookedSoup_Cannery	007FDA64		20	30	30	30	30	Herbivore	Restore HP | Perception		food	
Canned	Canned Grilled Fish	Fishing_GrilledFish_Cannery	00804719		20	30	30	30	30	Carnivore	Restore HP		food	
Canned	Canned Gut Shroom Soup	GutShroomVegetableCookedSoup_Cannery	007FDA5F		20	30	30	30	30	Herbivore	Restore HP | XP		food	
Canned	Canned Meat Stew	FF06_Feed_CannedMeatTastyStew	00343776	XP	25	35	35	30	30	Carnivore	Restore HP | XP		chems	
Canned	Canned Megasloth Mushroom Soup	MegaSlothMushroomVegetableCookedSoup_Cannery	007FDA67		20	30	30	30	30	Herbivore	Restore HP | Crit Damage		food	
Canned	Canned Mirelurk Queen Steak	MirelurkQueenMeatCooked_Cannery	007FDA59		20	30	30	30	30	Carnivore	Restore HP | Endurance		food	
Canned	Canned Poached Angler	AnglerMeatCooked_Cannery	007FDA5B	Carnivore	20	30	30	30	30	Carnivore	Restore HP | Max AP		food	
Canned	Canned Radscorpion Steak	RadscorpionMeatCooked_Cannery	007FDA62		20	30	30	30	30	Carnivore	Restore HP | Energy Resist		food	
Canned	Canned Ribeye Steak	BrahminMeatCooked_Cannery	007FDA57		20	30	30	30	30	Carnivore	Restore HP | Carry Weight		food	
Canned	Canned Smoked Mirelurk Fillets	SCORE_S25_SmokedMirelurkGourmet_Cannery_G2	008D3862		40	50	50	30	30	Both	Restore HP | Carry Weight		canned	
Canned	Canned Stingwing Stew	StingwingMeatTastyStew_Cannery	007FDA60	Carnivore	20	30	30	30	30	Carnivore	Restore HP | Perception		food	
Canned	Canned Swamp Tofu Soup	SwampPlantTastyTofuSoup_Cannery	007FDA5A		20	30	30	30	30	Herbivore	Restore HP | Heal Rate		food	
Canned	Canned Sweet Tato Stew	TatoVegetableTastyStew_Cannery	007FDA66		20	30	30	30	30	Herbivore	Restore HP | Heal Rate		food	
Canned	Canned Tasty Squirrel Stew	SquirrelMeatTastyStew_Cannery	007FDA5D		20	30	30	30	30	Carnivore	Restore HP | XP		food	
Canned	Canned Tato Salad	SCORE_25_MeatWeek_TatoSaladCooked_Cannery_G1	008D3859		35	45	45	30	30	Herbivore	Restore HP | Max HP		canned	
Canned	Canned Vegetable Medley Soup	VegetableTastySoup_Cannery	007FDA61	Carnivore	20	30	30	30	30	Herbivore	Restore HP		food	
Chems	Addictol	Addictol	000459C5		35	45	45	50	100				chems	
Chems	Antibiotics	SURV_DiseaseCure_Antibiotics	003E08A9		35	45	45	50	100				chems	
Chems	Berry Mentats	BerryMentats	000518BB	XP	25	35	35	100	200		Intelligence		chems	
Chems	Blood Pack	Bloodpack	00052409		N/A	N/A	N/A	50	100		Restore HP	Not Available	chems	
Chems	Buffout	Buffout	00033778		25	35	35	50	100		Strength | Endurance | Max HP		chems	
Chems	Bufftats	Bufftats	00058AA5		25	35	35	50	100		Strength | Endurance | Perception | Max HP		chems	
Chems	Calmex	Calmex	00058AA7		35	45	45	50	100		Perception | Agility		chems	
Chems	Daddy-O	DaddyO	00156D0B		35	45	45	50	100		Intelligence | Perception		chems	
Chems	Day Tripper	DayTripper	00150729		35	45	45	50	100		Luck | Charisma		chems	
Chems	Disease Cure	SURV_DiseaseCure_HerbalMedicine	003E08A8		25	35	35	50	100				chems	
Chems	Formula P	SFS09_FormulaP	00417A42		35	45	45	50	100		Gun Accuracy | Charisma | Luck		chems	
Chems	Fury	Fury	000628CA		35	45	45	50	100		Damage Resist | Melee Damage		chems	
Chems	Glowing Blood	GlowingOneBlood	000E2F68		N/A	N/A	N/A	50	100		Restore HP	Not Available	chems	
Chems	Glowing Blood Pack	BloodpackGlowing	00058AB4		N/A	N/A	N/A	50	100		Restore HP | Rad Resist	Not Available	chems	
Chems	Grape Mentats	GrapeMentats	0010129A		25	35	35	50	100		Barter | Charisma		chems	
Chems	Healing Salve	HealingSalve	000522F7		25	35	35	50	100				chems	
Chems	Insect Repellent	Potion_D01C_InsectRepellent	0045E3F6		10	20	20	50	100				chems	
Chems	Irradiated Blood Pack	BloodpackIrradiated	0037FE9B		N/A	N/A	N/A	50	100		Restore HP | Rad Resist	Not Available	chems	
Chems	Med-X	MedX	00033779		25	35	35	50	100		Damage Resist		chems	
Chems	Mentats	Mentats	0003377B		N/A	N/A	N/A	N/A	N/A		Intelligence | Perception	Not Available	chems	
Chems	Nuclear Don's Custom Chem Blend	W05_MQR_203P_ChemBlend	005955A5		N/A	N/A	N/A	N/A	N/A		Extra Damage | Damage Resist | Max HP	Not Available	chems	
Chems	Orange Mentats	OrangeMentats	000518C5		25	35	35	50	100		Perception		chems	
Chems	Overdrive	Overdrive	00058AAD		35	45	45	50	100		Crit Damage | Extra Damage		chems	
Chems	Psycho	Psycho	0003377D		25	35	35	100	200		Extra Damage | Damage Resist		chems	
Chems	Psychobuff	Psychobuff	00058AAC		25	35	35	100	200		Extra Damage | Strength | Endurance | Max HP		chems	
Chems	Psychotats	Psychotats	00058AAA		25	35	35	100	200		Extra Damage | Damage Resist | Perception		chems	
Chems	Rad-X	RadX	00024057		5	15	15	50	100		Rad Resist		chems	
Chems	Rad-X: Diluted	RadXDiluted	0012D3F1		5	15	15	50	100		Rad Resist		chems	
Chems	RadAway	RadAway	00023742		5	15	15	50	100				chems	
Chems	RadAway: Diluted	RadAwayDiluted	0012D3EF		5	15	15	50	100				chems	
Chems	RadShield	SFM04_Organic_RadShield	00081FDE		35	45	45	50	100		Rad Resist		chems	
Chems	Skeeto Spit	SkeetoSpit	00058ABC		N/A	N/A	N/A	N/A	N/A		Max HP	Not Available	chem	
Chems	Stimpak	Stimpak	00023736		10	20	20	100	200				chems	
Chems	Stimpak Diffuser	StimGas	0041557C		20	30	30	100	200				chems	
Chems	Stimpak: Diluted	StimpakDiluted	003078C2		5	15	15	100	200				chems	
Chems	Stimpak: Super	SuperStimpak	00117DF9		15	25	25	100	200				chems	
Chems	Super Chem MK I	LGN_BrawlingChemist_Chem01	005A5DB3		N/A	N/A	N/A	N/A	N/A		Damage Resist | Strength | Melee Damage	Not Available	chem	
Chems	Super Chem MK II	LGN_BrawlingChemist_Chem02	005A5DB4		N/A	N/A	N/A	N/A	N/A		Damage Resist | Extra Damage | Strength | Endurance | Melee Damage | Max HP	Not Available	chem	
Chems	Super Chem MK III	LGN_BrawlingChemist_Chem03	005A5DB5		N/A	N/A	N/A	N/A	N/A		Damage Resist | Extra Damage | Strength | Endurance | Melee Damage | Max HP	Not Available	chem	
Chems	SuperChem	LGN_BrawlingChemist_Chem04	005A5DB6		N/A	N/A	N/A	N/A	N/A		Damage Resist | Extra Damage | Strength | Endurance | Melee Damage | Max HP	Not Available	chem	
Chems	Surly's Buffout	AC_SQ01_HellsEagles_SurlysBuffout	0073BB16		N/A	N/A	N/A	N/A	N/A		Strength | Endurance | Max HP	Not Available	chem	
Chems	Survival Syringe	LGN_SurvivalShortcut_Chem01	005CBB7E		N/A	N/A	N/A					Not Available	chem	
Chems	The Fix	GHL_TheFix	007A7678		N/A	N/A	N/A	N/A	N/A			Not Available	chems	
Chems	X-Cell	XCell	001506F4		45	55	55	50	100		Strength | Perception | Endurance | Charisma | Intelligence | Agility | Luck		chems	
Condiments & Non-Perishable	Boiled Water	WaterBoiled	000366BF		N/A	N/A	N/A	N/A	N/A		Restore HP	Not Available	condiment	
Condiments & Non-Perishable	Brahmin Milk	Milk_Brahmin	003EEA41		5	15	15	50	100		Restore HP		food	
Condiments & Non-Perishable	Canned Coffee	SurvivalistCoffee	0037E0C4	Herbivore,Carnivore,Hybrid	25	35	35	50	100		Restore AP		chems	
Condiments & Non-Perishable	Chally's Milk	Milk_Chally	00553ED5		N/A	N/A	N/A				Restore HP | Strength	Not Available	food	
Condiments & Non-Perishable	Cream	Cream	0012DB3D		N/A	N/A	N/A				Restore HP	Not Available	food	
Condiments & Non-Perishable	Dirty Water	WaterDirty	0000EE1D		N/A	N/A	N/A	N/A	N/A			Not Available	condiment	
Condiments & Non-Perishable	Honey	Honey	004E7229		N/A	N/A	N/A	50	100		Restore AP	Not Available	food	
Condiments & Non-Perishable	Honeycomb	HoneyComb	004E722A		N/A	N/A	N/A				Restore AP	Not Available	food	
Condiments & Non-Perishable	Nuclear Wastewater	WaterNuclearWaste	003C2E07		N/A	N/A	N/A					Not Available	food	
Condiments & Non-Perishable	Pemmican	Pemmican	003EFC23	Carnivore	25	35	35	30	30	Carnivore	Restore HP | Endurance		food	
Condiments & Non-Perishable	Pepper	CookingFlavor_Pepper	00118617		N/A	N/A	N/A	N/A	N/A			Not Available	food	
Condiments & Non-Perishable	Purified Water	WaterPurified	000366C0		N/A	N/A	N/A	N/A	N/A		Restore HP	Not Available	condiment	
Condiments & Non-Perishable	Razorgrain Flour	Cooking_Razorgrain_Flour	00478DEC		15	25	25	50	100		Restore AP		food	
Condiments & Non-Perishable	Royal Jelly	HoneyBeastRoyalJelly	00329C9E		N/A	N/A	N/A	N/A	N/A		Restore AP	Not Available	prewar	
Condiments & Non-Perishable	Salt	CookingFlavor_Salt	00118613		N/A	N/A	N/A	N/A	N/A			Not Available	food	
Condiments & Non-Perishable	Spices	CookingFlavor_Spices	0011863E		N/A	N/A	N/A	N/A	N/A			Not Available	food	
Condiments & Non-Perishable	Sugar	CookingFlavor_Sugar	00118614		N/A	N/A	N/A	N/A	N/A		Restore AP	Not Available	food	
Condiments & Non-Perishable	Sunshine Oil	SunshineOil_RSVP02	00529DE0	Herbivore,Carnivore,Hybrid	35	45	45	50	50	Herbivore	Restore AP | Damage Resist		chems	
Condiments & Non-Perishable	Syrup	SapVegetableCooked	0029451E		10	20	20	50	100	Herbivore	Restore HP | Agility		food	
Condiments & Non-Perishable	Tick Blood	TickBlood	003D7494		N/A	N/A	N/A				Restore HP	Not Available	food	
Condiments & Non-Perishable	Toxic Goo	WaterToxicGoo	0051B568		5	15	15	100	200				condiment	
Condiments & Non-Perishable	Toxic Water	WaterToxic	0000CF92		5	15	15	100	200				condiment	
Dishes & Teas	Aged Mirelurk Queen Steak	MirelurkQueenMeatTasty	003D749D		25	35	35	30	30	Carnivore	Restore HP | Endurance		food	
Dishes & Teas	Appalachili	AppalachiliCooked_RSVP02	003DB3E7		25	35	35	30	30	Carnivore	Restore HP | Luck		food	
Dishes & Teas	Awesome Opossum Bacon	OpossumMeatCooked	004E722B		10	20	20	30	30	Carnivore	Restore HP | Luck		food	
Dishes & Teas	Baked Bloatfly	BloatflyMeatCooked	0004A151		10	20	20	30	30	Carnivore	Restore HP | Rad Resist		food	
Dishes & Teas	Black-Eyed Susan's Soothin'	SSE_SusanSoothinCooked	007B26BB	XP,Carnivore,Herbivore,Hybrid	100	110	110	15	30	Herbivore	Restore HP | XP | Extra Damage		chem	
Dishes & Teas	Blackberry Honey Crisp	BlackberryHoneyCrispGourmet	003D5F3E		25	35	35	30	30	Herbivore	Restore HP | Restore AP | AP Regen		food	
Dishes & Teas	Blackberry Juice	BlackberryFruitCookedJuice	00294521		15	25	25	30	30	Herbivore	Restore HP | AP Regen		food	
Dishes & Teas	Blight Soup	BlightVegetableCookedSoup	002944EB		15	25	25	30	30	Herbivore	Restore HP | Crit Damage		food	
Dishes & Teas	Bloatfly Loaf	BloatflyMeatTasty	003C60D1		25	35	35	30	30	Carnivore	Restore HP | Rad Resist		food	
Dishes & Teas	Bloodbug Pepper Steak	BloodbugMeatTasty	003C60D7	Carnivore	25	35	35	30	30	Carnivore	Restore HP | Heal Rate		food	
Dishes & Teas	Bloodbug Steak	BloodbugMeatCooked	0004693F		10	20	20	30	30	Carnivore	Restore HP | Max HP		food	
Dishes & Teas	Brahmin Burgers	NWOT_BrahminBurgers	00669392		15	25	25	30	30	Carnivore	Restore HP		food	
Dishes & Teas	Brain Bombs	BrainBombsGourmet	0011C5B0	XP,Herbivore,Hybrid	100	110	110	30	30	Herbivore	Restore HP | Restore AP | Intelligence		food	
Dishes & Teas	Brain Fungus Soup	BrainFungusVegetableCookedSoup	002944F1		15	25	25	30	30	Herbivore	Restore HP | Intelligence		food	
Dishes & Teas	Broiled Scorchbeast Brain	ScorchBeastMeatBrainCooked	001C719E	XP,Carnivore	100	110	110	30	30	Carnivore	Restore HP | Intelligence		food	
Dishes & Teas	Caramel Mutfruit	NWOT_CaramelMutfruit	00669393		15	25	25	30	30	Herbivore	Perception		food	
Dishes & Teas	Carnival Pie	NWOT_CarnivalPie	0066D3F2		25	35	35	30	30	Herbivore	Restore HP | Max HP		food	
Dishes & Teas	Carrot Flower Nectar	CarrotFlowerHerbCookedNectar	003D7883		15	25	25	30	30	Herbivore	Restore HP | Perception		food	
Dishes & Teas	Carrot Soup	CarrotVegetableCookedSoup	002944FD		15	25	25	30	30	Herbivore	Restore HP | Perception		food	
Dishes & Teas	Cat Meat Steak	CatMeatCooked	0029452D		N/A	N/A	N/A	N/A	N/A	Carnivore	Restore HP | Agility	Not Available	food	
Dishes & Teas	Cave Fungus Soup	CaveFungusVegetableCookedSoup	0029450E		15	25	25	N/A	N/A	Herbivore	Restore HP | Poison Resist		food	
Dishes & Teas	Chally's Feed	E02A_Meat_ChallysFeed	00552758	Herbivore	25	35	35	30	30	Herbivore	Restore HP | Luck		food	
Dishes & Teas	Charred Scorchbeast Liver	ScorchBeastMeatLiverCooked	001C71A4		10	20	20	30	30	Carnivore	Restore HP | Luck		food	
Dishes & Teas	Chew Stick	AnglerLureWeedVegetableCooked	002944CA		25	35	35	N/A	N/A	Herbivore	Restore HP | Luck		food	
Dishes & Teas	Chicken Noodle Soup	ChickenMeatCookedSoup	001119DB		15	25	25	30	30	Carnivore	Restore HP		food	
Dishes & Teas	Chitlins Con Carne	Chitlins_RSVP02	00529DDE		20	30	30	30	30	Carnivore	Restore HP | Endurance		food	
Dishes & Teas	Company Tea	CompanyTea_RSVP02	00120C9B	Herbivore,Hybrid	100	110	110	30	30	Herbivore	AP Regen		food	
Dishes & Teas	Cooked Softshell Meat	MirelurkSoftshellMeatCooked	00046942		10	20	20	30	30	Carnivore	Restore HP | Max AP		food	
Dishes & Teas	Corn Pone	CornPoneCooked_RSVP02	003CD0E7		25	35	35	30	30	Herbivore	Charisma | Restore HP		food	
Dishes & Teas	Corn Soup	CornVegetableCookedSoup	00294510		15	25	25	30	30	Herbivore	Restore HP | AP Regen		food	
Dishes & Teas	Corpse Seed Juice	CorpseFlowerSeedsFruitCookedJuice	00294522		15	25	25	N/A	N/A	Herbivore	Restore HP | Max AP		food	
Dishes & Teas	Cramburger	Cramburger_RSVP02	003E9FA6		25	35	35	30	30	Carnivore	Restore HP | Carry Weight		food	
Dishes & Teas	Cranberry Cobbler	CranberryCookedCobbler	003D5F2D		10	20	20	30	30	Herbivore	Restore HP | XP		food	
Dishes & Teas	Cranberry Jam	CranberryTastyJam	003D5F2F		25	35	35	30	30	Herbivore	Restore HP | Damage Resist		food	
Dishes & Teas	Cranberry Juice	CranberryCookedJuice	00294523		15	25	25	30	30	Herbivore	Restore HP | XP		food	
Dishes & Teas	Cranberry Meatball Grinder	CranberryMeatballGrinderGourmet	0012D42C	Carnivore	100	110	110	30	30	Both	Restore HP | Max HP		food	
Dishes & Teas	Cranberry Relish	CranberryTastyRelish	003D5F32	XP,Herbivore,Hybrid	25	35	35	30	30	Herbivore	Restore HP | XP | Restore AP		food	
Dishes & Teas	Crispy Cave Cricket	CaveCricketMeatCooked	001142FA		10	20	20	30	30	Carnivore	Restore HP | Energy Resist		food	
Dishes & Teas	Crispy Flying Ant Bits	SwarmMeatCooked	00294539		N/A	N/A	N/A			Carnivore		Not Available	food	
Dishes & Teas	Crispy Squirrel Bits	SquirrelMeatCooked	000330FA		10	20	20	30	30	Carnivore	Restore HP | Agility		food	
Dishes & Teas	Deathclaw Egg Omelette	DeathclawEggCooked	0004693C		10	20	20	30	30	Carnivore	Restore HP | Heal Rate		food	
Dishes & Teas	Deathclaw Steak	DeathclawMeatCooked	00101293		10	20	20	30	30	Carnivore	Restore HP | Strength		food	
Dishes & Teas	Deathclaw Wellington	DeathclawMeatTastySouffle	001A71E7	Carnivore	100	110	110	10	10	Carnivore	Restore HP | Strength		food	
Dishes & Teas	Dog Meat Steak	DogMeatTasty	003C60D5	Carnivore	25	35	35	30	30	Carnivore	Restore HP | Endurance		food	
Dishes & Teas	Fasnacht Donut	Donut_Fasnacht	00478DE9		35	45	45	30	30	Both	Restore HP		food	
Dishes & Teas	Fasnacht Sausage	Sausage_Fasnacht	003EEA45		30	40	40	30	30	Carnivore	Restore HP | Max HP		food	
Dishes & Teas	Firecap Soup	FirecapCookedSoup	003787C4		15	25	25	30	30	Herbivore	Restore HP | Energy Resist		food	
Dishes & Teas	Firecap Tasty Souffle	FirecapVegetableTastySouffle	003787C7		25	35	35	30	30	Herbivore	Restore HP | Energy Resist		food	
Dishes & Teas	Firecracker Berry Juice	FirecrackerBerryFruitCookedJuice	00294524		15	25	25			Herbivore			food	
Dishes & Teas	Fish and Tatos	Fishing_FishandTatos	007AED80		25	35	35	30	30	Carnivore	Restore HP | XP		food	
Dishes & Teas	Fish Chowder	Fishing_FishChowder	007B3FB6		30	40	40	30	30	Carnivore	Restore HP		food	
Dishes & Teas	Fox Jerky	FoxMeatCooked	004E7228		10	20	20	30	30	Carnivore	Restore HP | Agility		food	
Dishes & Teas	Fried Deerskins	FriedDeerskinsTasty_RSVP02	003E9FA4		25	35	35	30	30	Carnivore	Restore HP | AP Regen		food	
Dishes & Teas	Fried Fog Crawler	FogCrawlerMeatCooked	001113E0		10	20	20	30	30	Carnivore	Restore HP | Fog Resist		food	
Dishes & Teas	Fried Radroach On A Stick	NWOT_RadroachSkewer	0066D3EF		15	25	25			Carnivore	Restore HP | Agility		food	
Dishes & Teas	Fried Radtoad Legs	RadToadLegTasty	003D7499		25	35	35	30	30	Carnivore	Restore HP | Carry Weight		food	
