name,star,category,weapon_type,desc,status,is_pool,edid,attach
Zealot's,1,Armor,,,standard,False,mod_Legendary_Armor1_LessDmgScorched,Legendary Mod ¬
¬¬¬¬ Legendary Mod,1,Armor,,Generate a random ¬¬¬¬ set of Legendary Mods,deprecated,False,zzz_mod_Legendary_Armor4_Crafting,Legendary Mod ¬
,2,Armor,,Reflects 10% of melee damage back on attacker.,deprecated,True,zzz_mod_Legendary_Armor_ReflectDamage,Legendary Mod ¬¬
,2,Armor,,Increases movement speed by 5%,deprecated,True,zzz_mod_Legendary_Armor2_Speed,Legendary Mod ¬¬
Agility,2,Armor,,,standard,False,mod_Legendary_Armor2_StatAgility,Legendary Mod ¬¬
Antiseptic,2,Armor,,,standard,False,mod_Legendary_Armor2_DiseaseResistance,Legendary Mod ¬¬
Bounty Legendary Mods,2,Armor,,,standard,True,BOUNTY_modcol_Legendary_Crafting_Armor2,Legendary Mod ¬¬
Charisma,2,Armor,,,standard,False,mod_Legendary_Armor2_StatCharisma,Legendary Mod ¬¬
Elementalist,2,Armor,,,standard,False,mod_Legendary_Armor2_Elementalist,Legendary Mod ¬¬
Endurance,2,Armor,,,standard,False,mod_Legendary_Armor2_StatEndurance,Legendary Mod ¬¬
Fierce,2,Armor,,Fortify Limb Resistance based on Kill Streak count.,standard,False,mod_Legendary_Armor2_Fierce,Legendary Mod ¬¬
Fireproof,2,Armor,,,standard,False,mod_Legendary_Armor2_Fireproof,Legendary Mod ¬¬
Glutton,2,Armor,,,standard,False,mod_Legendary_Armor2_Glutton,Legendary Mod ¬¬
Hardy,2,Armor,,,standard,False,mod_Legendary_Armor2_ReduceExplosionDamage,Legendary Mod ¬¬
HazMat,2,Armor,,,standard,False,mod_Legendary_Armor2_RadResistance,Legendary Mod ¬¬
Insane,2,Armor,,,deprecated,False,zzz_BOUNTY_mod_Legendary_Armor2_Insane,Legendary Mod ¬¬
Intelligence,2,Armor,,,standard,False,mod_Legendary_Armor2_StatIntelligence,Legendary Mod ¬¬
Jagged,2,Armor,,,deprecated,False,zzz_BOUNTY_mod_Legendary_Armor2_Jagged,Legendary Mod ¬¬
Luck,2,Armor,,,standard,False,mod_Legendary_Armor2_StatLuck,Legendary Mod ¬¬
Pain Killer,2,Armor,,Gain Health over time while on a Kill Streak. Effect becomes stronger the higher the Kill Streak.,standard,False,mod_Legendary_Armor2_PainKiller,Legendary Mod ¬¬
Perception,2,Armor,,,standard,False,mod_Legendary_Armor2_StatPerception,Legendary Mod ¬¬
Poisoner's,2,Armor,,,standard,False,mod_Legendary_Armor2_PoisonResistance,Legendary Mod ¬¬
Powered,2,Armor,,,standard,False,mod_Legendary_Armor2_APRegen,Legendary Mod ¬¬
Random Legendary Mod,2,Armor,,,standard,True,modcol_Legendary_Crafting_Armor2,Legendary Mod ¬¬
Rushing,2,Armor,,Gain Action Points over time while on a Kill Streak. Effect becomes stronger the higher the Kill Streak.,standard,False,mod_Legendary_Armor2_Rushing,Legendary Mod ¬¬
Strength,2,Armor,,,standard,False,mod_Legendary_Armor2_StatStrength,Legendary Mod ¬¬
Warming,2,Armor,,,standard,False,mod_Legendary_Armor2_CryoResistance,Legendary Mod ¬¬
Acrobat's,3,Armor,,,standard,False,mod_Legendary_Armor3_LessFallDamage,Legendary Mod ¬¬¬
Active,3,Armor,,,standard,False,mod_Legendary_Armor3_Active,Legendary Mod ¬¬¬
Adamantium,3,Armor,,,standard,False,mod_Legendary_Armor3_ReducedLimbDamage,Legendary Mod ¬¬¬
Belted,3,Armor,,,standard,False,mod_Legendary_Armor3_WeightAmmo,Legendary Mod ¬¬¬
Bounty Legendary Mods,3,Armor,,,standard,True,BOUNTY_modcol_Legendary_Crafting_Armor3,Legendary Mod ¬¬¬
Burning,3,Armor,,,standard,False,mod_Legendary_Armor3_Burning,Legendary Mod ¬¬¬
Cavalier's,3,Armor,,,standard,False,mod_Legendary_Armor3_LessDamageSprinting,Legendary Mod ¬¬¬
Defender's,3,Armor,,,standard,False,mod_Legendary_Armor3_Defenders,Legendary Mod ¬¬¬
Dissipating,3,Armor,,,standard,False,mod_Legendary_Armor3_RadsRegen,Legendary Mod ¬¬¬
Diver's,3,Armor,,Regenerate Health While in Water,standard,False,mod_Legendary_Armor3_Waterbreathing,Legendary Mod ¬¬¬
Doctor's,3,Armor,,,standard,False,mod_Legendary_Armor3_IncreaseHealing,Legendary Mod ¬¬¬
Durability,3,Armor,,,standard,False,mod_Legendary_Armor3_Durability,Legendary Mod ¬¬¬
Electrified,3,Armor,,,standard,False,mod_Legendary_Armor3_Electrified,Legendary Mod ¬¬¬
Frozen,3,Armor,,,standard,False,mod_Legendary_Armor3_Frozen,Legendary Mod ¬¬¬
Glowing,3,Armor,,Gain Glow up to 10% of your Health outside of combat. (Max 50%),deprecated,False,zzz_BOUNTY_mod_Legendary_Armor3_Glowing,Legendary Mod ¬¬¬
Healthy,3,Armor,,,standard,False,mod_Legendary_Armor3_Healthy,Legendary Mod ¬¬¬
Lightweight,3,Armor,,,deprecated,False,zzz_mod_Legendary_Armor3_Weight,Legendary Mod ¬¬¬
Mad Scientist's,3,Armor,,,deprecated,False,zzz_BOUNTY_mod_Legendary_Armor3_MadScientist,Legendary Mod ¬¬¬
Pack Rat's,3,Armor,,,standard,False,mod_Legendary_Armor3_WeightJunk,Legendary Mod ¬¬¬
Random Legendary Mod,3,Armor,,,standard,True,modcol_Legendary_Crafting_Armor3,Legendary Mod ¬¬¬
Reflex,3,Armor,,,standard,False,mod_Legendary_Armor3_Reflex,Legendary Mod ¬¬¬
Safecracker's,3,Armor,,,standard,False,mod_Legendary_Armor3_LockPick,Legendary Mod ¬¬¬
Secret Agent's,3,Armor,,,standard,False,mod_Legendary_Armor3_Sneak,Legendary Mod ¬¬¬
Self-Repairing,3,Armor,,,deprecated,False,zzz_BOUNTY_mod_Legendary_Armor3_SelfRepair,Legendary Mod ¬¬¬
Sentinel's,3,Armor,,,standard,False,mod_Legendary_Armor3_LessDamageStandStill,Legendary Mod ¬¬¬
Thru-hiker's,3,Armor,,,standard,False,mod_Legendary_Armor3_WeightFoodDrinkChems,Legendary Mod ¬¬¬
Titan's,3,Armor,,Reduces damage while standing and not moving by 15%.,test,False,TEST_mod_Legendary_Armor_LessDamageStandStill,Legendary Mod ¬¬¬
Toxic,3,Armor,,,standard,False,mod_Legendary_Armor3_Toxic,Legendary Mod ¬¬¬
,4,Armor,,Increases wearer's movement speed by 10%.,deprecated,True,zzz_mod_Legendary_Armor_Speed,Legendary Mod ¬¬¬¬
,4,Armor,,,deprecated,True,zzz_mod_Legendary_Armor4_Collector_old,Legendary Mod ¬¬¬¬
4-star<Prefix> Legendary Armor Mod,4,Armor,,<Description of Armor Mod here>,standard,True,TEMPLATE_Mod_Legendary_Armor_Prefix_,Legendary Mod ¬¬¬¬
Aero Flight,4,Armor,,Reduces the AP & Fusion Core Fuel Costs of when using a Jet-Pack by 10% (up to 50% on Full Stack),deleted/wip,False,DEL_WIP4_mod_Legendary_Armor4_AeroFlight,Legendary Mod ¬¬¬¬
Battle-Loader's,4,Armor,,15% Chance to Instantly Reload When Bashing Enemies (up to 75% Chance on Full Stack),standard,False,mod_Legendary_Armor4_BattleLoaders,Legendary Mod ¬¬¬¬
Bruiser's,4,Armor,,Melee Weapons Deal +5% Bonus Damage (up to +25% on Full Stack),standard,False,mod_Legendary_Armor4_Bruiser,Legendary Mod ¬¬¬¬
Collector's Legendary Mod,4,Armor,,,deprecated,False,zzz_mod_Legendary_Armor4_Collectors,Legendary Mod ¬¬¬¬
Crusaders,4,Armor,,+1 S.P.E.C.I.A.L. Point For Each Equipped Armor Piece (up to +5 on Full Stack),update-tagged,False,P62_mod_Legendary_Armor4_Crusaders,Legendary Mod ¬¬¬¬
Daredevil's Legendary Mod,4,Armor,,,deprecated,False,zzz_mod_Legendary_Armor4_Daredevils,Legendary Mod ¬¬¬¬
Elemental Legendary Mod,4,Armor,,,deprecated,False,zzz_mod_Legendary_Armor4_Elemental,Legendary Mod ¬¬¬¬
Elusive Legendary Mod,4,Armor,,,deprecated,False,zzz_mod_Legendary_Armor4_Elusive,Legendary Mod ¬¬¬¬
Enervating Legendary Mod,4,Armor,,,deprecated,False,zzz_mod_Legendary_Armor4_ReduceEnemyResists,Legendary Mod ¬¬¬¬
Guardian's Legendary Mod,4,Armor,,,deprecated,False,zzz_mod_Legendary_Armor4_IncreaseAllyResists,Legendary Mod ¬¬¬¬
Hauler's,4,Armor,,Increases Carry Capacity by 30.,update-tagged,False,HTO_mod_Legendary_Armor4_Haulers,Legendary Mod ¬¬¬¬
Hauler's Legendary Mod,4,Armor,,,deprecated,False,zzz_mod_Legendary_Armor4_CarryWeight,Legendary Mod ¬¬¬¬
Invigorating Legendary Mod,4,Armor,,,deprecated,False,zzz_mod_Legendary_Armor4_IncreaseAPRegen,Legendary Mod ¬¬¬¬
Limit-Breaking,4,Armor,,Each Worn Armor Piece Reduces the Cost of Critical Hits by -10% (up to -50% on Full Stack),standard,False,mod_Legendary_Armor4_LimitBreak,Legendary Mod ¬¬¬¬
Metabolic,4,Armor,,"All Chems, Serums, Bobbleheads & Magazines Buffs Last 5% Longer (up to 25% on Full Stack)",update-tagged,False,P62_mod_Legendary_Armor4_Metabolic,Legendary Mod ¬¬¬¬
Miasma's,4,Armor,,,standard,False,mod_Legendary_Armor4_Miasma,Legendary Mod ¬¬¬¬
Moneybag's,4,Armor,,,deleted/wip,False,DEL_WIP4_mod_Legendary_Armor4_Moneybags,Legendary Mod ¬¬¬¬
Normal 4 Star Legendary Mods Item Pool,4,Armor,,,update-tagged,True,RA_modcol_Legendary_Crafting_Armor4,Legendary Mod ¬¬¬¬
Persisting Legendary Mod,4,Armor,,,deprecated,False,zzz_mod_Legendary_Armor4_MaxAP,Legendary Mod ¬¬¬¬
Polished,4,Armor,,"The Higher the Equipped Item Condition (+100%), the Greater the Damage Resistance Bonus (up to +30 per Equipped Item & up to +150 on Full Stack)",deleted/wip,False,DEL_WIP4_mod_Legendary_Armor4_Polished,Legendary Mod ¬¬¬¬
Raging,4,Armor,,"Upon being hit, deal +3% Damage for 10 seconds.",update-tagged,False,HTO_mod_Legendary_Armor4_Raging,Legendary Mod ¬¬¬¬
Random Legendary Mod,4,Armor,,,standard,True,modcol_Legendary_Crafting_Armor4,Legendary Mod ¬¬¬¬
Random Legendary Mod,4,Armor,,,update-tagged,True,HTO_modcol_Legendary_Crafting_Armor4,Legendary Mod ¬¬¬¬
Ranger's,4,Armor,,Ranged Weapons Deal +5% Bonus Damage (up to +25% on Full Stack),standard,False,mod_Legendary_Armor4_Ranger,Legendary Mod ¬¬¬¬
Rebounders,4,Armor,,Return 10% of Ballistic & Explosive Damage Received From An Enemy Target Back Towards Them (up to 50% on Full Stack),update-tagged,False,P62_mod_Legendary_Armor4_Rebounders,Legendary Mod ¬¬¬¬
Runner's,4,Armor,,Sprinting Action Point Cost Reduced by -20% (up to -100% on Full Stack),standard,False,mod_Legendary_Armor4_Runner,Legendary Mod ¬¬¬¬
Sawbones,4,Armor,,,standard,False,mod_Legendary_Armor4_Sawbones,Legendary Mod ¬¬¬¬
Stagger-Proof,4,Armor,,20% Chance to Not Stagger from any Damage Types (up to 100% on Full Stack),deleted/wip,False,DEL_WIP4_mod_Legendary_Armor4_StaggerProof,Legendary Mod ¬¬¬¬
Tanky's,4,Armor,,+200 Damage Resist for 10s When Standing Still (20s Cooldown) (up to +1000 on Full Stack),standard,False,mod_Legendary_Armor4_Tanky,Legendary Mod ¬¬¬¬
Vector,4,Armor,,Gain 10% Bonus V.A.T.S. Accuracy Against Distant Targets,update-tagged,False,HTO_mod_Legendary_Armor4_Vector,Legendary Mod ¬¬¬¬
,5,Armor,,+20 Health,deprecated,True,zzz_mod_Legendary_Armor_MaxHealth,Legendary Mod ¬¬¬¬¬
,,Armor,Melee,Reflects 10% of melee damage back on attacker,deprecated,True,zzz_mod_Legendary_Armor4_ReflectMelee,
,,Armor,,,standard,True,_PARENT_mod_Legendary_Armor_WEIGHTVALUE_4,Material
,,Armor,,,standard,True,_PARENT_mod_Legendary_Armor_WEIGHTVALUE_3,Material
,,Armor,,,standard,True,_PARENT_mod_Legendary_Armor_WEIGHTVALUE_1,Material
,,Armor,,,standard,True,_PARENT_mod_Legendary_Armor_WEIGHTVALUE_5,Material
,,Armor,,,standard,True,_PARENT_mod_Legendary_Armor_WEIGHTVALUE_2,Material
,,Armor,,,standard,True,mod_Legendary_Armor_Crafted,Extract Legendary Mods
Action Points,,Armor,,+5 Action Points,deprecated,False,zzz_mod_Legendary_Armor5_AP,
Barbarian's,,Armor,,+% Melee Attack Speed based on Killstreak Count,deprecated,False,zzz_BOUNTY_mod_Legendary_Armor4_Barbarian,
Cryogenic,,Armor,Melee,"10% chance to freeze melee attackers, once every 20 seconds",deprecated,False,zzz_mod_Legendary_Armor4_OnMeleeHitFreeze,
Duelist's,,Armor,Melee,10% chance to disarm melee attackers,deprecated,False,zzz_mod_Legendary_Armor4_OnMeleeDisarm,
Health,,Armor,,+5 Health,deprecated,False,zzz_mod_Legendary_Armor5_Health,
Heavyweight's Legendary Mod,,Armor,,"Grants up to +20 Energy Resistance and Damage Resistance, the higher your carry weight",deprecated,False,zzz_mod_Legendary_Armor1_ResistancesProportionalCarryWeight,
Incendiary,,Armor,Melee,"30% chance to ignite melee attackers, once every 20 seconds",deprecated,False,zzz_mod_Legendary_Armor4_OnMeleeHitBurn,
Random Legendary Mod,,Armor,,,standard,True,modcol_Legendary_Armor2_Set_V94,
Random Legendary Mod,,Armor,,,standard,True,modcol_Legendary_Armor1_Set_V94,
Random Legendary Mod,,Armor,,,standard,True,modcol_Legendary_Armor3_Set_V94,
Random Legendary Mod,,Armor,,,standard,True,modcol_Legendary_Armor1_Helmet,
Random ¬,,Armor,,"Generate a random ¬ Legendary Mod. This will replace any existing ¬, ¬¬, and ¬¬¬ Legendary Mods.",standard,False,mod_Legendary_Crafting_Armor1,Add Legendary Mods
Random ¬¬,,Armor,,"Generate random ¬ and ¬¬  Legendary Mods. This will replace any existing ¬, ¬¬, and ¬¬¬ Legendary Mods.",standard,False,mod_Legendary_Crafting_Armor2,Add Legendary Mods
Random ¬¬¬,,Armor,,"Generate random ¬, ¬¬, and ¬¬¬  Legendary Mods. This will replace any existing ¬, ¬¬, and ¬¬¬ Legendary Mods.",standard,False,mod_Legendary_Crafting_Armor3,Add Legendary Mods
Random ¬¬¬¬,,Armor,,"Generate random ¬, ¬¬, ¬¬¬ and ¬¬¬¬  Legendary Mods. This will replace any existing ¬, ¬¬, ¬¬¬ and ¬¬¬¬ Legendary Mods.",standard,False,mod_Legendary_Crafting_Armor4,Add Legendary Mods
Reflect Projectiles,,Armor,,Gain a 5% chance to reflect projectiles back at the attacker,deprecated,False,zzz_mod_Legendary_Armor4_ReflectProjectiles,
Resistances,,Armor,,+5 Damage Resistance and Energy Resistance,deprecated,False,zzz_mod_Legendary_Armor5_Resistance,
Savage's,,Armor,,+% Reload Speed based on Killstreak Count,deprecated,False,zzz_BOUNTY_mod_Legendary_Armor4_Savage,
V.A.T.S. Enhanced,,Armor,,10% reduced Action Point costs in V.A.T.S.,deprecated,False,zzz_mod_Legendary_Armor4_APCost,
,1,Other,,,standard,True,mod_Legendary_Null,Legendary Mod ¬
Bloodied,2,Other,,,unique/custom,False,mod_Custom_Legendary_WarBloodied,Legendary Mod ¬¬
Quad,2,Other,,,unique/custom,False,Bounty_mod_Custom_QuadLegendary2,Legendary Mod ¬¬
Extract ¬,,Other,,Destroy the item for a chance to get the  ¬ Legendary Mod.,standard,False,mod_Legendary_Extract_1,Extract Legendary Mods
Extract ¬¬,,Other,,Destroy the item for a chance to get the  ¬¬ Legendary Mod.,standard,False,mod_Legendary_Extract_2,Extract Legendary Mods
Extract ¬¬¬,,Other,,Destroy the item for a chance to get the  ¬¬¬ Legendary Mod.,standard,False,mod_Legendary_Extract_3,Extract Legendary Mods
Extract ¬¬¬¬,,Other,,Destroy the item for a chance to get the  ¬¬¬¬ Legendary Mod.,standard,False,mod_Legendary_Extract_4,Extract Legendary Mods
,1,Power Armor,,,deprecated,True,zzz_mod_PowerArmor_Legendary_Any_Unbreakable,Legendary Mod ¬
Adrenal,1,Power Armor,,+10 Damage and Energy Resistance per kill while on a Kill Streak (Max 10).,standard,False,mod_Legendary_PowerArmor1_Adrenal,Legendary Mod ¬
Aristocrat's,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_ResistancesProportionalCaps,Legendary Mod ¬
Assassin's,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_LessDMGPlayers,Legendary Mod ¬
Auto Stim,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_LowHealthTriggersStimpak,Legendary Mod ¬
Bolstering,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_ResistancesInverseHealth,Legendary Mod ¬
Bounty Legendary Mods,1,Power Armor,,,standard,True,BOUNTY_modcol_Legendary_Crafting_PowerArmor1,Legendary Mod ¬
Chameleon,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_Chameleon,Legendary Mod ¬
Cloaking,1,Power Armor,Melee,,standard,False,mod_Legendary_PowerArmor1_CloakOnMelee,Legendary Mod ¬
Exterminator's,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_LessDMGBugs,Legendary Mod ¬
Feral's,1,Power Armor,,,deprecated,False,zzz_BOUNTY_mod_Legendary_PowerArmor1_Feral,Legendary Mod ¬
Ghoul Slayer's,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_LessDMGGhouls,Legendary Mod ¬
Hunter's,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_LessDMGAnimals,Legendary Mod ¬
Low Weight,1,Power Armor,,Low carry weight.,deprecated,False,zzz_mod_PowerArmor_Legendary_Any_Low_Weight,Legendary Mod ¬
Lucid,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_Lucid,Legendary Mod ¬
Mutant Slayer's,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_LessDMGSuperMutants,Legendary Mod ¬
Mutant's,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_ResistancesMutation,Legendary Mod ¬
Nocturnal,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_ResistancesNight,Legendary Mod ¬
Overeater's,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_Overeater,Legendary Mod ¬
Random Legendary Mod,1,Power Armor,,,standard,True,modcol_Legendary_Crafting_PowerArmor1,Legendary Mod ¬
Regenerating,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_HealthRegen,Legendary Mod ¬
Troubleshooter's,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_LessDMGRobots,Legendary Mod ¬
Vanguard's,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_ResistancesProportionalHealth,Legendary Mod ¬
Weightless Legendary Mod,1,Power Armor,,,deprecated,False,zzz_mod_Legendary_PowerArmor1_Weightless,Legendary Mod ¬
Zealot's,1,Power Armor,,,standard,False,mod_Legendary_PowerArmor1_LessDmgScorched,Legendary Mod ¬
¬¬¬¬ Legendary Mod,1,Power Armor,,Generate a random ¬¬¬¬ set of Legendary Mods,deprecated,False,zzz_mod_Legendary_PowerArmor4_Crafting,Legendary Mod ¬
Agility,2,Power Armor,,,standard,False,mod_Legendary_PowerArmor2_StatAgility,Legendary Mod ¬¬
Antiseptic,2,Power Armor,,,standard,False,mod_Legendary_PowerArmor2_DiseaseResistance,Legendary Mod ¬¬
Bounty Legendary Mods,2,Power Armor,,,standard,True,BOUNTY_modcol_Legendary_Crafting_PowerArmor2,Legendary Mod ¬¬
Charisma,2,Power Armor,,,standard,False,mod_Legendary_PowerArmor2_StatCharisma,Legendary Mod ¬¬
Elementalist,2,Power Armor,,,standard,False,mod_Legendary_PowerArmor2_Elementalist,Legendary Mod ¬¬
Endurance,2,Power Armor,,,standard,False,mod_Legendary_PowerArmor2_StatEndurance,Legendary Mod ¬¬
Fierce,2,Power Armor,,Fortify Limb Resistance based on Kill Streak count.,deprecated,False,zzz_mod_Legendary_PowerArmor2_Fierce,Legendary Mod ¬¬
Fireproof,2,Power Armor,,,standard,False,mod_Legendary_PowerArmor2_Fireproof,Legendary Mod ¬¬
Glutton,2,Power Armor,,,standard,False,mod_Legendary_PowerArmor2_Glutton,Legendary Mod ¬¬
Hardy,2,Power Armor,,,standard,False,mod_Legendary_PowerArmor2_ReduceExplosionDamage,Legendary Mod ¬¬
HazMat,2,Power Armor,,,standard,False,mod_Legendary_PowerArmor2_RadResistance,Legendary Mod ¬¬
Intelligence,2,Power Armor,,,standard,False,mod_Legendary_PowerArmor2_StatIntelligence,Legendary Mod ¬¬
Jagged,2,Power Armor,,,deprecated,False,zzz_BOUNTY_mod_Legendary_PowerArmor2_Jagged,Legendary Mod ¬¬
Luck,2,Power Armor,,,standard,False,mod_Legendary_PowerArmor2_StatLuck,Legendary Mod ¬¬
Pain Killer,2,Power Armor,,Gain Health over time while on a Kill Streak. Effect becomes stronger the higher the Kill Streak.,standard,False,mod_Legendary_PowerArmor2_PainKiller,Legendary Mod ¬¬
Perception,2,Power Armor,,,standard,False,mod_Legendary_PowerArmor2_StatPerception,Legendary Mod ¬¬
Poisoner's,2,Power Armor,,,standard,False,mod_Legendary_PowerArmor2_PoisonResistance,Legendary Mod ¬¬
Powered,2,Power Armor,,,standard,False,mod_Legendary_PowerArmor2_APRegen,Legendary Mod ¬¬
Random Legendary Mod,2,Power Armor,,,standard,True,modcol_Legendary_Crafting_PowerArmor2,Legendary Mod ¬¬
Rushing,2,Power Armor,,Gain Action Points over time while on a Kill Streak. Effect becomes stronger the higher the Kill Streak.,standard,False,mod_Legendary_PowerArmor2_Rushing,Legendary Mod ¬¬
Strength,2,Power Armor,,,standard,False,mod_Legendary_PowerArmor2_StatStrength,Legendary Mod ¬¬
Warming,2,Power Armor,,,standard,False,mod_Legendary_PowerArmor2_CryoResistance,Legendary Mod ¬¬
Active,3,Power Armor,,,standard,False,mod_Legendary_PowerArmor3_Active,Legendary Mod ¬¬¬
Arms Keeper's,3,Power Armor,,,standard,False,mod_Legendary_PowerArmor3_WeightWeapons,Legendary Mod ¬¬¬
Belted,3,Power Armor,,,standard,False,mod_Legendary_PowerArmor3_WeightAmmo,Legendary Mod ¬¬¬
Bounty Legendary Mods,3,Power Armor,,,standard,True,BOUNTY_modcol_Legendary_Crafting_PowerArmor3,Legendary Mod ¬¬¬
Burning,3,Power Armor,,,standard,False,mod_Legendary_PowerArmor3_Burning,Legendary Mod ¬¬¬
Cavalier's,3,Power Armor,,,standard,False,mod_Legendary_PowerArmor3_LessDamageSprinting,Legendary Mod ¬¬¬
Defender's,3,Power Armor,,,standard,False,mod_Legendary_PowerArmor3_Defenders,Legendary Mod ¬¬¬
Dissipating,3,Power Armor,,,standard,False,mod_Legendary_PowerArmor3_RadsRegen,Legendary Mod ¬¬¬
Doctor's,3,Power Armor,,,standard,False,mod_Legendary_PowerArmor3_IncreaseHealing,Legendary Mod ¬¬¬
Durability,3,Power Armor,,,standard,False,mod_Legendary_PowerArmor3_Durability,Legendary Mod ¬¬¬
Electrified,3,Power Armor,,,standard,False,mod_Legendary_PowerArmor3_Electrified,Legendary Mod ¬¬¬
Frozen,3,Power Armor,,,standard,False,mod_Legendary_PowerArmor3_Frozen,Legendary Mod ¬¬¬
Glowing,3,Power Armor,,Gain Glow up to 10% of your Health outside of combat. (Max 50%),deprecated,False,zzz_BOUNTY_mod_Legendary_PowerArmor3_Glowing,Legendary Mod ¬¬¬
Healthy,3,Power Armor,,,standard,False,mod_Legendary_PowerArmor3_Healthy,Legendary Mod ¬¬¬
Lightweight,3,Power Armor,,,deprecated,False,zzz_mod_Legendary_PowerArmor3_Weight,Legendary Mod ¬¬¬
Pack Rat's,3,Power Armor,,,standard,False,mod_Legendary_PowerArmor3_WeightJunk,Legendary Mod ¬¬¬
Random Legendary Mod,3,Power Armor,,,standard,True,modcol_Legendary_Crafting_PowerArmor3,Legendary Mod ¬¬¬
Reduced limb damage,3,Power Armor,,,deprecated,False,zzz_mod_Legendary_PowerArmor3_ReducedLimbDamage,Legendary Mod ¬¬¬
Safecracker's,3,Power Armor,,,standard,False,mod_Legendary_PowerArmor3_LockPick,Legendary Mod ¬¬¬
Sentinel's,3,Power Armor,,,standard,False,mod_Legendary_PowerArmor3_LessDamageStandStill,Legendary Mod ¬¬¬
