seasonNumber	name	expectedAvif	ddsPath	reason
2	Player Icon: Ace Full Assault	score_s2_playericon_armorace01.avif	textures/atx/storefront/player/playericons/atx_playericon_score_05.dds	texture not in extraction
2	Player Icon: Armor Ace Helmet	score_s2_playericon_armorace02.avif	textures/atx/storefront/player/playericons/atx_playericon_score_06.dds	texture not in extraction
2	Player Icon: Brickhouse	score_s2_playericon_brickhouse01.avif	textures/atx/storefront/player/playericons/atx_playericon_score_07.dds	texture not in extraction
2	Player Icon: Platinum	score_s2_playericon_platinum01.avif	textures/atx/storefront/player/playericons/atx_playericon_score_10.dds	texture not in extraction
2	Player Icon: Subjugator's Power	score_s2_playericon_subjugator02.avif	textures/atx/storefront/player/playericons/atx_playericon_score_11.dds	texture not in extraction
2	Player Icon: Subjugator's Glare	score_s2_playericon_subjugator03.avif	textures/atx/storefront/player/playericons/atx_playericon_score_13.dds	texture not in extraction
2	Mind Blown Emote	score_s2_emotes_misc_mindblown.avif		no texture path in ENTM
2	Watching You Emote	score_s2_emotes_taunt_watchingyou.avif		no texture path in ENTM
2	Red Viper Hat	score_s2_apparel_headwear_redviper.avif	textures/atx/storefront/player/headwear/score_s2_apparel_headwear_redviper.dds	texture not in extraction
2	Communist Hunting Rifle Paint	score_s2_skin_weaponskin_huntingrifle_communist.avif	textures/atx/storefront/player/weaponskin/score_s2_skin_weaponskin_huntingrifle_communist.dds	texture not in extraction
2	West Virginia Electric Train Set	score_s2_camp_floordecor_electrictrainset_wv.avif	textures/atx/storefront/camp/floordecoration/atx_camp_structure_decoration_modeltrainset.dds	texture not in extraction
2	Tropic Lightning Camo Skin (Handmade Rifle)	score_s2_skin_weaponmodel_handmadegun_tropiclightning_camo.avif	textures/atx/storefront/player/weaponmodel/atx_skin_weaponmodel_handmadegun_tropiclightning_camo.dds	texture not in extraction
3	Player Icon: K.D. Inkwell	score_s3_playericon_kdinkwell.avif	textures/atx/storefront/player/playericons/atx_playericon_score_14.dds	texture not in extraction
3	Player Icon: K.D. Inkwell's Quill	score_s3_playericon_quill.avif	textures/atx/storefront/player/playericons/atx_playericon_score_16.dds	texture not in extraction
3	Player Icon: Cynnoc	score_s3_playericon_cynnoc.avif	textures/atx/storefront/player/playericons/atx_playericon_score_15.dds	texture not in extraction
3	Solomon Hardy Outfit	score_s3_apparel_outfit_solomonhardy.avif	textures/atx/storefront/player/outfit/score_s3_apparel_outfit_solomonhardy.dds	texture not in extraction
3	K.D. Inkwell Headwear	score_s3_apparel_headwear_kdinkwell.avif	textures/atx/storefront/player/headwear/score_s3_apparel_headwear_kdinkwell.dds	texture not in extraction
3	Vertiguard Power Armor Paint	score_s3_skin_powerarmor_model_vertibird.avif	textures/atx/storefront/player/powerarmor/atx_skin_powerarmor_paint_vertibird.dds	texture not in extraction
3	Vertiguard Jet Pack	score_s3_skin_powerarmor_jetpack_vertibird.avif	textures/atx/storefront/player/powerarmor/atx_skin_powerarmor_jetpack_vertibird.dds	texture not in extraction
3	Scavenging Station with Gold Scavenge Bot	score_s3_camp_utility_collectron_goldbot.avif	textures/atx/storefront/camp/utility/atx_camp_utility_scavengestation_gold.dds	texture not in extraction
3	Clean Hospital Bed	score_s3_camp_bed_babylon_hospitalbed_clean.avif	textures/atx/storefront/camp/beds/atx_camp_bed_babylon_hospitalbed_clean.dds	texture not in extraction
3	Clean Toilet	score_s3_camp_floordecor_toilet_clean.avif	textures/atx/storefront/camp/utility/atx_camp_utility_toilet_clean.dds	texture not in extraction
3	Antique Speed Bag	score_s3_camp_floordecor_exerciseequipment_antiquespeedbag.avif	textures/atx/storefront/camp/floordecoration/atx_camp_floordecor_exerciseequipment_antiquespeedbag.dds	texture not in extraction
3	Clean Office Cabinet	score_s3_camp_stashbox_babylon_officefilecabinet01.avif	textures/atx/storefront/camp/furniture/atx_camp_furniture_babylon_officefilecabinet01_lootprewar.dds	texture not in extraction
3	Vintage Tacklebox Loot Bag	score_s3_skin_lootbag_vintage_tacklebox.avif	textures/atx/storefront/player/lootbags/atx_skin_lootbag_vintage_tacklebox.dds	texture not in extraction
3	Red Rocket Mini Mart	score_s3_camp_vendor_playervendingmachine_redrocketminimart.avif	textures/atx/storefront/camp/vendors/atx_camp_vendor_playervendingmachine_redrocketminimart.dds	texture not in extraction
3	Power Armor Helmet Backpack Flair	score_s3_skin_backpackflair_pahelmet.avif	textures/atx/storefront/player/flair/score_s3_skin_backpackflair_pahelmet.dds	texture not in extraction
4	Player Icon: Commissioner Chaos	score_s4_playericon_commisionerchaos.avif	textures/atx/storefront/player/playericons/atx_playericon_score_20.dds	texture not in extraction
4	Player Icon: Cold Steel	score_s4_playericon_coldsteel.avif	textures/atx/storefront/player/playericons/atx_playericon_score_22.dds	texture not in extraction
4	Player Icon: Mister Shivers	score_s4_playericon_yukonfive.avif	textures/atx/storefront/player/playericons/atx_playericon_score_23.dds	texture not in extraction
4	Player Icon: Complete Chaos	score_s4_playericon_endofseason.avif	textures/atx/storefront/player/playericons/atx_playericon_score_21.dds	texture not in extraction
4	Player Icon: Icebreaker	score_s4_playericon_coldsteel_2.avif	textures/atx/storefront/player/playericons/atx_playericon_score_18.dds	texture not in extraction
4	Player Icon: Doubletap	score_s4_playericon_coldsteel_3.avif	textures/atx/storefront/player/playericons/atx_playericon_score_19.dds	texture not in extraction
4	Player Icon: Cold Steel Icon 4	score_s4_playericon_coldsteel_4.avif	textures/atx/storefront/player/playericons/atx_playericon_score_14.dds	texture not in extraction
4	Hunting Lever Action Rifle Paint	score_s4_skin_weaponskin_levergun_hunting.avif	textures/atx/storefront/player/weaponskin/atx_skin_weaponskin_levergun_goldandblue.dds	texture not in extraction
4	Starburst Brick Floor and Foundations	score_s4_camp_floor_brick_starburst.avif	textures/atx/storefront/camp/floors/score_s4_camp_floor_brick_starburst.dds	texture not in extraction
4	Armor Ace Power Armor Station	score_s4_camp_machinery_workbench_powerarmor_armorace.avif	textures/atx/storefront/camp/machinery/atx_camp_machinery_workbench_powerarmor_armorace.dds	texture not in extraction
4	Female Mannequin	score_s4_camp_display_mannequin_female.avif	textures/atx/storefront/camp/utility/atx_camp_display_mannequin_female.dds	texture not in extraction
4	Male Mannequin	score_s4_camp_display_mannequin_male.avif	textures/atx/storefront/camp/utility/atx_camp_display_mannequin_male.dds	texture not in extraction
5	Player Icon: 42nd Century	score_s5_playericon_inkwell_42.avif	textures/atx/storefront/player/playericons/atx_playericon_score_25.dds	texture not in extraction
5	Player Icon: K.D. Inkwell Escape	score_s5_playericon_mind.avif	textures/atx/storefront/player/playericons/atx_playericon_score_24.dds	texture not in extraction
5	Player Icon: Green Skull	score_s5_playericon_greenskull.avif	textures/atx/storefront/player/playericons/atx_playericon_score_27.dds	texture not in extraction
5	Player Icon: M.I.N.D. Overlord	score_s5_playericon_overlord.avif	textures/atx/storefront/player/playericons/atx_playericon_score_28.dds	texture not in extraction
5	Player Icon: Orange M.I.N.D.	score_s5_playericon_overlord_orange.avif	textures/atx/storefront/player/playericons/atx_playericon_score_26.dds	texture not in extraction
5	Player Icon: K.D. Inkwell Dashing	score_s5_playericon_dashing.avif	textures/atx/storefront/player/playericons/atx_playericon_score_30.dds	texture not in extraction
5	Player Icon: Alistair	score_s5_playericon_alistair.avif	textures/atx/storefront/player/playericons/atx_playericon_score_29.dds	texture not in extraction
5	Triumphant Alistair Emote	score_s5_emotes_yes_triumphant.avif		no texture path in ENTM
5	Blood Eagle Charmer Hat	score_s5_apparel_headwear_bloodeaglemerc_charmer1.avif	textures/atx/storefront/player/headwear/atx_apparel_headwear_bloodeaglemerc_charmer1.dds	texture not in extraction
5	Blood Eagle Charmer Helmet	score_s5_apparel_headwear_bloodeaglemerc_charmer2.avif	textures/atx/storefront/player/headwear/atx_apparel_headwear_bloodeaglemerc_charmer2.dds	texture not in extraction
5	Blood Eagle Charmer Leather Outfit	score_s5_apparel_outfit_bloodeaglemerc_charmer1.avif	textures/atx/storefront/player/outfit/atx_apparel_outfit_bloodeaglemerc_charmer1.dds	texture not in extraction
5	Blood Eagle Charmer Blouse Outfit	score_s5_apparel_outfit_bloodeaglemerc_charmer2.avif	textures/atx/storefront/player/outfit/atx_apparel_outfit_bloodeaglemerc_charmer2.dds	texture not in extraction
5	Double-Barrel Paint (Double-Barrel Shotgun)	score_s5_skin_weaponskin_doublebarrelshotgun.avif	textures/atx/storefront/player/weaponskin/score_s5_skin_weaponskin_doublebarrelshotgun.dds	texture not in extraction
5	Fortune Teller Machine	score_s5_camp_floordecor_fortunetellermachine.avif	textures/atx/storefront/camp/floordecoration/atx_camp_floordecor_fortunetellermachine.dds	texture not in extraction
5	Guild Wallpaper Set	score_s5_camp_wallpaper_guild_set.avif	textures/atx/storefront/camp/wallpaper/score_s5_camp_wallpaper_guild_set.dds	texture not in extraction
5	M.I.N.D. Propoganda Poster Set 1	score_s5_camp_walldeco_poster_set1.avif	textures/atx/storefront/camp/walldecoration/score_s5_camp_walldeco_poster_set1.dds	texture not in extraction
5	M.I.N.D. Propoganda Poster Set 2	score_s5_camp_walldeco_poster_set2.avif	textures/atx/storefront/camp/walldecoration/score_s5_camp_walldeco_poster_set2.dds	texture not in extraction
6	Player Icon: Inspector	score_s6_playericon_inspector.avif	textures/atx/storefront/player/playericons/atx_playericon_score_31.dds	texture not in extraction
6	Player Icon: Silver Shroud	score_s6_playericon_silvershroud.avif	textures/atx/storefront/player/playericons/atx_playericon_score_34.dds	texture not in extraction
6	Player Icon: Mistress of Mystery	score_s6_playericon_mistress.avif	textures/atx/storefront/player/playericons/atx_playericon_score_32.dds	texture not in extraction
6	Player Icon: Grognak	score_s6_playericon_grognak.avif	textures/atx/storefront/player/playericons/atx_playericon_score_33.dds	texture not in extraction
6	Player Icon: Manta Man	score_s6_playericon_mantaman.avif	textures/atx/storefront/player/playericons/atx_playericon_score_35.dds	texture not in extraction
6	Player Icon: SamurEye	score_s6_playericon_samureye.avif	textures/atx/storefront/player/playericons/atx_playericon_score_36.dds	texture not in extraction
6	Player Icon: Catarax	score_s6_playericon_catarax.avif	textures/atx/storefront/player/playericons/atx_playericon_score_38.dds	texture not in extraction
6	Player Icon: Pyramind	score_s6_playericon_pyramind.avif	textures/atx/storefront/player/playericons/atx_playericon_score_37.dds	texture not in extraction
6	Blood Eagle Mercenary  Outfit	score_s6_apparel_outfit_reuse.avif	textures/atx/storefront/player/outfit/score_s5_apparel_outfit_bloodeagle_mercenary.dds	texture not in extraction
6	Blood Eagle Mercenary Headwear	score_s6_apparel_headwear_reuse.avif	textures/atx/storefront/player/headwear/score_s5_apparel_headwear_bloodeagle_mercenary.dds	texture not in extraction
6	Mistress Power Armor HELLCAT Paint	score_s6_skin_powerarmor_paint_hellcat_mistress.avif	textures/atx/storefront/player/powerarmor/score_s6_skin_powerarmor_paint_hellcat_mistress.dds	texture not in extraction
6	Grognak Tile Floor and Foundations	score_s6_camp_floor_grognak.avif	textures/atx/storefront/camp/floors/score_s6_camp_floor_grognak.dds	texture not in extraction
6	Unstoppables! Poster	score_s6_camp_floordecor_unstoppables.avif	textures/atx/storefront/camp/floordecoration/score_s6_camp_floor_unstoppables.dds	texture not in extraction
6	Unstoppables Vs Dr. BrainWash	score_s6_camp_walldeco_poster_hubriscomics_brainwash.avif	textures/atx/storefront/camp/walldecoration/atx_camp_walldeco_poster_hubriscomics_brainwash.dds	texture not in extraction
6	Grognak the Barbarian Poster	score_s6_camp_walldeco_poster_hubriscomics_grognak.avif	textures/atx/storefront/camp/walldecoration/atx_camp_walldeco_poster_hubriscomics_grognak.dds	texture not in extraction
6	Manta Man Posters	score_s6_camp_walldeco_poster_hubriscomics_mantaman.avif	textures/atx/storefront/camp/walldecoration/atx_camp_walldeco_poster_hubriscomics_mantaman.dds	texture not in extraction
6	Unstoppables Vs Pterror-Dactyls Posters	score_s6_camp_walldeco_poster_hubriscomics_pterror.avif	textures/atx/storefront/camp/walldecoration/atx_camp_walldeco_poster_hubriscomics_pterror.dds	texture not in extraction
6	Grognak Wallpaper	score_s6_camp_wallpaper_grognak.avif	textures/atx/storefront/camp/wallpaper/score_s6_camp_wallpaper_grognak.dds	texture not in extraction
7	Player Icon: Heroic Captain Cosmos	score_s7_playericon_captcosmos_s1.avif	textures/atx/storefront/player/playericons/atx_playericon_score_08.dds	texture not in extraction
7	Player Icon: Jangles	score_s7_playericon_jangles_s1.avif	textures/atx/storefront/player/playericons/atx_playericon_score_09.dds	texture not in extraction
7	Player Icon: Zorbo	score_s7_playericon_zorbo_s1.avif	textures/atx/storefront/player/playericons/atx_playericon_score_12.dds	texture not in extraction
7	Player Icon: General Confusion	score_s7_playericon_generalconfusion.avif	textures/atx/storefront/player/playericons/atx_playericon_score_41.dds	texture not in extraction
7	Player Icon: Skellscream	score_s7_playericon_skellscream.avif	textures/atx/storefront/player/playericons/atx_playericon_score_40.dds	texture not in extraction
7	Player Icon: Opus and Obra	score_s7_playericon_opusobra.avif	textures/atx/storefront/player/playericons/atx_playericon_score_43.dds	texture not in extraction
7	Player Icon: Floating Face Farrah	score_s7_playericon_floatingface.avif	textures/atx/storefront/player/playericons/atx_playericon_score_42.dds	texture not in extraction
7	Player Icon: Dr. Zorbo	score_s7_playericon_drzorbo.avif	textures/atx/storefront/player/playericons/atx_playericon_score_39.dds	texture not in extraction
7	Player Icon: Baron von Longneck	score_s7_playericon_baron.avif	textures/atx/storefront/player/playericons/atx_playericon_score_44.dds	texture not in extraction
7	Confusion Emote	score_s7_emotes_confused_scorched.avif	textures/atx/storefront/player/emotes/score_s7_emotes_confused_scorched.dds	texture not in extraction
7	Come Get Me! Emote	score_s7_emotes_taunt_wanted.avif	textures/atx/storefront/player/emotes/score_s7_emotes_taunt_wanted.dds	texture not in extraction
7	Watoga Jumpsuit	score_s7_apparel_outfit_jumpsuit_watoga.avif	textures/atx/storefront/player/outfit/atx_apparel_outfit_jumpsuit_watoga.dds	texture not in extraction
7	Clean Blue Suit	score_s7_apparel_outfit_suitclean_blue.avif	textures/atx/storefront/player/outfit/atx_apparel_outfit_suitclean_blue.dds	texture not in extraction
7	Military Stars Floor and Foundations	score_s7_camp_floor_militarystar.avif	textures/atx/storefront/camp/floors/atx_camp_floor_militarystar.dds	texture not in extraction
7	Starscape Floors and Foundations	score_s7_camp_floor_starscape.avif	textures/atx/storefront/camp/floors/score_s7_camp_floor_starscape.dds	texture not in extraction
7	Zetan Matrix Collectron Station	score_s7_camp_utility_collectron_zetan.avif	textures/atx/storefront/camp/utility/score_s7_camp_utility_collectron_zetan.dds	texture not in extraction
7	Starscape Wallpaper	score_s7_camp_wallpaper_starscape.avif	textures/atx/storefront/camp/wallpaper/score_s7_camp_wallpaper_starscape.dds	texture not in extraction
8	Player Icon: Creepy Baby	score_s8_playericon_creepybaby.avif	textures/atx/storefront/player/playericons/atx_playericon_score_48.dds	texture not in extraction
8	Player Icon: Underground Logo	score_s8_playericon_undergroundlogo.avif	textures/atx/storefront/player/playericons/atx_playericon_score_45.dds	texture not in extraction
8	Player Icon: Target Practice	score_s8_playericon_targetpractice.avif	textures/atx/storefront/player/playericons/atx_playericon_score_49.dds	texture not in extraction
8	Player Icon: Dinner's Served	score_s8_playericon_dinnersserved.avif	textures/atx/storefront/player/playericons/atx_playericon_score_50.dds	texture not in extraction
8	Player Icon: Extra Handed Vault Girl	score_s8_playericon_2headedvaultgirl.avif	textures/atx/storefront/player/playericons/atx_playericon_score_47.dds	texture not in extraction
8	Player Icon: Expert Hacker	score_s8_playericon_experthacker.avif	textures/atx/storefront/player/playericons/atx_playericon_perks_11.dds	texture not in extraction
8	Player Icon: Skellscream	score_s8_playericon_rank74icon.avif	textures/atx/storefront/player/playericons/atx_playericon_score_40.dds	texture not in extraction
8	RobCo Jumpsuit	score_s8_apparel_outfit_jumpsuit_robco.avif	textures/atx/storefront/player/outfit/atx_apparel_outfit_jumpsuit_robco.dds	texture not in extraction
8	Yellow T-45 Power Armor Paint	score_s8_skin_powerarmor_paint_t45_basicyellow.avif	textures/atx/storefront/player/powerarmor/atx_skin_powerarmor_paint_basicyellow.dds	texture not in extraction
8	Yellow Excavator Power Armor Paint	score_s8_skin_powerarmor_paint_excavator_basicyellow.avif	textures/atx/storefront/player/powerarmor/atx_skin_powerarmor_paint_excavator_basicyellow.dds	texture not in extraction
8	Locomotive Railway Rifle Paint	score_s8_skin_weaponskin_railwayrifle_locomotive.avif	textures/atx/storefront/player/weaponskin/atx_skin_weaponskin_railwayrifle_locomotive.dds	texture not in extraction
8	Blue Shag Carpet Floor and Foundations	score_s8_camp_floor_shagcarpetblue.avif	textures/atx/storefront/camp/floors/atx_camp_floor_carpetblue01.dds	texture not in extraction
8	Communist Bunker	score_s8_camp_structure_vaulttecstoragefacility.avif	textures/atx/storefront/camp/structures/atx_camp_structure_communistbunker.dds	texture not in extraction
8	Rooster Mailbox	score_s8_camp_utility_mailbox_rooster.avif	textures/atx/storefront/camp/utility/atx_camp_utility_mailbox_rooster.dds	texture not in extraction
8	Hot Rod Mailbox	score_s8_camp_utility_mailbox_hot_rod.avif	textures/atx/storefront/camp/utility/atx_camp_utility_mailbox_hot_rod.dds	texture not in extraction
8	Silver Collectron Station	score_s8_camp_utility_collectron_silver.avif	textures/atx/storefront/camp/utility/atx_camp_utility_scavengestation_silver.dds	texture not in extraction
8	Cream Modular Sofa Set	score_s8_camp_furniture_couch_modularsofaset_cream.avif	textures/atx/storefront/camp/furniture/atx_camp_furniture_couch_modularsofaset_cream.dds	texture not in extraction
8	Vault-Tec Twin Bed	score_s8_camp_bed_twinbed_vaulttec.avif	textures/atx/storefront/camp/beds/atx_camp_bed_twinbed_vaulttec.dds	texture not in extraction
8	Black Modular Mainframe Set	score_s8_camp_floordecor_modularmainframe_black.avif	textures/atx/storefront/camp/floordecoration/atx_camp_floordecor_modularmainframe_black.dds	texture not in extraction
8	Elaborate Silver Chandelier	score_s8_camp_lights_ceiling_elaboratesilver.avif	textures/atx/storefront/camp/lights/atx_camp_lights_ceiling_elaboratesilver.dds	texture not in extraction
8	Doorbell	score_s8_camp_walldeco_doorbell.avif	textures/atx/storefront/camp/walldecoration/atx_camp_walldeco_doorbell.dds	texture not in extraction
8	Floral Frame	score_s8_photomode_frame_flowers.avif	textures/atx/storefront/player/photoframe/atx_photomode_frame_flowers.dds	texture not in extraction
8	Free States Combat Armor Paint	score_s8_skin_armorskin_combat_freestates.avif	textures/atx/storefront/player/armorskin/atx_skin_armorskin_combat_freestates.dds	texture not in extraction
8	Free States Leather Armor Paint	score_s8_skin_armorskin_leather_freestates.avif	textures/atx/storefront/player/armorskin/atx_skin_armorskin_leather_freestates.dds	texture not in extraction
8	Free States Metal Armor Paint	score_s8_skin_armorskin_metal_freestates.avif	textures/atx/storefront/player/armorskin/atx_skin_armorskin_metal_freestates.dds	texture not in extraction
8	Free States Marine Armor Paint	score_s8_skin_armorskin_marine_freestates.avif	textures/atx/storefront/player/armorskin/atx_skin_armorskin_marine_freestates.dds	texture not in extraction
8	Free States Robot Armor Paint	score_s8_skin_armorskin_robot_freestates.avif	textures/atx/storefront/player/armorskin/atx_skin_armorskin_robot_freestates.dds	texture not in extraction
8	Free States Wood Armor Paint	score_s8_skin_armorskin_wood_freestates.avif	textures/atx/storefront/player/armorskin/atx_skin_armorskin_wood_freestates.dds	texture not in extraction
8	Yellow Curtains	score_s8_camp_walldeco_curtain_yellow_set.avif	textures/atx/storefront/camp/walldecoration/atx_camp_walldeco_curtain_single_yellow.dds	texture not in extraction
8	Yellow Wide Curtains	score_s8_camp_walldeco_curtain_double_yellow.avif	textures/atx/storefront/camp/walldecoration/atx_camp_walldeco_curtain_double_yellow.dds	texture not in extraction
8	Purple Floater Mobile	score_s8_camp_walldeco_mobile_floater_purple.avif	textures/atx/storefront/camp/walldecoration/atx_camp_walldeco_mobile_floater_purple.dds	texture not in extraction
8	Zeta's Revenge (Alien Blaster)	score_s8_weapon_alienblaster_zetasrevenge.avif	textures/atx/storefront/player/weaponskin/score_s8_weapon_alienblaster_zetasrevenge.dds	texture not in extraction
9	Player Icon: Dread Island Skull	score_s9_playericon_dreadislandskulllogo.avif	textures/atx/storefront/player/playericons/atx_playericon_score_52.dds	texture not in extraction
9	Player Icon: H-4RT Protects	score_s9_playericon_h-4rt_protects.avif	textures/atx/storefront/player/playericons/atx_playericon_score_51.dds	texture not in extraction
9	Player Icon: Spider Attack	score_s9_playericon_spiderattack.avif	textures/atx/storefront/player/playericons/atx_playericon_score_54.dds	texture not in extraction
9	Player Icon: H-4RT	score_s9_playericon_h-4rt.avif	textures/atx/storefront/player/playericons/atx_playericon_score_57.dds	texture not in extraction
9	Player Icon: Campfire	score_s9_playericon_campfire.avif	textures/atx/storefront/player/playericons/atx_playericon_score_53.dds	texture not in extraction
9	Player Icon: Crashed Plane	score_s9_playericon_crashedplane.avif	textures/atx/storefront/player/playericons/atx_playericon_score_55.dds	texture not in extraction
9	Player Icon: Beach Raider	score_s9_playericon_beachraider.avif	textures/atx/storefront/player/playericons/atx_playericon_score_58.dds	texture not in extraction
9	Player Icon: Skull Cave	score_s9_playericon_skullcave.avif	textures/atx/storefront/player/playericons/atx_playericon_score_56.dds	texture not in extraction
9	Player Icon: Dread Island Inverse Logo	score_s9_playericon_dreadislandinverse.avif	textures/atx/storefront/player/playericons/score_s9_playericon_dreadislandinverse.dds	texture not in extraction
9	Absolutely! Emote	score_s9_emotes_yes_checksign_absolutely.avif	textures/atx/storefront/player/emotes/score_emotes_yes_checksign_absolutely.dds	texture not in extraction
9	Mercenary Company Hellcat Power Armor Paint	score_s9_skin_powerarmor_paint_mercenarycompany_hellcat.avif	textures/atx/storefront/player/powerarmor/score_s9_skin_powerarmor_paint_mercenarycompany_hellcat.dds	texture not in extraction
9	Dastardly Duo Paint (Shotgun)	score_s9_skin_weaponskin_shotgun_dastardlyduo.avif	textures/atx/storefront/player/weaponskin/atx_skin_weaponskin_shotgun_dastardlyduo.dds	texture not in extraction
9	Solid Blue Shipping Container	score_s9_camp_structure_shippingcontainer_blue_solid.avif	textures/atx/storefront/camp/structures/atx_camp_structure_shippingcontainer_blue_solid.dds	texture not in extraction
9	Blue Open Shipping Container	score_s9_camp_structure_shippingcontainer_blue_open.avif	textures/atx/storefront/camp/structures/atx_camp_structure_shippingcontainer_blue_door.dds	texture not in extraction
9	Blue Moulded Carpet Floor and Foundations	score_s9_camp_floor_mouldedcarpet_blue.avif	textures/atx/storefront/camp/floors/score_s9_camp_floor_mouldedcarpet_blue.dds	texture not in extraction
9	Green Moulded Carpet Floor and Foundations	score_s9_camp_floor_mouldedcarpet_green.avif	textures/atx/storefront/camp/floors/score_s9_camp_floor_mouldedcarpet_green.dds	texture not in extraction
9	Yellow Moulded Carpet Floor and Foundations	score_s9_camp_floor_mouldedcarpet_yellow.avif	textures/atx/storefront/camp/floors/score_s9_camp_floor_mouldedcarpet_yellow.dds	texture not in extraction
9	Mechanical Derby Game	score_s9_camp_furniture_horseracinggame.avif	textures/atx/storefront/camp/furniture/atx_camp_furniture_horseracinggame.dds	texture not in extraction
9	Rusted Iron Secret Service Dog Statues	score_s9_camp_statue_dog_iron.avif	textures/atx/storefront/camp/statues/atx_camp_statue_secretservice_dogiron.dds	texture not in extraction
9	Medieval Suit of Armor	score_s9_camp_statue_medieval_armor.avif	textures/atx/storefront/camp/statues/atx_camp_statue_medieval_armor.dds	texture not in extraction
9	Steel Pitt Wall Bust	score_s9_camp_walldeco_steelpittwallbust.avif	textures/atx/storefront/camp/walldecoration/score_s9_camp_walldeco_steelpittwallbust.dds	texture not in extraction
9	Rusted Brick Wallpaper	score_s9_camp_wallpaper_rustedbrick.avif	textures/atx/storefront/camp/wallpaper/score_s9_camp_wallpaper_rustedbrick.dds	texture not in extraction
9	Skull Flair	score_s9_skin_backpackflair_skull.avif	textures/atx/storefront/player/flair/score_s9_skin_backpackflair_skull.dds	texture not in extraction
9	Rusted Red Brick Wallpaper	score_s9_camp_wallpaper_rustedbrick_red.avif	textures/atx/storefront/camp/wallpaper/score_s9_camp_wallpaper_rustedbrick_red.dds	texture not in extraction
10	Player Icon: Danilo	score_s10_playericon_danilo.avif		no texture path in ENTM
10	Player Icon: Fanatic Formean	score_s10_playericon_fanatic_portrait_02.avif		no texture path in ENTM
10	Player Icon: Fanatic	score_s10_playericon_fanatic_portrait_01.avif		no texture path in ENTM
10	Player Icon: Red Rocket Blimp	score_s10_playericon_redrocketblimp.avif		no texture path in ENTM
