Section	Path	Index	Name	Value	ChildCount	Signature
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	2	Keyword	NULL - Null Reference [00000000]	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	3	Radius	0.000000	0	
OBJECTIVE	Objectives[0]/Targets/Target	1	Conditions		2	
OBJECTIVE	Objectives[0]/Targets/Target/Conditions	0	Condition		1	CTDA
OBJECTIVE	Objectives[0]/Targets/Target/Conditions	1	Condition		1	CTDA
OBJECTIVE	Objectives[0]/Targets	3	Target		2	QSTA
OBJECTIVE	Objectives[0]/Targets/Target	0	QSTA - Target		4	QSTA
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	0	Alias	014 DecoyMapMarker4	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	1	Target Flags	0000000000000000000000000000000000000000000000000000000000000000	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	2	Keyword	NULL - Null Reference [00000000]	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	3	Radius	0.000000	0	
OBJECTIVE	Objectives[0]/Targets/Target	1	Conditions		2	
OBJECTIVE	Objectives[0]/Targets/Target/Conditions	0	Condition		1	CTDA
OBJECTIVE	Objectives[0]/Targets/Target/Conditions	1	Condition		1	CTDA
OBJECTIVE	Objectives[0]/Targets	4	Target		2	QSTA
OBJECTIVE	Objectives[0]/Targets/Target	0	QSTA - Target		4	QSTA
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	0	Alias	015 DungeonMapMarker	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	1	Target Flags	0000000000000000000000000000000000000000000000000000000000000000	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	2	Keyword	NULL - Null Reference [00000000]	0	
OBJECTIVE	Objectives[0]/Targets/Target/QSTA - Target	3	Radius	0.000000	0	
OBJECTIVE	Objectives[0]/Targets/Target	1	Conditions		1	
OBJECTIVE	Objectives[0]/Targets/Target/Conditions	0	Condition		1	CTDA
ALIAS	Aliases[0]	0	ALLS - Location Alias ID	1	0	ALLS
ALIAS	Aliases[0]	1	ALID - Alias Name	Region	0	ALID
ALIAS	Aliases[0]	2	FNAM - Flags		1	FNAM
ALIAS	Aliases[0]/FNAM - Flags	0	Flags	000000001	1	
ALIAS	Aliases[0]/FNAM - Flags/Flags	0	Stores Text	1	0	
ALIAS	Aliases[0]	3	Find Matching Location From Event		2	ALFE
ALIAS	Aliases[0]/Find Matching Location From Event	0	ALFE - From Event	Script Event	0	ALFE
ALIAS	Aliases[0]/Find Matching Location From Event	1	ALFD - Event Data	Location1	0	ALFD
ALIAS	Aliases[0]	4	ALED - Alias End		0	ALED
ALIAS	Aliases[1]	0	ALST - Reference Alias ID	16	0	ALST
ALIAS	Aliases[1]	1	ALID - Alias Name	AlphaSpawnMarker	0	ALID
ALIAS	Aliases[1]	2	Event Score Data		4	ESAV
ALIAS	Aliases[1]/Event Score Data	0	ESAV - Activate	0.000000	0	ESAV
ALIAS	Aliases[1]/Event Score Data	1	ESDA - Damage	0.000000	0	ESDA
ALIAS	Aliases[1]/Event Score Data	2	ESRV - Revive	0.000000	0	ESRV
ALIAS	Aliases[1]/Event Score Data	3	ESRP - Repair	0.000000	0	ESRP
ALIAS	Aliases[1]	3	FNAM - Flags		1	FNAM
ALIAS	Aliases[1]/FNAM - Flags	0	Flags	0000000000000000000000000000000000000000000000000000000000000000	0	
ALIAS	Aliases[1]	4	Conditions		2	
ALIAS	Aliases[1]/Conditions	0	Condition		1	CTDA
ALIAS	Aliases[1]/Conditions/Condition	0	CTDA - CTDA		10	CTDA
ALIAS	Aliases[1]/Conditions	1	Condition		1	CTDA
ALIAS	Aliases[1]/Conditions/Condition	0	CTDA - CTDA		10	CTDA
ALIAS	Aliases[1]	5	ALDN - Display Name	NULL - Null Reference [00000000]	0	ALDN
ALIAS	Aliases[1]	6	ALFF - Alias Location Ref Type	LocationCenterMarker [LCRT:0001F40F]	0	ALFF
ALIAS	Aliases[1]	7	VTCK - Voice Types	NULL - Null Reference [00000000]	0	VTCK
ALIAS	Aliases[1]	8	ALED - Alias End		0	ALED
ALIAS	Aliases[2]	0	ALST - Reference Alias ID	32	0	ALST
ALIAS	Aliases[2]	1	ALID - Alias Name	EventStartMarkerFullEvent	0	ALID
ALIAS	Aliases[2]	2	Event Score Data		4	ESAV
ALIAS	Aliases[2]/Event Score Data	0	ESAV - Activate	0.000000	0	ESAV
ALIAS	Aliases[2]/Event Score Data	1	ESDA - Damage	0.000000	0	ESDA
ALIAS	Aliases[2]/Event Score Data	2	ESRV - Revive	0.000000	0	ESRV
ALIAS	Aliases[2]/Event Score Data	3	ESRP - Repair	0.000000	0	ESRP
ALIAS	Aliases[2]	3	FNAM - Flags		1	FNAM
ALIAS	Aliases[2]/FNAM - Flags	0	Flags	01	1	
ALIAS	Aliases[2]/FNAM - Flags/Flags	0	Optional	1	0	
ALIAS	Aliases[2]	4	ALFI - Force Into Alias When Filled	031 EventStartMarker	0	ALFI
ALIAS	Aliases[2]	5	ALCC - Closest To Alias	016 AlphaSpawnMarker	0	ALCC
ALIAS	Aliases[2]	6	Conditions		2	
ALIAS	Aliases[2]/Conditions	0	Condition		1	CTDA
ALIAS	Aliases[2]/Conditions/Condition	0	CTDA - CTDA		10	CTDA
ALIAS	Aliases[2]/Conditions	1	Condition		1	CTDA
ALIAS	Aliases[2]/Conditions/Condition	0	CTDA - CTDA		10	CTDA
ALIAS	Aliases[2]	7	ALDN - Display Name	NULL - Null Reference [00000000]	0	ALDN
ALIAS	Aliases[2]	8	ALFF - Alias Location Ref Type	LocationEdgeMarker [LCRT:00038C13]	0	ALFF
ALIAS	Aliases[2]	9	VTCK - Voice Types	NULL - Null Reference [00000000]	0	VTCK
ALIAS	Aliases[2]	10	ALED - Alias End		0	ALED
ALIAS	Aliases[3]	0	ALST - Reference Alias ID	33	0	ALST
ALIAS	Aliases[3]	1	ALID - Alias Name	EventStartMarkerSkipDungeon	0	ALID
ALIAS	Aliases[3]	2	Event Score Data		4	ESAV
ALIAS	Aliases[3]/Event Score Data	0	ESAV - Activate	0.000000	0	ESAV
ALIAS	Aliases[3]/Event Score Data	1	ESDA - Damage	0.000000	0	ESDA
ALIAS	Aliases[3]/Event Score Data	2	ESRV - Revive	0.000000	0	ESRV
ALIAS	Aliases[3]/Event Score Data	3	ESRP - Repair	0.000000	0	ESRP
ALIAS	Aliases[3]	3	FNAM - Flags		1	FNAM
ALIAS	Aliases[3]/FNAM - Flags	0	Flags	01	1	
ALIAS	Aliases[3]/FNAM - Flags/Flags	0	Optional	1	0	
ALIAS	Aliases[3]	4	ALCC - Closest To Alias	016 AlphaSpawnMarker	0	ALCC
ALIAS	Aliases[3]	5	Conditions		3	
ALIAS	Aliases[3]/Conditions	0	Condition		1	CTDA
ALIAS	Aliases[3]/Conditions/Condition	0	CTDA - CTDA		10	CTDA
ALIAS	Aliases[3]/Conditions	1	Condition		1	CTDA
ALIAS	Aliases[3]/Conditions/Condition	0	CTDA - CTDA		10	CTDA
ALIAS	Aliases[3]/Conditions	2	Condition		1	CTDA
ALIAS	Aliases[3]/Conditions/Condition	0	CTDA - CTDA		10	CTDA
ALIAS	Aliases[3]	6	ALDN - Display Name	NULL - Null Reference [00000000]	0	ALDN
ALIAS	Aliases[3]	7	ALFF - Alias Location Ref Type	LocationEdgeMarker [LCRT:00038C13]	0	ALFF
ALIAS	Aliases[3]	8	VTCK - Voice Types	NULL - Null Reference [00000000]	0	VTCK
ALIAS	Aliases[3]	9	ALED - Alias End		0	ALED
