KEYM_FormID	KEYM_EDID	LocationName	LocationSource	QuestName
003BA080	LC005_Granary_Shed_Key	AaronholtHomesteadExt06	ExtCell	
003BAE55	LC097_R_Vargas_key_to_safe	Hornwright Industrial HQ	NameParse	
003BB1CC	SugarGrove_CellKey_A6-KH	Sugar Grove	NameParse	
003BB1D1	SugarGrove_CellKey_G3-KP			
003BB1D0	SugarGrove_CellKey_V5-XF	Sugar Grove	NameParse	
003BB1D2	SugarGrove_CellKey_W9-FZ	Sugar Grove	NameParse	
003BB1CF	SugarGrove_CellKey_R1-TT			
003BB1CD	SugarGrove_CellKey_B2-RS	Sugar Grove	NameParse	
003BB1CE	SugarGrove_CellKey_B9-AX	Sugar Grove	NameParse	
003BB27A	LC015_BootleggersShackKey	BootleggersShackExt	ExtCell	
003BD562	RSVP02_Key_VolunteerCard			
003BE7EC	LC050_gorgejunkyard_storage_key			
003C5E30	LC102_HouseKey	MountainsideBBExt	ExtCell	Bed & Breakfast
003DAA92	LC089_PRCFacilitySecurityIDCard	Mama Dolce's Food Processing	NameParse	
003DAFAB	LC001_PoliceCellKey	AbandonedBogTownExt	ExtCell	
003DE7AC	MSilo_Residential_AuthorizedPlayerIDCard	Missile Silo Alpha	NameParse	[Missile Silo Manager Quest]
003DE792	MSilo_Residential_BlankIDCard			[Missile Silo Manager Quest]
003DE794	MSilo_Residential_BiometricData			[Missile Silo Manager Quest]
003DE791	MSilo_Residential_PrewarIDCard			[Missile Silo Manager Quest]
003DE793	MSilo_Residential_PlayerIDCard			[Missile Silo Manager Quest]
003DF81E	LC074_LakesideCabinsSafeKey	LakesideCabinsExt03	ExtCell	
003E5B92	LC062_FortificationKey	HarpersFerryExt05	ExtCell	
003E7A1A	GarrahanVIPBoothKey			
003E84C3	EN01_BlackwellCredentialTerminalPW			
003EB392	SFL02_Track_CargobotTerminalCode			Tracking Unknowns
003EB69A	NewRiverGorgeBridgeKey1	NewRiverGorgeBridgeWestExt	ExtCell	
003EB699	NewRiverGorgeBridgeKey0	NewRiverGorgeBridgeEastExt	ExtCell	
004E99F2	CB04_Password_Key	RobCo Research Center	NameParse	
004EB9C6	MoM02B_PresidentialCottagePassword			Forging a Legend
004ECF0A	CB04_Reward_CombinationSafeKey	Watoga Municipal Center	NameParse	Mayor for a Day
0050A301	RSVP04_Key_Safe_Beta	[CELL:00050B2C]	ExtCell	Safe for Work
00518950	EN07_MamaDolcePassword	Quick Test Cell	NameParse	
00521FA0	TestTractorSupplyManagersKey	TestDavidExt08	ExtCell	
00530E23	BroadcastStationKey	KMAXTransmissionExt	ExtCell	
0033C99E	ToxicDriedLakeBedBoatHouseKey	ToxicDriedLakebedExt02	ExtCell	
004F54A8	POI273_FreeStatesBunker06_SafeKey	Abandoned Bunker	NameParse	Ally  Crash Landing
003C69F8	POI275_BrimQuarry_ForemanKey	BrimQuarryExt03	ExtCell	
004E7216	MTR10KeycardAlpha			Activity  Battle Bots
004E7217	MTR10KeycardBeta			Activity  Battle Bots
0052ECA7	CUT_RSVP02_Key_DelbertPassword			
0052EE0A	OverseerPersonalMineKeycard	MountBlairExt13	ExtCell	Personal Matters
003E1DD2	RE_ObjectCMB06_safekey			
002B8543	SuttonTrainStationKey			
003A0BAB	LC145_SecureStorageKey	[CELL:00050B2C]	ExtCell	Defiance Has Fallen
003CFB46	ENB_RemoteTeamPassword			
0050EAFC	FF20_SupervisorSafe_Key			
0050EF4A	LC024_HolbrookesKey	Charleston Capitol Building	NameParse	
0050FA2F	POI061_UtilityKey	FreddyFearsHouseOfScaresExt	ExtCell	
0050FD9A	MTR06_SchematicCode_Allemane			
0050FD99	MTR06_SchematicCode_Cominsky			
0050FD9B	MTR06_SchematicCode_Holstein			
004F8524	LC090_SafeKey	[CELL:00050B2C]	ExtCell	
004F8E49	MTR15_Stash_Key			
004FE03C	SkeletonFactorySafeKey	[CELL:002604D2]	ExtCell	
0042FF5B	POI151_ArmoryKey	HorizonsRestExt	ExtCell	
0042FF44	POI151_JailKey	HorizonsRestExt	ExtCell	
0043048A	RadioArrayStorageKey	RadioArrayExt08	ExtCell	
00430488	MorgantownHSPrincipalsOfficeKey	Morgantown High School	NameParse	
00433488	LC052_GraftonBlastFurnaceKey	GraftonSteelExt03	ExtCell	
004357C1	LC142_SafeKey	NewGadExt06	ExtCell	
004357BE	LC028_LuggageKey	CharlestonTrainyardExt03	ExtCell	
00491F3A	SurvivalTrainingCenter_Qmaster_Key	SurvivalTrainingCenterExt	ExtCell	
00478D43	UD003_TaxidermyStorageKey	Van Lowe Taxidermy	NameParse	
00478DE4	CUT_P01B_Lying_OfficeTerminalKey			
00453AA7	UD002_OldTunnelKey	The Burrows	NameParse	Waste Management
0045995A	V94_1_AccessPuzzle_TyronesIDCard			Vault Mission  Dead in the Water<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
00459957	V94_1_AccessPuzzle_NurseryKey	Vault 94	NameParse	Vault Mission  Dead in the Water<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
00459958	V94_1_AccessPuzzle_WorkroomKey	Vault 94	NameParse	Vault Mission  Dead in the Water<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
00459959	V94_1_AccessPuzzle_CommunityCouncilKey	Vault 94	NameParse	Vault Mission  Dead in the Water<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
0045AECC	V94_1_AccessPuzzle_TyronesPassword	Vault 94	NameParse	Vault Mission  Dead in the Water<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
0046546D	V94_1_ReactorEvent_8_IDCard			Vault Mission  Dead in the Water<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
0046547A	V94_ReactorInterlockKey	Quick Test Cell	NameParse	Test Name  <Alias=TestSteveCLocation>
0046ECF3	P01A_Nukashine_DistillerySupplyPassword			Wasted on Nukashine
003EC365	V94_3_SecurityIDCard	Vault 94	NameParse	Vault Mission  Meltdown<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
003EE34A	V94_PumpInterlockKey			Vault Mission  Meltdown<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
003EE864	CUT_v96_SafeKey			
003EEA4A	CUT_V94_3_Reactor_KeylockKey			
003F073F	P01B_Lying_02_Password	Van Lowe Taxidermy	NameParse	The Lowe-Down
003F0740	P01B_Lying_Master_Keycard	Van Lowe Taxidermy	NameParse	The Lowe-Down
003F1861	CUT_P01B_Mini_Squatch01_CindysKey			[Misc - A Perfect Getaway]
003F1B6F	BMO_BunkerKey07_BraxtonKey_final	BlackMountainOrdnanceWorksExt09	ExtCell	
003F1BAB	BMO_BunkerKey07_MotelKey			
003F1BD5	BMO_BunkerKey07_Ingram_Password_01			
003F1B6C	BMO_BunkerKey07_Keycard01	Kanawha Nuka-Cola Plant	NameParse	
003F1B84	BMO_BunkerKey07_Keycard02	OverlookCabinExt	ExtCell	
003F269D	P01b_Robot_Key	[CELL:00050B2C]	ExtCell	
003FBF36	P01B_Wolf_RecallKey			Wolf in Sheep's Clothing
003FAB67	WatogaSewersKey01			
003FCBC7	W05_MQS_201P_HornwrightSaferoomKeycard	Hornwright Estate Safe Room	NameParse	Trade Secrets
004040FF	DomeKeycard			
0040CFAB	WU_ShopsKey	Watoga Underground	NameParse	
0040D7FE	WU_TunnelsKey	Watoga Underground	NameParse	
0040FA9C	W05_MQ_002P_BossDoorKey			
0041A33A	W05_MQ_003P_Muscle_AssaultronRoomKey	Duncan & Duncan Robotics	NameParse	Strength in Numbers
0041A33B	W05_MQ_003P_Muscle_ProtectronRoomKey	Duncan & Duncan Robotics	NameParse	Strength in Numbers
0041A33C	W05_MQ_003P_Muscle_HandyRoomKey	Duncan & Duncan Robotics	NameParse	Strength in Numbers
0041B85D	W05_MQ_101P_A_RepairTerminalKey			Strange Bedfellows
00424636	GraftonSteelUndergroundKeycard			
00424849	W05_MQ_004P_Crane_CacheKeycard	Gauley Mine	NameParse	The Elusive Crane
00424836	W05_MQ_004P_Crane_CraneRoomKey	The Wayward	NameParse	
0041F4CA	LC096_MorgantownAirport_Keycard	Morgantown Airport Terminal	NameParse	Final Departure
00429AC3	WL035_FloydKey	ElectricTowerCampExt02	ExtCell	
00429AC4	WL035_EarlKey	ElectricTowerCampExt02	ExtCell	
0042A7CB	POI286_GauleyMineExitKey			DEBUG_QuestMaster_LVC
0042F24B	WL020_Key02	Poseidon Energy Plant Expansion	NameParse	From Russia With Lev
0042F24A	WL020_Key01			
00427589	P03L_Cage_Key	Quick Test Cell	NameParse	Making the Cut
00540E0B	WU_GarageAKey			
00546C1E	W05_MQ_102P_ReactorKey	Vault-Tec University	NameParse	Overseer, Overseen
00547570	WL048_MausoleumKey	KanawhaCountyCemeteryExt	ExtCell	
00547CA5	Vault79ShootingRangePassword	Vault 79	NameParse	
0054EF21	W05_MQ_101P_OverseerHomeKey	Overseer's Home	NameParse	The New Arrivals
00553840	W05_MQ_003P_Muscle_AssaultronRoomCard			Strength in Numbers
00553841	W05_MQ_003P_Muscle_HandyRoomAccessCard			Strength in Numbers
00553842	W05_MQ_003P_Muscle_ProtectronRoomAccessCard			Strength in Numbers
00553A9D	DELETED_UCB_PRC_MainDoorKey01			
00553A9E	UCB_PRC_BasementKey01	The Deep	NameParse	
003F787F	V94_2_Robot_WorkroomKey	Vault 94	NameParse	Vault Mission  Meltdown<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
003F7881	V94_2_Robot_MaintenanceKey	Vault 94	NameParse	Vault Mission  Meltdown<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
003F787E	V94_2_Robot_NurseryKey	Vault 94	NameParse	Vault Mission  Meltdown<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
003F7880	V94_2_Robot_StorageKey	Vault 94	NameParse	Vault Mission  Meltdown<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
003F87A0	V94_2_Utility_MaintenancePassword			Vault Mission  Meltdown<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
003F879F	CUT_V94_1_Utility_MaintenancePassword			
0041F8B5	V96_2_ResidentIDCard			Vault Mission  Gone Viral<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
00422B9B	V96_2_Access_Password03			Vault Mission  Gone Viral<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
00422B99	V96_2_Access_Password01			Vault Mission  Gone Viral<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
00422B9C	V96_2_Access_Password04			Vault Mission  Gone Viral<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
00422B9A	V96_2_Access_Password02			Vault Mission  Gone Viral<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
004273A4	CUT_V96_2_Analysis_DatabankXXX			
00547925	V96_1_Engineering_DeconStationPassword7			Vault Mission  Creature Feature<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
00547924	V96_1_Engineering_DeconStationPassword6			Vault Mission  Creature Feature<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
00547922	V96_1_Engineering_DeconStationPassword4			Vault Mission  Creature Feature<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
00547921	V96_1_Engineering_DeconStationPassword3			Vault Mission  Creature Feature<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
00547920	V96_1_Engineering_DeconStationPassword2			Vault Mission  Creature Feature<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
00547923	V96_1_Engineering_DeconStationPassword5			Vault Mission  Creature Feature<Alias=DifficultyModeLoc><Alias=RespiteZoneStateLoc>
0055ADA7	W05_MQ_004P_Crane_CacheControlRoomKey	RobCo Auto-Cache #001	NameParse	
0055C604	W05_MQR_203P_HalRoomKey	Watoga Civic Center	NameParse	The Ol' Weston Shuffle
0056B779	W05_MQR_202P_SectorCharlieKeycard	Grafton Steel Underground	NameParse	Fun and Games
0056BEC3	W05_MQR_202P_SectorAlphaKeycard	Grafton Steel Underground	NameParse	Fun and Games
0056F28A	W05_RE_ObjectBB02Key			
00571F62	DELETEDCOMP_Astronaut_015_Key_RDLab			
005723B9	W05_MQR_205P_FacilitiesManagementKeycard	Vault 79	NameParse	Buried Treasure
00572A40	WL005_WorkerBreakroomKey	Grafton Steel Underground	NameParse	
00573194	COMP_Astronaut_Outtro_Keycard_ATHENA	Sugar Grove Data Center	NameParse	Ally  Mission Out-of-Control
00574B9F	COMP_Key_Jail_Beckett	Rollins Prison	NameParse	Ally  Narrow Escape
00586389	W05_MQS_204P_TheMazeID	The Cave	NameParse	Division of Wealth
0058C78D	W05_MQS_201P_HornwrightEstateLabKeycard	HornwrightEstateExt	ExtCell	Trade Secrets
0058D5BA	WU_DollKey			
0059250C	W05_Vault79Operations_KeyCard	Vault79ExitExt	ExtCell	Secrets Revealed
005930F2	W05_Raider_JohnnyPassword	The Crater Core	NameParse	
00596E63	W05_MQ_003P_Muscle_DnDAccessCard			Strength in Numbers
0059EB03	W05_MQR_203P_ArenaDoorKey	Watoga Civic Center	NameParse	The Ol' Weston Shuffle
005A0051	WL006_TurretSecurityTermialKey	Grafton Steel Underground	NameParse	
005A03F2	WU_MainKey	Watoga Underground	NameParse	Ally  Thicker Than Water
005CB58C	BS01_MQ04_Arms_ThroneDoorKey	Dagger's Den	NameParse	Disarming Discovery
005CB58B	BS01_MQ04_Arms_SupplyCrateKey	Dagger's Throne Room	NameParse	Disarming Discovery
005DB37B	SHELS01_ReubenSafeKey	Shelters Claim Center	NameParse	SHELS01_ReubenKeyMiscObjective
005D80DB	BS01_Valdez_Terminal_Password	Fort Atlas	NameParse	Mother of Invention
005D99B3	BS01_MQ06_Settlers_MineKey	Kerwood Mine	NameParse	Supplying Demands
005D99B4	BS01_MQ06_Settlers_WeaponsKey	Kerwood Mine	NameParse	Supplying Demands
005DB4EE	BS01_MQ06_Settlers_TerminalPassword			Supplying Demands
005E4887	BS01_MQ07_HoldingCellKeyCard01	Enclave Research Facility	NameParse	Over and Out
005E7029	BS01_MQ07_Over_LockerKey	Enclave Research Facility	NameParse	
005FA0AB	BS02_MQ04_Conscience_Keycard	Vault 96	NameParse	A Satisfied Conscience
005FAC48	BS02_MQ02_Missing_BasementKey	AMS Headquarters	NameParse	Missing Persons
005FAC49	BS02_MQ02_Missing_TerminalPassword			Missing Persons
0060677D	BS02_MQ05_Catalyst_ViewingRoomTerminalPassword	FEV Production Facility	NameParse	The Catalyst
0060CFDF	SH003_V51_ExecutiveKeycard	Vault 51	NameParse	
0060CFE0	SH003_V51_OverseerKeycard	Vault 51	NameParse	
0060D17F	SH003_V51_SecurityKeycard	Vault 51	NameParse	
00620ED3	XPD_ObjMod_FreePrisoners_Key			Expedition  Template
00621327	RE_Scene_Zetan_01_MysteriousKey	[CELL:00050B2C]	ExtCell	
0062F778	TestZachariadisKey	Quick Test Cell	NameParse	
0062FA2F	test_VHarbison_Key	Veronica's Test Cell	NameParse	Escape The Room
0062FF1F	FSControlRoomKey	Quick Test Cell	NameParse	For Science!
0067EBE7	Debug_BrentC02_Key	Quick Test Cell	NameParse	
006A2617	Debug_Dobert_Key01	Quick Test Cell	NameParse	
006C1F58	XPDAC03Casino_VaultPassword			
006CD0DB	XPD_AC01_FreePrisoners_Key			
006E33A3	XPD_AC03_FreePrisoners_Key			
006F28E6	EXP14_HighRollersLounge_Key	The Neapolitan Casino	NameParse	All the World's a Stage
006FCFBE	AC_SQ05_ConcertaRoomKey	The Neapolitan Casino	NameParse	Regent of the Dead
00745739	AC_SQ03_Custodial_BackRoomKey	The Boardwalk	NameParse	Custodial Compulsions
007551E4	AC_MQ03_HonorBound_WarehouseKey	Flooded City Center	NameParse	Honor Bound
00769DF3	AC_MQ_AntoniosTerminal_Key	The Rose Room	NameParse	Sins of the Father
007700EB	AC_MQ_AntoniosRoom_Key	The Rose Room	NameParse	Sins of the Father
006C99E3	StormV63ReactorRoomKeycard	TestCell	NameParse	
006E9791	TestStormCDB_Passcode	Robinson Visitor Center	NameParse	
006EAC6B	Storm_CultistTunnels_QuarryKey	Old Crimora Mines	NameParse	
006F1607	Storm_HcaveKey	Vault 63 Organics Sector	NameParse	The Powerhouse of the Cell
006FC220	Storm_TradingPost_IDCard			
00727C6D	Storm_MQ08_OrganicsSecurityKey	Vault 63 Organics Sector	NameParse	The Powerhouse of the Cell
0072A152	Storm_MQ07_AlfieRoomKeycard	Atrium Lower Level	NameParse	Housekeeping for Hire
0072C0B1	Storm_MQ05_VisitorCenterKey	Shenandoah Visitor Center	NameParse	Seeking Shelter
0072EAA8	Storm_AtriumUpper_RoomKeycard	Atrium Upper Level	NameParse	
0072EE26	Storm_MQ04_HugoWallSafeKey	Atrium Upper Level	NameParse	Between The Lines
0073B038	Storm_MQ03_HandKey	Dark Hollow Manor	NameParse	The Calm Before
0073BF8E	Storm_HighKnobFireTower_StoreroomKey	StormHighKnobFireTowerExt02	ExtCell	
0073FB73	Storm_CultistTunnels_PrisonKey			
0075D284	Storm_ManorGroundsSecurityRoom_Key	[CELL:00050B2C]	ExtCell	
0076B139	MILE_CaravanIntro_Cage_Key			
007731DE	Storm_MQ05_VisitorCenterShelterDoorKey	Shenandoah Visitor Center	NameParse	Seeking Shelter
0077E727	Storm_MQ09_HKBasementKey	High Knob Fire Tower	NameParse	Double-Crossed Wires
0077F3A4	Storm_MQ08_Key_OrganicsChemWing	Vault 63 Organics Sector	NameParse	The Powerhouse of the Cell
0077F3A5	Storm_MQ08_Key_OrganicsChemLabs	Vault 63 Organics Sector	NameParse	The Powerhouse of the Cell
0077F3A8	Storm_MQ08_Key_OrganicsVat	Vault 63 Organics Sector	NameParse	The Powerhouse of the Cell
0077F3A6	Storm_MQ08_Key_OrganicsBioWing	Vault 63 Organics Sector	NameParse	The Powerhouse of the Cell
0077F3A7	Storm_MQ08_Key_OrganicsFluid	Vault 63 Organics Sector	NameParse	The Powerhouse of the Cell
00788B9E	zzz_Storm_MQ04_WeatherStationKeycard_Key			
0079843A	GHL00_Quest_EmmettMountainSideTunnel_GateKey	Emmett Mountain Disposal Site	NameParse	Leap of Faith
0078E2CD	MILE_MeltdownQuest_DoorKey			
007ACFD9	GHL_Repose_Last_Door	GHLPointReposeExt	ExtCell	
00824D0E	P62_TheDrifter_Keycard			Defeat The Drifter
00815C55	BURN_SQ02_PipeKey	Rust Kingdom Arena	NameParse	Insurrection
008205F2	zzzBurn_SQ04_Cache2Key			
008205F3	zzzBurn_SQ04_Cache3Key			
008205F4	zzzBurn_SQ04_Cache1Key			
00829892	Burn_DriveInManagerOfficeKey	BurnDriveInExt02	ExtCell	
00831885	BURN_SQ01_RustKingdomInterior_GuardKey			
00847313	BURN_SQ02_LoanKey	Loan Shark's Office	NameParse	Insurrection
0084C751	Burn_AthensArmoryKey	BurnAthensExt03Armory	ExtCell	
0084D1D5	Burn_RK_Cage3	BurnRustKingdomExt02	ExtCell	
0084D1D6	Burn_RK_Cage1	BurnRustKingdomExt02	ExtCell	
0084D1D7	Burn_RK_Cage2	BurnRustKingdomExt02	ExtCell	
00854ED8	Burn_POI_bunker_key	[CELL:00265A74]	ExtCell	
0085D346	BURN_RRSY_BreakroomKey	[CELL:00050B2C]	ExtCell	
00863A6A	Burn_AshCave_ProfessorRoom_Password	BurnAshCaveExt05	ExtCell	
0086C983	Burn_Cornhenge_Terminal_Password	BurnCornhengeExt03	ExtCell	
0086C989	Burn_Cornhenge_Terminal_Password_Copy01	BurnCornhengeExt07	ExtCell	
008A47B8	QDLBarbara_Lesson03_SupplyCacheKey	Test Cell  Research Facility	NameParse	
