WEAP_FormID	WEAP_EDID	WEAP_FULL	DNAM_Ammo	DNAM_Speed	DNAM_ReloadSpeed	DNAM_NPCReloadDelay	DNAM_Reach	DNAM_ReachEngagementMult	DNAM_MinRange	DNAM_MaxRange	DNAM_AttackDelaySeconds	DNAM_DamageOutOfRangeMult	DNAM_OnHit	DNAM_Flags	DNAM_Capacity	DNAM_AmmoPerShot	DNAM_WeaponType	DNAM_SecondaryDamage	DNAM_Weight	DNAM_Value	DNAM_BaseDamage	DNAM_SoundLevel	DNAM_AccuracyBonus	DNAM_AnimAttackSeconds	DNAM_Rank	DNAM_ActionPointCost	DNAM_FullPowerSeconds	DNAM_MinPowerPerShot	DNAM_Stagger	DNAM_Health	CRDT_CritDamageMult	CRDT_CritChargeBonus	CRDT_CritEffect	DNAM_Projectiles	DNAM_RumblePattern	WSAM_SneakAttackMult	CVT0_DamageCurve	CVT1_MinDurabilityCurve	CVT2_CondLossScale	CVT3_BashCondLossScale	CVT4_MaxDurabilityCurve
0005C250	Board	Board	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.800000	1.000000	0.000000	10.000000	0.000000	-1.000000	Explode only		0	1	TwoHandSword	0.000000	3.000000	10	14	Quiet	0	1.800010	0	34.000000	0.000000	0.000000	Medium	100	3.000000	1.000000	NULL - Null Reference [00000000]			2.500000	CT_Player_Damage_Universal_Tier31 [CURV:0080F20F]	Durability_Weapons_Melee_Min [CURV:001FABB9]	ConditionDamageScaleFactor_Weapons_Melee [CURV:002E8F1B]	SecondaryScaleFactor_Weapons_Melee_Block [CURV:000361F3]	Durability_Weapons_Melee_Max [CURV:00345A4C]
0009983B	LaserGun	Laser	AmmoFusionCell "Fusion Cell" [AMMO:000C1897]	1.000000	1.000000	0.000000	1.000000	1.000000	1551.000000	3102.000000	0.250000	0.500000	Dismember only		20	1	Gun	16.000000	3.000000	60	0	Loud	0	0.000000	0	16.000000	0.000000	0.000000	Small	100	2.500000	1.000000	CritLaser [SPEL:000731B2]			2.500000		Durability_Weapons_Energy_Min [CURV:001FAB9A]	ConditionDamageScaleFactor_Weapons_Energy [CURV:0003490E]	SecondaryScaleFactor_Weapons_Ranged_Bash [CURV:001FABBA]	Durability_Weapons_Energy_Max [CURV:00345A4D]
0009F24D	crMirelurkHunterSpitWeapon	Spit Attack	crAmmoMirelurkHunter "Lobster Spray" [AMMO:0009F24C]	1.000000	1.000000	0.000000	1.000000	1.000000	500.000000	1500.000000	2.000000	0.000000	Normal formula behaviour		0	1	Gun	0.000000	3.000000	0	1	Normal	0	1.500000	0	0.000000	0.000000	0.000000	None	0	2.000000	0.000000	NULL - Null Reference [00000000]			2.000000					
000A7DA4	crWeapEyebot	EyeBot Laser	crAmmoFusionCellEyebot "Fusion Cell" [AMMO:000AB4FE]	1.000000	1.000000	0.000000	1.000000	1.000000	300.000000	700.000000	3.000000	0.000000	Normal formula behaviour		0	1	Gun	0.000000	3.000000	0	5	Normal	0	0.600000	0	0.000000	0.000000	0.000000	Medium	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier24 [CURV:0076E9CD]				
000AB6AE	zzz_TutorialDummy10mm		Ammo10mm "10mm Round" [AMMO:0001F276]	1.000000	1.000000	0.000000	1.000000	1.000000	500.000000	2000.000000	0.000000	0.500000	Normal formula behaviour		0		HandToHandMelee	0.000000	0.000000	0	0	Normal	0	1.138894	0	20.000000	0.000000	0.000000	Medium	0	2.000000	1.000000	NULL - Null Reference [00000000]								
000B0F56	crSentryBotLeftMinigun	Sentry Bot Left Minigun	Ammo556 "5.56 Round" [AMMO:0001F278]	1.000000	1.000000	0.000000	1.000000	1.000000	1000.000000	2000.000000	1.000000	0.500000	Normal formula behaviour		0	1	Gun	0.000000	3.000000	0	1	Loud	0	2.200000	0	2.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier13 [CURV:0076E9C2]				
000B0F58	crSentryBotRightMiniRocketLauncher	SentryBotRightRocketLauncher	AmmoMissile "Missile" [AMMO:000CABA3]	1.000000	1.000000	0.000000	1.000000	1.000000	2000.000000	3000.000000	5.000000	0.500000	Normal formula behaviour		0	1	Gun	0.000000	3.000000	0	1	Very Loud	0	1.000000	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier39 [CURV:0076E9DC]				
000BB6C0	crTurretTripodMachineGunMkI	Turret Machine Gun	Ammo556 "5.56 Round" [AMMO:0001F278]	1.000000	1.000000	0.000000	1.000000	1.000000	1413.000000	2827.000000	0.000000	0.500000	Explode only		0	1	Gun	8.000000	25.000000	0	1	Loud	0	2.666667	0	20.000000	0.000000	0.000000	Medium	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier25 [CURV:0076E9CE]				
000BB6C1	crTurretMountedLaserGun01	Turret Laser Gun	AmmoFusionCell "Fusion Cell" [AMMO:000C1897]	1.000000	1.000000	0.000000	1.000000	1.000000	1175.000000	2350.000000	1.000000	0.700000	Normal formula behaviour		0	1	Gun	8.000000	25.000000	0	0	Loud	0	2.666667	0	20.000000	0.000000	0.000000	Medium	0	2.000000	1.000000	CritLaser [SPEL:000731B2]			2.000000					
000BD56F	Fatman	Fat Man	AmmoFatManMiniNuke "Mini Nuke" [AMMO:000E6B2E]	1.000000	1.000000	0.000000	1.000000	1.000000	2750.000000	5501.000000	1.000000	0.500000	Normal formula behaviour		1	1	Gun	41.000000	20.000000	300	5	Normal	0	1.000000	0	40.000000	0.000000	0.000000	Medium	100	2.500000	1.000000	NULL - Null Reference [00000000]			2.000000		Durability_Weapons_Energy_Min [CURV:001FAB9A]	ConditionDamageScaleFactor_Weapons_Explosive_SingleShot [CURV:00434588]	SecondaryScaleFactor_Weapons_Ranged_Bash [CURV:001FABBA]	Durability_Weapons_Energy_Max [CURV:00345A4D]
000C2C27	UnarmedHuman	Unarmed Human	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.680000	1.000000	500.000000	2000.000000	0.000000	0.500000	No dismember or explode		0	1	HandToHandMelee	0.000000	0.000000	0	8	Silent	0	1.138894	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier02 [CURV:0076E9B7]				
000C2C28	crUnarmedBloodbug	Unarmed Bloodbug	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	1.060000	1.000000	500.000000	2000.000000	1.000000	0.500000	Explode only		0	1	HandToHandMelee	0.000000	0.000000	0	1	Normal	0	1.288889	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier25 [CURV:0076E9CE]				
000C2C29	crUnarmedBrahmin	Unarmed Brahmin	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.680000	1.000000	500.000000	2000.000000	0.000000	0.500000	Explode only		0	1	HandToHandMelee	0.000000	0.000000	0	15	Normal	0	1.800000	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier07 [CURV:0076E9BC]				
000C2C2A	crUnarmedDeathclaw	Unarmed Deathclaw	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	1.060000	1.000000	500.000000	2000.000000	0.000000	0.500000	Normal formula behaviour		0	1	HandToHandMelee	0.000000	0.000000	0	1	Normal	0	1.688889	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier43 [CURV:0076E9E0]				
000C2C2B	crUnarmedDogmeat	Unarmed Dogmeat	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.680000	1.000000	500.000000	2000.000000	0.000000	0.500000	Normal formula behaviour		0	1	HandToHandMelee	0.000000	0.000000	0	10	Normal	0	1.033333	0	20.000000	0.000000	0.000000	None	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier29 [CURV:0076E9D2]				
000C2C2C	crUnarmedFeralGhoul	Unarmed Feral Ghoul	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.680000	1.000000	500.000000	2000.000000	0.000000	0.500000	Normal formula behaviour		0	1	HandToHandMelee	0.000000	0.000000	0	5	Normal	0	1.016667	0	20.000000	0.000000	0.000000	None	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier26 [CURV:0076E9CF]				
000C2C2D	crUnarmedMutantHound	Unarmed Mutant Hound	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.680000	1.000000	500.000000	2000.000000	0.000000	0.500000	Normal formula behaviour		0	1	HandToHandMelee	0.000000	0.000000	0	1	Normal	0	1.061905	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]				CT_Creatures_Damage_Universal_Tier33 [CURV:0076E9D6]				
000C2C2E	crUnarmedMirelurkHunter	Unarmed Mirelurk Hunter	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.880000	1.000000	500.000000	2000.000000	0.000000	0.500000	Normal formula behaviour		0	1	HandToHandMelee	0.000000	0.000000	0	1	Normal	0	1.050000	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier30 [CURV:0076E9D3]				
000C2C2F	crUnarmedMirelurkKing	Unarmed Mirelurk King	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	1.060000	1.000000	500.000000	2000.000000	0.000000	0.500000	Normal formula behaviour		0	1	HandToHandMelee	0.000000	0.000000	0	1	Normal	0	1.029167	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier24 [CURV:0076E9CD]				
000C2C30	crUnarmedMirelurk	Unarmed Mirelurk	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	1.060000	1.000000	500.000000	2000.000000	0.000000	0.500000	Normal formula behaviour		0	1	HandToHandMelee	0.000000	0.000000	0	1	Normal	0	1.300000	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier33 [CURV:0076E9D6]				
000C2C31	crUnarmedMolerat	Unarmed Molerat	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.680000	1.000000	500.000000	2000.000000	10.000000	0.500000	Normal formula behaviour		0	1	HandToHandMelee	0.000000	3.000000	0	1	Normal	0	0.804762	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier26 [CURV:0076E9CF]				
000C2C32	UnarmedPowerArmor	Unarmed Power Armor	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.680000	1.000000	500.000000	2000.000000	0.000000	0.500000	Explode only		0	1	HandToHandMelee	0.000000	0.000000	0	10	Normal	0	0.886677	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier04 [CURV:0076E9B9]				
000C2C33	crUnarmedRadStag	Unarmed Rad Stag	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.900000	1.000000	500.000000	2000.000000	0.000000	0.500000	Normal formula behaviour		0	1	HandToHandMelee	0.000000	0.000000	0	1	Normal	0	1.491667	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier27 [CURV:0076E9D0]				
000C2C34	crUnarmedRadRoach	Unarmed Rad Roach	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.680000	1.000000	500.000000	2000.000000	0.000000	0.500000	Normal formula behaviour		0	1	HandToHandMelee	0.000000	0.000000	0	1	Normal	0	0.800000	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier17 [CURV:0076E9C6]				
000C2C35	crUnarmedRadScorpion	Unarmed Rad Scorpion	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.900000	1.000000	500.000000	2000.000000	0.000000	0.500000	Normal formula behaviour		0	1	HandToHandMelee	0.000000	0.000000	0	1	Normal	0	1.122222	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier34 [CURV:0076E9D7]				
000C2C36	crUnarmedStingwing	Unarmed Stingwing	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	1.060000	1.000000	500.000000	2000.000000	0.000000	0.500000	Normal formula behaviour		0	1	HandToHandMelee	0.000000	0.000000	0	1	Normal	0	0.760000	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier25 [CURV:0076E9CE]				
000C2C37	crUnarmedBehemoth	Unarmed Behemoth	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	1.060000	1.000000	500.000000	2000.000000	0.000000	0.500000	Explode only		0	1	HandToHandMelee	0.000000	0.000000	0	1	Normal	0	1.952381	0	20.000000	0.000000	0.000000	Medium	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier40 [CURV:0076E9DD]				
000C2C38	crUnarmedYaoGuai	Unarmed Yao Guai	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	1.060000	1.000000	500.000000	2000.000000	0.000000	0.500000	Normal formula behaviour		0	1	HandToHandMelee	0.000000	0.000000	0	1	Normal	0	1.033342	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier37 [CURV:0076E9DA]				
000C2C39	crUnarmedViciousDog	Unarmed Vicious Dog	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.680000	1.000000	500.000000	2000.000000	0.000000	0.500000	Normal formula behaviour		0	1	HandToHandMelee	0.000000	0.000000	0	0	Normal	0	1.033333	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier26 [CURV:0076E9CF]				
000CE97D	44	.44	Ammo44 ".44 Round" [AMMO:0009221C]	1.000000	1.000000	0.000000	1.000000	1.000000	1489.000000	2978.000000	0.150000	0.500000	Normal formula behaviour		6	1	Gun	17.000000	4.000000	40	48	Loud	0	0.833333	0	20.000000	0.000000	0.000000	Small	100	2.750000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Player_Damage_Universal_Tier32 [CURV:0080F210]	Durability_Weapons_Ballistic_Min [CURV:00052192]	ConditionDamageScaleFactor_Weapons_Ballistic_SixShot [CURV:0050A606]	SecondaryScaleFactor_Weapons_Ranged_Bash [CURV:001FABBA]	Durability_Weapons_Ballistic_Max [CURV:00345A4E]
000CFB49	crSentryBotRightMinigun	Sentry Bot Right Minigun	Ammo556 "5.56 Round" [AMMO:0001F278]	1.000000	1.000000	0.000000	1.000000	1.000000	1000.000000	2000.000000	1.000000	0.500000	Normal formula behaviour		0	1	Gun	0.000000	3.000000	0	1	Loud	0	2.200000	0	2.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier13 [CURV:0076E9C2]				
000CFB4D	crSentryBotLeftMiniRocketLauncher	SentryBotLeftRocketLauncher	AmmoMissile "Missile" [AMMO:000CABA3]	1.000000	1.000000	0.000000	1.000000	1.000000	2000.000000	3000.000000	5.000000	0.500000	Normal formula behaviour		0	1	Gun	0.000000	3.000000	0	1	Very Loud	0	1.000000	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier39 [CURV:0076E9DC]				
000D1EB0	GaussRifle	Gauss Rifle	Ammo2mmEC "2mm Electromagnetic Cartridge" [AMMO:0018ABDF]	1.000000	1.000000	0.000000	1.000000	1.000000	2750.000000	5500.000000	0.150000	0.500000	Normal formula behaviour		15	3	Gun	24.000000	8.000000	200	5	Loud	0	0.833333	0	30.000000	1.000000	2.000000	Small	100	3.000000	1.000000	NULL - Null Reference [00000000]			3.000000	CT_Player_Damage_Universal_Tier24 [CURV:0080F208]	Durability_Weapons_Ballistic_Max [CURV:00345A4E]	ConditionDamageScaleFactor_Weapons_Ballistic_SixShot [CURV:0050A606]	SecondaryScaleFactor_Weapons_Ranged_Bash [CURV:001FABBA]	Durability_Weapons_Ballistic_Max [CURV:00345A4E]
000D76F1	OxygenTankTrap		AmmoOxygenTrap [AMMO:000D76F0]	3.000000	1.000000	0.000000	1.000000	1.000000	64.000000	400.000000	0.000000	0.500000	Normal formula behaviour		10000	1	Gun	0.000000	25.000000	0	2	Loud	0	2.333300	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier01 [CURV:0076E9B6]				
000DD4B1	crAssaultronLaser	Assaultron Laser	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	1.000000	1.000000	300.000000	4096.000000	1.000000	0.800000	Normal formula behaviour		0	1	Gun	8.000000	8.000000	0	0	Normal	0	2.200000	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	CritLaser [SPEL:000731B2]			2.000000					
000DDB7C	GammaGun	Gamma Gun	AmmoGammaCell "Gamma Round" [AMMO:000DF279]	1.000000	1.000000	0.000000	1.000000	1.000000	1466.000000	2933.000000	0.150000	0.500000	Explode only		8	1	Gun	16.000000	3.000000	90	0	Normal	0	0.666667	0	18.000000	0.000000	0.000000	Small	100	2.500000	1.000000	NULL - Null Reference [00000000]			2.500000		Durability_Weapons_Energy_Min [CURV:001FAB9A]	ConditionDamageScaleFactor_Weapons_Energy [CURV:0003490E]	SecondaryScaleFactor_Weapons_Ranged_Bash [CURV:001FABBA]	Durability_Weapons_Energy_Max [CURV:00345A4D]
000DF259	crAssaultronRightClaw		NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.600000	1.000000	0.000000	10.000000	0.000000	-1.000000	Dismember only		0	1	OneHandSword	10.000000	2.000000	0	1	Normal	0	1.266673	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier34 [CURV:0076E9D7]				
000DF25A	crAssaultronLeftClaw		NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	0.600000	1.000000	0.000000	10.000000	0.000000	-1.000000	Dismember only		0	1	OneHandSword	10.000000	2.000000	0	1	Normal	0	1.266673	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier34 [CURV:0076E9D7]				
000DF42E	CombatRifle	Combat Rifle	Ammo45Caliber ".45 Round" [AMMO:0001F66A]	1.000000	1.176500	0.000000	1.000000	1.000000	2116.000000	4231.000000	0.280000	0.500000	Normal formula behaviour		20	1	Gun	21.000000	7.000000	130	33	Loud	0	0.833333	0	15.000000	0.000000	0.000000	Medium	100	2.250000	1.000000	NULL - Null Reference [00000000]			2.250000	CT_Player_Damage_Universal_Tier23 [CURV:0080F207]	Durability_Weapons_Ballistic_Min [CURV:00052192]	ConditionDamageScaleFactor_Weapons_Ballistic [CURV:002E8F1A]	SecondaryScaleFactor_Weapons_Ranged_Bash [CURV:001FABBA]	Durability_Weapons_Ballistic_Max [CURV:00345A4E]
000DF621	crFireHydrantBat	Fire Hydrant Bat	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	2.000000	1.000000	0.000000	10.000000	0.000000	-1.000000	Explode only		0	1	OneHandSword	15.000000	3.000000	0	125	Quiet	0	1.952381	0	20.000000	0.000000	0.000000	Small	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000	CT_Creatures_Damage_Universal_Tier29 [CURV:0076E9D2]				
000E56C2	fragMine	Fragmentation Mine	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	1.000000	1.000000	1000.000000	2000.000000	0.000000	1.000000	Normal formula behaviour		0	1	Mine	3.000000	0.550000	20	0	Silent	0	1.833333	0	20.000000	0.000000	0.000000	Medium	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000					
000E5750	nukaGrenade	Nuka Grenade	NULL - Null Reference [00000000]	1.000000	1.000000	0.000000	1.000000	1.000000	1000.000000	2000.000000	0.000000	1.000000	Normal formula behaviour		0	1	Grenade	3.000000	0.850000	35	0	Silent	0	1.833333	0	20.000000	0.000000	0.000000	Medium	0	2.000000	1.000000	NULL - Null Reference [00000000]			2.000000					
