FormID	EDID	FULL	DESC	NNAM	XALG_Flags	KEYWORDS	SWFI	BEVA	ETIP	ETDI	ETLG	ReferencedBy	ECIL_Count	ECIL_1	ECIL_2	ECIL_3	ECIL_4	ECIL_5	ECIL_6	ECIL_7	ECIL_8	ECIL_9	ECIL_10	ECIL_11	ECIL_12	ECIL_13	ECIL_14
00586A6C	ATX_ENTM_CAMP_WallPaper_RedUprising	Red Uprising Wallpaper	The Red Uprising Wallpaper is perfect for any revolution.  - WALLPAPER ITEMS APPEAR WHILE IN C.A.M.P. EDIT MODE. -	Red Uprising Wallpaper		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|00567369:ATX_Entitlement_Filter_Store_CAMP_Wallpapers:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Camp/Wallpaper/	ATX_CAMP_WallPaper_RedUprising.dds		00567365:ATX_workshop_LL_Wallpapers:LVLI	2	ATX_CAMP_WallPaper_RedUprising_C1.ddsATX_CAMP_WallPaper_RedUprising_C2.dds													
00586A6E	ATX_ENTM_CAMP_WallPaper_RedShift	Red Shift Wallpaper	Wrap your home in the colors of the People's Party. Remind yourself and your guests that the walls have eyes, too.  - WALLPAPER ITEMS APPEAR WHILE IN C.A.M.P. EDIT MODE. -	Red Shift  Wallpaper		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|00567369:ATX_Entitlement_Filter_Store_CAMP_Wallpapers:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Camp/Wallpaper/	ATX_CAMP_WallPaper_RedShift.dds		00567365:ATX_workshop_LL_Wallpapers:LVLI	2	ATX_CAMP_WallPaper_RedShift_C1.ddsATX_CAMP_WallPaper_RedShift_C2.dds													
00586A71	ATX_ENTM_CAMP_Floor_RedMenace	Red Menace Floor and Foundations	Support the cause in your C.A.M.P. with this Red Menace Floor and Foundations set.  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Red Menace Floor		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|0052B5F9:ATX_Entitlement_Filter_Store_CAMP_Structures:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Camp/Floors/	ATX_CAMP_Floor_RedMenace.dds		0008BEC1:workshop_LL_Structure_FloorFull:LVLI|003EAEC0:workshop_LL_Structure_FoundationWood:LVLI|003EAEC2:workshop_LL_Structure_FoundationConcrete:LVLI	2	ATX_CAMP_Floor_RedMenace_C1.ddsATX_CAMP_Floor_RedMenace_C2.dds													
00586A6D	ATX_ENTM_CAMP_WallPaper_RedMenace	Red Menace Wallpaper	Show your allegiance with the Red Menace Wallpaper!  - WALLPAPER ITEMS APPEAR WHILE IN C.A.M.P. EDIT MODE. -	Red Menace Wallpaper		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|00567369:ATX_Entitlement_Filter_Store_CAMP_Wallpapers:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Camp/Wallpaper/	ATX_CAMP_WallPaper_RedMenace.dds		00567365:ATX_workshop_LL_Wallpapers:LVLI	2	ATX_CAMP_WallPaper_RedMenace_C1.ddsATX_CAMP_WallPaper_RedMenace_C2.dds													
00586A72	ATX_ENTM_CAMP_Vendor_PlayerVendingMachine_Halloween	Halloween Vending Machine	Add something spooky to your C.A.M.P with this Halloween paint for your Vending Machine.  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Halloween Vending Machine	Premium	003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|00412287:ATX_Entitlement_Filter_Store_CAMP_Utility:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Camp/Vendors/	ATX_CAMP_Vendor_PlayerVendingMachine_Halloween.dds		00537ECA:ATX_workshop_LL_PlayerVendingMachines:LVLI	2	ATX_CAMP_Vendor_PlayerVendingMachine_Halloween_C1.ddsATX_CAMP_Vendor_PlayerVendingMachine_Halloween_C2.dds													
00586A70	ATX_ENTM_CAMP_Floor_RedUprising	Red Uprising Floor and Foundations	Support the cause in your C.A.M.P. with this Red Uprising Floor and Foundations set.  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Red Uprising Floor		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|0052B5F9:ATX_Entitlement_Filter_Store_CAMP_Structures:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Camp/Floors/	ATX_CAMP_Floor_RedUprising.dds		0008BEC1:workshop_LL_Structure_FloorFull:LVLI|003EAEC0:workshop_LL_Structure_FoundationWood:LVLI|003EAEC2:workshop_LL_Structure_FoundationConcrete:LVLI	2	ATX_CAMP_Floor_RedUprising_C1.ddsATX_CAMP_Floor_RedUprising_C2.dds													
00586A1C	ATX_ENTM_CAMP_Utility_FogMachine_Halloween	Fog Machine	Add some spooky fog to your C.A.M.P. with this Fog Machine.  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Fog Machine	Premium	003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|00412287:ATX_Entitlement_Filter_Store_CAMP_Utility:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Camp/Utility/	ATX_Camp_Utility_FogMachine_Halloween.dds		0059D172:ATX_workshop_LL_SmokeMachines:LVLI	2	ATX_Camp_Utility_FogMachine_Halloween_C1.ddsATX_Camp_Utility_FogMachine_Halloween_C2.dds													
00586A28	ATX_ENTM_CAMP_WallDeco_Poster_DeadMansHand	Dead Man's Hand Posters	You may be gambling with your life, but spruce up your walls with the Dead Man's Hand Posters.  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Dead Man's Hand Posters		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|0052B5FC:ATX_Entitlement_Filter_Store_CAMP_Furniture:KYWD|0079A59D:ATX_ItemRarity_Standard:KYWD			Textures/ATX/Storefront/Camp/WallDecoration/	ATX_CAMP_WallDeco_Poster_DeadMansHand.dds		003F0660:workshop_LL_WallDecor_Posters_General:LVLI	4	ATX_CAMP_WallDeco_Poster_DeadMansHand_C1.ddsATX_CAMP_WallDeco_Poster_DeadMansHand_C2.ddsATX_CAMP_WallDeco_Poster_DeadMansHand_C3.ddsATX_CAMP_WallDeco_Poster_DeadMansHand_C4.dds													
00586A23	ATX_ENTM_CAMP_FloorDecor_Plushie_Cat_Halloween	Mr. Fuzzy Halloween Plushie	Mr. Fuzzy is all dressed up for Halloween, just make sure not to cross his path.  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Mr. Fuzzy Halloween Plushie		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|003DC598:ATX_Entitlement_Filter_Store_CAMP_Decorations:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Camp/FloorDecoration/	ATX_CAMP_FloorDecor_Plushie_Cat_Halloween.dds		006A5784:ATX_co_Tinkers_Souvenir_Plushie_Cat_Halloween:COBJ|008AA91C:workshop_LL_Plushies_MrFuzzys:LVLI	2	ATX_CAMP_FloorDecor_Plushie_Cat_Halloween_C1.ddsATX_CAMP_FloorDecor_Plushie_Cat_Halloween_C2.dds													
00586A20	ATX_ENTM_Apparel_Headwear_Gladiator_Hat	Gladiator Helmet	Adorn your head with a stylish and dangerous helmet.  - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Gladiator Helmet		003BF410:ATX_Entitlement_Category_Store_Apparel:KYWD|0051AB27:ATX_Entitlement_Filter_Store_Apparel_Headwear:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Player/Headwear/	ATX_Apparel_Headwear_Gladiator_Hat.dds		00586A10:ATX_co_Clothes_Headwear_Gladiator:COBJ	2	ATX_Apparel_Headwear_Gladiator_Hat_C1.ddsATX_Apparel_Headwear_Gladiator_Hat_C2.dds													
00586A26	ATX_ENTM_CAMP_Utility_CandyBowl	Trick Candy Bowl	Share your candy haul or just get rid of those extra toothbrushes with the Trick Candy Bowl.   The Trick Candy Bowl is a container which can dispense candy and other food in your C.A.M.P.  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Trick Candy Bowl	Premium	003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|00412287:ATX_Entitlement_Filter_Store_CAMP_Utility:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Camp/Utility/	ATX_CAMP_Utility_CandyBowl.dds		00586A17:ATX_workshop_co_Container_CandyBowl:COBJ	2	ATX_CAMP_Utility_CandyBowl_C1.ddsATX_CAMP_Utility_CandyBowl_C2.dds													
00586A24	ATX_ENTM_Apparel_Headwear_Eyepatch	Eye Patch	The classic Black Eye Patch.  - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Eye Patch		003BF410:ATX_Entitlement_Category_Store_Apparel:KYWD|0051AB27:ATX_Entitlement_Filter_Store_Apparel_Headwear:KYWD|0079A59D:ATX_ItemRarity_Standard:KYWD			Textures/ATX/Storefront/Player/Headwear/	ATX_Apparel_Headwear_Eyepatch.dds		0059CB35:ATX_co_Clothes_Headwear_Eyepatch:COBJ	1	ATX_Apparel_Headwear_Eyepatch_C1.dds													
00586A22	ATX_ENTM_CAMP_FloorDecor_Cutout_VaultBoy_Vampire	Vault Boy Vampire Cutout	Make your C.A.M.P. a bit more haunting with the Vault Boy Vampire Cutout.  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Vault Boy Vampire Cutout	Premium	003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|003DC598:ATX_Entitlement_Filter_Store_CAMP_Decorations:KYWD|0079A59D:ATX_ItemRarity_Standard:KYWD			Textures/ATX/Storefront/Camp/FloorDecoration/	ATX_CAMP_FloorDecor_Cutout_VaultBoy_Vampire.dds		00548743:ATX_workshop_LL_Decorations_VaultCardboardCutouts:LVLI	1	ATX_CAMP_FloorDecor_Cutout_VaultBoy_Vampire_C1.dds													
00586A21	ATX_ENTM_CAMP_WallDeco_VintageHalloweenDecor	Vintage Halloween Décor	Spook up your C.A.M.P. with this collection of classic Halloween decorations.  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Vintage Halloween Décor		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|003DC598:ATX_Entitlement_Filter_Store_CAMP_Decorations:KYWD|0079A59D:ATX_ItemRarity_Standard:KYWD			Textures/ATX/Storefront/Camp/WallDecoration/	ATX_CAMP_WallDeco_VintageHalloweenDecor.dds		00586A31:ATX_workshop_LL_Decorations_VintageHalloweenDecor:LVLI	3	ATX_CAMP_WallDeco_VintageHalloweenDecor_C1.ddsATX_CAMP_WallDeco_VintageHalloweenDecor_C2.ddsATX_CAMP_WallDeco_VintageHalloweenDecor_C3.dds													
00586A2A	ATX_ENTM_Apparel_Outfit_CommunistOutfit_Advanced	Communist Militant Outfit	Demonstrate your true loyalties with the Communist Militant Outfit.  - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Communist Militant Outfit		003BF410:ATX_Entitlement_Category_Store_Apparel:KYWD|0051AB28:ATX_Entitlement_Filter_Store_Apparel_Outfits:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Player/Outfit/	ATX_Apparel_Outfit_CommunistOutfit_Advanced.dds		00586A1A:ATX_co_Clothes_Outfit_CommunistOutfit_Advanced:COBJ	2	ATX_Apparel_Outfit_CommunistOutfit_Advanced_C1.ddsATX_Apparel_Outfit_CommunistOutfit_Advanced_C2.dds													
00586A25	ATX_ENTM_Skin_Backpack_Coffin	Coffin Backpack	Whether it is a corpse or a loose screw, the Coffin Backpack works for all your storage needs.  This skin can be applied to both the Small and Standard Backpack as a mod.  - SKIN IS CRAFTABLE AT ARMOR WORKBENCHES. -	Coffin Backpack		004302F8:ATX_Entitlement_Category_Store_Skin:KYWD|0053860D:ATX_Entitlement_Filter_Store_Skin_Backpacks:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Player/Backpack/	ATX_Skin_Backpack_Coffin.dds		00586A16:ATX_co_Armor_Backpack_Coffin:COBJ	2	ATX_Skin_Backpack_Coffin_C1.ddsATX_Skin_Backpack_Coffin_C2.dds													
00586A2B	ATX_ENTM_Apparel_Headwear_CommunistOutfit_Advanced_Hat	Communist Militant Hat	Demonstrate your true loyalties with the Communist Militant Hat.  - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Communist Militant Hat		003BF410:ATX_Entitlement_Category_Store_Apparel:KYWD|0051AB27:ATX_Entitlement_Filter_Store_Apparel_Headwear:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Player/Headwear/	ATX_Apparel_Headwear_CommunistOutfit_Advanced_Hat.dds		00586A19:ATX_co_Clothes_Headwear_CommunistOutfit_Advanced:COBJ	1	ATX_Apparel_Headwear_CommunistOutfit_Advanced_Hat_C1.dds													
00586A1B	ATX_ENTM_CAMP_StashBox_Communist	Red Menace Stash Box	Keep your secrets safe from prying capitalist eyes with the Red Menace Stash Box.  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Red Menace Stash		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|0052B5FC:ATX_Entitlement_Filter_Store_CAMP_Furniture:KYWD|0079A59D:ATX_ItemRarity_Standard:KYWD			Textures/ATX/Storefront/Camp/Stash/	ATX_CAMP_StashBox_Communist.dds		00492181:workshop_LL_Container_WorkshopStashBox_Floor:LVLI	2	ATX_CAMP_StashBox_Communist_C1.ddsATX_CAMP_StashBox_Communist_C2.dds													
00586A1E	ATX_ENTM_Apparel_Headwear_Samurai_Hat	Samurai Helmet	Keep every hair in place while on your travels.  - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Samurai Helmet		003BF410:ATX_Entitlement_Category_Store_Apparel:KYWD|0051AB27:ATX_Entitlement_Filter_Store_Apparel_Headwear:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Player/Headwear/	ATX_Apparel_Headwear_Samurai_Hat.dds		00586A0F:ATX_co_Clothes_Headwear_Samurai:COBJ	2	ATX_Apparel_Headwear_Samurai_Hat_C1.ddsATX_Apparel_Headwear_Samurai_Hat_C2.dds													
00586A27	ATX_ENTM_CAMP_Statue_Scarecrow	Wraith Scarecrow	Scare away crows and unwanted guests with the Wraith Scarecrow.  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Wraith Scarecrow	Premium	003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|003DC598:ATX_Entitlement_Filter_Store_CAMP_Decorations:KYWD|0079A59D:ATX_ItemRarity_Standard:KYWD			Textures/ATX/Storefront/Camp/Statues/	ATX_CAMP_Statue_Scarecrow.dds		00799E5F:ATX_workshop_LL_Decorations_SpookyScarecrows:LVLI	2	ATX_CAMP_Statue_Scarecrow_C1.ddsATX_CAMP_Statue_Scarecrow_C2.dds													
00586A29	ATX_ENTM_CAMP_WallDeco_Poster_AK47Hand	Communist Playing Card Posters	Show your true colors for all to see.  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Communist Playing Card Posters		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|0052B5FC:ATX_Entitlement_Filter_Store_CAMP_Furniture:KYWD|0079A59D:ATX_ItemRarity_Standard:KYWD			Textures/ATX/Storefront/Camp/WallDecoration/	ATX_CAMP_WallDeco_Poster_AK47Hand.dds			4	ATX_CAMP_WallDeco_Poster_AK47Hand_C1.ddsATX_CAMP_WallDeco_Poster_AK47Hand_C2.ddsATX_CAMP_WallDeco_Poster_AK47Hand_C3.ddsATX_CAMP_WallDeco_Poster_AK47Hand_C4.dds													
00586A1D	ATX_ENTM_Apparel_Outfit_Samurai	Samurai Outfit	Flaunt your swordsmanship and honor with the Samurai Outfit.  - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Samurai Outfit		003BF410:ATX_Entitlement_Category_Store_Apparel:KYWD|0051AB28:ATX_Entitlement_Filter_Store_Apparel_Outfits:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Player/Outfit/	ATX_Apparel_Outfit_Samurai.dds		00586A0E:ATX_co_Clothes_Outfit_Samurai:COBJ	2	ATX_Apparel_Outfit_Samurai_C1.ddsATX_Apparel_Outfit_Samurai_C2.dds													
00586A1F	ATX_ENTM_Apparel_Outfit_Gladiator	Gladiator Outfit	Suit up for battle in the arena and watch out for any rogue lions.  - APPAREL IS CRAFTABLE AT ARMOR WORKBENCHES. -	Gladiator Outfit		003BF410:ATX_Entitlement_Category_Store_Apparel:KYWD|0051AB28:ATX_Entitlement_Filter_Store_Apparel_Outfits:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Player/Outfit/	ATX_Apparel_Outfit_Gladiator.dds		00586A11:ATX_co_Clothes_Outfit_Gladiator:COBJ	2	ATX_Apparel_Outfit_Gladiator_C1.ddsATX_Apparel_Outfit_Gladiator_C2.dds													
0058679C	ATX_ENTM_CAMP_Defense_Turret_Halloween_Black	Spooky Halloween Turret Pack	Celebrate Halloween with the Spooky Halloween Turret Pack! Turret requirements must be met to build these items.  - C.A.M.P. ITEMS APPEAR WHILE IN C.A.M.P. MODE. -	Spooky Halloween Turret Pack		003BF411:ATX_Entitlement_Category_Store_CAMP:KYWD|0049499B:ATX_Entitlement_Filter_Store_CAMP_Machinery:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Camp/Defenses/	ATX_CAMP_Defense_Turret_Halloween_Black.dds		00556263:ATX_workshop_LChar_TurretTripod:LVLN|00556264:ATX_workshop_LChar_TurretMounted:LVLN|00556265:ATX_workshop_LChar_TurretShotgun:LVLN|00556266:ATX_workshop_LChar_TurretMissileLauncher:LVLN|00556267:ATX_workshop_LChar_TurretLaser:LVLN|00556268:ATX_workshop_LChar_TurretLaser_Heavy:LVLN	2	ATX_CAMP_Defense_Turret_Halloween_Black_C1.ddsATX_CAMP_Defense_Turret_Halloween_Black_C2.dds													
005867A9	ATX_ENTM_Skin_WeaponSkin_SuperSledge_Blackbird	Blackbird Paint (Super Sledge)	Give your Super Sledge a Blackbird makeover with this Blackbird Paint.  - SKIN IS CRAFTABLE AT WEAPON WORKBENCHES. -	Blackbird Paint	Premium	004302F8:ATX_Entitlement_Category_Store_Skin:KYWD|0052B5EE:ATX_Entitlement_Filter_Store_Skin_Weapons:KYWD|007914FB:ATX_ItemRarity_Rare:KYWD			Textures/ATX/Storefront/Player/WeaponSkin/	ATX_Skin_WeaponSkin_SuperSledge_Blackbird.dds		005867AB:ATX_co_mod_SuperSledge_Melee_Paint_Blackbird:COBJ	2	ATX_Skin_WeaponSkin_SuperSledge_Blackbird_C1.ddsATX_Skin_WeaponSkin_SuperSledge_Blackbird_C2.dds													
