LCTN_FormID	LCTN_EDID	LCTN_FULL	KeywordCount	KW_1	KW_2	KW_3	KW_4	KW_5	KW_6	KW_7	KW_8	KW_9	KW_10	KW_11	KW_12	KW_13	PropCount	Prop_1_AV	Prop_1_Val	Prop_1_Curve	Prop_2_AV	Prop_2_Val	Prop_2_Curve	Prop_3_AV	Prop_3_Val	Prop_3_Curve	Prop_4_AV	Prop_4_Val	Prop_4_Curve	Prop_5_AV	Prop_5_Val	Prop_5_Curve	Prop_6_AV	Prop_6_Val	Prop_6_Curve	Prop_7_AV	Prop_7_Val	Prop_7_Curve	Prop_8_AV	Prop_8_Val	Prop_8_Curve	Prop_9_AV	Prop_9_Val	Prop_9_Curve	Prop_10_AV	Prop_10_Val	Prop_10_Curve	Prop_11_AV	Prop_11_Val	Prop_11_Curve	Prop_12_AV	Prop_12_Val	Prop_12_Curve	Prop_13_AV	Prop_13_Val	Prop_13_Curve	Prop_14_AV	Prop_14_Val	Prop_14_Curve	Prop_15_AV	Prop_15_Val	Prop_15_Curve	Prop_16_AV	Prop_16_Val	Prop_16_Curve	Prop_17_AV	Prop_17_Val	Prop_17_Curve	Prop_18_AV	Prop_18_Val	Prop_18_Curve	Prop_19_AV	Prop_19_Val	Prop_19_Curve	Prop_20_AV	Prop_20_Val	Prop_20_Curve	Prop_21_AV	Prop_21_Val	Prop_21_Curve	Prop_22_AV	Prop_22_Val	Prop_22_Curve	Prop_23_AV	Prop_23_Val	Prop_23_Curve	Prop_24_AV	Prop_24_Val	Prop_24_Curve	Prop_25_AV	Prop_25_Val	Prop_25_Curve	Prop_26_AV	Prop_26_Val	Prop_26_Curve	Prop_27_AV	Prop_27_Val	Prop_27_Curve	Prop_28_AV	Prop_28_Val	Prop_28_Curve	Prop_29_AV	Prop_29_Val	Prop_29_Curve	Prop_30_AV	Prop_30_Val	Prop_30_Curve	Prop_31_AV	Prop_31_Val	Prop_31_Curve	Prop_32_AV	Prop_32_Val	Prop_32_Curve	Prop_33_AV	Prop_33_Val	Prop_33_Curve	Prop_34_AV	Prop_34_Val	Prop_34_Curve	Prop_35_AV	Prop_35_Val	Prop_35_Curve	Prop_36_AV	Prop_36_Val	Prop_36_Curve	Prop_37_AV	Prop_37_Val	Prop_37_Curve	Prop_38_AV	Prop_38_Val	Prop_38_Curve	Prop_39_AV	Prop_39_Val	Prop_39_Curve	Prop_40_AV	Prop_40_Val	Prop_40_Curve	Prop_41_AV	Prop_41_Val	Prop_41_Curve	Prop_42_AV	Prop_42_Val	Prop_42_Curve	Prop_43_AV	Prop_43_Val	Prop_43_Curve	Prop_44_AV	Prop_44_Val	Prop_44_Curve	DATA_UnknownInt	DATA_UnknownByte	DATA_MinLocationLevel	DATA_LocationType	DATA_MaxLocationLevel	PNAM_ParentLocation	RNAM_WorldLocationRadius	ANAM_ActorFadeMult	CNAM_Color
0000E131	LocCranberryGeneralsSteakhouseLocation	The General's Steakhouse	10	000012A1:LocRegionCranberryBog:KYWD	00022612:LocTypeResponderEyebot:KYWD	00064EDE:LocTypeClearable:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	0037FA7F:LocTypeDungeonPOI:KYWD	00396B77:LocTypeDungeon:KYWD	003D4B10:LocLootScaleMedium:KYWD	004E855B:LocThemeGeneral:KYWD	0055C6A0:DungeonTypeRestaurant:KYWD	008A1490:LocTypeHostileTakeover:KYWD				7	ESSChanceSubInsect	5.000000		ESSChanceMainSuperMutants	5.000000		ESSChanceSubViciousDog	5.000000		ESSChanceSubMolerats	5.000000		ESSChanceSubRats	5.000000		EMSChanceVariantNormal	45.000000		EMSChanceVariantScorched	5.000000																																																																																																																	0	0	0	None	0	002EE4E5:SubRegionCranberry02Location:Cranberry Bog	0.000000	1.000000	
00092088	LocForestNukaColaQuantumPlantLocation	Kanawha Nuka-Cola Plant	5	0001564F:LocRegionForestFloodlands:KYWD	00022612:LocTypeResponderEyebot:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	003D5B64:LocLootScaleLarge:KYWD	004E855B:LocThemeGeneral:KYWD									3	ESSChanceMainGhouls	5.000000		ESSChanceSubMolerats	5.000000		ESSChanceSubRats	5.000000																																																																																																																													0	0	0	None	0	0031AEE3:SubRegionForestFloodlands25Location:The Forest	0.000000	1.000000	
0000507E	LocMountainsNationalRadioArrayLocation	National Isolated Radio Array	8	000254BC:LocTypeDungeonMajor:KYWD	00064EDE:LocTypeClearable:KYWD	001789F7:LocRegionMountain:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	00396B77:LocTypeDungeon:KYWD	003D4B10:LocLootScaleMedium:KYWD	004E855F:LocThemeMilitary:KYWD	0055C699:DungeonTypeCommBuilding:KYWD						2	ESSChanceSubGhoul	5.000000		ESSChanceMainSuperMutants	5.000000																																																																																																																																0	0	0	None	0	002F70FE:SubRegionMountains18Location:Savage Divide	2500.000000	1.000000	
00004019	LocMTRBurningMineLocation	The Burning Mine	5	0001CA8B:LocRegionMTR:KYWD	00022612:LocTypeResponderEyebot:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	003D5B62:LocLootScalePOI:KYWD	004E8563:LocThemeMiner:KYWD									4	ESSChanceMainMoleMiner	5.000000		ESSChanceSubViciousDog	5.000000		ESSChanceSubMolerats	5.000000		ESSChanceSubRats	5.000000																																																																																																																										0	0	0	None	0	002EE567:SubRegionMountainRemoval03Location:The Ash Heap	0.000000	1.000000	
000040CC	LocForestVaultTecULocation	Vault-Tec University	7	00003954:LocTypeInteriorCell:KYWD	0001564F:LocRegionForestFloodlands:KYWD	0004F21B:LocTypeSubterranean:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	003D5B64:LocLootScaleLarge:KYWD	004E8566:LocThemeVaultTec:KYWD	0057E1EC:LocTypeInstancedCell:KYWD							2	ESSChanceMainGhouls	5.000000		ESSChanceSubMolerats	5.000000																																																																																																																																0	0	0	None	0	002EE529:SubRegionForestFloodlands10Location:The Forest	0.000000	1.000000	
000158E5	LocToxicEasternRegionalPenLocation	Eastern Regional Penitentiary	10	00003954:LocTypeInteriorCell:KYWD	000254BC:LocTypeDungeonMajor:KYWD	00064EDE:LocTypeClearable:KYWD	00088AAB:LocRegionToxicValley:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	00396B77:LocTypeDungeon:KYWD	003D5B65:LocLootScaleGiant:KYWD	004E855B:LocThemeGeneral:KYWD	0055C692:DungeonTypeCompound:KYWD	007BD03F:LocTypeFishingExcluded:KYWD				2	ESSChanceMainGhouls	5.000000		ESSChanceSubSuperMutants	5.000000																																																																																																																																0	0	0	None	0	002F7081:SubRegionToxicValley06LocationLOW:Toxic Valley	0.000000	1.000000	
00004141	LocCranberryAbandonedBogTownLocation	Abandoned Bog Town	6	000012A1:LocRegionCranberryBog:KYWD	00064EDE:LocTypeClearable:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	003A5E71:LocEncSupportLarge:KYWD	003D4B10:LocLootScaleMedium:KYWD	004E855C:LocThemeWorkingClass:KYWD								4	ESSChanceMainSuperMutants	5.000000		ESSChanceSubViciousDog	5.000000		EMSChanceVariantNormal	45.000000		EMSChanceVariantScorched	5.000000																																																																																																																										0	0	0	None	0	002F7091:SubRegionCranberry14Location:Cranberry Bog	0.000000	1.000000	
00004142	LocForestBlackMountainOrdnanceWorksLocation	Black Mountain Ordnance Works	5	0001564F:LocRegionForestFloodlands:KYWD	00064EDE:LocTypeClearable:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	003D5B63:LocLootScaleSmall:KYWD	004E855C:LocThemeWorkingClass:KYWD									1	ESSChanceMainRobots	5.000000																																																																																																																																			0	0	0	None	0	002EE525:SubRegionForestFloodlands06LocationLOW:The Forest	0.000000	1.000000	
00004143	LocCranberryAlleghenyAsylumLocation	Fort Defiance	5	000012A1:LocRegionCranberryBog:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	003D5B63:LocLootScaleSmall:KYWD	004E8562:LocThemeAsylum:KYWD	008A1490:LocTypeHostileTakeover:KYWD									3	ESSChanceMainScorched	5.000000		EMSChanceVariantNormal	45.000000		EMSChanceVariantScorched	5.000000																																																																																																																													0	0	0	None	0	002EE524:SubRegionCranberry12Location:Cranberry Bog	0.000000	1.000000	
00004144	LocMountainsBlackwaterMineLocation	Blackwater Mine	11	00003954:LocTypeInteriorCell:KYWD	00022612:LocTypeResponderEyebot:KYWD	000254BC:LocTypeDungeonMajor:KYWD	0004F21B:LocTypeSubterranean:KYWD	00064EDE:LocTypeClearable:KYWD	001789F7:LocRegionMountain:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	00396B77:LocTypeDungeon:KYWD	003D4B10:LocLootScaleMedium:KYWD	004E8563:LocThemeMiner:KYWD	0055C69A:DungeonTypeMine:KYWD			4	ESSChanceMainMoleMiner	5.000000		ESSChanceSubMolerats	5.000000		ESSChanceSubRats	5.000000		ESSChanceSubWolf	5.000000																																																																																																																										0	0	0	None	0	002F70FD:SubRegionMountains17Location:Savage Divide	0.000000	1.000000	
00004145	LocForestAaronholtHomesteadLocation	Aaronholt Homestead	9	0001564F:LocRegionForestFloodlands:KYWD	00064EDE:LocTypeClearable:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	0037FA7F:LocTypeDungeonPOI:KYWD	00396B77:LocTypeDungeon:KYWD	003D5B63:LocLootScaleSmall:KYWD	004E8569:LocThemeOutdoors:KYWD	0055C696:DungeonTypeFarm:KYWD	008A1490:LocTypeHostileTakeover:KYWD					2	ESSChanceSubInsect	5.000000		ESSChanceMainViciousDog	100.000000																																																																																																																																0	0	0	None	0	0004BDFD:SubRegionForestFloodlands02Location:The Forest	0.000000	1.000000	
00004147	LocMountainsHopewellCaveLocation	Hopewell Cave	10	00064EDE:LocTypeClearable:KYWD	001789F7:LocRegionMountain:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	0037FA7F:LocTypeDungeonPOI:KYWD	00396B77:LocTypeDungeon:KYWD	003A5E71:LocEncSupportLarge:KYWD	003A5E72:LocEncSupportGiant:KYWD	003D5B63:LocLootScaleSmall:KYWD	004E8569:LocThemeOutdoors:KYWD	0055C6A2:DungeonTypeCave:KYWD				4	ESSChanceSubInsect	5.000000		ESSChanceMainDeathclawGIANTONLY	100.000000		ESSChanceSubMolerats	5.000000		ESSChanceSubWolf	5.000000																																																																																																																										0	0	0	None	0	002F70F5:SubRegionMountains09Location:Savage Divide	0.000000	1.000000	
00004148	LocCranberryAppalachianAntiquesLocation	Appalachian Antiques	10	000012A1:LocRegionCranberryBog:KYWD	00064EDE:LocTypeClearable:KYWD	0009860C:LocTypeWealthy:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	0037FA7F:LocTypeDungeonPOI:KYWD	00396B77:LocTypeDungeon:KYWD	003D5B63:LocLootScaleSmall:KYWD	004E856B:LocThemeBoS:KYWD	0055C69E:DungeonTypeStore:KYWD	008A1490:LocTypeHostileTakeover:KYWD				3	ESSChanceMainGhouls	5.000000		EMSChanceVariantNormal	45.000000		EMSChanceVariantScorched	5.000000																																																																																																																													0	0	0	None	0	002EE524:SubRegionCranberry12Location:Cranberry Bog	0.000000	1.000000	
00004149	LocMTRBeckleyWorkshopLocation	Beckley Mine Exhibit	9	0001CA8B:LocRegionMTR:KYWD	000234F1:LocTypeWorkshop:KYWD	00064EDE:LocTypeClearable:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	003A5E71:LocEncSupportLarge:KYWD	003A5E72:LocEncSupportGiant:KYWD	003AEDF7:LocTypeWorkshopPublic:KYWD	003D5B63:LocLootScaleSmall:KYWD	004E855C:LocThemeWorkingClass:KYWD					8	Food	6.000000		Water	8.000000		ESSChanceMainRobots	5.000000		ESSChanceSubGhoul	5.000000		ResourceAV_FertilizerBrahmin	1.000000		ResourceAV_Scavenge	1.000000		WorkshopBudgetLocation	1500.000000		ResourceAV_Ash	1.000000																																																																																																														0	0	0	Workshop	0	002EE568:SubRegionMountainRemoval04Location:The Ash Heap	0.000000	1.000000	
0000414B	LocSwampBerkeleySpringsLocation	Berkeley Springs	12	0000BA1C:LocTypeENz01DropRegion:KYWD	0000BC69:LocTypeENz01DropSite:KYWD	0001CA8C:LocRegionSwampForest:KYWD	00064EDE:LocTypeClearable:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	0037FA7F:LocTypeDungeonPOI:KYWD	00396B77:LocTypeDungeon:KYWD	003D4B10:LocLootScaleMedium:KYWD	004713D5:LocTypeChallenge_NukeCity:KYWD	004E855B:LocThemeGeneral:KYWD	0055C698:DungeonTypeTown:KYWD	008A1490:LocTypeHostileTakeover:KYWD		3	ESSChanceMainScorched	5.000000		EMSChanceVariantNormal	45.000000		EMSChanceVariantScorched	5.000000																																																																																																																													0	0	0	None	0	002F706D:SubRegionSwamp06Location:Mire	0.000000	1.000000	
0000414C	LocCranberryBigBendTunnelEastLocation	Big Bend Tunnel East	5	000012A1:LocRegionCranberryBog:KYWD	00022612:LocTypeResponderEyebot:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	003D5B63:LocLootScaleSmall:KYWD	004E8569:LocThemeOutdoors:KYWD									3	ESSChanceMainScorched	5.000000		EMSChanceVariantNormal	45.000000		EMSChanceVariantScorched	5.000000																																																																																																																													0	0	0	None	0	002F7092:SubRegionCranberry15Location:Cranberry Bog	0.000000	1.000000	
0000414E	LocCranberryBootleggersShackLocation	Bootlegger's Shack	8	000012A1:LocRegionCranberryBog:KYWD	00064EDE:LocTypeClearable:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	0037FA7F:LocTypeDungeonPOI:KYWD	00396B77:LocTypeDungeon:KYWD	003D5B63:LocLootScaleSmall:KYWD	004E8569:LocThemeOutdoors:KYWD	0055C692:DungeonTypeCompound:KYWD						3	ESSChanceMainScorched	5.000000		EMSChanceVariantNormal	45.000000		EMSChanceVariantScorched	5.000000																																																																																																																													0	0	0	None	0	002EE4E5:SubRegionCranberry02Location:Cranberry Bog	0.000000	1.000000	
0000414F	LocMTRGarrahanEstateLocation	Garrahan Estate	5	0001CA8B:LocRegionMTR:KYWD	0009860C:LocTypeWealthy:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	003D4B10:LocLootScaleMedium:KYWD	004E8560:LocThemeWealthy:KYWD									1	ESSChanceMainGhouls	5.000000																																																																																																																																			0	0	0	None	0	002EE56A:SubRegionMountainRemoval06Location:The Ash Heap	0.000000	1.000000	
00081B25	LocCranberryGlassedCavernLocation	Glassed Cavern	11	000012A1:LocRegionCranberryBog:KYWD	00003954:LocTypeInteriorCell:KYWD	000254BC:LocTypeDungeonMajor:KYWD	0004F21B:LocTypeSubterranean:KYWD	00064EDE:LocTypeClearable:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	00396B77:LocTypeDungeon:KYWD	003D5B64:LocLootScaleLarge:KYWD	004E8563:LocThemeMiner:KYWD	0055C6A2:DungeonTypeCave:KYWD	00804F7D:LocTypeFishingLocalLegend:KYWD			4	ESSChanceMainScorched	5.000000		ESSChanceSubMirelurks	5.000000		EMSChanceVariantNormal	45.000000		EMSChanceVariantScorched	5.000000																																																																																																																										0	0	0	None	0	002F7094:SubRegionCranberry17Location:Cranberry Bog	0.000000	1.000000	
00083AAD	LocMountainsWestTekResearchInteriorLocation	West Tek Research Center	8	00003954:LocTypeInteriorCell:KYWD	00064EDE:LocTypeClearable:KYWD	001789F7:LocRegionMountain:KYWD	003D5B64:LocLootScaleLarge:KYWD	004E855F:LocThemeMilitary:KYWD	0057E1EC:LocTypeInstancedCell:KYWD	005ADD9E:LocTypeDailyOps:KYWD	007BD03F:LocTypeFishingExcluded:KYWD						1	ESSChanceMainSuperMutants	5.000000																																																																																																																																			0	0	15	None	99	005FAD0C:LocMountainsWestTekResearchLocation:West Tek Research Center	0.000000	1.000000	
0008FEE3	LocMountainsHuntersvilleLocation	Huntersville	10	00022612:LocTypeResponderEyebot:KYWD	00064EDE:LocTypeClearable:KYWD	001789F7:LocRegionMountain:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	0037FA7F:LocTypeDungeonPOI:KYWD	00396B77:LocTypeDungeon:KYWD	003D4B10:LocLootScaleMedium:KYWD	004E8564:LocThemeRaider:KYWD	0055C698:DungeonTypeTown:KYWD	008A1490:LocTypeHostileTakeover:KYWD				1	ESSChanceMainSuperMutants	5.000000																																																																																																																																			0	0	0	None	0	00338735:SubRegionMountains21Location:Savage Divide	0.000000	1.000000	
0009549C	LocForestAVRMedicalCenterLocation	AVR Medical Center	9	00003954:LocTypeInteriorCell:KYWD	0001564F:LocRegionForestFloodlands:KYWD	000254BC:LocTypeDungeonMajor:KYWD	00064EDE:LocTypeClearable:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	00396B77:LocTypeDungeon:KYWD	003D4B10:LocLootScaleMedium:KYWD	004E856A:LocThemeMedical:KYWD	0055C6A4:DungeonTypeMedicalFacility:KYWD					1	ESSChanceMainScorched	5.000000																																																																																																																																			0	0	0	None	0	0031AEE4:SubRegionForestFloodlands26Location:The Forest	0.000000	1.000000	
00019041	LocMTRCamdenParkLocation	Camden Park	8	0001CA8B:LocRegionMTR:KYWD	00064EDE:LocTypeClearable:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	0037FA7F:LocTypeDungeonPOI:KYWD	00396B77:LocTypeDungeon:KYWD	003D5B64:LocLootScaleLarge:KYWD	004E8561:LocThemeAmusementPark:KYWD	0055C6A7:DungeonTypePark:KYWD						7	ESSChanceMainScorched	5.000000		ESSChanceSubGhoul	5.000000		ESSChanceSubLiberators	5.000000		ESSChanceSubMolerats	5.000000		ESSChanceSubBloatfly	5.000000		ESSChanceSubBloodbug	5.000000		ESSChanceSubTick	5.000000																																																																																																																	0	0	0	None	0	002EE565:SubRegionMountainRemoval01Location:The Ash Heap	0.000000	1.000000	
000193A7	LocMountainsPleasantValleySkiResortLocation	Pleasant Valley Ski Resort	9	00064EDE:LocTypeClearable:KYWD	001789F7:LocRegionMountain:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	0037FA7F:LocTypeDungeonPOI:KYWD	00396B77:LocTypeDungeon:KYWD	003D4B10:LocLootScaleMedium:KYWD	004E855E:LocThemeWinter:KYWD	0055C69F:DungeonTypeResort:KYWD	008A1490:LocTypeHostileTakeover:KYWD					1	ESSChanceMainScorched	5.000000																																																																																																																																			0	0	0	None	0	002F70F9:SubRegionMountains13LocationLOW:Savage Divide	0.000000	1.000000	
000193A9	LocMountainsPleasantValleyCabinsLocation	Pleasant Valley Cabins	9	00064EDE:LocTypeClearable:KYWD	001789F7:LocRegionMountain:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	0037FA7F:LocTypeDungeonPOI:KYWD	00396B77:LocTypeDungeon:KYWD	003D4B10:LocLootScaleMedium:KYWD	004E855E:LocThemeWinter:KYWD	0055C69F:DungeonTypeResort:KYWD	008A1490:LocTypeHostileTakeover:KYWD					1	ESSChanceMainScorched	5.000000																																																																																																																																			0	0	0	None	0	002F70F9:SubRegionMountains13LocationLOW:Savage Divide	0.000000	1.000000	
000193AA	LocMountainsTopOfTheWorldLocation	Top of the World	5	001789F7:LocRegionMountain:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	003A5E71:LocEncSupportLarge:KYWD	003D4B10:LocLootScaleMedium:KYWD	004E855E:LocThemeWinter:KYWD									0																																																																																																																																					0	0	0	None	0	002F70F9:SubRegionMountains13LocationLOW:Savage Divide	0.000000	1.000000	
000193D1	LocForestRiversideManorLocation	Riverside Manor	11	00003954:LocTypeInteriorCell:KYWD	00003955:LocTypeHouse:KYWD	0001564F:LocRegionForestFloodlands:KYWD	000254BC:LocTypeDungeonMajor:KYWD	00064EDE:LocTypeClearable:KYWD	0009860C:LocTypeWealthy:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	00396B77:LocTypeDungeon:KYWD	003D4B10:LocLootScaleMedium:KYWD	004E8560:LocThemeWealthy:KYWD	0055C697:DungeonTypeHouse:KYWD			2	ESSChanceMainScorched	5.000000		ESSChanceSubMolerats	5.000000																																																																																																																																0	0	0	None	0	0031AEEB:SubRegionForestFloodlands27Location:The Forest	0.000000	1.000000	
0001951E	LocCranberryWatogaEstatesLocation	Watoga Estates	6	000012A1:LocRegionCranberryBog:KYWD	00064EDE:LocTypeClearable:KYWD	0009860C:LocTypeWealthy:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	003D5B63:LocLootScaleSmall:KYWD	004E8560:LocThemeWealthy:KYWD								2	EMSChanceVariantNormal	45.000000		EMSChanceVariantScorched	5.000000																																																																																																																																0	0	0	None	0	00006D9C:LocCranberryWatogaLocation:Watoga	0.000000	1.000000	
00055E01	LocSwampDyerChemicalLocation	Dyer Chemical	11	00003954:LocTypeInteriorCell:KYWD	0001CA8C:LocRegionSwampForest:KYWD	00064EDE:LocTypeClearable:KYWD	0033FE91:LocTypeFastTravelDestination:KYWD	0037FA7F:LocTypeDungeonPOI:KYWD	00396B77:LocTypeDungeon:KYWD	003D5B64:LocLootScaleLarge:KYWD	004E855C:LocThemeWorkingClass:KYWD	0055C6A3:DungeonTypeFactory:KYWD	007BD03F:LocTypeFishingExcluded:KYWD	008A1490:LocTypeHostileTakeover:KYWD			4	ESSChanceMainRobots	5.000000		ESSChanceSubGhoul	5.000000		EMSChanceVariantNormal	45.000000		EMSChanceVariantScorched	5.000000																																																																																																																										0	0	0	None	0	002F706E:SubRegionSwamp07Location:Mire	0.000000	1.000000	
