PCRD_FormID	PCRD_EDID	FormVersion	DESC	MNAM_MaleName	FNAM_FemaleName	ANAM_PerkCardFlags	DATA_Value	DATA_MinLevel	DATA_Special	DATA_RaceRestriction	PCDV_GLOB_FormID	PCDV_GLOB_EDID	PCDV_GLOB_FULL	SNAM_Sound	RankCount	Ranks_Flat	ReferencedByCount	Rank_1_CardRank	Rank_1_MalePerk_FormID	Rank_1_MalePerk_EDID	Rank_1_MalePerk_FULL	Rank_1_FemalePerk_FormID	Rank_1_FemalePerk_EDID	Rank_1_FemalePerk_FULL	Rank_2_CardRank	Rank_2_MalePerk_FormID	Rank_2_MalePerk_EDID	Rank_2_MalePerk_FULL	Rank_2_FemalePerk_FormID	Rank_2_FemalePerk_EDID	Rank_2_FemalePerk_FULL	Rank_3_CardRank	Rank_3_MalePerk_FormID	Rank_3_MalePerk_EDID	Rank_3_MalePerk_FULL	Rank_3_FemalePerk_FormID	Rank_3_FemalePerk_EDID	Rank_3_FemalePerk_FULL	Rank_4_CardRank	Rank_4_MalePerk_FormID	Rank_4_MalePerk_EDID	Rank_4_MalePerk_FULL	Rank_4_FemalePerk_FormID	Rank_4_FemalePerk_EDID	Rank_4_FemalePerk_FULL	Rank_5_CardRank	Rank_5_MalePerk_FormID	Rank_5_MalePerk_EDID	Rank_5_MalePerk_FULL	Rank_5_FemalePerk_FormID	Rank_5_FemalePerk_EDID	Rank_5_FemalePerk_FULL	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11
0025A792	GunslingerMasterCard	209	Quick on the draw, quick on the trigger.	GunslingerMaster			0.000000	35	Agility	None	001179F3	PerkCard_Caps_Rare		001A763F:UIPerkMenuGunslinger:SNDR	1	3|0004A09F:GunslingerMaster01:Gunslinger Master|	3	3	0004A09F	GunslingerMaster01	Gunslinger Master																																0005B390:LevelUp_SelectionList:LVPC	004713B9:Challenge_Lifetime_Perks_RankUp_SUB_Agility_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST								
0025A7F9	NinjaCard	209	You trained as a shadow warrior.	Ninja			0.000000	15	Agility	None	001179F3	PerkCard_Caps_Rare		001A72E3:UIPerkMenuNinja:SNDR	2	1|0004D8A6:Ninja01:Ninja| || 2|000E3704:Ninja02:Ninja|	3	1	0004D8A6	Ninja01	Ninja				2	000E3704	Ninja02	Ninja																									0005B390:LevelUp_SelectionList:LVPC	004713B9:Challenge_Lifetime_Perks_RankUp_SUB_Agility_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST								
0025A7A0	LeadBellyCard	209	Your digestive tract has adjusted to the weirdness of the Wasteland!	LeadBelly			0.000000	2	Endurance	Human	001179ED	PerkCard_Caps_Common		001A7646:UIPerkMenuLeadBelly:SNDR	1	1|0004A0B9:LeadBelly01:Lead Belly|	4	1	0004A0B9	LeadBelly01	Lead Belly																																00048090:76CharGenStartingPerkCardsFormlist:FLST	0005B390:LevelUp_SelectionList:LVPC	004713BE:Challenge_Lifetime_Perks_RankUp_SUB_Endurance_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST							
0025A7A1	NightEyesCard	209	Nightshift in the Vault honed your eyesight!	NightEyes			0.000000	50	Perception	None	001179F3	PerkCard_Caps_Rare			1	1|002598E6:NightEyes01:Night Eyes|	3	1	002598E6	NightEyes01	Night Eyes																																0005B390:LevelUp_SelectionList:LVPC	004713BD:Challenge_Lifetime_Perks_RankUp_SUB_Perception_Formlist:FLST	0050B377:PerkCardPack_LaunchPack001_Common:FLST								
0025A7A2	SniperCard	209	It's all about focus.	Sniper			0.000000	28	Perception	None	001179F3	PerkCard_Caps_Rare		001A72F8:UIPerkMenuSniper:SNDR	1	1|0004C92A:Sniper01:Sniper|	3	1	0004C92A	Sniper01	Sniper																																0005B390:LevelUp_SelectionList:LVPC	004713BD:Challenge_Lifetime_Perks_RankUp_SUB_Perception_Formlist:FLST	0050B379:PerkCardPack_LaunchPack001_Rare:FLST								
0016AFE9	BearArmsCard	209	Your bear-like arms help you bear bigger arms.	BearArms			0.000000	35	Strength	None	0024F8D6	PerkCard_Caps_Uncommon			1	1|0016AF72:BearArms01:Bear Arms|	3	1	0016AF72	BearArms01	Bear Arms																																0005B390:LevelUp_SelectionList:LVPC	004713BC:Challenge_Lifetime_Perks_RankUp_SUB_Strength_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST								
0027A870	GrimReapersSprintCard	209	Death becomes you!	GrimReapersSprint			0.000000	33	Luck	None	0024F8D6	PerkCard_Caps_Uncommon		00216179:UIPerkGrimReapersSprint:SNDR	1	2|0004D8A2:GrimReapersSprint01:Grim Reaper's Sprint|	3	2	0004D8A2	GrimReapersSprint01	Grim Reaper's Sprint																																0005B390:LevelUp_SelectionList:LVPC	004713BB:Challenge_Lifetime_Perks_RankUp_SUB_Luck_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST								
0027A877	GunRunnerCard	209	Carry light and run fast.	GunRunner			0.000000	4	Agility	None	0024F8D6	PerkCard_Caps_Uncommon			2	1|0025A7A9:GunRunner01:Gun Runner| || 2|0025A7AA:GunRunner02:Gun Runner|	3	1	0025A7A9	GunRunner01	Gun Runner				2	0025A7AA	GunRunner02	Gun Runner																									0005B390:LevelUp_SelectionList:LVPC	004713B9:Challenge_Lifetime_Perks_RankUp_SUB_Agility_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST								
0027A876	PowerUserCard	209	Dominate the Wasteland with impunity.	PowerUser			0.000000	50	Intelligence	None	0024F8D6	PerkCard_Caps_Uncommon		00216239:UIPerkMenuNuclearPhysicist:SNDR	3	1|0027A873:PowerUser01:Power User| || 2|0027A874:PowerUser02:Power User| || 3|0027A875:PowerUser03:Power User|	3	1	0027A873	PowerUser01	Power User				2	0027A874	PowerUser02	Power User				3	0027A875	PowerUser03	Power User																		0005B390:LevelUp_SelectionList:LVPC	004713BA:Challenge_Lifetime_Perks_RankUp_SUB_Intelligence_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST								
0027A871	PsychopathCard	209	Kill! Kill! Muahaha!	Psychopath			0.000000	20	Luck	None	0024F8D6	PerkCard_Caps_Uncommon			1	2|0027A86F:Psychopath01:Psychopath|	4	2	0027A86F	Psychopath01	Psychopath																																0005B390:LevelUp_SelectionList:LVPC	004713BB:Challenge_Lifetime_Perks_RankUp_SUB_Luck_Formlist:FLST	0050B378:PerkCardPack_LaunchPack001_Uncommon:FLST	006DE9E7:NPE_Loadout_VATSSelectionList:LVPC							
