FormID	EDID	FULL	SHRT	RNAM_FormID	RNAM_EDID	RNAM_Name	ATKR_FormID	ATKR_EDID	ATKR_Name	INAM_FormID	INAM_EDID	TPLT_FormID	TPLT_EDID	TPLT_Name	LTPT_FormID	LTPT_EDID	LTPT_Name	LTPC_FormID	LTPC_EDID	LTPC_Name	CNAM_FormID	CNAM_EDID	CNAM_Name	VTCK_FormID	VTCK_EDID	VTCK_Name	WNAM_FormID	WNAM_EDID	DOFT_FormID	DOFT_EDID	ACBS_Flags	ACBS_XPOffset	ACBS_Level	ACBS_CalcMinLvl	ACBS_CalcMaxLvl	ACBS_DispositionBase	ACBS_TemplateFlags	AJNG_EDID	AJXG_EDID	DNAM_CalcHealth	DNAM_CalcActionPts	DNAM_FarAwayDist	DNAM_GearedUpWeapons	ZNAM_FormID	ZNAM_EDID	ECOR_FormID	ECOR_EDID	Factions_Flat
00075341	LvlSupermutantBoss			0001A009	SuperMutantRace	Super Mutant	0001A009	SuperMutantRace	Super Mutant	00249196	LLD_Creature_Supermutant	005196A3	LChar_GroupSuperMutantBoss								000424ED	SupermutantClass	Supermutant	0006D7B7	CrSuperMutant01		0001A00B	SkinSuperMutant	000A73A1	CreatureOutfit_SuperMutantOutfit		140	68	0	0	35		Renorm_MinLVL_GlowingCreature	Renorm_MaxLVL_GlowingCreature	700	50	0	1	000A881F	csSupermutantRanged	0004223F	DefaultCombatMasterPackageList	SuperMutantFaction[Rank:0]
00075343	LvlFeralGhoulBoss			000A96BF	FeralGhoulGlowingRace	Feral Ghoul	0006B4EC	FeralGhoulRace	Feral Ghoul	0021C009	LLD_Creature_FeralGhoul_Glowing	000758AE	LCharFeralGhoul								00123E16	FeralGhoulClass	Feral Ghoul	0009B20A	CrFeralGhoulVoice		000A96BC	SkinFeralGhoulGlowingBloated				0	58	0	0	35		Renorm_MinLVL_GlowingCreature	Renorm_MaxLVL_GlowingCreature	1000	100	0	1	0015B53F	csFeralGhoulGlowingOne	0004223F	DefaultCombatMasterPackageList	FeralGhoulFaction[Rank:0]
000758AD	encFeralGhoul00Template	Weak Feral Ghoul		0006B4EC	FeralGhoulRace	Feral Ghoul	0006B4EC	FeralGhoulRace	Feral Ghoul	00087927	LLD_Creature_FeralGhoul										00123E16	FeralGhoulClass	Feral Ghoul	0009B20A	CrFeralGhoulVoice				0008EC47	CreatureOutfit_FeralGhoulOutfit		0	1	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	30	100	0	1	0009990E	csFeralGhoul	0004223F	DefaultCombatMasterPackageList	FeralGhoulFaction[Rank:0]
000758AF	EncRaider02	Raider Scum		00013746	HumanRace	Human	00013746	HumanRace	Human	0004E350	LLD_Creature_Raider	0003183A	EncRaider01Template	Raider							0005F970	raiderClass	Raider	003F83BC	W05_NPCM_GenericRaider01	Raider	000ADA90	SkinNakedDirty	00572C26	Outfit_Raider		0	4	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	85	50	0	1	0003183B	csRaiderRanged	0004223F	DefaultCombatMasterPackageList	W05_CraterRaiderFaction[Rank:0]
000758B0	EncRaider04	Raider Scavver		00013746	HumanRace	Human	00013746	HumanRace	Human	0004E350	LLD_Creature_Raider	0003183A	EncRaider01Template	Raider							0005F970	raiderClass	Raider	003F83BC	W05_NPCM_GenericRaider01	Raider	000ADA90	SkinNakedDirty	00572C26	Outfit_Raider		0	14	0	0	35		Renorm_MinLVL_Tier02	Renorm_MaxLVL_Tier01	120	50	0	1	0003183B	csRaiderRanged	0004223F	DefaultCombatMasterPackageList	W05_CraterRaiderFaction[Rank:0]
000758B1	EncRaider05	Raider Waster		00013746	HumanRace	Human	00013746	HumanRace	Human	0004E350	LLD_Creature_Raider	0003183A	EncRaider01Template	Raider							0005F970	raiderClass	Raider	003F83BC	W05_NPCM_GenericRaider01	Raider	000ADA90	SkinNakedDirty	00572C26	Outfit_Raider		0	21	0	0	35		Renorm_MinLVL_Tier03	Renorm_MaxLVL_Tier01	165	50	0	1	0003183B	csRaiderRanged	0004223F	DefaultCombatMasterPackageList	W05_CraterRaiderFaction[Rank:0]
000758B2	EncRaider06	Raider Survivalist		00013746	HumanRace	Human	00013746	HumanRace	Human	0004E350	LLD_Creature_Raider	0003183A	EncRaider01Template	Raider							0005F970	raiderClass	Raider	003F83BC	W05_NPCM_GenericRaider01	Raider	000ADA90	SkinNakedDirty	00572C26	Outfit_Raider		0	30	0	0	35		Renorm_MinLVL_Tier05	Renorm_MaxLVL_Tier02	240	50	0	1	0003183B	csRaiderRanged	0004223F	DefaultCombatMasterPackageList	W05_CraterRaiderFaction[Rank:0]
000769FA	EncBoSSoldier02	Brotherhood Aspirant	Aspirant	00013746	HumanRace	Human	00013746	HumanRace	Human	00077D1F	LLD_Creature_BoSSoldier	00076A0A	EncBoSSoldierTemplate	Brotherhood Soldier Template							00076A07	BoSScribeClass	Brotherhood of Steel Scribe						00076A26	BoSSoldierOutfit		0	9	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	140	50	0	1	00076A09	csBoS01Ranged	0004223F	DefaultCombatMasterPackageList	BrotherhoodofSteelFaction[Rank:0] | BoSGenericNPCFaction[Rank:0]
000769FB	EncBoSSoldier03	Brotherhood Knight	Knight	00013746	HumanRace	Human	00013746	HumanRace	Human	00077D1F	LLD_Creature_BoSSoldier	00076A0A	EncBoSSoldierTemplate	Brotherhood Soldier Template							00076A07	BoSScribeClass	Brotherhood of Steel Scribe						00076A26	BoSSoldierOutfit		0	17	0	0	35		Renorm_MinLVL_Tier11	Renorm_MaxLVL_Tier01	210	50	0	1	00076A09	csBoS01Ranged	0004223F	DefaultCombatMasterPackageList	BrotherhoodofSteelFaction[Rank:0] | BoSGenericNPCFaction[Rank:0]
000769FC	EncBoSSoldier04	Brotherhood Knight-Sergeant	Knight-Sergeant	00013746	HumanRace	Human	00013746	HumanRace	Human	00077D1F	LLD_Creature_BoSSoldier	00076A0A	EncBoSSoldierTemplate	Brotherhood Soldier Template							00076A07	BoSScribeClass	Brotherhood of Steel Scribe						00076A26	BoSSoldierOutfit		0	25	0	0	35		Renorm_MinLVL_Tier11	Renorm_MaxLVL_Tier01	280	50	0	1	00076A09	csBoS01Ranged	0004223F	DefaultCombatMasterPackageList	BrotherhoodofSteelFaction[Rank:0] | BoSGenericNPCFaction[Rank:0]
000769FD	EncBoSSoldier05	Brotherhood Knight-Captain	Knight-Captain	00013746	HumanRace	Human	00013746	HumanRace	Human	00077D1F	LLD_Creature_BoSSoldier	00076A0A	EncBoSSoldierTemplate	Brotherhood Soldier Template							00076A07	BoSScribeClass	Brotherhood of Steel Scribe						00076A26	BoSSoldierOutfit		0	33	0	0	35		Renorm_MinLVL_Tier11	Renorm_MaxLVL_Tier01	350	50	0	1	00076A09	csBoS01Ranged	0004223F	DefaultCombatMasterPackageList	BrotherhoodofSteelFaction[Rank:0] | BoSGenericNPCFaction[Rank:0]
000769FE	EncBoSSoldier01	Brotherhood Initiate	Initiate	00013746	HumanRace	Human	00013746	HumanRace	Human	00077D1F	LLD_Creature_BoSSoldier	00076A0A	EncBoSSoldierTemplate	Brotherhood Soldier Template							00076A07	BoSScribeClass	Brotherhood of Steel Scribe						00076A26	BoSSoldierOutfit		0	2	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	40	50	0	1	00076A09	csBoS01Ranged	0004223F	DefaultCombatMasterPackageList	BrotherhoodofSteelFaction[Rank:0] | BoSGenericNPCFaction[Rank:0]
000769FF	EncBoSScribe01	Brotherhood Scribe Initiate	Scribe Initiate	00013746	HumanRace	Human	00013746	HumanRace	Human	000C3071	LLD_Creature_BoSHolotag	00076A0B	EncBoSScribeTemplate	Brotherhood Scribe Template							00076A07	BoSScribeClass	Brotherhood of Steel Scribe						0016BAD4	BoSScribeFieldRandom		0	1	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	80	50	0	1	00076A09	csBoS01Ranged	0004223F	DefaultCombatMasterPackageList	BrotherhoodofSteelFaction[Rank:0] | BoSGenericNPCFaction[Rank:0]
00076A00	EncBoSScribe02	Brotherhood Scribe	Scribe	00013746	HumanRace	Human	00013746	HumanRace	Human	000C3071	LLD_Creature_BoSHolotag	00076A0B	EncBoSScribeTemplate	Brotherhood Scribe Template							00076A07	BoSScribeClass	Brotherhood of Steel Scribe						0016BAD4	BoSScribeFieldRandom		0	6	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	80	50	0	1	00076A09	csBoS01Ranged	0004223F	DefaultCombatMasterPackageList	BrotherhoodofSteelFaction[Rank:0] | BoSGenericNPCFaction[Rank:0]
00076A01	EncBoSScribe03	Brotherhood Senior Scribe	Senior Scribe	00013746	HumanRace	Human	00013746	HumanRace	Human	000C3071	LLD_Creature_BoSHolotag	00076A0B	EncBoSScribeTemplate	Brotherhood Scribe Template							00076A07	BoSScribeClass	Brotherhood of Steel Scribe						0016BAD4	BoSScribeFieldRandom		0	15	0	0	35		Renorm_MinLVL_Tier02	Renorm_MaxLVL_Tier01	80	50	0	1	00076A09	csBoS01Ranged	0004223F	DefaultCombatMasterPackageList	BrotherhoodofSteelFaction[Rank:0] | BoSGenericNPCFaction[Rank:0]
00076A05	LvlBoSScribe			00013746	HumanRace	Human	00013746	HumanRace	Human	000C3071	LLD_Creature_BoSHolotag	00076A04	Old_LCharBoSScribe								00076A07	BoSScribeClass	Brotherhood of Steel Scribe						0016BAD4	BoSScribeFieldRandom		0	1	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	80	50	0	1	00076A09	csBoS01Ranged	0004223F	DefaultCombatMasterPackageList	BrotherhoodofSteelFaction[Rank:0] | BoSGenericNPCFaction[Rank:0]
00076A0A	EncBoSSoldierTemplate	Brotherhood Soldier Template		00013746	HumanRace	Human	00013746	HumanRace	Human	00077D1F	LLD_Creature_BoSSoldier										00076A07	BoSScribeClass	Brotherhood of Steel Scribe						00076A26	BoSSoldierOutfit		0	2	0	0	35		Renorm_MinLVL_Tier11	Renorm_MaxLVL_Tier01	50	50	0	1	00076A09	csBoS01Ranged	0004223F	DefaultCombatMasterPackageList	BrotherhoodofSteelFaction[Rank:0] | BoSGenericNPCFaction[Rank:0]
00076A0B	EncBoSScribeTemplate	Brotherhood Scribe Template		00013746	HumanRace	Human	00013746	HumanRace	Human	000C3071	LLD_Creature_BoSHolotag										00076A07	BoSScribeClass	Brotherhood of Steel Scribe						0016BAD4	BoSScribeFieldRandom		0	1	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	80	50	0	1	00076A09	csBoS01Ranged	0004223F	DefaultCombatMasterPackageList	BrotherhoodofSteelFaction[Rank:0] | BoSGenericNPCFaction[Rank:0]
00077D21	LvlBoSSoldier_PowerArmor_Semi			00013746	HumanRace	Human	00013746	HumanRace	Human	00077D1F	LLD_Creature_BoSSoldier	0020D3E1	Old_LCharBoSSoldierPowerArmor								00076A07	BoSScribeClass	Brotherhood of Steel Scribe						000642B1	BoSStandardOutfit		0	17	0	0	35		Renorm_MinLVL_Tier11	Renorm_MaxLVL_Tier01	80	50	0	1	00076A09	csBoS01Ranged	0004223F	DefaultCombatMasterPackageList	BrotherhoodofSteelFaction[Rank:0] | BoSGenericNPCFaction[Rank:0]
000789C6	encRaiderFaceM09			00013746	HumanRace	Human	00013746	HumanRace	Human			0039CCA2	EncRaider01CorpseTemplate	Raider Corpse							0005F970	raiderClass	Raider	003F83C0	W05_NPCM_GenericRaider03	Raider	000ADA90	SkinNakedDirty				0	1	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	30	50	0	1	000780B6	csRaiderRangedo100d100	0004223F	DefaultCombatMasterPackageList	
0007BB0D	LvlStingwing			0005FBB1	StingwingRace	Stingwing	0005FBB1	StingwingRace	Stingwing	00074D12	LLD_Creature_Stingwing	0007BB0C	LCharStingwing		0007BB0C	LCharStingwing		0016556E	ChanceLegendary		0002866F	BloodbugClass	Bloodbug	0007CB62	CrStingwingVoice		000C978F	SkinStingwingGlow				0	0.10	54	0	35		Renorm_MinLVL_GlowingCreature	Renorm_MaxLVL_GlowingCreature	225	100	0	1	00066EB2	csStingwing			CreatureFaction[Rank:0] | InsectFaction[Rank:0] | StingwingFaction[Rank:0]
0007BB24	AudioTemplateMolerat	AudioTemplateDogmeat		0001D810	MoleratRace	Mole Rat															0001326B	Citizen	Citizen	0001D968	CrMoleratVoice							0	1	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Molerat	0	0	0	1					
0007E60F	AudioTemplateStingwing	AudioTemplateStingwing		0005FBB1	StingwingRace	Stingwing															0002866F	BloodbugClass	Bloodbug	0007CB62	CrStingwingVoice							0	1	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	60	50	0	1					
0007ED07	encFeralGhoul07	Rotting Feral Ghoul		0006B4EC	FeralGhoulRace	Feral Ghoul	0006B4EC	FeralGhoulRace	Feral Ghoul	0022D0F3	LLD_Creature_FeralGhoul_HighLevel										00123E16	FeralGhoulClass	Feral Ghoul	0009B20A	CrFeralGhoulVoice				000B03CB	CreatureOutfit_FeralGhoulBubble1Outfit		0	52	0	0	35		Renorm_MinLVL_Tier07	Renorm_MaxLVL_Tier03	200	100	0	1	0009990E	csFeralGhoul			FeralGhoulFaction[Rank:0]
0007ED08	encFeralGhoul05	Withered Feral Ghoul		0006B4EC	FeralGhoulRace	Feral Ghoul	0006B4EC	FeralGhoulRace	Feral Ghoul	0022D0F3	LLD_Creature_FeralGhoul_HighLevel	000758AD	encFeralGhoul00Template	Weak Feral Ghoul							00123E16	FeralGhoulClass	Feral Ghoul	0009B20A	CrFeralGhoulVoice				000A077F	CreatureOutfit_FeralGhoulWitheredOutfit		0	32	0	0	35		Renorm_MinLVL_Tier05	Renorm_MaxLVL_Tier02	125	100	0	1	0009990E	csFeralGhoul	0004223F	DefaultCombatMasterPackageList	FeralGhoulFaction[Rank:0]
0007ED09	encFeralGhoul04	Feral Ghoul Reaver		0006B4EC	FeralGhoulRace	Feral Ghoul	0006B4EC	FeralGhoulRace	Feral Ghoul	0022D0F3	LLD_Creature_FeralGhoul_HighLevel	000758AD	encFeralGhoul00Template	Weak Feral Ghoul							00123E16	FeralGhoulClass	Feral Ghoul	0009B20A	CrFeralGhoulVoice				0006388F	CreatureOutfit_FeralGhoulReaverOutfit		0	22	0	0	35		Renorm_MinLVL_Tier03	Renorm_MaxLVL_Tier01	90	100	0	1	0009990E	csFeralGhoul	0004223F	DefaultCombatMasterPackageList	FeralGhoulFaction[Rank:0]
00088F14	LvlSupermutantMelee			0001A009	SuperMutantRace	Super Mutant	0001A009	SuperMutantRace	Super Mutant	004EE6CA	LLD_Creature_Supermutant_Melee	0048FA62	LCharSuperMutant								000424ED	SupermutantClass	Supermutant	0006D7B7	CrSuperMutant01		0001A00B	SkinSuperMutant	000A73A1	CreatureOutfit_SuperMutantOutfit		140	68	0	0	35		Renorm_MinLVL_GlowingCreature	Renorm_MaxLVL_GlowingCreature	700	50	0	1	000A881F	csSupermutantRanged	0004223F	DefaultCombatMasterPackageList	SuperMutantFaction[Rank:0]
0008CA3C	EncRadstag03	Radstag	Radstag	0007ED1D	RadStagRace	Radstag	0007ED1D	RadStagRace	Radstag	0008E3B5	LLD_Creature_Radstag	00115A8B	EncRadstag02	Radstag Doe							00123E17	RadStagClass	Rad Stag	0008E8C3	CrRadStag		0007ED1B	SkinRadStag				0	10	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	70	100	0	1	00090E54	csRadStag			RadStagFaction[Rank:0]
000948B3	LvlMutantHound			00090C33	FEVHoundRace	FEV Hound				001A85CE	LLD_Creature_MutantHound	0011E4BF	LCharMutantHound								00123E15	FEVHoundClass	Mutant Hound	000C9B5D	CrFEVHoundVoice		00090C35	SkinFEVHoundWhole				0	28	0	0	35		Renorm_MinLVL_Tier04	Renorm_MaxLVL_Tier02	100	60	0	1	000AB719	csMutantHound	0004223F	DefaultCombatMasterPackageList	CreatureFaction[Rank:0] | MutantHoundFaction[Rank:0]
0001A00C	EncSuperMutant_Template	Super Mutant		0001A009	SuperMutantRace	Super Mutant	0001A009	SuperMutantRace	Super Mutant	00249196	LLD_Creature_Supermutant										000424ED	SupermutantClass	Supermutant	0006D7B7	CrSuperMutant01		0001A00B	SkinSuperMutant	000A73A1	CreatureOutfit_SuperMutantOutfit		15	1	0	0	35		Renorm_MinLVL_Tier02	Renorm_MaxLVL_Tier01	45	50	0	1	000A881F	csSupermutantRanged	0004223F	DefaultCombatMasterPackageList	SuperMutantFaction[Rank:0]
00020B85	EncRadscorpion02	Radscorpion Hunter		000636AB	RadScorpionRace	Radscorpion	000636AB	RadScorpionRace	Radscorpion	00074D11	LLD_Creature_Radscorpion	000636AA	EncRadscorpion01Template	Radscorpion							00389CD0	RadscorpionClass	Radscorpion Class	000636A5	CrRadscorpion		000636A4	SkinRadscorpion				0	22	0	0	35		Renorm_MinLVL_Tier03	Renorm_MaxLVL_Tier01	390	100	0	1	000636A6	csRadscorpion			RadScorpionFaction[Rank:0]
00020B86	EncRadscorpion03_Glowing	Glowing Radscorpion		000636AB	RadScorpionRace	Radscorpion	000636AB	RadScorpionRace	Radscorpion	00074D11	LLD_Creature_Radscorpion	000636AA	EncRadscorpion01Template	Radscorpion							00389CD0	RadscorpionClass	Radscorpion Class	000636A5	CrRadscorpion		001BC0E8	SkinRadscorpionGlowing				0	30	0	0	35		Renorm_MinLVL_Tier05	Renorm_MaxLVL_Tier02	525	100	0	1	000636A6	csRadscorpion			RadScorpionFaction[Rank:0]
00020B88	LvlRadscorpion			000636AB	RadScorpionRace	Radscorpion	000636AB	RadScorpionRace	Radscorpion	00074D11	LLD_Creature_Radscorpion	00020B87	LCharRadScorpion								00389CD0	RadscorpionClass	Radscorpion Class	000636A5	CrRadscorpion		001BC0E8	SkinRadscorpionGlowing				0	30	0	0	35		Renorm_MinLVL_Tier05	Renorm_MaxLVL_Tier02	525	100	0	1	000636A6	csRadscorpion			RadScorpionFaction[Rank:0]
00020BCC	encFeralGhoulGlowing01	Glowing One		000A96BF	FeralGhoulGlowingRace	Feral Ghoul	0006B4EC	FeralGhoulRace	Feral Ghoul	0021C009	LLD_Creature_FeralGhoul_Glowing										00123E16	FeralGhoulClass	Feral Ghoul	0009B20A	CrFeralGhoulVoice		00020BCA	SkinFeralGhoulGlowing	00020BD0	CreatureOutfit_FeralGhoulGlowingOutfit		0	22	0	0	35		Renorm_MinLVL_Tier03	Renorm_MaxLVL_Tier01	425	100	0	1	0015B53F	csFeralGhoulGlowingOne	0004223F	DefaultCombatMasterPackageList	FeralGhoulFaction[Rank:0]
000267C3	CUT_LvlFeralGhoulBoss1200			000A96BF	FeralGhoulGlowingRace	Feral Ghoul	0006B4EC	FeralGhoulRace	Feral Ghoul	0021C009	LLD_Creature_FeralGhoul_Glowing	00075343	LvlFeralGhoulBoss								00123E16	FeralGhoulClass	Feral Ghoul	0009B20A	CrFeralGhoulVoice		000A96BC	SkinFeralGhoulGlowingBloated				0	58	0	0	35		Renorm_MinLVL_GlowingCreature	Renorm_MaxLVL_GlowingCreature	1000	100	0	1	00028FD7	csGhoul	0004223F	DefaultCombatMasterPackageList	FeralGhoulFaction[Rank:0]
0002F824	CUT_EncBrahminRosie	Rosie		0002047E	BrahminRace	Brahmin	0002047E	BrahminRace	Brahmin	0008E3AB	LLD_Creature_Brahmin	00020480	EncBrahmin01Template	Brahmin							001CD0A9	GenericCombatant	Combatant	0006D6D2	CrBrahminVoice		0002047C	SkinBrahmin				0	3	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	100	100	0	1	00102B5D	csBrahmin			DomesticAnimalFaction[Rank:0] | PlayerFriendFaction[Rank:0] | BrahminFaction[Rank:0]
0003C62E	RelayTowerHumanMaleActor			00013746	HumanRace	Human															00076A07	BoSScribeClass	Brotherhood of Steel Scribe									0	1	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	0	0	0	1					
0004AF21	encRaiderFaceM01			00013746	HumanRace	Human	00013746	HumanRace	Human			0039CCA2	EncRaider01CorpseTemplate	Raider Corpse							0005F970	raiderClass	Raider	003F83BC	W05_NPCM_GenericRaider01	Raider	000ADA90	SkinNakedDirty				0	1	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	30	50	0	1	00064126	csRaiderRangedDefenseHigh	0004223F	DefaultCombatMasterPackageList	
0004AF22	encRaiderFaceM02			00013746	HumanRace	Human	00013746	HumanRace	Human			0039CCA2	EncRaider01CorpseTemplate	Raider Corpse							0005F970	raiderClass	Raider	003F83BF	W05_NPCM_GenericRaider02	Raider	000ADA90	SkinNakedDirty				0	1	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	30	50	0	1	00064126	csRaiderRangedDefenseHigh	0004223F	DefaultCombatMasterPackageList	
0004AF23	encRaiderFaceM05			00013746	HumanRace	Human	00013746	HumanRace	Human			0039CCA2	EncRaider01CorpseTemplate	Raider Corpse							0005F970	raiderClass	Raider	003F83BF	W05_NPCM_GenericRaider02	Raider	000ADA90	SkinNakedDirty				0	1	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	30	50	0	1	00064125	csRaiderRangedOffenseHigh	0004223F	DefaultCombatMasterPackageList	
0004AF24	encRaiderFaceM06			00013746	HumanRace	Human	00013746	HumanRace	Human			0039CCA2	EncRaider01CorpseTemplate	Raider Corpse							0005F970	raiderClass	Raider	003F83C0	W05_NPCM_GenericRaider03	Raider	000ADA90	SkinNakedDirty				0	1	0	0	35		Renorm_MinLVL_Tier01	Renorm_MaxLVL_Tier01	30	50	0	1	00064125	csRaiderRangedOffenseHigh	0004223F	DefaultCombatMasterPackageList	
