LGDI_FormID	LGDI_EDID	ModIndex	StarSlot	OMOD_FormID	OMOD_EDID	OMOD_FULL
005527A5	LegendaryItems_Creatures_AllItems	2	First Star Slot	007904EF	modcol_Legendary_Crafting_Armor3	Random Legendary Mod
005527A5	LegendaryItems_Creatures_AllItems	3	First Star Slot	007A0D36	modcol_Legendary_Crafting_Armor4	Random Legendary Mod
005527A5	LegendaryItems_Creatures_AllItems	4	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
005527A5	LegendaryItems_Creatures_AllItems	5	First Star Slot	007904F1	modcol_Legendary_Crafting_PowerArmor2	Random Legendary Mod
005527A5	LegendaryItems_Creatures_AllItems	6	First Star Slot	007904F2	modcol_Legendary_Crafting_PowerArmor3	Random Legendary Mod
005527A5	LegendaryItems_Creatures_AllItems	7	First Star Slot	007A0D34	modcol_Legendary_Crafting_PowerArmor4	Random Legendary Mod
005527A5	LegendaryItems_Creatures_AllItems	8	First Star Slot	007904EA	modcol_Legendary_Crafting_Weapon1	Random Legendary Mod
005527A5	LegendaryItems_Creatures_AllItems	9	First Star Slot	007904EB	modcol_Legendary_Crafting_Weapon2	Random Legendary Mod
005527A5	LegendaryItems_Creatures_AllItems	10	First Star Slot	007904EC	modcol_Legendary_Crafting_Weapon3	Random Legendary Mod
005527A5	LegendaryItems_Creatures_AllItems	11	First Star Slot	007A0D35	modcol_Legendary_Crafting_Weapon4	Random Legendary Mod
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	0	First Star Slot	004F6D77	mod_Legendary_Weapon1_Guns_AccuracyNotInCombat	Stalker's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	1	First Star Slot	005281B4	mod_Legendary_Weapon1_AntiArmor	Anti-armor
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	2	First Star Slot	004F6AAB	mod_Legendary_Weapon1_DamageAddiction	Junkie's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	3	First Star Slot	004F6AA5	mod_Legendary_Weapon1_DamageFirstBlood	Instigating
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	4	First Star Slot	004F6AA0	mod_Legendary_Weapon1_DamageInverseHealth	Bloodied
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	5	First Star Slot	004F6AAE	mod_Legendary_Weapon1_DamageNight	Nocturnal
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	6	First Star Slot	004F6AA7	mod_Legendary_Weapon1_DamageUnarmored	Berserker's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	7	First Star Slot	005281B8	mod_Legendary_Weapon1_DebuffDamage	Suppressor's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	8	First Star Slot	004F577D	mod_Legendary_Weapon1_DmgConsecutiveHits	Furious
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	9	First Star Slot	004F577A	mod_Legendary_Weapon1_DmgVsAnimals	Hunter's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	10	First Star Slot	001F81EB	mod_Legendary_Weapon1_DmgVsBugs	Exterminator's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	11	First Star Slot	004F5779	mod_Legendary_Weapon1_DmgVsGhouls	Ghoul Slayer's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	12	First Star Slot	004F5770	mod_Legendary_Weapon1_DmgVsPlayers	Assassin's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	13	First Star Slot	004F577C	mod_Legendary_Weapon1_DmgVsRobots	Troubleshooter's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	14	First Star Slot	004ED02B	mod_Legendary_Weapon1_DmgVsScorched	Zealot's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	15	First Star Slot	004F577B	mod_Legendary_Weapon1_DmgVsSupermutants	Mutant Slayer's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	16	First Star Slot	005299F5	mod_Legendary_Weapon1_DmgWithMutation	Mutant's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	17	First Star Slot	004F6AA1	mod_Legendary_Weapon1_Execute	Executioner's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	18	First Star Slot	004F6AB1	mod_Legendary_Weapon1_Guns_AmmoCapacity4x	Quad
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	19	First Star Slot	004F6D76	mod_Legendary_Weapon1_Guns_TwoShot	Two Shot
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	20	First Star Slot	00527F84	mod_Legendary_Weapon1_Vampire	Vampire's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	21	First Star Slot	004ED02C	mod_Legendary_Weapon2_DmgLimbs	Crippling
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	22	First Star Slot	005299F9	mod_Legendary_Weapon2_Guns_Bashing	Basher's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	23	First Star Slot	0052414B	mod_Legendary_Weapon2_DmgCrits	Vital
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	24	First Star Slot	0052414E	mod_Legendary_Weapon2_Guns_DmgSights	Hitman's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	25	First Star Slot	004F5771	mod_Legendary_Weapon2_Guns_ExplosiveBullets	Explosive
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	26	First Star Slot	0052414F	mod_Legendary_Weapon2_Guns_RoF	Rapid
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	27	First Star Slot	00524153	mod_Legendary_Weapon2_Guns_VATSAccuracy	V.A.T.S. Enhanced
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	28	First Star Slot	001A7C39	mod_Legendary_Weapon2_Melee_BlockReflects	Riposting
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	29	First Star Slot	001A7BE2	mod_Legendary_Weapon2_Melee_DamagePowerAttack	Heavy Hitter's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	30	First Star Slot	001A7BDA	mod_Legendary_Weapon2_Melee_SwingSpeed	Rapid
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	31	First Star Slot	0052414C	mod_Legendary_Weapon3_CritSpeed	Lucky Hit
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	32	First Star Slot	004ED02E	mod_Legendary_Weapon3_Guns_MoveSpeedSights	Nimble
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	33	First Star Slot	00524150	mod_Legendary_Weapon3_Guns_ReloadSpeed	Swift
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	34	First Star Slot	004F5777	mod_Legendary_Weapon3_Guns_ResistReload	Resilient
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	35	First Star Slot	004F5772	mod_Legendary_Weapon3_Guns_ResistSights	Steadfast
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	36	First Star Slot	005299FA	mod_Legendary_Weapon3_StatPerception	Perception
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	37	First Star Slot	00524154	mod_Legendary_Weapon3_VATSCostAP	V.A.T.S. Optimized
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	38	First Star Slot	005299FB	mod_Legendary_Weapon3_StatAgility	Agility
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	39	First Star Slot	00524152	mod_Legendary_Weapon3_Weight	Lightweight
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	40	First Star Slot	005253FB	mod_Legendary_Weapon3_Melee_LessDamageBlock	Blocker
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	41	First Star Slot	001A7BD3	mod_Legendary_Weapon3_Melee_Defenders	Defender's
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	42	First Star Slot	005299FD	mod_Legendary_Weapon3_StatEndurance	Endurance
005A3640	zzzCOMP_RQ_Fetch_LegendaryItems_AllWeapons_RESTRICTED	43	First Star Slot	005299FC	mod_Legendary_Weapon3_StatStrength	Strength
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	0	First Star Slot	00529A0F	mod_Legendary_Armor1_AutoRevive	Life Saving
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	1	First Star Slot	00524146	mod_Legendary_Armor1_Chameleon	Chameleon
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	2	First Star Slot	00524147	mod_Legendary_Armor1_CloakOnMelee	Cloaking
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	3	First Star Slot	00529A09	mod_Legendary_Armor1_HealthRegen	Regenerating
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	4	First Star Slot	004F6D7D	mod_Legendary_Armor1_LessDMGAnimals	Hunter's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	5	First Star Slot	004F6D7C	mod_Legendary_Armor1_LessDMGBugs	Exterminator's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	6	First Star Slot	004F6D7E	mod_Legendary_Armor1_LessDMGGhouls	Ghoul Slayer's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	7	First Star Slot	004F6D78	mod_Legendary_Armor1_LessDMGPlayers	Assassin's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	8	First Star Slot	004F6D7F	mod_Legendary_Armor1_LessDMGRobots	Troubleshooter's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	9	First Star Slot	004EE548	mod_Legendary_Armor1_LessDmgScorched	Zealot's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	10	First Star Slot	004F6D80	mod_Legendary_Armor1_LessDMGSuperMutants	Mutant Slayer's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	11	First Star Slot	0052414A	mod_Legendary_Armor1_LowHealthIncreasesStats	Unyielding
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	12	First Star Slot	00521915	mod_Legendary_Armor1_LowHealthTriggersStimpak	Auto Stim
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	13	First Star Slot	00521914	mod_Legendary_Armor1_ResistancesInverseHealth	Bolstering
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	14	First Star Slot	00529A0C	mod_Legendary_Armor1_ResistancesMutation	Mutant's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	15	First Star Slot	00524143	mod_Legendary_Armor1_ResistancesNight	Nocturnal
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	16	First Star Slot	00529A05	mod_Legendary_Armor1_ResistancesProportionalHealth	Vanguard's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	17	First Star Slot	00529A14	mod_Legendary_Armor1_Heavyweight	Heavyweight
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	18	Second Star Slot	00527F75	mod_Legendary_Armor2_APRegen	Powered
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	19	Second Star Slot	00527F72	mod_Legendary_Armor2_DiseaseResistance	Antiseptic
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	20	Second Star Slot	00527F6E	mod_Legendary_Armor2_PoisonResistance	Poisoner's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	21	Second Star Slot	00527F6F	mod_Legendary_Armor2_RadResistance	HazMat
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	22	Second Star Slot	004F6D85	mod_Legendary_Armor2_StatAgility	Agility
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	23	Second Star Slot	004F6D83	mod_Legendary_Armor2_StatCharisma	Charisma
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	24	Second Star Slot	004F6D82	mod_Legendary_Armor2_StatEndurance	Endurance
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	25	Second Star Slot	004F6D84	mod_Legendary_Armor2_StatIntelligence	Intelligence
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	26	Second Star Slot	004F6D86	mod_Legendary_Armor2_StatLuck	Luck
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	27	Second Star Slot	004F6D81	mod_Legendary_Armor2_StatPerception	Perception
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	28	Second Star Slot	004EE54E	mod_Legendary_Armor2_StatStrength	Strength
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	29	Third Star Slot	0052BDBA	mod_Legendary_Armor3_Durability	Durability
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	30	Third Star Slot	00527F76	mod_Legendary_Armor3_Defenders	Defender's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	31	Third Star Slot	00527F77	mod_Legendary_Armor3_LessDamageSprinting	Cavalier's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	32	Third Star Slot	004EE54C	mod_Legendary_Armor3_LessDamageStandStill	Sentinel's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	33	Third Star Slot	00527F79	mod_Legendary_Armor3_LessFallDamage	Acrobat's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	34	Third Star Slot	00527F7B	mod_Legendary_Armor3_LockPick	Safecracker's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	35	Third Star Slot	0052BDBC	mod_Legendary_Armor3_ReducedLimbDamage	Adamantium
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	36	Third Star Slot	0052BDB7	mod_Legendary_Armor3_Sneak	Secret Agent's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	37	Third Star Slot	00527F7A	mod_Legendary_Armor3_Waterbreathing	Diver's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	38	Third Star Slot	0052BDB4	mod_Legendary_Armor3_WeightAmmo	Belted
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	39	Third Star Slot	0052BDB5	mod_Legendary_Armor3_WeightFoodDrinkChems	Thru-hiker's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	40	Third Star Slot	0052BDB6	mod_Legendary_Armor3_WeightJunk	Pack Rat's
005A3641	zzzCOMP_LegendaryItems_AllArmor_RESTRICTED	41	Third Star Slot	00527F78	mod_Legendary_Armor3_WeightWeapons	Arms Keeper's
00605FC3	LegendaryItems_PowerArmor_Rank1	0	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
00605FC4	LegendaryItems_PowerArmor_Rank2	0	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
00605FC4	LegendaryItems_PowerArmor_Rank2	1	First Star Slot	007904F1	modcol_Legendary_Crafting_PowerArmor2	Random Legendary Mod
00605FC5	LegendaryItems_PowerArmor_Rank3	0	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
00605FC5	LegendaryItems_PowerArmor_Rank3	1	First Star Slot	007904F1	modcol_Legendary_Crafting_PowerArmor2	Random Legendary Mod
00605FC5	LegendaryItems_PowerArmor_Rank3	2	First Star Slot	007904F2	modcol_Legendary_Crafting_PowerArmor3	Random Legendary Mod
0073DCCE	LegendaryItems_Weapons_Any_Rank3	0	First Star Slot	007904EA	modcol_Legendary_Crafting_Weapon1	Random Legendary Mod
0073DCCE	LegendaryItems_Weapons_Any_Rank3	1	First Star Slot	007904EB	modcol_Legendary_Crafting_Weapon2	Random Legendary Mod
0073DCCE	LegendaryItems_Weapons_Any_Rank3	2	First Star Slot	007904EC	modcol_Legendary_Crafting_Weapon3	Random Legendary Mod
00792973	LegendaryItems_Weapons_Melee_Rank4	0	First Star Slot	007904EA	modcol_Legendary_Crafting_Weapon1	Random Legendary Mod
00792973	LegendaryItems_Weapons_Melee_Rank4	1	First Star Slot	007904EB	modcol_Legendary_Crafting_Weapon2	Random Legendary Mod
00792973	LegendaryItems_Weapons_Melee_Rank4	2	First Star Slot	007904EC	modcol_Legendary_Crafting_Weapon3	Random Legendary Mod
00792973	LegendaryItems_Weapons_Melee_Rank4	3	First Star Slot	007A0D35	modcol_Legendary_Crafting_Weapon4	Random Legendary Mod
00792974	LegendaryItems_Armor_Rank4	0	First Star Slot	007904ED	modcol_Legendary_Crafting_Armor1	Random Legendary Mod
00792974	LegendaryItems_Armor_Rank4	1	First Star Slot	007904EE	modcol_Legendary_Crafting_Armor2	Random Legendary Mod
00792974	LegendaryItems_Armor_Rank4	2	First Star Slot	007904EF	modcol_Legendary_Crafting_Armor3	Random Legendary Mod
00792974	LegendaryItems_Armor_Rank4	3	First Star Slot	007A0D36	modcol_Legendary_Crafting_Armor4	Random Legendary Mod
00792975	LegendaryItems_Weapons_Ranged_Rank4	0	First Star Slot	007904EA	modcol_Legendary_Crafting_Weapon1	Random Legendary Mod
00792975	LegendaryItems_Weapons_Ranged_Rank4	1	First Star Slot	007904EB	modcol_Legendary_Crafting_Weapon2	Random Legendary Mod
00792975	LegendaryItems_Weapons_Ranged_Rank4	2	First Star Slot	007904EC	modcol_Legendary_Crafting_Weapon3	Random Legendary Mod
00792975	LegendaryItems_Weapons_Ranged_Rank4	3	First Star Slot	007A0D35	modcol_Legendary_Crafting_Weapon4	Random Legendary Mod
00792976	LegendaryItems_PowerArmor_Rank4	0	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
00792976	LegendaryItems_PowerArmor_Rank4	1	First Star Slot	007904F1	modcol_Legendary_Crafting_PowerArmor2	Random Legendary Mod
00792976	LegendaryItems_PowerArmor_Rank4	2	First Star Slot	007904F2	modcol_Legendary_Crafting_PowerArmor3	Random Legendary Mod
00792976	LegendaryItems_PowerArmor_Rank4	3	First Star Slot	007A0D34	modcol_Legendary_Crafting_PowerArmor4	Random Legendary Mod
007964EF	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmLeft_Rank1	0	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
007964F0	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmLeft_Rank2	0	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
007964F0	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmLeft_Rank2	1	First Star Slot	007904F1	modcol_Legendary_Crafting_PowerArmor2	Random Legendary Mod
007964F1	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmLeft_Rank3	0	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
007964F1	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmLeft_Rank3	1	First Star Slot	007904F1	modcol_Legendary_Crafting_PowerArmor2	Random Legendary Mod
007964F1	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmLeft_Rank3	2	First Star Slot	007904F2	modcol_Legendary_Crafting_PowerArmor3	Random Legendary Mod
007964F2	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmLeft_Rank4	0	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
007964F2	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmLeft_Rank4	1	First Star Slot	007904F1	modcol_Legendary_Crafting_PowerArmor2	Random Legendary Mod
007964F2	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmLeft_Rank4	2	First Star Slot	007904F2	modcol_Legendary_Crafting_PowerArmor3	Random Legendary Mod
007964F2	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmLeft_Rank4	3	First Star Slot	007A0D34	modcol_Legendary_Crafting_PowerArmor4	Random Legendary Mod
007964F3	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmRight_Rank1	0	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
007964F4	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmRight_Rank2	0	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
007964F4	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmRight_Rank2	1	First Star Slot	007904F1	modcol_Legendary_Crafting_PowerArmor2	Random Legendary Mod
007964F5	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmRight_Rank3	0	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
007964F5	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmRight_Rank3	1	First Star Slot	007904F1	modcol_Legendary_Crafting_PowerArmor2	Random Legendary Mod
007964F5	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmRight_Rank3	2	First Star Slot	007904F2	modcol_Legendary_Crafting_PowerArmor3	Random Legendary Mod
007964F6	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmRight_Rank4	0	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
007964F6	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmRight_Rank4	1	First Star Slot	007904F1	modcol_Legendary_Crafting_PowerArmor2	Random Legendary Mod
007964F6	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmRight_Rank4	2	First Star Slot	007904F2	modcol_Legendary_Crafting_PowerArmor3	Random Legendary Mod
007964F6	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_ArmRight_Rank4	3	First Star Slot	007A0D34	modcol_Legendary_Crafting_PowerArmor4	Random Legendary Mod
007964F7	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_LegLeft_Rank1	0	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
007964F8	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_LegLeft_Rank2	0	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
007964F8	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_LegLeft_Rank2	1	First Star Slot	007904F1	modcol_Legendary_Crafting_PowerArmor2	Random Legendary Mod
007964F9	RD01_LegendaryItems_PowerArmor_EnclaveVulcan_LegLeft_Rank3	0	First Star Slot	007904F0	modcol_Legendary_Crafting_PowerArmor1	Random Legendary Mod
