FormID	EDID	ParentQuestDisplay	ParentQuestLink	RewardsCount	RewardIndex	RewardedItemIndex	RewardedItem	RewardedItemCount	NAM7_XPGlobal	NAM8_CapsGlobal	XPCT_XPCurveTable	QRCO_CurrencyObject	QRLI_LegendaryItemRewardList	QRLR_LegendaryItemRewardRank	QRRI_LegendaryRankRandom	TierLabel	TierConditionFunc	TierConditionValue	Conditions	ConditionGlobs	ReferencedByCount	Ref1	Ref2	Ref3	Ref4	Ref5	Ref6	Ref7	Ref8	Ref9	Ref10	Ref11	Ref12	Ref13	Ref14	Ref15	Ref16	Ref17	Ref18	Ref19	Ref20
0063102C	ChallengeReward_SCORE_Challenge_Weekly_CAMPS_Build_Plant_Crops			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F4D	ChallengeReward_Challenge_Lifetime_LevelUp_Level_075			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1							1	00438295:Challenge_Lifetime_LevelUp_Level_075:CHAL																			
00630FF5	ChallengeReward_SCORE_Challenge_Daily_Kill_Moleminer			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631042	ChallengeReward_SCORE_Challenge_Weekly_CriticalHit_Enemies			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F67	ChallengeReward_Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Cook			1	0	0				00485276:Challenge_Global_0001:GLOB		0042175F:TadpoleBadge:CNCY		1							1	00424734:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Cook:CHAL																			
00630F40	ChallengeReward_Challenge_Lifetime_LevelUp_Level_015			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1							1	00438289:Challenge_Lifetime_LevelUp_Level_015:CHAL																			
00630FBE	ChallengeReward_SCORE_Challenge_Daily_CAMPS_Build_Furnishings			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F64	ChallengeReward_Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Archer			1	0	0				00485276:Challenge_Global_0001:GLOB		0042175F:TadpoleBadge:CNCY		1							1	004221AC:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Archer:CHAL																			
0063106E	ChallengeReward_SCORE_Challenge_Weekly_Shelters_Visit_Other			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631065	ChallengeReward_SCORE_Challenge_Weekly_RankGated_XP_Post100			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F4C	ChallengeReward_Challenge_Lifetime_LevelUp_Level_070			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1							1	00438294:Challenge_Lifetime_LevelUp_Level_070:CHAL																			
0063102A	ChallengeReward_SCORE_Challenge_Weekly_CAMPS_Build_Decor			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631019	ChallengeReward_SCORE_Challenge_Daily_RankGated_XP_Under75			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FC5	ChallengeReward_SCORE_Challenge_Daily_Collect_Magazine			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F38	ChallengeReward_Challenge_Lifetime_Discover_OverseerCAMP_Intro			1	0	0	0000000A:BobbyPin:MISC	3				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1							1	004852A8:Challenge_Lifetime_Discover_OverseerCAMP_Intro:CHAL																			
00630F52	ChallengeReward_Challenge_Lifetime_LevelUp_Level_100			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1							1	00437FC0:Challenge_Lifetime_LevelUp_Level_100:CHAL																			
00630F66	ChallengeReward_Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Codebreaker			1	0	0				00485276:Challenge_Global_0001:GLOB		0042175F:TadpoleBadge:CNCY		1							1	00422162:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Codebreaker:CHAL																			
00631053	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_DailyOps_Elder			1	0	0						0000000F:Caps001:CNCY		1							1	005EBE8E:CUT_SCORE_Challenge_Weekly_QuestComplete_DailyOps_Elder:CHAL																			
00630FC4	ChallengeReward_SCORE_Challenge_Daily_Collect_Holotape			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F34	ChallengeReward_Challenge_Lifetime_Craft_Drink_Intro			1	0	0	000366C0:WaterPurified:ALCH	5				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1							1	00437FED:Challenge_Lifetime_Craft_Drink_Intro:CHAL																			
00631029	ChallengeReward_SCORE_Challenge_Weekly_BuildSupplies_META			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631028	ChallengeReward_SCORE_Challenge_Daily_XP			1	0	0						0000000F:Caps001:CNCY		1							1	005E4B4E:SCORE_Challenge_Daily_XP:CHAL																			
00630FFD	ChallengeReward_SCORE_Challenge_Daily_Kill_Wendigo			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063106F	ChallengeReward_SCORE_Challenge_Weekly_Shelters_Visit_Self			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FC0	ChallengeReward_SCORE_Challenge_Daily_CAMPS_Build_Structures			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FC8	ChallengeReward_SCORE_Challenge_Daily_Collect_Wood			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631000	ChallengeReward_SCORE_Challenge_Daily_Mod_Armor			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063100E	ChallengeReward_SCORE_Challenge_Daily_QuestComplete_Event_Encryptid			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F54	ChallengeReward_Challenge_Lifetime_Mod_Armor_Intro			1	0	0	003CF08B:Bulk_Adhesive_scrap:MISC	1				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1							1	0050DC32:Challenge_Lifetime_Mod_Armor_Intro:CHAL																			
00631036	ChallengeReward_SCORE_Challenge_Weekly_Collect_PurifiedWater			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FA5	ChallengeReward_CUT_Challenge_Weekly_Craft_Alcohol_Meta_Low_Brewing_Spotlight			1	0	0	003F4749:Recipe_Workshop_Crafting_Brewing_BeerKeg:BOOK	1				0000000F:Caps001:CNCY		1							1	004124B1:CUT_Challenge_Weekly_Craft_Alcohol_Meta_Low_Brewing_Spotlight:CHAL																			
00630FE5	ChallengeReward_SCORE_Challenge_Daily_JoinGroup			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631016	ChallengeReward_SCORE_Challenge_Daily_RankGated_XP_Post100			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063104A	ChallengeReward_SCORE_Challenge_Weekly_Kill_Cultists			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FDD	ChallengeReward_SCORE_Challenge_Daily_GainScrap_Rubber			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631059	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Event_Encryptid			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631069	ChallengeReward_SCORE_Challenge_Weekly_RankGated_XP_Under75			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FFC	ChallengeReward_SCORE_Challenge_Daily_Kill_SuperMutants			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FF8	ChallengeReward_SCORE_Challenge_Daily_Kill_Scorched			1	0	0						0000000F:Caps001:CNCY		1							1	0079729B:SCORE_Challenge_Daily_Kill_Lost:CHAL																			
0063104F	ChallengeReward_SCORE_Challenge_Weekly_Kill_Robots_META			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FDC	ChallengeReward_SCORE_Challenge_Daily_GainScrap_Plastic			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FBC	ChallengeReward_DONOTUSE_Challenge_Weekly_QuestComplete_Events_Survival			1	0	0						0000000F:Caps001:CNCY		1							1	003FC08A:CUT_Challenge_Weekly_QuestComplete_Events_Survival:CHAL																			
00630F6F	ChallengeReward_Challenge_Lifetime_RecipesLearned_ArmorWeapon_Intro			1	0	0	0041ADEC:Utility_RepairKit_Improved:UTIL	1				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1							1	0050DBAB:Challenge_Lifetime_RecipesLearned_ArmorWeapon_Intro:CHAL																			
0063106A	ChallengeReward_SCORE_Challenge_Weekly_Repair			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063104C	ChallengeReward_SCORE_Challenge_Weekly_Kill_HugeCreatures_META			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FBD	ChallengeReward_SCORE_Challenge_Daily_CAMPS_Build_Decor			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FEB	ChallengeReward_SCORE_Challenge_Daily_Kill_Creatures_while_Group			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631013	ChallengeReward_SCORE_Challenge_Daily_QuestComplete_Event_Seasonal_Meat_Hunt			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FC6	ChallengeReward_SCORE_Challenge_Daily_Collect_PurifiedWater			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063105A	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Event_Habitat			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063103D	ChallengeReward_SCORE_Challenge_Weekly_Consume_NukaCola			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063103A	ChallengeReward_SCORE_Challenge_Weekly_Consume_Food_Cooked			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F36	ChallengeReward_Challenge_Lifetime_CraftScrap_Weapon_Tiers_Melee_Intro			1	0	0	003CF08B:Bulk_Adhesive_scrap:MISC	1				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1							1	0050DBAF:Challenge_Lifetime_CraftScrap_Weapon_Tiers_Melee_Intro:CHAL																			
00630FBB	ChallengeReward_DONOTUSE_Challenge_Weekly_Kill_Legendary_Enemies_Survival			1	0	0						0000000F:Caps001:CNCY		1							1	003FC088:CUT_Challenge_Weekly_Kill_Legendary_Enemies_Survival:CHAL																			
00630F2E	ChallengeReward_Challenge_Lifetime_CampsPlaced_Lowest_Intro			1	0	0				0054E3CF:Caps_Challenge_Reward_CampsPlaced:GLOB		0000000F:Caps001:CNCY		1							1	0050D5AB:Challenge_Lifetime_CampsPlaced_Lowest_Intro:CHAL																			
0063105B	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Event_Radiation			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F3C	ChallengeReward_Challenge_Lifetime_LevelUp_Level_004			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1							1	0050C623:Challenge_Lifetime_LevelUp_Level_004:CHAL																			
0063103B	ChallengeReward_SCORE_Challenge_Weekly_Consume_Food_MeatBased			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FC9	ChallengeReward_SCORE_Challenge_Daily_Consume_Alcohol_Med_Brewing			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FF0	ChallengeReward_SCORE_Challenge_Daily_Kill_FeralGhouls			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063104E	ChallengeReward_SCORE_Challenge_Weekly_Kill_LegendaryCreatures			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F3B	ChallengeReward_Challenge_Lifetime_Kill_Robots_Intro			1	0	0	00023736:Stimpak:ALCH	3				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1							1	0050C618:Challenge_Lifetime_Kill_Robots_Intro:CHAL																			
00630F6E	ChallengeReward_Challenge_Lifetime_RecipeLearned_Intro			1	0	0				0054E3CE:Caps_Challenge_Reward_RecipeLearned:GLOB		0000000F:Caps001:CNCY		1							1	004869E9:Challenge_Lifetime_RecipeLearned_Intro:CHAL																			
00631070	ChallengeReward_SCORE_Challenge_Weekly_Trade			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FE7	ChallengeReward_SCORE_Challenge_Daily_Kill_Creatures			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063106B	ChallengeReward_SCORE_Challenge_Weekly_Scrap_PrewarMoney			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FF4	ChallengeReward_SCORE_Challenge_Daily_Kill_Mirelurks			1	0	0						0000000F:Caps001:CNCY		1							1	007AE554:ATX_DE2024_ScienceOfLove_Week2_Challenge_Deal_Damage_Energy:CHAL																			
00630F3F	ChallengeReward_Challenge_Lifetime_LevelUp_Level_010			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1							1	0050C626:Challenge_Lifetime_LevelUp_Level_010:CHAL																			
0063105E	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Event_Seasonal_Meat_BBQ			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F3E	ChallengeReward_Challenge_Lifetime_LevelUp_Level_008			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1							1	0050C625:Challenge_Lifetime_LevelUp_Level_008:CHAL																			
00630F3D	ChallengeReward_Challenge_Lifetime_LevelUp_Level_006			1	0	0	002DB879:PerkCardPack_Pack001:PPAK	1				0000000F:Caps001:CNCY		1							1	0050C624:Challenge_Lifetime_LevelUp_Level_006:CHAL																			
00630FD2	ChallengeReward_SCORE_Challenge_Daily_Craft_Alcohol_Med_Brewing			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063102D	ChallengeReward_SCORE_Challenge_Weekly_CAMPS_Build_Structures			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FB0	ChallengeReward_CUT_Challenge_Weekly_Survive_Survival			1	0	0						0000000F:Caps001:CNCY		1							1	003FC09C:CUT_Challenge_Weekly_Survive_Survival:CHAL																			
00630F32	ChallengeReward_Challenge_Lifetime_Craft_Ammo_Intro			1	0	0	000130A1:c_Gunpowder_scrap:MISC	30				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1							1	0050DBB5:Challenge_Lifetime_Craft_Ammo_Intro:CHAL																			
0063103C	ChallengeReward_SCORE_Challenge_Weekly_Consume_Food_Prewar			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063101D	ChallengeReward_SCORE_Challenge_Daily_Scrap_PrewarMoney			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FDE	ChallengeReward_SCORE_Challenge_Daily_GainScrap_Screws			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FAC	ChallengeReward_CUT_Challenge_Weekly_ImplementsOfDestruction_Survival			1	0	0						0000000F:Caps001:CNCY		1							1	003FC096:CUT_Challenge_Weekly_ImplementsOfDestruction_Survival:CHAL																			
00631034	ChallengeReward_SCORE_Challenge_Weekly_Collect_Caps			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063102E	ChallengeReward_SCORE_Challenge_Weekly_CAMPS_Build_Structures_META			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FA6	ChallengeReward_CUT_Challenge_Weekly_CriticalHit_Enemies_Survival			1	0	0	00403022:Survival_44_MedicalMalpractice:WEAP	1				0000000F:Caps001:CNCY		1							1	003FC089:CUT_Challenge_Weekly_CriticalHit_Enemies_Survival:CHAL																			
00631027	ChallengeReward_SCORE_Challenge_Daily_Trade			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063102B	ChallengeReward_SCORE_Challenge_Weekly_CAMPS_Build_Furnishings			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631057	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Event_Caravan			1	0	0						0000000F:Caps001:CNCY		1							0																				
0063103E	ChallengeReward_SCORE_Challenge_Weekly_Craft_Ammo			1	0	0						0000000F:Caps001:CNCY		1							2	007FE5FD:SCORE_Challenge_Weekly_Fishing_Catch_Regular_Fish:CHAL	007FE60A:ZZZ_SCORE_Challenge_Weekly_Fishing_Catch_Glowing_Fish:CHAL																		
00630FA7	ChallengeReward_CUT_Challenge_Weekly_CrushKillDestroy_Survival			1	0	0						0000000F:Caps001:CNCY		1							1	003FC090:CUT_Challenge_Weekly_CrushKillDestroy_Survival:CHAL																			
00630F31	ChallengeReward_Challenge_Lifetime_Collect_Wood_Intro			1	0	0	003CF0B8:Bulk_Wood_scrap:MISC	1				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1							1	0050DBE2:Challenge_Lifetime_Collect_Wood_Intro:CHAL																			
00630FDF	ChallengeReward_SCORE_Challenge_Daily_GainScrap_Springs			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FCA	ChallengeReward_SCORE_Challenge_Daily_Consume_Alcohol_Vintage_Brewing			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F55	ChallengeReward_Challenge_Lifetime_Pick_Locks_Intro			1	0	0	0000000A:BobbyPin:MISC	3				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1							1	0050DC09:Challenge_Lifetime_Pick_Locks_Intro:CHAL																			
00631012	ChallengeReward_SCORE_Challenge_Daily_QuestComplete_Event_Seasonal_Meat_BBQ			1	0	0						0000000F:Caps001:CNCY		1							0																				
00631045	ChallengeReward_SCORE_Challenge_Weekly_Kill_BloodEagles			1	0	0						0000000F:Caps001:CNCY		1							1	008C9085:SCORE_Challenge_Weekly_QuestComplete_HostileTakeOver:CHAL																			
00630F6C	ChallengeReward_Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Medic			1	0	0				00485276:Challenge_Global_0001:GLOB		0042175F:TadpoleBadge:CNCY		1							1	004220DC:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Tadpole_Medic:CHAL																			
00630F70	ChallengeReward_Challenge_Lifetime_Repair_ArmorWeapon_Intro			1	0	0	0041ADEC:Utility_RepairKit_Improved:UTIL	1				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1							1	0050DC20:Challenge_Lifetime_Repair_ArmorWeapon_Intro:CHAL																			
00631054	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_DailyOps_FullTeam			1	0	0						0000000F:Caps001:CNCY		1							1	005D22DE:CUT_SCORE_Challenge_Weekly_QuestComplete_DailyOps_FullTeam:CHAL																			
00630FCE	ChallengeReward_SCORE_Challenge_Daily_Consume_Food_Dogfood_Med			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630FED	ChallengeReward_SCORE_Challenge_Daily_Kill_Cryptids			1	0	0						0000000F:Caps001:CNCY		1							1	00797311:SCORE_Challenge_Daily_Cripple_Supermutant_Leg:CHAL																			
00631017	ChallengeReward_SCORE_Challenge_Daily_RankGated_XP_Under25			1	0	0						0000000F:Caps001:CNCY		1							0																				
00630F2F	ChallengeReward_Challenge_Lifetime_ClaimWorkshops_Intro			1	0	0	003CF0B1:Bulk_Screws_scrap:MISC	1				00538F6D:zzz_BabylonBeginnerPerkCardPackCurrency:CNCY		1							1	0050DBED:Challenge_Lifetime_ClaimWorkshops_Intro:CHAL																			
0063105D	ChallengeReward_SCORE_Challenge_Weekly_QuestComplete_Event_Seasonal_Fasnacht			1	0	0						0000000F:Caps001:CNCY		1							0																				
