NPC_FormID	NPC_EDID	NPC_FULL	NPC_SHRT	TPLT_FormID	TPLT_EDID	MerchantFaction_FormID	MerchantFaction_EDID	VendorFlags	BuySellList_FormID	BuySellList_EDID	BuySellList_Sig	MerchantContainerRef_FormID	MerchantContainerBase_FormID	MerchantContainerBase_EDID	PlacementCount
0017D6B2	EncBoSTraitsSoldierFemale01	Brotherhood Soldier Initiate	Initiate	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
0017D6B3	EncBoSTraitsSoldierFemale02	Brotherhood Soldier Initiate	Initiate	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
0017D6B5	EncBoSTraitsSoldierMale03	Brotherhood Soldier Initiate	Initiate	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
0017D6B6	EncBoSTraitsSoldierMale04	Brotherhood Soldier Initiate	Initiate	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
00176337	WorkshopDog	Junkyard Dog		00230793	EncGuardDogTemplate	000330BB	DomesticAnimalFaction								0
001C2689	corpse_NPCFemaleFarmer05			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
001C268A	corpse_NPCFemaleFarmer06			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
001C268B	corpse_NPCFemaleFarmer07			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
001C268C	corpse_NPCFemaleFarmer08			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
001C268D	corpse_NPCFemaleGuard03			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
001C268E	corpse_NPCFemaleGuard04			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
001C268F	corpse_NPCMaleFarmer05			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
001C2690	corpse_NPCMaleFarmer06			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
001C2691	corpse_NPCMaleFarmer07			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
001C2692	corpse_NPCMaleFarmer08			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
001C2693	corpse_NPCMaleGuard03			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
001C2694	corpse_NPCMaleGuard04			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
001C4033	LvlMerchant	Trader		00564200	LCharSettler	000035DE	GenericNPCFaction								0
001C98E8	test_FurnitureTesterFemale	Furniture Tester				00002CB4	CrimeDiamondCity								0
001F417C	Loot_CorpseBoSScribeField	Brotherhood Corpse		0039CCA9	Loot_CorpseBoSBase	001479C1	BoSGenericNPCFaction								0
001F417D	Loot_CorpseBoSSoldier_CombatArmor_Auto	Brotherhood Corpse		0039CCA0	EncBoSSoldierCorpseTemplate	001479C1	BoSGenericNPCFaction								0
001F417E	Loot_CorpseBoSSoldier_CombatArmor_Semi	Brotherhood Corpse		0039CCA0	EncBoSSoldierCorpseTemplate	001479C1	BoSGenericNPCFaction								0
001F417F	Loot_CorpseBoSSoldier_CombatArmor_Missile	Brotherhood Corpse		0039CCA0	EncBoSSoldierCorpseTemplate	001479C1	BoSGenericNPCFaction								0
001F4180	Loot_CorpseBoSScribeScience			0039CCA9	Loot_CorpseBoSBase	001479C1	BoSGenericNPCFaction								0
001F4181	Loot_CorpseBoSScribeEngineer	Brotherhood Corpse		0039CCA9	Loot_CorpseBoSBase	001479C1	BoSGenericNPCFaction								0
001F6B05	EncBoSSoldier06	Brotherhood Knight-Commander	Knight-Commander	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
001F6B06	EncBoSSoldier07	Brotherhood Paladin	Paladin	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
001F6B07	EncBoSSoldier08	Brotherhood Paladin-Commander	Paladin-Commander	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
0020EA66	EncBoSTraitsSoldierFemale03	Brotherhood Soldier Initiate	Initiate	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
0020EA67	EncBoSTraitsSoldierMale05	Brotherhood Soldier Initiate	Initiate	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
0020EA68	EncBoSTraitsSoldierMale06	Brotherhood Soldier Initiate	Initiate	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
0021DDB7	EncBoSSoldier09	Brotherhood Star Paladin	Star Paladin	00076A0A	EncBoSSoldierTemplate	001479C1	BoSGenericNPCFaction								0
00237B66	corpse_NPCMaleFarmer09			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00237B67	corpse_NPCFemaleFarmer09			00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
0023D8D2	LvlBoSSoldier_MixedArmor_MixedWeapon			00076A03	Old_LCharBoSSoldier	001479C1	BoSGenericNPCFaction								0
0000E423	DebugKurtActor	Preston Garvey				00019C21	DebugKurtFaction								0
0010A3BC	Lvl_MTR08_AutoMiner	Auto-Miner	Auto-Miner	001D779F	LCharProtectronConstruction01	0010A3D6	MTR08_AutoMinerFaction								0
00112BEE	EncRadAnt01Template	Small Forager Ant	Radant			00113EB8	DLC04RadAntFriendFaction								0
00112C7E	DLC04EncBrahmiluff01Template	Brahmiluff Shorthorn				000330BB	DomesticAnimalFaction								0
00112C86	DLC04EncBrahmiluff02	Brahmiluff		00112C7E	DLC04EncBrahmiluff01Template	000330BB	DomesticAnimalFaction								0
00112C87	DLC04EncBrahmiluff03	Brahmiluff Longhorn		00112C7E	DLC04EncBrahmiluff01Template	000330BB	DomesticAnimalFaction								0
00112EF5	LvlRadAnt			00112EF6	LCharRadAnt	00113EB8	DLC04RadAntFriendFaction								0
001131D4	EncRadAnt03_Glowing	Small Glowing Ant	Radant	00112BEE	EncRadAnt01Template	00113EB8	DLC04RadAntFriendFaction								0
001131D5	EncRadAnt02	Small Soldier Ant	Radant	00112BEE	EncRadAnt01Template	00113EB8	DLC04RadAntFriendFaction								0
001131D9	EncRadAnt04	Forager Ant	Radant	00112BEE	EncRadAnt01Template	00113EB8	DLC04RadAntFriendFaction								0
001131DA	EncRadAnt05	Soldier Ant	Radant	00112BEE	EncRadAnt01Template	00113EB8	DLC04RadAntFriendFaction								0
001131DB	EncRadAnt06_Glowing	Glowing Ant	Radant	00112BEE	EncRadAnt01Template	00113EB8	DLC04RadAntFriendFaction								0
001131DC	EncRadAnt07	Overgrown Forager Ant	Radant	00112BEE	EncRadAnt01Template	00113EB8	DLC04RadAntFriendFaction								0
001131DD	EncRadAnt08	Overgrown Soldier Ant	Radant	00112BEE	EncRadAnt01Template	00113EB8	DLC04RadAntFriendFaction								0
001131DE	EncRadAnt09_Glowing	Overgrown Glowing Ant	Radant	00112BEE	EncRadAnt01Template	00113EB8	DLC04RadAntFriendFaction								0
00113257	DLC04LvlBrahmiluff			00113256	LCharBrahmiluff	000330BB	DomesticAnimalFaction								0
00114934	DLC04LvlBrahmiluffMarket			00113256	LCharBrahmiluff	000330BB	DomesticAnimalFaction								0
00114935	DLC04EncBrahmiluffMarket	Brahmiluff		00112C7E	DLC04EncBrahmiluff01Template	000330BB	DomesticAnimalFaction								0
00275BC6	SFZ08_Fear_Beckham	Beckham		0014F6E5	LCharMrHandy_Saw	00528537	SFZ08_Fear_Vendor_Faction					00528539	00528538	SFZ08_Fear_VendorChest_General	1
00034C73	MTR06_LvlProtectronFireman			001E61DE	LCharProtectronFireman	00034C86	MTR06_ProtectronFaction								0
00182066	EN05_MrGutsy			00146CE3	LCharMrGutsy	0001817D	EN05_GenericBotDialogueFaction								2
00182093	EN05_MrGutsy_MasterSergeant	Master Sergeant Gutsy		00146CE3	LCharMrGutsy	00182090	EN05_MasterSergeantDialogueFaction								0
0015E058	EN05_Combat_LvlProtectron_Hostile	Communist Sympathizer		00106B07	LvlProtectron	0015E040	EN05_CombatBotFaction								0
0015E063	EN05_Combat_LvlMrGutsy	Communist Trooper		00146CE3	LCharMrGutsy	0015E040	EN05_CombatBotFaction								0
0015E06F	EN05_Combat_LvlAssaultron	Communist Elite Trooper		00121D51	LCharAssaultron_Normal	0015E040	EN05_CombatBotFaction								0
0015E14C	EN05_Combat_LvlSentryBot	Communist Shock Trooper		0012BC12	LCharSentryBot	0015E040	EN05_CombatBotFaction								0
000047FB	ENz09_Botelby	Bot-leby				000047FC	ENz09_BotelbyDialgoueFaction								0
0012B7DD	ENz04_LvlAssaultron	Assaultron Patroller		0026861F	LvlAssaultronEnclave	0012B7DC	ENz04_PatrolBotFaction								0
0012B7DE	ENz04_LvlSentryBot	Sentry Bot Patroller		0012BC12	LCharSentryBot	0012B7DC	ENz04_PatrolBotFaction								0
0012B7DF	Enz04_LvlMrGutsy	Mr. Gutsy Patroller		00268605	LvlMrGutsyEnclave	0012B7DC	ENz04_PatrolBotFaction								0
0018E0BE	SFS02_Play_Chloe	Chloe		00157C9A	LvlMrHandy_Standard	00106C31	PlayerFriendFaction								0
001E7C60	LC043PenitentiaryGuardProtectron_Patrol			003CC00F	LC043PenitentiaryGuardProtectron	00208632	LC043PenitentiaryFaction								0
00268082	TW009Curator	Prickett's Fort Curator	Curator	00157C9D	LCharMrHandy_Standard	00106C31	PlayerFriendFaction								0
0023C83B	TW010_MrHandyCook	Hemlock Holes Cook	Cook	0014F6E4	LCharMrHandy_Flamer	00106C31	PlayerFriendFaction								0
0029DBBD	FF08_Pharmabot	Pharmabot JD-7E	JD7E	00157C9D	LCharMrHandy_Standard	0029DBE8	FF08_PatrolBotFaction								0
0017F096	GQ_SuperMutantMerchant_Grahm	Grahm		000F7589	LvlSupermutantGrenade	004ED4D0	GQ10_SupermutantMerchantVendorFaction		00022CE5	VendorItemsMisc	FLST	004ED4D2	004ED4D1	GQ_10_VendorChest_Travelling_Workshops	1
001949E0	GQ_Brahmin_ChallyMooMoo	Chally the Moo-Moo		0014055E	EncBrahminPack	000330BB	DomesticAnimalFaction								0
0022F389	MTRz02_MineGameManager	Day o' Work Station	Work Station	00106B08	LCharProtectron_Normal	0022F38A	MTRz02_MineGamesBotDialogueFaction								0
002ACF4E	RS02_Beat_Steelheart	Steelheart	Steelheart	00121D4F	EncProtectron02	002ACF4D	RS02_Beat_SteelheartFaction								0
0010D850	LvlTurretASAM	Automated Surface to Air Missile	Turret	0043C163	LCharTurretASAM_Normal	0010D85B	ASAM_Faction								0
00068539	MTR05_HiringSystem_VOICEONLY	Hornwright Hiring System	System			000685BC	MTR05_HiringSystemDialogueFaction								0
002B12A4	LvlMainTurretStandingCart_NonHostile			00124767	LCharTurretStandingCart_Normal	00106C31	PlayerFriendFaction								0
002B12A5	LvlMainTurretTripod_NonHostile			0011131F	LCharTurretTripod_Normal	00106C31	PlayerFriendFaction								0
002B12A6	LvlMainTurretTripodMounted_NonHostile			00116667	LCharTurretTripodMounted_Normal	00106C31	PlayerFriendFaction								0
002B12A7	LvlMainTurretBubble_NonHostile			00111321	LCharTurretBubble_Normal	00106C31	PlayerFriendFaction								0
002B12A8	LvlSubTurretStandingCart_NonHostile			00124767	LCharTurretStandingCart_Normal	00106C31	PlayerFriendFaction								0
002B12A9	LvlSubTurretTripod_NonHostile			0011131F	LCharTurretTripod_Normal	00106C31	PlayerFriendFaction								0
002B12AA	LvlSubTurretTripodMounted_NonHostile			00116667	LCharTurretTripodMounted_Normal	00106C31	PlayerFriendFaction								0
002B12AB	LvlSubTurretBubble_NonHostile			00111321	LCharTurretBubble_Normal	00106C31	PlayerFriendFaction								0
002B131A	EncTEMPLATE_Turret_FactionMutations					002B1319	MutationsFaction								0
002B1323	EncTEMPLATE_Turret_FactionSwamp					002B1321	SwampCreatureFaction								0
002B1325	EncTEMPLATE_Turret_PlayerAllied					00106C31	PlayerFriendFaction								0
0027BA32	LC043_LvlMainTurretTripod_NonHostileRepairable_NoNativeTerminal	Machinegun Turret Mk I	Turret	0011131F	LCharTurretTripod_Normal	00106C31	PlayerFriendFaction								0
0027BA33	LC043_LvlMainTurretTripodMounted_NonHostileRepairable	Machinegun Turret Mk I	Turret	00116667	LCharTurretTripodMounted_Normal	00106C31	PlayerFriendFaction								0
0027BA34	LC043_LvlMainTurretBubble_NonHostileRepairable_NoNativeTerminal	Machine Gun Turret	Turret	00111321	LCharTurretBubble_Normal	00106C31	PlayerFriendFaction								0
002C0897	FFZ16_Swatter_Vertbird	Survey Vertibot	Vertibot	00110300	LvlVertibird	00106C2F	PlayerEnemyFaction								0
00019282	FSS02_Vigilant_Rover	Rover	Rover	0007E755	LvlEyeBotFreeStates	002E5B26	FSS02_Vigilant_RoverFaction								0
002E5B2B	DebugCorrieEyebot	Test		000EFBB4	LvlEyeBot	00106C31	PlayerFriendFaction								0
00058568	LvlEyeBotResponder	Responder EyeBot	EyeBot	000EFBB4	LvlEyeBot	003C6835	ResponderFaction								0
00090659	LvlProtectronResponderMedic	Responder Protectron	Protectron	00106B07	LvlProtectron	003C6835	ResponderFaction								0
0001A3FE	Test_MrHandyUnique	UniqueTestMrHandy	U.TestHandy	00157C9D	LCharMrHandy_Standard	0029DBE8	FF08_PatrolBotFaction								0
0001C63A	TestVertibirdPassenger			00160159	EncBoS_PowerArmor_Auto_Template	001479C1	BoSGenericNPCFaction								0
00117139	DebugCorrieHandy	TestMrHandy	TestHandy	00157C9D	LCharMrHandy_Standard	00106C31	PlayerFriendFaction								0
0004E590	MTNZ05_MrHandyMessenger	Mr. Messenger	Messenger	00157C9D	LCharMrHandy_Standard	00370B89	MTNZ05MessengerFaction								0
0022278B	CB04_CorpseSaboteur	Scott Turner		00113340	corpse_NPCMaleFarmer01Template	00062555	WorkshopVendorFactionMisc					001B2C15	0010FCC2	WorkshopVendorChestMisc01	1
00181529	LC060_LvlAssaultronWhitespring_Standard	Whitespring Assaultron	Assaultron	000EF3F2	LvlAssaultron	001FC69F	WhitespringFaction								0
0018152A	LC060_LvlEyebotWhitespring_Standard	Whitespring EyeBot	EyeBot	000EFBB4	LvlEyeBot	001FC69F	WhitespringFaction								0
0018152B	LC060_LvlSentryBotWhitespring_Standard	Whitespring Sentry Bot	Sentry Bot	000F8617	LvlSentryBot	001FC69F	WhitespringFaction								0
0018152C	LC060_LvlProtectronWhitespring_Fire	Whitespring Fire Service Protectron		001FC68F	LC060_LvlProtectronWhitespring_Standard	001FC69F	WhitespringFaction								0
0018152D	LC060_LvlProtectronWhitespring_Medic	Whitespring Medical Protectron		001FC68F	LC060_LvlProtectronWhitespring_Standard	001FC69F	WhitespringFaction								0
0018152E	LC060_LvlProtectronWhitespring_Chef	Whitespring Chef		001FC68F	LC060_LvlProtectronWhitespring_Standard	001FC69F	WhitespringFaction								0
00181611	LC060_LvlProtectronWhitespring_White			001FC68F	LC060_LvlProtectronWhitespring_Standard	001FC69F	WhitespringFaction								0
001FAE7F	LC080_LvlTurretBubble1550Bunker	Whitespring Turret	Turret	00113527	LvlTurretBubble1500	001FC69F	WhitespringFaction								0
001FAEF2	LC080_LvlTurretMounted1550Bunker	Whitespring Turret	Turret	00116668	LvlTurretTripodMounted	001FC69F	WhitespringFaction								0
001FC68F	LC060_LvlProtectronWhitespring_Standard	Whitespring Protectron	Protectron	00106B07	LvlProtectron	001FC69F	WhitespringFaction								0
001FC690	LC060_LvlProtectronWhitespring_Butler	Whitespring Butler		001FC68F	LC060_LvlProtectronWhitespring_Standard	001FC69F	WhitespringFaction								0
001FC692	LC060_LvlMrHandyWhitespring_White_Standard			001FC698	LC060_LvlMrHandyWhitespring_Standard_Standard	001FC69F	WhitespringFaction								0
001FC694	LC060_LvlSentryBotWhitespring_White			0018152B	LC060_LvlSentryBotWhitespring_Standard	001FC69F	WhitespringFaction								0
001FC696	LC060_LvlTurretBubbleWhitespring	Whitespring Turret	Turret	00113527	LvlTurretBubble1500	001FC69F	WhitespringFaction								0
001FC697	LC060_LvlAssaultronWhitespring_White			00181529	LC060_LvlAssaultronWhitespring_Standard	001FC69F	WhitespringFaction								0
001FC698	LC060_LvlMrHandyWhitespring_Standard_Standard	Whitespring Mr Handy	Mr Handy	00157C9A	LvlMrHandy_Standard	001FC69F	WhitespringFaction								0
001FC69A	LC060_LvlMsNannyWhitespring_Standard	Whitespring Ms Nanny	Ms Nanny	00157C9A	LvlMrHandy_Standard	001FC69F	WhitespringFaction								0
001FC69B	LC060_LvlMsNannyWhitespring_White			001FC69A	LC060_LvlMsNannyWhitespring_Standard	001FC69F	WhitespringFaction								0
001FC69D	LC060_LvlProtectronWhitespring_Police	Whitespring Security Protectron		001FC68F	LC060_LvlProtectronWhitespring_Standard	001FC69F	WhitespringFaction								0
001FC6A0	LC060_LvlMrHandyWhitespring_Standard_Gardener	Whitespring Mr Gardener		001FC698	LC060_LvlMrHandyWhitespring_Standard_Standard	001FC69F	WhitespringFaction								0
001FC6A2	LC060_LvlMrHandyWhitespring_Standard_Flamer			001FC698	LC060_LvlMrHandyWhitespring_Standard_Standard	001FC69F	WhitespringFaction								0
001FC6A5	LC060_LvlMrHandyWhitespring_White_Gardener			001FC6A0	LC060_LvlMrHandyWhitespring_Standard_Gardener	001FC69F	WhitespringFaction								0
001FC6A6	LC060_LvlMrHandyWhitespring_White_Flamer			001FC6A2	LC060_LvlMrHandyWhitespring_Standard_Flamer	001FC69F	WhitespringFaction								0
001FC6B0	LC060_LvlEyebotWhitespring_White			0018152A	LC060_LvlEyebotWhitespring_Standard	001FC69F	WhitespringFaction								0
0004A552	TestMandiNPC001	Theater Usher	Usher			00106C31	PlayerFriendFaction								0
002F0B69	EN02_LvlSentryBot	Overridden Sentry Bot		0012BC12	LCharSentryBot	0017CD82	EN02_EnclaveBotFaction								0
002F0B6A	EN02_LvlAssaultron	Overridden Assaultron		00121D51	LCharAssaultron_Normal	0017CD82	EN02_EnclaveBotFaction								0
002F0B8E	EN02_LvlMrGutsy	Overridden Mr. Gutsy		00146CE3	LCharMrGutsy	0017CD82	EN02_EnclaveBotFaction								0
003298EE	Lvl_MTR08_Mine01_AutoMiner_Joel	Auto-Miner #J03-L	J03-L	0010A3BC	Lvl_MTR08_AutoMiner	0010A3D6	MTR08_AutoMinerFaction								0
003298EF	Lvl_MTR08_Mine01_AutoMiner_Deb	Auto-Miner #D3-B	#D3-B	0010A3BC	Lvl_MTR08_AutoMiner	0010A3D6	MTR08_AutoMinerFaction								0
003298F0	Lvl_MTR08_Mine01_AutoMiner_Hank	Auto-Miner #H4N-K	#H4N-K	0010A3BC	Lvl_MTR08_AutoMiner	0010A3D6	MTR08_AutoMinerFaction								0
003298F1	Lvl_MTR08_Mine02_AutoMiner_Duke	Auto-Miner DU-K3	DU-K3	0010A3BC	Lvl_MTR08_AutoMiner	0010A3D6	MTR08_AutoMinerFaction								0
003298F2	Lvl_MTR08_Mine02_AutoMiner_Jewel	Auto-Miner J-0ULE	J-0ULE	0010A3BC	Lvl_MTR08_AutoMiner	0010A3D6	MTR08_AutoMinerFaction								0
