COBJ_FormID	COBJ_EDID	CNAM_FormID	CNAM_EDID	CNAM_FULL	BNAM_FormID	BNAM_EDID	BNAM_FULL	GNAM_FormID	GNAM_EDID	GNAM_FULL	FNAM_Keywords	FVPA	ReferencedBy_Flat	ReferencedByCount	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30	Ref_31	Ref_32	Ref_33	Ref_34	Ref_35	Ref_36	Ref_37
0005E681	workshop_co_CondProxy_Container_SafeFloor				0089383D	WorkshopWorkbenchAllType		003D652E	Recipe_Workshop_Container_WorkshopSafeFloor01	Plan: Pre-War Floor Safe			00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST|0084E924:workshop_LL_Container_WorkshopSafes:LVLI	3	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST	0084E924:workshop_LL_Container_WorkshopSafes:LVLI																																		
00076AB9	workshop_co_TurretTripod	00556263	ATX_workshop_LChar_TurretTripod		0089383D	WorkshopWorkbenchAllType						c_Circuitry:1:COBJ_Workshop_Circuitry|c_Gears:2:COBJ_Workshop_Gears|c_Oil:2:COBJ_Workshop_Oil|c_Steel:4:COBJ_Workshop_Steel	00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	2	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																			
0005BB6B	co_PowerArmor_FusionCore01	0005671F	mod_PowerArmor_FusionCore01	Fusion Core								AmmoFusionCore:1:		0																																					
0009DF9F	workshop_co_FoodMutfruitPlant01	0017A547	Workshop_FloraMutfruit01_packin	Mutfruit Plant	0089383D	WorkshopWorkbenchAllType		00033102	MutfruitFruit	Mutfruit		MutfruitFruit:1:|c_Fertilizer:2:	0042E50E:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopMutfruitPlant:CHAL|00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	3	0042E50E:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopMutfruitPlant:CHAL	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																		
000BBF74	co_Terminal_Addon													0																																					
000D34D2	workshop_co_TurretLaser	00556267	ATX_workshop_LChar_TurretLaser		0089383D	WorkshopWorkbenchAllType						c_Aluminum:5:COBJ_Workshop_Aluminum|c_Circuitry:3:COBJ_Workshop_Circuitry|c_FiberOptics:4:COBJ_Workshop_FiberOptics|c_Glass:3:COBJ_Workshop_Glass|c_Gears:2:COBJ_Workshop_Gears|c_NuclearMaterial:2:COBJ_Workshop_NuclearMaterial|c_Steel:5:COBJ_Workshop_Steel|c_Screws:3:COBJ_Workshop_Screws	00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	2	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																			
000E0B7E	workshop_co_FoodRazorgrain	000E0B7D	workshopRecipe_RazorGrain	Razorgrain	0089383D	WorkshopWorkbenchAllType		000E0043	RazorgrainVegetable	Razorgrain		c_Fertilizer:2:|RazorgrainVegetable:1:	0042E50F:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopRazorgrain:CHAL|00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	3	0042E50F:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopRazorgrain:CHAL	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																		
000E7FAF	co_mod_melee_Board_Spikes	0005C252	mod_melee_Board_Spikes	Spiked								c_Adhesive:3:COBJ_Weapon_Adhesive|c_Springs:2:COBJ_Weapon_Springs|c_Steel:5:COBJ_Weapon_Steel|c_Screws:4:COBJ_Weapon_Screws		0																																					
000E7FB5	co_Null_MeleeMod	000E7C3E	mod_melee_Null_MeleeMod	No Upgrade										0																																					
000ED1CE	CUT_co_mod_LaserMusket_BarrelLaser_Long_ExtensionNoBracket							00054A1F	recipe_Dummy_Uncraftable_Item_NOCRAFT			c_Circuitry:3:COBJ_Weapon_Circuitry|c_FiberOptics:3:COBJ_Weapon_FiberOptics|c_Glass:3:COBJ_Weapon_Glass|c_Adhesive:4:COBJ_Weapon_Adhesive|c_Plastic:5:COBJ_Weapon_Plastic|c_Screws:3:COBJ_Weapon_Screws		0																																					
000ED1CF	CUT_co_mod_LaserMusket_BarrelLaser_Long_ExtensionWithBracket							00054A1F	recipe_Dummy_Uncraftable_Item_NOCRAFT			c_Circuitry:2:COBJ_Weapon_Circuitry|c_FiberOptics:3:COBJ_Weapon_FiberOptics|c_Glass:2:COBJ_Weapon_Glass|c_Adhesive:5:COBJ_Weapon_Adhesive|c_Plastic:5:COBJ_Weapon_Plastic|c_Screws:3:COBJ_Weapon_Screws		0																																					
000ED1D0	CUT_co_mod_LaserMusket_BarrelLaser_Long_NoExtension							00054A1F	recipe_Dummy_Uncraftable_Item_NOCRAFT			c_Circuitry:2:COBJ_Weapon_Circuitry|c_FiberOptics:3:COBJ_Weapon_FiberOptics|c_Glass:2:COBJ_Weapon_Glass|c_Adhesive:3:COBJ_Weapon_Adhesive|c_Plastic:5:COBJ_Weapon_Plastic|c_Screws:3:COBJ_Weapon_Screws		0																																					
000ED1D1	CUT_co_mod_LaserMusket_BarrelLaser_Short_ExtensionNoBracket_Base							00054A1F	recipe_Dummy_Uncraftable_Item_NOCRAFT			c_Circuitry:1:COBJ_Weapon_Circuitry|c_FiberOptics:2:COBJ_Weapon_FiberOptics|c_Glass:2:COBJ_Weapon_Glass|c_Adhesive:1:COBJ_Weapon_Adhesive|c_Plastic:2:COBJ_Weapon_Plastic|c_Screws:2:COBJ_Weapon_Screws		0																																					
000ED1D2	CUT_co_mod_LaserMusket_BarrelLaser_Short_ExtensionWithBracket							00054A1F	recipe_Dummy_Uncraftable_Item_NOCRAFT			c_Circuitry:1:COBJ_Weapon_Circuitry|c_FiberOptics:2:COBJ_Weapon_FiberOptics|c_Glass:2:COBJ_Weapon_Glass|c_Adhesive:1:COBJ_Weapon_Adhesive|c_Plastic:2:COBJ_Weapon_Plastic|c_Screws:2:COBJ_Weapon_Screws		0																																					
000ED1D3	CUT_co_mod_LaserMusket_BarrelLaser_Short_NoExtension							00054A1F	recipe_Dummy_Uncraftable_Item_NOCRAFT			c_Circuitry:1:COBJ_Weapon_Circuitry|c_FiberOptics:2:COBJ_Weapon_FiberOptics|c_Glass:2:COBJ_Weapon_Glass|c_Adhesive:1:COBJ_Weapon_Adhesive|c_Plastic:2:COBJ_Weapon_Plastic|c_Screws:2:COBJ_Weapon_Screws		0																																					
000ED1D4	CUT_co_mod_LaserMusket_Grip_StockFull							00054A1F	recipe_Dummy_Uncraftable_Item_NOCRAFT			c_Adhesive:5:COBJ_Weapon_Adhesive|c_Wood:10:COBJ_Weapon_Wood|c_Screws:7:COBJ_Weapon_Screws		0																																					
000ED1D5	CUT_co_mod_LaserMusket_Grip_StockShort_Base							00054A1F	recipe_Dummy_Uncraftable_Item_NOCRAFT			c_Adhesive:3:COBJ_Weapon_Adhesive|c_Wood:7:COBJ_Weapon_Wood|c_Screws:6:COBJ_Weapon_Screws		0																																					
000ED1D6	CUT_co_mod_LaserMusket_Receiver_1_Base							00054A1F	recipe_Dummy_Uncraftable_Item_NOCRAFT			c_Adhesive:1:COBJ_Weapon_Adhesive|c_Gears:2:COBJ_Weapon_Gears|c_Oil:2:COBJ_Weapon_Oil|c_Steel:3:COBJ_Weapon_Steel|c_Screws:2:COBJ_Weapon_Screws		0																																					
000ED1D7	CUT_co_mod_LaserMusket_Scope_SightsIron_Base							00054A1F	recipe_Dummy_Uncraftable_Item_NOCRAFT			c_Adhesive:2:COBJ_Weapon_Adhesive|c_Steel:2:COBJ_Weapon_Steel		0																																					
0010128C	co_chem_Mentats	0003377B	Mentats	Mentats	00102158	Workbench_Crafting_Chemlab		002B8BC6	Recipe_Chems_Mentats	Recipe: Mentats	RecipeFilter_Chem_Drug	FirecapVegetable:1:|BrainFungusVegetable:2:|CarrotFlowerHerb:1:	003E84CA:EN01_HeadFuzzy:BOOK	1	003E84CA:EN01_HeadFuzzy:BOOK																																				
0010128D	co_chem_Psycho	0003377D	Psycho	Psycho	00102158	Workbench_Crafting_Chemlab		002B8BC9	Recipe_Chems_Psycho	Recipe: Psycho	RecipeFilter_Chem_Drug	MedX:1:|PitcherPlantGoo:1:|ToxicSootFlowerHerb:1:		0																																					
00101290	co_chem_GrapeMentats	0010129A	GrapeMentats	Grape Mentats	00102158	Workbench_Crafting_Chemlab		002B8BBE	Recipe_Chems_GrapeMentats	Recipe: Grape Mentats	RecipeFilter_Chem_Drug	MutfruitFruit:2:|Mentats:1:|Brew_Whiskey:1:		0																																					
00101291	co_chem_Stimpak	00023736	Stimpak	Stimpak	00102158	Workbench_Crafting_Chemlab		002B8BCE	Recipe_Chems_Stimpak	Recipe: Stimpak	RecipeFilter_Shared_Healing	c_Antiseptic:2:|c_Steel:1:|Bloodpack:1:		0																																					
0010C04D	POST_workshop_co_StoreWeapon03	00391176	WorkshopStoreWeapon03NEW	Weapons Store	0089383D	WorkshopWorkbenchAllType		004E8519	POST_Recipe_Workshop_Vendors_Stores	Plan: Vendors		c_Steel:3:COBJ_Workshop_Steel|c_Wood:5:COBJ_Workshop_Wood		0																																					
0010FCBD	POST_workshop_co_StoreArmor03	00391173	WorkshopStoreArmor03NEW	Armor Store	0089383D	WorkshopWorkbenchAllType		004E8519	POST_Recipe_Workshop_Vendors_Stores	Plan: Vendors		c_Steel:3:COBJ_Workshop_Steel|c_Wood:5:COBJ_Workshop_Wood		0																																					
0011824F	POST_workshop_co_CeilingLamp01	0008B945	CeilingLamp01	Ceiling Lamp							WorkshopRecipeFilterScrap	c_Glass:2:COBJ_Workshop_Glass|c_Steel:2:COBJ_Workshop_Steel		0																																					
00119B17	workshop_co_FoodCorn	00119B16	workshopRecipe_Corn	Corn	0089383D	WorkshopWorkbenchAllType		000330F8	CornVegetable	Corn		CornVegetable:1:|c_Fertilizer:2:	0042E50B:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopCorn:CHAL|00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	3	0042E50B:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopCorn:CHAL	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																		
00119B18	workshop_co_FoodGourd	0017E899	Workshop_FloraGourdVine01_packin	Gourd	0089383D	WorkshopWorkbenchAllType		000EF24D	GourdVegetable	Gourd		c_Fertilizer:2:|GourdVegetable:1:	0042E50C:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopGourd:CHAL|00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	3	0042E50C:Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Gardener_Sub_PlantWorkshopGourd:CHAL	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																		
00119BBB	workshop_co_WaterPurifierLarge	00464835	workshop_LL_Water_WaterPurifiersLarge		0089383D	WorkshopWorkbenchAllType		004E84FE	Recipe_Workshop_Water_WaterPurifierLarge	Plan: Large Water Purifier		c_Ceramic:2:COBJ_Workshop_Ceramic|c_Copper:4:COBJ_Workshop_Copper|c_Oil:4:COBJ_Workshop_Oil|c_Rubber:10:COBJ_Workshop_Rubber|c_Steel:20:COBJ_Workshop_Steel|c_Screws:6:COBJ_Workshop_Screws|c_Cloth:4:COBJ_Workshop_Cloth	003D7F4E:Container_Loot_MQ_OverseersCacheContainer_10_CampMcClintock:LVLI|00468316:Babylon_WorkshopBlacklist:FLST|004869E8:Challenge_All_Recipes_Workshop:FLST	3	003D7F4E:Container_Loot_MQ_OverseersCacheContainer_10_CampMcClintock:LVLI	00468316:Babylon_WorkshopBlacklist:FLST	004869E8:Challenge_All_Recipes_Workshop:FLST																																		
0011E2C6	workshop_co_GeneratorSmall	004958D2	workshop_LL_Power_Generators_Small		0089383D	WorkshopWorkbenchAllType						c_Ceramic:1:COBJ_Workshop_Ceramic|c_Copper:2:COBJ_Workshop_Copper|c_Gears:2:COBJ_Workshop_Gears|c_Rubber:2:COBJ_Workshop_Rubber|c_Steel:4:COBJ_Workshop_Steel	004869E8:Challenge_All_Recipes_Workshop:FLST|00492890:Babylon_WorkshopWhitelist:FLST	2	004869E8:Challenge_All_Recipes_Workshop:FLST	00492890:Babylon_WorkshopWhitelist:FLST																																			
