SPEL_FormID	SPEL_EDID	SPEL_FULL	SPEL_DESC	SPIT_Type	SPIT_CastType	SPIT_Delivery	SpellConditions
0022B6F0	AbRaceMrHandy			Ability	Constant Effect	Self	
0022FC60	CUT_DogmeatInvisibility	Dogmeat's Invisibility		Ability	Constant Effect	Self	
0022FED3	AbWorkshopPopulation	Add population resource value		Ability	Constant Effect	Self	
00231BEA	RECheckpoint_LessDamage90Spell			Ability	Constant Effect	Self	
00237E4F	CourserSpeedUp	Courser Speed Up		Spell	Fire and Forget	Self	
00237E50	AbCourserSpeed	Courser Speed		Ability	Constant Effect	Self	
0023C9C2	FlameThrowerFireHazardSpell	Strong Fire Hazard		Spell	Fire and Forget	Contact	
0023C9C3	ExplosionFireHazardSpell	Strong Fire Hazard		Spell	Fire and Forget	Contact	
0023EC91	GlowingSeaPlayerRadiationRadStorm	Glowing Sea Radiation		Disease	Constant Effect	Self	
002404A6	AbRaceBehemoth			Ability	Constant Effect	Self	
00240C1E	FireHazardLight01	Light Fire Hazard		Spell	Fire and Forget	Contact	
0024615A	AbAddictionBuzzBites	BuzzBites Addiction		Addiction	Constant Effect	Self	
00247A41	DetectLifePATargetCloakSpell	Detect Life		Spell	Constant Effect	Self	
0024848D	SpellPowerArmor_CommonArm	PA Common Arm		Spell	Fire and Forget	Contact	
0024865C	SpellPowerArmor_ImpactLandingAggro	SpellPA_ImpactLandingAggro		Spell	Constant Effect	Self	
002486F8	DetectLifeOnTargetSpell	Detect Life		Spell	Concentration	Aimed	
00248978	PowerArmor_ImpactLandingAggroDamageSpell	PA_ImpactLandingAggroDamageSpell		Spell	Concentration	Contact	
002495D9	RoboticsExpertFrenzySpell	RoboticsExpertFrenzy		Spell	Constant Effect	Self	
00249BF1	PerkPainTrainBlockSpell	Pain Train Block Spell		Spell	Constant Effect	Self	
00249C4C	PerkPainTrainBlockStaggerSpell	Pain Train Block Spell		Spell	Constant Effect	Self	
00249D6A	PowerArmor_mod_Lining_FieldGen_EMP_Spell	FieldGen EMP Spell 4		Spell	Concentration	Contact	
00008CC5	MTR_AshFireSpell	Ash Fire Damage		Disease	Constant Effect	Self	
00004381	AbNemesisRank00			Ability	Constant Effect	Self	
00004384	AbNemesisRank01			Ability	Constant Effect	Self	
00004385	AbNemesisRank02			Ability	Constant Effect	Self	
0010EA9C	DLC01AbRaceTurretSpotlight			Ability	Constant Effect	Self	
0010EAB2	DLC01LightningHazardSpell	Lightning Hazard		Spell	Fire and Forget	Contact	
0010EAF5	AssaultronHeadSelfRadsSpell	AssaultronHeadSelfRadsSpell		Spell	Fire and Forget	Self	
0010EB03	DLC01EnchBot_Cloak_ReconSpell	DLC01EnchBot_Cloak_ReconSpell		Spell	Concentration	Contact	
0010EB18	DLC01Bot_CommonArmorSpell	DLC01Bot_CommonArmorSpell		Spell	Fire and Forget	Contact	
0010EB2A	DLC01Bot_KnockdownSpell	DLC01Bot_KnockdownSpell		Spell	Concentration	Aimed	
0010EC9A	V96_2_EncEyebotScanner_4_Overcharged_Cloak	Overcharged Energy Field		Ability	Constant Effect	Self	
0010EC9D	V96_2_EncEyebotScanner_4_Overcharged_CloakHazard	Overcharged Energy Field		Spell	Concentration	Contact	
0010ECA1	DLC01_EyebotSelfDestructAb			Ability	Constant Effect	Self	
0010ECAE	DLC01RobotShield	Robot sheild		Ability	Constant Effect	Self	
0010EE0E	DLC01Bot_CommonArmorSpell_Unstable	DLC01Bot_CommonArmorSpell_Unstable		Spell	Fire and Forget	Contact	
0010EFB7	DLC01SmokeBombHazardSpell	DLC01SmokeBombHazardSpell		Spell	Fire and Forget	Contact	
0010F26F	DLC01EnchBot_Cloak_DetectionSpell	DLC01EnchBot_Cloak_DetectionSpell		Spell	Concentration	Contact	
0010F271	DLC01EnchBot_Cloak_EMPSpell	DLC01EnchBot_Cloak_EMPSpell		Spell	Concentration	Contact	
0010F274	DLC01EnchBot_Cloak_HealSpell	DLC01EnchBot_Cloak_HealSpell		Spell	Concentration	Contact	
0010F280	POST_DLC01EnchBot_Cloak_RadiationSpell	DLC01EnchBot_Cloak_RadiationSpell		Spell	Concentration	Contact	
0010F282	DLC01EnchBot_Cloak_ShieldSpell	DLC01EnchBot_Cloak_ShieldSpell		Spell	Concentration	Contact	
0010F284	DLC01EnchBot_Cloak_StealthSpell	DLC01EnchBot_Cloak_StealthSpell		Spell	Concentration	Contact	
0010F3D6	DeconArchSpell	Decontamination Mist		Spell	Concentration	Contact	
0010F561	DLC01AssaultronHeadTrapSpell	Assaultron Head Trap		Spell	Concentration	Aimed	
0010F565	DLC01AbRaceRobobrain			Ability	Constant Effect	Self	
0010F7AD	DLC01crCoreMeltdownCloak01	DLC01crCoreMeltdownCloak01		Ability	Constant Effect	Self	
0010FB71	DLC01AbRaceMrHandy			Ability	Constant Effect	Self	
0011019F	DLC02WorkshopDetectLifeAbility	Workshop Detect Life		Ability	Constant Effect	Self	
0011083B	dlc03_FireHazard	Strong Fire Hazard		Spell	Fire and Forget	Contact	
0011083C	dlc03_ElectricArcSpell			Spell	Fire and Forget	Contact	
0011083D	dlc03_SlowTimeBriefly	Slow Time Briefly		Spell	Fire and Forget	Self	
00110910	dlc03_RestoreHealthLikeStimpak	Restore Health Like Stimpak		Spell	Fire and Forget	Self	
0011094F	dlc03_Invisibility	Invisibility		Spell	Constant Effect	Self	
00110E3A	DLC03_ArcadiaProtector	Protector of Arcadia		Spell	Fire and Forget	Self	
00110E3B	DLC03_AbProtectorArcadia	Protector of Arcadia		Ability	Constant Effect	Self	
00110E3C	DLC03_AbDestroyerArcadia	Destroyer of Arcadia		Ability	Constant Effect	Self	
00110E3E	DLC03_ArcadiaDestroyer	Destroyer of Arcadia		Spell	Fire and Forget	Self	
00110E41	DLC03_FarHarborSurvivalist	Far Harbor Survivalist		Spell	Constant Effect	Self	
00111146	DLC03_PoisonFogCrawlerBite	Fog Crawler Poison		Spell	Fire and Forget	Contact	
00111245	DLC03FogRadiationHazardLight	Light Radiation		Spell	Concentration	Contact	
001112B3	DLC03AtomSpringImodSpell			Ability	Constant Effect	Self	
00111544	DLC03HermitCrabSpawnSpell	DLC03HermitCrabSpawnSpell		Spell	Fire and Forget	Aimed	
0011168B	DLC03AbRaceFogCrawler			Ability	Constant Effect	Self	
001116B8	DLC03AbRaceHermitCrab	Hermit Crab FX Ability		Ability	Constant Effect	Self	
00111704	DLC03AbAnglerAmbush			Ability	Constant Effect	Self	
00111722	DLC03_WaterRadiationAtomsSpringDrinking	Awful, putrid water		Spell	Fire and Forget	Self	
001117BF	DLC03MQ04PlayerAbility			Ability	Constant Effect	Self	
001121D3	zzzDLC05RadStormFastTransitionSpell	Radiation Storm		Spell	Fire and Forget	Self	
001121DD	DLC06BuffStrength	Strength Boost		Ability	Constant Effect	Self	
001121DF	DLC06BuffPerception	Perception Boost		Ability	Constant Effect	Self	
001121E0	DLC06BuffEndurance	Endurance Boost		Ability	Constant Effect	Self	
001121E1	DLC06BuffCharisma	Charisma Boost		Ability	Constant Effect	Self	
001121E2	DLC06BuffIntelligence	Intelligence Boost		Ability	Constant Effect	Self	
001121E3	DLC06BuffAgility	Agility Boost		Ability	Constant Effect	Self	
001121E4	DLC06BuffLuck	Luck Boost		Ability	Constant Effect	Self	
00113026	DLC04WaterQuantumRadiationDrinking	Questionable Quantum Water		Spell	Fire and Forget	Self	
001131AC	DLC04AbRaceAnimatronicAlien			Ability	Constant Effect	Self	
001135A2	DLC04_AbPerkGhoulish04	Ghoulish		Ability	Constant Effect	Self	
00113612	DLC04_MagScav05Spell	Villainous Virtuosity		Ability	Constant Effect	Self	
0011362C	DLC04MS02_AHS1_Bonus	Hubology AHS-1		Spell	Fire and Forget	Self	
0011362D	DLC04MS02_AHS2_Bonus	Hubology AHS-2		Spell	Fire and Forget	Self	
0011362E	DLC04MS02_AHS3_Bonus	Hubology AHS-3		Spell	Fire and Forget	Self	
0011362F	DLC04MS02_AHS4_Bonus	Hubology AHS-4		Spell	Fire and Forget	Self	
00113630	DLC04MS02_AHS5_Bonus	Hubology AHS-5		Spell	Fire and Forget	Self	
00113631	DLC04MS02_AHS6_Bonus	Hubology AHS-6		Spell	Fire and Forget	Self	
00113632	DLC04MS02_AHS7_Bonus	Hubology AHS-7		Spell	Fire and Forget	Self	
00113633	DLC04MS02_AHS8_Bonus	Hubology AHS-8		Spell	Fire and Forget	Self	
001136B6	DLC04Gauntlet_GasHazard	Gas		Spell	Concentration	Contact	
00113961	DLC04_AbRaceSwarm			Ability	Constant Effect	Self	
001139B9	DLC04_AbPerkVans02	VANS		Ability	Constant Effect	Self	
0011408F	DLC04CompGageAbility	Lessons In Blood		Ability	Constant Effect	Self	
001140F9	zzz_DLC04_AbLuckyRabbitsFoot	Lucky Rabbit's Foot		Ability	Constant Effect	Self	
0011415C	DLC04_OswaldGlowingOneBurst	Radiation Explosion		Spell	Fire and Forget	Self	
00114206	DLC04RadiationHazardMedium	Medium Radiation		Spell	Concentration	Contact	
00114339	DLC04abSinnerHealthBonus			Ability	Constant Effect	Self	
00114650	DLC04NukaKillTrackerSpell	DLC04NukaKillTracker		Ability	Constant Effect	Self	
0011490F	DLC04_AbOswaldTeleportInvisibility			Ability	Constant Effect	Self	
00114945	DLC04_AbImmuneToKnockdown	Immune To Knockdown		Ability	Constant Effect	Self	
0011497F	DLC04_crGlowingCaveCricketCloak	Radiation Cloak		Ability	Constant Effect	Self	
00114980	DLC04_crGlowingRadantCloak	Radiation Cloak		Ability	Constant Effect	Self	
00114981	DLC04_crGlowingRadratCloak	Radiation Cloak		Ability	Constant Effect	Self	
002129BD	AbEpicDamage	AbEpicDamage		Ability	Constant Effect	Self	
002129BE	AbEpicAccuracy	AbEpicAccuracy		Ability	Constant Effect	Self	
002129BF	AbEpicExplodeAndAccuracy	AbEpicExplodeAndAccuracy		Ability	Constant Effect	Self	
002129C0	AbEpicPoison	AbEpicPoison		Ability	Constant Effect	Self	
002129C1	AbEpicRadioactive	AbEpicRadioactive		Ability	Constant Effect	Self	
00088AAD	AbTWZ04QueenHealthRegen	Regenerate Health		Ability	Constant Effect	Self	
00127505	ENz04_ChangeAssistanceLevelSpell	Change NPC Assistance Level		Ability	Constant Effect	Self	
00026841	SURV_Hunger_Ability	Hunger		Ability	Constant Effect	Self	
00054DF3	SURV_Thirst_Ability	Thirst		Ability	Constant Effect	Self	
00112E6D	SURV_Disease_Parasites	Parasites		Spell	Fire and Forget	Target Actor	
00284956	SURV_Disease_Dysentery	Dysentery		Spell	Fire and Forget	Target Actor	
0028495A	SURV_Disease_Dysentery_PeriodicWaterLoss			Spell	Fire and Forget	Target Actor	
00008881	SURV_Disease_BoneWorms	Bone Worms		Spell	Fire and Forget	Target Actor	
0028D3BC	Mutation_Talons	Talons		Ability	Constant Effect	Self	
0003BDD2	MtnM01_Debuff_Karma	Karma Syringe		Spell	Fire and Forget	Self	
0005C0B3	RS02_Beat_ChangeAssistanceLevelSpell	Change NPC Assistance Level		Ability	Constant Effect	Self	
00228395	ToxicRadiationHazardLight	Light Radiation		Spell	Concentration	Contact	
002283C3	ToxicRadiationHazardStrong	Strong Radiation		Spell	Concentration	Contact	
002599EC	AbPerkNightEyes	Night Eyes		Ability	Constant Effect	Self	
00259CBB	AbPerkNocturnalFortitude	Nocturnal Fortitude		Ability	Constant Effect	Self	
002BDB3C	MoM_PhantomDeviceSpell	Phantom Device		Spell	Fire and Forget	Self	
002D0839	SFZ03_Queen_FlatwoodsBuff	Flatwoods Knowledge		Spell	Fire and Forget	Target Actor	
002D083A	SFZ03_Queen_GraftonBuff	Grafton Knowledge		Spell	Fire and Forget	Self	
002D083B	SFZ03_Queen_MothmanBuff	Mothman Knowledge		Spell	Fire and Forget	Self	
002D083E	SFZ03_Queen_SnallygasterBuff	Snallygaster Knowledge		Spell	Fire and Forget	Self	
002D083F	SFZ03_Queen_WendigoBuff	Wendigo Knowledge		Spell	Fire and Forget	Self	
001C7A50	CBZ09_Robot_HealthBoostAndRegen			Ability	Constant Effect	Self	
00201F94	TESTIModSpell	Test Imod Spell		Spell	Fire and Forget	Self	
002C0882	FFZ16_Swatter_VertibirdHealthRegen	Regenerate Health		Ability	Constant Effect	Self	
000762B5	SURV_OverEncumbered_Ability	Overencumbered		Ability	Constant Effect	Self	
00093D8F	crFlatwoodsMonsterHealSpell	Flatwoods Heal Friend		Spell	Fire and Forget	Target Actor	
002DB870	AbPerkPowerUser	Power User		Ability	Constant Effect	Self	
002DB86A	AbPerkPhotosynthetic	Photosynthetic		Ability	Constant Effect	Self	
