QuestFormID	QuestEDID	QuestName	AliasIndex	AliasID	AliasName	AliasLabel	AliasKind	AliasFlags	FillLinks	Conditions	Scripts
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	13	5	DungeonBoss	Alias	Ref	Optional	ALRT=00003956:LocationClearActor:LCRT		
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	14	7	DecoyDungeon1	Alias	Loc	Optional			
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	15	11	DecoyMapMarker1	Alias	Ref	Optional	ALRT=0002271F:MapMarkerRefType:LCRT		
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	16	8	DecoyDungeon2	Alias	Loc	Optional			
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	17	12	DecoyMapMarker2	Alias	Ref	Optional	ALRT=0002271F:MapMarkerRefType:LCRT		
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	18	9	DecoyDungeon3	Alias	Loc	Optional			
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	19	13	DecoyMapMarker3	Alias	Ref	Optional	ALRT=0002271F:MapMarkerRefType:LCRT		
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	20	10	DecoyDungeon4	Alias	Loc	Optional			
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	21	14	DecoyMapMarker4	Alias	Ref	Optional	ALRT=0002271F:MapMarkerRefType:LCRT		
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	22	19	ParadeMarker	Alias	Ref	Optional ; Allow Reuse in Quest	ALFF=0002271F:MapMarkerRefType:LCRT	10000000|0.000000|HasLoaded3D|00 00 00|00 00|00 00 00 00|00 00 00 00|0|-1|Subject| ; 01001100|GQ_HordeAlphaParadeMinDistance [GLOB:003807EB]|GetDistance|00 00 00|00 00|017|00 00 00 00|0|-1|Subject| ; 01000100|GQ_HordeAlphaParadeMinDistance [GLOB:003807EB]|GetDistance|00 00 00|00 00|Vault76MapMarker [REFR:000B1051] (Places MapMarker [STAT:00000010] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at -26,22)|00 00 00 00|0|-1|Subject| ; 01000100|GQ_HordeAlphaParadeMinDistance [GLOB:003807EB]|GetDistance|00 00 00|00 00|FoundationMapMarker [REFR:002C7635] (Places MapMarker [STAT:00000010] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at 9,-26)|00 00 00 00|0|-1|Subject| ; 01000100|GQ_HordeAlphaParadeMinDistance [GLOB:003807EB]|GetDistance|00 00 00|00 00|TheCraterMapMarker [REFR:000616AC] (Places MapMarker [STAT:00000010] in [CELL:00050B2C] (in APPALACHIA "Appalachia" [WRLD:0025DA15]) at 6,48)|00 00 00 00|0|-1|Subject| ; 10001000|1.000000|IsInSameCurrentLocationAsRefAlias|00 00 00|00 00|016 AlphaSpawnMarker|LocTypeRegion [KYWD:0009B044]|0|-1|Subject|	
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	23	21	SwarmStartMarker	Alias	Ref	Optional ; Allow Reuse in Quest	ALFF=0002271F:MapMarkerRefType:LCRT	01001100|GQ_HordeSwarmStartMinDistance [GLOB:003822D0]|GetDistance|00 00 00|00 00|017|00 00 00 00|0|-1|Subject| ; 10000000|1.000000|GetInCurrentLocationAlias|00 00 00|00 00|001 Region|00 00 00 00|0|-1|Subject|	
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	25	22	RewardPlayers01	Alias	RefCol	Optional			
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	27	23	RewardPlayers02	Alias	RefCol	Optional			
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	29	24	RewardPlayers03	Alias	RefCol	Optional			
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	31	25	RewardPlayers04	Alias	RefCol	Optional			
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	33	26	RewardPlayersAlphaFound	Alias	RefCol	Optional			
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	35	28	RewardPlayersAlphaKilled	Alias	RefCol	Optional			
0000123F	GQ_Horde	Activity: <Alias.Race=Alpha> Horde: <Alias=Region>	36	29	AlphaRef	Alias	Ref	Optional			
0000418B	TW006	Activity: Protest March	0	0	GraftonLocation	Alias	Loc	Flags	ALFL=0006DE2D:LocToxicGraftonLocation:LCTN		
0000418B	TW006	Activity: Protest March	1	2	GraftonCenter	Alias	Ref	Flags	ALFR=003C47CC:TW006CenterMarker:REFR		
0000418B	TW006	Activity: Protest March	3	12	players	Alias	RefCol	Optional ; Allow Reuse in Quest			
0000418B	TW006	Activity: Protest March	5	3	ScorchedFirst	Alias	RefCol	Optional ; Create Ref - Temp	ALSP=008A6031:crEnemyNormalization_Events_NormalEnemy_Spell:SPEL ; ALFC=0002689D:MirelurkFaction:FACT ; ALFC=00058305:SuperMutantFaction:FACT ; ALFC=00077C6C:FeralGhoulFaction:FACT ; ALPC=0008E625:TWZ01_ScorchedHorde:PACK		
0000418B	TW006	Activity: Protest March	7	13	RobotsSecond	Alias	RefCol	Optional ; Create Ref - Temp	ALSP=008A6031:crEnemyNormalization_Events_NormalEnemy_Spell:SPEL ; ALFC=0002689D:MirelurkFaction:FACT ; ALFC=00058305:SuperMutantFaction:FACT ; ALFC=00077C6C:FeralGhoulFaction:FACT ; ALPC=0008E625:TWZ01_ScorchedHorde:PACK ; VTCK=004EDBA7:TW006RobotVoices:FLST		
0000418B	TW006	Activity: Protest March	9	14	ScorchedThird	Alias	RefCol	Optional ; Create Ref - Temp	ALSP=008A6031:crEnemyNormalization_Events_NormalEnemy_Spell:SPEL ; ALFC=0002689D:MirelurkFaction:FACT ; ALFC=00058305:SuperMutantFaction:FACT ; ALFC=00077C6C:FeralGhoulFaction:FACT ; ALPC=0008E625:TWZ01_ScorchedHorde:PACK		
0000418B	TW006	Activity: Protest March	10	9	TransmitterTown	Alias	Ref	Uses Stored Text	ALFR=0004DB42:TWGraftonTownRadioMarker:REFR ; ALDN=0004DB4E:RadioDisplayToxicValley:MESG ; VTCK=0004DB33:TWGraftonMayorVoice:NPC_		
0000418B	TW006	Activity: Protest March	12	11	PAspeakiers	Alias	RefCol	Flags	ALRT=002C6976:TWZ07_GraftonLoudspeakerLRT:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	0	0	Lab_Location	Alias	Loc	Flags	ALFL=00093ADE:LocMountainsMonongahLocation:LCTN		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	1	62	TargetNameSaved01	Alias	Loc	Optional ; Stores Text			
000043A2	MTNS05_Voices	Daily: Someone To Talk To	2	63	TargetNameSaved02	Alias	Loc	Optional ; Stores Text			
000043A2	MTNS05_Voices	Daily: Someone To Talk To	3	64	TargetNameSaved03	Alias	Loc	Optional ; Stores Text			
000043A2	MTNS05_Voices	Daily: Someone To Talk To	4	44	HoldingMarker_Location	Alias	Loc	Flags	ALFL=00039CED:MTNHoldingCellLocation:LCTN		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	5	74	MoleRatLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsMoleratLocRefType [LCRT:0050DD2F]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	6	76	ViciousDogLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsViciousDogLocRefType [LCRT:004357A6]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	7	77	YaoGuaiLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsYaoGuaiLocRefType [LCRT:004398C1]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	8	78	RadStagLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsRadstagLocRefType [LCRT:0043CC48]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	9	79	BrahminLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsBrahminLocRefType [LCRT:0043CC63]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	10	80	DeathclawLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsDeathclawLocRefType [LCRT:0050E4A4]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	11	81	AnglerLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsAnglerLocRefType [LCRT:0043CC69]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	12	82	RadRatLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsRadRatLocRefType [LCRT:0043CC6D]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	13	83	WolfLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsWolfLocRefType [LCRT:0050DD2C]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	14	84	RabbitLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsRabbitLocRefType [LCRT:0043CC73]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	15	85	RadToadLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsRadToadLocRefType [LCRT:0043CC8D]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	16	86	BeaverLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsBeaverLocRefType [LCRT:0043CCAF]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	17	87	MegaSlothLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsMegaSlothLocRefType [LCRT:0043CCAA]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	18	88	CatLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsCatLocRefType [LCRT:0043CCF4]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	19	89	OpossumLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsOpossumLocRefType [LCRT:0043CCD1]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	20	90	SquirrelLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsSquirrelLocRefType [LCRT:0043CCE1]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	21	91	FoxLocation	Alias	Loc	Optional ; Allow Reuse in Quest ; Allow Reserved ; Allow Cleared		10000000|1.000000|LocationHasRefType|00 00 00|00 00|CreatureHomelandsFoxLocRefType [LCRT:0043CCC0]|00 00 00 00|0|-1|Subject|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	22	1	VoxTerminal	Alias	Ref	Flags	ALRT=00120A05:MTNS05_Terminal_LocRef:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	23	6	currentPlayer	Alias	Ref	Allow Dead	Keyword=0018F95E:MTNS05_Voices_QuestActive_Keyword:KYWD	00110100|SQ_TimestampToday [GLOB:00117B42]|GetValue|00 00 00|00 00|DailyQuestAVRegionMountains_MTNS05_Voices [AVIF:004F473B]|00 00 00 00|0|-1|Subject| ; 10010000|1.000000|GetEventData|00 00 00|00 00|GetIsID:Keyword1|MTNS05_Voices_Quest_Keyword [KYWD:0018F95C]|0|None|Event Data|	
000043A2	MTNS05_Voices	Daily: Someone To Talk To	24	43	HoldingMarker	Alias	Ref	Flags	ALRT=00098C9A:MTNS05_HoldingMarker_LocRef:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	25	61	VoxInterpreterHolotape	Alias	Ref	Quest Object ; Create Ref - Temp	ALCO=002AB56F:MTNS05_VoxInterpreterHolotape:NOTE		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	26	46	CurrentTarget01	Alias	Ref	Optional ; Create Ref - Temp			
000043A2	MTNS05_Voices	Daily: Someone To Talk To	27	49	CurrentTarget02	Alias	Ref	Optional ; Create Ref - Temp			
000043A2	MTNS05_Voices	Daily: Someone To Talk To	28	50	CurrentTarget03	Alias	Ref	Optional ; Create Ref - Temp			
000043A2	MTNS05_Voices	Daily: Someone To Talk To	30	57	CurrentTargetsVoice	Alias	RefCol	Optional	ALFV=002AAD63:AnnouncerM_MTNS05_CreatureVoxIntepreter:VTYP ; VTCK=002AAD63:AnnouncerM_MTNS05_CreatureVoxIntepreter:VTYP		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	31	65	SyringerContainer	Alias	Ref	Quest Object	ALRT=005182FB:MTNS05_Container_LocRef:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	32	66	VoxSyringer	Alias	Ref	Optional ; Quest Object ; Create Ref - Temp	ALCO=003C5F5B:MTNS05_LL_PipeSyringer_Vox_QuestItem:LVLI		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	34	67	FleeingCreatures	Alias	RefCol	Optional	ALPC=0043A350:MTNS05_CreatureFlee:PACK		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	35	92	MoleRatMarker	Alias	Ref	Allow Reserved	ALRT=0050DD2F:CreatureHomelandsMoleratLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	36	94	ViciousDogMarker	Alias	Ref	Allow Reserved	ALRT=004357A6:CreatureHomelandsViciousDogLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	37	95	YaoGuaiMarker	Alias	Ref	Allow Reserved	ALRT=004398C1:CreatureHomelandsYaoGuaiLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	38	96	RadStagMarker	Alias	Ref	Allow Reserved	ALRT=0043CC48:CreatureHomelandsRadstagLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	39	97	BrahminMarker	Alias	Ref	Allow Reserved	ALRT=0043CC63:CreatureHomelandsBrahminLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	40	98	DeathclawMarker	Alias	Ref	Allow Reserved	ALRT=0050E4A4:CreatureHomelandsDeathclawLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	41	99	AnglerMarker	Alias	Ref	Allow Reserved	ALRT=0043CC69:CreatureHomelandsAnglerLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	42	100	RadRatMarker	Alias	Ref	Allow Reserved	ALRT=0043CC6D:CreatureHomelandsRadRatLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	43	101	WolfMarker	Alias	Ref	Allow Reserved	ALRT=0050DD2C:CreatureHomelandsWolfLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	44	102	RabbitMarker	Alias	Ref	Allow Reserved	ALRT=0043CC73:CreatureHomelandsRabbitLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	45	103	RadToadMarker	Alias	Ref	Allow Reserved	ALRT=0043CC8D:CreatureHomelandsRadToadLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	46	104	BeaverMarker	Alias	Ref	Allow Reserved	ALRT=0043CCAF:CreatureHomelandsBeaverLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	47	105	MegaSlothMarker	Alias	Ref	Allow Reserved	ALRT=0043CCAA:CreatureHomelandsMegaSlothLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	48	106	CatMarker	Alias	Ref	Allow Reserved	ALRT=0043CCF4:CreatureHomelandsCatLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	49	107	OpossumMarker	Alias	Ref	Allow Reserved	ALRT=0043CCD1:CreatureHomelandsOpossumLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	50	108	SquirrelMarker	Alias	Ref	Allow Reserved	ALRT=0043CCE1:CreatureHomelandsSquirrelLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	51	109	FoxMarker	Alias	Ref	Optional ; Allow Reserved	ALRT=0043CCC0:CreatureHomelandsFoxLocRefType:LCRT		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	52	71	QTArea01	Alias	Ref	Optional ; Allow Reserved			
000043A2	MTNS05_Voices	Daily: Someone To Talk To	53	72	QTArea02	Alias	Ref	Optional ; Allow Reserved			
000043A2	MTNS05_Voices	Daily: Someone To Talk To	54	73	QTArea03	Alias	Ref	Optional ; Allow Reserved			
00009179	GQ_WorkshopAttack_Takeover	Event: Retake <Alias=AttackLocation>	0	1	Workshop	Alias	Ref	Reserves Location/Reference ; Allow Reserved			
00009179	GQ_WorkshopAttack_Takeover	Event: Retake <Alias=AttackLocation>	1	0	AttackLocation	Alias	Loc	Stores Text ; Allow Reserved ; Allow Cleared ; Unknown 25			
00009179	GQ_WorkshopAttack_Takeover	Event: Retake <Alias=AttackLocation>	2	4	CenterMarker	Alias	Ref	Flags	ALRT=0001F40F:LocationCenterMarker:LCRT		
00009179	GQ_WorkshopAttack_Takeover	Event: Retake <Alias=AttackLocation>	4	3	Attackers	Alias	RefCol	Optional ; Create Ref - Temp	ECOR=0017E6B0:RELinkSandboxHoldPositionList:FLST ; Keyword=0003085E:RELinkSandbox:KYWD ; ALFC=001125FE:GQ_WorkshopAttackFaction:FACT ; ALPC=0045036F:GQ_WorkshopTakeoverSandboxExteriorWeaponOut_5000:PACK ; ALPC=0045036E:GQ_WorkshopTakeoverSandboxExteriorWeaponOut_4000:PACK ; ALPC=0017E6C7:GQ_WorkshopTakeoverSandboxExteriorWeaponOut:PACK		
00009179	GQ_WorkshopAttack_Takeover	Event: Retake <Alias=AttackLocation>	5	14	AttackerName	Alias	Ref	Optional ; Stores Text			
00009179	GQ_WorkshopAttack_Takeover	Event: Retake <Alias=AttackLocation>	7	15	players	Alias	RefCol	Optional	ALFC=0069FA03:GQ_WorkshopAttackPlayerFaction:FACT		
0000FFED	FF09_Reaper	Activity: Fertile Soil	0	12	APPALACHIA	Alias	Loc	Allow Reserved ; Allow Cleared	ALFL=00095004:RegionForestFloodlandsLocation:LCTN		
0000FFED	FF09_Reaper	Activity: Fertile Soil	1	0	QuestLocation	Alias	Loc	Allow Reserved	ALFL=0000FBB9:LocForestVaultTecAgCenterLocation:LCTN		
0000FFED	FF09_Reaper	Activity: Fertile Soil	2	4	Unit000	Alias	Ref	Optional	ALFR=00012CCA:AgCenterTerminalREF:REFR ; NAM7=000125AF:AgCenterQuestTerminal:TERM		
0000FFED	FF09_Reaper	Activity: Fertile Soil	3	5	Mainframe	Alias	Ref	Optional	ALFR=0004D8BE:AgCenterMainframeTerminalREF:REFR ; NAM7=00379692:AgCenterQuestCentralTerminal:TERM		
0000FFED	FF09_Reaper	Activity: Fertile Soil	4	21	SupervisorCenter	Alias	Ref	Flags	ALFR=00013D00:FF09_Reaper_EventRoot:REFR		
0000FFED	FF09_Reaper	Activity: Fertile Soil	5	23	Supervisor01Marker	Alias	Ref	Allow Reuse in Quest	ALFR=0000BFB6:FF09_Boss1Marker:REFR		
0000FFED	FF09_Reaper	Activity: Fertile Soil	6	24	Supervisor01	Alias	Ref	Optional ; Uses Stored Text ; Create Ref - Temp ; External Alias - Linked	ALCO=00293A01:LvlReaperBotSupervisor:NPC_ ; ALDN=0000C079:FF09SupervisorName01:MESG ; ALSP=008A6031:crEnemyNormalization_Events_NormalEnemy_Spell:SPEL		
0000FFED	FF09_Reaper	Activity: Fertile Soil	7	25	Supervisor02Marker	Alias	Ref	Allow Reuse in Quest	ALFR=0000C082:FF09_Boss2Marker:REFR		
0000FFED	FF09_Reaper	Activity: Fertile Soil	8	26	Supervisor02	Alias	Ref	Optional ; Uses Stored Text ; Create Ref - Temp ; External Alias - Linked	ALCO=00293A01:LvlReaperBotSupervisor:NPC_ ; ALDN=0000C07A:FF09SupervisorName02:MESG ; ALSP=008A6031:crEnemyNormalization_Events_NormalEnemy_Spell:SPEL		
0000FFED	FF09_Reaper	Activity: Fertile Soil	9	27	Supervisor03Marker	Alias	Ref	Allow Reuse in Quest	ALFR=00432FC1:FF09_Boss3Marker001:REFR		
0000FFED	FF09_Reaper	Activity: Fertile Soil	10	28	Supervisor03	Alias	Ref	Optional ; Uses Stored Text ; Create Ref - Temp ; External Alias - Linked	ALCO=00293A01:LvlReaperBotSupervisor:NPC_ ; ALDN=0000C07E:FF09SupervisorName03:MESG ; ALSP=008A6031:crEnemyNormalization_Events_NormalEnemy_Spell:SPEL		
0000FFED	FF09_Reaper	Activity: Fertile Soil	12	37	ReaperBotPosse01	Alias	RefCol	Create Ref - Temp	ALCO=0003E058:LvlReaperBotMixed:NPC_ ; ALSP=008A6031:crEnemyNormalization_Events_NormalEnemy_Spell:SPEL		
0000FFED	FF09_Reaper	Activity: Fertile Soil	14	38	ReaperBotPosse02	Alias	RefCol	Create Ref - Temp	ALCO=0003E058:LvlReaperBotMixed:NPC_ ; ALSP=008A6031:crEnemyNormalization_Events_NormalEnemy_Spell:SPEL		
0000FFED	FF09_Reaper	Activity: Fertile Soil	16	39	ReaperBotPosse03	Alias	RefCol	Create Ref - Temp	ALCO=0003E058:LvlReaperBotMixed:NPC_ ; ALSP=008A6031:crEnemyNormalization_Events_NormalEnemy_Spell:SPEL		
0000FFED	FF09_Reaper	Activity: Fertile Soil	17	40	VTAgCenterCOC	Alias	Ref	Flags	ALFR=00432FC2:FF09CenterMarkerREF:REFR		
0000FFED	FF09_Reaper	Activity: Fertile Soil	19	41	players	Alias	RefCol	Optional			
00011CCC	GQ_WorkshopAttackScorchbeasts	Event: Defend <Alias=AttackLocation>	0	10	regionLocation	Alias	Loc	Allow Reuse in Quest ; Allow Reserved ; Allow Cleared			
00011CCC	GQ_WorkshopAttackScorchbeasts	Event: Defend <Alias=AttackLocation>	1	15	WorkshopMasterMarker	Alias	Ref	Allow Disabled ; Allow Reserved	ALFR=00062549:WorkshopHoldingCellMarker:REFR		
