ACTI_FormID	ACTI_EDID	ACTI_FULL	XALG_Flags	CanBeInstanced	KeywordCount	KW_1	KW_2	KW_3	KW_4	KW_5	KW_6	PropCount	Prop_1_AV	Prop_1_Val	Prop_1_Curve	Prop_2_AV	Prop_2_Val	Prop_2_Curve	Prop_3_AV	Prop_3_Val	Prop_3_Curve	Prop_4_AV	Prop_4_Val	Prop_4_Curve	Prop_5_AV	Prop_5_Val	Prop_5_Curve	Prop_6_AV	Prop_6_Val	Prop_6_Curve	VMAD_ScriptCount	VMAD_Scripts
00000022	DefaultAshPile2	Ash Pile			1	0018FB4B:IsAshpile:KYWD						0																			0	
000057FE	DefaultStartQuestTrigger				0							0																			1	DefaultStartQuestOnTriggerEnter::=
0001D306	Fusebox01	Fusebox			1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##Default2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
0001DB98	PlayerVoiceTrigger				0							0																			1	PlayerVoiceTriggerScript::=
0001ED64	VaultControlPanel	Control Panel			0							0																			0	
00042909	VaultElevatorFX				0							0																			0	
0004946F	DefaultEnableDisableTrigger				0							0																			1	DefaultEnableDisableTrigScript::=
00049C62	Water1024ExtRiverOhio				0							0																			0	
00051876	vaultExitCommonWealth				0							0																			0	
00054BD1	GnatSwarm01				0							0																			1	BugSwarmFXScript::=
0001902B	RoachScareTrigger				0							0																			1	RoachScareScript::=
00020C39	vaultExitElevatorDown				0							0																			0	
00022210	PfbBarredDoorChainsDbl01	Chain			0							0																			1	DoorChain::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
000244EF	VltElevator				0							0																			0	
00024A92	WorkshopPowerConnectorCeiling01	Ceiling Power Conduit			3	0003037E:WorkshopCanBePowered:KYWD	00054BA4:WorkshopPowerConnectionKW:KYWD	001CD02B:BlockPlayerActivation:KYWD				2	PowerRadiation	500.000000	NULL - Null Reference [00000000]	WorkshopItemClampDirection	1.000000	NULL - Null Reference [00000000]													0	
000250E2	WorkshopNPCSpawner	Spawn Workshop NPC			0							0																			0	
00030386	WorkshopGenerator	Generator - Small	Camera Weapon Detectable	False	2	0004455B:WorkshopStartPoweredOn:KYWD	00054BA4:WorkshopPowerConnectionKW:KYWD					3	PowerGenerated	3.000000	NULL - Null Reference [00000000]	WorkshopLevelObject	1.000000	NULL - Null Reference [00000000]	WorkshopBudgetObjectMultiplier	2.000000	NULL - Null Reference [00000000]										2	DefaultBlockActivationOnLoad::=##WorkshopObjectScript::WorkshopParent=0002058E:WorkshopParent:QUST
000330C2	VltGearDoor01				1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	VaultDefault2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##VaultDefault2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
0003B695	DefaultDummy	Default Dummy			0							0																			0	
0004C41B	PlayBinkMarker				0							0																			1	PlayBinkOverLoadScript::=
00056330	RedRGarageDoor				1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##Default2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
00058837	WorkshopGeneratorMedium	Generator - Medium	Camera Weapon Detectable	False	2	0004455B:WorkshopStartPoweredOn:KYWD	00054BA4:WorkshopPowerConnectionKW:KYWD					3	PowerGenerated	5.000000	NULL - Null Reference [00000000]	WorkshopLevelObject	1.000000	NULL - Null Reference [00000000]	WorkshopBudgetObjectMultiplier	2.000000	NULL - Null Reference [00000000]										2	DefaultBlockActivationOnLoad::=##WorkshopObjectScript::WorkshopParent=0002058E:WorkshopParent:QUST
0005F38D	AttachRefRotate01				0							0																			0	
00068D10	RadarBlip01				0							0																			0	
0006AADB	AttachRefPlatform3450				0							0																			0	
0006D6D3	AudioRepeaterActivator				0							0																			1	AudioRepeaterActivator::=
00074841	RadioBoxStatic_Off	Radio			0							1	WorkshopAnythingIsGround	1.000000	NULL - Null Reference [00000000]																0	
0007CE79	SecurityGateSm01				1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##Default2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
0007EB05	TargetDummy01				0							0																			0	
00081574	HollyShrubSmallTrimmedAnimatingACT				0							0																			0	
00084ECA	HitWinIntShutters01_Opens45Degrees				1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default2StateActivator::closeAnim=Play02ToState01##Default2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##Default2StateActivator::openAnim=Play01ToState02##Default2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
00090E86	BunExtMidTower				1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##Default2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
0009142E	AshPile01	Ash Pile			1	0018FB4B:IsAshpile:KYWD						0																			0	
00093EA7	SecurityGateSm02				1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##Default2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
00093EAA	SecurityGateLg01				1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##Default2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
00093EAC	SecurityGateLg02				1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##Default2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
0003000C	CUT_loot_capsStash_tin_DONOTPLACE	Caps Stash			0							0																			2	capsStashScript::CapCollector01=0004C942:CapCollector01:PERK##capsStashScript::CapCollector02=001ACF98:zzz_CapCollector02:PERK##capsStashScript::CapCollector03=001ACF99:zzz_CapCollector03:PERK##capsStashScript::CapCollectorSuccessSound=00212ED4:FXExplosionPerkMoneyShotLAYER2D:SNDR##capsStashScript::Caps001=0000000F:Caps001:CNCY##capsStashScript::CapsBobbleheadPerk=0006167C:Bobblehead_CapsPerk:PERK##PerkPlayLocationalAudio::RequiredPerk=00518504:FortuneFinder01:PERK##PerkPlayLocationalAudio::SoundToPlay=00518503:UIPerkSonarBCapsStash:SNDR
00031E0B	test_FXtest01				0							0																			0	
0003C62C	RadioTransmitMarker	Radio Station			0							0																			0	
0003C630	RelayTowerTestRadio	Radio			0							0																			0	
000450F1	RelayTowerPublic				0							0																			0	
000539CB	platformhelperfree01				1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	PlatformHelperFreeScript::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##PlatformHelperFreeScript::fDuration=5.000000##PlatformHelperFreeScript::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
00055ED8	RotateHelperFree				0							0																			0	
000560E1	LightbulbPowered01	Light			1	0003037E:WorkshopCanBePowered:KYWD						1	WorkshopItemClampDirection	1.000000	NULL - Null Reference [00000000]																1	LightbulbOnOffScript::LightToSpawnIfPowered=000560DF:workshopLightbulbLight:LIGH
0006D133	PfbBarredDoorChains01	Chain			0							0																			1	DoorChain::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
0006D13B	ConButtonStand01	Button			1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default1StateActivator::=
0008BAE2	FixupTrigger				0							0																			1	gamejam:fixupTrigScript::LinkCustom01=0005D5E6:LinkCustom01:KYWD##gamejam:fixupTrigScript::LinkCustom02=0005D5E7:LinkCustom02:KYWD
00090BAC	tpSmelterButton	Smelt Contents			1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default1StateActivator::Anim=Stage2
00098163	PackageLocationPrimitive				0							0																			0	
000998F4	IDCardReader01	ID Card Reader			1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	IDCardReaderScript::DisableAccessRestrictions=00382706:DisableAccessRestrictions:GLOB##IDCardReaderScript::IDCardReaderMessageFailConditions=004DDE80:IDCardReaderMessageFailConditions:MESG##IDCardReaderScript::IDCardReaderMessageLockdown=00047FD1:IDCardReaderMessageLockdown:MESG##IDCardReaderScript::IDCardReaderMessageNeedsCard=000EEB73:IDCardReaderMessageNeedsCard:MESG##IDCardReaderScript::OBJKeyCardActivateFail=00197504:OBJKeyCardActivateFail:SNDR##IDCardReaderScript::RequiresAccessConditions=False
000998F8	Panel_Intercom	Intercom			0							0																			0	
0009A696	ConcordMuseumLightDisplayTrigger				0							0																			0	
0009BFFE	LoadElevatorAttachHelper				0							0																			0	
0009C014	TransitionCellBound				0							0																			0	
0009C01C	LoadElevatorMaster	Default Dummy			0							0																			0	
0009CB97	LedDisplay01				0							0																			0	
0009DC99	LoadElevatorCallButtonUtility	Call Button			1	005A3C59:IgnoreQuestTargetMarkerOffsetKeyword:KYWD						0																			0	
0009F946	DoNotUseLPI_TrapFloraThistle	Irradiated Thistle			1	002EFE35:ReEvalOnNuke:KYWD						0																			1	TrapThistleScript::ExplosionToPlace=00230327:ExplosionThistleTrap:EXPL##TrapThistleScript::hazardToPlace=00092535:RadiationHazardStrong512:HAZD##TrapThistleScript::Thistle=0009F24B:ThistleHerb:ALCH
0009F981	loadlightloop01				0							0																			0	
000A1404	DummyTriggerBoxCone01				0							0																			0	
000A2C52	IndCatCircle256Collapse01				0							0																			0	
000A3A59	IndCat1WayExtendable01				1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##Default2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
000A78F5	ElevatorCallButton01	Call Button			2	0052B545:AllowNonActorToAnimateOnServer:KYWD	005A3C59:IgnoreQuestTargetMarkerOffsetKeyword:KYWD					0																			1	Default2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##Default2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
000B11EA	ElevatorLiftButton01	Elevator Panel			2	0052B545:AllowNonActorToAnimateOnServer:KYWD	005A3C59:IgnoreQuestTargetMarkerOffsetKeyword:KYWD					0																			1	Default2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##Default2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
000B11EC	ElevatorMeter01				0							0																			0	
000B9807	RadioBoxStatic_On	Radio			0							0																			0	
000BB48A	SecurityGateSm01A				1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##Default2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
000BB48B	SecurityGateSm02A				1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##Default2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
000BB7C6	TorpedoBlip01				0							0																			0	
000BB7F7	nauticalswitch01				0							0																			0	
000BBCCE	TorpedoBlip				0							0																			0	
000C3676	Vault_Sink_01Activator	Sink			2	0022262C:WaterFountainTypeDirty:KYWD	0052B545:AllowNonActorToAnimateOnServer:KYWD					0																			1	WaterSourceActivatorScript::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##WaterSourceActivatorScript::DrinkingSpell=000B1ECD:WaterFountainDrinkingDirty:SPEL##WaterSourceActivatorScript::NPCHumanDrinkHandLoop=0005C3D1:NPCHumanDrinkHandLoop:SNDR##WaterSourceActivatorScript::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
000CAB98	TurretMountedAshPile	Turret			1	0018FB4B:IsAshpile:KYWD						0																			0	
000E5F93	HitSwitchDoorExLg01				1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##Default2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
000E6F69	SubwayAnnouncementsRadio				0							0																			1	SubwayPAscript::staticFrequency=109.800003
000E7E6F	FuseBox_Box	Fuse Box			0							0																			1	FuseBox_BoxScript::Fuse=00091FDE:PowerRelayCoil:MISC##FuseBox_BoxScript::FuseBox_Notification=000E7E7F:FuseBox_Notification:MESG##FuseBox_BoxScript::LinkCustom01=0005D5E6:LinkCustom01:KYWD##FuseBox_BoxScript::LinkCustom02=0005D5E7:LinkCustom02:KYWD##FuseBox_BoxScript::LinkCustom03=0005D5E8:LinkCustom03:KYWD##FuseBox_BoxScript::LinkCustom04=0005D5FE:LinkCustom04:KYWD
000E7E70	ChipBoard_Base	Relay System			0							0																			0	
000E7E80	FuseBox_Trigger	Fuse Box			0							0																			0	
000E7E83	DefaultActivator	Default Activator			0							0																			0	
000E8DC9	LoadElevatorCallButtonPublic	Call Button			1	005A3C59:IgnoreQuestTargetMarkerOffsetKeyword:KYWD						0																			0	
000EB1D0	TrapExplOilPool01	Oil	Server Authoritative		1	00186401:ObjectTypeTrap:KYWD						0																			1	TrapExplOil::checkActorEquippedItems=False##TrapExplOil::ExplosionTrapOil=000EB31A:ExplosionTrapOil:EXPL##TrapExplOil::P01C_Tadpole_IgniteOilTrap=00536DA2:CUT_Challenge_Lifetime_Quest_P01C_Tadpole_Badge_Possum_Backpacker_Sub_IgniteOilTrap:CHAL##TrapExplOil::TrapExplGasWeapon=000EBD91:TrapExplGasWeapon:FLST##TrapExplOil::TrapExplOnEnter=000EBD6F:TrapExplOnEnter:FLST##TrapExplOil::TrapExplOnHit=000EBD70:TrapExplOnHit:FLST##TrapExplOil::TrapExplOnMagicEffectApply=000EBD71:TrapExplOnMagicEffectApply:FLST
000EB22A	TrapExplGas01		Server Authoritative		1	00186401:ObjectTypeTrap:KYWD						0																			1	TrapExplGas::TrapExplGasWeapon=000EBD91:TrapExplGasWeapon:FLST##TrapExplGas::TrapExplOnEnter=000EBD6F:TrapExplOnEnter:FLST##TrapExplGas::TrapExplOnHit=000EBD70:TrapExplOnHit:FLST##TrapExplGas::TrapExplOnMagicEffectApply=000EBD71:TrapExplOnMagicEffectApply:FLST
000EB4D4	TrapTrigPlate01	Bathroom Scale			2	00186407:ObjectTypeTrapTrigger:KYWD	0045039E:TrapHomeDefense1:KYWD					0																			1	traptripwire::bDisarmDisables=True##traptripwire::RequiredDisarmPerks=003896F6:HomeDefense01:PERK##traptripwire::SetAnim=JumpState01##traptripwire::SoundArray=000ED8A3:TRPDisarmLoTech:SNDR##traptripwire::TrapDisarmedReward=0019DE2F:TrapTriggerPlateReward:LVLI##traptripwire::TrapDisarmXPReward=0022499C:TrapDisarmXPReward:GLOB##traptripwire::TrapMessageCannotDisarm=0020CE31:TrapMessageCannotDisarm:MESG##traptripwire::TrapMessageDisarm=003A9100:TrapMessageDisarm:MESG##traptripwire::TrapMessageTrigger=003A9116:TrapMessageTrigger:MESG##traptripwire::TriggerAnim=Play01
000EBDA2	TrapIEDCigarCarton	Makeshift Bomb	Server Authoritative		2	00186401:ObjectTypeTrap:KYWD	0045039E:TrapHomeDefense1:KYWD					0																			1	TrapMain::DefaultHostileDetectionActorRef=003A9160:DefaultHostileDetectionActorRef:ACHR##TrapMain::DisarmDisables=True##TrapMain::FireTrapAnim=##TrapMain::FireTrapAnimEndEvent=##TrapMain::HostileDetectionEventFaction=003A9145:HostileDetectionEventFaction:FACT##TrapMain::ReFireTime=0.000000##TrapMain::RequiredDisarmPerks=003896F6:HomeDefense01:PERK##TrapMain::SelfDamageOnFire=50.000000##TrapMain::SoundArray=000ED8A3:TRPDisarmLoTech:SNDR##TrapMain::TrapDisarmedReward=000F2459:TrapIEDCigarCartonReward:LVLI##TrapMain::TrapDisarmXPReward=0022499C:TrapDisarmXPReward:GLOB##TrapMain::TrapMessageCannotDisarm=0020CE31:TrapMessageCannotDisarm:MESG##TrapMain::TrapMessageDisarm=003A9100:TrapMessageDisarm:MESG##TrapMain::TrapMessageTrigger=003A9116:TrapMessageTrigger:MESG##TrapMain::WarnAnim=Trip##TrapMain::WarnAnimEndEvent=tripped##TrapMain::WorkshopDestructibleObjectFaction=0033A7E9:WorkshopDestructibleObjectFaction:FACT##TrapMain::WorkshopNoRepairKeyword=001E5DCC:WorkshopNoRepairKeyword:KYWD
000ED13A	PackageSandboxPrimitive				0							0																			0	
000EEFB5	PowerLiftCart01				0							0																			0	
000EEFBB	PowerLiftRamp01				0							0																			0	
000EEFBD	PowerLiftButton01	Button			1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default1StateActivator::=
000F255C	PowerLiftBox01				0							0																			0	
000F5D8D	PlayerHouse_KitchenSink01Activator	Sink			2	0022262C:WaterFountainTypeDirty:KYWD	0052B545:AllowNonActorToAnimateOnServer:KYWD					0																			1	WaterSourceActivatorScript::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##WaterSourceActivatorScript::DrinkingSpell=000B1ECD:WaterFountainDrinkingDirty:SPEL##WaterSourceActivatorScript::NPCHumanDrinkHandLoop=0005C3D1:NPCHumanDrinkHandLoop:SNDR##WaterSourceActivatorScript::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
000F6265	SecurityBarBase01	Latch Bar			1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	securityBarScript::CaptiveFaction=0003E0C8:CaptiveFaction:FACT##securityBarScript::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##securityBarScript::LinkCaptive=000F9E13:LinkCaptive:KYWD##securityBarScript::LinkSecurityBar=00079FC1:LinkSecurityBar:KYWD##securityBarScript::LinkSecurityBarDoor=000956A8:LinkSecurityBarDoor:KYWD##securityBarScript::SecurityBarMessage=000F9DF8:SecurityBarMessage:MESG##securityBarScript::SecurityBarRattle=0018AEF8:OBJSecurityBarRattle:SNDR##securityBarScript::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
000F6525	DefaultEnableDisableChainTrigger				0							0																			1	DefaultEnableDisableChainTrigScript::=
000F7C5C	LoadElevatorCallButtonHiTech	Call Button			1	005A3C59:IgnoreQuestTargetMarkerOffsetKeyword:KYWD						0																			0	
000F9E11	CaptiveAreaVolume				0							0																			0	
000FA2E2	HitSwitchDoorExSm01				1	0052B545:AllowNonActorToAnimateOnServer:KYWD						0																			1	Default2StateActivator::DefaultAutoCloseDelay=002C76A1:DefaultAutoCloseDelay:GLOB##Default2StateActivator::TwoStateCollisionKeyword=001051E5:TwoStateCollisionKeyword:KYWD
000FA441	FarmRelaxArea				1	0005C2A3:WorkshopRelaxationObject:KYWD						0																			0	
000E27BE	BabyActivator	Shaun			1	001916C4:isPlayerChild:KYWD						0																			0	
000EAF41	TrapGrenadeBouquetFrag3Short	Grenade Bouquet			3	00186401:ObjectTypeTrap:KYWD	0045039E:TrapHomeDefense1:KYWD	0052B545:AllowNonActorToAnimateOnServer:KYWD				0																			1	TrapMain::DefaultHostileDetectionActorRef=003A9160:DefaultHostileDetectionActorRef:ACHR##TrapMain::FireTrapAnim=##TrapMain::FireTrapAnimEndEvent=##TrapMain::HostileDetectionEventFaction=003A9145:HostileDetectionEventFaction:FACT##TrapMain::RequiredDisarmPerks=003896F6:HomeDefense01:PERK##TrapMain::SoundArray=001102EC:TRPGrenadeBouquetTrigger:SNDR|000ED8A3:TRPDisarmLoTech:SNDR##TrapMain::TrapDisarmedReward=000FF27F:TrapGrenadeBouquetRewardFrag3:LVLI##TrapMain::TrapDisarmXPReward=0022499C:TrapDisarmXPReward:GLOB##TrapMain::TrapMessageCannotDisarm=0020CE31:TrapMessageCannotDisarm:MESG##TrapMain::TrapMessageDisarm=003A9100:TrapMessageDisarm:MESG##TrapMain::TrapMessageTrigger=003A9116:TrapMessageTrigger:MESG##TrapMain::WarnAnim=##TrapMain::WarnAnimEndEvent=##TrapMain::WarnTime=0.000000##TrapMain::WorkshopDestructibleObjectFaction=0033A7E9:WorkshopDestructibleObjectFaction:FACT##TrapMain::WorkshopNoRepairKeyword=001E5DCC:WorkshopNoRepairKeyword:KYWD
00100206	TrapGrenadeBouquetFrag3Medium	Grenade Bouquet			3	00186401:ObjectTypeTrap:KYWD	0045039E:TrapHomeDefense1:KYWD	0052B545:AllowNonActorToAnimateOnServer:KYWD				0																			1	TrapMain::DefaultHostileDetectionActorRef=003A9160:DefaultHostileDetectionActorRef:ACHR##TrapMain::DisarmAnim=Disarm##TrapMain::FireTrapAnim=##TrapMain::FireTrapAnimEndEvent=##TrapMain::HostileDetectionEventFaction=003A9145:HostileDetectionEventFaction:FACT##TrapMain::ReFireTime=-1.000000##TrapMain::RequiredDisarmPerks=003896F6:HomeDefense01:PERK##TrapMain::SoundArray=001102EC:TRPGrenadeBouquetTrigger:SNDR|000ED8A3:TRPDisarmLoTech:SNDR##TrapMain::TrapDisarmedReward=000FF27F:TrapGrenadeBouquetRewardFrag3:LVLI##TrapMain::TrapDisarmXPReward=0022499C:TrapDisarmXPReward:GLOB##TrapMain::TrapMessageCannotDisarm=0020CE31:TrapMessageCannotDisarm:MESG##TrapMain::TrapMessageDisarm=003A9100:TrapMessageDisarm:MESG##TrapMain::TrapMessageTrigger=003A9116:TrapMessageTrigger:MESG##TrapMain::WarnAnim=##TrapMain::WarnAnimEndEvent=##TrapMain::WarnTime=0.000000##TrapMain::WorkshopDestructibleObjectFaction=0033A7E9:WorkshopDestructibleObjectFaction:FACT##TrapMain::WorkshopNoRepairKeyword=001E5DCC:WorkshopNoRepairKeyword:KYWD
