SPEL_FormID	SPEL_EDID	EffectIndex	CondIndex	Type_Raw	Operator	AndOr	RunOn	Function	Param1	Param2	Param3	CompareValue	Reference	Condition
0004DDEF	AbPerkMovingTarget1	1	0	10000000	=	AND	Subject	HasPerk	MovingTarget02 "Moving Target" [PERK:001D2492]	00 00 00 00		1.000000	0	Subject.HasPerk(MovingTarget02 "Moving Target" [PERK:001D2492], 00 00 00 00) = 1.000000 AND
0004DDEF	AbPerkMovingTarget1	1	1	00000000	!=	AND	Subject	HasPerk	MovingTarget03 "Moving Target" [PERK:00323F8E]	00 00 00 00		1.000000	0	Subject.HasPerk(MovingTarget03 "Moving Target" [PERK:00323F8E], 00 00 00 00) != 1.000000 AND
0004DDEF	AbPerkMovingTarget1	1	2	10000000	=	AND	Subject	IsSprinting	00 00 00 00	00 00 00 00		1.000000	0	Subject.IsSprinting(00 00 00 00, 00 00 00 00) = 1.000000 AND
0004DDEF	AbPerkMovingTarget1	1	3	10000000	=	AND	Subject	WornHasKeyword	ArmorTypePower [KYWD:0004D8A1]	00 00 00 00		0.000000	0	Subject.WornHasKeyword(ArmorTypePower [KYWD:0004D8A1], 00 00 00 00) = 0.000000 AND
0004DDEF	AbPerkMovingTarget1	2	0	10000000	=	AND	Subject	HasPerk	MovingTarget03 "Moving Target" [PERK:00323F8E]	00 00 00 00		1.000000	0	Subject.HasPerk(MovingTarget03 "Moving Target" [PERK:00323F8E], 00 00 00 00) = 1.000000 AND
0004DDEF	AbPerkMovingTarget1	2	1	10000000	=	AND	Subject	IsSprinting	00 00 00 00	00 00 00 00		1.000000	0	Subject.IsSprinting(00 00 00 00, 00 00 00 00) = 1.000000 AND
0004DDEF	AbPerkMovingTarget1	2	2	10000000	=	AND	Subject	WornHasKeyword	ArmorTypePower [KYWD:0004D8A1]	00 00 00 00		0.000000	0	Subject.WornHasKeyword(ArmorTypePower [KYWD:0004D8A1], 00 00 00 00) = 0.000000 AND
0004D6B9	AbPerkRadResistance	0	0	10000000	=	AND	Subject	HasPerk	RadResistant02 "Rad Resistant" [PERK:001D247A]	00 00 00 00		0.000000	0	Subject.HasPerk(RadResistant02 "Rad Resistant" [PERK:001D247A], 00 00 00 00) = 0.000000 AND
0004D6B9	AbPerkRadResistance	1	0	10000000	=	AND	Subject	HasPerk	RadResistant02 "Rad Resistant" [PERK:001D247A]	00 00 00 00		1.000000	0	Subject.HasPerk(RadResistant02 "Rad Resistant" [PERK:001D247A], 00 00 00 00) = 1.000000 AND
0004D6B9	AbPerkRadResistance	1	1	10000000	=	AND	Subject	HasPerk	RadResistant03 "Rad Resistant" [PERK:001D247B]	00 00 00 00		0.000000	0	Subject.HasPerk(RadResistant03 "Rad Resistant" [PERK:001D247B], 00 00 00 00) = 0.000000 AND
0004D6B9	AbPerkRadResistance	2	0	10000000	=	AND	Subject	HasPerk	RadResistant03 "Rad Resistant" [PERK:001D247B]	00 00 00 00		1.000000	0	Subject.HasPerk(RadResistant03 "Rad Resistant" [PERK:001D247B], 00 00 00 00) = 1.000000 AND
0005B2E0	PerkCannibalHeal	0	0	10000000	=	AND	Subject	HasPerk	Bloodsucker01 "Bloodsucker" [PERK:00382A57]	00 00 00 00		0.000000	0	Subject.HasPerk(Bloodsucker01 "Bloodsucker" [PERK:00382A57], 00 00 00 00) = 0.000000 AND
0005B2E0	PerkCannibalHeal	1	0	10000000	=	AND	Subject	HasSpell	Mutation_Carnivore "Carnivore" [SPEL:003C4049]	00 00 00 00		0.000000	0	Subject.HasSpell(Mutation_Carnivore "Carnivore" [SPEL:003C4049], 00 00 00 00) = 0.000000 AND
0005B2E0	PerkCannibalHeal	2	0	10000000	=	AND	Subject	HasSpell	Mutation_Carnivore "Carnivore" [SPEL:003C4049]	00 00 00 00		0.000000	0	Subject.HasSpell(Mutation_Carnivore "Carnivore" [SPEL:003C4049], 00 00 00 00) = 0.000000 AND
0005B2E0	PerkCannibalHeal	3	0	10000000	=	AND	Subject	HasSpell	Mutation_Carnivore "Carnivore" [SPEL:003C4049]	00 00 00 00		1.000000	0	Subject.HasSpell(Mutation_Carnivore "Carnivore" [SPEL:003C4049], 00 00 00 00) = 1.000000 AND
0005B2E0	PerkCannibalHeal	4	0	10000000	=	AND	Subject	HasSpell	Mutation_Carnivore "Carnivore" [SPEL:003C4049]	00 00 00 00		1.000000	0	Subject.HasSpell(Mutation_Carnivore "Carnivore" [SPEL:003C4049], 00 00 00 00) = 1.000000 AND
0005B2E0	PerkCannibalHeal	5	0	10000000	=	AND	Subject	HasPerk	Bloodsucker01 "Bloodsucker" [PERK:00382A57]	00 00 00 00		1.000000	0	Subject.HasPerk(Bloodsucker01 "Bloodsucker" [PERK:00382A57], 00 00 00 00) = 1.000000 AND
0006D2E2	PoisonStingwingBite	0	0	01000000	>	AND	Target	GetValuePercent	AvailableCondition1 [AVIF:00000373]	00 00 00 00		0.000000	0	Target.GetValuePercent(AvailableCondition1 [AVIF:00000373], 00 00 00 00) > 0.000000 AND
000BA450	mod_Lining_FieldGen_Radiation_Spell_1	0	0	10000000	=	AND	Subject	IsInCombat	0	00 00 00 00		1.000000	0	Subject.IsInCombat(0, 00 00 00 00) = 1.000000 AND
000BA457	mod_Lining_FieldGen_Radiation_Spell_2	0	0	10000000	=	AND	Subject	IsInCombat	0	00 00 00 00		1.000000	0	Subject.IsInCombat(0, 00 00 00 00) = 1.000000 AND
000BA458	mod_Lining_FieldGen_Radiation_Spell_3	0	0	10000000	=	AND	Subject	IsInCombat	0	00 00 00 00		1.000000	0	Subject.IsInCombat(0, 00 00 00 00) = 1.000000 AND
000BA459	mod_Lining_FieldGen_Radiation_Spell_4	0	0	10000000	=	AND	Subject	IsInCombat	0	00 00 00 00		1.000000	0	Subject.IsInCombat(0, 00 00 00 00) = 1.000000 AND
000BA461	mod_Lining_FieldGen_EMP_Spell_2	0	0	10000000	=	AND	Subject	IsInCombat	0	00 00 00 00		1.000000	0	Subject.IsInCombat(0, 00 00 00 00) = 1.000000 AND
000BA462	mod_Lining_FieldGen_EMP_Spell_1	0	0	10000000	=	AND	Target	IsInCombat	0	00 00 00 00		1.000000	0	Target.IsInCombat(0, 00 00 00 00) = 1.000000 AND
000BA463	mod_Lining_FieldGen_EMP_Spell_3	0	0	10000000	=	AND	Subject	IsInCombat	0	00 00 00 00		1.000000	0	Subject.IsInCombat(0, 00 00 00 00) = 1.000000 AND
000BA464	mod_Lining_FieldGen_EMP_Spell_4	0	0	10000000	=	AND	Subject	IsInCombat	0	00 00 00 00		1.000000	0	Subject.IsInCombat(0, 00 00 00 00) = 1.000000 AND
000E36FB	AbPerkAquaboy	1	0	10000000	=	AND	Subject	IsSwimming	00 00 00 00	00 00 00 00		1.000000	0	Subject.IsSwimming(00 00 00 00, 00 00 00 00) = 1.000000 AND
00115A93	PoisonRadstagHorn	1	0	10000000	=	AND	Target	HasKeyword	crCorrupted [KYWD:00115EAA]	00 00 00 00		1.000000	0	Target.HasKeyword(crCorrupted [KYWD:00115EAA], 00 00 00 00) = 1.000000 AND
00115A93	PoisonRadstagHorn	2	0	10000000	=	AND	Target	HasKeyword	crCorrupted [KYWD:00115EAA]	00 00 00 00		1.000000	0	Target.HasKeyword(crCorrupted [KYWD:00115EAA], 00 00 00 00) = 1.000000 AND
00115EA3	RadstagCorruption	0	0	10000000	=	AND	Target	HasKeyword	crInfected [KYWD:00115A92]	00 00 00 00		1.000000	0	Target.HasKeyword(crInfected [KYWD:00115A92], 00 00 00 00) = 1.000000 AND
00115EA3	RadstagCorruption	1	0	10000000	=	AND	Target	HasKeyword	crCorrupted [KYWD:00115EAA]	00 00 00 00		1.000000	0	Target.HasKeyword(crCorrupted [KYWD:00115EAA], 00 00 00 00) = 1.000000 AND
00115EB0	PoisonRadscorpion	0	0	01000000	>	AND	Target	GetValuePercent	AttackConditionAlt1 [AVIF:000002CA]	00 00 00 00		0.000000	0	Target.GetValuePercent(AttackConditionAlt1 [AVIF:000002CA], 00 00 00 00) > 0.000000 AND
00115EB0	PoisonRadscorpion	1	0	01000000	>	AND	Target	GetValuePercent	AttackConditionAlt1 [AVIF:000002CA]	00 00 00 00		0.000000	0	Target.GetValuePercent(AttackConditionAlt1 [AVIF:000002CA], 00 00 00 00) > 0.000000 AND
00115EB0	PoisonRadscorpion	2	0	01000000	>	AND	Target	GetValuePercent	AttackConditionAlt1 [AVIF:000002CA]	00 00 00 00		0.000000	0	Target.GetValuePercent(AttackConditionAlt1 [AVIF:000002CA], 00 00 00 00) > 0.000000 AND
001478ED	CritCryo	0	0	00000000	!=	AND	Target	HasKeyword	CriticalCryoNoFreeze [KYWD:00249D7A]	00 00 00 00		1.000000	0	Target.HasKeyword(CriticalCryoNoFreeze [KYWD:00249D7A], 00 00 00 00) != 1.000000 AND
0014AE57	PoisonMirelurkHunter	0	0	10000000	=	AND	Target	HasKeyword	crScorchedMirelurkHunter [KYWD:00148D91]	00 00 00 00		1.000000	0	Target.HasKeyword(crScorchedMirelurkHunter [KYWD:00148D91], 00 00 00 00) = 1.000000 AND
00171782	PerkPainTrainHitSpell	0	0	10000000	=	AND	Subject	IsHostileToActor	TARGET - Target Reference [00000000]	00 00 00 00		1.000000	0	Subject.IsHostileToActor(TARGET - Target Reference [00000000], 00 00 00 00) = 1.000000 AND
00171782	PerkPainTrainHitSpell	0	1	10000000	=	AND	Target	HasPerk	PainTrain02 "Pain Train" [PERK:00065E3C]	00 00 00 00		0.000000	0	Target.HasPerk(PainTrain02 "Pain Train" [PERK:00065E3C], 00 00 00 00) = 0.000000 AND
00171782	PerkPainTrainHitSpell	1	0	10000000	=	AND	Subject	IsHostileToActor	TARGET - Target Reference [00000000]	00 00 00 00		1.000000	0	Subject.IsHostileToActor(TARGET - Target Reference [00000000], 00 00 00 00) = 1.000000 AND
00171782	PerkPainTrainHitSpell	1	1	10000000	=	AND	Subject	HasKeyword	NoStaggerSpell [KYWD:001C5020]	00 00 00 00		0.000000	0	Subject.HasKeyword(NoStaggerSpell [KYWD:001C5020], 00 00 00 00) = 0.000000 AND
00171782	PerkPainTrainHitSpell	1	2	10000000	=	AND	Subject	GetSitting	00 00 00 00	00 00 00 00		0.000000	0	Subject.GetSitting(00 00 00 00, 00 00 00 00) = 0.000000 AND
00171782	PerkPainTrainHitSpell	1	3	10000000	=	AND	Target	HasPerk	PainTrain02 "Pain Train" [PERK:00065E3C]	00 00 00 00		0.000000	0	Target.HasPerk(PainTrain02 "Pain Train" [PERK:00065E3C], 00 00 00 00) = 0.000000 AND
00171782	PerkPainTrainHitSpell	2	0	10000000	=	AND	Subject	IsHostileToActor	TARGET - Target Reference [00000000]	00 00 00 00		1.000000	0	Subject.IsHostileToActor(TARGET - Target Reference [00000000], 00 00 00 00) = 1.000000 AND
00171782	PerkPainTrainHitSpell	2	1	10000000	=	AND	Target	HasPerk	PainTrain02 "Pain Train" [PERK:00065E3C]	00 00 00 00		1.000000	0	Target.HasPerk(PainTrain02 "Pain Train" [PERK:00065E3C], 00 00 00 00) = 1.000000 AND
00171782	PerkPainTrainHitSpell	2	2	10000000	=	AND	Target	HasPerk	PainTrain03 "Pain Train" [PERK:00065E3D]	00 00 00 00		0.000000	0	Target.HasPerk(PainTrain03 "Pain Train" [PERK:00065E3D], 00 00 00 00) = 0.000000 AND
00171782	PerkPainTrainHitSpell	3	0	10000000	=	AND	Subject	IsHostileToActor	TARGET - Target Reference [00000000]	00 00 00 00		1.000000	0	Subject.IsHostileToActor(TARGET - Target Reference [00000000], 00 00 00 00) = 1.000000 AND
00171782	PerkPainTrainHitSpell	3	1	10000000	=	AND	Subject	HasKeyword	NoStaggerSpell [KYWD:001C5020]	00 00 00 00		0.000000	0	Subject.HasKeyword(NoStaggerSpell [KYWD:001C5020], 00 00 00 00) = 0.000000 AND
00171782	PerkPainTrainHitSpell	3	2	10000000	=	AND	Subject	GetSitting	00 00 00 00	00 00 00 00		0.000000	0	Subject.GetSitting(00 00 00 00, 00 00 00 00) = 0.000000 AND
00171782	PerkPainTrainHitSpell	3	3	10000000	=	AND	Target	HasPerk	PainTrain02 "Pain Train" [PERK:00065E3C]	00 00 00 00		1.000000	0	Target.HasPerk(PainTrain02 "Pain Train" [PERK:00065E3C], 00 00 00 00) = 1.000000 AND
00171782	PerkPainTrainHitSpell	3	4	10000000	=	AND	Target	HasPerk	PainTrain03 "Pain Train" [PERK:00065E3D]	00 00 00 00		0.000000	0	Target.HasPerk(PainTrain03 "Pain Train" [PERK:00065E3D], 00 00 00 00) = 0.000000 AND
00171782	PerkPainTrainHitSpell	4	0	10000000	=	AND	Subject	IsHostileToActor	TARGET - Target Reference [00000000]	00 00 00 00		1.000000	0	Subject.IsHostileToActor(TARGET - Target Reference [00000000], 00 00 00 00) = 1.000000 AND
00171782	PerkPainTrainHitSpell	4	1	10000000	=	AND	Target	HasPerk	PainTrain03 "Pain Train" [PERK:00065E3D]	00 00 00 00		1.000000	0	Target.HasPerk(PainTrain03 "Pain Train" [PERK:00065E3D], 00 00 00 00) = 1.000000 AND
00171782	PerkPainTrainHitSpell	5	0	10000000	=	AND	Subject	IsHostileToActor	TARGET - Target Reference [00000000]	00 00 00 00		1.000000	0	Subject.IsHostileToActor(TARGET - Target Reference [00000000], 00 00 00 00) = 1.000000 AND
00171782	PerkPainTrainHitSpell	5	1	10000000	=	AND	Subject	HasKeyword	NoStaggerSpell [KYWD:001C5020]	00 00 00 00		0.000000	0	Subject.HasKeyword(NoStaggerSpell [KYWD:001C5020], 00 00 00 00) = 0.000000 AND
00171782	PerkPainTrainHitSpell	5	2	10000000	=	AND	Subject	GetSitting	00 00 00 00	00 00 00 00		0.000000	0	Subject.GetSitting(00 00 00 00, 00 00 00 00) = 0.000000 AND
00171782	PerkPainTrainHitSpell	5	3	10000000	=	AND	Target	HasPerk	PainTrain03 "Pain Train" [PERK:00065E3D]	00 00 00 00		1.000000	0	Target.HasPerk(PainTrain03 "Pain Train" [PERK:00065E3D], 00 00 00 00) = 1.000000 AND
00171784	abPerkPainTrain	0	0	10000000	=	AND	Target	HasPerk	PainTrain02 "Pain Train" [PERK:00065E3C]	00 00 00 00		0.000000	0	Target.HasPerk(PainTrain02 "Pain Train" [PERK:00065E3C], 00 00 00 00) = 0.000000 AND
00171784	abPerkPainTrain	1	0	10000000	=	AND	Target	HasPerk	PainTrain02 "Pain Train" [PERK:00065E3C]	00 00 00 00		1.000000	0	Target.HasPerk(PainTrain02 "Pain Train" [PERK:00065E3C], 00 00 00 00) = 1.000000 AND
00171784	abPerkPainTrain	1	1	10000000	=	AND	Target	HasPerk	PainTrain03 "Pain Train" [PERK:00065E3D]	00 00 00 00		0.000000	0	Target.HasPerk(PainTrain03 "Pain Train" [PERK:00065E3D], 00 00 00 00) = 0.000000 AND
00171784	abPerkPainTrain	2	0	10000000	=	AND	Target	HasPerk	PainTrain03 "Pain Train" [PERK:00065E3D]	00 00 00 00		1.000000	0	Target.HasPerk(PainTrain03 "Pain Train" [PERK:00065E3D], 00 00 00 00) = 1.000000 AND
0002B6D7	AbRaceProtectron	0	0	00000000	!=	AND	Subject	HasKeyword	if_Protectron_DrinkingBuddy [KYWD:00179612]	00 00 00 00		1.000000	0	Subject.HasKeyword(if_Protectron_DrinkingBuddy [KYWD:00179612], 00 00 00 00) != 1.000000 AND
0007C719	SpellPowerArmor_TeslaBracers	0	0	10000000	=	AND	Target	GetValue	UnarmedEnergyDamage "Unarmed Energy Damage" [AVIF:00239EBA]	00 00 00 00		1.000000	0	Target.GetValue(UnarmedEnergyDamage "Unarmed Energy Damage" [AVIF:00239EBA], 00 00 00 00) = 1.000000 AND
0007C719	SpellPowerArmor_TeslaBracers	1	0	10000000	=	AND	Target	GetValue	UnarmedEnergyDamage "Unarmed Energy Damage" [AVIF:00239EBA]	00 00 00 00		2.000000	0	Target.GetValue(UnarmedEnergyDamage "Unarmed Energy Damage" [AVIF:00239EBA], 00 00 00 00) = 2.000000 AND
00085332	AbBoSPaladin	0	0	01000000	>	AND	Subject	GetValue	PowerArmorBattery "Power Armor Battery" [AVIF:0000035C]	00 00 00 00		0.000000	0	Subject.GetValue(PowerArmorBattery "Power Armor Battery" [AVIF:0000035C], 00 00 00 00) > 0.000000 AND
00097344	AbPerkRootedDisarm	0	0	10000000	=	AND	Subject	IsMoving	00 00 00 00	00 00 00 00		0.000000	0	Subject.IsMoving(00 00 00 00, 00 00 00 00) = 0.000000 AND
000976E5	SpellPowerArmor_Stealth	0	0	01000000	>	AND	Subject	GetValue	ActionPoints "Action Points" [AVIF:000002D5]	00 00 00 00		1.000000	0	Subject.GetValue(ActionPoints "Action Points" [AVIF:000002D5], 00 00 00 00) > 1.000000 AND
000976E5	SpellPowerArmor_Stealth	0	1	10000000	=	AND	Subject	IsMoving	00 00 00 00	00 00 00 00		0.000000	0	Subject.IsMoving(00 00 00 00, 00 00 00 00) = 0.000000 AND
000976E5	SpellPowerArmor_Stealth	0	2	10000000	=	AND	Subject	IsSneaking	00 00 00 00	00 00 00 00		1.000000	0	Subject.IsSneaking(00 00 00 00, 00 00 00 00) = 1.000000 AND
000976E5	SpellPowerArmor_Stealth	1	0	10000000	=	AND	Subject	IsMoving	00 00 00 00	00 00 00 00		0.000000	0	Subject.IsMoving(00 00 00 00, 00 00 00 00) = 0.000000 AND
000976E5	SpellPowerArmor_Stealth	1	1	10000000	=	AND	Subject	IsSneaking	00 00 00 00	00 00 00 00		1.000000	0	Subject.IsSneaking(00 00 00 00, 00 00 00 00) = 1.000000 AND
0018C35A	CryoFreezeSpell	0	0	00000000	!=	AND	Subject	HasKeyword	IgnoreCryoSlowEffectKeyword [KYWD:005B5A90]	00 00 00 00		1.000000	0	Subject.HasKeyword(IgnoreCryoSlowEffectKeyword [KYWD:005B5A90], 00 00 00 00) != 1.000000 AND
0018C35A	CryoFreezeSpell	1	0	00000000	!=	AND	Subject	HasKeyword	IgnoreCryoSlowEffectKeyword [KYWD:005B5A90]	00 00 00 00		1.000000	0	Subject.HasKeyword(IgnoreCryoSlowEffectKeyword [KYWD:005B5A90], 00 00 00 00) != 1.000000 AND
001B34CD	PowerArmor_TargetingHUD_Spell	0	0	10000000	=	AND	Subject	IsHostileToActor	TARGET - Target Reference [00000000]	00 00 00 00		1.000000	0	Subject.IsHostileToActor(TARGET - Target Reference [00000000], 00 00 00 00) = 1.000000 AND
001B34CD	PowerArmor_TargetingHUD_Spell	0	1	10000000	=	AND	Subject	HasKeyword	ActorTypeRobot [KYWD:0002CB73]	00 00 00 00		0.000000	0	Subject.HasKeyword(ActorTypeRobot [KYWD:0002CB73], 00 00 00 00) = 0.000000 AND
001B34CD	PowerArmor_TargetingHUD_Spell	0	2	00000000	!=	AND	Subject	GetDead	00 00 00 00	00 00 00 00		1.000000	0	Subject.GetDead(00 00 00 00, 00 00 00 00) != 1.000000 AND
001C5E7B	RadStormSpell	0	0	10000000	=	AND	Subject	HasPerk	ImmuneToRadiation [PERK:000A2775]	00 00 00 00		0.000000	0	Subject.HasPerk(ImmuneToRadiation [PERK:000A2775], 00 00 00 00) = 0.000000 AND
001C5E7B	RadStormSpell	0	1	10000000	=	AND	Subject	IsInInterior	00 00 00 00	00 00 00 00		0.000000	0	Subject.IsInInterior(00 00 00 00, 00 00 00 00) = 0.000000 AND
001C5E7B	RadStormSpell	0	2	10010000	=	OR	Subject	GetIsCurrentWeather	NewWeatherRadstorm [WTHR:002DB891]	ForestObjectRegion [REGN:0001746B]		1.000000	0	Subject.GetIsCurrentWeather(NewWeatherRadstorm [WTHR:002DB891], ForestObjectRegion [REGN:0001746B]) = 1.000000 OR
001C5E7B	RadStormSpell	0	3	10010000	=	OR	Subject	GetIsCurrentWeather	NewWeatherRadstorm [WTHR:002DB891]	CranberryObjectRegion [REGN:001C943F]		1.000000	0	Subject.GetIsCurrentWeather(NewWeatherRadstorm [WTHR:002DB891], CranberryObjectRegion [REGN:001C943F]) = 1.000000 OR
001C5E7B	RadStormSpell	0	4	10010000	=	OR	Subject	GetIsCurrentWeather	NewWeatherRadstorm [WTHR:002DB891]	SwampObjectRegion [REGN:0020CFF8]		1.000000	0	Subject.GetIsCurrentWeather(NewWeatherRadstorm [WTHR:002DB891], SwampObjectRegion [REGN:0020CFF8]) = 1.000000 OR
001C5E7B	RadStormSpell	0	5	10010000	=	OR	Subject	GetIsCurrentWeather	NewWeatherRadstorm [WTHR:002DB891]	FloodObjectRegion [REGN:0001C74D]		1.000000	0	Subject.GetIsCurrentWeather(NewWeatherRadstorm [WTHR:002DB891], FloodObjectRegion [REGN:0001C74D]) = 1.000000 OR
001C5E7B	RadStormSpell	0	6	10010000	=	OR	Subject	GetIsCurrentWeather	NewWeatherRadstorm [WTHR:002DB891]	MountainObjectRegion [REGN:0012DFF1]		1.000000	0	Subject.GetIsCurrentWeather(NewWeatherRadstorm [WTHR:002DB891], MountainObjectRegion [REGN:0012DFF1]) = 1.000000 OR
001C5E7B	RadStormSpell	0	7	10010000	=	OR	Subject	GetIsCurrentWeather	NewWeatherRadstorm [WTHR:002DB891]	ToxicObjectRegion [REGN:001E7B77]		1.000000	0	Subject.GetIsCurrentWeather(NewWeatherRadstorm [WTHR:002DB891], ToxicObjectRegion [REGN:001E7B77]) = 1.000000 OR
001C5E7B	RadStormSpell	0	8	10010000	=	OR	Subject	GetIsCurrentWeather	NewWeatherRadstorm [WTHR:002DB891]	MtnRemovalObjectRegion [REGN:000724E6]		1.000000	0	Subject.GetIsCurrentWeather(NewWeatherRadstorm [WTHR:002DB891], MtnRemovalObjectRegion [REGN:000724E6]) = 1.000000 OR
