set	item_formid	edid	name	section	worldspace	cell	x	y	z	ref_formid	holder	loc_name	loc_source
notes	001EB2C3	LC117_CultLeaderManuscript01	Sermon: Summoning the Mothman	BOOK			-177446.453125	75191.070312	342.497772	003A1B20			
notes	001E59F1	BoS02_SecurityNote	Squire Evelyn's Journal - Page 16	BOOK			-837.930664	111.608658	825.765747	001E59F3			
notes	002A6DE4	BoS02GovernmentIDCard	Military ID Card	BOOK			-3798.038330	-11600.355469	200.265563	0035F124			
notes	00001487	BMO_BunkerNote05_SparekeyNote	RE: Motherlode Spare Key	BOOK			-1814.037109	-298.201935	53.064819	0011591B			
notes	0012BC0F	BMO_BunkerNote05_LuggageNote	Scoutmaster's Confession	BOOK			-1814.306274	-316.717804	53.064819	00061682			
notes	00094FE8	BMO_BunkerNote03_Lockernote	Clara's Note to Alexis	BOOK			-1843.828979	-297.682098	53.064804	0006167E			
notes	00094FE8	BMO_BunkerNote03_Lockernote	Clara's Note to Alexis	BOOK			2099.322998	1144.621826	512.000000	002B54B8	BMO_BunkerNote03_LockerNote_MetalBox		
notes	00096A06	BMO_BunkerNote03_MomGoodbyeNoteSutton	Clara's Note to Mom	BOOK			-1844.817871	-256.934600	53.064819	00061681			
notes	00096A06	BMO_BunkerNote03_MomGoodbyeNoteSutton	Clara's Note to Mom	BOOK			-62064.082031	30830.677734	7990.029297	00181C9B			
notes	002E9C21	BMO_BunkerNote03_MarketingMemo	Nuka-Cola Marketing Memo	BOOK			-1844.745605	-278.489044	53.064819	0006167F			
notes	002E9C21	BMO_BunkerNote03_MarketingMemo	Nuka-Cola Marketing Memo	BOOK			2291.703369	-1933.065307	590.000000	002E9C22			
notes	002A8FBD	FS_LydiaPart01	Lydia's Journal Page 1	BOOK			-440.542389	738.287536	56.218743	00356B92			
notes	002A8FBD	FS_LydiaPart01	Lydia's Journal Page 1	BOOK			154198.031250	2362.950928	8153.968750	00370846			
notes	002A8FBD	FS_LydiaPart01	Lydia's Journal Page 1	BOOK			-328.244995	292.375488	0.000000	003D0C0F			
notes	002A8FBF	FS_LydiaPart02	Lydia's Journal Page 4	BOOK			-427.811188	737.458191	56.218758	00356B93			
notes	002A8FBF	FS_LydiaPart02	Lydia's Journal Page 4	BOOK			160235.156250	3813.860595	7232.989258	00370847			
notes	002A8FBF	FS_LydiaPart02	Lydia's Journal Page 4	BOOK			-313.475372	295.086639	0.000000	003D0C10			
notes	002A8FC5	FS_LydiaPart03	Lydia's Journal Page 12	BOOK			-412.202881	738.879516	56.218750	00356B94			
notes	002A8FC5	FS_LydiaPart03	Lydia's Journal Page 12	BOOK			166246.812500	2113.796631	6928.578125	0037084A			
notes	002A8FC5	FS_LydiaPart03	Lydia's Journal Page 12	BOOK			-295.556946	294.189972	0.000000	003D0C11			
notes	002A8FC7	FS_LydiaPart04	Lydia's Journal Page 20	BOOK			-397.109528	741.232605	56.218750	00356B95			
notes	002A8FC7	FS_LydiaPart04	Lydia's Journal Page 20	BOOK			161765.500000	2701.344971	7440.593750	00370849			
notes	002A8FC7	FS_LydiaPart04	Lydia's Journal Page 20	BOOK			-279.991394	293.411010	0.000000	003D0C12			
notes	002A8FC9	FS_LydiaPart05	Lydia's Journal Page 24	BOOK			-382.981140	739.761780	56.218743	00356B96			
notes	002A8FC9	FS_LydiaPart05	Lydia's Journal Page 24	BOOK			164430.390625	1442.140381	6712.501465	00370848			
notes	002A8FC9	FS_LydiaPart05	Lydia's Journal Page 24	BOOK			-264.102905	296.660888	0.000000	003D0C13			
notes	00181BF8	BMO_BunkerNote03_CrazyLadyWatoga	Rich Taylor's Testament	BOOK			-1843.766601	-317.150726	53.064819	0006167D			
notes	00181BF8	BMO_BunkerNote03_CrazyLadyWatoga	Rich Taylor's Testament	BOOK			189487.984375	-93422.617187	6913.537598	00181BFF			
notes	0000425C	FS_JeremiahPart01	Jeremiah's Journal Page 2	BOOK			-441.790466	763.493591	56.218750	00356B90			
notes	0000425C	FS_JeremiahPart01	Jeremiah's Journal Page 2	BOOK			-358.389923	293.206848	0.000000	003D0C0D			
notes	0000425C	FS_JeremiahPart01	Jeremiah's Journal Page 2	BOOK			817.307312	1646.855225	-606.008605	00542775			
notes	000055F5	FS_JeremiahPart02	Jeremiah's Journal Page 4	BOOK			-425.599060	765.729553	56.218758	00356B91			
notes	000055F5	FS_JeremiahPart02	Jeremiah's Journal Page 4	BOOK			-344.303528	290.938171	0.000000	003D0C0E			
notes	000055F5	FS_JeremiahPart02	Jeremiah's Journal Page 4	BOOK			1656.020630	2870.699219	-36.826477	0054276B			
notes	00055F02	BMO_BunkerNote06_GuardNote02	Help them	BOOK			-1782.688598	-298.408630	53.064819	0023A0ED			
notes	00055F2D	BMO_BunkerNote06_GuardNote01	Being Followed	BOOK			-1782.530639	-317.145477	53.064819	0023A0EC			
notes	002ECCF7	MTNL01_TrappersNote	Trappers Note	BOOK			89477.664062	-81140.671875	22852.833984	004E35E9			
notes	002ECD0E	MTNL01_GourmandsNote	Gourmands Note	BOOK			9993.778321	57569.777344	14753.653321	004E35EA			
notes	001F398C	NukaColaPlant_FeedbackFormBlank	Blank Feedback Form	BOOK			-1320.600220	-340.873962	63.458038	001F3990			
notes	001F398C	NukaColaPlant_FeedbackFormBlank	Blank Feedback Form	BOOK			1026.935546	365.192779	568.207520	001F39D0			
notes	00256966	NukaColaPlant_FeedbackForm01	NCQ17-JH1A Feedback Form	BOOK			1589.244751	364.575317	568.175538	002755F0			
notes	00256966	NukaColaPlant_FeedbackForm01	NCQ17-JH1A Feedback Form	BOOK			-1319.516968	-322.076263	63.458038	00275649			
notes	0027563D	NukaColaPlant_FeedbackForm02	NCB02-A6A1 Feedback Form	BOOK			831.288269	364.475159	568.108277	00275648			
notes	0027563D	NukaColaPlant_FeedbackForm02	NCB02-A6A1 Feedback Form	BOOK			-1319.288452	-307.550964	63.458031	0027564A			
notes	0014453F	SurvivalTrainingCenter_Pamphlet01	Survival Planning Checklist	BOOK			162008.000000	-39696.000000	8872.104493	0029D657			
notes	0014453F	SurvivalTrainingCenter_Pamphlet01	Survival Planning Checklist	BOOK			-1762.304810	-730.865539	37.050118	0029D659			
notes	0029D65C	SurvivalTrainingCenter_Pamphlet02	Survival Planning Checklist	BOOK			-1877.447510	-461.380371	36.730927	0029D65D			
notes	0029D65C	SurvivalTrainingCenter_Pamphlet02	Survival Planning Checklist	BOOK			161691.937500	-42057.078125	8774.386719	003E900C			
notes	003113DF	EN01_RecordofDivorce	Record of Divorce: The Blackwells	BOOK			448.000000	2801.000000	60.000000	003C2326			
notes	003113DF	EN01_RecordofDivorce	Record of Divorce: The Blackwells	BOOK			-448.910156	13919.934570	30.394194	003C56DE			
notes	003113DF	EN01_RecordofDivorce	Record of Divorce: The Blackwells	BOOK			-1238.082886	1683.453125	55.968735	004F9F0B			
notes	003113E0	EN01_WelcomeToTheSenate	Senate Orientation Letter	BOOK			-1216.930542	1681.594849	55.968750	004F9F0C			
notes	00311416	EN01_ArrestQuinnCarter	CARTER AND BLACKWELL - TRAITORS!	BOOK			-104286.484375	-45905.738281	8053.331543	00311422			
notes	00311416	EN01_ArrestQuinnCarter	CARTER AND BLACKWELL - TRAITORS!	BOOK			-104582.515625	-45773.066406	9120.977539	00311424			
notes	00311416	EN01_ArrestQuinnCarter	CARTER AND BLACKWELL - TRAITORS!	BOOK			-32968.171875	90616.000000	12171.271484	0038CD66			
notes	00311416	EN01_ArrestQuinnCarter	CARTER AND BLACKWELL - TRAITORS!	BOOK			-1203.500732	1621.314331	55.968750	003D00AE			
notes	0031141F	EN01_WeSupportQuinnCarter	THE HERALD SUPPORTS QUINN CARTER	BOOK			-69356.710938	-12883.793945	15448.684570	002F0B15			
notes	0031141F	EN01_WeSupportQuinnCarter	THE HERALD SUPPORTS QUINN CARTER	BOOK			-103981.242187	-46205.812500	8656.313476	00311420			
notes	0031141F	EN01_WeSupportQuinnCarter	THE HERALD SUPPORTS QUINN CARTER	BOOK			8173.762695	-99271.406250	29204.128906	0038CD67			
notes	0031141F	EN01_WeSupportQuinnCarter	THE HERALD SUPPORTS QUINN CARTER	BOOK			-60548.843750	12564.158203	11630.854493	0038CD68			
notes	0031141F	EN01_WeSupportQuinnCarter	THE HERALD SUPPORTS QUINN CARTER	BOOK			-1227.477295	1619.424439	55.968743	003D00B0			
notes	0031141F	EN01_WeSupportQuinnCarter	THE HERALD SUPPORTS QUINN CARTER	BOOK			3656.163574	705.930420	17.048147	00550954			
notes	0031141F	EN01_WeSupportQuinnCarter	THE HERALD SUPPORTS QUINN CARTER	BOOK			3656.163574	705.930420	17.048147	0067354F			
notes	003133C2	PioneerScoutGuidePage01_Forward	PIONEERBOOK: Foreward	BOOK			1269.713135	138778.078125	13822.477539	003133C3			
notes	003133C2	PioneerScoutGuidePage01_Forward	PIONEERBOOK: Foreward	BOOK			-893.378235	-784.681702	45.527260	003133C8			
notes	003133CA	PioneerScoutGuidePage02_Fundraising	PIONEERBOOK: Fundraisers	BOOK			-875.434082	-787.152893	46.477982	003133CB			
notes	003133CA	PioneerScoutGuidePage02_Fundraising	PIONEERBOOK: Fundraisers	BOOK			4480.909668	141831.531250	13130.474610	003133CC			
notes	0031BA8A	CP_Booklist_Note	Reading List	BOOK			-182407.937500	-80008.046875	526.222962	0031BAA0			
notes	0031BA8B	ABT_ShoppingList_Note	Mycology Notes	BOOK			183552.828125	-91817.289062	7723.169922	0031BA8C			
notes	003202BA	PioneerScoutGuidePage03_Cooking	PIONEERBOOK: Meal Prep	BOOK			-893.954468	-762.146973	45.052818	003202BB			
notes	003202BA	PioneerScoutGuidePage03_Cooking	PIONEERBOOK: Meal Prep	BOOK			-151530.250000	-32631.541016	11678.077149	003202BC			
notes	00322189	PioneerScoutGuidePage04_Camping	PIONEERBOOK: Camping	BOOK			-872.000000	-760.000000	45.692989	0032218A			
notes	00322189	PioneerScoutGuidePage04_Camping	PIONEERBOOK: Camping	BOOK			-155641.781250	-29203.806640	10645.210937	0032218B			
notes	0032CE09	NuclearLaunchCode01	Top Secret	BOOK			265.082885	5308.950684	12.671063	0032CE0B			
notes	0032CE09	NuclearLaunchCode01	Top Secret	BOOK			1280.267578	3702.450440	28.977326	0032CE0C			
notes	0032CE09	NuclearLaunchCode01	Top Secret	BOOK			-1446.110839	-808.903137	56.499985	0033A9F4			
notes	0032E503	BoS01_BreadCrumbNote_IsolatedCabin	Message to Sammy	BOOK			-96297.703125	60454.023437	4998.740722	00439240			
notes	0032E504	BoS01_BreadCrumbNote_GeneralSteakhouse	Defiance Mission Report	BOOK			181625.921875	-61176.304688	6456.535157	0032E505			
notes	00330B99	SFL02_Track_CourtneyBook	Courtney's Note	BOOK			-463.733216	361.877014	0.000000	003D0BFC			
notes	00331CB7	MTR05_ResumesInArchives	Filing Status	BOOK			1143.032104	-692.221618	1078.896972	00331CB9			
notes	0033595A	LC046_KeyNote	Stop taking the key!	BOOK			-610.432861	4009.121582	55.492436	0033595B			
notes	0033595A	LC046_KeyNote	Stop taking the key!	BOOK			1016.374755	8042.025879	-173.933091	0033595C			
notes	0033595A	LC046_KeyNote	Stop taking the key!	BOOK			2702.983887	-7138.958984	56.694039	005A4BE7			
notes	0033A7EC	TestSmoke20Note	Test Smoke 20 Note	BOOK			6360.964356	-2463.291016	1719.937500	0033A7F9			
notes	0033B86E	TestDrewBook01Takeable	Takeable Note	BOOK			-348.509399	295.478821	90.738571	0033B86D			
notes	0033B86E	TestDrewBook01Takeable	Takeable Note	BOOK			-348.509399	295.478821	90.738571	0052F5B0			
notes	0033B870	TestDrewBook01NonTakeable	Non Takeable Note	BOOK			-350.310486	279.625488	90.738571	0033B86F			
notes	0033B870	TestDrewBook01NonTakeable	Non Takeable Note	BOOK			-350.310486	279.625488	90.738571	0052F5AF			
notes	0033C775	BoS02SoldierCertificate	Soldier's Certificate	BOOK			1539.998413	2753.861084	52.872440	005223B9			
notes	0033CE91	CB04_Manifesto	Free Watoga!	BOOK			180662.156250	-60995.027344	6048.839356	0031FC8C			
notes	0033CE91	CB04_Manifesto	Free Watoga!	BOOK			180658.812500	-61000.636719	6016.250000	0031FC8D			
notes	0033CE91	CB04_Manifesto	Free Watoga!	BOOK			180662.125000	-61025.101563	6016.250000	0032012D			
notes	0033CE91	CB04_Manifesto	Free Watoga!	BOOK			180662.734375	-60978.652344	6080.870606	0032033A			
notes	0033CE91	CB04_Manifesto	Free Watoga!	BOOK			180666.312500	-61028.125000	6080.870606	003203A1			
notes	0033CE91	CB04_Manifesto	Free Watoga!	BOOK			180663.375000	-61005.058594	6080.870606	003203A2			
notes	0033CE91	CB04_Manifesto	Free Watoga!	BOOK			176725.515625	-91545.257813	6958.715332	0033CE97			
notes	0033CE91	CB04_Manifesto	Free Watoga!	BOOK			176725.578125	-91542.507813	6960.140136	0033CE98			
notes	0033CE91	CB04_Manifesto	Free Watoga!	BOOK			176724.546875	-91542.046875	6961.564941	0033CE99			
notes	0033CE91	CB04_Manifesto	Free Watoga!	BOOK			176702.718750	-91529.250000	6902.177247	0015C187	CB04_SaboteurHideout_LootPrewar_Office_Desk_01_Beige		
notes	0033CE91	CB04_Manifesto	Free Watoga!	BOOK			-1099.178100	1332.085450	3192.214356	0033CE9B			
notes	0033CE92	CB04_LetterToMayor	Letter to Mayor	BOOK			176702.718750	-91529.250000	6902.177247	0015C187	CB04_SaboteurHideout_LootPrewar_Office_Desk_01_Beige		
notes	0033CE92	CB04_LetterToMayor	Letter to Mayor	BOOK			-1080.329345	1330.639283	3192.214356	0033CE9C			
notes	0033CE93	CB04_LetterToMom	Letter to Mom	BOOK			176702.718750	-91529.250000	6902.177247	0015C187	CB04_SaboteurHideout_LootPrewar_Office_Desk_01_Beige		
notes	0033CE95	CB04_LetterToSandy	Letter to Sandy	BOOK			176702.718750	-91529.250000	6902.177247	0015C187	CB04_SaboteurHideout_LootPrewar_Office_Desk_01_Beige		
notes	00341B35	EN05_UniformVoucherPage01	Uniform Disbursement Log	BOOK			-170876.156250	-115029.718750	6207.021484	003E8299	LPI_EN05_UniformLogs		
notes	00341B35	EN05_UniformVoucherPage01	Uniform Disbursement Log	BOOK			-69055.367188	-11806.500000	15191.356446	00341B57			
notes	00342E80	LC129_Pumpkin_House	Pumpkin Carving Automation Notes	BOOK			126856.757813	133147.875000	20341.623047	00342E83			
notes	0034736C	LC147_Hawkes_Refuge_Diary	Brianna Hawke's Diary	BOOK			7022.819336	2409.568115	1016.552856	0034736D			
notes	0035F132	Template_GovernorNote	Governor Test Note	BOOK			-3771.289550	-11606.967774	200.268356	0035F133			
notes	0035F132	Template_GovernorNote	Governor Test Note	BOOK			-350.715423	1143.940674	56.218811	0038ABDC			
notes	0035F132	Template_GovernorNote	Governor Test Note	BOOK			-3620.008545	-11608.620117	198.029328	003C65D7			
notes	0035F132	Template_GovernorNote	Governor Test Note	BOOK			-554.172486	581.621460	55.968750	003DFFCD			
notes	0035F132	Template_GovernorNote	Governor Test Note	BOOK			10023.704102	3274.654785	56.221573	0065DFE0			
notes	0035F132	Template_GovernorNote	Governor Test Note	BOOK			-4755.976074	-7965.367188	-2467.312500	0082EC86			
notes	0035F12B	Template_ClassifiedNote	Classified Test Note	BOOK			-3816.093750	-11611.663086	200.346298	0035F12C			
notes	0035F12B	Template_ClassifiedNote	Classified Test Note	BOOK			-445.687744	1145.446289	56.218758	0038ABC8			
notes	0035F12B	Template_ClassifiedNote	Classified Test Note	BOOK			-500.602631	544.208558	55.968735	003DFFBD			
notes	0035F12B	Template_ClassifiedNote	Classified Test Note	BOOK			10061.116211	3328.225342	56.221573	0065DFE8			
notes	0035F12B	Template_ClassifiedNote	Classified Test Note	BOOK			-4718.563965	-7911.796387	-2467.312500	0082EC99			
notes	0035F12D	TestSecretNote	TEST	BOOK			-3816.347900	-11598.271485	200.345077	0035F136			
notes	00364533	BBSmallMountainPOI010Note	Raider Note	BOOK			50414.101563	-75042.281250	32787.546875	003646C5			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			2163.912110	4668.866699	1103.118286	000083EF			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			-479.022217	935.385743	63.716675	00008A3E			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			3507.409424	-80.483795	312.000000	00370671			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			3507.409424	-80.483795	312.000000	0037198B			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			1149.315185	1171.766846	256.500000	00372730			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			3507.409424	-80.483795	312.000000	00373528			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			1149.315185	1171.766846	256.500000	003742CD			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			378.850342	2789.121338	56.148438	003DEE6B			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			1024.707885	484.324066	290.444824	003EB3C4			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			1149.315185	1171.766846	256.500000	003EB3CA			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			3507.409424	-80.483795	312.000000	004FF1D2			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			1149.315185	1171.766846	256.500000	004FFF77			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			3507.409424	-80.483795	312.000000	00500D6F			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			1149.315185	1171.766846	256.500000	0051F201			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			3507.409424	-80.483795	312.000000	006B098B			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			1024.707885	484.324066	290.444824	006B1759			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			1149.315185	1171.766846	256.500000	006B175F			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			3507.409424	-80.483795	312.000000	006BF9BD			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			1024.707885	484.324066	290.444824	006C0789			
notes	00370672	76CharGenDinerNote	Love Note	BOOK			1149.315185	1171.766846	256.500000	006C078F			
notes	0037FEE8	FS01_MQ_Warn_MiscSSLBook	Scouting Report	BOOK			85918.171875	131354.234375	34360.183594	0038F1B4			
notes	00380B04	SFM04_Organic_MiscAPBook	Cedric's List	BOOK			-443.248749	356.810181	0.000000	003D0BFD			
notes	00380B07	LC039_MiscHavenBook	Fall Retreat Flyer	BOOK			177162.281250	43336.816407	7180.618652	00380B08			
notes	00380B07	LC039_MiscHavenBook	Fall Retreat Flyer	BOOK			-397.630096	317.590515	0.000000	003D0C03			
notes	00382262	SFS02_Play_MiscHavenBook	Formal Complaint	BOOK			177272.203125	43701.484375	7064.000000	002981ED	SFS02_Play_MiscHavenContainer		
notes	00382262	SFS02_Play_MiscHavenBook	Formal Complaint	BOOK			-420.981140	351.689819	0.000000	003D0BFE			
notes	00387991	LookoutTower06Note	Gerald's Note	BOOK			117392.812500	-59845.757813	20812.488281	00387992			
notes	00389A86	SFZ03_Queen_MiscFreddyBook	The Plan	BOOK			-438.498016	315.018310	0.000000	003D0C01			
notes	00389CC1	SFZ03_Queen_MiscCabinBook	Investigative Report	BOOK			56181.667969	-68871.242187	33869.496093	00389CC2			
notes	00389CC1	SFZ03_Queen_MiscCabinBook	Investigative Report	BOOK			-457.979309	322.951843	0.000031	003D0C00			
notes	00389CD9	LookoutTower07Note01	Bosley's Note	BOOK			-2695.103760	140095.828125	16244.037109	00389CDA			
notes	00389D34	LookoutTower05Letter_01	Department Notice	BOOK			107083.203125	146013.296875	26598.013672	00389D36			
notes	00389D35	LookoutTower05Letter_02	Department Notice	BOOK			107159.789062	145958.265625	26598.013672	00389D3B			
notes	00389D3A	LookoutTower05Letter_03	Department Notice	BOOK			107169.601562	145946.218750	26596.693360	00389D3C			
notes	0038ABC7	Template_Note	Test Note	BOOK			-365.415985	1143.420654	56.218811	0038ABDD			
notes	0038ABC7	Template_Note	Test Note	BOOK			-394.182922	389.580963	0.000000	003D0C30			
notes	0038ABC7	Template_Note	Test Note	BOOK			-359.999603	7.999878	200.000000	003D82A9			
notes	0038ABC7	Template_Note	Test Note	BOOK			-509.798157	583.420350	55.968750	003DFFD2			
notes	0038ABC7	Template_Note	Test Note	BOOK			10021.904297	3319.029541	56.221573	0065DFE3			
notes	0038ABC7	Template_Note	Test Note	BOOK			-4757.775879	-7920.992676	-2467.312500	0082EC96			
notes	0038ABC9	Template_TopSecretNote	Top Secret Test Note	BOOK			-444.220307	1200.082275	56.218758	0038ABCA			
notes	0038ABC9	Template_TopSecretNote	Top Secret Test Note	BOOK			-567.692383	544.454163	55.968750	003DFFE3			
notes	0038ABC9	Template_TopSecretNote	Top Secret Test Note	BOOK			10060.871094	3261.135254	56.221573	0065DFEE			
notes	0038ABC9	Template_TopSecretNote	Top Secret Test Note	BOOK			-4718.809082	-7978.886719	-2467.312500	0082EC8A			
notes	0038ABCC	Template_Classified01Note	Classified 01 Test Note	BOOK			-429.196991	1143.976562	58.831494	0038ABD0			
notes	0038ABCC	Template_Classified01Note	Classified 01 Test Note	BOOK			-486.176575	544.127320	56.276699	003DFFB9			
notes	0038ABCC	Template_Classified01Note	Classified 01 Test Note	BOOK			10061.198243	3342.651123	56.221573	0065DFE9			
notes	0038ABCC	Template_Classified01Note	Classified 01 Test Note	BOOK			-4718.481934	-7897.370605	-2467.312500	0082ECA0			
notes	0038ABCD	Template_Classified02Note	Classified 02 Test Note	BOOK			-413.500702	1146.299072	56.218811	0038ABD1			
notes	0038ABCD	Template_Classified02Note	Classified 02 Test Note	BOOK			-472.345673	544.329163	55.968750	003DFFBA			
notes	0038ABCD	Template_Classified02Note	Classified 02 Test Note	BOOK			10060.996094	3356.482178	56.221573	0065DFEA			
notes	0038ABCD	Template_Classified02Note	Classified 02 Test Note	BOOK			-4718.684082	-7883.539551	-2467.312500	0082EC9F			
notes	0038ABCE	Template_Classified03Note	Classified 03 Test Note	BOOK			-397.202667	1146.787475	56.218826	0038ABD2			
notes	0038ABCE	Template_Classified03Note	Classified 03 Test Note	BOOK			-458.360382	544.118775	55.968735	003DFFBB			
notes	0038ABCE	Template_Classified03Note	Classified 03 Test Note	BOOK			10061.205079	3370.466552	56.221573	0065DFEB			
notes	0038ABCE	Template_Classified03Note	Classified 03 Test Note	BOOK			-4718.475098	-7869.555176	-2467.312500	0082ECA3			
notes	0038ABCF	Template_Classified04Note	Classified 04 Test Note	BOOK			-381.090790	1147.149780	56.218826	0038ABD3			
notes	0038ABCF	Template_Classified04Note	Classified 04 Test Note	BOOK			-444.995728	544.105652	55.968735	003DFFBC			
notes	0038ABCF	Template_Classified04Note	Classified 04 Test Note	BOOK			10061.219727	3383.831298	56.221573	0065DFEC			
notes	0038ABCF	Template_Classified04Note	Classified 04 Test Note	BOOK			-4718.460449	-7856.190918	-2467.312500	0082ECA4			
notes	0038ABD4	Template_TopSecret01Note	Top Secret 01 Test Note	BOOK			-429.264404	1199.745728	57.525566	0038ABD8			
notes	0038ABD4	Template_TopSecret01Note	Top Secret 01 Test Note	BOOK			-554.183289	544.343018	55.968750	003DFFDF			
notes	0038ABD4	Template_TopSecret01Note	Top Secret 01 Test Note	BOOK			10060.982422	3274.644043	56.221573	0065DFED			
notes	0038ABD4	Template_TopSecret01Note	Top Secret 01 Test Note	BOOK			-4718.697754	-7965.377930	-2467.312500	0082EC89			
notes	0038ABD5	Template_TopSecret02Note	Top Secret 02 Test Note	BOOK			-413.373566	1201.595825	56.218819	0038ABD9			
notes	0038ABD5	Template_TopSecret02Note	Top Secret 02 Test Note	BOOK			-540.360047	544.747254	56.628834	003DFFE0			
notes	0038ABD5	Template_TopSecret02Note	Top Secret 02 Test Note	BOOK			10060.577149	3288.467285	56.221573	0065DFE5			
notes	0038ABD5	Template_TopSecret02Note	Top Secret 02 Test Note	BOOK			-4719.103027	-7951.554688	-2467.312500	0082EC8E			
