FormID	EDID	FULL_Name	NNAM_DisplayName	TNAM_Type	CNAM_Color	DNAM_Notes	FNAM_Unknown	XALG_Flags	FormTags	ENAM_IconName	DATA_AttractionRule	NTWK_NetworkMarker	ReferencedByCount
000294BC	ActorTypeIrradiated			None					0000000000000000000000000000000000000000000000000000000000000000				20
000299C3	AnimFurnGroundSitAnims			None					0000000000000000000000000000000000000000000000000000000000000000				4
0002A900	AnimFurnDeathclawRoadAmbush			None					0000000000000000000000000000000000000000000000000000000000000000				3
0002B755	SurvivorSceneIntroKeyword			None					0000000000000000000000000000000000000000000000000000000000000000				0
0002B79C	LinkActivate			None		Used by StimObjectScript (and others?) to specify a  LinkedRef type			0000000000000000000000000000000000000000000000000000000000000000				9
0002B79D	LinkDisable			None		Used by StimObjectScript (and others?) to specify a  LinkedRef type			0000000000000000000000000000000000000000000000000000000000000000				9
0002B79E	LinkEnable			None		Used by StimObjectScript (and others?) to specify a  LinkedRef type			0000000000000000000000000000000000000000000000000000000000000000				0
0002B79F	LinkLock			None		Used by StimObjectScript (and others?) to specify a  LinkedRef type			0000000000000000000000000000000000000000000000000000000000000000				0
0002B7A0	LinkSendRecieveEvent			None		Used by StimObjectScript (and others?) to specify a  LinkedRef type			0000000000000000000000000000000000000000000000000000000000000000				0
0002B7A1	LinkUnlock			None		Used by StimObjectScript (and others?) to specify a  LinkedRef type			0000000000000000000000000000000000000000000000000000000000000000				0
0002C967	LinkAmbushFurniture			None					0000000000000000000000000000000000000000000000000000000000000000				2520
0002CB70	ActorTypeMolerat			None					0000000000000000000000000000000000000000000000000000000000000000				30
0002CB71	ActorTypeMirelurk			None					0000000000000000000000000000000000000000000000000000000000000000				43
0002CB72	ActorTypeHuman			None					0000000000000000000000000000000000000000000000000000000000000000				178
0002CB73	ActorTypeRobot			None					0000000000000000000000000000000000000000000000000000000000000000				128
0002CB97	ActorTypeFeralDog			None					0000000000000000000000000000000000000000000000000000000000000000				12
0002E006	RELinkMarker			None					0000000000000000000000000000000000000000000000000000000000000000				5826
0002E4FF	REEncounterTypeObject			None					0000000000000000000000000000000000000000000000000000000000000000				13
0002E500	REEncounterTypeChokepoint			None					0000000000000000000000000000000000000000000000000000000000000000				1
0002E501	REEncounterTypeAssault			None					0000000000000000000000000000000000000000000000000000000000000000				14
0002E502	REEncounterTypeCamp			None					0000000000000000000000000000000000000000000000000000000000000000				7
0002FD66	RELinkPatrol			None					0000000000000000000000000000000000000000000000000000000000000000				708
0002FD6E	REScene01ObjStart			None					0000000000000000000000000000000000000000000000000000000000000000				0
000306FD	AnimFurnBarberChair			None					0000000000000000000000000000000000000000000000000000000000000000				6
000306FE	Barber			None					0000000000000000000000000000000000000000000000000000000000000000				3
00030855	DELETED_LocEncMainRaiders			None					0000000000000000000000000000000000000000000000000000000000000000				0
0003085E	RELinkSandbox			None					0000000000000000000000000000000000000000000000000000000000000000				148
00030860	RELinkTravel			None					0000000000000000000000000000000000000000000000000000000000000000				29
000308F4	AnimFurnMoleratAmbushLong			None					0000000000000000000000000000000000000000000000000000000000000000				3
0003094F	LinkCustom05			None					0000000000000000000000000000000000000000000000000000000000000000				135
00030950	LinkCustom06			None					0000000000000000000000000000000000000000000000000000000000000000				14
00030951	LinkCustom07			None					0000000000000000000000000000000000000000000000000000000000000000				21
00030952	LinkCustom08			None					0000000000000000000000000000000000000000000000000000000000000000				3
00030953	LinkCustom09			None					0000000000000000000000000000000000000000000000000000000000000000				3
00030972	LinkCustom10			None					0000000000000000000000000000000000000000000000000000000000000000				1
00022CE6	VendorFood			None					0000000000000000000000000000000000000000000000000000000000000000				0
00022611	LocTypeSettlement			None					0000000000000000000000000000000000000000000000000000000000000000				8
0002249C	ap_gun_Muzzle	No Muzzle		Attach Point			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				631
00003954	LocTypeInteriorCell								0000000000000000000000000000000000000000000000000000000000000000				179
00003955	LocTypeHouse								0000000000000000000000000000000000000000000000000000000000000000				4
0000395B	LocTypeStore								0000000000000000000000000000000000000000000000000000000000000000				0
0001F946	AnimsLaserMusket			None					0000000000000000000000000000000000000000000000000000000000000000				6
0001F947	AnimsGripRifleAssault			None					0000000000000000000000000000000000000000000000000000000000000000				121
0001F948	AnimsGripPistol			None					0000000000000000000000000000000000000000000000000000000000000000				226
0001FA88	ctl_1_Primitive		Primitive	Component Tech Level					0000000000000000000000000000000000000000000000000000000000000000				0
0001FA89	ctl_2_Simple		Simple	Component Tech Level					0000000000000000000000000000000000000000000000000000000000000000				0
0001FA8A	ctl_3_Complex		Complex	Component Tech Level					0000000000000000000000000000000000000000000000000000000000000000				0
0001FA8B	ctl_4_Alien		Alien	Component Tech Level					0000000000000000000000000000000000000000000000000000000000000000				0
000212FE	AnimsMinigun			None					0000000000000000000000000000000000000000000000000000000000000000				30
00021891	GeneralWorkBench			None					0000000000000000000000000000000000000000000000000000000000000000				0
00021AD0	ActorTypeDog			None					0000000000000000000000000000000000000000000000000000000000000000				57
00021B18	IsSleepFurniture			None					0000000000000000000000000000000000000000000000000000000000000000				374
00022499	ap_gun_Scope		Scope	Attach Point					0000000000000000000000000000000000000000000000000000000000000000				1285
0002249D	ap_gun_Barrel		Barrel	Attach Point					0000000000000000000000000000000000000000000000000000000000000000				1394
0002249F	ap_gun_Grip		Grip	Attach Point					0000000000000000000000000000000000000000000000000000000000000000				1012
00022612	LocTypeResponderEyebot			None					0000000000000000000000000000000000000000000000000000000000000000				39
00022632	LocTypeBar			None					0000000000000000000000000000000000000000000000000000000000000000				0
00022821	ap_armor_Lining	No Misc		Attach Point		internal, non-visual modification.	00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				825
00022910	LocTypeWarehouse			None					0000000000000000000000000000000000000000000000000000000000000000				0
00022B30	linkWaitPoint			None		used by Default Master Package			0000000000000000000000000000000000000000000000000000000000000000				1
00022CE3	VendorItemKey			None					0000000000000000000000000000000000000000000000000000000000000000				1
00022CE4	VendorItemNoSale			None					0000000000000000000000000000000000000000000000000000000000000000				1
00022CE7	VendorItemChems			None					0000000000000000000000000000000000000000000000000000000000000000				1
00022CE8	VendorItemWeapon			None					0000000000000000000000000000000000000000000000000000000000000000				0
00022E49	AnimArchetypeConfident			Anim Archetype					0000000000000000000000000000000000000000000000000000000000000000				105
00023465	Anims1hmWeapon			None					0000000000000000000000000000000000000000000000000000000000000000				242
0010CD0A	ClothingNecklace								0000000000000000000000000000000000000000000000000000000000000000				0
001051E5	TwoStateCollisionKeyword								0000000000000000000000000000000000000000000000000000000000000000				853
000EAA4B	isWritingChair								0000000000000000000000000000000000000000000000000000000000000000				0
000A8664	JewelryExpensive								0000000000000000000000000000000000000000000000000000000000000000				0
000914E6	PowerAttackTypeForward								0000000000000000000000000000000000000000000000000000000000000000				0
0006D95E	WRackTrigger								0000000000000000000000000000000000000000000000000000000000000000				0
0005D5FE	LinkCustom04								0000000000000000000000000000000000000000000000000000000000000000				178
00013794	ActorTypeNPC								0000000000000000000000000000000000000000000000000000000000000000				78
00013795	ActorTypeCreature								0000000000000000000000000000000000000000000000000000000000000000				226
00013798	ActorTypeAnimal								0000000000000000000000000000000000000000000000000000000000000000				72
0004A600	REEncounterTypeScene			None					0000000000000000000000000000000000000000000000000000000000000000				13
0005D5E6	LinkCustom01								0000000000000000000000000000000000000000000000000000000000000000				701
0005D5E7	LinkCustom02			None					0000000000000000000000000000000000000000000000000000000000000000				275
0005D5E8	LinkCustom03								0000000000000000000000000000000000000000000000000000000000000000				243
0006BBE9	ArmorBodyPartNecklace			None					0000000000000000000000000000000000000000000000000000000000000000				1
0006C0EC	ArmorBodyPartChest			None					0000000000000000000000000000000000000000000000000000000000000000				79
0006C0ED	ArmorBodyPartFeet			None					0000000000000000000000000000000000000000000000000000000000000000				87
0006D1E5	WISabotageStart								0000000000000000000000000000000000000000000000000000000000000000				0
0006D95F	WRackActivator								0000000000000000000000000000000000000000000000000000000000000000				0
0006DEAD	ActivatorLever								0000000000000000000000000000000000000000000000000000000000000000				2
0006E9C7	FurnitureSpecial								0000000000000000000000000000000000000000000000000000000000000000				143
0004C5BA	WICommentEntrances								0000000000000000000000000000000000000000000000000000000000000000				0
0008F959	VendorItemArmor								0000000000000000000000000000000000000000000000000000000000000000				0
0008F95B	VendorItemClothing								0000000000000000000000000000000000000000000000000000000000000000				0
000914E5	PowerAttackTypeStanding								0000000000000000000000000000000000000000000000000000000000000000				0
000914E7	PowerAttackTypeSide								0000000000000000000000000000000000000000000000000000000000000000				0
000914E8	PowerAttackTypeBack								0000000000000000000000000000000000000000000000000000000000000000				0
0009B9A9	AnimFurnTable			None					0000000000000000000000000000000000000000000000000000000000000000				0
000A56D7	FurnitureForce1stPerson								0000000000000000000000000000000000000000000000000000000000000000				2350
000A56D8	FurnitureForce3rdPerson								0000000000000000000000000000000000000000000000000000000000000000				580
000A8657	ClothingBody								0000000000000000000000000000000000000000000000000000000000000000				0
000A865C	ClothingPoor								0000000000000000000000000000000000000000000000000000000000000000				0
000B7DB3	FurntiureNoPlayerAnim								0000000000000000000000000000000000000000000000000000000000000000				52
000BCEF6	Movable			None					0000000000000000000000000000000000000000000000000000000000000000				2
00074EC7	AnimFurnBarStool			None					0000000000000000000000000000000000000000000000000000000000000000				35
0008C775	FurnitureLayDownMarker								0000000000000000000000000000000000000000000000000000000000000000				0
00019926	FloraFlower								0000000000000000000000000000000000000000000000000000000000000000				0
000C4EF2	isLeanTable								0000000000000000000000000000000000000000000000000000000000000000				0
00099306	PlayerKeyword			None					0000000000000000000000000000000000000000000000000000000000000000				95
000D5ABE	BookShelfContainer								0000000000000000000000000000000000000000000000000000000000000000				0
000D873F	IsWounded01								0000000000000000000000000000000000000000000000000000000000000000				0
000D8740	IsWounded02								0000000000000000000000000000000000000000000000000000000000000000				0
000D8741	IsWounded03								0000000000000000000000000000000000000000000000000000000000000000				0
000EA33C	isWritingTable								0000000000000000000000000000000000000000000000000000000000000000				0
000F23C5	ImmuneParalysis								0000000000000000000000000000000000000000000000000000000000000000				154
000F5078	isBarCounter								0000000000000000000000000000000000000000000000000000000000000000				0
000FCD57	RaceUseGeometryEmitterForParticles								0000000000000000000000000000000000000000000000000000000000000000				0
000FD0E1	RaceToScale								0000000000000000000000000000000000000000000000000000000000000000				0
001027A6	REEncounterTypeTravel			None					0000000000000000000000000000000000000000000000000000000000000000				13
0010805B	MustStop								0000000000000000000000000000000000000000000000000000000000000000				0
00109C58	GoalLink								0000000000000000000000000000000000000000000000000000000000000000				0
0010C443	UpdateDuringArchery								0000000000000000000000000000000000000000000000000000000000000000				0
0010CD08	ClothingHead			None					0000000000000000000000000000000000000000000000000000000000000000				0
0010CD09	ClothingRing								0000000000000000000000000000000000000000000000000000000000000000				0
00000F54	PowerAttackBash								0000000000000000000000000000000000000000000000000000000000000000				0
0003B2C1	GuardMarker			None					0000000000000000000000000000000000000000000000000000000000000000				0
0003D290	AnimArchetypeFriendly			Anim Archetype					0000000000000000000000000000000000000000000000000000000000000000				131
0003F76F	DMP_Patrol_WeaponOut			None					0000000000000000000000000000000000000000000000000000000000000000				338
0003F770	DMP_Sandbox_1024			None					0000000000000000000000000000000000000000000000000000000000000000				7
0003FA87	DMP_Sandbox_768			None					0000000000000000000000000000000000000000000000000000000000000000				2
0003FA88	DMP_Sandbox_2048			None					0000000000000000000000000000000000000000000000000000000000000000				5
0003FA89	DMP_Sandbox_1600			None					0000000000000000000000000000000000000000000000000000000000000000				2
0003FA8A	DMP_Sandbox_512			None					0000000000000000000000000000000000000000000000000000000000000000				3
000421F5	DMP_Suspicious_Patrol			None					0000000000000000000000000000000000000000000000000000000000000000				41
000421F8	DMP_Suspicious_Sandbox			None					0000000000000000000000000000000000000000000000000000000000000000				41
000421FA	DMP_Patrol_Jog			None					0000000000000000000000000000000000000000000000000000000000000000				42
000421FB	DMP_Patrol_Run			None					0000000000000000000000000000000000000000000000000000000000000000				70
000421FC	DMP_Patrol_FastWalk			None					0000000000000000000000000000000000000000000000000000000000000000				212
000421FE	DMP_Patrol_WeaponOut_FastWalk			None					0000000000000000000000000000000000000000000000000000000000000000				60
000421FF	DMP_Patrol_WeaponOut_Jog			None					0000000000000000000000000000000000000000000000000000000000000000				33
00042200	DMP_Patrol_WeaponOut_Run			None					0000000000000000000000000000000000000000000000000000000000000000				44
00042241	DMP_Combat_HoldPosition			None					0000000000000000000000000000000000000000000000000000000000000000				5291
00042243	DMP_Combat_Activate			None					0000000000000000000000000000000000000000000000000000000000000000				7
00042246	DMP_Combat_HoldPosition_512			None					0000000000000000000000000000000000000000000000000000000000000000				6
00042247	DMP_Combat_HoldPosition_768			None					0000000000000000000000000000000000000000000000000000000000000000				5
000464EF	AnimsGripRifleStraight			None					0000000000000000000000000000000000000000000000000000000000000000				189
000464F0	AnimsRecieverHandmadePipe			None					0000000000000000000000000000000000000000000000000000000000000000				36
000464F1	AnimsRecieverHandmadeShotgun			None					0000000000000000000000000000000000000000000000000000000000000000				0
00047E24	ap_Bot_ModArmsSlotA			Attach Point					0000000000000000000000000000000000000000000000000000000000000000				49
00047E25	ap_Bot_ModHands			Attach Point					0000000000000000000000000000000000000000000000000000000000000000				80
00047E26	ap_Bot_ArmsTypeA1			Attach Point					0000000000000000000000000000000000000000000000000000000000000000				29
00047E28	ap_Bot_ModSlotB			Attach Point					0000000000000000000000000000000000000000000000000000000000000000				47
00047E2A	ap_Bot_ModLegs			Attach Point					0000000000000000000000000000000000000000000000000000000000000000				0
00047E2C	ap_Bot_ModSlotA			Attach Point					0000000000000000000000000000000000000000000000000000000000000000				37
00047E2D	ap_Bot_ModSlotC			Attach Point					0000000000000000000000000000000000000000000000000000000000000000				3
00048DD2	if_Receiver_Revolver			Instantiation Filter					0000000000000000000000000000000000000000000000000000000000000000				0
00048DD3	if_Receiver_PipeSS			Instantiation Filter					0000000000000000000000000000000000000000000000000000000000000000				0
00049625	AnimFurnBloodBugFeedBrahmin1			None					0000000000000000000000000000000000000000000000000000000000000000				2
00049626	AnimFurnBloodBugFeedBrahmin2			None					0000000000000000000000000000000000000000000000000000000000000000				2
00049627	AnimFurnBloodBugFeedBrahmin3			None					0000000000000000000000000000000000000000000000000000000000000000				2
0004A0A0	WeaponTypePistol	Pistol		Item Type			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				242
0004A0A1	WeaponTypeRifle	Rifle		Item Type			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				334
0004A0A2	WeaponTypeAutomatic			None					0000000000000000000000000000000000000000000000000000000000000000				275
0004A0A3	WeaponTypeHeavyGun	Big Gun		Item Type			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				341
0004A0A4	WeaponTypeMelee1H	1-Hand Melee		Item Type			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				291
0004A0A5	WeaponTypeMelee2H	2-Hand Melee		Item Type			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				223
0004A0A6	WeaponTypeThrown	Throwing		Item Type			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				117
0004A0A7	ApparelTypeArmor			None					0000000000000000000000000000000000000000000000000000000000000000				0
0004A0A8	ApparelTypeClothing			UI Icon Linkage Name		Keyword that controls the displayed icon in the favorites UI			0000000000000000000000000000000000000000000000000000000000000000	ClothesIcon			4
0004A0C8	DamageTypeFire			None					0000000000000000000000000000000000000000000000000000000000000000				52
0004A0C9	DamageTypeCyro			None					0000000000000000000000000000000000000000000000000000000000000000				16
0004A0CA	DamageTypeElectricty			None					0000000000000000000000000000000000000000000000000000000000000000				1
0004A0CB	DamageTypeEnergy			None					0000000000000000000000000000000000000000000000000000000000000000				54
000000C1	SplineLink			None					0000000000000000000000000000000000000000000000000000000000000000				1077
0004B25B	DamageTypePoison			None					0000000000000000000000000000000000000000000000000000000000000000				71
0004B25C	DamageTypeRadiation			None					0000000000000000000000000000000000000000000000000000000000000000				49
0004B6E1	ap_gun_ProjectileNode			Attach Point					0000000000000000000000000000000000000000000000000000000000000000				695
0004C7EA	AnimsFP10mm			None		This sets the FP subgraph data			0000000000000000000000000000000000000000000000000000000000000000				65
0004C922	WeaponTypeExplosive	Explosive		Item Type			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				161
0004C948	ChemTypeStimpack			None					0000000000000000000000000000000000000000000000000000000000000000				21
0004CE86	AnimFurnBloodbugFeedGeneric			None					0000000000000000000000000000000000000000000000000000000000000000				2
0004D897	ChemEffect			None					0000000000000000000000000000000000000000000000000000000000000000				75
0004D8A1	ArmorTypePower			None					0000000000000000000000000000000000000000000000000000000000000000				473
0004F62C	remapNode			Function Call		remaps "ProjectileNode" to "P-ProjectiveNode"  used by weapon mods			0000000000000000000000000000000000000000000000000000000000000000				330
00051747	s_10_Player			Sound					0000000000000000000000000000000000000000000000000000000000000000				160
00051748	s_40_Pistol10mm			Sound					0000000000000000000000000000000000000000000000000000000000000000				65
0005240A	AlcoholEffect			None					0000000000000000000000000000000000000000000000000000000000000000				118
0005240E	WeaponTypeUnarmed	Fist		Item Type			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				256
00052442	if_Armor_Tier1			Instantiation Filter					0000000000000000000000000000000000000000000000000000000000000000				8
00052443	if_Armor_Tier2			Instantiation Filter					0000000000000000000000000000000000000000000000000000000000000000				0
00052444	if_Armor_Tier3			Instantiation Filter					0000000000000000000000000000000000000000000000000000000000000000				0
000536C6	ap_armor_Tier	Material		Attach Point			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				719
000549EE	AnimFurnBloodBugAmbushCeiling			None					0000000000000000000000000000000000000000000000000000000000000000				5
000549EF	AnimFurnBloodBugAmbushGround			None					0000000000000000000000000000000000000000000000000000000000000000				3
000549F0	AnimFurnBloodBugAmbushWall			None					0000000000000000000000000000000000000000000000000000000000000000				3
00054A67	s_20_Silenced			Sound					0000000000000000000000000000000000000000000000000000000000000000				63
00054A68	s_40_Minigun			Sound					0000000000000000000000000000000000000000000000000000000000000000				23
00054A69	s_40_RifleIstvan			Sound					0000000000000000000000000000000000000000000000000000000000000000				37
00054BA4	WorkshopPowerConnectionKW			None					0000000000000000000000000000000000000000000000000000000000000000				546
00054BA6	WorkshopItemKeyword			None					0000000000000000000000000000000000000000000000000000000000000000				3227
00054BA7	WorkshopKeyword			None					00001				15
00054BA8	WorkshopInternalPowersItem			None					0000000000000000000000000000000000000000000000000000000000000000				0
00054BA9	WorkshopInternalPoweredBy			None					0000000000000000000000000000000000000000000000000000000000000000				0
00054BD4	AnimFurnRadroachAmbush			None					0000000000000000000000000000000000000000000000000000000000000000				3
00055C58	if_Restricted_Backup_Pistol			Instantiation Filter					0000000000000001				0
00055F8C	ap_PowerArmor_BodyMod	Paint		Attach Point			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				722
00055F8D	ap_PowerArmor_LArmMod	Paint		Attach Point			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				705
00055F8E	ap_PowerArmor_RArmMod	Paint		Attach Point			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				705
00055F8F	ap_PowerArmor_RLegMod	Paint		Attach Point			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				704
00055F90	ap_PowerArmor_LLegMod	Paint		Attach Point			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				703
00055F9C	s_40_PistolHandmadeRevolverA			Sound					0000000000000000000000000000000000000000000000000000000000000000				9
0001325E	s_40_RifleLaserMusket			Sound					0000000000000000000000000000000000000000000000000000000000000000				4
0001B27E	MirelurkAmbushFurnitureKeyword			None					0000000000000000000000000000000000000000000000000000000000000000				0
0001B27F	MirelurkAmbushWaterKeyword			None					0000000000000000000000000000000000000000000000000000000000000000				2
0001DC63	s_40_HandmadePipeA			Sound					0000000000000000000000000000000000000000000000000000000000000000				39
00020582	s_40_PistolLaser			Sound					0000000000000000000000000000000000000000000000000000000000000000				3
0002058F	WorkshopLinkHome			None					0000000000000000000000000000000000000000000000000000000000000000				2
00020592	WorkshopWorkObject			None					0000000000000000000000000000000000000000000000000000000000000000				2
00020596	WorkshopBedObject			None					0000000000000000000000000000000000000000000000000000000000000000				0
00020758	AnimFurnRadroachAmbushWall			None					0000000000000000000000000000000000000000000000000000000000000000				0
0002095D	dn_HasScope			None					0000000000000000000000000000000000000000000000000000000000000000				9
00020C3E	WorkshopLinkMapMarker			None					0000000000000000000000000000000000000000000000000000000000000000				44
000234F1	LocTypeWorkshop			None					0000000000000000000000000000000000000000000000000000000000000000				43
0002377B	if_ScopeAny			Instantiation Filter					0000000000000000000000000000000000000000000000000000000000000000				10
00025014	dn_HasBarrel_Long			None					0000000000000000000000000000000000000000000000000000000000000000				113
00025015	dn_HasBarrel_Null			None					0000000000000000000000000000000000000000000000000000000000000000				17
00025017	dn_HasBarrel_Short			None					0000000000000000000000000000000000000000000000000000000000000000				85
00025018	dn_HasGrip_Pistol			None					0000000000000000000000000000000000000000000000000000000000000000				55
00025019	dn_HasGrip_Rifle			None					0000000000000000000000000000000000000000000000000000000000000000				147
0002501A	dn_HasReceiverSingleShot_OBSOLETE			None					0000000000000000000000000000000000000000000000000000000000000000				9
0002501B	dn_HasReceiverRevolver_OBSOLETE			None					0000000000000000000000000000000000000000000000000000000000000000				5
000264D6	AnimFurnCryoPodFurniture			None					0000000000000000000000000000000000000000000000000000000000000000				0
0002682F	WorkshopLinkContainer			None					0000000000000000000000000000000000000000000000000000000000000000				31
00026A9A	ap_gun_InternalModA_OBSOLETE	Internal Modification		Attach Point			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				45
00026A9B	ap_gun_InternalModB_OBSOLETE	Internal Modification B		Attach Point			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				31
00026A9D	ap_gun_InternalModC_OBSOLETE	Internal Modification C		Attach Point			00 00 00 00		0000000000000000000000000000000000000000000000000000000000000000				31
0002A196	WorkshopRadioObject			None					0000000000000000000000000000000000000000000000000000000000000000				0
0002A198	WorkshopLinkSpawn			None					0000000000000000000000000000000000000000000000000000000000000000				36
0002BF7D	AnimFurnFloorSitRadioListen			None					0000000000000000000000000000000000000000000000000000000000000000				2
0002C0EF	if_Receiver_PipeMG			Instantiation Filter					0000000000000000000000000000000000000000000000000000000000000000				0
0002C874	dn_HasReceiver_Automatic			None					0000000000000000000000000000000000000000000000000000000000000000				56
0003037E	WorkshopCanBePowered			None					0000000000000000000000000000000000000000000000000000000000000000				1434
00030380	WorkshopGeneratesPower			None					0000000000000000000000000000000000000000000000000000000000000000				1
00031C8D	if_Bayonet			Instantiation Filter					0000000000000000000000000000000000000000000000000000000000000000				0
