QuestFormID	QuestEDID	QuestName	StageIndex	StageFlags	LogEntryIndex	LogFlags	LogText	NextQuest	Fragments	Conditions	Links
000043A2	MTNS05_Voices	Daily: Someone To Talk To	110	Checkpoint	0				Fragment_Stage_0110_Item_00		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	150	Checkpoint	0				Fragment_Stage_0150_Item_00		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	160	Checkpoint	0				Fragment_Stage_0160_Item_00		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	200	Checkpoint	0		I need to find the specified creatures and shoot them with the Vox Syringer. Once the transmission starts, I need to keep the creature alive and within range for enough time to collect sufficient data.		Fragment_Stage_0200_Item_00		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	275	Checkpoint	0		I have collected all the data I need. I should return the Vox Syringer. I will then need to return the holotape to Dr. Harrison's terminal so it can process and store the information.		Fragment_Stage_0275_Item_00		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	300		0		I have collected all the data I need. I should return the holotape to Dr. Harrison's terminal so it can process and store the information.		Fragment_Stage_0300_Item_00		
000043A2	MTNS05_Voices	Daily: Someone To Talk To	400		0	Complete Quest			Fragment_Stage_0400_Item_00		QRWD=00631293:QuestReward_MTNS05_Voices_Stage400_01:GMRW
00009179	GQ_WorkshopAttack_Takeover	Event: Retake <Alias=AttackLocation>	10		0		<Alias.RacePlural=AttackerName> have taken over <Alias=AttackLocation>. I have to drive them out!		Fragment_Stage_0010_Item_00		
00009179	GQ_WorkshopAttack_Takeover	Event: Retake <Alias=AttackLocation>	20		0						
00009179	GQ_WorkshopAttack_Takeover	Event: Retake <Alias=AttackLocation>	50		0	Complete Quest			Fragment_Stage_0050_Item_00		QRWD=0063124C:QuestReward_GQ_WorkshopAttack_Takeover_Stage50_01:GMRW
00009179	GQ_WorkshopAttack_Takeover	Event: Retake <Alias=AttackLocation>	100	Run On Stop	0				Fragment_Stage_0100_Item_00		
0000FFED	FF09_Reaper	Activity: Fertile Soil	1	Run On Start	0				Fragment_Stage_0001_Item_00		
0000FFED	FF09_Reaper	Activity: Fertile Soil	2		0						
0000FFED	FF09_Reaper	Activity: Fertile Soil	50		0						
0000FFED	FF09_Reaper	Activity: Fertile Soil	100	Start Timer	0		A Responder broadcast warned that the Mr. Farmhands are out of control. The Supervisors have to be eliminated.		Fragment_Stage_0100_Item_00		
0000FFED	FF09_Reaper	Activity: Fertile Soil	310		0		A Responder broadcast warned that the Mr. Farmhands are out of control. The Supervisors have to be eliminated.		Fragment_Stage_0310_Item_00		
0000FFED	FF09_Reaper	Activity: Fertile Soil	320		0		A Responder broadcast warned that the Mr. Farmhands are out of control. The Supervisors have to be eliminated.		Fragment_Stage_0320_Item_00		
0000FFED	FF09_Reaper	Activity: Fertile Soil	330		0		A Responder broadcast warned that the Mr. Farmhands are out of control. The Supervisors have to be eliminated.		Fragment_Stage_0330_Item_00		
0000FFED	FF09_Reaper	Activity: Fertile Soil	400		0		With the Farmhands' Supervisors destroyed, the mainframe controlling the Mr. Farmhand AI needs to be reset.		Fragment_Stage_0400_Item_00		
0000FFED	FF09_Reaper	Activity: Fertile Soil	500		0	Complete Quest			Fragment_Stage_0500_Item_00		QRWD=0063122B:QuestReward_FF09_Reaper_Stage500_01:GMRW
0000FFED	FF09_Reaper	Activity: Fertile Soil	600		0				Fragment_Stage_0600_Item_00		
0000FFED	FF09_Reaper	Activity: Fertile Soil	8900		0	Fail Quest			Fragment_Stage_8900_Item_00		
0000FFED	FF09_Reaper	Activity: Fertile Soil	9000	Run On Stop	0				Fragment_Stage_9000_Item_00		
00011CCC	GQ_WorkshopAttackScorchbeasts	Event: Defend <Alias=AttackLocation>	10	Run On Start	0						
00011CCC	GQ_WorkshopAttackScorchbeasts	Event: Defend <Alias=AttackLocation>	20		0				Fragment_Stage_0020_Item_00		
00011CCC	GQ_WorkshopAttackScorchbeasts	Event: Defend <Alias=AttackLocation>	30		0				Fragment_Stage_0030_Item_00		
00011CCC	GQ_WorkshopAttackScorchbeasts	Event: Defend <Alias=AttackLocation>	50		0	Complete Quest			Fragment_Stage_0050_Item_00		QRWD=0063124D:QuestReward_GQ_WorkshopAttackScorchbeasts_Stage50_01:GMRW
00011CCC	GQ_WorkshopAttackScorchbeasts	Event: Defend <Alias=AttackLocation>	100	Run On Stop							
0001A634	RE_Scene_MTNZ05_Messenger	Event: The Messenger	50	Run On Start	0				Fragment_Stage_0050_Item_00		
0001A634	RE_Scene_MTNZ05_Messenger	Event: The Messenger	100		0		There is an incapacitated Mr. Messenger robot that appears to be waiting for someone to speak with it.		Fragment_Stage_0100_Item_00		
0001A634	RE_Scene_MTNZ05_Messenger	Event: The Messenger	200		0		The Mr. Messenger robot needs someone to replace a nearby component that came loose so it can continue its task.		Fragment_Stage_0200_Item_00		
0001A634	RE_Scene_MTNZ05_Messenger	Event: The Messenger	210		0				Fragment_Stage_0210_Item_00		
0001A634	RE_Scene_MTNZ05_Messenger	Event: The Messenger	300		0		The Mr. Messenger robot is offering a reward to anyone willing to help it safely navigate hostile terrain and get safely to its destination.		Fragment_Stage_0300_Item_00		
0001A634	RE_Scene_MTNZ05_Messenger	Event: The Messenger	301		0				Fragment_Stage_0301_Item_00		
0001A634	RE_Scene_MTNZ05_Messenger	Event: The Messenger	302		0				Fragment_Stage_0302_Item_00		
0001A634	RE_Scene_MTNZ05_Messenger	Event: The Messenger	400		0		The Mr. Messenger robot has more or less safely arrived at its destination. It still seems rather confused, though.		Fragment_Stage_0400_Item_00		
0001A634	RE_Scene_MTNZ05_Messenger	Event: The Messenger	401		0				Fragment_Stage_0401_Item_00		
0001A634	RE_Scene_MTNZ05_Messenger	Event: The Messenger	402		0				Fragment_Stage_0402_Item_00		
0001A634	RE_Scene_MTNZ05_Messenger	Event: The Messenger	500		0	Complete Quest			Fragment_Stage_0500_Item_00		QRWD=006312D2:QuestReward_RE_Scene_MTNZ05_Messenger_Stage500_01:GMRW
0001A634	RE_Scene_MTNZ05_Messenger	Event: The Messenger	600		0	Fail Quest			Fragment_Stage_0600_Item_00		QRWD=006312D3:QuestReward_RE_Scene_MTNZ05_Messenger_Stage600_01:GMRW
0001A634	RE_Scene_MTNZ05_Messenger	Event: The Messenger	700	Run On Stop	0				Fragment_Stage_0700_Item_00		
0001B46A	GQ_WorkshopAttack	Event: Defend <Alias=AttackLocation>	10		0		An attack is imminent! I have to prepare my defenses.		Fragment_Stage_0010_Item_00		
0001B46A	GQ_WorkshopAttack	Event: Defend <Alias=AttackLocation>	15		0				Fragment_Stage_0015_Item_00		
0001B46A	GQ_WorkshopAttack	Event: Defend <Alias=AttackLocation>	20		0		<Alias.RacePlural=AttackerName> are attacking <Alias=AttackLocation>! I have to defeat them before they overrun the defenses.				
0001B46A	GQ_WorkshopAttack	Event: Defend <Alias=AttackLocation>	21		0						
0001B46A	GQ_WorkshopAttack	Event: Defend <Alias=AttackLocation>	22		0						
0001B46A	GQ_WorkshopAttack	Event: Defend <Alias=AttackLocation>	23		0						
0001B46A	GQ_WorkshopAttack	Event: Defend <Alias=AttackLocation>	24		0						
0001B46A	GQ_WorkshopAttack	Event: Defend <Alias=AttackLocation>	25		0						
0001B46A	GQ_WorkshopAttack	Event: Defend <Alias=AttackLocation>	40		0	Fail Quest			Fragment_Stage_0040_Item_00		
0001B46A	GQ_WorkshopAttack	Event: Defend <Alias=AttackLocation>	50		0	Complete Quest			Fragment_Stage_0050_Item_00		QRWD=0063124B:QuestReward_GQ_WorkshopAttack_Stage50_01:GMRW
0001B46A	GQ_WorkshopAttack	Event: Defend <Alias=AttackLocation>	100	Run On Stop							
0001C035	FF05_Balance	Daily: Ecological Balance	10	Run On Start ; Checkpoint	0		I discovered a trailer at Tygart Water Treatment that appears to have been occupied not long ago. I should take a closer look.		Fragment_Stage_0010_Item_00		
0001C035	FF05_Balance	Daily: Ecological Balance	15	Checkpoint	0		I discovered a trailer at Tygart Water Treatment that appears to have been occupied not long ago. I should take a closer look.		Fragment_Stage_0015_Item_00		
0001C035	FF05_Balance	Daily: Ecological Balance	20	Checkpoint	0		While investigating a trailer at Tygart Water Treatment, I found a holotape made by a woman who was in hiding. She claimed to have a password for her terminal. If I can find out where she went, I can learn about the work she was doing.		Fragment_Stage_0020_Item_00		QRWD=00631224:QuestReward_FF05_Balance_Stage20_01:GMRW
0001C035	FF05_Balance	Daily: Ecological Balance	25	Checkpoint	0		While investigating a trailer at Tygart Water Treatment, I found a holotape made by a woman who was in hiding. She claimed to have a password for her terminal. If I can find out where she went, I can learn about the work she was doing.		Fragment_Stage_0025_Item_00		
0001C035	FF05_Balance	Daily: Ecological Balance	30	Checkpoint	0		While investigating a trailer at Tygart Water Treatment, I found a holotape made by a woman who was working on an environmental monitoring program.		Fragment_Stage_0030_Item_00		
0001C035	FF05_Balance	Daily: Ecological Balance	40	Checkpoint	0		At Tygart Water Treatment, I discovered the work of a woman who was studying the environment for Scorched contamination. With the password to her terminal, I can learn even more.		Fragment_Stage_0040_Item_00		QRWD=00631225:QuestReward_FF05_Balance_Stage40_01:GMRW
0001C035	FF05_Balance	Daily: Ecological Balance	50	Checkpoint	0		At Tygart Water Treatment, I discovered the work of a woman who was studying the environment for Scorched contamination. To gather the data for her project, I need to retrieve holotapes from air, water and soil sensors, and then upload the data to her terminal.		Fragment_Stage_0050_Item_00		
0001C035	FF05_Balance	Daily: Ecological Balance	100	Checkpoint	0		At Tygart Water Treatment, I discovered the work of a woman who was studying the environment for Scorched contamination. To gather the data for her project, I need to retrieve holotapes from air, water and soil sensors, and then upload the data to her terminal.		Fragment_Stage_0100_Item_00		
0001C035	FF05_Balance	Daily: Ecological Balance	200	Checkpoint	0		At Tygart Water Treatment, I discovered the work of a woman who was studying the environment for Scorched contamination. To gather the data for her project, I need to retrieve holotapes from air, water and soil sensors, and then upload the data to her terminal.		Fragment_Stage_0200_Item_00		
0001C035	FF05_Balance	Daily: Ecological Balance	300	Checkpoint	0		At Tygart Water Treatment, I discovered the work of a woman who was studying the environment for Scorched contamination. To gather the data for her project, I need to retrieve holotapes from air, water and soil sensors, and then upload the data to her terminal.		Fragment_Stage_0300_Item_00		
0001C035	FF05_Balance	Daily: Ecological Balance	350	Checkpoint	0		At Tygart Water Treatment, I discovered the work of a woman who was studying the environment for Scorched contamination. To gather the data for her project, I need to retrieve holotapes from air, water and soil sensors, and then upload the data to her terminal.		Fragment_Stage_0350_Item_00		
0001C035	FF05_Balance	Daily: Ecological Balance	400		0		At Tygart Water Treatment, I discovered the work of a woman who was studying the environment for Scorched contamination. To gather the data for her project, I need to retrieve holotapes from air, water and soil sensors, and then upload the data to her terminal.		Fragment_Stage_0400_Item_00		
0001C035	FF05_Balance	Daily: Ecological Balance	500		0		At Tygart Water Treatment, I discovered the work of a woman who was studying the environment for Scorched contamination. To gather the data for her project, I need to retrieve holotapes from air, water and soil sensors, and then upload the data to her terminal.		Fragment_Stage_0500_Item_00		
0001C035	FF05_Balance	Daily: Ecological Balance	600		0		At Tygart Water Treatment, I discovered the work of a woman who was studying the environment for Scorched contamination. To gather the data for her project, I need to retrieve holotapes from air, water and soil sensors, and then upload the data to her terminal.		Fragment_Stage_0600_Item_00		
0001C035	FF05_Balance	Daily: Ecological Balance	650		0		At Tygart Water Treatment, I discovered the work of a woman who was studying the environment for Scorched contamination. To gather the data for her project, I need to retrieve holotapes from air, water and soil sensors, and then upload the data to her terminal.		Fragment_Stage_0650_Item_00		
0001C035	FF05_Balance	Daily: Ecological Balance	1000		0	Complete Quest	I learned that a woman named Amy Kerry was monitoring the environment for changes brought on by the Scorched. To continue her work, I retrieved holotapes from environmental sensors and then uploaded the data to her terminal, which contains a program to analyze the data.		Fragment_Stage_1000_Item_00		QRWD=00631223:QuestReward_FF05_Balance_Stage1000_01:GMRW
0001C035	FF05_Balance	Daily: Ecological Balance	2000	Run On Stop	0				Fragment_Stage_2000_Item_00		
0002443A	CB02_MonsterMash	Activity: Monster Mash	0	Run On Start	0		I'm participating in Watoga High School's Monster Mash. I need to collect as much candy as possible. I can do this by wearing the mask and avoiding getting hit by others, or I can hit the person wearing the mask to steal their candy.		Fragment_Stage_0000_Item_00		QRWD=006311C2:QuestReward_CB02_MonsterMash_Stage0_01:GMRW
0002443A	CB02_MonsterMash	Activity: Monster Mash	1		0						QRWD=006311C4:QuestReward_CB02_MonsterMash_Stage1_01:GMRW
0002443A	CB02_MonsterMash	Activity: Monster Mash	10		0				Fragment_Stage_0010_Item_00		
0002443A	CB02_MonsterMash	Activity: Monster Mash	100	Keep Instance Data From Here On	0				Fragment_Stage_0100_Item_00		QRWD=006311C3:QuestReward_CB02_MonsterMash_Stage100_01:GMRW
0002443A	CB02_MonsterMash	Activity: Monster Mash	500		0				Fragment_Stage_0500_Item_00		
0002443A	CB02_MonsterMash	Activity: Monster Mash	900		0	Complete Quest			Fragment_Stage_0900_Item_00		
0002443A	CB02_MonsterMash	Activity: Monster Mash	999		0				Fragment_Stage_0999_Item_00		
00029183	FFZ16_Swatter	Activity: Fly Swatter	10	Run On Start	0				Fragment_Stage_0010_Item_00		
00029183	FFZ16_Swatter	Activity: Fly Swatter	100	Start Timer	0		An automated survey Vertibot has been spotted in the Ash Heap region. If we can destroy it before it leaves the area, we can claim valuable salvage from the wreckage.		Fragment_Stage_0100_Item_00		
00029183	FFZ16_Swatter	Activity: Fly Swatter	200		0				Fragment_Stage_0200_Item_00		
00029183	FFZ16_Swatter	Activity: Fly Swatter	300		0				Fragment_Stage_0300_Item_00		
00029183	FFZ16_Swatter	Activity: Fly Swatter	400		0				Fragment_Stage_0400_Item_00		
00029183	FFZ16_Swatter	Activity: Fly Swatter	1000		0	Complete Quest	We succeeded is taking down the Vertibot before it was able to leave the area.		Fragment_Stage_1000_Item_00		QRWD=00631233:QuestReward_FFZ16_Swatter_Stage1000_01:GMRW
00029183	FFZ16_Swatter	Activity: Fly Swatter	1500	Timer End	0	Fail Quest	We failed to destroy the Vertibot before it was able to escape.		Fragment_Stage_1500_Item_00		QRWD=00631234:QuestReward_FFZ16_Swatter_Stage1500_01:GMRW
00029183	FFZ16_Swatter	Activity: Fly Swatter	1600		0				Fragment_Stage_1600_Item_00		
00036191	FF01_DeathBlossoms	Activity: Death Blossoms	10	Run On Start	0		A grove of mutated corpse flowers is about to blossom, and the powerful odor will drive nearby creatures into a frenzy, causing them to attack the plants. The corpse flowers are a valuable source of useful ingredients, and we need to protect them until they can be harvested.		Fragment_Stage_0010_Item_00		
00036191	FF01_DeathBlossoms	Activity: Death Blossoms	20		0				Fragment_Stage_0020_Item_00		
00036191	FF01_DeathBlossoms	Activity: Death Blossoms	100		0				Fragment_Stage_0100_Item_00		
00036191	FF01_DeathBlossoms	Activity: Death Blossoms	110	Start Timer	0				Fragment_Stage_0110_Item_00		
00036191	FF01_DeathBlossoms	Activity: Death Blossoms	200		0		Driven into a frenzy by the powerful aroma of the blossoming corpse flowers, the creatures of the forest are attacking these rare plants. The corpse flowers are a valuable source of useful ingredients, and we need to protect them until they can be harvested.		Fragment_Stage_0200_Item_00		
00036191	FF01_DeathBlossoms	Activity: Death Blossoms	300		0				Fragment_Stage_0300_Item_00		
00036191	FF01_DeathBlossoms	Activity: Death Blossoms	500		0				Fragment_Stage_0500_Item_00		
00036191	FF01_DeathBlossoms	Activity: Death Blossoms	1000	Timer End	0	Complete Quest	We were able to prevent he frenzied forest creatures from destroying all of the corpse flowers.		Fragment_Stage_1000_Item_00		QRWD=00631221:QuestReward_FF01_DeathBlossoms_Stage1000_01:GMRW
00036191	FF01_DeathBlossoms	Activity: Death Blossoms	1500		0	Fail Quest	We failed to prevent the frenzied forest creatures from destroying all of the corpse flowers.		Fragment_Stage_1500_Item_00		QRWD=00631222:QuestReward_FF01_DeathBlossoms_Stage1500_01:GMRW
00036191	FF01_DeathBlossoms	Activity: Death Blossoms	1510		0				Fragment_Stage_1510_Item_00		
00036191	FF01_DeathBlossoms	Activity: Death Blossoms	1525		0				Fragment_Stage_1525_Item_00		
00036191	FF01_DeathBlossoms	Activity: Death Blossoms	1600		0				Fragment_Stage_1600_Item_00		
00036191	FF01_DeathBlossoms	Activity: Death Blossoms	2000	Run On Stop	0				Fragment_Stage_2000_Item_00		
000364D0	MTNS06_Uranium	Event: Uranium Fever	50	Run On Start	0		There's an Auto-Foreman at Blackwater Mine waiting for someone to report for duty at the Uranium Extractor facility.		Fragment_Stage_0050_Item_00		
000364D0	MTNS06_Uranium	Event: Uranium Fever	100		0		There's an Auto-Foreman at Blackwater Mine waiting for someone to report for duty at the Uranium Extractor Terminal. If someone can get the extraction system running, it could be a great source of valuable nuclear material.		Fragment_Stage_0100_Item_00		
000364D0	MTNS06_Uranium	Event: Uranium Fever	150		0				Fragment_Stage_0150_Item_00		
000364D0	MTNS06_Uranium	Event: Uranium Fever	200		0		The Blackwater Mine extractor system is up and running, but it has stirred up the mine's inhabitants into a frenzy. The extraction units need to be protected while they do their job.		Fragment_Stage_0200_Item_00		
000364D0	MTNS06_Uranium	Event: Uranium Fever	201		0				Fragment_Stage_0201_Item_00		
000364D0	MTNS06_Uranium	Event: Uranium Fever	202		0				Fragment_Stage_0202_Item_00		
000364D0	MTNS06_Uranium	Event: Uranium Fever	203		0				Fragment_Stage_0203_Item_00		
000364D0	MTNS06_Uranium	Event: Uranium Fever	211		0				Fragment_Stage_0211_Item_00		
000364D0	MTNS06_Uranium	Event: Uranium Fever	212		0				Fragment_Stage_0212_Item_00		
000364D0	MTNS06_Uranium	Event: Uranium Fever	213		0				Fragment_Stage_0213_Item_00		
000364D0	MTNS06_Uranium	Event: Uranium Fever	300		0	Complete Quest	The extractors pulled up and processed Uranium into something usable.		Fragment_Stage_0300_Item_00		QRWD=00631294:QuestReward_MTNS06_Uranium_Stage300_01:GMRW
000364D0	MTNS06_Uranium	Event: Uranium Fever	325		0	Fail Quest			Fragment_Stage_0325_Item_00		QRWD=00631295:QuestReward_MTNS06_Uranium_Stage325_01:GMRW
000364D0	MTNS06_Uranium	Event: Uranium Fever	350		0	Fail Quest			Fragment_Stage_0350_Item_00		
000364D0	MTNS06_Uranium	Event: Uranium Fever	400		0				Fragment_Stage_0400_Item_00		
000364D0	MTNS06_Uranium	Event: Uranium Fever	500	Run On Stop	0						
000364D0	MTNS06_Uranium	Event: Uranium Fever	9991		0	Fail Quest			Fragment_Stage_9991_Item_00		
000364D1	MTNS06_Uranium_Misc	Event: Uranium Fever	100	Run On Start	0				Fragment_Stage_0100_Item_00		
000364D1	MTNS06_Uranium_Misc	Event: Uranium Fever	200		0	Complete Quest			Fragment_Stage_0200_Item_00		
00042F7E	MTR08_Lode	Event: Lode Baring	1		0				Fragment_Stage_0001_Item_00		
00042F7E	MTR08_Lode	Event: Lode Baring	2		0				Fragment_Stage_0002_Item_00		
00042F7E	MTR08_Lode	Event: Lode Baring	5		0		Sounds like a local mine is on the verge of reopening. I wonder what might be inside?		Fragment_Stage_0005_Item_00		
00042F7E	MTR08_Lode	Event: Lode Baring	6		0				Fragment_Stage_0006_Item_00		
00042F7E	MTR08_Lode	Event: Lode Baring	10		0				Fragment_Stage_0010_Item_00		
00042F7E	MTR08_Lode	Event: Lode Baring	11		0				Fragment_Stage_0011_Item_00		
00042F7E	MTR08_Lode	Event: Lode Baring	12		0		The mine's open, but we've only got a short amount of time to pilfer its minerals. The broadcast also suggested we might be able to repair the local Auto-Miners, maybe get them working for us.		Fragment_Stage_0012_Item_00		
00042F7E	MTR08_Lode	Event: Lode Baring	13		0						
00042F7E	MTR08_Lode	Event: Lode Baring	14		0				Fragment_Stage_0014_Item_00		
00042F7E	MTR08_Lode	Event: Lode Baring	20		0				Fragment_Stage_0020_Item_00		
00042F7E	MTR08_Lode	Event: Lode Baring	21		0				Fragment_Stage_0021_Item_00		
00042F7E	MTR08_Lode	Event: Lode Baring	22		0				Fragment_Stage_0022_Item_00		
00042F7E	MTR08_Lode	Event: Lode Baring	70		0		The roof on this place is about to go! We need to get out of here fast!		Fragment_Stage_0070_Item_00		
00042F7E	MTR08_Lode	Event: Lode Baring	71		0				Fragment_Stage_0071_Item_00		
00042F7E	MTR08_Lode	Event: Lode Baring	75		0				Fragment_Stage_0075_Item_00		
00042F7E	MTR08_Lode	Event: Lode Baring	100		0	Complete Quest			Fragment_Stage_0100_Item_00		QRWD=006312A8:QuestReward_MTR08_Lode_Stage100_01:GMRW
00042F7E	MTR08_Lode	Event: Lode Baring	9990		0	Fail Quest			Fragment_Stage_9990_Item_00		
00042F7E	MTR08_Lode	Event: Lode Baring	10000	Run On Stop	0				Fragment_Stage_10000_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	0		0				Fragment_Stage_0000_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	10	Run On Start	0				Fragment_Stage_0010_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	50	Checkpoint	0		I came across a small shack in the Mire. I should investigate it and see if I can find anything useful.		Fragment_Stage_0050_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	100	Checkpoint	0		I found a terminal in a shack that belonged to a woman named Shelby O'Rourke. Shelby had a series of sensors set up at various locations to try and prove that cryptids exist. I should examine a few of the sites that are displaying alerts to see what's there.		Fragment_Stage_0100_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	110		0				Fragment_Stage_0110_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	120		0				Fragment_Stage_0120_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	130		0				Fragment_Stage_0130_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	150		0				Fragment_Stage_0150_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	151		0				Fragment_Stage_0151_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	155		0				Fragment_Stage_0155_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	160		0				Fragment_Stage_0160_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	161		0				Fragment_Stage_0161_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	165		0				Fragment_Stage_0165_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	170		0				Fragment_Stage_0170_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	171		0				Fragment_Stage_0171_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	175		0				Fragment_Stage_0175_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	180		0		One of the locations had an actual cryptid! I should kill it to bring back a tissue sample to Shelby's homemade lab.		Fragment_Stage_0180_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	200		0		Now that I've killed the cryptid, I should be able to extract a tissue sample.		Fragment_Stage_0200_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	230	Checkpoint	0				Fragment_Stage_0230_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	240	Checkpoint	0				Fragment_Stage_0240_Item_00		
000451FC	SFZ03_Queen	Daily: Queen of the Hunt	250	Checkpoint	0				Fragment_Stage_0250_Item_00		
