FormID	EDID	FULL - Name	DESC - Description	Quest Type	LNAM - Location	Reward0	Reward1	Reward2	Reward3	Reward4	Reward5	Reward6	Reward7	Reward8	Reward9	GMRWRef0	GMRWRef1	GMRWRef2	GMRWRef3	GMRWRef4	GMRWRef5	GMRWRef6	GMRWRef7	GMRWRef8	GMRWRef9	PartyCrasherCount	PartyCrasher_NPC_0	PartyCrasher_NPC_1	PartyCrasher_NPC_2	PartyCrasher_NPC_3	PartyCrasher_NPC_4	PartyCrasher_NPC_5	PartyCrasher_NPC_6	PartyCrasher_NPC_7	PartyCrasher_NPC_8	PartyCrasher_NPC_9	PartyCrasher_GLOB_0	PartyCrasher_GLOB_1	PartyCrasher_GLOB_2	PartyCrasher_GLOB_3	PartyCrasher_GLOB_4	PartyCrasher_GLOB_5	PartyCrasher_GLOB_6	PartyCrasher_GLOB_7	PartyCrasher_GLOB_8	PartyCrasher_GLOB_9	PartyCrasher_MESG	InvadersTakeOver
00821362	Burn_Dialogue_Athens_Protectron	[Dialogue for Athens Protectron]		None																						0																						0
0082114E	Burn_RE_Scene_KK01	Surprise Ghouls		None																						0																						0
0081EFC4	Burn_RE_Assault_KK06	Stingwings VS Rust King Raiders		None																						0																						0
0081EFC3	Burn_RE_Assault_KK08	Stingwing vs Rad Scorpions		None																						0																						0
0081EFC2	Burn_RE_Assault_KK01	Armored Deathclaw vs Ogua		None																						0																						0
0081EFC1	Burn_RE_Assault_KK04	Rust King Raiders vs Rad Scorpions		None																						0																						0
0081EFC0	Burn_RE_Assault_KK03	Deathclaw vs Ogua		None																						0																						0
0081EFBF	Burn_RE_Assault_KK07	Stingwings vs Deathclaw		None																						0																						0
0081EFBE	Burn_RE_Assault_KK02	Deahclaw vs Rad Scorpions		None																						0																						0
0081E20C	Burn_RE_Assault_KK05	Ogua vs Rust King Raiders		None																						0																						0
0081AD11	zzzBurn_RE_FactionAssault_ArmouredDC_Ogua	ArmouedDC vs Ogua		None																						0																						0
0081AD10	zzzBurn_RE_FactionAssault_Stingwing_Deathclaw	Stingwing vs Deathclaw		None																						0																						0
0081AD0F	ZZZ_Burn_RE_FactionAssault_RKR_Stingwing	RE RKR vs Stingwings		None																						0																						0
0081AD0E	zzzBurn_RE_FactionAssault_Deathclaw_Ogua	RE Deathclaw vs Ogua		None																						0																						0
0081AD0D	zzzBurn_RE_FactionAssault_RKR_Ogua	RE RKR vs Ogua		None																						0																						0
0081AD0C	zzzBurn_RE_FactionAssault_RKR_EncRadScorpions	RE RKR vs EncSorps		None																						0																						0
0081AD0B	zzzBurn_RE_FactionAssault_Deathclaw_EncScorp	RE Deathclaw vs EncScorp		None																						0																						0
0081ACD2	zzzBurn_RE_Scene_GhoulsInGround	Ghouls in the Ground		None																						0																						0
0081ACD1	Burn_RE_Travel_PropagandaBot	The Chemicals Are Good For You		None																						0																						0
0081ACD0	zzzBurn_RE_Travel_FeralDino	Meet and Greet Opportunity		None																						0																						0
0081ACCF	zzzBurn_RE_Scene_DeathclawHunter	Searching for a Deathclaw		None																						0																						0
0081ACCE	Burn_RE_Object_LD01	DANGER: FROG		None																						0																						0
0081ACCD	Burn_RE_Object_ShippingContainer	Free Lootbox		None																						0																						0
0081ACCC	Burn_RE_ObjectTemplate	TEMPLATE - duplicate to use		None																						0																						0
0081ACCB	zzzBurn_RE_Travel_BountyHunted	Kill The Vault Dweller		None																						0																						0
0081ACCA	Burn_RE_SceneTemplate	TEMPLATE - duplicate to use		None																						0																						0
0081ACC9	zzzBurn_RE_FactionAssaultTemplate	TEMPLATE: Assault Random Encounter		None																						0																						0
0081ACB2	Burn_RE_Scene_ThirstyPerson	Go Go Gadget, Head Explode!		None																						0																						0
0081ACB1	Burn_Vendor_Quest_Doctore			None																						0																						0
0081ACB0	Burn_RE_Travel_TravellingDoctor	Get Ya Stimpacks Here		None																						0																						0
0081AACE	P62_TheDrifter_Quest	Defeat The Drifter	Fight or Die!	Primary												0081AACC:P62_QuestReward_TheDrifter_Failure	0081AACD:P62_QuestReward_TheDrifter_Success									0																						0
00816433	BURN_DialogueGeneric_RustRaiders	[Generic Dialogue for the Rust Raiders]		None																						0																						0
00816432	BURN_DialogueGeneric_HTSettlers	[Generic Dialogue for the Highway Town Settlers]		None																						0																						0
00815C9A	BURN_SQ02_OutroP1	Insurrection	Help Eugene to strengthen a revolution against the Rust King.	Primary												00844F43:QuestReward_BURN_SQ02_OutroP1_Stage9000										0																						0
00815A9A	P62_TheDrifter_Dialogue	CreatureDialogueTheDrifter		None																						0																						0
0080BFD0	Burn_E02_Sinkhole	Event: Sinkhole Solutions	Willow requires assistance in ending an infestation.	Public Event	LocBurnSinkholeLocation "Tycoon Lake" [LCTN:0080BFF1]	IconCR_Recipe | Unique Crafting Recipes	IconCR_LegendaryToken | Legendary Items	IconCR_Experience | XP																		0																						0
0080A048	Burn_E01_GearOffQuest			None	BURN_JacksonJunkyardLOC "Jackson Junkyard" [LCTN:007F03B9]																					0																						0
00803EAA	Burn_RE_TravelTemplate_Test	TEMPLATE - duplicate to use		None																						0																						0
00803EA9	Burn_RE_TravelTemplate	TEMPLATE - duplicate to use		None																						0																						0
00801C9E	Burn_SQ_EquipHelmetTest	Equip Helmet Test		Secondary																						0																						0
007FE5C6	Burn_Dialogue_Cornhenge_Cornbot	[Dialogue for Cornbot]		None																						0																						0
007FDC0D	ATX_COMP_Quest_Camp_Lite_Dottie			None																						0																						0
007F79AB	BURN_SQ01_Radio	Welcoming Committee Radio Broadcast		Miscellaneous																						0																						0
007F79AA	BURN_SQ01_LevelIncrease			None																						0																						0
007F79A9	BURN_SQ01_OnConnect			None																						0																						0
007F749F	zzzBurn_BountyHunt_ResetMaster	Bounty Hunt Reset Quest	Quest that holds data for reseting free bounties daily	None																						0																						0
007F1E8F	Burn_BountyHunt_Master	Master Bounty Quest	Quest that handles starting bounty hunts	None																						0																						0
007F1E8A	Burn_E01_Gear	Event: Gearin' Up	Help the Rust King's Beastmaster armor up and train a Deathclaw	Public Event	SubRegionBurningSprings16Location "Burning Springs" [LCTN:007D6A9A]	IconCR_Recipe | Unique Crafting Recipes	IconCR_LegendaryToken | Legendary Items	IconCR_Weapon | Legendary Weapon	IconCR_Experience | XP	IconCR_Armor | Outfit Armor						008750DA:Burn_E01_QuestReward_GearinUp_Emote										0																						0
007F1922	Burn_SQ04_DirtyLaundry	Dirty Laundry	Discover the secrets of Abraxodyne Chemical.	Secondary																						0																						0
007EBDF4	Burn_BountyHunt_Headhunt	Bounty Hunting: Head Hunt	Hunt down dangerous head honchos for big rewards.	Public Event		IconCR_LegendaryToken | Legendary Items	IconCR_Components | Legendary Modules									007EBDEE:QuestReward_Burn_BountyHuntingPublic_Stage9000										1	008E06C5:SDOW_Burn_BountyTarget_BIG_Slasher										008FADB5:LCP_SDOW_HeadHuntPartyCrasherSpawnRate										008FADB8:SDOW_PartyCrasherSpawnMessage_Slasher	0
007DF76B	BURN_SQ01	Welcoming Committee	What is waiting on the other side of the bridge?	Primary												00834C96:QuestReward_BURN_SQ01										0																						0
007D6A80	Burn_BountyHunt_GruntHunt	Bounty Hunting: Grunt Hunt	Exercise your trigger finger by hunting down outlaws.	Secondary												007D6A81:QuestReward_Burn_BountyHuntingDaily_Stage9000										0																						0
007D4961	GHL00_Quest_DisguisePointer	[Misc quest to point players to disguise vendor]		Miscellaneous																						0																						0
007D4362	Fishing_CaptainRaymond_Holotapes	[Captain Raymond Holotapes]		None																						0																						0
007D4051	BURN_DITheater_Dialogue	[Drive-In Theater NPC Dialogue Quest Form]		None																						0																						0
007D402E	zzzBURN_SQ04_Collectables	Visions of the Past	The Ghoul at the Drive-In needs help finding missing film so he can restore the theater.	Secondary																						0																						0
007D2B3F	zzzBurn_TestBountyEvent_ThreeStar	Public Hunt Event Three Star		Event	LocMountainsBlueRidgeOfficeLocation "Blue Ridge Office" [LCTN:005A7AD2]																					0																						0
007D18D3	Fishing_MQ01_Casting_Radio			None																						0																						0
007CFAAE	zzzBurn_TestBountyQuest_OneStar	Bounty Hunt One Star Random		None																						0																						0
007CFAAD	zzzBurn_TestBountyQuest_TwoStar	Test Bounty Two Star Unique		Secondary																						0																						0
007CF652	Burn_TestRustKingDialogue			None																						0																						0
007C6B7C	MILE_CaravanIntro_OnLevelIncrease	[Caravan Intro - On Level Increase]		Miscellaneous																						0																						0
007BE4AE	P64_DriveInRadio	[Drive In Radio Singal]		None																						0																						0
007BD0A8	Fishing_MQ01_ChangeLocation	Fishing MQ01 Quest Starter - Starts MQ01_Casting		None																						0																						0
007BCDE3	RD01_TEST_RS	R Test Module	[Module for testing R screen]	Module																						0																						0
007B95E1	Fishing_BigFish	Daily: Big Fish in a Small Pond	Grab a rod and scour Appalachia's waters for fish!	Daily												007B95FF:Fishing_BigFish_Reward										0																						0
007B7338	Fishing_FishermansRest_Dialogue	[Fisherman's Rest NPCs Off-quest dialogue]		None																						0																						0
007AE5AD	zzzBurn_RE_FactionAssaultBG01	Raiders vs. Settlers		None																						0																						0
007AE5AC	zzzBurn_RE_Assault_Electrician2	Electrician Vs Rust Raiders		None																						0																						0
007AE569	CreatureDialogueCAMPDog	CreatureDialogueCAMPDog		None																						0																						0
007ACB4C	Fishing_MQ01_Casting	Casting Off	Investigate the 'fishy' business in the Mire.	Secondary												007C7338:QuestReward_Fishing_MQ01_Casting_Stage9000										0																						0
007AC073	MILE_MoleMiner_MysteryCrate	[Quest for MoleMiner Mystery Crate]		None																						0																						0
007A741C	MILE_Misc_AxelScavengerQuest	[Axel has something for you]		Miscellaneous																						0																						0
007A741B	MILE_HQ_DailyMiscQuests_Axel	[Decorator Daily Quest Provider]		Daily	LocBlueRidgeShenandoahHQLocation "Blue Ridge Shenandoah HQ" [LCTN:0077383B]																					0																						0
007A159C	GHL00_Dialogue_GenericGhouls	[Dialogue quest for Generic Ghouls]		None																						0																						0
007A116F	GHL00_Dialogue_RegularDebbie_Exterior	[Dialogue quest for Regular Debbie]		None																						0																						0
007A10E3	MN2_Radio	Mischief Night Radio		None																						0																						0
007A1055	GHL00_Dialogue_ErnieNavarro_Exterior	[Dialogue quest for Ernie Navarro]		None																						0																						0
007A0E4F	GHL00_Dialogue_JayeVo	[Dialogue quest for Jaye Vo]		None																						0																						0
007A0D6C	GHL00_Dialogue_LeamonPrice_Ghoul	[Dialogue quest for ghoulified Leamon]		None																						0																						0
007A0BC6	GHL00_Dialogue_KevanAsherton_Exterior	[Dialogue quest for Asher]		None																						0																						0
007A0A7C	GHL00_Dialogue_PartheniaBlankenship	[Dialogue for Parthenia Blankenship]		None																						0																						0
0079CABD	GHL00_CombatDialogue	[Combat dialogue for Maddox's ghouls]		None																						0																						0
0079CA0F	GHL00_Dialogue_MaddoxMullen	[Dialogue for Maddox Mullen]		None																						0																						0
0079AA10	SSE_Holotapes	[dialogue quest containing holotapes for Big Bloom]		None																						0																						0
0079AA0F	SSE_BigBloom	Event: The Big Bloom	Pick flowers for the elderly in a blossoming minefield.	Public Event		IconCR_Camp | Unique CAMP Items	IconCR_Recipe | Unique Crafting Recipes	IconCR_Components | Legendary Items	IconCR_Components | Legendary Modules	IconCR_GoldBullion | Treasury Notes						0079B962:QuestReward_SSE_BigBloom_Stage9000										1	00868BBA:LvlBigfoot_PartyCrasher										00869A34:RA_PartyCrasherSpawnChance_Bigfoot										008AEBA3:PartyCrasherSpawnMessage_Bigfoot	0
0079AA0E	SSE_BESusan_DialogueQuest	[dialogue quest for Black-Eyed Susan]		None																						0																						0
007980FD	GHL00_Quest_TransformPlayer	A Fresh Pair of Genes	Another life awaits, if you're willing to trade your humanity.	Primary																						0																						0
00796EE5	RD01_GleamingDepths_HolotapeQuest	[Gleaming Depths Holotapes]		None																						0																						0
00796588	MILE_HQ_UpgradeManager	[Milepost Zero - HQ Upgrades]		None																						0																						0
00793D9F	MILE_CaravanIntro_Joanna			None																						0																						0
00793D12	MILE_UpgradeEnd	[Mile Upgrade End]		None																						0																						0
007915F6	HolotapeQuest_MILE_CaravanIntro	[Holotapes: A Golden Opportunity]		None																						0																						0
0078F7A1	RD01_Enc02_Drill	Drill Complex Module	[Module quest for the Drill Complex encounter]	Module												00796622:RD01_QuestReward_Enc02										0																						0
0078E2CC	MILE_MeltdownPointerQuest	Unconventional Weaponry	Find a dangerous new weapon deep within Vault 63	Secondary												0079A327:QuestReward_MILE_MeltdownPointerQuest_Stage9000										0																						0
0078DE65	GHL00_Quest_Radio	[Ghoulification Quest Misc Breadcrumb Radio]		Miscellaneous																						0																						0
0078DE64	GHL00_Quest	Leap of Faith	Track down a clandestine group with a highly unusual offer.	Primary												007AAC03:GHL00_QuestReward_LeapOfFaith	007B9611:GHL00_QuestReward_TransformPlayer									0																						0
0078DB39	GHL00_Quest_OnConnect	[Start GHL00_Quest on Player Connect]		None																						0																						0
0078DB37	GHL00_Quest_OnIncreaseLevel	[Start GHL00_Quest on Increase Level]		None																						0																						0
0078DA2A	RD01_GleamingDepths	Raid: Gleaming Depths	Venture into caverns overgrown with Ultracite and face the dangers within.	Raid																						0																						0
0078B59E	RD01_Enc04_EnclaveSquad	Enclave Squad Module	[Module quest for Enclave Squad encounter]	Module												00796623:RD01_QuestReward_Enc03										0																						0
00788127	RD01_Enc05_ResearchLab	Enclave Research Lab Module	[Module quest for Enclave Research Lab encounter]	Module												00796624:RD01_QuestReward_Enc04										0																						0
00786D41	RD01_Enc06_Scorchtongue	Scorchtongue Module	[Module quest for Scorchtongue encounter]	Module												00796625:RD01_QuestReward_Enc05										0																						0
00783A58	Storm_SE09	Storm Encounter: Roast Chicken		Secondary																						0																						0
007832E7	CreatureDialogueRadPheasant	CrRadPheasantVoice	death and hit audio	None																						0																						0
0077FA15	MN2_Quest_MischiefMisc	[Mischief Night - Misc Objectives]		None																						0																						0
0077FA14	MN2_Quest_Mischief	Event: Mischief Night	Rampage through Rapidan Camp!	Public Event		IconCR_Recipe | Unique Crafting Recipes	IconCR_FoodAndDrink | Halloween Candy	IconCR_Stimpaks | Stimpaks								00790D6F:QuestReward_MN2_Stage9000										1	008E06DE:SDOW_LvlSlasherFanBossPowerArmorHeavyAuto_PartyCrasher										008E066B:LCP_SDOW_MischiefPartyCrasherSpawnRate										008A4198:PartyCrasherSpawnMessage	0
0077FA13	Dialogue_MN2_MischiefEyebot			None																						0																						0
0077CD8D	MILE_BrahminTamer_Tier1	[Tier 1 Dialogue for Caravan Brahmin Tamer]		None																						0																						0
0077CD8C	MILE_CryptidHunter_Tier1	[Dialogue for Caravan Cryptid Hunter]		None																						0																						0
0077CD8B	MILE_Decorator_Tier1	[Tier 1 Dialogue for Caravan Decorator and companion robot]		None																						0																						0
00774272	MILE_Strategist_Tier1	[Tier 1 Dialogue for Caravan Strategist]		None																						0																						0
00774271	MILE_AmmoMerchant_Tier1	[Tier 1 Dialogue for Caravan Ammo Merchant]		None																						0																						0
0077380D	MILE_ImportedGoodsMerchant_Tier1	[Tier 1 Dialogue for Caravan Imported Goods Merchant]		None																						0																						0
007734D8	Storm_Misc_CraigItems	Gather Personal Effects from Craig's friends down Skyline Drive		Miscellaneous																						0																						0
00772A48	RD01_TEST	Raid Test Quest	[Raid Test Quest]	Caravan																						0																						0
00772A47	RD01_Enc01_Bot	Guardian Bot Module	[Module quest for Guardian Bot encounter]	Module												00796621:RD01_QuestReward_Enc01										0																						0
0076CA97	XPD_AC_Dialogue_VeracioCruz_OffMission			None																						0																						0
0076CA96	XPD_Dialogue_OffMission_TEMPLATE			None																						0																						0
0076CA95	XPD_AC_Dialogue_MotherCharlotte_OffMission			None																						0																						0
0076CA94	XPD_AC_Dialogue_Billy_OffMission			None																						0																						0
0076CA93	XPD_AC_Dialogue_Sal_OffMission			None																						0																						0
0076CA92	XPD_AC_Dialogue_AnnaBarone_OffMission			None																						0																						0
0076CA91	XPD_AC_Dialogue_Buttercup_OffMission			None																						0																						0
0076CA90	XPD_AC_Dialogue_FriedaLane_OffMission			None																						0																						0
0076B107	MILE_CaravanIntro	A Bump in the Road	Follow the trail of a strange flare coming from the Shenandoah National Park.	Secondary												007811CA:QuestReward_MILE_CaravanIntro_Stage8000										0																						0
0076A38E	AC_MQ_Dialogue_VinRusso_OffQuest_RoseRoom			None																						0																						0
0076A38D	AC_MQ_Dialogue_VinRusso_OffQuest_CityCenter			None																						0																						0
0076A38C	AC_MQ_Dialogue_VinRusso_Combat	[Combat dialogue for Vin Russo]		None																						0																						0
00769CF5	MILE_CaravanEscort_Module_NPC	NPC Encounter		Module																						0																						0
00769CF4	MILE_CaravanEscort_Module_Waves_Sequence	Waves (Sequence)		Module																						0																						0
00769CF3	MILE_CaravanEscort_Module_VS	Creature VS Creature		Module																						0																						0
00769CF2	MILE_CaravanEscort_Module_Boss	Boss		Module																						0																						0
00769CF1	MILE_CaravanEscort_Module_Waves	Waves		Module																						0																						0
00769CF0	MILE_CaravanEscort_Module_Mothman	Mothman Sighting		Module																						0																						0
00769CEF	MILE_CaravanEscort_Module_Blockages	Road Blocks		Module																						0																						0
00769CEE	zzzDRIVE_DialogueCaravanRaiderCrates	[Dialogue quest for Caravan Raiders - Crates]		None																						0																						0
00768382	Storm_Hilda_Dialogue	[Lost Dialogue Quest for Hilda]		None																						0																						0
00766AAF	Storm_RE_SceneRK05	Killer Moe		None																						0																						0
00766AAE	Storm_RE_AssaultRK02	Lost Vs Yao Gui		None																						0																						0
00766AAD	Storm_RE_SceneRK04	The Musician		None																						0																						0
00766428	Storm_Hugo_Dialogue			None																						0																						0
00766427	Storm_Hugo_Dialogue_Instanced	[Instanced Dialogue Quest for Hugo]		None																						0																						0
007632F5	Storm_Dialogue_Kevin	[Generic Dialogue for Kevin]		None																						0																						0
007632F4	Storm_Dialogue_Margaret	[Generic Dialogue for Margaret]		Miscellaneous																						0																						0
007632F3	Storm_Dialogue_JulioMargaretLaurence	[Generic Conversation Dialogue for Julio, Margaret & Laurence]		None																						0																						0
007632F2	Storm_Dialogue_Julio	[Generic Dialogue for Julio]		None																						0																						0
007632F1	Storm_Dialogue_Laurence	[Instanced Dialogue Quest for Laurence}		Miscellaneous																						0																						0
00762FEA	Storm_Oberlin_Dialogue_Instanced	[Instanced Dialogue Quest for Oberlin]		None																						0																						0
00761142	Storm_Dialogue_LaurenceLost	[Lost Dialogue Quest for Laurence]		None																						0																						0
