ARMO_FormID	ARMO_EDID	ARMO_FULL	DATA_Value	DATA_Weight	DATA_Health	DAMA_Flat	KWDA_Count	KWDA_Flat	ModTarget_KWDs	SlotCount	Slots_Flat	ComboCount	ReferencedByCount	Ref_1	Ref_2	Ref_3	Ref_4	Ref_5	Ref_6	Ref_7	Ref_8	Ref_9	Ref_10	Ref_11	Ref_12	Ref_13	Ref_14	Ref_15	Ref_16	Ref_17	Ref_18	Ref_19	Ref_20	Ref_21	Ref_22	Ref_23	Ref_24	Ref_25	Ref_26	Ref_27	Ref_28	Ref_29	Ref_30
0011114C	Armor_Marine_Underarmor_Wetsuit	Marine Wetsuit	100	0.500000	0		7	ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_Marine[0016EBEC] | Tutorial_DamageResistanceObject[0023D317] | DLC03[002944CB] | SURV_DiseasePrevention_InWater[0030302D] | ClothingTypeSwimsuit[00416813] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_Marine[0016EBEC] | ma_UnderArmor_style[0089D6BA]	3	ap_armor_Lining:No Misc | ap_Armor_SURV_Description: | ap_underarmor_style:Style	0	3	0032597D:modScrapRecipe_Null_Cromponent_Rubber:FLST	003259DD:co_Armor_Underarmor_Marine_Body:COBJ	0034E969:LL_Armor_Marine_UnderArmor_Body:LVLI																											
0004FEB0	Armor_VaultSuit76_Underarmor_Clean	Vault 76 Jumpsuit	20	0.500000	0		6	VaultSuitKeyword[000C5625] | ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_VaultSuit[0016EB98] | usePowerArmorFrameVault[0022BC98] | Tutorial_DamageResistanceObject[0023D317] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_VaultSuit[0016EB98] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	11	0016EC10:LL_Armor_VaultSuit76_Underarmor_Clean:LVLI	0016ED82:co_Armor_VaultSuit76_Underarmor_Clean:COBJ	001B32F7:76Trailer_VaultSuitOutfit:OTFT	001CF591:modScrapRecipe_Null_Cromponent_Cloth:FLST	002AF217:76CharGenQuest:QUST	0037A162:modScrapRecipe_Null_Cromponent_GoldMinor:FLST	0043B765:76Trailer_VaultSuitOutfitandGlasses:OTFT	007B9AEE:ATX_LL_Loadout_Level50Boost:LVLI	008A910B:LL_PTS_Loadout:LVLI	008F4765:ATX_LL_Loadout_Level100Boost:LVLI	008F4769:ATX_LL_Loadout_Level150Boost:LVLI																			
00001A2B	Armor_Enclave_Underarmor_Uniform	Forest Operative Underarmor	30	0.500000	0		3	ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_Enclave[0016EBF9] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_Enclave[0016EBF9] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	6	0003379F::REFR	0016EE2E:co_Armor_Underarmor_Enclave_Uniform:COBJ	0017CD81:LL_Armor_EnclaveUnderarmor:LVLI	001F6136:modScrapRecipe_Null_Cromponent_Leather:FLST	003621D5:EN01DeadAgentCorpse:OTFT	0057CF74:W05_Raider_Fishbones_Outfit:OTFT																								
00001A38	Armor_Enclave_Underarmor_Uniform_02	Urban Operative Underarmor	30	0.500000	0		3	ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_Enclave[0016EBF9] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_Enclave[0016EBF9] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	4	000337A4::REFR	0016EE20:co_Armor_Underarmor_Enclave_Uniform_02:COBJ	0017CD81:LL_Armor_EnclaveUnderarmor:LVLI	001F6136:modScrapRecipe_Null_Cromponent_Leather:FLST																										
002C20C8	Armor_VaultSuit94_Underarmor	Vault 94 Jumpsuit	20	0.500000	0		7	VaultSuitKeyword[000C5625] | ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_VaultSuit[0016EB98] | UnscrappableObject[001CC46A] | Tutorial_DamageResistanceObject[0023D317] | NonPlayerTradable[00499F7A] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_VaultSuit[0016EB98] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	4	001CF591:modScrapRecipe_Null_Cromponent_Cloth:FLST	0037A162:modScrapRecipe_Null_Cromponent_GoldMinor:FLST	0040C2B0:V94_LL_VaultSystemRewards_ArmorSet_VaultSuitOnly:LVLI	005D0F01:co_Armor_VaultSuit94_Underarmor:COBJ																										
002C69B1	Armor_VaultSuit94_Underarmor_Clean	Vault 94 Jumpsuit	20	0.500000	0		7	VaultSuitKeyword[000C5625] | ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_VaultSuit[0016EB98] | UnscrappableObject[001CC46A] | Tutorial_DamageResistanceObject[0023D317] | NonPlayerTradable[00499F7A] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_VaultSuit[0016EB98] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	4	0016ED7D:POST_co_Armor_VaultSuit94_Underarmor_Clean:COBJ	001CF591:modScrapRecipe_Null_Cromponent_Cloth:FLST	0037A162:modScrapRecipe_Null_Cromponent_GoldMinor:FLST	0072984F:Storm_SSJohnny_Vaul63Outfit:OTFT																										
00056738	Armor_BoS_Underarmor_BOSFatigues	Brotherhood Fatigues	10	0.500000	0		5	Armor_NoFirstTimeLoot[0004F42C] | ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_BOS[0016EC06] | EN05_MilitaryFatigueKeyword[0018208E] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_BOS[0016EC06] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	6	001CF591:modScrapRecipe_Null_Cromponent_Cloth:FLST	00345AC9:EN05_MilitaryFatiguesFormlist:FLST	003518A3::REFR	003D0FCA:BoSClothingList:FLST	0051AC1A:LL_Clothes_LocTheme_BoS:LVLI	00525407:BabylonExcludeList:FLST																								
0017CD84	Armor_VaultSuit76_Underarmor	Vault 76 Jumpsuit	20	0.500000	0		6	VaultSuitKeyword[000C5625] | ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_VaultSuit[0016EB98] | usePowerArmorFrameVault[0022BC98] | Tutorial_DamageResistanceObject[0023D317] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_VaultSuit[0016EB98] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	3	001CF591:modScrapRecipe_Null_Cromponent_Cloth:FLST	0035EC43:Vault76SuitNoPipboy:OTFT	0037A162:modScrapRecipe_Null_Cromponent_GoldMinor:FLST																											
0036C43C	CreatureClothes_BaseballUniformScorched_Underarmor	Baseball Uniform	0	0.100000	0		1	ObjectTypeSports[0044D498]		0		0	4	003B7D25:CreatureOutfit_Scorched_Baseball:LVLI	0042FECF:CreatureOutfit_Scorched_Rare:LVLI	0044D475:zzChallenge_All_Costumes_Outfits:FLST	004EA905:CreatureOutfit_Scorched_General:LVLI																										
0036C442	CreatureClothes_NukaWorldShirtAndJeansScorched_Underarmor	Nuka-World Geyser Shirt & Jeans	0	0.100000	0		0			0		0	2	0042FED0:CreatureOutfit_Scorched_Common:LVLI	004EA905:CreatureOutfit_Scorched_General:LVLI																												
0036C43E	CreatureClothes_MilitaryFatiguesScorched_Underarmor	Military Fatigues	0	0.100000	0		0			0		0	2	0042FED1:CreatureOutfit_Scorched_Uncommon:LVLI	004EA909:CreatureOutfit_Scorched_Military:LVLI																												
00379275	CreatureClothes_BOSFatiguesScorched_Underarmor	BOS Fatigues	0	0.100000	0		0			0		0	3	0042FED1:CreatureOutfit_Scorched_Uncommon:LVLI	004EA90C:CreatureOutfit_Scorched_Asylum:LVLI	004EA915:CreatureOutfit_Scorched_BoS:LVLI																											
003BB51E	CreatureClothes_JeansOnlyScorched_Underarmor_NONPLAYABLE	Jeans Only	0	0.100000	0		0			0		0	17	003D0BEA:CreatureOutfit_ScorchedDavid:OTFT	0042FED0:CreatureOutfit_Scorched_Common:LVLI	004EA905:CreatureOutfit_Scorched_General:LVLI	004EA906:CreatureOutfit_Scorched_WorkingClass:LVLI	004EA907:CreatureOutfit_Scorched_WhiteCollar:LVLI	004EA909:CreatureOutfit_Scorched_Military:LVLI	004EA90C:CreatureOutfit_Scorched_Asylum:LVLI	004EA90D:CreatureOutfit_Scorched_Miner:LVLI	004EA90E:CreatureOutfit_Scorched_Raider:LVLI	004EA913:CreatureOutfit_Scorched_Outdoors:LVLI	004EA915:CreatureOutfit_Scorched_BoS:LVLI	005E52EA:BS01_MQ07_CreatureOutfit_Scorched_Common:LVLI	005F57A7:DEL_DailyOps_BossOutfit_Scorched:OTFT	00602FD5:DailyOps_BossOutfit_Scorched:OTFT	008B2316:HTO_CreatureOutfit_Scorched_Boss:LVLI	008B2317:HTO_CreatureOutfit_Scorched_Boss_FestiveHoliday:LVLI	008B2532:HTO_CreatureOutfit_Scorched_Boss_SpookyHoliday:LVLI													
003BE8AB	Armor_VaultSuit96_Underarmor	Vault 96 Jumpsuit	20	0.500000	0		5	VaultSuitKeyword[000C5625] | ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_VaultSuit[0016EB98] | Tutorial_DamageResistanceObject[0023D317] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_VaultSuit[0016EB98] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	4	0016ED7B:POST_co_Armor_VaultSuit96_Underarmor:COBJ	001CF591:modScrapRecipe_Null_Cromponent_Cloth:FLST	0037A162:modScrapRecipe_Null_Cromponent_GoldMinor:FLST	0041F821:V96_LL_VaultSystemRewards_ArmorSet_VaultSuitOnly:LVLI																										
003BE8A6	POST_Armor_VaultSuit63_Underarmor	Vault 63 Jumpsuit	20	0.500000	0		6	VaultSuitKeyword[000C5625] | ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_VaultSuit[0016EB98] | usePowerArmorFrameVault[0022BC98] | Tutorial_DamageResistanceObject[0023D317] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_VaultSuit[0016EB98] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	7	0016ED85:POST_co_Armor_VaultSuit63_Underarmor:COBJ	001CF591:modScrapRecipe_Null_Cromponent_Cloth:FLST	0037A162:modScrapRecipe_Null_Cromponent_GoldMinor:FLST	006E0559:Storm_vltDwelleroutfit:OTFT	006FBF9C:Storm_Hilda_Outfit:OTFT	0076CE5B:Storm_HugoOutfit01:OTFT	007828B4:Storm_MQ13_HugoOutfit_Stage1:OTFT																							
003BE8AE	Armor_VaultSuitVT_Underarmor	Vault Tec University Jumpsuit	20	0.500000	0		6	VaultSuitKeyword[000C5625] | ObjectTypeUnderarmor[0016E84B] | ma_UnderArmor_VaultSuit[0016EB98] | usePowerArmorFrameVault[0022BC98] | Tutorial_DamageResistanceObject[0023D317] | ma_UnderArmor_style[0089D6BA]	ma_UnderArmor_VaultSuit[0016EB98] | ma_UnderArmor_style[0089D6BA]	2	ap_armor_Lining:No Misc | ap_underarmor_style:Style	0	4	00146488:LL_Armor_VaultVT_Underarmor:LVLI	0016ED65:co_Armor_Underarmor_VaultSuitVT:COBJ	001CF591:modScrapRecipe_Null_Cromponent_Cloth:FLST	0037A162:modScrapRecipe_Null_Cromponent_GoldMinor:FLST																										
00529E02	CreatureClothes_SpecialForcesScorched_Underarmor	Special Forces	0	0.100000	0		0			0		0	1	0052EEC5:CreatureOutfit_NukeCodeOfficer_Scorched03:LVLI																													
003B7D8D	Armor_Enclave_Underarmor_Uniform_NotPlayable		0	99.900002	0		1	ObjectTypeUnderarmor[0016E84B]		1	ap_armor_Lining:No Misc	0	1	003ACD12:LLI_Loot_Corpse_Outfit_Enclave_Generic:LVLI																													
003B7D75	Armor_RaiderMod_Underarmor_Harness_NotPlayable		0	99.900002	0		2	ObjectTypeUnderarmor[0016E84B] | usePowerArmorFrameRaider[001909D7]		1	ap_armor_Lining:No Misc	0	10	0039EE57:LLS_Loot_Corpse_Outfit_Raider_UnderwearOnly:LVLI	003B7DBC:LL_Armor_Raider_Underwear_NotPlayable:LVLI	00572C02:LL_Armor_Raider_Underarmor_NONPLAYABLE:LVLI	0058BD2E:LLI_Outfit_Denizen_ScavengerDrunk_NONPLAYABLE:LVLI	00595A12:W05_Raider_Hal_Outfit:OTFT	00595CFC:W05_Raider_KiyomiOutfit:OTFT	0059F235:LL_Armor_Underarmor_Generic_NONPLAYABLE:LVLI	005F26B1:BS02_TallyLang_Outfit:OTFT	00832CD7:LL_BURN_RustRaiderArmor_Underarmor_NONPLAYABLE:LVLI	00832CD9:LL_BURN_RustGuardArmor_Underarmor_NONPLAYABLE:LVLI																				
003B7D8E	Armor_Enclave_Underarmor_Uniform_02_NotPlayable		0	99.900002	0		1	ObjectTypeUnderarmor[0016E84B]		1	ap_armor_Lining:No Misc	0	1	003ACD12:LLI_Loot_Corpse_Outfit_Enclave_Generic:LVLI																													
003B7D77	Armor_RaiderMod_Underarmor_RaiderLeathers_NotPlayable		0	99.900002	0		2	ObjectTypeUnderarmor[0016E84B] | usePowerArmorFrameRaider[001909D7]		1	ap_armor_Lining:No Misc	0	15	0039EE57:LLS_Loot_Corpse_Outfit_Raider_UnderwearOnly:LVLI	003B7DBC:LL_Armor_Raider_Underwear_NotPlayable:LVLI	0056862B:LL_Armor_Cultist_Underarmor_NONPLAYABLE:LVLI	00572C02:LL_Armor_Raider_Underarmor_NONPLAYABLE:LVLI	0058BD2E:LLI_Outfit_Denizen_ScavengerDrunk_NONPLAYABLE:LVLI	0059D83D:W05_Raider_Lev_Outfit:OTFT	0059EB05:W05_Raider_GuardArena_Outfit:OTFT	005A2AD3:W05_Raider_PatrolPathEntranceF03_Outfit:OTFT	005A2AD5:W05_Raider_AldridgeOutfit:OTFT	00609C30:BS02_TallyBloodEagleM_01_Outfit:OTFT	00609C5D:BS02_TallyBloodEagleM_02_Outfit:OTFT	0062AF99:E07A_Mothman_Outfit_Cultist01:OTFT	00739897:Outfit_Dicer:OTFT	00832CD7:LL_BURN_RustRaiderArmor_Underarmor_NONPLAYABLE:LVLI	00832CD9:LL_BURN_RustGuardArmor_Underarmor_NONPLAYABLE:LVLI															
003B7D76	Armor_RaiderMod_Underarmor_LongJohns_NotPlayable		0	99.900002	0		2	ObjectTypeUnderarmor[0016E84B] | usePowerArmorFrameRaider[001909D7]		1	ap_armor_Lining:No Misc	0	10	0039EE57:LLS_Loot_Corpse_Outfit_Raider_UnderwearOnly:LVLI	003B7DBC:LL_Armor_Raider_Underwear_NotPlayable:LVLI	0056862B:LL_Armor_Cultist_Underarmor_NONPLAYABLE:LVLI	00572C02:LL_Armor_Raider_Underarmor_NONPLAYABLE:LVLI	0058BD2E:LLI_Outfit_Denizen_ScavengerDrunk_NONPLAYABLE:LVLI	0058CE97:W05_Wayward_BatterOutfit:OTFT	0059F235:LL_Armor_Underarmor_Generic_NONPLAYABLE:LVLI	00832CD7:LL_BURN_RustRaiderArmor_Underarmor_NONPLAYABLE:LVLI	00832CD9:LL_BURN_RustGuardArmor_Underarmor_NONPLAYABLE:LVLI	0084F19D:LLI_Burn_Outfit_HwtSettler_Begger_Clothes:LVLI																				
003B7D78	Armor_RaiderMod_Underarmor_RoadLeathers_NotPlayable		0	99.900002	0		2	ObjectTypeUnderarmor[0016E84B] | usePowerArmorFrameAtomCat[001909D0]		1	ap_armor_Lining:No Misc	0	11	0039EE57:LLS_Loot_Corpse_Outfit_Raider_UnderwearOnly:LVLI	003B7DBC:LL_Armor_Raider_Underwear_NotPlayable:LVLI	00565BC9:LL_Armor_BloodEagle_Underarmor_NONPLAYABLE:LVLI	00598BB2:W05_Outfit_Gnash:OTFT	0059EB04:W05_Raider_GuardProcessing_Outfit:OTFT	0059F235:LL_Armor_Underarmor_Generic_NONPLAYABLE:LVLI	005EAE3F:BS01_Burke_Outfit:OTFT	00638FD2:XPD_Pitt01_Persephone_Outfit:OTFT	0063D640:BS02_E01_Amp_Outfit:OTFT	007A198F:GHL00_LL_Armor_GenericGhoul_Underarmor_NONPLAYABLE:LVLI	0084F1A2:LLI_Burn_Outfit_HwtSettler_Casual_Clothes:LVLI																			
003B7D9D	Armor_BoS_Soldier_Underarmor_NotPlayable		0	99.900002	0		3	usePowerArmorFrameBoS[00155046] | ObjectTypeUnderarmor[0016E84B] | Tutorial_DamageResistanceObject[0023D317]		1	ap_armor_Lining:No Misc	0	5	0039B91D:LLI_Loot_Corpse_Outfit_BoS_Soldier:LVLI	005DBD8C:BS01_MQ05_Raiders_ShinPowerArmor_Outfit:OTFT	0063D63C:BS02_E01_BoSRifleman_Outfit:OTFT	0063D63D:BS02_E01_BoSScout_Outfit:OTFT	0063D63E:BS02_E01_BoSTechnician_Outfit:OTFT																									
003D7527	Armor_Casual_Underarmor_FlannelJeans_NotPlayable		0	99.900002	0		1	ObjectTypeUnderarmor[0016E84B]		1	ap_armor_Lining:No Misc	0	16	001AC0B8:LL_Armor_Settler_Underarmor_NONPLAYABLE:LVLI	003EC394:zzz_P01B_Lying_CalvinVanLoweOutfit:OTFT	00478D3F:zzz_P01B_Lying_ColinVanLoweOutfit:OTFT	0054ADEC:W05_Wayward_MurrayOutfit:OTFT	0056862B:LL_Armor_Cultist_Underarmor_NONPLAYABLE:LVLI	005737F6:E05_Caravan_RanchHandOutfitLLI:LVLI	0058635A:W05_RE_CryptidStoryteller_Outfit:OTFT	0058BD2C:LLI_Outfit_Denizen_SettlerBuilder_NONPLAYABLE:LVLI	00595A15:W05_Raider_Fisher_Outfit:OTFT	0059F1BC:LL_Outfit_Denizen_ScavengerTreasure_Clothes:LVLI	0059F235:LL_Armor_Underarmor_Generic_NONPLAYABLE:LVLI	005C2889:BS01_CarolPutnam_Outfit:OTFT	006C2DAD:AC_MQ_AbbieRusso_Outfit:OTFT	0077176E:Storm_SettlerOutfit01:OTFT	0079B4F5:E01B_Herd_LL_Armor_CattleRustler_Underarmor_NONPLAYABLE:LVLI	0084F1A2:LLI_Burn_Outfit_HwtSettler_Casual_Clothes:LVLI														
