NPC_FormID	NPC_EDID	Ref_FormID	Ref_EDID	Worldspace_EDID	Worldspace_FormID	Cell_EDID	Cell_FormID	X	Y	Z	RotZ
0037D9BF	LC060_WhitespringVendor_ArmorHuntingSupplies_Cunningham	00629E00						-7980.012695	9050.404297	-512.000000	270.0001
0037D9C1	LC060_WhitespringVendor_Newsstand_Alexis	00629E0D						-8168.000000	8816.099610	-512.000000	90.0000
0037D9C7	LC060_WhitespringVendor_ArtGallery_Pendleton	00629E01						-4056.000000	8512.000000	-512.000000	90.0000
0037D9C8	LC060_WhitespringVendor_GourmetFood_Marie	00629E08						-6110.775391	8886.039063	-514.211365	90.0001
0037D9AB	LC060_WhitespringVendor_LobbyBar_Tannin	006263A0	XPD_Hub_Furniture_Tannin					-8410.259766	8337.603516	0.826971	270.0001
0037D9AB	LC060_WhitespringVendor_LobbyBar_Tannin	00629E15						-8400.000000	8464.000000	0.000000	90.0000
0037D9C3	LC060_WhitespringVendor_ChildrensStore_Capn	00629E03						-7448.000000	9008.000000	-512.000000	270.0001
0037D9C9	LC060_WhitespringVendor_GourmetRecipes_Antoine	00629E09						-6142.774902	9278.039063	-514.211365	0.0001
003C17F4	LC096_MorgantownAirport_Vendor_Responders	003C1806						-1245.902954	101139.007813	11427.174805	0.0000
003C17E7	LC023_Charleston_Vendor_Responders	003C1802						-105493.039063	-68998.648438	10732.000000	160.1417
003C17F1	LC019_CamdenPark_Vendor_Responders	003C17FE						-176308.578125	-76796.898437	518.654663	89.3814
003C17F2	LC051_Grafton_Vendor_Responders	003C1800						-52370.343750	151420.500000	12868.283204	357.1352
003C17F3	LC062_HarpersFerry_Vendor_FreeStates	005C54DC						136874.312500	15415.063476	13016.452148	0.0000
003C17F5	LC150_TopOfTheWorld_Vendor_Raiders	003C1808						45998.578125	16188.537109	33817.984375	162.7200
003C17F6	LC170_Watoga_Vendor_BoS	003C180A						152547.859375	-138615.718750	7200.000000	89.9544
0052A680	test_QA_WeaponsVendor_Test	0052A5FE						80.004791	239.999511	144.000000	0.0000
0052A681	QA_ArmorVendor_Test	0052A5FD						-559.998658	-2255.999756	192.000000	180.0001
00430332	POI095_WhitespringStation_Vendor_Neutral	00430334						20441.658203	-45934.847656	23143.945313	89.0949
0043036E	POI089_CharlestonStation_Vendor_Responders	00430370						-114843.125000	-35297.203125	7615.855957	283.8541
00430336	POI088_SuttonStation_Vendor_Raiders	00430337						-60065.722656	13105.721680	11556.362305	116.8943
00430342	POI096_R&GStation_Vendor_Raiders	00430344						9530.272461	-132478.078125	34209.867188	342.8687
00430367	POI087_MorgantownStation_Vendor_Responders	0043036B						-28611.853516	100555.015625	10921.040039	236.0121
0043037A	POI091_LewisburgStation_Vendor_Responders	0043037D						-63037.910156	-117213.570312	21224.000000	16.7878
0043033E	POI094_PleasantValleyStation_Vendor_Raiders	0043033F						49527.476563	10269.004883	32307.261718	153.9071
00430376	POI090_WelchStation_Vendor_Responders	00430378						-148839.312500	-132090.828125	13836.483398	125.1913
0043033A	POI093_SunnytopStation_Vendor_Raiders	0043033B						74489.593750	131289.484375	33120.000000	90.2981
0043032D	POI092_WatogaStation_Vendor_Neutral	0043032F						149257.046875	-150213.234375	7259.857910	260.5920
00430363	POI086_GraftonStation_Vendor_Responders	00430366						-59212.835938	143246.875000	13096.031250	120.2640
00481F11	RE_ObjectDWD01_EncMrHandy	0045CB9C						56.459374	139.731156	-0.000061	0.0000
003F878E	LGV01_MoleMiner	0059A658	LGV01_LegendaryVendorChestRef					29.919220	-685.932129	-132.322281	270.0000
003FBC03	W05_Raider_Molly	004270EA						29787.091797	201918.421875	12895.196289	0.0000
003FBC06	W05_Raider_AeRi	004270EC						26444.263672	202114.375000	12792.436524	0.0000
003FBC05	W05_Raider_Raf	004270EB						27617.203125	201488.375000	12935.348632	0.0000
00405EA1	W05_Wayward_Duchess	00405EA6						1031.721557	420.505188	-0.000092	91.6733
00405EA1	W05_Wayward_Duchess	0056F9DE						812.239258	374.429077	0.052689	270.7334
00405EA1	W05_Wayward_Duchess	0059ED36	W05_MQ_003P_DuchessLeanMarker					1041.267578	417.146423	5.141033	305.0083
00405EA1	W05_Wayward_Duchess	0042B140	W05_Wayward_VendorChest_DuchessREF					4338.083008	-1624.398804	224.000000	0.0000
004124AD	LC060_WhitespringVendor_BoS	00629E02						-7980.012695	9207.002930	-512.000000	270.0001
004124AE	LC060_WhitespringVendor_Neutral	00629E0C						-4307.901855	6828.830567	-511.625000	180.0001
004124B0	LC060_WhitespringVendor_Responders	00629E10						-8958.219726	9078.566406	-512.000000	0.0000
004124AF	LC060_WhitespringVendor_Raiders	00629E0F						-6609.887207	7324.619141	-511.000000	270.0000
004124A9	LC060_WhitespringVendor_FreeStates	00629E07						-5282.240235	7509.223633	-511.606201	180.0001
0041CB3C	W05_Raider_Gail	003FD126						-12558.398437	-3133.030517	2813.213379	270.0001
0042517C	W05_GoldVendor_Settler_Samuel	004253B7						38910.523438	-103969.195313	38155.718750	239.6790
0042517C	W05_GoldVendor_Settler_Samuel	004253BA						39076.605468	-103346.101562	38153.125000	143.2395
0042517C	W05_GoldVendor_Settler_Samuel	004253C1						40801.363281	-98346.312500	38125.066407	91.6733
0042517C	W05_GoldVendor_Settler_Samuel	004253C3						40188.484375	-102872.437500	38160.500000	45.8367
0042517C	W05_GoldVendor_Settler_Samuel	004253D5						41644.542969	-98565.437500	38094.968750	188.1129
0042517C	W05_GoldVendor_Settler_Samuel	0059E0BC						38880.535156	-102852.117187	38158.453125	260.0000
0042517C	W05_GoldVendor_Settler_Samuel	0059672E						38908.531250	-102995.859375	38149.855469	0.0000
00425182	W05_Settler_SunnyVendor_General	00596743						38317.648437	-101961.304688	38080.093750	0.0000
004253A0	W05_Settler_SunnyVendor_Kitchen	004253A2						37206.441406	-103255.179687	38217.078125	60.7253
004253A0	W05_Settler_SunnyVendor_Kitchen	00596745						37124.464843	-103339.765625	38209.976563	0.0000
0042539F	W05_Settler_SunnyVendor_Armory	0059673C						38405.246094	-102185.070312	38078.832031	331.0084
00427126	W05_MQ_003P_Muscle_LvlMainTurretBubble_Hostile_Handy	0041A385						-3436.332763	1168.807617	42.550057	0.0000
0053878B	DebugDobert02_LvlProtectronConstruction_Hostile	0045CB9C						56.459374	139.731156	-0.000061	0.0000
005427AE	W05_GoldVendor_SecretService_ReginaldStone	0057CE6F						-1984.000000	-8192.000000	2752.000000	0.0000
0055382C	W05_MQ_003P_Muscle_LvlMainTurretBubble_Hostile_Protecton	0041A385						-3436.332763	1168.807617	42.550057	0.0000
0055382E	W05_MQ_003P_Muscle_LvlProtectron	0041A385						-3436.332763	1168.807617	42.550057	0.0000
0055382D	W05_MQ_003P_Muscle_LvlMainTurretBubble_Hostile_Assaultron	0041A385						-3436.332763	1168.807617	42.550057	0.0000
00563B2A	W05_COMP_Actor_Astronaut_Visitor_Vendor_Emerson	00596E95						64.121628	-77.420044	0.000000	0.0000
00569CBE	W05_COMP_Actor_Beckett_Full	005A1FAF						-250.837066	-19.678894	0.000000	0.0000
0056EFC8	E05_Caravan_Eugenie	005A2A8D	E05_Caravan_Eugenie_Furn_East					113756.554688	-149526.562500	9219.739258	91.6734
0056EFC8	E05_Caravan_Eugenie	005A2A95	E05_Caravan_Eugenie_Furn_West					-46948.308593	-120690.078125	22548.623047	91.6733
0056EFC8	E05_Caravan_Eugenie	00590B41	e05_caravan_vendorchest_EugenieREF					113717.171875	-148873.937500	9197.709961	0.0000
0056F2CF	W05_RE_TravelBB01_LvlSettlerMale	0045CB9C						56.459374	139.731156	-0.000061	0.0000
0056F2D0	W05_RE_TravelBB01_SoundtrackBot	0045CB9C						56.459374	139.731156	-0.000061	0.0000
00570D56	W05_MQS_202P_ActorSpy	00594819						-426.384186	379.976532	0.000015	145.6226
00573CEB	W05_COMP_Actor_Generic_Visitor_Vendor_LvlVisitor	00573CE7						64.000000	48.000000	0.000000	0.0000
00574698	W05_COMP_Actor_Astronaut_Visitor_Vendor_Athena	00596E94						64.000000	-16.000000	0.000000	0.0000
0057502D	E05_Caravan_RudyFernandez	005A2A91	E05_Caravan_Rudy_Furn_East					112812.093750	-148813.875000	9227.023438	216.8874
0057502D	E05_Caravan_RudyFernandez	005A38F8	E05_Caravan_RudyPen					-46943.265625	-120620.554687	22545.853516	63.9888
0057502D	E05_Caravan_RudyFernandez	00590B3C						113816.992188	-148865.265625	9195.672852	0.0000
0057502B	E05_Caravan_CarverTimmerman	005A2A88	E05_Caravan_Carver_Furn_East					112935.023438	-149191.562500	9237.979493	251.1381
0057502B	E05_Caravan_CarverTimmerman	00590B3D						113734.078125	-148955.734375	9194.269531	0.0000
0058736B	W05_GoldVendor_Raider_Mortimer	0058736F						-4002.850586	66.729782	-182.297059	0.0000
00590FE8	DELETED_W05_COMP_Actor_Generic_Visitor_Vendor_Trader	00573CE7						64.000000	48.000000	0.000000	0.0000
00592874	DELETED_W05_COMP_Actor_Generic_Visitor_Vendor_Hunter	00573CE7						64.000000	48.000000	0.000000	0.0000
00592873	W05_COMP_Actor_Beckett_Visitor_Vendor_Frankie	00596E97						-32.000000	-80.000000	0.000000	0.0000
005A4EA3	E06_LvlProtectronConstruction_Hostile1HP	0045CB9C						56.459374	139.731156	-0.000061	0.0000
005C420C	BS01_COMP_Medic_Actor	005D29B5	BS01_COMP_Medic_VendorChest_Ref					-333.046844	60.429878	-5.646463	269.2902
005DBE6B	BS01_COMP_Actor_Lite_Chef	005EE41A						-337.433166	-50.857590	0.499995	269.2902
005FFDEC	BS02_SpecialVendor_Minerva	0059A658	LGV01_LegendaryVendorChestRef					29.919220	-685.932129	-132.322281	270.0000
0061E065	zzzSCORE_S5_COMP_SuperMutant_Maul	0061E05F						64.000000	108.294884	0.000000	0.0000
0061E03F	ATX_COMP_Mechanic_Sam	0061E060						63.691017	170.492218	-0.000015	0.0000
0061E064	zzzSCORE_S5_COMP_Inspector_Daphne	0061E060						63.691017	170.492218	-0.000015	0.0000
006273A8	SCORE_S6_COMP_Actor_Lite_Inspector	0061E061						63.571289	232.831329	0.500000	0.0000
006273A9	SCORE_S6_COMP_Actor_Lite_Mutant	0061E05F						64.000000	108.294884	0.000000	0.0000
0062CB90	ATX_COMP_Actor_Lite_Ghoul	0062CB92						64.000000	296.000000	0.000000	0.0000
0062DD71	ATX_COMP_Actor_Lite_Astronomer	00631658						64.000000	360.000000	0.000000	0.0000
00639670	XPD_ExpeditionVendor_Giuseppe	00626D71	XPD_Hub_Furniture_Giuseppe					-6065.088379	9404.098633	8.000000	0.0000
00639670	XPD_ExpeditionVendor_Giuseppe	00639672						1106.996826	-240.361206	69.833008	0.0000
00668ABC	NWOT_NPC_Del	0067F1A0	NWOT_Del_VendorChestRef					-1765.452637	241.995193	-0.000031	0.0000
0066D17D	NWOT_Clown_Bot	0066D17E	NWOT_Clown_VendorChestRef					-1752.002320	403.717560	0.000000	0.0000
0066F9AF	NWOT_NPC_Betty	0067F1A1	NWOT_Betty_VendorChestRef					-1795.818603	60.382141	0.000000	0.0000
00674969	ATX_COMP_Actor_NukaAgent_Leo	0067C2B6						-250.972839	98.668541	15.999970	0.0000
0068D3DA	ATX_COMP_Actor_StevenScarberry	006939DE						-333.975128	184.119614	7.668320	268.3270
006A4368	ATX_COMP_Actor_JoeyBello	006A9442						-234.906128	321.020569	-0.000122	0.0000
006DC96E	ATX_COMP_Actor_GrandmaJunko	006DC970						-141.230896	319.403686	-0.000015	0.0000
00717DFB	NPE_Vendor_JuneSeaver	00717DFC						-104020.218750	69912.703125	4856.089844	79.2509
0072EBCE	XPD_AC_ExpeditionVendor_Muni	0072EBD1						623.212890	-239.871658	0.000000	0.0000
0072EBCF	XPD_AC_ExpeditionVendor_Mobster	0072EBD2						332.636322	-120.939720	-0.000061	0.0000
0072EBCD	XPD_AC_ExpeditionVendor_Showmen	0072EBD0						992.416503	-325.922241	0.000000	0.0000
0073E948	ATX_COMP_Actor_Adelaide	007521E6						-41.328446	312.207245	0.000000	0.0000
0075C1F1	ATX_COMP_Actor_DelLawson	0076F991						-326.623291	320.968109	-0.000061	0.0000
006E2658	Storm_TradingPostVendor	00786D1D						147.400986	-0.271100	0.500000	0.0000
006F61AB	Storm_MysticalJunkieMerchant	006F61AD						0.000000	0.000000	0.000000	0.0000
0076EA28	MILE_Headquarters_ImportedGoodsMerchant	0079AEC8						896.000000	576.000000	0.000000	0.0000
0076EA24	MILE_GoldVendor_Headquarters_CryptidHunter	0085055D						-3307.760987	13600.067383	1685.952149	314.8170
0076EA22	MILE_Headquarters_AmmoMerchant	0079AEC9						640.000000	576.000000	0.000000	0.0000
007AC576	FISH_Vendor_TheFisherman	007BC61E	Fishing_VendorChest_FishermanRef					448.000000	568.000000	0.000000	0.0000
007ACD7A	FISH_NPC_TheCaptain	007FDC34	Fishing_VendorChest_TheCaptainRef					584.000000	568.000000	0.000000	0.0000
007FDC20	ATX_COMP_Actor_Dottie	00824D1B						-252.819412	159.152970	0.000000	0.0000
00800627	Burn014_HockingHillsStation_Vendor_Neutral	00800650						-254505.187500	78547.578125	6942.616699	0.0000
0081ACE4	BURN_RE_TravellingDoctore_Doctor	0081ACE7						-97939.539063	97047.367188	13854.805664	0.0000
00844095	BURN_HTSettler_FoodVendor	00845A70						-5105.765625	14258.219727	1439.513061	0.0000
00844096	BURN_HTSettler_GunVendor	00845A6E						-6349.039551	13010.028320	1451.646362	0.0000
00844097	BURN_HTSettler_GeneralVendor	00845A71						-3519.679199	13035.724609	1445.488403	0.0000
00844094	BURN_HTSettler_ChemVendor	00845A6F						-4898.723633	13334.487304	1443.245117	0.0000
008B3C96	ATX_COMP_Actor_Cambot	008F6114						-38.130440	47.256355	-0.000061	0.0000
