LCTN_FormID	LCTN_EDID	LCSR_Index	LocRefType_FormID	LocRefType_EDID	Ref_FormID	Ref_Display	WorldCell	GridX	GridY
0000FBB9	LocForestVaultTecAgCenterLocation	18	001D50B6	EncMainMediumMarkerLocRef	00012E17	[ACHR:00012E17] (Places LvlMainMedium [NPC_:001D5136] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	19	0021B2DE	LocationCreaturesAll	00012E17	[ACHR:00012E17] (Places LvlMainMedium [NPC_:001D5136] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	20	0021B2D6	LocationCreaturesMain	00012E17	[ACHR:00012E17] (Places LvlMainMedium [NPC_:001D5136] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	21	00003956	LocationClearActor	00012E17	[ACHR:00012E17] (Places LvlMainMedium [NPC_:001D5136] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	22	001D50B8	EncMainMeleeMarkerLocRef	00012E18	[ACHR:00012E18] (Places LvlMainMelee [NPC_:001D513D] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	23	0021B2D6	LocationCreaturesMain	00012E18	[ACHR:00012E18] (Places LvlMainMelee [NPC_:001D513D] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	24	0021B2DE	LocationCreaturesAll	00012E18	[ACHR:00012E18] (Places LvlMainMelee [NPC_:001D513D] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	25	00003956	LocationClearActor	00012E18	[ACHR:00012E18] (Places LvlMainMelee [NPC_:001D513D] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	26	001D50B7	EncMainShortMarkerLocRef	00012E1F	[ACHR:00012E1F] (Places LvlMainShort [NPC_:001D5137] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	27	0021B2DE	LocationCreaturesAll	00012E1F	[ACHR:00012E1F] (Places LvlMainShort [NPC_:001D5137] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	28	0021B2D6	LocationCreaturesMain	00012E1F	[ACHR:00012E1F] (Places LvlMainShort [NPC_:001D5137] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	29	00003956	LocationClearActor	00012E1F	[ACHR:00012E1F] (Places LvlMainShort [NPC_:001D5137] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	30	001D50B8	EncMainMeleeMarkerLocRef	00012E20	[ACHR:00012E20] (Places LvlMainMelee [NPC_:001D513D] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	31	0021B2D6	LocationCreaturesMain	00012E20	[ACHR:00012E20] (Places LvlMainMelee [NPC_:001D513D] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	32	0021B2DE	LocationCreaturesAll	00012E20	[ACHR:00012E20] (Places LvlMainMelee [NPC_:001D513D] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	33	00003956	LocationClearActor	00012E20	[ACHR:00012E20] (Places LvlMainMelee [NPC_:001D513D] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	34	003D4B0D	PriorityLootContainerMedHealingLocRefType	000132FF	[REFR:000132FF] (Places LootPriorityPrewar_Medkit "First Aid" [CONT:0004B6E9] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	35	003D4B0D	PriorityLootContainerMedHealingLocRefType	00013347	[REFR:00013347] (Places LootPriorityPrewar_Medkit "First Aid" [CONT:0004B6E9] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	36	003D4B0C	PriorityLootContainerMiscLocRefType	0001334C	[REFR:0001334C] (Places LootPriorityPrewar_ToolBox "Toolbox" [CONT:000670B1] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	37	0050FBC6	PriorityLootContainerSafeLocRefType	0001335C	[REFR:0001335C] (Places LootPriorityPrewar_Safe_Wall "Safe" [CONT:0006D4C3] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	38	003D4B0C	PriorityLootContainerMiscLocRefType	00013380	[REFR:00013380] (Places LootPriorityPrewar_WoodCrate "Wooden Crate" [CONT:000655D6] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	39	003D4B0A	PriorityLootContainerAmmoLocRefType	00013398	[REFR:00013398] (Places LootPriority_AmmoBox "Ammo Box" [CONT:00060CB4] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	40	003D4B0E	PriorityLootContainerMedChemsLocRefType	000133B3	[REFR:000133B3] (Places LootPriority_Medkit_Chems_Dirty "First Aid" [CONT:0020A6FD] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	41	003D4B0E	PriorityLootContainerMedChemsLocRefType	000133B5	[REFR:000133B5] (Places LootPriority_Medkit_Chems_Dirty "First Aid" [CONT:0020A6FD] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	42	003D4B0C	PriorityLootContainerMiscLocRefType	000133C4	[REFR:000133C4] (Places LootPriorityPrewar_ToolBox "Toolbox" [CONT:000670B1] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	43	003D4B0C	PriorityLootContainerMiscLocRefType	000133C7	[REFR:000133C7] (Places LootPriorityPrewar_WoodCrate "Wooden Crate" [CONT:000655D6] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	44	003D4B0A	PriorityLootContainerAmmoLocRefType	000133E3	[REFR:000133E3] (Places LootPriority_Raider_ExplosivesBox "Explosives Crate" [CONT:00038C21] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	45	0007828B	AutofillGeneric01	00013F74	[REFR:00013F74] (Places GreebLarge10 [STAT:001AC904] in VTecAgCenterExt03 [CELL:00264088] (in Appalachia "Appalachia" [WRLD:0025DA15] at -30,4))	Appalachia "Appalachia" [WRLD:0025DA15]	-30	4
0000FBB9	LocForestVaultTecAgCenterLocation	46	0001557D	SpawnMarkerRefTypeReaperBot	0001557E	[REFR:0001557E] (Places SpawnMarkerReaperBot [STAT:0001557F] in VTecAgCenterExt [CELL:00263FBF] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,4))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	4
0000FBB9	LocForestVaultTecAgCenterLocation	47	0001557D	SpawnMarkerRefTypeReaperBot	00015580	[REFR:00015580] (Places SpawnMarkerReaperBot [STAT:0001557F] in VTecAgCenterExt02 [CELL:00263FBE] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,5))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	5
0000FBB9	LocForestVaultTecAgCenterLocation	48	0001557D	SpawnMarkerRefTypeReaperBot	00015581	[REFR:00015581] (Places SpawnMarkerReaperBot [STAT:0001557F] in VTecAgCenterExt04 [CELL:00264087] (in Appalachia "Appalachia" [WRLD:0025DA15] at -30,5))	Appalachia "Appalachia" [WRLD:0025DA15]	-30	5
0000FBB9	LocForestVaultTecAgCenterLocation	49	0001557D	SpawnMarkerRefTypeReaperBot	00015582	[REFR:00015582] (Places SpawnMarkerReaperBot [STAT:0001557F] in VTecAgCenterExt03 [CELL:00264088] (in Appalachia "Appalachia" [WRLD:0025DA15] at -30,4))	Appalachia "Appalachia" [WRLD:0025DA15]	-30	4
0000FBB9	LocForestVaultTecAgCenterLocation	50	00038C13	LocationEdgeMarker	0006B65E	VaultTecAgCenterLocationEdgeMarker [REFR:0006B65E] (Places XMarkerHeading [STAT:00000034] in [CELL:00050B2C] (in Appalachia "Appalachia" [WRLD:0025DA15]) at -29,4)	Appalachia "Appalachia" [WRLD:0025DA15]	-29	4
0000FBB9	LocForestVaultTecAgCenterLocation	51	0050C622	RSVP01_LocRefType_Logs	00076484	[REFR:00076484] (Places TreeForestLog03_LN "Log" [FLOR:003916D0] in VTecAgCenterExt05 [CELL:00263EF6] (in Appalachia "Appalachia" [WRLD:0025DA15] at -28,4))	Appalachia "Appalachia" [WRLD:0025DA15]	-28	4
0000FBB9	LocForestVaultTecAgCenterLocation	52	0050C622	RSVP01_LocRefType_Logs	00076488	[REFR:00076488] (Places TreeForestLog04_LN "Log" [FLOR:003916CE] in VTecAgCenterExt05 [CELL:00263EF6] (in Appalachia "Appalachia" [WRLD:0025DA15] at -28,4))	Appalachia "Appalachia" [WRLD:0025DA15]	-28	4
0000FBB9	LocForestVaultTecAgCenterLocation	53	0050C622	RSVP01_LocRefType_Logs	00076495	[REFR:00076495] (Places TreeForestLog02_LN "Log" [FLOR:003916CF] in VTecAgCenterExt05 [CELL:00263EF6] (in Appalachia "Appalachia" [WRLD:0025DA15] at -28,4))	Appalachia "Appalachia" [WRLD:0025DA15]	-28	4
0000FBB9	LocForestVaultTecAgCenterLocation	54	0002DFE7	RECenter	00107428	[REFR:00107428] (Places XMarker [STAT:0000003B] in [CELL:00050B2C] (in Appalachia "Appalachia" [WRLD:0025DA15]) at -30,4)	Appalachia "Appalachia" [WRLD:0025DA15]	-30	4
0000FBB9	LocForestVaultTecAgCenterLocation	55	0024592E	REAssaultDefenderPatrol	0010A289	[REFR:0010A289] (Places PatrolIdleMarker [IDLM:00002CE2] in [CELL:00050B2C] (in Appalachia "Appalachia" [WRLD:0025DA15]) at -30,4)	Appalachia "Appalachia" [WRLD:0025DA15]	-30	4
0000FBB9	LocForestVaultTecAgCenterLocation	56	0024592E	REAssaultDefenderPatrol	0010A337	[REFR:0010A337] (Places PatrolIdleMarker [IDLM:00002CE2] in [CELL:00050B2C] (in Appalachia "Appalachia" [WRLD:0025DA15]) at -30,4)	Appalachia "Appalachia" [WRLD:0025DA15]	-30	4
0000FBB9	LocForestVaultTecAgCenterLocation	57	00035B6F	REObject01	0010A5A7	[REFR:0010A5A7] (Places XMarker [STAT:0000003B] in [CELL:00050B2C] (in Appalachia "Appalachia" [WRLD:0025DA15]) at -30,4)	Appalachia "Appalachia" [WRLD:0025DA15]	-30	4
0000FBB9	LocForestVaultTecAgCenterLocation	58	00030FA8	REAssaultDefender	0010A6A9	[REFR:0010A6A9] (Places XMarkerHeading [STAT:00000034] in [CELL:00050B2C] (in Appalachia "Appalachia" [WRLD:0025DA15]) at -30,4)	Appalachia "Appalachia" [WRLD:0025DA15]	-30	4
0000FBB9	LocForestVaultTecAgCenterLocation	59	00030FA8	REAssaultDefender	0010A870	[REFR:0010A870] (Places XMarkerHeading [STAT:00000034] in [CELL:00050B2C] (in Appalachia "Appalachia" [WRLD:0025DA15]) at -30,4)	Appalachia "Appalachia" [WRLD:0025DA15]	-30	4
0000FBB9	LocForestVaultTecAgCenterLocation	60	00030FA8	REAssaultDefender	0010A94E	[REFR:0010A94E] (Places XMarkerHeading [STAT:00000034] in [CELL:00050B2C] (in Appalachia "Appalachia" [WRLD:0025DA15]) at -30,4)	Appalachia "Appalachia" [WRLD:0025DA15]	-30	4
0000FBB9	LocForestVaultTecAgCenterLocation	61	00030FAF	REAssaultDefenderLeader	0010A96D	[REFR:0010A96D] (Places XMarkerHeading [STAT:00000034] in [CELL:00050B2C] (in Appalachia "Appalachia" [WRLD:0025DA15]) at -30,4)	Appalachia "Appalachia" [WRLD:0025DA15]	-30	4
0000FBB9	LocForestVaultTecAgCenterLocation	62	001D50B8	EncMainMeleeMarkerLocRef	0014682A	[ACHR:0014682A] (Places LvlMainMelee [NPC_:001D513D] in VTecAgCenterExt02 [CELL:00263FBE] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,5))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	5
0000FBB9	LocForestVaultTecAgCenterLocation	63	0021B2D6	LocationCreaturesMain	0014682A	[ACHR:0014682A] (Places LvlMainMelee [NPC_:001D513D] in VTecAgCenterExt02 [CELL:00263FBE] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,5))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	5
0000FBB9	LocForestVaultTecAgCenterLocation	64	0021B2DE	LocationCreaturesAll	0014682A	[ACHR:0014682A] (Places LvlMainMelee [NPC_:001D513D] in VTecAgCenterExt02 [CELL:00263FBE] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,5))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	5
0000FBB9	LocForestVaultTecAgCenterLocation	65	00003956	LocationClearActor	0014682A	[ACHR:0014682A] (Places LvlMainMelee [NPC_:001D513D] in VTecAgCenterExt02 [CELL:00263FBE] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,5))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	5
0000FBB9	LocForestVaultTecAgCenterLocation	66	0050C622	RSVP01_LocRefType_Logs	00170F75	[REFR:00170F75] (Places TreeForestLog02_LN "Log" [FLOR:003916CF] in VTecAgCenterExt05 [CELL:00263EF6] (in Appalachia "Appalachia" [WRLD:0025DA15] at -28,4))	Appalachia "Appalachia" [WRLD:0025DA15]	-28	4
0000FBB9	LocForestVaultTecAgCenterLocation	67	003D4B0C	PriorityLootContainerMiscLocRefType	0017A4BB	[REFR:0017A4BB] (Places LootPriority_Toolbox "Toolbox" [CONT:00059A9A] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	68	0009A521	SpawnMax7168	001AAB21	[REFR:001AAB21] (Places SpawnCenter_Min2048_Max7168 [STAT:00242934] in VTecAgCenterExt [CELL:00263FBF] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,4))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	4
0000FBB9	LocForestVaultTecAgCenterLocation	69	00098A62	SpawnFindPlayer8192	001AAB21	[REFR:001AAB21] (Places SpawnCenter_Min2048_Max7168 [STAT:00242934] in VTecAgCenterExt [CELL:00263FBF] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,4))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	4
0000FBB9	LocForestVaultTecAgCenterLocation	70	0005B1F7	SpawnMin2048	001AAB21	[REFR:001AAB21] (Places SpawnCenter_Min2048_Max7168 [STAT:00242934] in VTecAgCenterExt [CELL:00263FBF] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,4))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	4
0000FBB9	LocForestVaultTecAgCenterLocation	71	00039433	OutsideEntranceMarker	002067F7	[REFR:002067F7] (Places XMarkerHeading [STAT:00000034] in [CELL:00050B2C] (in Appalachia "Appalachia" [WRLD:0025DA15]) at -29,4)	Appalachia "Appalachia" [WRLD:0025DA15]	-29	4
0000FBB9	LocForestVaultTecAgCenterLocation	72	0001F40F	LocationCenterMarker	002067F8	[REFR:002067F8] (Places XMarkerHeading [STAT:00000034] in VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3])	VTecAgCenter01 "Vault-Tec Ag Research Center" [CELL:000125A3]	32767	32767
0000FBB9	LocForestVaultTecAgCenterLocation	73	0050C622	RSVP01_LocRefType_Logs	002345CC	[REFR:002345CC] (Places TreeForestLog01_LN "Log" [FLOR:003916CD] in VTecAgCenterExt05 [CELL:00263EF6] (in Appalachia "Appalachia" [WRLD:0025DA15] at -28,4))	Appalachia "Appalachia" [WRLD:0025DA15]	-28	4
0000FBB9	LocForestVaultTecAgCenterLocation	74	001D50BC	EncMainHelperMarkerLocRef	0023C852	[ACHR:0023C852] (Places LvlMainHelper [NPC_:001D57DB] in VTecAgCenterExt02 [CELL:00263FBE] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,5))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	5
0000FBB9	LocForestVaultTecAgCenterLocation	75	0021B2D6	LocationCreaturesMain	0023C852	[ACHR:0023C852] (Places LvlMainHelper [NPC_:001D57DB] in VTecAgCenterExt02 [CELL:00263FBE] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,5))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	5
0000FBB9	LocForestVaultTecAgCenterLocation	76	0021B2DE	LocationCreaturesAll	0023C852	[ACHR:0023C852] (Places LvlMainHelper [NPC_:001D57DB] in VTecAgCenterExt02 [CELL:00263FBE] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,5))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	5
0000FBB9	LocForestVaultTecAgCenterLocation	77	00003956	LocationClearActor	0023C852	[ACHR:0023C852] (Places LvlMainHelper [NPC_:001D57DB] in VTecAgCenterExt02 [CELL:00263FBE] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,5))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	5
0000FBB9	LocForestVaultTecAgCenterLocation	78	001D50B6	EncMainMediumMarkerLocRef	0023C853	[ACHR:0023C853] (Places LvlMainMedium [NPC_:001D5136] in VTecAgCenterExt02 [CELL:00263FBE] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,5))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	5
0000FBB9	LocForestVaultTecAgCenterLocation	79	0021B2DE	LocationCreaturesAll	0023C853	[ACHR:0023C853] (Places LvlMainMedium [NPC_:001D5136] in VTecAgCenterExt02 [CELL:00263FBE] (in Appalachia "Appalachia" [WRLD:0025DA15] at -29,5))	Appalachia "Appalachia" [WRLD:0025DA15]	-29	5
